measurement_id,form_id,manifestation_id,form_type,overall_fidelity,structural_fidelity,behavioral_fidelity,temporal_fidelity,relational_fidelity,distortion_present,distortion_type,distortion_severity,distortion_systematic,distortion_source,location,region,dens_proximity_km,barrier_thickness,expected_fidelity,fidelity_deviation,assessment_year,assessor,comparison_method,reference_source,confidence,notes
IF-0123,,IE-0222,phenomenon,0.62,0.54,,0.58,0.57,True,noise,severe,False,noise,Northern approach,Tower of Mirado,195.5,moderate,0.7,-0.08,927,A. Prebel,expert_judgment,consensus_description,0.65,
IF-0124,FORM-0139,IE-0237,phenomenon,0.7,0.71,,0.62,0.65,True,temporal,severe,True,competing_form,Trapper territory,Yeller Quarry,155.5,moderate,0.7,0.0,928,C. Vells,behavioral_testing,consensus_description,0.9,
IF-0125,FORM-0302,IE-0037,hybrid,0.63,0.62,,0.57,0.56,True,topology,minor,True,barrier_interference,Northern workings,Yeller Quarry,175.4,moderate,0.7,-0.07,919,Ingression Study Group,expert_judgment,prior_manifestation,0.51,
IF-0126,FORM-0150,IE-0105,structure,0.55,0.54,,0.61,0.61,True,symmetry,moderate,True,temporal_smearing,Third Mill,Yeller Quarry,175.9,moderate,0.7,-0.15,934,T. Mord,theoretical_prediction,prior_manifestation,0.59,
IF-0127,FORM-0564,IE-0378,place,0.7,0.78,,0.74,0.76,True,behavioral,minor,True,temporal_smearing,Dens interior,Dens,0.0,thin,0.85,-0.15,931,A. Vells,form_catalog_comparison,theoretical_model,0.81,
IF-0128,FORM-0901,IE-0305,phenomenon,0.74,0.83,,0.67,0.74,True,noise,moderate,True,observer_effect,Dens deep,Dens,0.0,thin,0.85,-0.11,918,Field Team,structural_analysis,indigenous_knowledge,0.78,
IF-0129,FORM-0545,IE-0336,creature,0.57,0.51,0.63,0.55,0.54,True,scale,severe,True,temporal_smearing,Educational district,Densmok,230.9,moderate,0.7,-0.13,929,S. Moll,theoretical_prediction,pol_form_library,0.6,
IF-0130,FORM-0273,IE-0363,creature,0.74,0.74,0.64,0.7,0.74,True,temporal,severe,False,competing_form,Sector NE-4,Dens boundary,53.9,thin,0.85,-0.11,933,T. Mord,behavioral_testing,theoretical_model,0.81,
IF-0131,FORM-0366,,behavior,0.67,0.72,0.65,0.75,0.57,True,symmetry,moderate,True,observer_effect,Eastern Northo,Northo,275.5,moderate,0.7,-0.03,926,A. Vells,structural_analysis,indigenous_knowledge,0.71,
IF-0132,FORM-0515,IE-0228,pattern,0.45,0.45,,0.42,0.39,True,behavioral,significant,False,substrate_limitation,Capital outskirts,Capital,264.7,very_thick,0.4,0.05,925,Capital Survey Team,historical_comparison,consensus_description,0.56,
IF-0133,FORM-0383,IE-0155,phenomenon,0.65,0.61,,0.68,0.68,True,topology,severe,False,temporal_smearing,Coder quarter,Densmok,202.9,moderate,0.7,-0.05,922,A. Vells,form_catalog_comparison,theoretical_model,0.57,
IF-0134,,IE-0129,pattern,0.84,0.83,,0.86,0.88,False,none,none,,,Southern approach,Yeller Quarry,149.7,thin,0.85,-0.01,918,E. Pol,structural_analysis,theoretical_model,0.63,
IF-0135,FORM-0703,IE-0187,creature,0.48,0.55,0.47,0.52,0.48,True,behavioral,significant,True,spatial_curvature,Siege fields,Tower of Mirado,240.5,thick,0.55,-0.07,934,T. Mord,theoretical_prediction,consensus_description,0.79,
IF-0136,FORM-0971,IE-0308,creature,0.57,0.63,0.5,0.48,0.58,True,scale,significant,True,spatial_curvature,Philosophical Society grounds,Capital,211.0,moderate,0.7,-0.13,935,M. Strand,historical_comparison,pol_form_library,0.6,
IF-0137,,IE-0065,relationship,0.83,0.86,,0.77,0.78,False,none,none,,,Sector NE-4,Dens boundary,34.0,thin,0.85,-0.02,921,A. Vells,structural_analysis,theoretical_model,0.7,
IF-0138,FORM-0787,,place,0.58,0.62,,0.65,0.48,True,topology,moderate,False,observer_effect,Capital proper,Capital,217.4,moderate,0.7,-0.12,935,E. Pol,theoretical_prediction,consensus_description,0.71,
IF-0139,,IE-0208,place,0.52,0.43,,0.62,0.44,True,temporal,severe,False,substrate_limitation,Archive vicinity,Capital,261.0,thick,0.55,-0.03,935,T. Mord,form_catalog_comparison,pol_form_library,0.64,
IF-0140,FORM-0412,IE-0088,relationship,0.98,1.0,,0.99,1.0,False,none,none,,,Central anomaly,Dens,0.0,thin,0.85,0.13,930,Field Team,structural_analysis,pol_form_library,0.65,
IF-0141,FORM-0569,IE-0394,relationship,0.64,0.64,,0.59,0.62,True,symmetry,severe,True,substrate_limitation,Northern approach,Tower of Mirado,202.8,moderate,0.7,-0.06,932,A. Vells,behavioral_testing,theoretical_model,0.69,
IF-0142,FORM-0075,,pattern,0.82,0.79,,0.79,0.88,False,none,none,,,Northern margin,Dens boundary,59.5,thin,0.85,-0.03,918,A. Prebel,structural_analysis,theoretical_model,0.57,
IF-0143,FORM-0387,IE-0180,relationship,0.91,0.94,,0.95,0.89,False,none,none,,,Dens deep,Dens,0.0,thin,0.85,0.06,931,A. Prebel,form_catalog_comparison,indigenous_knowledge,0.91,
IF-0144,,,relationship,0.66,0.6,,0.74,0.69,True,hybrid_contamination,moderate,True,noise,Coder quarter,Densmok,188.2,thick,0.55,0.11,924,Field Team,form_catalog_comparison,indigenous_knowledge,0.76,
IF-0145,FORM-0256,,phenomenon,0.76,0.81,,0.71,0.83,True,temporal,severe,True,competing_form,Sector NE-4,Dens boundary,28.0,moderate,0.7,0.06,919,E. Pol,historical_comparison,theoretical_model,0.72,
IF-0146,,IE-0190,creature,0.85,0.81,0.89,0.93,0.82,False,none,none,,,Suburban zone,Densmok,248.1,moderate,0.7,0.15,922,Boundary Commission,historical_comparison,theoretical_model,0.77,
IF-0147,FORM-0915,IE-0292,hybrid,0.83,0.79,,0.89,0.81,False,none,none,,,Northern approach,Tower of Mirado,201.0,moderate,0.7,0.13,925,Boundary Commission,theoretical_prediction,theoretical_model,0.95,
IF-0148,FORM-0330,,pattern,0.67,0.66,,0.7,0.65,True,proportion,minor,False,substrate_limitation,Sector SW-6,Dens boundary,33.9,moderate,0.7,-0.03,919,E. Pol,historical_comparison,consensus_description,0.73,
IF-0149,FORM-0151,IE-0094,phenomenon,0.81,0.72,,0.86,0.73,False,none,none,,,Quarry interior,Yeller Quarry,179.8,moderate,0.7,0.11,922,Boundary Commission,form_catalog_comparison,prior_manifestation,0.69,
IF-0150,,,behavior,0.59,0.55,0.46,0.52,0.65,True,scale,minor,False,competing_form,Trapper territory,Yeller Quarry,175.2,moderate,0.7,-0.11,930,Field Team,behavioral_testing,consensus_description,0.63,
IF-0151,FORM-0510,,pattern,0.58,0.65,,0.51,0.49,True,noise,severe,False,competing_form,Educational district,Densmok,209.1,moderate,0.7,-0.12,928,A. Vells,theoretical_prediction,theoretical_model,0.69,
IF-0152,FORM-0480,IE-0313,place,0.46,0.51,,0.36,0.45,True,topology,severe,True,observer_effect,Educational district,Densmok,228.0,thick,0.55,-0.09,925,A. Vells,form_catalog_comparison,pol_form_library,0.78,
IF-0153,FORM-0532,IE-0205,pattern,0.95,0.93,,0.89,0.92,False,none,none,,,Northern margin,Dens boundary,39.0,thin,0.85,0.1,928,C. Vells,structural_analysis,indigenous_knowledge,0.94,
IF-0154,FORM-0408,IE-0053,phenomenon,0.67,0.58,,0.76,0.58,True,behavioral,moderate,True,spatial_curvature,Coder quarter,Densmok,249.8,thick,0.55,0.12,925,C. Vells,behavioral_testing,prior_manifestation,0.57,
IF-0155,,,pattern,0.97,0.92,,0.88,0.97,False,none,none,,,Dens deep,Dens,0.0,thin,0.85,0.12,923,S. Moll,expert_judgment,theoretical_model,0.61,
IF-0156,FORM-0002,IE-0093,hybrid,0.76,0.75,,0.79,0.71,True,topology,severe,True,substrate_limitation,Tower base,Tower of Mirado,208.6,moderate,0.7,0.06,919,A. Prebel,theoretical_prediction,prior_manifestation,0.71,
IF-0157,,IE-0268,relationship,0.42,0.34,,0.47,0.49,True,noise,significant,False,substrate_limitation,Klutch CC vicinity,Densmok,252.1,thick,0.55,-0.13,926,Field Team,form_catalog_comparison,consensus_description,0.64,
IF-0158,FORM-0912,IE-0374,hybrid,0.49,0.44,,0.39,0.4,True,scale,moderate,True,spatial_curvature,Lake vicinity,Northo,294.2,thick,0.55,-0.06,928,T. Mord,historical_comparison,prior_manifestation,0.77,
IF-0159,FORM-0303,IE-0114,place,0.76,0.7,,0.67,0.7,True,topology,severe,True,spatial_curvature,Sector SW-6,Dens boundary,22.5,moderate,0.7,0.06,924,C. Vells,behavioral_testing,pol_form_library,0.81,
IF-0160,FORM-0341,IE-0063,behavior,0.8,0.86,0.66,0.83,0.71,True,scale,significant,True,observer_effect,Central anomaly,Dens,0.0,thin,0.85,-0.05,931,Capital Survey Team,structural_analysis,theoretical_model,0.83,
IF-0161,FORM-0355,IE-0095,place,0.42,0.39,,0.42,0.35,True,behavioral,moderate,False,spatial_curvature,Capital proper,Capital,292.1,very_thick,0.4,0.02,930,S. Moll,expert_judgment,theoretical_model,0.71,
IF-0162,FORM-0997,IE-0291,pattern,0.9,0.8,,0.95,0.95,False,none,none,,,Central anomaly,Dens,0.0,thin,0.85,0.05,922,T. Mord,behavioral_testing,prior_manifestation,0.77,
IF-0163,FORM-0713,,pattern,0.78,0.86,,0.76,0.84,True,behavioral,significant,True,spatial_curvature,Eastern fluctuation zone,Dens boundary,20.5,moderate,0.7,0.08,925,E. Pol,theoretical_prediction,theoretical_model,0.78,
IF-0164,FORM-0495,,creature,0.4,0.35,0.3,0.39,0.49,True,topology,moderate,True,observer_effect,Capital outskirts,Capital,267.1,thick,0.55,-0.15,929,M. Strand,theoretical_prediction,theoretical_model,0.88,
IF-0165,FORM-0213,,structure,0.59,0.54,,0.5,0.51,True,proportion,severe,False,barrier_interference,Suburban zone,Densmok,186.5,moderate,0.7,-0.11,933,Ingression Study Group,theoretical_prediction,pol_form_library,0.75,
IF-0166,,,hybrid,0.27,0.2,,0.23,0.33,True,temporal,significant,True,temporal_smearing,Northern monastery,Northo,368.7,very_thick,0.4,-0.13,931,S. Moll,historical_comparison,theoretical_model,0.8,
IF-0167,FORM-0966,IE-0295,phenomenon,0.58,0.54,,0.57,0.63,True,hybrid_contamination,minor,False,observer_effect,Capital proper,Capital,217.3,moderate,0.7,-0.12,925,Field Team,theoretical_prediction,indigenous_knowledge,0.91,
IF-0168,FORM-0011,IE-0194,structure,0.42,0.48,,0.51,0.48,True,scale,minor,True,temporal_smearing,Northern monastery,Northo,276.5,thick,0.55,-0.13,923,Field Team,expert_judgment,prior_manifestation,0.8,
IF-0169,,,phenomenon,0.95,1.0,,0.9,0.98,False,none,none,,,Northern workings,Yeller Quarry,116.4,thin,0.85,0.1,922,Capital Survey Team,form_catalog_comparison,theoretical_model,0.52,
IF-0170,FORM-0798,IE-0074,relationship,0.74,0.71,,0.74,0.7,True,symmetry,significant,False,barrier_interference,Sector NE-4,Dens boundary,38.0,thin,0.85,-0.11,929,C. Vells,expert_judgment,pol_form_library,0.61,
IF-0171,,,phenomenon,0.87,0.86,,0.9,0.8,False,none,none,,,Third Mill,Yeller Quarry,120.9,thin,0.85,0.02,928,Boundary Commission,expert_judgment,pol_form_library,0.79,
IF-0172,FORM-0056,IE-0257,creature,0.72,0.71,0.87,0.73,0.64,True,temporal,moderate,True,observer_effect,Sector SW-6,Dens boundary,58.8,moderate,0.7,0.02,928,A. Vells,expert_judgment,pol_form_library,0.66,
IF-0173,,IE-0125,pattern,0.48,0.56,,0.41,0.5,True,topology,minor,True,spatial_curvature,Tower base,Tower of Mirado,244.5,thick,0.55,-0.07,931,C. Vells,historical_comparison,consensus_description,0.71,
IF-0174,FORM-0359,IE-0143,creature,0.67,0.72,0.73,0.59,0.6,True,temporal,significant,False,substrate_limitation,Coder quarter,Densmok,192.0,moderate,0.7,-0.03,928,A. Vells,behavioral_testing,prior_manifestation,0.58,
IF-0175,FORM-0160,IE-0245,behavior,0.51,0.53,0.44,0.53,0.42,True,hybrid_contamination,severe,True,competing_form,Capital proper,Capital,202.9,thick,0.55,-0.04,923,C. Vells,form_catalog_comparison,pol_form_library,0.62,
IF-0176,,IE-0269,pattern,0.99,1.0,,0.99,0.97,False,none,none,,,Western approach,Dens boundary,31.3,thin,0.85,0.14,930,T. Mord,expert_judgment,prior_manifestation,0.88,
IF-0177,FORM-0936,IE-0053,place,0.84,0.88,,0.85,0.89,False,none,none,,,Philosophical Society grounds,Capital,243.5,moderate,0.7,0.14,920,E. Pol,theoretical_prediction,consensus_description,0.62,
IF-0178,FORM-0806,IE-0089,behavior,0.65,0.55,0.51,0.63,0.64,True,temporal,severe,True,spatial_curvature,Philosophical Society grounds,Capital,240.5,moderate,0.7,-0.05,923,T. Mord,theoretical_prediction,indigenous_knowledge,0.54,
IF-0179,,IE-0107,phenomenon,0.68,0.7,,0.76,0.71,True,symmetry,moderate,True,competing_form,Tower base,Tower of Mirado,154.1,moderate,0.7,-0.02,921,A. Vells,structural_analysis,indigenous_knowledge,0.59,
IF-0180,FORM-0830,,relationship,0.63,0.62,,0.66,0.54,True,temporal,significant,True,noise,Northern approach,Tower of Mirado,186.1,moderate,0.7,-0.07,934,T. Mord,historical_comparison,prior_manifestation,0.86,
IF-0181,,IE-0130,phenomenon,0.8,0.8,,0.83,0.76,False,none,none,,,Trapper territory,Yeller Quarry,154.6,moderate,0.7,0.1,931,Field Team,theoretical_prediction,indigenous_knowledge,0.76,
IF-0182,FORM-0229,IE-0343,structure,0.62,0.53,,0.52,0.58,True,temporal,moderate,False,competing_form,Lake vicinity,Northo,326.5,thick,0.55,0.07,922,Field Team,behavioral_testing,pol_form_library,0.82,
IF-0183,FORM-0541,IE-0251,pattern,0.49,0.4,,0.45,0.49,True,proportion,significant,False,temporal_smearing,Capital proper,Capital,275.3,thick,0.55,-0.06,923,Capital Survey Team,theoretical_prediction,prior_manifestation,0.93,
IF-0184,,IE-0367,structure,0.68,0.65,,0.74,0.67,True,noise,significant,False,spatial_curvature,Northern approach,Tower of Mirado,176.8,moderate,0.7,-0.02,931,T. Mord,structural_analysis,consensus_description,0.93,
IF-0185,FORM-0964,IE-0372,creature,0.95,1.0,0.9,1.0,0.93,False,none,none,,,Central anomaly,Dens,0.0,thin,0.85,0.1,931,C. Vells,form_catalog_comparison,theoretical_model,0.68,
IF-0186,FORM-0793,IE-0256,relationship,0.64,0.56,,0.71,0.64,True,behavioral,severe,True,noise,Educational district,Densmok,277.8,thick,0.55,0.09,920,T. Mord,theoretical_prediction,indigenous_knowledge,0.57,
IF-0187,FORM-0080,IE-0155,behavior,0.58,0.64,0.49,0.57,0.63,True,hybrid_contamination,moderate,True,noise,Sector NE-4,Dens boundary,49.7,moderate,0.7,-0.12,920,Ingression Study Group,historical_comparison,prior_manifestation,0.76,
IF-0188,FORM-0805,,creature,0.73,0.77,0.79,0.73,0.8,True,scale,moderate,True,spatial_curvature,Dens interior,Dens,0.0,thin,0.85,-0.12,925,A. Prebel,form_catalog_comparison,pol_form_library,0.87,
IF-0189,FORM-0693,,behavior,0.48,0.44,0.41,0.55,0.53,True,hybrid_contamination,significant,False,substrate_limitation,Klutch CC vicinity,Densmok,213.5,thick,0.55,-0.07,923,Boundary Commission,expert_judgment,theoretical_model,0.63,
IF-0190,FORM-0186,,place,0.88,0.8,,0.9,0.95,False,none,none,,,Dens interior,Dens,0.0,thin,0.85,0.03,925,M. Strand,form_catalog_comparison,pol_form_library,0.88,
IF-0191,FORM-0186,IE-0092,phenomenon,0.71,0.66,,0.63,0.74,True,proportion,minor,True,noise,Southern perimeter,Dens boundary,32.5,thin,0.85,-0.14,924,Capital Survey Team,form_catalog_comparison,consensus_description,0.74,
IF-0192,FORM-0238,IE-0255,phenomenon,0.7,0.77,,0.71,0.65,True,topology,minor,True,competing_form,Central anomaly,Dens,0.0,thin,0.85,-0.15,919,S. Moll,form_catalog_comparison,theoretical_model,0.65,
IF-0193,FORM-0137,IE-0082,pattern,0.62,0.69,,0.63,0.64,True,hybrid_contamination,minor,False,substrate_limitation,Klutch CC vicinity,Densmok,260.7,thick,0.55,0.07,920,Field Team,form_catalog_comparison,theoretical_model,0.76,
IF-0194,,IE-0257,place,0.47,0.45,,0.46,0.49,True,noise,severe,True,competing_form,Capital outskirts,Capital,288.2,thick,0.55,-0.08,919,Field Team,behavioral_testing,theoretical_model,0.53,
IF-0195,,IE-0104,relationship,0.93,0.94,,0.96,0.93,False,none,none,,,Sector SW-6,Dens boundary,22.5,thin,0.85,0.08,935,Field Team,behavioral_testing,indigenous_knowledge,0.65,
IF-0196,FORM-0625,,place,0.77,0.86,,0.84,0.73,True,scale,significant,False,observer_effect,Siege fields,Tower of Mirado,154.9,moderate,0.7,0.07,932,C. Vells,structural_analysis,indigenous_knowledge,0.61,
IF-0197,FORM-0556,,pattern,0.74,0.77,,0.69,0.76,True,proportion,moderate,True,noise,Capital outskirts,Capital,279.1,moderate,0.7,0.04,935,Ingression Study Group,behavioral_testing,indigenous_knowledge,0.92,
IF-0198,,IE-0346,creature,0.61,0.53,0.6,0.58,0.68,True,scale,minor,True,observer_effect,Capital proper,Capital,201.0,thick,0.55,0.06,921,Capital Survey Team,structural_analysis,pol_form_library,0.62,
IF-0199,FORM-0078,IE-0098,phenomenon,0.74,0.83,,0.69,0.73,True,temporal,significant,True,noise,Capital outskirts,Capital,204.9,moderate,0.7,0.04,935,A. Prebel,expert_judgment,indigenous_knowledge,0.63,
IF-0200,,IE-0069,relationship,0.74,0.68,,0.84,0.81,True,behavioral,moderate,False,observer_effect,Scholar's Quarter,Capital,221.0,moderate,0.7,0.04,923,Ingression Study Group,historical_comparison,prior_manifestation,0.53,
IF-0201,,IE-0292,phenomenon,0.32,0.32,,0.24,0.24,True,temporal,moderate,True,spatial_curvature,Eastern Northo,Northo,302.6,very_thick,0.4,-0.08,930,Field Team,expert_judgment,pol_form_library,0.66,
IF-0202,FORM-0742,IE-0073,pattern,0.55,0.55,,0.55,0.45,True,behavioral,moderate,False,observer_effect,Isolation community,Northo,319.9,thick,0.55,-0.0,934,C. Vells,behavioral_testing,prior_manifestation,0.82,
IF-0203,FORM-0978,IE-0270,creature,0.98,0.98,1.0,1.0,1.0,False,none,none,,,Central anomaly,Dens,0.0,thin,0.85,0.13,933,C. Vells,expert_judgment,theoretical_model,0.54,
IF-0204,,IE-0362,creature,0.73,0.68,0.68,0.81,0.71,True,behavioral,moderate,True,observer_effect,Eastern fluctuation zone,Dens boundary,21.5,moderate,0.7,0.03,933,Capital Survey Team,historical_comparison,prior_manifestation,0.53,
IF-0205,FORM-0228,,hybrid,0.53,0.45,,0.43,0.53,True,symmetry,severe,False,substrate_limitation,Educational district,Densmok,242.0,thick,0.55,-0.02,931,M. Strand,expert_judgment,indigenous_knowledge,0.74,
IF-0206,FORM-0722,IE-0383,relationship,0.74,0.81,,0.71,0.77,True,scale,minor,False,observer_effect,Quarry interior,Yeller Quarry,144.5,thin,0.85,-0.11,919,T. Mord,theoretical_prediction,indigenous_knowledge,0.83,
IF-0207,FORM-0015,IE-0067,phenomenon,0.86,0.83,,0.77,0.95,False,none,none,,,Southern approach,Yeller Quarry,104.5,thin,0.85,0.01,927,T. Mord,structural_analysis,indigenous_knowledge,0.73,
IF-0208,FORM-0324,IE-0335,behavior,0.87,0.8,0.94,0.77,0.87,False,none,none,,,Third Mill,Yeller Quarry,137.9,thin,0.85,0.02,935,M. Strand,structural_analysis,consensus_description,0.66,
IF-0209,FORM-0763,IE-0174,creature,0.64,0.68,0.55,0.74,0.73,True,behavioral,severe,True,substrate_limitation,Coder quarter,Densmok,261.9,thick,0.55,0.09,930,Boundary Commission,behavioral_testing,indigenous_knowledge,0.73,
IF-0210,,IE-0045,behavior,0.95,0.88,0.83,1.0,0.89,False,none,none,,,Southern approach,Yeller Quarry,156.6,thin,0.85,0.1,918,A. Prebel,structural_analysis,prior_manifestation,0.54,
IF-0211,FORM-0319,IE-0227,structure,0.65,0.66,,0.62,0.72,True,topology,significant,False,temporal_smearing,Northern approach,Tower of Mirado,174.5,moderate,0.7,-0.05,930,Field Team,historical_comparison,consensus_description,0.56,
IF-0212,FORM-0067,,hybrid,0.57,0.62,,0.52,0.64,True,scale,minor,False,competing_form,Eastern Northo,Northo,316.6,thick,0.55,0.02,924,T. Mord,form_catalog_comparison,theoretical_model,0.62,
IF-0213,FORM-0765,,relationship,0.64,0.74,,0.66,0.74,True,temporal,significant,False,barrier_interference,Ascetic village,Northo,325.5,thick,0.55,0.09,926,E. Pol,historical_comparison,indigenous_knowledge,0.57,
IF-0214,,IE-0066,pattern,0.82,0.81,,0.81,0.83,False,none,none,,,Isolation community,Northo,286.4,moderate,0.7,0.12,920,Boundary Commission,expert_judgment,indigenous_knowledge,0.52,
IF-0215,FORM-0432,,behavior,0.69,0.7,0.81,0.65,0.75,True,temporal,moderate,True,spatial_curvature,Eastern markets,Capital,201.8,moderate,0.7,-0.01,923,Ingression Study Group,expert_judgment,consensus_description,0.59,
IF-0216,FORM-0611,,phenomenon,0.45,0.42,,0.43,0.5,True,behavioral,significant,False,temporal_smearing,Northern monastery,Northo,356.9,thick,0.55,-0.1,927,T. Mord,theoretical_prediction,theoretical_model,0.66,
IF-0217,FORM-0736,,relationship,0.66,0.69,,0.64,0.74,True,noise,moderate,True,barrier_interference,Capital proper,Capital,267.5,thick,0.55,0.11,922,Field Team,expert_judgment,pol_form_library,0.57,
IF-0218,FORM-0853,IE-0006,phenomenon,0.8,0.79,,0.89,0.72,True,temporal,minor,False,temporal_smearing,Dens deep,Dens,0.0,thin,0.85,-0.05,919,Capital Survey Team,behavioral_testing,indigenous_knowledge,0.82,
IF-0219,FORM-0089,IE-0084,hybrid,0.41,0.5,,0.32,0.51,True,topology,moderate,True,noise,Klutch CC vicinity,Densmok,248.4,thick,0.55,-0.14,918,Capital Survey Team,behavioral_testing,indigenous_knowledge,0.52,
IF-0220,FORM-0502,IE-0191,creature,0.82,0.8,0.9,0.78,0.76,False,none,none,,,Central anomaly,Dens,0.0,thin,0.85,-0.03,923,E. Pol,historical_comparison,consensus_description,0.84,
IF-0221,FORM-0877,IE-0065,pattern,0.81,0.78,,0.8,0.78,False,none,none,,,Siege fields,Tower of Mirado,153.9,moderate,0.7,0.11,921,C. Vells,behavioral_testing,indigenous_knowledge,0.66,
IF-0222,,IE-0371,behavior,0.65,0.62,0.54,0.67,0.59,True,noise,severe,False,spatial_curvature,Ascetic village,Northo,301.0,thick,0.55,0.1,931,S. Moll,structural_analysis,consensus_description,0.58,
IF-0223,FORM-0832,,hybrid,0.56,0.48,,0.6,0.6,True,behavioral,minor,True,spatial_curvature,Southern camps,Tower of Mirado,206.9,moderate,0.7,-0.14,921,Field Team,expert_judgment,consensus_description,0.52,
IF-0224,,,place,0.7,0.77,,0.74,0.79,True,scale,significant,False,spatial_curvature,Third Mill,Yeller Quarry,136.0,moderate,0.7,0.0,931,Boundary Commission,structural_analysis,theoretical_model,0.54,
IF-0225,,IE-0337,place,0.77,0.76,,0.87,0.82,True,scale,significant,False,temporal_smearing,Eastern fluctuation zone,Dens boundary,50.6,thin,0.85,-0.08,927,Ingression Study Group,behavioral_testing,consensus_description,0.91,
IF-0226,FORM-0159,,structure,0.56,0.59,,0.62,0.52,True,symmetry,minor,True,spatial_curvature,Tower base,Tower of Mirado,234.8,moderate,0.7,-0.14,933,A. Vells,form_catalog_comparison,prior_manifestation,0.88,
IF-0227,FORM-0643,,behavior,0.71,0.78,0.84,0.63,0.68,True,proportion,severe,True,substrate_limitation,Western approach,Dens boundary,38.0,thin,0.85,-0.14,932,Field Team,theoretical_prediction,consensus_description,0.8,
IF-0228,FORM-0848,IE-0334,phenomenon,0.64,0.69,,0.7,0.7,True,scale,moderate,False,temporal_smearing,Coder quarter,Densmok,272.0,moderate,0.7,-0.06,918,S. Moll,behavioral_testing,indigenous_knowledge,0.84,
IF-0229,FORM-0002,IE-0372,relationship,0.58,0.51,,0.63,0.67,True,behavioral,significant,False,noise,Educational district,Densmok,192.0,moderate,0.7,-0.12,931,S. Moll,behavioral_testing,pol_form_library,0.66,
IF-0230,,IE-0052,relationship,0.67,0.75,,0.58,0.61,True,temporal,severe,True,substrate_limitation,Northern approach,Tower of Mirado,201.4,moderate,0.7,-0.03,926,Capital Survey Team,theoretical_prediction,prior_manifestation,0.85,
IF-0231,FORM-0041,,behavior,0.63,0.65,0.72,0.68,0.57,True,topology,significant,False,spatial_curvature,Lake vicinity,Northo,288.8,thick,0.55,0.08,923,Boundary Commission,behavioral_testing,theoretical_model,0.72,
IF-0232,FORM-0018,IE-0076,place,0.57,0.64,,0.63,0.58,True,topology,severe,False,noise,Isolation community,Northo,344.7,thick,0.55,0.02,927,A. Vells,expert_judgment,pol_form_library,0.5,
IF-0233,FORM-0559,IE-0103,behavior,0.83,0.86,0.97,0.77,0.75,False,none,none,,,Coder quarter,Densmok,208.2,moderate,0.7,0.13,931,A. Vells,theoretical_prediction,theoretical_model,0.85,
IF-0234,FORM-0478,,creature,0.75,0.71,0.81,0.73,0.71,True,behavioral,significant,True,temporal_smearing,Third Mill,Yeller Quarry,119.9,thin,0.85,-0.1,923,M. Strand,behavioral_testing,indigenous_knowledge,0.84,
IF-0235,FORM-0366,IE-0299,relationship,0.51,0.45,,0.55,0.56,True,temporal,moderate,True,observer_effect,Archive vicinity,Capital,246.8,thick,0.55,-0.04,935,S. Moll,behavioral_testing,consensus_description,0.89,
IF-0236,FORM-0934,IE-0222,relationship,0.58,0.61,,0.54,0.54,True,noise,moderate,False,observer_effect,Siege fields,Tower of Mirado,212.1,moderate,0.7,-0.12,929,C. Vells,structural_analysis,pol_form_library,0.73,
IF-0237,FORM-0555,,hybrid,0.42,0.42,,0.41,0.35,True,temporal,significant,True,spatial_curvature,Scholar's Quarter,Capital,243.0,thick,0.55,-0.13,934,Capital Survey Team,theoretical_prediction,indigenous_knowledge,0.75,
IF-0238,FORM-0098,IE-0222,relationship,0.52,0.46,,0.61,0.47,True,behavioral,significant,False,temporal_smearing,Philosophical Society grounds,Capital,242.9,thick,0.55,-0.03,927,Ingression Study Group,form_catalog_comparison,pol_form_library,0.56,
IF-0239,FORM-0459,IE-0304,relationship,0.69,0.61,,0.65,0.66,True,noise,significant,True,temporal_smearing,Capital proper,Capital,229.1,moderate,0.7,-0.01,930,M. Strand,expert_judgment,pol_form_library,0.57,
IF-0240,FORM-0686,,behavior,0.35,0.36,0.4,0.32,0.3,True,symmetry,minor,False,competing_form,Lake vicinity,Northo,346.1,very_thick,0.4,-0.05,928,Capital Survey Team,structural_analysis,pol_form_library,0.78,
IF-0241,,IE-0362,pattern,0.28,0.27,,0.23,0.33,True,behavioral,significant,True,competing_form,Isolation community,Northo,381.9,very_thick,0.4,-0.12,919,M. Strand,theoretical_prediction,prior_manifestation,0.61,
IF-0242,FORM-0761,,pattern,0.57,0.58,,0.64,0.58,True,noise,moderate,False,competing_form,Western approach,Dens boundary,41.5,moderate,0.7,-0.13,932,Boundary Commission,expert_judgment,theoretical_model,0.73,
IF-0243,,,phenomenon,0.83,0.86,,0.74,0.92,False,none,none,,,Southern perimeter,Dens boundary,55.7,thin,0.85,-0.02,930,Field Team,historical_comparison,theoretical_model,0.63,
IF-0244,FORM-0015,IE-0237,structure,0.33,0.33,,0.41,0.29,True,scale,severe,False,observer_effect,Eastern Northo,Northo,379.1,very_thick,0.4,-0.07,926,C. Vells,historical_comparison,theoretical_model,0.89,
IF-0245,FORM-0785,IE-0025,structure,0.34,0.35,,0.4,0.38,True,hybrid_contamination,moderate,True,observer_effect,Eastern Northo,Northo,311.3,very_thick,0.4,-0.06,935,E. Pol,behavioral_testing,prior_manifestation,0.5,
