pair_id,entity_a_id,entity_a_name,entity_a_type,entity_b_id,entity_b_name,entity_b_type,relationship_type,tension_score,euclidean_distance,shared_neighbors_count,school_alignment_a,school_alignment_b,school_match,tross_cluster_assignment
PAIR-0191,ULH-001,Ulhido,scholar,SCH-003,Vagabu Olt,scholar,itinerant_like,0.45,3.5,0,none,none,True,cluster_beta
PAIR-0192,TUD-001,Tud,person,PLC-001,Capital,place,lives_in,0.28,6.5,0,none,none,True,cluster_nu
PAIR-0193,CSS-001,Cass,person,DSM-001,The Densmonger,person,child_of,0.88,0.9,0,none,none,True,cluster_pi
PAIR-0194,GLL-001,Gull,storyteller,BOS-001,The Boss,leader,worked_for,0.62,2.5,0,none,none,True,cluster_expedition
PAIR-0195,GLL-001,Gull,storyteller,CR019,Nothing Bird,creature,witnessed,0.35,6.0,0,none,none,True,cluster_cross_1
PAIR-0196,BOS-001,The Boss,leader,CR019,Nothing Bird,creature,attempted_capture,-0.72,7.5,0,none,none,True,cluster_cross_1
PAIR-0197,BOS-001,The Boss,leader,CR005,Maw Beast,creature,killed_by,-0.95,9.0,0,none,none,True,cluster_expedition
PAIR-0198,TRK-001,Truck,enforcer,BOS-001,The Boss,leader,worked_for,0.75,1.5,0,none,none,True,cluster_expedition
PAIR-0199,TRK-001,Truck,enforcer,CR005,Maw Beast,creature,killed_by,-0.92,8.8,0,none,none,True,cluster_expedition
PAIR-0200,PLC-003,Yeller Quarry,place,BOS-001,The Boss,leader,expedition_site,-0.45,6.2,0,none,none,True,cluster_expedition
PAIR-0201,CRS-001,Crishl,agent,CR019,Nothing Bird,creature,harnessed,0.72,3.5,0,none,none,True,cluster_yeller
PAIR-0202,CRS-001,Crishl,agent,AGI-001,The Ageless Inventor,creator,created_by,0.88,1.0,0,none,none,True,cluster_rho
PAIR-0203,AGI-001,The Ageless Inventor,creator,GVB-001,Governor Baxter,politician,killed_by,-0.85,8.5,0,none,political,False,cluster_rho
PAIR-0204,SCH-010,Fyncho Delt,scholar,CRS-001,Crishl,agent,met,0.25,5.8,0,none,none,True,cluster_iota
PAIR-0205,HRK-001,Harknet,explorer,PLC-002,Mirado,place,explored_beyond,0.52,6.5,0,none,none,True,cluster_cross_6
PAIR-0206,SCH-021,Kell Sundar,scholar,PLC-011,Seventy Pools,place,studied,0.68,3.8,0,pebble_school,none,False,cluster_gamma
PAIR-0207,PLC-011,Seventy Pools,place,PLC-002,Mirado,place,within,0.92,0.5,0,none,none,True,cluster_place_2
PAIR-0208,SCH-007,Eulr Voss,scholar,PLC-011,Seventy Pools,place,theorized,0.75,3.2,0,water_school,none,False,cluster_gamma
PAIR-0209,CR017,Grimslew Fish,creature,PLC-012,Grimslew Sea,place,origin,0.95,0.3,0,none,none,True,cluster_place_4
PAIR-0210,PLC-012,Grimslew Sea,place,PLC-006,The Dens,place,beneath,0.88,1.0,0,none,none,True,cluster_place_4
PAIR-0211,SCH-001,Grigsu Haldo,scholar,EXP-007,Expedition Seven,event,participated,0.72,3.0,3,stone_school,none,False,cluster_alpha
PAIR-0212,SCH-002,Yasho Krent,scholar,EXP-007,Expedition Seven,event,participated,0.68,3.2,3,water_school,none,False,cluster_alpha
PAIR-0213,SCH-003,Vagabu Olt,scholar,EXP-007,Expedition Seven,event,participated,0.75,2.8,3,none,none,True,cluster_alpha
PAIR-0214,SCH-013,Pollux Dann,scholar,EXP-009,Ninth Expedition,event,died_during,-0.82,7.5,1,none,none,True,cluster_delta
PAIR-0215,SCH-035,Pell Sontar,scholar,EXP-009,Ninth Expedition,event,died_during,-0.82,7.5,1,none,none,True,cluster_delta
PAIR-0216,RLT-001,Rella Tarn,scholar,EXP-009,Ninth Expedition,event,led,0.65,2.5,2,expedition,none,False,cluster_delta
PAIR-0217,PLC-003,Yeller Quarry,place,EXP-009,Ninth Expedition,event,location,0.72,4.0,2,none,none,True,cluster_place_3
PAIR-0218,CR005,Maw Beast,creature,EXP-009,Ninth Expedition,event,caused_deaths,-0.88,8.0,2,none,none,True,cluster_creature_1
PAIR-0219,SCH-016,Senna Grell,scholar,EXP-006,Expedition Six,event,participated,0.68,3.0,0,none,none,True,cluster_beta
PAIR-0220,SCH-024,Wen Torval,scholar,EXP-005,Fifth Expedition,event,died_during,-0.78,7.8,0,none,none,True,cluster_epsilon
PAIR-0221,SCH-025,Jara Torval,scholar,EXP-005,Fifth Expedition,event,participated,0.55,4.0,1,stone_school,none,False,cluster_epsilon
PAIR-0222,SCH-025,Jara Torval,scholar,EXP-010,Tenth Expedition,event,participated,0.62,3.5,0,stone_school,none,False,cluster_epsilon
PAIR-0223,SCH-009,Colonel Viragu,scholar,EXP-001,First Siege,event,led,0.82,1.8,0,none,none,True,cluster_iota
PAIR-0224,SCH-009,Colonel Viragu,scholar,EXP-003,Third Campaign,event,led,0.78,2.0,0,none,none,True,cluster_iota
PAIR-0225,SCH-010,Fyncho Delt,scholar,EXP-001,First Siege,event,participated,0.72,2.5,0,none,none,True,cluster_iota
PAIR-0226,SCH-010,Fyncho Delt,scholar,EXP-003,Third Campaign,event,participated,0.68,2.8,0,none,none,True,cluster_iota
PAIR-0227,VRN-001,Vornis Keth,scholar,SCP-001,Stone School,school,opposed,-0.42,4.5,0,geometric,stone,False,cluster_sigma
PAIR-0228,VRN-001,Vornis Keth,scholar,SCP-002,Water School,school,influenced_by,0.35,3.8,0,geometric,water,False,cluster_sigma
PAIR-0229,SCH-001,Grigsu Haldo,scholar,SCP-001,Stone School,school,adherent,0.85,1.2,2,stone_school,stone,True,cluster_alpha
PAIR-0230,SCH-002,Yasho Krent,scholar,SCP-002,Water School,school,adherent,0.88,1.0,2,water_school,water,True,cluster_alpha
PAIR-0231,SCH-006,Fibon Arrel,scholar,SCP-003,Pebble School,school,founder,0.95,0.5,1,pebble_school,pebble,True,cluster_gamma
PAIR-0232,SCP-001,Stone School,school,SCP-002,Water School,school,rival,-0.72,5.5,0,stone,water,False,cluster_sigma
PAIR-0233,SCP-001,Stone School,school,SCP-003,Pebble School,school,related,0.35,4.0,0,stone,pebble,False,cluster_sigma
PAIR-0234,SCP-002,Water School,school,SCP-003,Pebble School,school,rival,-0.55,4.8,0,water,pebble,False,cluster_sigma
PAIR-0235,SCH-029,Nessa Bright,scholar,SCP-001,Stone School,school,critic,-0.68,5.0,0,water_school,stone,False,cluster_zeta
PAIR-0236,SCH-031,Tam Whistle,scholar,SCP-001,Stone School,school,adherent,0.72,2.0,0,stone_school,stone,True,cluster_eta
PAIR-0237,SCH-032,Lira Canto,scholar,SCP-002,Water School,school,adherent,0.75,1.8,0,water_school,water,True,cluster_eta
PAIR-0238,SCH-027,Callis Fenn,scholar,SCP-004,Literalist School,school,adherent,0.85,1.2,1,literalist,literalist,True,cluster_kappa
PAIR-0239,SCH-028,Roth Fenn,scholar,SCP-004,Literalist School,school,adherent,0.78,1.5,1,literalist,literalist,True,cluster_kappa
PAIR-0240,SCP-004,Literalist School,school,SCP-001,Stone School,school,extreme_variant,0.45,3.2,0,literalist,stone,False,cluster_sigma
PAIR-0241,PMK-001,Pemlik Tross,scholar,SCP-001,Stone School,school,distant,-0.15,6.0,0,graph,stone,False,cluster_lambda
PAIR-0242,PMK-001,Pemlik Tross,scholar,SCP-002,Water School,school,distant,-0.12,6.2,0,graph,water,False,cluster_lambda
PAIR-0243,PMK-001,Pemlik Tross,scholar,SCP-003,Pebble School,school,distant,-0.10,6.5,0,graph,pebble,False,cluster_lambda
PAIR-0244,OLM-001,Old Murch,philosopher,SCP-001,Stone School,school,skeptic,-0.45,4.8,0,skeptics,stone,False,cluster_nu
PAIR-0245,OLM-001,Old Murch,philosopher,SCP-002,Water School,school,skeptic,-0.42,5.0,0,skeptics,water,False,cluster_nu
PAIR-0246,OLM-001,Old Murch,philosopher,SCP-003,Pebble School,school,skeptic,-0.48,4.5,0,skeptics,pebble,False,cluster_nu
PAIR-0247,JKS-001,Jackson,person,SCP-001,Stone School,school,unclassifiable,-0.08,10.0,0,none,stone,False,cluster_anomaly
PAIR-0248,JKS-001,Jackson,person,SCP-002,Water School,school,unclassifiable,-0.05,10.2,0,none,water,False,cluster_anomaly
PAIR-0249,JKS-001,Jackson,person,SCP-003,Pebble School,school,unclassifiable,-0.05,10.2,0,none,pebble,False,cluster_anomaly
PAIR-0250,JKS-001,Jackson,person,SCP-004,Literalist School,school,unclassifiable,-0.02,10.5,0,none,literalist,False,cluster_anomaly
PAIR-0251,CR005,Maw Beast,creature,CR022,Witch Creature,creature,apex_predators,-0.35,5.0,0,none,none,True,cluster_creature_1
PAIR-0252,CR009,Wharver,creature,CR012,Rock-Finned Eel,creature,prey_on,0.42,3.2,0,none,none,True,cluster_creature_4
PAIR-0253,CR016,Tunnel Cat,creature,CR011,Cave Bat,creature,predator_prey,-0.55,4.0,0,none,none,True,cluster_creature_2
PAIR-0254,CR001,Leatherback Burrower,creature,CR003,Granite Wren,creature,cohabitation,0.35,3.5,0,none,none,True,cluster_creature_2
PAIR-0255,CR002,Stone Spine Lizard,creature,CR006,Yeller Frog,creature,territorial,-0.28,4.2,0,none,none,True,cluster_creature_3
PAIR-0256,CR007,Metal-Beaked Finch,creature,CR024,Quarry Moth,creature,predator_prey,-0.42,3.8,0,none,none,True,cluster_creature_3
PAIR-0257,CR013,Toadpipe,creature,PLC-006,The Dens,place,native,0.75,2.5,0,none,none,True,cluster_place_4
PAIR-0258,CR014,Hogfoot,creature,PLC-006,The Dens,place,native,0.72,2.8,0,none,none,True,cluster_place_4
PAIR-0259,CR010,Gritsmuck Crawler,creature,CR023,Marsh Tree Crawler,creature,scavengers,0.55,2.5,0,none,none,True,cluster_creature_5
PAIR-0260,CR004,Swamp Hornet,creature,PLC-006,The Dens,place,native,0.68,3.0,0,none,none,True,cluster_place_4
PAIR-0261,SCH-038,Cort Madden,scholar,EXP-016,Sixteenth Expedition,event,participated,0.62,3.2,0,none,none,True,cluster_delta
PAIR-0262,SCH-030,Gareth Poll,scholar,EXP-015,Fifteenth Expedition,event,participated,0.58,3.5,0,none,none,True,cluster_beta
PAIR-0263,SCH-033,Venn Horak,scholar,EXP-002,Second Survey,event,participated,0.55,4.0,0,none,none,True,cluster_cross_1
PAIR-0264,SCH-033,Venn Horak,scholar,EXP-004,Fourth Survey,event,participated,0.52,4.2,0,none,none,True,cluster_cross_1
PAIR-0265,SCH-024,Wen Torval,scholar,EXP-004,Fourth Survey,event,participated,0.58,3.8,0,none,none,True,cluster_epsilon
PAIR-0266,AKP-001,Archive Keeper,archivist,QVR-001,Queever,archivist,supervises,0.78,1.5,0,archive,archive,True,cluster_archive
PAIR-0267,AKP-001,Archive Keeper,archivist,SLV-001,Solta Venn,scholar,oversees,0.72,1.8,0,archive,provenance,False,cluster_archive
PAIR-0268,AKP-001,Archive Keeper,archivist,KPM-001,Keeper of Maps,archivist,coordinates,0.68,2.0,0,archive,archive,True,cluster_archive
PAIR-0269,AKP-001,Archive Keeper,archivist,TRL-001,Minor Archivist Trell,archivist,oversees,0.65,2.2,0,archive,archive,True,cluster_archive
PAIR-0270,AKP-001,Archive Keeper,archivist,SCH-005,Mink Pavar,scholar,questions,-0.38,4.5,0,archive,water_school,False,cluster_archive
PAIR-0271,SWK-001,Swick,archivist,AKP-001,Archive Keeper,archivist,outside,-0.45,5.5,0,bootleg,archive,False,cluster_archive
PAIR-0272,SWK-001,Swick,archivist,PLC-013,Capeast,place,based_in,0.58,4.0,0,bootleg,none,False,cluster_cross_12
PAIR-0273,PLC-013,Capeast,place,PLC-001,Capital,place,near,0.72,3.5,1,none,none,True,cluster_place_1
PAIR-0274,PLC-013,Capeast,place,PLC-006,The Dens,place,borders,0.62,4.2,0,none,none,True,cluster_place_1
PAIR-0275,SWK-001,Swick,archivist,SCH-003,Vagabu Olt,scholar,trades_with,0.42,4.5,0,bootleg,none,False,cluster_cross_12
PAIR-0276,FMH-001,Foreman Hask,guild,PLC-008,Tripas,place,routes,0.65,4.0,0,traders,none,False,cluster_trader
PAIR-0277,FMH-001,Foreman Hask,guild,PLC-001,Capital,place,routes,0.62,4.2,0,traders,none,False,cluster_trader
PAIR-0278,ADV-001,Administrator Venn,guild,PLC-009,Northo,place,census,0.55,5.0,0,traders,none,False,cluster_trader
PAIR-0279,LRV-001,Lurra Venn,scholar,ADV-001,Administrator Venn,guild,related,0.45,3.5,0,archetype,traders,False,cluster_trader
PAIR-0280,LRV-001,Lurra Venn,scholar,FMH-001,Foreman Hask,guild,colleague,0.52,3.2,1,archetype,traders,False,cluster_trader
PAIR-0281,SCH-003,Vagabu Olt,scholar,FMH-001,Foreman Hask,guild,data_source,0.65,2.8,0,none,traders,False,cluster_trader
PAIR-0282,SCH-003,Vagabu Olt,scholar,ADV-001,Administrator Venn,guild,recorded_by,0.58,3.0,0,none,traders,False,cluster_trader
PAIR-0283,TWT-001,Twenty-Ten Group,organization,OLM-001,Old Murch,philosopher,founded_by,0.82,1.5,0,assessment,skeptics,False,cluster_nu
PAIR-0284,TWT-001,Twenty-Ten Group,organization,LRV-001,Lurra Venn,scholar,assessed,-0.35,4.5,0,assessment,archetype,False,cluster_trader
PAIR-0285,TWT-001,Twenty-Ten Group,organization,TCS-001,Tennev Crost,scholar,assessed,-0.32,4.8,0,assessment,prediction,False,cluster_anomaly
PAIR-0286,SKP-001,Skeptics Group,organization,OLM-001,Old Murch,philosopher,member,0.88,0.8,0,skeptics,skeptics,True,cluster_nu
PAIR-0287,SKP-001,Skeptics Group,organization,TWT-001,Twenty-Ten Group,organization,related,0.72,1.8,1,skeptics,assessment,False,cluster_nu
PAIR-0288,SKP-001,Skeptics Group,organization,LRV-001,Lurra Venn,scholar,critiques,-0.42,4.2,0,skeptics,archetype,False,cluster_trader
PAIR-0289,SKP-001,Skeptics Group,organization,VRN-001,Vornis Keth,scholar,critiques,-0.38,4.5,0,skeptics,geometric,False,cluster_lambda
PAIR-0290,SKP-001,Skeptics Group,organization,PMK-001,Pemlik Tross,scholar,critiques,-0.35,4.8,0,skeptics,graph,False,cluster_lambda
PAIR-0291,CTG-001,Cartographers Guild,organization,SCH-003,Vagabu Olt,scholar,independent,-0.15,5.5,0,guild,none,False,cluster_beta
PAIR-0292,CTG-001,Cartographers Guild,organization,PRB-002,Guild Master Prebel,guild,led_by,0.85,1.2,0,guild,guild,True,cluster_guild
PAIR-0293,CTG-001,Cartographers Guild,organization,KRM-001,Kerith Moll,scholar,assessor,0.78,1.5,0,guild,guild,True,cluster_guild
PAIR-0294,CTG-001,Cartographers Guild,organization,MRD-001,Maren Drusk,scholar,modernizer,0.62,2.5,0,guild,algorithmic,False,cluster_guild
PAIR-0295,CTG-001,Cartographers Guild,organization,VST-001,Vass Tonner,scholar,traditionalist,0.58,2.8,0,guild,traditional,False,cluster_guild
PAIR-0296,TRG-001,Traders Guild,organization,LRV-001,Lurra Venn,scholar,member,0.72,2.0,0,traders,archetype,False,cluster_trader
PAIR-0297,TRG-001,Traders Guild,organization,MDR-001,Meck Drune,trader,member,0.55,3.2,0,traders,anti_pattern,False,cluster_trader
PAIR-0298,TRG-001,Traders Guild,organization,FMH-001,Foreman Hask,guild,member,0.75,1.8,0,traders,traders,True,cluster_trader
PAIR-0299,TRG-001,Traders Guild,organization,ADV-001,Administrator Venn,guild,member,0.72,2.0,0,traders,traders,True,cluster_trader
PAIR-0300,TRG-001,Traders Guild,organization,OLM-001,Old Murch,philosopher,emeritus,0.45,3.8,0,traders,skeptics,False,cluster_nu
