journey_id,trader_id,journey_number,archetype_classification,classification_confidence,signature_vector,cluster_id,outlier_score,trajectory_position
JRN-BAG-0159,TRAV-BAGBU,159,JRN-WH,0.786,"[0.418,0.238,0.224,0.315,0.588,0.572,0.454,0.422,0.353,0.374]",7,0.188,0.398
JRN-BAG-0160,TRAV-BAGBU,160,JRN-HA,0.582,"[0.772,0.690,1.000,0.504,0.777,0.455,0.426,0.200,0.463,0.550]",13,0.288,0.4
JRN-BAG-0161,TRAV-BAGBU,161,JRN-UN,0.369,"[0.069,0.693,0.566,0.838,0.482,0.601,0.202,0.528,0.230,0.518]",18,0.481,0.403
JRN-BAG-0162,TRAV-BAGBU,162,JRN-LF,0.662,"[0.000,0.336,0.119,0.408,1.000,0.423,0.000,0.611,0.181,0.023]",2,0.242,0.405
JRN-BAG-0163,TRAV-BAGBU,163,JRN-WH,0.849,"[0.585,0.702,0.306,0.650,0.622,0.390,0.487,0.506,0.527,0.618]",4,0,0.407
JRN-BAG-0164,TRAV-BAGBU,164,JRN-WH,0.842,"[0.374,0.387,0.531,0.619,0.360,0.370,0.345,0.347,0.372,0.333]",8,0.258,0.41
JRN-BAG-0165,TRAV-BAGBU,165,JRN-WH,0.895,"[0.675,0.402,0.439,0.385,0.505,0.575,0.442,0.559,0.346,0.630]",8,0.052,0.412
JRN-BAG-0166,TRAV-BAGBU,166,JRN-DO,0.794,"[0.264,0.000,0.141,0.183,0.201,0.653,0.815,0.887,0.816,0.380]",11,0.339,0.415
JRN-BAG-0167,TRAV-BAGBU,167,JRN-WH,0.864,"[0.252,0.645,0.438,0.504,0.749,0.549,0.469,0.616,0.411,0.479]",7,0,0.417
JRN-BAG-0168,TRAV-BAGBU,168,JRN-WH,0.867,"[0.397,0.479,0.687,0.687,0.489,0.511,0.247,0.402,0.538,0.282]",5,0.174,0.42
JRN-BAG-0169,TRAV-BAGBU,169,JRN-WH,0.95,"[0.476,0.798,0.757,0.656,0.703,0.684,0.561,0.738,0.389,0.224]",8,0.06,0.422
JRN-BAG-0170,TRAV-BAGBU,170,JRN-WH,0.815,"[0.433,0.567,0.317,0.302,0.459,0.705,0.863,0.448,0.689,0.672]",4,0.065,0.425
JRN-BAG-0171,TRAV-BAGBU,171,JRN-WH,0.908,"[0.909,0.271,0.552,0.442,0.576,0.415,0.432,0.227,0.516,0.275]",7,0.189,0.427
JRN-BAG-0172,TRAV-BAGBU,172,JRN-DO,0.705,"[0.365,0.000,0.000,0.251,0.200,0.638,1.000,0.650,1.000,0.195]",11,0.206,0.43
JRN-BAG-0173,TRAV-BAGBU,173,JRN-LF,0.912,"[0.257,0.000,0.000,0.436,0.979,0.044,0.046,0.910,0.124,0.077]",2,0.201,0.432
JRN-BAG-0174,TRAV-BAGBU,174,JRN-HA,0.564,"[0.491,1.000,0.935,0.791,0.939,0.758,0.492,0.729,0.291,0.794]",13,0.293,0.435
JRN-BAG-0175,TRAV-BAGBU,175,JRN-LF,0.747,"[0.000,0.434,0.176,0.330,0.821,0.419,0.122,1.000,0.198,0.093]",2,0.268,0.438
JRN-BAG-0176,TRAV-BAGBU,176,JRN-WH,0.856,"[0.595,0.407,0.240,0.657,0.488,0.539,0.542,0.320,0.663,0.604]",6,0.152,0.44
JRN-BAG-0177,TRAV-BAGBU,177,JRN-WH,0.911,"[0.358,0.325,0.676,0.580,0.431,0.443,0.438,0.584,0.496,0.163]",8,0.023,0.443
JRN-BAG-0178,TRAV-BAGBU,178,JRN-LF,0.677,"[0.000,0.075,0.021,0.327,0.870,0.277,0.193,0.964,0.296,0.000]",3,0.07,0.445
JRN-BAG-0179,TRAV-BAGBU,179,JRN-LF,0.879,"[0.157,0.397,0.156,0.339,0.741,0.000,0.130,0.693,0.116,0.173]",3,0.048,0.448
JRN-BAG-0180,TRAV-BAGBU,180,JRN-UN,0.545,"[0.298,0.701,0.520,0.470,0.340,0.396,0.068,0.747,0.327,0.556]",17,0.504,0.45
JRN-BAG-0181,TRAV-BAGBU,181,JRN-WH,0.937,"[0.289,0.491,0.345,0.499,0.481,0.441,0.298,0.453,0.478,0.627]",8,0.338,0.453
JRN-BAG-0182,TRAV-BAGBU,182,JRN-WH,0.836,"[0.307,0.441,0.650,0.606,0.468,0.512,0.841,0.654,0.638,0.709]",5,0.15,0.455
JRN-BAG-0183,TRAV-BAGBU,183,JRN-LF,0.841,"[0.291,0.518,0.000,0.162,0.883,0.111,0.283,0.987,0.163,0.411]",1,0.096,0.458
JRN-BAG-0184,TRAV-BAGBU,184,JRN-WH,0.825,"[0.637,0.321,0.504,0.779,0.601,0.544,0.576,0.546,0.185,0.466]",8,0.056,0.46
JRN-BAG-0185,TRAV-BAGBU,185,JRN-LF,0.882,"[0.106,0.369,0.037,0.257,1.000,0.076,0.000,0.692,0.191,0.000]",2,0.152,0.463
JRN-BAG-0186,TRAV-BAGBU,186,JRN-WH,0.92,"[0.834,0.664,0.653,0.601,0.535,0.454,0.495,0.251,0.679,0.672]",6,0,0.465
JRN-BAG-0187,TRAV-BAGBU,187,JRN-WH,0.874,"[0.415,0.591,0.553,0.260,0.507,0.644,1.000,0.408,0.539,0.260]",8,0.105,0.468
JRN-BAG-0188,TRAV-BAGBU,188,JRN-LF,0.761,"[0.000,0.000,0.045,0.193,0.880,0.071,0.318,0.625,0.372,0.064]",1,0.213,0.47
JRN-BAG-0189,TRAV-BAGBU,189,JRN-WH,0.943,"[0.484,0.436,0.782,0.348,0.269,0.471,0.217,0.792,0.558,0.534]",5,0.035,0.472
JRN-BAG-0190,TRAV-BAGBU,190,JRN-WH,0.791,"[0.386,0.510,0.616,0.393,0.747,0.425,0.267,0.450,0.609,0.590]",8,0.13,0.475
JRN-BAG-0191,TRAV-BAGBU,191,JRN-LF,0.679,"[0.000,0.232,0.000,0.113,0.934,0.324,0.093,0.875,0.325,0.291]",3,0.141,0.477
JRN-BAG-0192,TRAV-BAGBU,192,JRN-UN,0.315,"[0.359,0.405,0.000,0.562,0.429,0.416,0.565,0.670,0.728,0.617]",19,0.399,0.48
JRN-BAG-0193,TRAV-BAGBU,193,JRN-WH,0.859,"[0.539,0.537,0.521,0.396,0.549,0.644,0.362,0.175,0.672,0.600]",4,0.136,0.482
JRN-BAG-0194,TRAV-BAGBU,194,JRN-UN,0.355,"[0.407,0.744,0.459,0.628,0.328,0.545,0.283,0.642,0.327,0.472]",18,0.384,0.485
JRN-BAG-0195,TRAV-BAGBU,195,JRN-DO,0.648,"[0.301,0.034,0.120,0.128,0.000,0.563,0.694,0.759,0.927,0.085]",9,0.19,0.487
JRN-BAG-0196,TRAV-BAGBU,196,JRN-WH,0.93,"[0.580,0.503,0.980,0.471,0.492,0.325,0.660,0.241,0.533,0.392]",6,0.207,0.49
JRN-BAG-0197,TRAV-BAGBU,197,JRN-WH,0.811,"[0.470,0.479,0.545,0.387,0.561,0.342,0.376,0.655,0.510,0.588]",5,0.057,0.492
JRN-BAG-0198,TRAV-BAGBU,198,JRN-HA,0.825,"[0.702,0.732,0.537,0.320,0.604,0.332,0.726,0.493,0.295,0.711]",14,0.437,0.495
JRN-BAG-0199,TRAV-BAGBU,199,JRN-DO,0.856,"[0.160,0.000,0.124,0.066,0.371,0.609,0.947,0.530,0.710,0.176]",9,0.261,0.497
JRN-BAG-0200,TRAV-BAGBU,200,JRN-WH,0.869,"[0.559,0.398,0.680,0.548,0.372,0.619,0.743,0.536,0.461,0.640]",5,0.225,0.5
JRN-BAG-0201,TRAV-BAGBU,201,JRN-HA,0.804,"[0.941,0.664,1.000,0.646,0.902,0.675,0.557,0.466,0.552,0.616]",13,0.313,0.502
JRN-BAG-0202,TRAV-BAGBU,202,JRN-UN,0.443,"[0.325,0.533,0.497,0.658,0.515,0.470,0.227,0.452,0.038,0.642]",19,0.468,0.505
JRN-BAG-0203,TRAV-BAGBU,203,JRN-LF,0.813,"[0.055,0.146,0.000,0.203,1.000,0.265,0.010,0.993,0.471,0.036]",3,0.016,0.507
JRN-BAG-0204,TRAV-BAGBU,204,JRN-WH,0.825,"[0.260,0.451,0.369,0.555,0.267,0.654,0.548,0.421,0.544,0.234]",6,0.206,0.51
JRN-BAG-0205,TRAV-BAGBU,205,JRN-WH,0.797,"[0.547,0.309,0.506,0.393,0.244,0.581,0.530,0.506,0.495,0.570]",6,0.147,0.512
JRN-BAG-0206,TRAV-BAGBU,206,JRN-HA,0.714,"[0.928,0.471,1.000,0.883,0.654,0.402,0.591,0.275,0.200,0.827]",12,0.38,0.515
JRN-BAG-0207,TRAV-BAGBU,207,JRN-WH,0.874,"[0.488,0.621,0.504,0.548,0.242,0.375,0.581,0.617,0.387,0.555]",8,0.055,0.517
JRN-BAG-0208,TRAV-BAGBU,208,JRN-WH,0.888,"[0.508,0.427,0.512,0.537,0.335,0.593,0.428,0.407,0.384,0.399]",5,0.171,0.52
JRN-BAG-0209,TRAV-BAGBU,209,JRN-WH,0.825,"[0.476,0.785,0.421,0.466,0.478,0.436,0.366,0.263,0.284,0.630]",5,0,0.522
JRN-BAG-0210,TRAV-BAGBU,210,JRN-HA,0.676,"[0.705,0.564,0.575,0.601,0.751,0.555,0.643,0.424,0.268,0.537]",14,0.298,0.525
JRN-BAG-0211,TRAV-BAGBU,211,JRN-DO,0.774,"[0.356,0.049,0.286,0.071,0.123,0.795,0.858,0.916,0.759,0.108]",11,0.28,0.527
JRN-BAG-0212,TRAV-BAGBU,212,JRN-WH,0.904,"[0.662,0.663,0.599,0.220,0.405,0.168,0.459,0.732,0.518,0.277]",4,0.009,0.53
JRN-BAG-0213,TRAV-BAGBU,213,JRN-WH,0.805,"[0.672,0.412,0.599,0.573,0.366,0.469,0.375,0.578,0.295,0.519]",4,0.148,0.532
JRN-BAG-0214,TRAV-BAGBU,214,JRN-DO,0.791,"[0.335,0.406,0.276,0.046,0.196,0.691,0.462,0.924,0.782,0.252]",10,0.123,0.535
JRN-BAG-0215,TRAV-BAGBU,215,JRN-UN,0.5,"[0.506,0.481,0.223,0.835,0.420,0.370,0.273,0.297,0.537,0.586]",18,0.49,0.537
JRN-BAG-0216,TRAV-BAGBU,216,JRN-UN,0.487,"[0.147,0.514,0.247,0.562,0.252,0.535,0.121,0.416,0.361,0.571]",15,0.453,0.54
JRN-BAG-0217,TRAV-BAGBU,217,JRN-WH,0.858,"[0.466,0.385,0.579,0.341,0.449,0.442,0.642,0.528,0.422,0.448]",7,0.021,0.542
JRN-BAG-0218,TRAV-BAGBU,218,JRN-WH,0.932,"[0.428,0.468,0.645,0.602,0.667,0.789,0.435,0.364,0.320,0.482]",4,0.202,0.545
JRN-BAG-0219,TRAV-BAGBU,219,JRN-UN,0.538,"[0.321,0.513,0.425,0.839,0.434,0.703,0.522,0.417,0.370,0.384]",18,0.566,0.547
JRN-BAG-0220,TRAV-BAGBU,220,JRN-WH,0.831,"[0.366,0.568,0.365,0.644,0.608,0.349,0.254,0.348,0.654,0.402]",4,0.047,0.55
JRN-BAG-0221,TRAV-BAGBU,221,JRN-WH,0.837,"[0.311,0.269,0.483,0.736,0.599,0.421,0.650,0.707,0.719,0.340]",8,0.028,0.552
JRN-BAG-0222,TRAV-BAGBU,222,JRN-WH,0.784,"[0.575,0.616,0.498,0.370,0.573,0.730,0.552,0.412,0.457,0.484]",8,0.03,0.555
JRN-BAG-0223,TRAV-BAGBU,223,JRN-DO,0.733,"[0.000,0.087,0.365,0.000,0.129,0.762,0.881,0.984,0.891,0.000]",9,0.403,0.557
JRN-BAG-0224,TRAV-BAGBU,224,JRN-DO,0.662,"[0.095,0.095,0.072,0.132,0.000,0.692,0.925,1.000,0.664,0.333]",11,0.101,0.56
JRN-BAG-0225,TRAV-BAGBU,225,JRN-LF,0.89,"[0.265,0.355,0.000,0.171,0.959,0.138,0.237,0.793,0.516,0.075]",2,0.274,0.562
JRN-BAG-0226,TRAV-BAGBU,226,JRN-WH,0.794,"[0.734,0.436,0.431,0.490,0.489,0.463,0.751,0.625,0.722,0.246]",4,0.111,0.565
JRN-BAG-0227,TRAV-BAGBU,227,JRN-LF,0.767,"[0.000,0.422,0.069,0.228,0.945,0.338,0.232,0.812,0.249,0.015]",3,0.313,0.568
JRN-BAG-0228,TRAV-BAGBU,228,JRN-WH,0.929,"[0.506,0.602,0.607,0.423,0.452,0.556,0.387,0.439,0.734,0.388]",5,0.048,0.57
JRN-BAG-0229,TRAV-BAGBU,229,JRN-WH,0.933,"[0.500,0.410,0.729,0.349,0.606,0.513,0.603,0.490,0.676,0.524]",4,0.003,0.573
JRN-BAG-0230,TRAV-BAGBU,230,JRN-LF,0.887,"[0.262,0.228,0.000,0.161,0.874,0.422,0.279,0.871,0.222,0.028]",2,0.168,0.575
JRN-BAG-0231,TRAV-BAGBU,231,JRN-WH,0.806,"[0.430,0.710,0.438,0.399,0.436,0.450,0.534,0.438,0.485,0.426]",4,0.125,0.578
JRN-BAG-0232,TRAV-BAGBU,232,JRN-DO,0.818,"[0.028,0.239,0.176,0.025,0.148,0.386,0.702,0.835,0.641,0.202]",9,0.216,0.58
JRN-BAG-0233,TRAV-BAGBU,233,JRN-UN,0.492,"[0.439,0.553,0.060,0.582,0.493,0.569,0.353,0.946,0.352,0.661]",15,0.579,0.583
JRN-BAG-0234,TRAV-BAGBU,234,JRN-UN,0.326,"[0.118,0.433,0.333,0.787,0.146,0.582,0.305,0.419,0.293,0.795]",17,0.347,0.585
JRN-BAG-0235,TRAV-BAGBU,235,JRN-UN,0.233,"[0.462,0.639,0.416,0.572,0.180,0.692,0.367,0.294,0.421,0.430]",20,0.458,0.588
JRN-BAG-0236,TRAV-BAGBU,236,JRN-UN,0.236,"[0.000,0.573,0.086,0.661,0.533,0.477,0.328,0.385,0.137,0.578]",18,0.491,0.59
JRN-BAG-0237,TRAV-BAGBU,237,JRN-LF,0.761,"[0.302,0.285,0.401,0.223,0.656,0.162,0.082,0.695,0.493,0.016]",3,0,0.593
JRN-BAG-0238,TRAV-BAGBU,238,JRN-LF,0.829,"[0.066,0.000,0.125,0.146,0.834,0.346,0.000,0.783,0.185,0.263]",2,0.102,0.595
JRN-BAG-0239,TRAV-BAGBU,239,JRN-UN,0.504,"[0.401,0.368,0.241,0.706,0.210,0.492,0.100,0.691,0.543,0.577]",19,0.313,0.598
JRN-BAG-0240,TRAV-BAGBU,240,JRN-WH,0.8,"[0.595,0.499,0.472,0.467,0.523,0.233,0.415,0.600,0.128,0.295]",8,0,0.6
JRN-BAG-0241,TRAV-BAGBU,241,JRN-WH,0.894,"[0.467,0.538,0.528,0.663,0.306,0.423,0.284,0.537,0.484,0.428]",5,0.194,0.603
JRN-BAG-0242,TRAV-BAGBU,242,JRN-DO,0.824,"[0.202,0.000,0.168,0.186,0.125,0.851,0.984,0.887,0.730,0.126]",10,0.159,0.605
JRN-BAG-0243,TRAV-BAGBU,243,JRN-WH,0.92,"[0.485,0.430,0.205,0.676,0.604,0.329,0.523,0.337,0.296,0.185]",5,0.109,0.608
JRN-BAG-0244,TRAV-BAGBU,244,JRN-HA,0.716,"[0.797,0.791,0.754,0.362,0.782,0.687,0.677,0.390,0.222,0.546]",13,0.438,0.61
JRN-BAG-0245,TRAV-BAGBU,245,JRN-WH,0.845,"[0.443,0.882,0.662,0.470,0.604,0.615,0.423,0.263,0.429,0.722]",6,0.044,0.613
JRN-BAG-0246,TRAV-BAGBU,246,JRN-DO,0.656,"[0.000,0.000,0.000,0.259,0.275,0.793,0.785,0.694,0.744,0.137]",11,0.036,0.615
JRN-BAG-0247,TRAV-BAGBU,247,JRN-WH,0.877,"[0.354,0.218,0.200,0.435,0.479,0.511,0.615,0.591,0.548,0.517]",6,0.1,0.618
JRN-BAG-0248,TRAV-BAGBU,248,JRN-WH,0.823,"[0.411,0.454,0.383,0.501,0.462,0.527,0.436,0.666,0.319,0.663]",8,0,0.62
JRN-BAG-0249,TRAV-BAGBU,249,JRN-WH,0.867,"[0.484,0.456,0.385,0.605,0.554,0.278,0.549,0.489,0.496,0.399]",7,0.206,0.623
JRN-BAG-0250,TRAV-BAGBU,250,JRN-DO,0.781,"[0.000,0.093,0.101,0.085,0.003,0.292,0.936,1.000,0.973,0.193]",9,0.15,0.625
JRN-BAG-0251,TRAV-BAGBU,251,JRN-WH,0.875,"[0.654,0.746,0.668,0.506,0.540,0.484,0.682,0.412,0.531,0.292]",6,0,0.627
JRN-BAG-0252,TRAV-BAGBU,252,JRN-WH,0.913,"[0.512,0.129,0.440,0.239,0.466,0.601,0.658,0.386,0.579,0.665]",6,0.001,0.63
JRN-BAG-0253,TRAV-BAGBU,253,JRN-WH,0.817,"[0.310,0.530,0.503,0.283,0.604,0.591,0.513,0.715,0.598,0.445]",4,0.064,0.632
JRN-BAG-0254,TRAV-BAGBU,254,JRN-UN,0.531,"[0.280,0.490,0.540,0.779,0.428,0.523,0.121,0.327,0.390,0.437]",17,0.639,0.635
JRN-BAG-0255,TRAV-BAGBU,255,JRN-WH,0.941,"[0.754,0.454,0.294,0.456,0.552,0.705,0.552,0.722,0.552,0.413]",7,0,0.637
JRN-BAG-0256,TRAV-BAGBU,256,JRN-HA,0.596,"[0.517,0.691,0.859,0.784,0.842,0.599,0.557,0.544,0.003,0.563]",13,0.41,0.64
JRN-BAG-0257,TRAV-BAGBU,257,JRN-WH,0.783,"[0.290,0.453,0.315,0.329,0.300,0.381,0.809,0.652,0.707,0.663]",6,0.036,0.642
JRN-BAG-0258,TRAV-BAGBU,258,JRN-UN,0.333,"[0.324,0.317,0.330,0.698,0.513,0.555,0.120,0.581,0.379,0.353]",20,0.301,0.645
JRN-BAG-0259,TRAV-BAGBU,259,JRN-DO,0.868,"[0.020,0.037,0.211,0.111,0.000,0.594,0.921,0.858,0.797,0.000]",10,0.252,0.647
JRN-BAG-0260,TRAV-BAGBU,260,JRN-UN,0.25,"[0.717,0.552,0.580,0.633,0.489,0.590,0.021,0.707,0.120,0.667]",19,0.496,0.65
JRN-BAG-0261,TRAV-BAGBU,261,JRN-LF,0.831,"[0.297,0.340,0.000,0.211,1.000,0.358,0.269,0.923,0.306,0.023]",2,0.081,0.652
JRN-BAG-0262,TRAV-BAGBU,262,JRN-DO,0.643,"[0.394,0.234,0.000,0.164,0.213,0.753,0.569,0.824,0.707,0.056]",10,0.317,0.655
JRN-BAG-0263,TRAV-BAGBU,263,JRN-UN,0.362,"[0.427,0.329,0.467,0.736,0.506,0.560,0.446,0.220,0.481,0.730]",20,0.535,0.657
JRN-BAG-0264,TRAV-BAGBU,264,JRN-LF,0.787,"[0.127,0.276,0.000,0.212,0.797,0.313,0.127,0.947,0.085,0.052]",2,0.103,0.66
JRN-BAG-0265,TRAV-BAGBU,265,JRN-WH,0.911,"[0.618,0.632,0.620,0.577,0.611,0.507,0.914,0.405,0.399,0.269]",5,0.041,0.662
JRN-BAG-0266,TRAV-BAGBU,266,JRN-UN,0.431,"[0.431,0.485,0.128,0.533,0.482,0.446,0.304,0.470,0.432,0.588]",17,0.71,0.665
JRN-BAG-0267,TRAV-BAGBU,267,JRN-WH,0.936,"[0.710,0.554,0.814,0.738,0.420,0.411,0.490,0.303,0.368,0.438]",7,0.004,0.667
JRN-BAG-0268,TRAV-BAGBU,268,JRN-UN,0.381,"[0.564,0.605,0.282,0.370,0.554,0.350,0.520,0.513,0.389,0.619]",16,0.427,0.67
JRN-BAG-0269,TRAV-BAGBU,269,JRN-LF,0.824,"[0.151,0.271,0.000,0.035,0.818,0.068,0.064,0.864,0.122,0.000]",3,0.25,0.672
JRN-BAG-0270,TRAV-BAGBU,270,JRN-LF,0.662,"[0.341,0.319,0.235,0.265,0.846,0.370,0.393,0.648,0.184,0.310]",3,0.123,0.675
JRN-BAG-0271,TRAV-BAGBU,271,JRN-HA,0.796,"[0.843,0.900,0.731,0.731,0.830,0.751,0.624,0.555,0.323,0.492]",14,0.335,0.677
JRN-BAG-0272,TRAV-BAGBU,272,JRN-WH,0.857,"[0.740,0.519,0.647,0.578,0.564,0.613,0.363,0.425,0.541,0.640]",8,0.165,0.68
JRN-BAG-0273,TRAV-BAGBU,273,JRN-WH,0.929,"[0.425,0.498,0.421,0.509,0.276,0.330,0.707,0.344,0.392,0.353]",6,0.209,0.682
JRN-BAG-0274,TRAV-BAGBU,274,JRN-WH,0.94,"[0.336,0.536,0.358,0.291,0.369,0.517,0.269,0.566,0.546,0.392]",4,0.11,0.685
JRN-BAG-0275,TRAV-BAGBU,275,JRN-WH,0.929,"[0.499,0.516,0.499,0.482,0.320,0.474,0.428,0.572,0.551,0.355]",4,0.182,0.688
JRN-BAG-0276,TRAV-BAGBU,276,JRN-WH,0.925,"[0.680,0.310,0.418,0.651,0.492,0.555,0.682,0.412,0.467,0.339]",6,0.058,0.69
JRN-BAG-0277,TRAV-BAGBU,277,JRN-WH,0.912,"[0.474,0.206,0.366,0.290,0.280,0.577,0.555,0.589,0.389,0.580]",8,0,0.693
JRN-BAG-0278,TRAV-BAGBU,278,JRN-LF,0.755,"[0.000,0.294,0.000,0.000,0.936,0.300,0.162,0.658,0.349,0.045]",2,0,0.695
JRN-BAG-0279,TRAV-BAGBU,279,JRN-DO,0.746,"[0.462,0.007,0.097,0.000,0.166,0.909,0.841,0.784,0.998,0.243]",11,0.156,0.698
JRN-BAG-0280,TRAV-BAGBU,280,JRN-DO,0.701,"[0.003,0.163,0.190,0.075,0.249,0.626,0.666,0.908,0.825,0.103]",11,0,0.7
JRN-BAG-0281,TRAV-BAGBU,281,JRN-WH,0.921,"[0.341,0.726,0.557,0.881,0.354,0.543,0.593,0.503,0.308,0.492]",8,0.033,0.703
JRN-BAG-0282,TRAV-BAGBU,282,JRN-HA,0.837,"[1.000,0.776,0.719,0.566,0.434,0.363,0.401,0.418,0.000,0.539]",14,0.378,0.705
JRN-BAG-0283,TRAV-BAGBU,283,JRN-UN,0.369,"[0.594,0.588,0.525,0.592,0.416,0.630,0.474,0.450,0.683,0.517]",16,0.477,0.708
JRN-BAG-0284,TRAV-BAGBU,284,JRN-HA,0.653,"[0.947,0.855,0.829,0.507,1.000,0.557,0.861,0.266,0.000,0.600]",14,0.35,0.71
JRN-BAG-0285,TRAV-BAGBU,285,JRN-WH,0.825,"[0.533,0.609,0.436,0.441,0.764,0.710,0.401,0.302,0.307,0.333]",8,0.287,0.713
JRN-BAG-0286,TRAV-BAGBU,286,JRN-WH,0.834,"[0.424,0.068,0.525,0.605,0.439,0.534,0.694,0.753,0.590,0.315]",8,0.117,0.715
JRN-BAG-0287,TRAV-BAGBU,287,JRN-WH,0.926,"[0.427,0.520,0.370,0.485,0.724,0.512,0.450,0.548,0.307,0.728]",5,0.03,0.718
JRN-BAG-0288,TRAV-BAGBU,288,JRN-WH,0.884,"[0.467,0.564,0.644,0.281,0.622,0.400,0.614,0.314,0.559,0.726]",4,0.08,0.72
JRN-BAG-0289,TRAV-BAGBU,289,JRN-DO,0.825,"[0.261,0.022,0.276,0.000,0.079,0.704,0.729,0.938,0.966,0.068]",11,0.168,0.723
JRN-BAG-0290,TRAV-BAGBU,290,JRN-WH,0.876,"[0.241,0.315,0.637,0.756,0.601,0.291,0.531,0.371,0.542,0.377]",6,0.198,0.725
JRN-BAG-0291,TRAV-BAGBU,291,JRN-WH,0.85,"[0.759,0.215,0.562,0.686,0.445,0.425,0.527,0.362,0.420,0.346]",7,0.175,0.728
JRN-BAG-0292,TRAV-BAGBU,292,JRN-WH,0.887,"[0.406,0.645,0.342,0.641,0.432,0.384,0.401,0.551,0.466,0.428]",6,0.172,0.73
JRN-BAG-0293,TRAV-BAGBU,293,JRN-DO,0.77,"[0.178,0.261,0.293,0.000,0.000,0.498,0.718,0.949,1.000,0.235]",11,0.198,0.733
JRN-BAG-0294,TRAV-BAGBU,294,JRN-HA,0.613,"[1.000,0.743,0.933,0.837,0.669,0.749,0.525,0.406,0.238,0.693]",14,0.408,0.735
JRN-BAG-0295,TRAV-BAGBU,295,JRN-UN,0.336,"[0.402,0.623,0.244,0.543,0.419,0.469,0.146,0.245,0.322,0.652]",19,0.616,0.738
JRN-BAG-0296,TRAV-BAGBU,296,JRN-WH,0.941,"[0.425,0.590,0.681,0.355,0.344,0.332,0.429,0.417,0.401,0.393]",4,0.202,0.74
JRN-BAG-0297,TRAV-BAGBU,297,JRN-WH,0.842,"[0.512,0.518,0.250,0.463,0.581,0.593,0.277,0.450,0.249,0.513]",6,0.206,0.743
JRN-BAG-0298,TRAV-BAGBU,298,JRN-WH,0.819,"[0.509,0.407,0.471,0.619,0.392,0.500,0.738,0.329,0.276,0.511]",5,0.14,0.745
JRN-BAG-0299,TRAV-BAGBU,299,JRN-WH,0.916,"[0.447,0.741,0.556,0.356,0.558,0.424,0.447,0.707,0.412,0.419]",8,0.012,0.748
JRN-BAG-0300,TRAV-BAGBU,300,JRN-WH,0.945,"[0.507,0.527,0.564,0.471,0.736,0.484,0.392,0.602,0.642,0.429]",7,0.172,0.75
JRN-BAG-0301,TRAV-BAGBU,301,JRN-UN,0.362,"[0.260,0.753,0.349,0.585,0.409,0.443,0.204,0.518,0.550,0.268]",15,0.623,0.752
JRN-BAG-0302,TRAV-BAGBU,302,JRN-WH,0.911,"[0.678,0.509,0.984,0.577,0.732,0.685,0.624,0.538,0.644,0.842]",5,0.043,0.755
JRN-BAG-0303,TRAV-BAGBU,303,JRN-DO,0.612,"[0.086,0.085,0.136,0.024,0.328,0.506,0.815,0.972,0.711,0.101]",9,0.236,0.757
JRN-BAG-0304,TRAV-BAGBU,304,JRN-WH,0.821,"[0.309,0.299,0.388,0.467,0.419,0.515,0.388,0.272,0.500,0.291]",4,0.325,0.76
JRN-BAG-0305,TRAV-BAGBU,305,JRN-LF,0.824,"[0.120,0.125,0.146,0.622,0.961,0.000,0.155,0.649,0.280,0.315]",2,0.138,0.762
JRN-BAG-0306,TRAV-BAGBU,306,JRN-LF,0.841,"[0.000,0.032,0.054,0.028,0.824,0.125,0.251,0.937,0.050,0.157]",3,0.105,0.765
JRN-BAG-0307,TRAV-BAGBU,307,JRN-WH,0.83,"[0.341,0.457,0.529,0.324,0.468,0.191,0.396,0.402,0.404,0.410]",4,0.032,0.767
JRN-BAG-0308,TRAV-BAGBU,308,JRN-WH,0.869,"[0.343,0.509,0.414,0.468,0.651,0.470,0.561,0.476,0.462,0.587]",4,0.076,0.77
JRN-BAG-0309,TRAV-BAGBU,309,JRN-WH,0.863,"[0.711,0.543,0.367,0.612,0.357,0.359,0.601,0.532,0.495,0.476]",5,0,0.772
JRN-BAG-0310,TRAV-BAGBU,310,JRN-UN,0.364,"[0.114,0.341,0.490,0.815,0.223,0.514,0.250,0.363,0.277,0.472]",15,0.311,0.775
JRN-BAG-0311,TRAV-BAGBU,311,JRN-UN,0.536,"[0.487,0.565,0.226,0.665,0.292,0.338,0.481,0.438,0.168,0.411]",20,0.367,0.777
JRN-BAG-0312,TRAV-BAGBU,312,JRN-DO,0.72,"[0.096,0.147,0.282,0.000,0.179,0.994,1.000,0.769,0.849,0.016]",10,0.483,0.78
JRN-BAG-0313,TRAV-BAGBU,313,JRN-UN,0.344,"[0.461,0.382,0.311,0.788,0.266,0.634,0.295,0.358,0.037,0.612]",15,0.458,0.782
JRN-BAG-0314,TRAV-BAGBU,314,JRN-WH,0.868,"[0.077,0.932,0.518,0.529,0.627,0.548,0.144,0.648,0.198,0.305]",8,0.091,0.785
JRN-BAG-0315,TRAV-BAGBU,315,JRN-WH,0.786,"[0.565,0.598,0.587,0.427,0.495,0.627,0.324,0.417,0.512,0.559]",6,0.116,0.787
JRN-BAG-0316,TRAV-BAGBU,316,JRN-UN,0.441,"[0.311,0.395,0.229,0.576,0.205,0.545,0.324,0.518,0.262,0.564]",15,0.405,0.79
