discovery_id,expedition_id,discovery_type,discovery_specific,discovery_significance,protocol_relevant,serendipitous,decision_context,discoverer
DISC-0285,EXP-908-009,geographic,shelter_location,medium,False,True,crew_suggestion,Mik Torvas
DISC-0286,EXP-909-009,phenomenon,stability_indicator,low,False,False,curiosity_investigation,Mik Torvas
DISC-0287,EXP-909-009,artifact,previous_expedition_remains,major,True,False,scheduled_survey,Kira Venn
DISC-0288,EXP-909-009,artifact,buried_cache,low,True,False,scheduled_survey,Joren Pell
DISC-0289,EXP-909-010,creature,creature_interaction,medium,True,True,rest_period_observation,unknown
DISC-0290,EXP-909-010,artifact,historical_marker,medium,True,True,route_deviation,unknown
DISC-0291,EXP-910-005,phenomenon,temporal_inconsistency,medium,False,False,curiosity_investigation,Hesta Vorn
DISC-0292,EXP-910-005,creature,new_creature_species,medium,True,True,route_deviation,Orna Kellith
DISC-0293,EXP-910-006,creature,stakdur_variant,medium,True,True,rest_period_observation,Mik Torvas
DISC-0294,EXP-910-006,creature,creature_nesting_site,high,True,False,scheduled_survey,Orna Kellith
DISC-0295,EXP-910-006,creature,creature_behavior_pattern,medium,False,True,rest_period_observation,Joren Pell
DISC-0296,EXP-910-008,artifact,ancient_structure,major,False,True,crew_suggestion,Wenna Fost
DISC-0297,EXP-910-010,creature,glunge_colony,medium,True,True,crew_suggestion,Joren Pell
DISC-0298,EXP-910-010,phenomenon,dissolution_sign,medium,False,False,discovery_mandate_time,Mik Torvas
DISC-0299,EXP-910-012,creature,creature_migration_route,medium,True,True,crew_suggestion,unknown
DISC-0300,EXP-910-012,artifact,ancient_structure,medium,True,False,protocol_objective,Vass Tonner
DISC-0301,EXP-911-005,geographic,river_crossing,high,False,True,crew_suggestion,Tesson Vash
DISC-0302,EXP-911-005,artifact,memorial_site,low,True,True,rest_period_observation,Penn Kellor
DISC-0303,EXP-911-007,geographic,river_crossing,low,False,False,accident,Mik Torvas
DISC-0304,EXP-911-007,phenomenon,spatial_anomaly_minor,low,False,False,accident,Kern Hollith
DISC-0305,EXP-911-007,phenomenon,spatial_anomaly_minor,major,True,False,protocol_objective,Joren Pell
DISC-0306,EXP-911-009,geographic,landmark_documentation,medium,True,False,protocol_objective,Tess Varn
DISC-0307,EXP-911-009,geographic,geological_formation,high,False,True,accident,Mik Torvas
DISC-0308,EXP-912-004,creature,glunge_colony,medium,False,True,curiosity_investigation,Kern Hollith
DISC-0309,EXP-912-009,creature,creature_migration_route,major,True,True,crew_suggestion,Hesta Vorn
DISC-0310,EXP-912-009,artifact,ancient_structure,low,True,False,protocol_objective,Penn Kellor
DISC-0311,EXP-913-001,phenomenon,compass_deviation_pattern,medium,False,True,curiosity_investigation,Orna Kellith
DISC-0312,EXP-913-002,creature,creature_habitat,low,True,True,curiosity_investigation,Kern Hollith
DISC-0313,EXP-913-002,phenomenon,temporal_inconsistency,medium,False,False,rest_period_observation,unknown
DISC-0314,EXP-913-002,geographic,elevation_survey,major,False,True,accident,Orna Kellith
DISC-0315,EXP-913-008,artifact,tool_fragment,high,False,False,supply_search,Hesta Vorn
DISC-0316,EXP-913-008,creature,unknown_predator_sign,low,True,False,scheduled_survey,Kira Venn
DISC-0317,EXP-913-010,creature,unknown_predator_sign,medium,False,True,crew_suggestion,Tess Varn
DISC-0318,EXP-913-010,artifact,abandoned_equipment,low,True,True,accident,unknown
DISC-0319,EXP-913-013,artifact,historical_marker,major,True,True,accident,Mik Torvas
DISC-0320,EXP-914-001,artifact,tool_fragment,medium,True,True,route_deviation,Kira Venn
DISC-0321,EXP-914-002,artifact,inscribed_stone,medium,False,True,accident,unknown
DISC-0322,EXP-914-002,creature,creature_behavior_pattern,high,False,True,curiosity_investigation,Hesta Vorn
DISC-0323,EXP-914-005,artifact,memorial_site,medium,False,False,discovery_mandate_time,Kira Venn
DISC-0324,EXP-914-005,artifact,tool_fragment,low,False,True,route_deviation,Mik Torvas
DISC-0325,EXP-915-001,geographic,elevation_survey,low,True,False,creature_tracking,Kern Hollith
DISC-0326,EXP-915-001,phenomenon,stability_indicator,medium,False,False,retreat_observation,Joren Pell
DISC-0327,EXP-915-005,phenomenon,atmospheric_effect,high,False,False,curiosity_investigation,Vass Tonner
DISC-0328,EXP-915-005,phenomenon,boundary_fluctuation,medium,False,False,curiosity_investigation,Kira Venn
DISC-0329,EXP-915-005,geographic,defensible_position,low,True,False,protocol_objective,crew_collective
DISC-0331,EXP-917-009,artifact,previous_expedition_remains,medium,True,True,route_deviation,Kira Venn
DISC-0332,EXP-917-009,artifact,buried_cache,low,False,False,accident,Vass Tonner
DISC-0333,EXP-917-009,phenomenon,temporal_inconsistency,low,True,False,protocol_objective,Wenna Fost
DISC-0334,EXP-918-003,geographic,water_source,medium,True,False,protocol_objective,Pell Drenn
DISC-0335,EXP-918-003,phenomenon,temporal_inconsistency,medium,False,False,discovery_mandate_time,crew_collective
DISC-0336,EXP-918-004,phenomenon,stability_indicator,medium,True,False,creature_tracking,unknown
DISC-0337,EXP-918-008,artifact,buried_cache,medium,False,False,rest_period_observation,Kira Venn
DISC-0338,EXP-918-008,geographic,water_source,medium,True,False,creature_tracking,unknown
DISC-0339,EXP-918-009,geographic,cave_system,low,False,False,creature_tracking,Pell Drenn
DISC-0340,EXP-919-001,artifact,buried_cache,medium,False,False,accident,Pell Drenn
DISC-0341,EXP-919-001,creature,stakdur_variant,high,True,False,creature_tracking,Tess Varn
DISC-0342,EXP-919-001,geographic,water_source,low,True,True,discovery_mandate_time,Kira Venn
DISC-0343,EXP-919-002,geographic,terrain_mapping,high,False,True,discovery_mandate_time,Kira Venn
DISC-0344,EXP-920-001,creature,creature_migration_route,low,True,False,creature_tracking,Orna Kellith
DISC-0345,EXP-920-001,geographic,geological_formation,low,False,False,rest_period_observation,Joren Pell
DISC-0346,EXP-920-001,phenomenon,dissolution_sign,medium,False,True,crew_suggestion,Tesson Vash
DISC-0347,EXP-920-006,artifact,memorial_site,high,False,True,route_deviation,Kira Venn
DISC-0348,EXP-920-006,geographic,terrain_mapping,major,False,False,curiosity_investigation,Kern Hollith
DISC-0349,EXP-920-008,geographic,landmark_documentation,high,True,True,route_deviation,Tesson Vash
DISC-0350,EXP-920-008,geographic,terrain_mapping,low,True,False,scheduled_survey,Pell Drenn
DISC-0351,EXP-921-010,creature,creature_interaction,low,False,True,route_deviation,Hesta Vorn
DISC-0352,EXP-921-010,phenomenon,landmark_shift,high,False,False,creature_tracking,Vass Tonner
