measurement_id,entity_type,entity_id,entity_name,target_form_id,target_basin_id,origin_type,navigation_velocity,peak_velocity,initial_velocity,final_velocity,total_duration,acceleration_phase_days,cruise_phase_days,deceleration_phase_days,efficiency_score,comparison_to_average,comparison_to_geodesic,navigation_experience,attractor_strength,path_difficulty,environmental_conditions,measurement_year,measurer,measurement_method,confidence,notes
NS-0099,creature,EN-423,Stakdur specimen,MS-0059,BA-017,genesis,0.072,0.107,0.0449,0.0358,271,64,169,38,0.988,1.119,1.012,inherited_knowledge,1.618,0.84,normal,931,C. Vells,form_transition_timing,0.739,Creature navigation to Form 0059. Experience: inherited_knowledge.
NS-0100,phenomenon,EN-411,Oscillation cycle,MS-0010,BA-040,prior_form,0.0112,0.0203,0.0055,0.0043,365,73,252,40,0.557,0.738,1.794,first_time,1.735,0.863,hostile,924,K. Strand,continuous_tracking,0.828,Phenomenon navigation to Form 0010. Experience: first_time.
NS-0101,collective,EN-485,Swarm movement,MS-0094,BA-022,genesis,0.0303,0.0442,0.0097,0.0133,318,66,236,16,0.661,0.977,1.514,experienced,1.3,1.0,hostile,925,R. Voss,retrospective_calculation,0.934,Collective navigation to Form 0094. Experience: experienced.
NS-0102,structure,EN-031,Crystallization,MS-0083,BA-035,prior_form,0.0889,0.1552,0.0314,0.0187,149,24,103,22,0.839,1.219,1.192,expert,0.882,0.34,normal,926,R. Voss,waypoint_timing,0.881,Structure navigation to Form 0083. Experience: expert.
NS-0103,behavior_pattern,EN-280,Breathing rhythm,MS-0054,BA-050,prior_form,0.1323,0.2176,0.0639,0.024,116,17,92,7,0.685,0.881,1.46,experienced,0.613,0.136,normal,918,K. Strand,retrospective_calculation,0.645,Behavior_Pattern navigation to Form 0054. Experience: experienced.
NS-0104,behavior_pattern,,Tension cycle,MS-0071,BA-048,prior_form,0.0299,0.0557,0.0186,0.0086,365,84,255,26,0.735,0.968,1.36,first_time,1.402,0.698,challenging,929,C. Vells,retrospective_calculation,0.66,Behavior_Pattern navigation to Form 0071. Experience: first_time.
NS-0105,behavior_pattern,,Tension cycle,MS-0089,BA-009,disrupted_state,0.1281,0.1847,0.0526,0.0282,154,27,107,20,0.421,0.432,2.377,experienced,0.471,0.524,optimal,920,Archive Survey Team,continuous_tracking,0.866,Behavior_Pattern navigation to Form 0089. Experience: experienced.
NS-0106,structure,EN-237,Structure emergence,MS-0009,BA-013,genesis,0.1565,0.2962,0.0914,0.0254,70,8,56,6,0.598,0.705,1.671,experienced,0.609,0.324,optimal,924,K. Strand,waypoint_timing,0.935,Structure navigation to Form 0009. Experience: experienced.
NS-0107,creature,,Stakdur specimen,MS-0033,BA-030,induced_start,0.0677,0.0914,0.0462,0.0172,264,28,222,14,0.484,0.566,2.065,first_time,1.732,0.726,normal,921,R. Voss,retrospective_calculation,0.734,Creature navigation to Form 0033. Experience: first_time.
NS-0108,creature,,Digger colony,MS-0043,BA-037,genesis,0.2357,0.3061,0.1768,0.1157,31,3,27,1,0.848,0.694,1.179,expert,1.501,0.568,optimal,925,K. Strand,continuous_tracking,0.772,Creature navigation to Form 0043. Experience: expert.
NS-0109,behavior_pattern,,Tension cycle,MS-0001,BA-001,genesis,0.0743,0.1436,0.0274,0.0084,146,16,118,12,0.959,1.221,1.043,inherited_knowledge,1.8,0.501,optimal,932,R. Voss,continuous_tracking,0.695,Behavior_Pattern navigation to The Quintic Cycle. Experience: inherited_knowledge.
NS-0110,behavior_pattern,,Tension cycle,MS-0048,BA-018,genesis,0.0543,0.0817,0.0425,0.0077,360,71,265,24,0.86,1.171,1.163,first_time,1.964,0.449,normal,924,K. Strand,waypoint_timing,0.739,Behavior_Pattern navigation to Form 0048. Experience: first_time.
NS-0111,creature,EN-058,Reed-spinner,MS-0023,BA-019,disrupted_state,0.0931,0.1148,0.0417,0.0347,168,32,125,11,0.652,0.808,1.533,experienced,0.579,0.144,optimal,930,K. Strand,continuous_tracking,0.989,Creature navigation to Form 0023. Experience: experienced.
NS-0112,creature,,Stakdur specimen,MS-0029,BA-043,genesis,0.0545,0.0879,0.0273,0.0258,275,42,194,39,0.684,0.846,1.461,first_time,0.865,0.635,normal,932,K. Strand,form_transition_timing,0.927,Creature navigation to Form 0029. Experience: first_time.
NS-0113,structure,,Formation growth,MS-0080,BA-048,genesis,0.0477,0.0732,0.0299,0.0148,217,48,148,21,0.807,1.123,1.239,experienced,1.402,0.836,challenging,923,Archive Survey Team,waypoint_timing,0.867,Structure navigation to Form 0080. Experience: experienced.
NS-0114,creature,,Cave bat,MS-0037,BA-007,genesis,0.0663,0.0811,0.0391,0.031,245,27,195,23,0.529,0.597,1.889,first_time,0.802,0.595,optimal,931,C. Vells,waypoint_timing,0.998,Creature navigation to Form 0037. Experience: first_time.
NS-0115,behavior_pattern,,Tension cycle,MS-0020,BA-015,induced_start,0.0911,0.1682,0.0432,0.0335,125,14,95,16,0.967,0.97,1.034,expert,0.6,0.248,normal,930,T. Vells,continuous_tracking,0.953,Behavior_Pattern navigation to Form 0020. Experience: expert.
NS-0116,creature,,Stakdur specimen,MS-0055,BA-010,prior_form,0.2011,0.2723,0.0859,0.0428,36,7,25,4,1.0,1.445,1.0,expert,0.752,0.312,optimal,932,C. Vells,form_transition_timing,0.664,Creature navigation to Form 0055. Experience: expert.
NS-0117,creature,,Reed-spinner,MS-0062,BA-040,genesis,0.0514,0.0896,0.024,0.0145,365,66,263,36,0.545,0.67,1.833,experienced,1.735,0.565,hostile,921,Archive Survey Team,waypoint_timing,0.765,Creature navigation to Form 0062. Experience: experienced.
NS-0118,creature,,Reed-spinner,MS-0085,BA-041,genesis,0.0269,0.0531,0.015,0.0078,365,88,237,40,0.977,1.248,1.023,inherited_knowledge,1.922,0.473,hostile,927,K. Strand,waypoint_timing,0.683,Creature navigation to Form 0085. Experience: inherited_knowledge.
NS-0119,creature,,Digger colony,MS-0015,BA-004,genesis,0.032,0.0407,0.0157,0.0102,365,61,254,50,0.982,0.892,1.018,first_time,1.906,0.673,normal,926,R. Voss,retrospective_calculation,0.52,Creature navigation to Form 0015. Experience: first_time.
NS-0120,behavior_pattern,,Breathing rhythm,MS-0028,BA-002,genesis,0.0343,0.0632,0.0155,0.0126,293,39,236,18,0.903,1.173,1.108,first_time,2.0,0.235,normal,923,Archive Survey Team,continuous_tracking,0.692,Behavior_Pattern navigation to Form 0028. Experience: first_time.
NS-0121,creature,EN-320,Reed-spinner,MS-0049,BA-006,genesis,0.074,0.1052,0.0557,0.0347,91,22,64,5,0.531,0.748,1.883,first_time,0.696,0.337,optimal,919,R. Voss,form_transition_timing,0.641,Creature navigation to Form 0049. Experience: first_time.
NS-0122,creature,,Cave bat,MS-0073,BA-025,induced_start,0.069,0.0902,0.0253,0.0152,275,37,210,28,0.632,0.566,1.581,experienced,1.912,0.432,challenging,925,T. Vells,continuous_tracking,0.634,Creature navigation to Form 0073. Experience: experienced.
NS-0123,creature,EN-118,Scavenger group,MS-0043,BA-037,genesis,0.0972,0.1868,0.074,0.0132,176,40,116,20,0.736,0.616,1.359,experienced,1.501,0.673,challenging,925,C. Vells,form_transition_timing,0.61,Creature navigation to Form 0043. Experience: experienced.
NS-0124,structure,EN-144,Crystallization,MS-0049,BA-006,induced_start,0.1578,0.2888,0.0831,0.0547,121,18,86,17,0.599,0.88,1.67,experienced,0.696,0.129,optimal,927,R. Voss,form_transition_timing,0.983,Structure navigation to Form 0049. Experience: experienced.
NS-0125,structure,,Formation growth,MS-0013,BA-018,genesis,0.1657,0.2362,0.0694,0.0651,57,14,40,3,0.455,0.613,2.2,experienced,1.964,0.299,optimal,918,R. Voss,continuous_tracking,0.591,Structure navigation to Form 0013. Experience: experienced.
NS-0126,creature,,Digger colony,MS-0056,BA-023,genesis,0.0509,0.081,0.0173,0.0087,356,48,264,44,0.879,1.218,1.138,expert,1.218,0.852,normal,920,T. Vells,continuous_tracking,0.531,Creature navigation to Form 0056. Experience: expert.
NS-0127,creature,EN-312,Scavenger group,MS-0019,BA-029,prior_form,0.0394,0.0657,0.0173,0.012,203,41,151,11,0.982,0.907,1.018,inherited_knowledge,1.921,0.254,normal,918,T. Vells,waypoint_timing,0.661,Creature navigation to Form 0019. Experience: inherited_knowledge.
NS-0128,creature,,Reed-spinner,MS-0068,BA-025,genesis,0.135,0.2112,0.0626,0.0197,87,12,64,11,0.427,0.377,2.342,experienced,1.912,0.657,normal,929,C. Vells,waypoint_timing,0.723,Creature navigation to Form 0068. Experience: experienced.
NS-0129,creature,,Scavenger group,MS-0012,BA-023,genesis,0.0878,0.1314,0.0401,0.0296,222,34,172,16,0.459,0.387,2.178,experienced,1.218,0.105,normal,930,K. Strand,waypoint_timing,0.835,Creature navigation to Form 0012. Experience: experienced.
NS-0130,phenomenon,EN-433,Boundary event,MS-0021,BA-001,prior_form,0.052,0.0656,0.0208,0.0161,101,13,78,10,0.632,0.66,1.582,experienced,1.8,0.838,normal,925,C. Vells,retrospective_calculation,0.713,Phenomenon navigation to Form 0021. Experience: experienced.
NS-0131,creature,EN-335,Reed-spinner,MS-0068,BA-025,genesis,0.0694,0.1346,0.0284,0.0257,194,22,149,23,0.911,1.083,1.098,inherited_knowledge,1.912,0.695,challenging,918,R. Voss,continuous_tracking,0.559,Creature navigation to Form 0068. Experience: inherited_knowledge.
NS-0132,creature,,Scavenger group,MS-0086,BA-013,prior_form,0.0278,0.0446,0.0217,0.0061,365,60,262,43,0.45,0.491,2.222,first_time,0.609,0.437,challenging,927,C. Vells,waypoint_timing,0.739,Creature navigation to Form 0086. Experience: first_time.
NS-0133,collective,EN-315,Colony shift,MS-0062,BA-040,disrupted_state,0.0301,0.0527,0.017,0.0083,365,47,280,38,0.426,0.566,2.35,first_time,1.735,0.728,challenging,924,T. Vells,continuous_tracking,0.547,Collective navigation to Form 0062. Experience: first_time.
NS-0134,creature,EN-225,Cave bat,MS-0061,BA-046,disrupted_state,0.0759,0.0941,0.0521,0.0229,109,18,85,6,0.804,1.116,1.243,experienced,0.984,0.457,normal,924,K. Strand,retrospective_calculation,0.998,Creature navigation to Form 0061. Experience: experienced.
NS-0135,creature,EN-277,Digger colony,MS-0028,BA-002,prior_form,0.0871,0.1486,0.0518,0.0217,104,14,84,6,0.636,0.791,1.573,expert,2.0,0.279,normal,922,Archive Survey Team,form_transition_timing,0.995,Creature navigation to Form 0028. Experience: expert.
NS-0136,collective,EN-247,Flock navigation,MS-0011,BA-002,prior_form,0.034,0.0482,0.0106,0.0055,328,77,218,33,0.793,0.935,1.261,first_time,2.0,0.542,hostile,931,K. Strand,continuous_tracking,0.568,Collective navigation to Form 0011. Experience: first_time.
NS-0137,creature,,Scavenger group,MS-0083,BA-035,prior_form,0.0266,0.033,0.0185,0.005,365,67,246,52,0.769,0.91,1.301,first_time,0.882,0.843,normal,928,Archive Survey Team,continuous_tracking,0.801,Creature navigation to Form 0083. Experience: first_time.
NS-0138,creature,,Digger colony,MS-0065,BA-028,genesis,0.0511,0.091,0.0349,0.0184,199,38,137,24,0.922,0.821,1.085,experienced,1.661,0.217,normal,931,C. Vells,form_transition_timing,0.621,Creature navigation to Form 0065. Experience: experienced.
NS-0139,collective,EN-454,Swarm movement,MS-0072,BA-041,genesis,0.0446,0.0675,0.0228,0.0161,365,48,286,31,0.811,1.004,1.232,first_time,1.922,0.833,optimal,922,R. Voss,continuous_tracking,0.699,Collective navigation to Form 0072. Experience: first_time.
NS-0140,behavior_pattern,EN-002,Quintic manifestation,MS-0088,BA-017,prior_form,0.0271,0.0484,0.0169,0.0109,365,78,245,42,0.889,1.209,1.124,first_time,1.618,1.0,hostile,931,R. Voss,retrospective_calculation,0.937,Behavior_Pattern navigation to Form 0088. Experience: first_time.
NS-0141,phenomenon,,Oscillation cycle,MS-0085,BA-041,genesis,0.0125,0.024,0.0079,0.0015,365,61,259,45,0.883,0.742,1.133,first_time,1.922,0.906,challenging,932,Archive Survey Team,form_transition_timing,0.999,Phenomenon navigation to Form 0085. Experience: first_time.
NS-0142,phenomenon,EN-088,Dissolution event,MS-0099,BA-021,genesis,0.0371,0.0502,0.0143,0.0108,365,50,273,42,1.0,1.298,1.0,inherited_knowledge,1.023,0.181,normal,922,R. Voss,retrospective_calculation,0.805,Phenomenon navigation to Form 0099. Experience: inherited_knowledge.
NS-0143,creature,,Reed-spinner,MS-0078,BA-044,disrupted_state,0.0487,0.082,0.0283,0.0223,310,60,218,32,0.98,1.201,1.02,first_time,1.691,0.868,normal,919,R. Voss,waypoint_timing,0.743,Creature navigation to Form 0078. Experience: first_time.
NS-0144,collective,EN-166,Colony shift,MS-0023,BA-019,genesis,0.0213,0.0255,0.0082,0.0086,328,56,250,22,0.985,0.927,1.016,first_time,0.579,0.222,normal,918,Archive Survey Team,waypoint_timing,0.978,Collective navigation to Form 0023. Experience: first_time.
NS-0145,structure,EN-237,Formation growth,MS-0016,BA-046,induced_start,0.1006,0.1372,0.0363,0.0315,108,26,71,11,1.0,1.118,1.0,expert,0.984,0.671,normal,928,K. Strand,form_transition_timing,0.501,Structure navigation to Form 0016. Experience: expert.
NS-0146,creature,,Digger colony,MS-0071,BA-048,genesis,0.0346,0.0576,0.0168,0.0072,230,45,167,18,0.919,1.12,1.088,inherited_knowledge,1.402,0.555,normal,927,T. Vells,form_transition_timing,0.969,Creature navigation to Form 0071. Experience: inherited_knowledge.
NS-0147,behavior_pattern,EN-379,Tension cycle,MS-0051,BA-006,genesis,0.0266,0.04,0.0157,0.0098,365,38,278,49,0.561,0.494,1.782,first_time,0.696,0.899,challenging,920,T. Vells,form_transition_timing,0.982,Behavior_Pattern navigation to Form 0051. Experience: first_time.
NS-0148,phenomenon,,Oscillation cycle,MS-0023,BA-019,prior_form,0.1243,0.1865,0.0467,0.0618,98,12,74,12,0.802,1.146,1.246,inherited_knowledge,0.579,0.665,optimal,927,R. Voss,retrospective_calculation,0.719,Phenomenon navigation to Form 0023. Experience: inherited_knowledge.
NS-0149,collective,EN-217,Flock navigation,MS-0025,BA-032,genesis,0.0652,0.1016,0.0286,0.0203,179,22,136,21,0.865,1.018,1.156,experienced,1.778,0.41,optimal,923,Archive Survey Team,form_transition_timing,0.752,Collective navigation to Form 0025. Experience: experienced.
NS-0150,creature,EN-405,Scavenger group,MS-0056,BA-023,disrupted_state,0.0535,0.0737,0.0291,0.0111,319,39,249,31,0.934,0.975,1.07,first_time,1.218,0.386,normal,929,T. Vells,form_transition_timing,0.609,Creature navigation to Form 0056. Experience: first_time.
NS-0151,phenomenon,,Boundary event,MS-0088,BA-017,genesis,0.0272,0.0495,0.0203,0.0087,222,30,175,17,0.756,1.1,1.323,first_time,1.618,0.52,normal,918,R. Voss,waypoint_timing,0.745,Phenomenon navigation to Form 0088. Experience: first_time.
NS-0152,creature,,Digger colony,MS-0092,BA-009,prior_form,0.0862,0.1374,0.0543,0.0401,108,25,77,6,0.9,0.967,1.111,experienced,0.471,0.388,challenging,930,R. Voss,continuous_tracking,0.633,Creature navigation to Form 0092. Experience: experienced.
NS-0153,phenomenon,,Oscillation cycle,MS-0064,BA-016,induced_start,0.0387,0.0767,0.0122,0.0132,158,15,122,21,0.569,0.559,1.758,experienced,1.543,0.665,hostile,920,C. Vells,form_transition_timing,0.647,Phenomenon navigation to Form 0064. Experience: experienced.
NS-0154,creature,EN-482,Digger colony,MS-0031,BA-037,induced_start,0.176,0.2714,0.0609,0.0235,80,11,60,9,0.873,1.085,1.145,expert,1.501,0.429,normal,928,K. Strand,retrospective_calculation,0.606,Creature navigation to Form 0031. Experience: expert.
NS-0155,creature,,Digger colony,MS-0025,BA-032,prior_form,0.047,0.0807,0.0217,0.0123,156,29,118,9,0.612,0.712,1.634,first_time,1.778,0.242,normal,927,T. Vells,form_transition_timing,0.984,Creature navigation to Form 0025. Experience: first_time.
NS-0156,behavior_pattern,,Breathing rhythm,MS-0031,BA-037,genesis,0.061,0.0825,0.0411,0.0093,309,72,219,18,0.427,0.49,2.34,first_time,1.501,0.352,optimal,918,R. Voss,form_transition_timing,0.709,Behavior_Pattern navigation to Form 0031. Experience: first_time.
NS-0157,phenomenon,,Weather pattern,MS-0030,BA-001,genesis,0.0718,0.1316,0.0381,0.035,178,22,139,17,0.643,0.752,1.554,experienced,1.8,0.499,normal,925,Archive Survey Team,retrospective_calculation,0.769,Phenomenon navigation to Form 0030. Experience: experienced.
NS-0158,phenomenon,EN-338,Oscillation cycle,MS-0001,BA-001,induced_start,0.0588,0.1152,0.0401,0.0231,198,43,145,10,1.0,1.076,1.0,expert,1.8,0.159,normal,919,K. Strand,waypoint_timing,0.844,Phenomenon navigation to The Quintic Cycle. Experience: expert.
NS-0159,creature,,Cave bat,MS-0091,BA-010,prior_form,0.0901,0.1591,0.0476,0.0196,106,24,73,9,0.866,1.069,1.155,inherited_knowledge,0.752,0.657,optimal,932,C. Vells,continuous_tracking,0.775,Creature navigation to Form 0091. Experience: inherited_knowledge.
NS-0160,structure,,Structure emergence,MS-0075,BA-029,genesis,0.0909,0.1679,0.0468,0.0159,141,22,99,20,0.487,0.409,2.055,experienced,1.921,0.785,challenging,927,R. Voss,form_transition_timing,0.641,Structure navigation to Form 0075. Experience: experienced.
NS-0161,collective,EN-396,Flock navigation,MS-0048,BA-018,genesis,0.0645,0.0951,0.0299,0.0085,304,40,232,32,0.961,0.859,1.041,experienced,1.964,0.949,hostile,918,T. Vells,retrospective_calculation,0.977,Collective navigation to Form 0048. Experience: experienced.
NS-0162,creature,EN-348,Reed-spinner,MS-0078,BA-044,genesis,0.0579,0.0984,0.0208,0.0199,167,25,122,20,0.781,0.974,1.281,experienced,1.691,0.584,challenging,918,C. Vells,waypoint_timing,0.65,Creature navigation to Form 0078. Experience: experienced.
NS-0163,creature,,Stakdur specimen,MS-0082,BA-035,prior_form,0.0134,0.0219,0.0065,0.0042,365,69,249,47,0.904,0.935,1.106,first_time,0.882,1.0,challenging,923,R. Voss,continuous_tracking,0.571,Creature navigation to Form 0082. Experience: first_time.
NS-0164,creature,EN-342,Cave bat,MS-0092,BA-009,prior_form,0.0577,0.1037,0.0386,0.0223,153,17,120,16,1.0,1.023,1.0,expert,0.471,0.484,normal,918,C. Vells,waypoint_timing,0.524,Creature navigation to Form 0092. Experience: expert.
NS-0165,creature,EN-373,Scavenger group,MS-0088,BA-017,genesis,0.0249,0.0427,0.0126,0.0056,365,66,273,26,0.94,1.076,1.064,inherited_knowledge,1.618,0.667,hostile,929,R. Voss,retrospective_calculation,0.865,Creature navigation to Form 0088. Experience: inherited_knowledge.
NS-0166,behavior_pattern,,Quintic manifestation,MS-0048,BA-018,genesis,0.1119,0.2128,0.0771,0.0234,101,18,73,10,0.486,0.498,2.057,experienced,1.964,0.376,normal,919,T. Vells,retrospective_calculation,0.962,Behavior_Pattern navigation to Form 0048. Experience: experienced.
NS-0167,behavior_pattern,,Breathing rhythm,MS-0055,BA-010,genesis,0.056,0.0835,0.0173,0.0106,110,23,80,7,0.939,0.916,1.065,first_time,0.752,0.848,normal,923,R. Voss,waypoint_timing,0.936,Behavior_Pattern navigation to Form 0055. Experience: first_time.
NS-0168,creature,,Scavenger group,MS-0008,BA-035,induced_start,0.0527,0.0671,0.0402,0.0136,214,50,142,22,0.676,0.559,1.479,experienced,0.882,0.32,challenging,928,K. Strand,continuous_tracking,0.607,Creature navigation to Form 0008. Experience: experienced.
NS-0169,creature,EN-271,Digger colony,MS-0060,BA-022,prior_form,0.0254,0.0382,0.0084,0.0126,365,40,297,28,0.525,0.483,1.903,first_time,1.3,0.567,normal,919,Archive Survey Team,continuous_tracking,0.556,Creature navigation to Form 0060. Experience: first_time.
NS-0170,behavior_pattern,EN-394,Tension cycle,MS-0095,BA-008,disrupted_state,0.0476,0.0693,0.0182,0.0168,279,55,203,21,0.812,0.717,1.231,first_time,1.205,0.608,challenging,918,Archive Survey Team,form_transition_timing,0.866,Behavior_Pattern navigation to Form 0095. Experience: first_time.
NS-0171,phenomenon,EN-335,Weather pattern,MS-0095,BA-008,genesis,0.0588,0.1147,0.0241,0.0117,117,18,89,10,0.503,0.51,1.989,first_time,1.205,0.499,normal,925,Archive Survey Team,retrospective_calculation,0.968,Phenomenon navigation to Form 0095. Experience: first_time.
NS-0172,structure,,Structure emergence,MS-0100,BA-050,genesis,0.1017,0.1319,0.0578,0.0321,96,11,76,9,0.974,1.035,1.027,experienced,0.613,0.863,challenging,923,C. Vells,retrospective_calculation,0.648,Structure navigation to Form 0100. Experience: experienced.
NS-0173,behavior_pattern,EN-175,Tension cycle,MS-0036,BA-042,induced_start,0.143,0.2364,0.0701,0.0159,117,24,84,9,0.781,0.685,1.28,experienced,0.868,0.673,normal,922,K. Strand,waypoint_timing,0.677,Behavior_Pattern navigation to Form 0036. Experience: experienced.
NS-0174,collective,,Flock navigation,MS-0045,BA-024,genesis,0.0526,0.064,0.0189,0.0231,239,41,165,33,0.909,1.232,1.1,experienced,1.765,0.265,optimal,925,C. Vells,continuous_tracking,0.549,Collective navigation to Form 0045. Experience: experienced.
NS-0175,creature,EN-081,Cave bat,MS-0014,BA-025,genesis,0.0288,0.0361,0.0217,0.0079,365,83,255,27,0.562,0.47,1.78,first_time,1.912,0.578,normal,930,C. Vells,continuous_tracking,0.783,Creature navigation to Form 0014. Experience: first_time.
NS-0176,phenomenon,EN-180,Weather pattern,MS-0091,BA-010,prior_form,0.062,0.1142,0.0418,0.0102,194,27,156,11,0.425,0.528,2.355,experienced,0.752,0.198,optimal,919,Archive Survey Team,waypoint_timing,0.92,Phenomenon navigation to Form 0091. Experience: experienced.
NS-0177,creature,,Scavenger group,MS-0016,BA-046,genesis,0.1349,0.1639,0.0889,0.0193,142,25,105,12,0.404,0.511,2.472,experienced,0.984,0.832,normal,932,C. Vells,form_transition_timing,0.821,Creature navigation to Form 0016. Experience: experienced.
NS-0178,creature,EN-222,Reed-spinner,MS-0085,BA-041,disrupted_state,0.0793,0.1263,0.0448,0.028,121,13,92,16,0.515,0.765,1.942,experienced,1.922,0.567,challenging,924,R. Voss,retrospective_calculation,0.96,Creature navigation to Form 0085. Experience: experienced.
NS-0179,behavior_pattern,EN-333,Breathing rhythm,MS-0042,BA-007,genesis,0.1274,0.1928,0.0567,0.0578,81,19,54,8,1.0,1.348,1.0,expert,0.802,0.387,optimal,926,R. Voss,form_transition_timing,0.783,Behavior_Pattern navigation to Form 0042. Experience: expert.
NS-0180,phenomenon,EN-062,Dissolution event,MS-0082,BA-035,genesis,0.0652,0.1234,0.0432,0.0203,81,16,60,5,0.449,0.528,2.226,first_time,0.882,0.637,optimal,925,R. Voss,continuous_tracking,0.639,Phenomenon navigation to Form 0082. Experience: first_time.
NS-0181,creature,EN-183,Cave bat,MS-0061,BA-046,genesis,0.0722,0.1389,0.0384,0.0229,182,24,132,26,0.517,0.564,1.935,experienced,0.984,0.674,hostile,932,K. Strand,continuous_tracking,0.652,Creature navigation to Form 0061. Experience: experienced.
NS-0182,phenomenon,,Oscillation cycle,MS-0043,BA-037,genesis,0.0116,0.0198,0.0072,0.0047,365,53,288,24,0.739,0.818,1.353,first_time,1.501,0.691,hostile,930,R. Voss,form_transition_timing,0.771,Phenomenon navigation to Form 0043. Experience: first_time.
NS-0183,phenomenon,,Dissolution event,MS-0021,BA-001,induced_start,0.039,0.072,0.0177,0.0094,340,71,219,50,0.928,1.358,1.077,inherited_knowledge,1.8,0.415,normal,924,T. Vells,retrospective_calculation,0.505,Phenomenon navigation to Form 0021. Experience: inherited_knowledge.
NS-0184,creature,,Scavenger group,MS-0032,BA-012,disrupted_state,0.1262,0.2139,0.0497,0.038,41,7,31,3,0.569,0.577,1.759,experienced,0.61,0.842,normal,931,R. Voss,waypoint_timing,0.931,Creature navigation to Form 0032. Experience: experienced.
NS-0185,creature,,Reed-spinner,MS-0033,BA-030,prior_form,0.0303,0.0502,0.0161,0.0149,292,30,238,24,0.538,0.45,1.86,experienced,1.732,0.455,hostile,922,R. Voss,form_transition_timing,0.743,Creature navigation to Form 0033. Experience: experienced.
NS-0186,creature,,Stakdur specimen,MS-0015,BA-004,prior_form,0.0196,0.0321,0.0063,0.0039,365,51,263,51,0.422,0.493,2.369,first_time,1.906,0.702,hostile,923,C. Vells,form_transition_timing,0.954,Creature navigation to Form 0015. Experience: first_time.
NS-0187,creature,,Digger colony,MS-0022,BA-024,genesis,0.0648,0.0936,0.0317,0.0312,164,17,127,20,1.0,1.053,1.0,inherited_knowledge,1.765,0.553,optimal,929,R. Voss,continuous_tracking,0.709,Creature navigation to Form 0022. Experience: inherited_knowledge.
NS-0188,phenomenon,,Weather pattern,MS-0068,BA-025,genesis,0.0665,0.1159,0.0322,0.0098,299,38,241,20,0.803,0.963,1.245,first_time,1.912,0.413,optimal,920,R. Voss,continuous_tracking,0.981,Phenomenon navigation to Form 0068. Experience: first_time.
NS-0189,collective,,Swarm movement,MS-0067,BA-015,genesis,0.0354,0.0638,0.0166,0.0105,365,80,258,27,0.447,0.477,2.235,first_time,0.6,0.842,normal,929,K. Strand,continuous_tracking,0.549,Collective navigation to Form 0067. Experience: first_time.
NS-0190,collective,EN-275,Flock navigation,MS-0096,BA-012,disrupted_state,0.084,0.106,0.0394,0.0182,208,45,142,21,0.948,1.221,1.055,expert,0.61,0.877,challenging,921,T. Vells,continuous_tracking,0.655,Collective navigation to Form 0096. Experience: expert.
NS-0191,creature,,Reed-spinner,MS-0097,BA-037,genesis,0.0585,0.1161,0.0441,0.0093,137,19,110,8,0.411,0.401,2.435,first_time,1.501,0.708,normal,924,Archive Survey Team,retrospective_calculation,0.512,Creature navigation to Form 0097. Experience: first_time.
NS-0192,behavior_pattern,,Breathing rhythm,MS-0077,BA-008,genesis,0.0351,0.0659,0.0212,0.0061,334,51,236,47,0.846,0.776,1.182,first_time,1.205,0.785,challenging,918,C. Vells,waypoint_timing,0.581,Behavior_Pattern navigation to Form 0077. Experience: first_time.
NS-0193,creature,EN-054,Cave bat,MS-0098,BA-045,prior_form,0.1273,0.2003,0.0508,0.0634,101,21,69,11,0.485,0.711,2.062,experienced,0.737,0.522,optimal,918,Archive Survey Team,continuous_tracking,0.811,Creature navigation to Form 0098. Experience: experienced.
NS-0194,collective,,Swarm movement,MS-0064,BA-016,genesis,0.0205,0.0274,0.0086,0.0036,365,79,243,43,0.724,0.978,1.381,first_time,1.543,0.174,normal,926,R. Voss,form_transition_timing,0.794,Collective navigation to Form 0064. Experience: first_time.
NS-0195,collective,,Swarm movement,MS-0085,BA-041,genesis,0.0469,0.0716,0.0322,0.0121,312,49,239,24,0.869,1.131,1.15,first_time,1.922,0.251,normal,926,K. Strand,waypoint_timing,0.997,Collective navigation to Form 0085. Experience: first_time.
NS-0196,creature,EN-223,Cave bat,MS-0097,BA-037,disrupted_state,0.0235,0.0292,0.0098,0.0104,260,34,198,28,0.862,1.174,1.16,inherited_knowledge,1.501,0.599,hostile,924,R. Voss,continuous_tracking,0.715,Creature navigation to Form 0097. Experience: inherited_knowledge.
NS-0197,creature,,Stakdur specimen,MS-0030,BA-001,disrupted_state,0.0826,0.1486,0.0639,0.0365,185,35,128,22,0.959,0.994,1.042,inherited_knowledge,1.8,0.252,normal,920,R. Voss,waypoint_timing,0.811,Creature navigation to Form 0030. Experience: inherited_knowledge.
NS-0198,creature,EN-071,Digger colony,MS-0063,BA-007,prior_form,0.0768,0.1393,0.0565,0.0199,78,17,51,10,0.728,0.907,1.373,first_time,0.802,0.3,optimal,922,R. Voss,retrospective_calculation,0.726,Creature navigation to Form 0063. Experience: first_time.
NS-0199,phenomenon,,Oscillation cycle,MS-0065,BA-028,genesis,0.0313,0.0455,0.0214,0.0049,207,24,158,25,1.0,1.454,1.0,inherited_knowledge,1.661,0.854,normal,926,K. Strand,retrospective_calculation,0.682,Phenomenon navigation to Form 0065. Experience: inherited_knowledge.
