assessment_id,agent_id,domain,domain_specificity,competency_score,reliability,learning_potential,degradation_risk,upper_complexity_bound,resource_requirements,time_to_completion,context_dependency,stress_degradation,dens_proximity_effect,delegation_reliability,supervision_required,autonomy_appropriate,assessment_year,assessment_method,assessor,sample_size,confidence,notes
CA-0133,AG-0152,maintenance,general,0.74,0.43,0.35,0.23,novel_categorization,minimal,days,moderately_context_dependent,0.12,enhancement,reliable,minimal,False,925,direct_testing,Klutch CC Research,144,0.95,
CA-0134,AG-0443,document_processing,specialized,0.52,0.63,0.6,0.07,multi-step_planning,minimal,hours,highly_context_dependent,0.53,minor_degradation,highly_reliable,close,False,917,direct_testing,O. Venn,5,0.7,
CA-0135,AG-0123,preservation,specialized,0.36,0.4,0.61,0.29,pattern_matching,substantial,hours,mildly_context_dependent,0.27,minor_degradation,unreliable,minimal,False,920,behavioral_observation,O. Venn,22,0.95,
CA-0136,AG-0016,resource_acquisition,moderate,0.89,0.77,0.47,0.12,abstract_reasoning,moderate,weeks,moderately_context_dependent,0.2,minor_degradation,unreliable,moderate,False,920,behavioral_observation,P. Anster,73,0.9,
CA-0137,AG-0239,coordination,moderate,0.55,0.89,0.8,0.12,abstract_reasoning,substantial,days,context_independent,0.3,no_effect,variable,minimal,False,925,historical_record,Boundary Commission,137,0.82,
CA-0138,AG-0211,decision_making,moderate,0.73,0.47,0.48,0.19,pattern_matching,moderate,hours,mildly_context_dependent,0.2,significant_degradation,unreliable,minimal,False,922,behavioral_observation,T. Mord,59,0.77,
CA-0139,AG-0319,document_processing,specialized,0.41,0.47,0.15,0.09,pattern_matching,minimal,weeks,mildly_context_dependent,0.47,enhancement,unreliable,moderate,False,938,direct_testing,T. Mord,81,0.67,
CA-0140,AG-0485,spatial_navigation,general,0.37,0.86,0.79,0.34,simple_retrieval,moderate,immediate,moderately_context_dependent,0.58,no_effect,reliable,minimal,True,915,direct_testing,Colony Observation Unit,148,0.7,
CA-0141,AG-0021,preservation,moderate,0.47,0.41,0.38,0.1,novel_categorization,substantial,minutes,moderately_context_dependent,0.43,minor_degradation,variable,close,False,913,direct_testing,Colony Observation Unit,138,0.83,
CA-0142,AG-0281,decision_making,moderate,0.74,0.83,0.75,0.08,simple_retrieval,minimal,days,highly_context_dependent,0.59,no_effect,reliable,close,True,915,peer_assessment,M. Strand,192,0.88,
CA-0143,AG-0183,coordination,moderate,0.85,0.7,0.38,0.11,abstract_reasoning,substantial,days,moderately_context_dependent,0.36,enhancement,variable,close,False,936,direct_testing,T. Crost,152,0.61,
CA-0144,AG-0148,maintenance,highly_specific,0.92,0.56,0.63,0.15,novel_categorization,moderate,weeks,context_independent,0.54,enhancement,variable,none,True,923,self_report,T. Mord,191,0.88,
CA-0145,AG-0372,decision_making,moderate,0.68,0.8,0.26,0.33,abstract_reasoning,moderate,minutes,moderately_context_dependent,0.41,no_effect,reliable,moderate,True,936,behavioral_observation,Klutch CC Research,116,0.93,
CA-0146,AG-0465,coordination,general,0.85,0.86,0.12,0.17,simple_retrieval,moderate,minutes,moderately_context_dependent,0.51,unpredictable,reliable,moderate,True,915,behavioral_observation,T. Mord,56,0.86,
CA-0147,AG-0279,signaling,specialized,0.79,0.56,0.61,0.37,multi-step_planning,moderate,weeks,context_independent,0.11,no_effect,highly_reliable,close,True,917,historical_record,Klutch CC Research,54,0.85,
CA-0148,AG-0204,adaptation,specialized,0.88,0.55,0.37,0.13,multi-step_planning,moderate,weeks,mildly_context_dependent,0.31,unpredictable,variable,minimal,True,912,behavioral_observation,P. Anster,164,0.84,
CA-0149,AG-0460,communication,specialized,0.34,0.4,0.74,0.28,multi-step_planning,moderate,days,mildly_context_dependent,0.58,no_effect,variable,moderate,False,923,peer_assessment,Archive Survey Team,106,0.93,
CA-0150,AG-0232,coordination,specialized,0.44,0.41,0.23,0.17,simple_retrieval,moderate,days,context_independent,0.58,unpredictable,highly_reliable,none,False,925,direct_testing,T. Mord,122,0.65,
CA-0151,AG-0083,communication,universal,0.52,0.76,0.46,0.39,abstract_reasoning,moderate,minutes,mildly_context_dependent,0.12,significant_degradation,unreliable,close,False,936,peer_assessment,Boundary Commission,121,0.72,
CA-0152,AG-0063,document_processing,moderate,0.84,0.6,0.77,0.21,abstract_reasoning,minimal,hours,moderately_context_dependent,0.5,no_effect,highly_reliable,minimal,False,927,behavioral_observation,Boundary Commission,166,0.75,
CA-0153,AG-0397,adaptation,moderate,0.54,0.44,0.61,0.27,pattern_matching,moderate,hours,context_independent,0.5,minor_degradation,variable,none,False,932,behavioral_observation,P. Anster,92,0.92,
CA-0154,AG-0116,coordination,moderate,0.68,0.81,0.54,0.32,multi-step_planning,substantial,minutes,mildly_context_dependent,0.35,minor_degradation,variable,close,False,914,behavioral_observation,Boundary Commission,124,0.73,
CA-0155,AG-0150,adaptation,general,0.31,0.53,0.43,0.29,simple_retrieval,extensive,hours,moderately_context_dependent,0.44,no_effect,not_recommended,moderate,False,932,historical_record,M. Strand,179,0.63,
CA-0156,AG-0020,adaptation,specialized,0.57,0.67,0.76,0.39,novel_categorization,minimal,days,mildly_context_dependent,0.57,no_effect,unreliable,moderate,False,936,behavioral_observation,T. Crost,144,0.85,
CA-0157,AG-0344,communication,specialized,0.38,0.43,0.74,0.32,multi-step_planning,minimal,minutes,context_independent,0.32,significant_degradation,reliable,none,False,934,direct_testing,Archive Survey Team,145,0.75,
CA-0158,AG-0500,communication,general,0.92,0.75,0.56,0.14,pattern_matching,extensive,hours,mildly_context_dependent,0.11,no_effect,reliable,close,True,922,behavioral_observation,Klutch CC Research,42,0.61,
CA-0159,AG-0308,threat_response,moderate,0.7,0.83,0.15,0.2,simple_retrieval,moderate,minutes,moderately_context_dependent,0.24,minor_degradation,highly_reliable,constant,True,923,direct_testing,Klutch CC Research,75,0.82,
CA-0160,AG-0317,document_processing,general,0.38,0.43,0.7,0.3,simple_retrieval,minimal,days,moderately_context_dependent,0.56,significant_degradation,not_recommended,close,False,929,behavioral_observation,O. Venn,171,0.86,
CA-0161,AG-0215,preservation,moderate,0.43,0.72,0.77,0.18,novel_categorization,moderate,weeks,mildly_context_dependent,0.37,significant_degradation,not_recommended,close,False,912,behavioral_observation,T. Mord,43,0.85,
CA-0162,AG-0155,threat_response,specialized,0.39,0.41,0.36,0.26,multi-step_planning,minimal,weeks,moderately_context_dependent,0.15,no_effect,variable,moderate,True,938,behavioral_observation,Boundary Commission,152,0.83,
CA-0163,AG-0292,signaling,moderate,0.66,0.58,0.66,0.12,simple_retrieval,moderate,minutes,mildly_context_dependent,0.39,minor_degradation,highly_reliable,minimal,True,926,direct_testing,M. Strand,104,0.6,
CA-0164,AG-0218,preservation,specialized,0.55,0.94,0.15,0.18,pattern_matching,moderate,minutes,mildly_context_dependent,0.2,significant_degradation,variable,none,False,916,direct_testing,Independent Observer,115,0.89,
CA-0165,AG-0231,pattern_recognition,moderate,0.93,0.42,0.47,0.32,pattern_matching,substantial,hours,moderately_context_dependent,0.57,unpredictable,highly_reliable,moderate,True,931,behavioral_observation,P. Anster,22,0.92,
CA-0166,AG-0153,pattern_recognition,specialized,0.46,0.94,0.38,0.07,pattern_matching,extensive,days,context_independent,0.14,no_effect,variable,none,False,915,direct_testing,Boundary Commission,181,0.64,
CA-0167,AG-0452,resource_acquisition,general,0.93,0.52,0.43,0.38,novel_categorization,substantial,immediate,context_independent,0.12,unpredictable,variable,minimal,False,931,historical_record,Boundary Commission,87,0.88,
CA-0168,AG-0283,pattern_recognition,specialized,0.73,0.91,0.24,0.34,simple_retrieval,minimal,days,moderately_context_dependent,0.21,no_effect,variable,none,False,922,direct_testing,T. Mord,103,0.75,
CA-0169,AG-0079,maintenance,moderate,0.87,0.76,0.37,0.06,abstract_reasoning,moderate,months,mildly_context_dependent,0.16,minor_degradation,reliable,moderate,False,936,behavioral_observation,Archive Survey Team,137,0.93,
CA-0170,AG-0440,construction,general,0.9,0.74,0.32,0.38,novel_categorization,minimal,weeks,highly_context_dependent,0.38,significant_degradation,variable,minimal,True,917,historical_record,M. Strand,150,0.6,
CA-0171,AG-0439,maintenance,specialized,0.94,0.45,0.53,0.1,simple_retrieval,extensive,days,context_independent,0.13,unpredictable,reliable,moderate,True,917,direct_testing,Colony Observation Unit,182,0.64,
CA-0172,AG-0043,threat_response,specialized,0.59,0.76,0.58,0.22,multi-step_planning,moderate,hours,mildly_context_dependent,0.31,no_effect,variable,minimal,True,928,self_report,M. Strand,109,0.64,
CA-0173,AG-0322,threat_response,general,0.62,0.91,0.2,0.21,novel_categorization,extensive,minutes,context_independent,0.36,no_effect,variable,moderate,True,919,behavioral_observation,O. Venn,89,0.82,
CA-0174,AG-0287,communication,moderate,0.52,0.91,0.78,0.17,novel_categorization,minimal,days,mildly_context_dependent,0.12,no_effect,reliable,moderate,False,918,self_report,Klutch CC Research,187,0.82,
CA-0175,AG-0134,preservation,universal,0.46,0.72,0.2,0.19,pattern_matching,moderate,hours,highly_context_dependent,0.46,minor_degradation,reliable,minimal,True,929,historical_record,Independent Observer,139,0.8,
CA-0176,AG-0195,document_processing,universal,0.56,0.85,0.12,0.34,pattern_matching,moderate,hours,moderately_context_dependent,0.24,minor_degradation,variable,moderate,True,937,behavioral_observation,P. Anster,101,0.75,
CA-0177,AG-0408,resource_acquisition,highly_specific,0.93,0.6,0.21,0.27,novel_categorization,minimal,minutes,highly_context_dependent,0.15,no_effect,highly_reliable,moderate,True,919,peer_assessment,P. Anster,41,0.83,
CA-0178,AG-0333,resource_acquisition,moderate,0.52,0.74,0.22,0.1,pattern_matching,substantial,days,moderately_context_dependent,0.24,minor_degradation,variable,minimal,True,913,behavioral_observation,Archive Survey Team,117,0.61,
CA-0179,AG-0374,resource_acquisition,moderate,0.76,0.63,0.7,0.38,novel_categorization,minimal,days,mildly_context_dependent,0.12,no_effect,reliable,minimal,False,931,direct_testing,Colony Observation Unit,86,0.74,
CA-0180,AG-0455,maintenance,moderate,0.73,0.51,0.74,0.18,simple_retrieval,substantial,months,context_independent,0.57,no_effect,variable,close,True,923,behavioral_observation,Klutch CC Research,97,0.63,
CA-0181,AG-0168,decision_making,moderate,0.39,0.49,0.53,0.27,simple_retrieval,moderate,days,context_independent,0.38,significant_degradation,highly_reliable,close,False,926,behavioral_observation,Klutch CC Research,170,0.64,
CA-0182,AG-0308,communication,specialized,0.68,0.67,0.74,0.4,pattern_matching,substantial,hours,highly_context_dependent,0.22,minor_degradation,variable,minimal,False,929,behavioral_observation,M. Strand,24,0.92,
CA-0183,AG-0432,document_processing,universal,0.49,0.71,0.18,0.37,pattern_matching,moderate,weeks,moderately_context_dependent,0.32,no_effect,unreliable,close,False,915,behavioral_observation,P. Anster,195,0.72,
CA-0184,AG-0068,decision_making,moderate,0.48,0.6,0.38,0.23,novel_categorization,minimal,immediate,highly_context_dependent,0.44,unpredictable,reliable,moderate,False,925,behavioral_observation,Independent Observer,113,0.62,
CA-0185,AG-0097,communication,general,0.49,0.7,0.53,0.33,multi-step_planning,moderate,immediate,mildly_context_dependent,0.28,no_effect,unreliable,minimal,False,922,historical_record,Archive Survey Team,134,0.66,
CA-0186,AG-0214,preservation,moderate,0.75,0.5,0.56,0.32,multi-step_planning,minimal,minutes,moderately_context_dependent,0.35,minor_degradation,reliable,moderate,False,926,self_report,Archive Survey Team,130,0.77,
CA-0187,AG-0464,signaling,specialized,0.83,0.51,0.22,0.18,multi-step_planning,substantial,immediate,mildly_context_dependent,0.48,significant_degradation,highly_reliable,minimal,False,927,historical_record,Boundary Commission,22,0.7,
CA-0188,AG-0176,signaling,moderate,0.87,0.77,0.73,0.17,pattern_matching,extensive,immediate,mildly_context_dependent,0.46,no_effect,reliable,close,True,913,historical_record,Independent Observer,182,0.84,
CA-0189,AG-0046,pattern_recognition,moderate,0.74,0.43,0.36,0.32,simple_retrieval,substantial,hours,moderately_context_dependent,0.43,no_effect,reliable,minimal,False,932,historical_record,P. Anster,150,0.94,
CA-0190,AG-0356,signaling,moderate,0.81,0.68,0.66,0.3,novel_categorization,substantial,immediate,moderately_context_dependent,0.46,significant_degradation,highly_reliable,moderate,True,929,peer_assessment,T. Crost,166,0.94,
CA-0191,AG-0427,spatial_navigation,specialized,0.43,0.84,0.46,0.39,novel_categorization,minimal,days,moderately_context_dependent,0.27,minor_degradation,unreliable,minimal,True,937,direct_testing,Boundary Commission,61,0.73,
CA-0192,AG-0219,memory_storage,highly_specific,0.48,0.85,0.27,0.14,novel_categorization,substantial,hours,context_independent,0.28,minor_degradation,unreliable,moderate,False,935,direct_testing,Independent Observer,123,0.62,
CA-0193,AG-0329,construction,highly_specific,0.64,0.45,0.68,0.26,pattern_matching,minimal,hours,context_independent,0.26,no_effect,variable,close,True,939,direct_testing,P. Anster,47,0.7,
CA-0194,AG-0259,maintenance,general,0.51,0.88,0.7,0.36,novel_categorization,substantial,immediate,highly_context_dependent,0.4,significant_degradation,highly_reliable,none,False,929,historical_record,T. Mord,25,0.79,
CA-0195,AG-0327,document_processing,highly_specific,0.35,0.55,0.79,0.07,pattern_matching,moderate,hours,moderately_context_dependent,0.28,no_effect,reliable,moderate,False,912,peer_assessment,Colony Observation Unit,46,0.91,
CA-0196,AG-0089,document_processing,moderate,0.79,0.76,0.14,0.2,simple_retrieval,minimal,minutes,context_independent,0.48,minor_degradation,highly_reliable,moderate,False,923,self_report,T. Crost,78,0.79,
CA-0197,AG-0346,threat_response,moderate,0.9,0.91,0.23,0.1,pattern_matching,substantial,minutes,highly_context_dependent,0.23,no_effect,variable,close,True,912,historical_record,O. Venn,63,0.65,
CA-0198,AG-0373,memory_storage,moderate,0.39,0.83,0.22,0.14,novel_categorization,moderate,days,highly_context_dependent,0.29,minor_degradation,highly_reliable,moderate,True,925,biological_measurement,Boundary Commission,110,0.63,
CA-0199,AG-0276,decision_making,moderate,0.37,0.7,0.78,0.2,multi-step_planning,extensive,hours,mildly_context_dependent,0.19,minor_degradation,variable,constant,False,924,historical_record,Klutch CC Research,27,0.85,
CA-0200,AG-0477,document_processing,specialized,0.75,0.8,0.64,0.26,novel_categorization,minimal,days,mildly_context_dependent,0.32,unpredictable,highly_reliable,close,False,922,direct_testing,T. Mord,9,0.68,
CA-0201,AG-0372,spatial_navigation,highly_specific,0.53,0.51,0.33,0.09,multi-step_planning,minimal,minutes,mildly_context_dependent,0.47,no_effect,reliable,minimal,False,940,behavioral_observation,T. Crost,176,0.67,
CA-0202,AG-0441,construction,highly_specific,0.67,0.44,0.69,0.23,abstract_reasoning,moderate,hours,mildly_context_dependent,0.39,no_effect,variable,close,False,926,peer_assessment,T. Mord,196,0.69,
CA-0203,AG-0386,signaling,moderate,0.39,0.42,0.55,0.36,novel_categorization,substantial,hours,mildly_context_dependent,0.18,no_effect,highly_reliable,moderate,True,934,behavioral_observation,M. Strand,192,0.88,
CA-0204,AG-0246,signaling,moderate,0.44,0.93,0.5,0.06,novel_categorization,substantial,hours,mildly_context_dependent,0.38,significant_degradation,highly_reliable,close,False,937,direct_testing,Klutch CC Research,48,0.83,
CA-0205,AG-0456,adaptation,moderate,0.68,0.43,0.49,0.28,multi-step_planning,moderate,days,mildly_context_dependent,0.32,minor_degradation,highly_reliable,moderate,False,927,behavioral_observation,O. Venn,27,0.76,
CA-0206,AG-0231,construction,moderate,0.93,0.83,0.2,0.27,multi-step_planning,minimal,days,moderately_context_dependent,0.27,no_effect,reliable,close,True,917,behavioral_observation,T. Mord,80,0.69,
CA-0207,AG-0223,decision_making,specialized,0.76,0.9,0.72,0.25,multi-step_planning,minimal,hours,moderately_context_dependent,0.56,minor_degradation,highly_reliable,moderate,True,940,direct_testing,P. Anster,102,0.71,
CA-0208,AG-0014,signaling,specialized,0.67,0.51,0.25,0.37,novel_categorization,extensive,minutes,moderately_context_dependent,0.54,no_effect,highly_reliable,moderate,False,928,behavioral_observation,M. Strand,128,0.94,
CA-0209,AG-0367,coordination,highly_specific,0.57,0.76,0.44,0.39,simple_retrieval,minimal,hours,moderately_context_dependent,0.15,no_effect,reliable,close,True,926,historical_record,Archive Survey Team,15,0.71,
CA-0210,AG-0463,construction,moderate,0.32,0.51,0.73,0.29,simple_retrieval,substantial,days,moderately_context_dependent,0.21,no_effect,reliable,close,False,924,historical_record,Boundary Commission,22,0.68,
CA-0211,AG-0492,communication,specialized,0.76,0.83,0.41,0.05,simple_retrieval,moderate,immediate,mildly_context_dependent,0.36,minor_degradation,variable,moderate,False,928,behavioral_observation,Archive Survey Team,183,0.79,
CA-0212,AG-0303,pattern_recognition,moderate,0.81,0.58,0.12,0.18,multi-step_planning,minimal,hours,moderately_context_dependent,0.55,minor_degradation,reliable,moderate,False,924,historical_record,M. Strand,54,0.78,
CA-0213,AG-0012,construction,general,0.37,0.42,0.15,0.26,pattern_matching,moderate,hours,mildly_context_dependent,0.27,no_effect,variable,minimal,False,917,biological_measurement,Colony Observation Unit,198,0.72,
CA-0214,AG-0359,memory_storage,highly_specific,0.81,0.63,0.45,0.31,multi-step_planning,moderate,hours,highly_context_dependent,0.51,unpredictable,reliable,minimal,True,935,historical_record,T. Mord,118,0.75,
CA-0215,AG-0038,spatial_navigation,universal,0.31,0.63,0.42,0.18,simple_retrieval,substantial,days,moderately_context_dependent,0.41,no_effect,unreliable,moderate,False,915,peer_assessment,T. Crost,84,0.83,
CA-0216,AG-0188,resource_acquisition,moderate,0.94,0.49,0.33,0.05,novel_categorization,substantial,immediate,mildly_context_dependent,0.35,no_effect,variable,minimal,False,934,direct_testing,T. Crost,154,0.93,
CA-0217,AG-0114,resource_acquisition,specialized,0.45,0.47,0.46,0.08,multi-step_planning,minimal,hours,moderately_context_dependent,0.16,no_effect,variable,minimal,False,913,behavioral_observation,O. Venn,107,0.88,
CA-0218,AG-0253,maintenance,specialized,0.6,0.63,0.48,0.23,novel_categorization,substantial,minutes,moderately_context_dependent,0.51,significant_degradation,highly_reliable,moderate,False,935,historical_record,T. Mord,194,0.63,
CA-0219,AG-0243,coordination,specialized,0.65,0.63,0.48,0.12,pattern_matching,moderate,immediate,mildly_context_dependent,0.33,enhancement,reliable,constant,True,913,behavioral_observation,Boundary Commission,104,0.7,
CA-0220,AG-0272,coordination,moderate,0.69,0.82,0.46,0.22,multi-step_planning,moderate,immediate,mildly_context_dependent,0.24,significant_degradation,reliable,minimal,True,927,direct_testing,Archive Survey Team,128,0.62,
CA-0221,AG-0153,preservation,moderate,0.59,0.44,0.16,0.37,pattern_matching,substantial,immediate,moderately_context_dependent,0.56,minor_degradation,reliable,none,False,937,historical_record,M. Strand,39,0.74,
CA-0222,AG-0129,memory_storage,specialized,0.84,0.47,0.57,0.12,pattern_matching,substantial,immediate,context_independent,0.32,minor_degradation,variable,minimal,False,922,self_report,M. Strand,157,0.75,
CA-0223,AG-0172,signaling,general,0.51,0.61,0.51,0.39,novel_categorization,minimal,hours,mildly_context_dependent,0.35,no_effect,variable,moderate,False,938,peer_assessment,P. Anster,38,0.65,
CA-0224,AG-0061,pattern_recognition,highly_specific,0.33,0.72,0.35,0.27,pattern_matching,moderate,minutes,context_independent,0.31,no_effect,highly_reliable,minimal,False,932,direct_testing,Boundary Commission,43,0.62,
CA-0225,AG-0410,memory_storage,specialized,0.6,0.45,0.66,0.11,pattern_matching,substantial,hours,highly_context_dependent,0.35,no_effect,highly_reliable,moderate,True,931,historical_record,Klutch CC Research,49,0.69,
CA-0226,AG-0274,coordination,general,0.91,0.64,0.59,0.24,novel_categorization,moderate,minutes,moderately_context_dependent,0.58,no_effect,variable,close,True,913,direct_testing,T. Crost,133,0.88,
CA-0227,AG-0228,threat_response,highly_specific,0.5,0.62,0.75,0.07,novel_categorization,substantial,weeks,moderately_context_dependent,0.37,unpredictable,reliable,minimal,False,937,direct_testing,T. Mord,17,0.67,
CA-0228,AG-0431,spatial_navigation,specialized,0.9,0.7,0.22,0.12,simple_retrieval,minimal,hours,mildly_context_dependent,0.29,minor_degradation,highly_reliable,close,True,918,direct_testing,Klutch CC Research,28,0.93,
CA-0229,AG-0234,threat_response,moderate,0.39,0.72,0.51,0.15,abstract_reasoning,substantial,minutes,moderately_context_dependent,0.21,no_effect,unreliable,minimal,False,936,behavioral_observation,T. Mord,26,0.85,
CA-0230,AG-0094,communication,specialized,0.37,0.87,0.25,0.23,multi-step_planning,moderate,minutes,moderately_context_dependent,0.14,minor_degradation,reliable,minimal,False,914,direct_testing,T. Crost,67,0.76,
CA-0231,AG-0092,threat_response,moderate,0.43,0.55,0.47,0.23,pattern_matching,substantial,hours,highly_context_dependent,0.5,no_effect,reliable,close,False,916,peer_assessment,M. Strand,60,0.74,
CA-0232,AG-0156,pattern_recognition,specialized,0.6,0.92,0.75,0.23,multi-step_planning,minimal,immediate,context_independent,0.3,minor_degradation,variable,moderate,False,936,direct_testing,Independent Observer,89,0.92,
CA-0233,AG-0381,decision_making,specialized,0.54,0.52,0.42,0.07,novel_categorization,substantial,minutes,moderately_context_dependent,0.47,significant_degradation,variable,minimal,False,925,behavioral_observation,Boundary Commission,131,0.83,
CA-0234,AG-0118,decision_making,moderate,0.78,0.89,0.13,0.24,simple_retrieval,extensive,weeks,moderately_context_dependent,0.49,no_effect,variable,moderate,True,933,behavioral_observation,P. Anster,32,0.89,
CA-0235,AG-0441,coordination,specialized,0.85,0.47,0.7,0.16,abstract_reasoning,moderate,hours,moderately_context_dependent,0.44,unpredictable,highly_reliable,none,False,927,behavioral_observation,M. Strand,43,0.94,
CA-0236,AG-0406,preservation,specialized,0.77,0.71,0.1,0.35,simple_retrieval,substantial,minutes,highly_context_dependent,0.5,significant_degradation,reliable,moderate,True,937,direct_testing,T. Mord,99,0.72,
CA-0237,AG-0475,communication,moderate,0.37,0.72,0.11,0.17,novel_categorization,moderate,immediate,highly_context_dependent,0.48,enhancement,highly_reliable,moderate,False,924,direct_testing,Boundary Commission,149,0.94,
CA-0238,AG-0279,document_processing,highly_specific,0.62,0.78,0.17,0.34,pattern_matching,minimal,days,moderately_context_dependent,0.28,significant_degradation,reliable,none,False,930,self_report,T. Mord,5,0.7,
CA-0239,AG-0090,decision_making,general,0.34,0.9,0.73,0.27,multi-step_planning,substantial,hours,mildly_context_dependent,0.16,no_effect,not_recommended,constant,False,929,historical_record,T. Mord,129,0.76,
CA-0240,AG-0476,construction,specialized,0.87,0.49,0.46,0.06,multi-step_planning,moderate,minutes,context_independent,0.25,significant_degradation,highly_reliable,close,True,926,behavioral_observation,Colony Observation Unit,18,0.79,
CA-0241,AG-0456,spatial_navigation,moderate,0.95,0.82,0.72,0.1,abstract_reasoning,moderate,hours,highly_context_dependent,0.53,significant_degradation,reliable,close,True,930,direct_testing,Archive Survey Team,56,0.78,
CA-0242,AG-0053,memory_storage,moderate,0.73,0.7,0.65,0.36,novel_categorization,moderate,months,mildly_context_dependent,0.51,unpredictable,reliable,moderate,False,938,behavioral_observation,T. Mord,194,0.62,
CA-0243,AG-0027,signaling,specialized,0.66,0.65,0.25,0.13,pattern_matching,substantial,minutes,context_independent,0.18,significant_degradation,variable,moderate,False,921,peer_assessment,P. Anster,163,0.66,
CA-0244,AG-0118,memory_storage,specialized,0.57,0.63,0.55,0.24,novel_categorization,moderate,immediate,context_independent,0.27,minor_degradation,reliable,moderate,False,928,self_report,T. Mord,117,0.78,
CA-0245,AG-0131,preservation,moderate,0.45,0.57,0.2,0.25,novel_categorization,moderate,weeks,highly_context_dependent,0.23,unpredictable,highly_reliable,close,False,924,historical_record,Independent Observer,43,0.69,
CA-0246,AG-0120,signaling,universal,0.51,0.54,0.15,0.36,multi-step_planning,substantial,days,mildly_context_dependent,0.18,significant_degradation,reliable,minimal,False,927,direct_testing,Klutch CC Research,161,0.67,
CA-0247,AG-0154,communication,moderate,0.92,0.46,0.56,0.06,pattern_matching,moderate,weeks,mildly_context_dependent,0.11,significant_degradation,reliable,minimal,True,916,direct_testing,Boundary Commission,182,0.88,
CA-0248,AG-0006,decision_making,highly_specific,0.42,0.92,0.18,0.26,multi-step_planning,moderate,days,mildly_context_dependent,0.59,unpredictable,unreliable,minimal,False,918,behavioral_observation,T. Mord,123,0.93,
CA-0249,AG-0351,construction,general,0.74,0.88,0.76,0.11,novel_categorization,minimal,minutes,moderately_context_dependent,0.54,no_effect,reliable,minimal,False,913,behavioral_observation,Klutch CC Research,160,0.7,
CA-0250,AG-0407,communication,general,0.88,0.65,0.68,0.14,novel_categorization,minimal,minutes,moderately_context_dependent,0.11,minor_degradation,reliable,minimal,False,935,self_report,Archive Survey Team,131,0.89,
CA-0251,AG-0065,threat_response,moderate,0.49,0.59,0.61,0.35,simple_retrieval,substantial,immediate,moderately_context_dependent,0.52,minor_degradation,reliable,minimal,False,938,behavioral_observation,P. Anster,165,0.87,
CA-0252,AG-0319,communication,moderate,0.36,0.48,0.28,0.22,simple_retrieval,minimal,hours,mildly_context_dependent,0.21,significant_degradation,not_recommended,moderate,False,916,direct_testing,T. Mord,145,0.89,
CA-0253,AG-0461,maintenance,specialized,0.86,0.53,0.79,0.27,multi-step_planning,moderate,minutes,moderately_context_dependent,0.49,minor_degradation,highly_reliable,moderate,False,936,behavioral_observation,T. Crost,147,0.93,
CA-0254,AG-0244,coordination,moderate,0.45,0.43,0.38,0.4,novel_categorization,moderate,days,mildly_context_dependent,0.45,minor_degradation,variable,moderate,False,916,historical_record,Colony Observation Unit,146,0.77,
CA-0255,AG-0282,threat_response,highly_specific,0.73,0.95,0.27,0.22,abstract_reasoning,extensive,weeks,moderately_context_dependent,0.32,significant_degradation,reliable,minimal,True,915,peer_assessment,Boundary Commission,67,0.87,
CA-0256,AG-0409,decision_making,moderate,0.46,0.66,0.72,0.08,multi-step_planning,substantial,days,mildly_context_dependent,0.57,no_effect,unreliable,close,False,920,historical_record,T. Crost,169,0.69,
CA-0257,AG-0128,decision_making,general,0.33,0.42,0.79,0.08,simple_retrieval,minimal,hours,highly_context_dependent,0.21,significant_degradation,reliable,minimal,True,915,self_report,T. Mord,183,0.71,
CA-0258,AG-0291,decision_making,moderate,0.7,0.9,0.48,0.22,simple_retrieval,minimal,minutes,moderately_context_dependent,0.3,enhancement,variable,close,False,937,behavioral_observation,Independent Observer,52,0.77,
CA-0259,AG-0165,memory_storage,moderate,0.47,0.67,0.32,0.37,pattern_matching,substantial,days,mildly_context_dependent,0.37,no_effect,variable,moderate,False,923,peer_assessment,Klutch CC Research,68,0.72,
CA-0260,AG-0162,pattern_recognition,moderate,0.93,0.92,0.1,0.33,multi-step_planning,moderate,days,highly_context_dependent,0.23,no_effect,highly_reliable,minimal,False,935,behavioral_observation,Independent Observer,48,0.82,
CA-0261,AG-0480,signaling,highly_specific,0.49,0.79,0.53,0.26,abstract_reasoning,minimal,minutes,highly_context_dependent,0.31,minor_degradation,unreliable,minimal,True,917,historical_record,Independent Observer,157,0.83,
CA-0262,AG-0204,signaling,highly_specific,0.35,0.89,0.38,0.12,abstract_reasoning,extensive,days,context_independent,0.59,minor_degradation,reliable,minimal,True,928,historical_record,Boundary Commission,8,0.69,
CA-0263,AG-0485,resource_acquisition,moderate,0.36,0.59,0.45,0.29,multi-step_planning,moderate,minutes,mildly_context_dependent,0.22,no_effect,reliable,minimal,True,937,self_report,Archive Survey Team,89,0.9,
CA-0264,AG-0276,maintenance,highly_specific,0.78,0.52,0.76,0.11,novel_categorization,extensive,hours,moderately_context_dependent,0.47,minor_degradation,variable,minimal,True,928,direct_testing,Archive Survey Team,81,0.84,
CA-0265,AG-0444,spatial_navigation,general,0.51,0.78,0.51,0.32,pattern_matching,extensive,minutes,moderately_context_dependent,0.29,no_effect,variable,close,False,923,direct_testing,Boundary Commission,106,0.63,
CA-0266,AG-0406,preservation,specialized,0.77,0.52,0.56,0.36,pattern_matching,extensive,immediate,moderately_context_dependent,0.43,no_effect,reliable,close,False,927,historical_record,Independent Observer,110,0.72,
