measurement_id,location,sector,region,dens_proximity_km,barrier_thickness,barrier_permeability,barrier_stability,barrier_uniformity,boundary_drift_rate,spatial_curvature,prebel_discrepancy,ingression_frequency,ingression_rate_correlation,creature_permeability,phenomenon_permeability,pattern_permeability,selective,seasonal_variation,time_of_day_variation,trend,measurement_year,measurer,method,confidence,notes
BM-0128,Eastern markets,,Capital,209.6,66.4,0.4,unstable,highly_variable,3.16,mildly_curved,0.0,47,0.7,0.41,0.44,0.48,True,True,True,thickening,925,Boundary Commission,ingression_correlation,0.77,
BM-0129,Northern approach,,Tower of Mirado,207.8,75.4,0.23,chaotic,highly_variable,2.92,flat,0.0,45,0.59,0.19,0.25,0.27,True,True,False,thickening,929,E. Pol,indigenous_knowledge,0.72,
BM-0130,Northern approach,,Tower of Mirado,174.4,42.9,0.39,chaotic,gradient,3.79,moderately_curved,0.0,23,0.48,0.35,0.37,0.46,True,False,True,unknown,926,Ingression Study Group,pattern_observation,0.56,
BM-0131,Southern camps,,Tower of Mirado,233.3,89.9,0.33,unstable,patchy,2.19,mildly_curved,0.0,24,0.89,0.34,0.3,0.42,True,True,True,unknown,934,T. Mord,ingression_correlation,0.67,
BM-0132,Third Mill,,Yeller Quarry,100.9,54.8,0.5,stable,patchy,6.11,moderately_curved,0.0,39,0.36,0.38,0.49,0.62,True,True,False,thickening,927,A. Prebel,ingression_correlation,0.74,
BM-0133,Eastern markets,,Capital,292.4,75.6,0.28,slowly_varying,uniform,0,mildly_curved,0.0,14,0.54,0.23,0.3,0.32,True,False,True,unknown,933,Boundary Commission,prebel_method,0.59,
BM-0134,Mill vicinity,NW-2,Yeller Quarry,100.1,32.3,0.55,stable,patchy,6.54,moderately_curved,0.0,28,0.34,0.41,0.54,0.61,True,True,True,stable,923,E. Pol,ingression_correlation,0.44,
BM-0135,Coder quarter,Central-12,Densmok,258.0,92.2,0.19,unstable,patchy,2.0,mildly_curved,2.9,4,0.77,0.14,0.2,0.22,True,True,True,unknown,927,S. Moll,ingression_correlation,0.77,
BM-0136,Eastern Northo,SW-6,Northo,340.4,70.0,0.14,stable,highly_variable,0,flat,0.0,32,0.46,0.13,0.14,0.15,True,False,False,stable,934,Boundary Commission,pattern_observation,0.81,
BM-0137,Suburban zone,,Densmok,269.9,96.8,0.2,fluctuating,patchy,1.97,mildly_curved,0.0,27,0.71,0.17,0.22,0.25,True,True,True,thickening,925,Capital Survey Team,spatial_analysis,0.71,
BM-0138,Archive vicinity,Central-12,Capital,268.1,99.8,0.16,chaotic,patchy,1.25,flat,0.0,0,0.83,0.16,0.15,0.16,True,True,False,thickening,922,Ingression Study Group,prebel_method,0.57,
BM-0139,Northern monastery,,Northo,297.6,55.6,0.28,chaotic,patchy,0,moderately_curved,0.0,35,0.65,0.28,0.34,0.34,True,False,True,thickening,925,Field Team,ingression_correlation,0.55,
BM-0140,Capital proper,,Capital,238.5,52.4,0.21,slowly_varying,highly_variable,2.71,mildly_curved,2.2,1,0.7,0.16,0.26,0.25,True,True,True,thinning,926,Boundary Commission,indigenous_knowledge,0.55,
BM-0141,Mill vicinity,,Yeller Quarry,164.5,31.7,0.54,unstable,highly_variable,4.64,moderately_curved,0.0,4,0.82,0.54,0.62,0.68,True,True,True,thickening,931,E. Pol,spatial_analysis,0.66,
BM-0142,Ascetic village,,Northo,254.2,53.7,0.36,fluctuating,gradient,1.25,moderately_curved,0.0,4,0.4,0.28,0.34,0.46,True,True,False,stable,930,M. Strand,spatial_analysis,0.53,
BM-0143,Klutch CC vicinity,,Densmok,183.0,52.0,0.33,fluctuating,uniform,3.87,mildly_curved,0.0,15,0.84,0.31,0.33,0.39,True,False,False,thinning,918,Field Team,pattern_observation,0.65,
BM-0144,Scholar's Quarter,NE-4,Capital,279.2,67.3,0.14,chaotic,highly_variable,1.09,flat,1.7,45,0.38,0.1,0.16,0.16,True,True,True,thickening,934,S. Moll,prebel_method,0.41,
BM-0145,Southern approach,Eastern-3,Yeller Quarry,166.9,35.8,0.31,stable,highly_variable,3.6,highly_curved,0.7,46,0.53,0.32,0.28,0.39,True,True,True,thickening,921,Capital Survey Team,theoretical_inference,0.9,
BM-0146,Dissolution zone,,Dens,0.0,5.3,0.95,fluctuating,gradient,9.95,highly_curved,0.0,9,0.35,1.0,0.94,1.0,True,True,True,thinning,934,A. Prebel,prebel_method,0.5,
BM-0147,Northern monastery,Central-12,Northo,269.2,77.7,0.17,fluctuating,highly_variable,1.48,mildly_curved,0.0,34,0.68,0.13,0.17,0.18,True,False,False,stable,927,C. Vells,prebel_method,0.76,
BM-0148,Archive vicinity,,Capital,273.8,63.1,0.22,chaotic,highly_variable,0.76,flat,0.0,1,0.49,0.22,0.21,0.27,True,False,False,stable,918,A. Vells,ingression_correlation,0.87,
BM-0149,Coder quarter,,Densmok,226.6,97.4,0.25,chaotic,highly_variable,1.75,mildly_curved,0.0,44,0.77,0.19,0.28,0.32,True,True,False,thinning,918,E. Pol,indigenous_knowledge,0.76,
BM-0150,Archive vicinity,,Capital,292.9,88.4,0.31,fluctuating,patchy,0.42,flat,2.0,7,0.77,0.27,0.34,0.37,True,False,False,unknown,923,Field Team,indigenous_knowledge,0.9,
BM-0151,Siege fields,NW-2,Tower of Mirado,167.7,51.6,0.56,stable,highly_variable,5.37,moderately_curved,0.0,0,0.31,0.48,0.64,0.67,True,True,True,unknown,925,Capital Survey Team,prebel_method,0.52,
BM-0152,Coder quarter,,Densmok,268.2,74.2,0.24,stable,uniform,0.38,flat,0.0,10,0.7,0.24,0.22,0.24,True,False,False,thickening,922,Capital Survey Team,indigenous_knowledge,0.74,
BM-0153,Eastern fluctuation zone,SW-6,Dens boundary,47.9,31.7,0.77,chaotic,highly_variable,9.08,moderately_curved,0.0,1,0.61,0.76,0.87,0.91,True,False,False,stable,931,Field Team,ingression_correlation,0.48,
BM-0154,Northern monastery,,Northo,278.7,95.3,0.31,slowly_varying,highly_variable,0.64,flat,3.3,17,0.54,0.22,0.36,0.4,True,False,False,stable,927,Field Team,theoretical_inference,0.72,
BM-0155,Central anomaly,,Dens,0.0,4.9,0.97,chaotic,gradient,9.85,highly_curved,0.0,10,0.55,0.99,1.0,1.0,True,False,False,stable,927,Ingression Study Group,prebel_method,0.64,
BM-0156,Capital outskirts,SE-8,Capital,243.4,99.9,0.32,stable,gradient,1.41,flat,0.0,44,0.39,0.29,0.38,0.34,True,True,False,thickening,929,Capital Survey Team,theoretical_inference,0.74,
BM-0157,Philosophical Society grounds,Eastern-3,Capital,274.5,95.3,0.27,slowly_varying,uniform,1.18,flat,3.9,37,0.65,0.27,0.25,0.28,True,True,False,unknown,919,T. Mord,theoretical_inference,0.51,
BM-0158,Tower base,,Tower of Mirado,212.0,83.9,0.25,stable,patchy,2.51,flat,3.1,7,0.69,0.18,0.26,0.31,True,False,True,stable,930,Boundary Commission,spatial_analysis,0.88,
BM-0159,Educational district,,Densmok,238.8,91.4,0.15,stable,uniform,2.68,mildly_curved,0.0,6,0.63,0.14,0.14,0.16,True,False,True,unknown,932,Ingression Study Group,prebel_method,0.48,
BM-0160,Third Mill,SW-6,Yeller Quarry,149.0,66.4,0.54,stable,patchy,4.14,mildly_curved,4.7,19,0.7,0.44,0.52,0.64,True,False,False,stable,923,T. Mord,prebel_method,0.81,
BM-0161,Siege fields,,Tower of Mirado,154.3,63.9,0.5,fluctuating,patchy,4.39,flat,0.0,28,0.62,0.36,0.47,0.52,True,True,True,unknown,924,M. Strand,indigenous_knowledge,0.83,
BM-0162,Southern perimeter,NE-4,Dens boundary,45.1,23.5,0.77,chaotic,patchy,9.12,highly_curved,0.0,50,0.55,0.55,0.75,0.91,True,False,True,unknown,918,T. Mord,ingression_correlation,0.83,
BM-0163,Western approach,,Dens boundary,46.7,23.3,0.7,unstable,gradient,7.45,highly_curved,2.9,48,0.54,0.52,0.77,0.77,True,False,True,thickening,929,E. Pol,prebel_method,0.81,
BM-0164,Siege fields,,Tower of Mirado,190.0,51.5,0.32,stable,highly_variable,3.53,mildly_curved,0.0,41,0.38,0.31,0.37,0.34,True,True,False,thickening,926,M. Strand,ingression_correlation,0.78,
BM-0165,Capital proper,,Capital,232.4,92.5,0.16,stable,highly_variable,2.37,mildly_curved,0.7,44,0.52,0.18,0.16,0.17,True,False,True,unknown,931,Field Team,ingression_correlation,0.48,
BM-0166,Tower base,,Tower of Mirado,162.7,58.0,0.41,slowly_varying,uniform,5.0,moderately_curved,0.0,34,0.55,0.29,0.37,0.45,True,True,False,thinning,931,Field Team,prebel_method,0.46,
BM-0167,Western approach,NW-2,Dens boundary,36.6,21.5,0.72,unstable,highly_variable,8.9,highly_curved,0.0,39,0.3,0.56,0.83,0.84,True,False,True,thickening,933,Field Team,theoretical_inference,0.54,
BM-0168,Educational district,,Densmok,276.7,94.0,0.23,chaotic,patchy,0.89,flat,0.6,41,0.53,0.23,0.22,0.29,True,True,True,thinning,928,Field Team,pattern_observation,0.72,
BM-0169,Southern camps,NE-4,Tower of Mirado,172.6,40.8,0.51,unstable,uniform,4.97,moderately_curved,0.0,8,0.42,0.54,0.53,0.53,True,False,True,unknown,934,Field Team,spatial_analysis,0.55,
BM-0170,Northern approach,SW-6,Tower of Mirado,212.3,50.9,0.38,stable,highly_variable,2.11,moderately_curved,4.5,25,0.52,0.36,0.4,0.44,True,True,False,stable,928,T. Mord,prebel_method,0.63,
BM-0171,Tower base,,Tower of Mirado,232.0,99.0,0.34,fluctuating,gradient,1.67,mildly_curved,2.9,48,0.52,0.34,0.34,0.41,True,True,False,thickening,928,Boundary Commission,ingression_correlation,0.61,
BM-0172,Northern monastery,,Northo,389.9,58.4,0.4,stable,gradient,0,moderately_curved,0.0,28,0.41,0.3,0.43,0.44,True,True,True,thickening,933,C. Vells,spatial_analysis,0.67,
BM-0173,Eastern fluctuation zone,SE-8,Dens boundary,33.1,14.9,0.71,unstable,highly_variable,9.3,extreme,3.7,48,0.62,0.71,0.66,0.89,True,False,False,thickening,929,Ingression Study Group,indigenous_knowledge,0.72,
BM-0174,Siege fields,,Tower of Mirado,238.0,62.0,0.39,chaotic,highly_variable,1.85,mildly_curved,1.4,33,0.76,0.35,0.37,0.48,True,False,False,thinning,932,Capital Survey Team,pattern_observation,0.4,
BM-0175,Klutch CC vicinity,,Densmok,248.3,54.0,0.24,stable,patchy,1.94,moderately_curved,0.0,27,0.73,0.2,0.22,0.25,True,False,False,thickening,932,Field Team,prebel_method,0.48,
BM-0176,Coder quarter,,Densmok,233.4,68.5,0.1,chaotic,patchy,2.47,flat,0.0,33,0.67,0.11,0.1,0.13,True,False,False,thinning,922,T. Mord,pattern_observation,0.64,
BM-0177,Suburban zone,SW-6,Densmok,226.9,61.6,0.32,stable,gradient,1.92,mildly_curved,3.8,39,0.49,0.23,0.33,0.39,True,True,False,stable,919,A. Prebel,prebel_method,0.61,
BM-0178,Sector SW-6,,Dens boundary,23.4,12.2,0.88,chaotic,highly_variable,8.57,extreme,3.3,3,0.64,0.78,0.97,0.92,True,True,True,unknown,929,T. Mord,theoretical_inference,0.61,
BM-0179,Third Mill,SW-6,Yeller Quarry,160.0,38.2,0.33,slowly_varying,patchy,5.02,highly_curved,0.0,39,0.37,0.32,0.34,0.37,True,False,True,unknown,929,A. Prebel,pattern_observation,0.79,
BM-0180,Philosophical Society grounds,NW-2,Capital,281.0,63.8,0.16,fluctuating,gradient,0.01,flat,2.3,10,0.74,0.17,0.16,0.19,True,True,True,stable,919,S. Moll,ingression_correlation,0.81,
BM-0181,Southern approach,NE-4,Yeller Quarry,143.7,45.7,0.31,stable,patchy,4.75,mildly_curved,1.5,5,0.83,0.31,0.29,0.34,True,True,False,stable,929,E. Pol,ingression_correlation,0.72,
BM-0182,Mill vicinity,,Yeller Quarry,117.5,33.4,0.48,slowly_varying,patchy,6.06,highly_curved,1.0,23,0.83,0.36,0.55,0.61,True,False,True,stable,925,M. Strand,pattern_observation,0.43,
BM-0183,Third Mill,,Yeller Quarry,172.5,47.2,0.51,unstable,highly_variable,3.46,mildly_curved,0.0,26,0.78,0.51,0.47,0.59,True,True,True,stable,929,Capital Survey Team,spatial_analysis,0.57,
BM-0184,Western approach,,Dens boundary,48.2,24.9,0.78,fluctuating,patchy,8.77,highly_curved,2.4,30,0.83,0.74,0.94,0.79,True,True,False,thinning,923,Ingression Study Group,prebel_method,0.82,
BM-0185,Educational district,,Densmok,210.8,60.0,0.24,slowly_varying,patchy,3.56,mildly_curved,0.0,15,0.54,0.25,0.23,0.29,True,False,False,stable,918,A. Vells,ingression_correlation,0.88,
BM-0186,Tower base,,Tower of Mirado,240.4,60.7,0.14,fluctuating,gradient,2.1,flat,2.9,11,0.69,0.14,0.17,0.15,True,True,True,thinning,918,S. Moll,indigenous_knowledge,0.77,
BM-0187,Northern workings,,Yeller Quarry,140.6,40.1,0.6,fluctuating,uniform,6.04,moderately_curved,1.3,9,0.5,0.56,0.68,0.67,True,True,True,thickening,926,A. Prebel,theoretical_inference,0.9,
BM-0188,Southern perimeter,,Dens boundary,26.0,4.6,0.98,chaotic,highly_variable,9.45,highly_curved,0.0,4,0.68,0.93,0.89,1.0,True,False,False,unknown,931,A. Prebel,theoretical_inference,0.62,
BM-0189,Suburban zone,,Densmok,208.6,94.1,0.32,stable,uniform,2.53,flat,0.0,47,0.69,0.26,0.33,0.33,True,True,True,stable,932,Capital Survey Team,theoretical_inference,0.63,
BM-0190,Third Mill,,Yeller Quarry,141.3,60.7,0.5,slowly_varying,patchy,5.98,flat,0.0,2,0.41,0.5,0.49,0.64,True,False,False,thickening,920,E. Pol,indigenous_knowledge,0.79,
BM-0191,Coder quarter,Central-12,Densmok,215.8,58.6,0.36,chaotic,highly_variable,1.86,moderately_curved,0.0,34,0.67,0.37,0.36,0.46,True,True,False,thickening,925,Field Team,theoretical_inference,0.52,
BM-0192,Ascetic village,NE-4,Northo,394.1,57.0,0.18,unstable,patchy,0,mildly_curved,0.0,28,0.4,0.18,0.19,0.19,True,True,True,thickening,932,T. Mord,pattern_observation,0.71,
BM-0193,Central anomaly,,Dens,0.0,6.1,0.88,slowly_varying,highly_variable,10.27,highly_curved,0.0,41,0.32,0.69,0.8,1.0,True,True,True,stable,926,C. Vells,theoretical_inference,0.87,
BM-0194,Central anomaly,NW-2,Dens,0.0,5.8,0.93,unstable,uniform,9.77,highly_curved,1.7,7,0.61,0.83,1.0,0.95,True,True,True,thickening,924,Field Team,pattern_observation,0.5,
BM-0195,Quarry interior,NW-2,Yeller Quarry,118.8,69.3,0.41,fluctuating,patchy,6.39,flat,0.0,26,0.45,0.39,0.4,0.46,True,True,True,thinning,934,Ingression Study Group,indigenous_knowledge,0.49,
BM-0196,Dissolution zone,,Dens,0.0,3.1,0.97,slowly_varying,patchy,9.43,extreme,0.0,13,0.86,0.87,1.0,1.0,True,True,True,unknown,931,Capital Survey Team,theoretical_inference,0.83,
BM-0197,Capital proper,Western-7,Capital,227.6,91.9,0.19,stable,highly_variable,1.78,mildly_curved,0.0,42,0.8,0.18,0.18,0.21,True,True,True,unknown,925,Capital Survey Team,prebel_method,0.86,
BM-0198,Tower base,Eastern-3,Tower of Mirado,206.9,68.4,0.24,chaotic,highly_variable,3.68,mildly_curved,3.6,9,0.68,0.23,0.24,0.25,True,False,False,thickening,919,M. Strand,prebel_method,0.8,
BM-0199,Klutch CC vicinity,NW-2,Densmok,213.9,72.1,0.22,chaotic,highly_variable,3.09,flat,0.0,17,0.33,0.21,0.2,0.23,True,True,True,thinning,920,S. Moll,ingression_correlation,0.55,
BM-0200,Educational district,,Densmok,278.7,60.1,0.15,stable,uniform,0,flat,4.1,20,0.65,0.13,0.17,0.17,True,True,True,unknown,923,A. Prebel,indigenous_knowledge,0.42,
