decision_id,expedition_id,day_of_expedition,decision_type,protocol_recommendation,actual_decision,decision_maker,outcome_impact,retrospective_assessment
DEC-01009,EXP-876-001,17,engage,,cautious_approach,crew_leader,critical_negative,incorrect
DEC-01010,EXP-876-001,19,retreat,,pause,crew_leader,negative,inconclusive
DEC-01011,EXP-876-002,1,route,,primary_path,crew_leader,critical_positive,correct
DEC-01012,EXP-876-002,1,retreat,,pause,crew_leader,positive,correct
DEC-01013,EXP-876-002,3,route,,investigate,crew_leader,critical_positive,correct
DEC-01014,EXP-876-002,5,retreat,,partial_retreat,crew_leader,negative,incorrect
DEC-01015,EXP-876-002,6,retreat,,proceed,crew_leader,critical_positive,correct
DEC-01016,EXP-876-002,8,collect,,extensive_collection,crew_leader,critical_positive,correct
DEC-01017,EXP-876-002,10,camp,,defensive_site,crew_leader,critical_positive,correct
DEC-01018,EXP-876-003,1,collect,,priority_specimen,crew_leader,positive,correct
DEC-01019,EXP-876-003,2,camp,,emergency_site,crew_leader,neutral,inconclusive
DEC-01020,EXP-876-003,4,collect,,standard_specimen,crew_leader,positive,correct
DEC-01021,EXP-876-003,6,retreat,,full_retreat,crew_leader,neutral,inconclusive
DEC-01022,EXP-876-003,10,camp,,continue,crew_leader,positive,correct
DEC-01023,EXP-876-003,12,engage,,direct_engagement,crew_leader,positive,correct
DEC-01024,EXP-876-003,14,retreat,,partial_retreat,crew_leader,positive,correct
DEC-01025,EXP-876-003,15,collect,,standard_specimen,crew_leader,positive,correct
DEC-01026,EXP-876-004,1,collect,,priority_specimen,crew_leader,positive,correct
DEC-01027,EXP-876-004,1,engage,,direct_engagement,crew_leader,positive,correct
DEC-01028,EXP-876-004,4,engage,,direct_engagement,crew_leader,neutral,correct
DEC-01029,EXP-876-005,2,retreat,,proceed,crew_leader,positive,correct
DEC-01030,EXP-876-005,2,route,,primary_path,crew_leader,critical_positive,correct
DEC-01031,EXP-876-005,6,collect,,priority_specimen,crew_leader,positive,correct
DEC-01032,EXP-876-005,7,engage,,avoid,crew_leader,positive,correct
DEC-01033,EXP-876-005,8,camp,,continue,crew_leader,neutral,inconclusive
DEC-01034,EXP-876-005,12,route,,retreat_path,crew_leader,positive,correct
DEC-01035,EXP-876-005,14,retreat,,pause,crew_leader,positive,correct
DEC-01036,EXP-876-005,17,route,,investigate,crew_leader,neutral,correct
DEC-01037,EXP-876-005,17,engage,,avoid,crew_leader,neutral,inconclusive
DEC-01038,EXP-876-005,20,retreat,,pause,crew_leader,neutral,correct
DEC-01039,EXP-876-006,1,retreat,,proceed,crew_leader,positive,correct
DEC-01040,EXP-876-006,3,retreat,,full_retreat,crew_leader,negative,inconclusive
DEC-01041,EXP-876-006,3,retreat,,proceed,crew_leader,critical_positive,correct
DEC-01042,EXP-876-006,7,engage,,avoid,crew_leader,critical_positive,correct
DEC-01043,EXP-876-006,8,camp,,continue,crew_leader,negative,inconclusive
DEC-01044,EXP-876-006,11,retreat,,partial_retreat,crew_leader,neutral,correct
DEC-01045,EXP-876-006,12,collect,,skip,crew_leader,positive,correct
DEC-01046,EXP-876-007,1,camp,,continue,crew_leader,neutral,inconclusive
DEC-01047,EXP-876-007,4,engage,,avoid,crew_leader,neutral,correct
DEC-01048,EXP-876-007,4,retreat,,proceed,crew_leader,neutral,inconclusive
DEC-01049,EXP-876-007,6,route,,alternate_path,crew_leader,positive,correct
DEC-01050,EXP-876-007,8,engage,,cautious_approach,crew_leader,positive,correct
DEC-01051,EXP-876-007,12,engage,,direct_engagement,crew_leader,positive,correct
DEC-01052,EXP-876-008,1,engage,,cautious_approach,crew_leader,neutral,inconclusive
DEC-01053,EXP-876-008,4,collect,,extensive_collection,crew_leader,neutral,correct
DEC-01054,EXP-876-008,6,camp,,emergency_site,crew_leader,positive,correct
DEC-01055,EXP-876-008,8,camp,,emergency_site,crew_leader,positive,correct
DEC-01056,EXP-876-008,8,engage,,observe,crew_leader,neutral,correct
DEC-01057,EXP-876-009,2,collect,,skip,crew_leader,neutral,correct
DEC-01058,EXP-876-009,2,route,,retreat_path,crew_leader,neutral,inconclusive
DEC-01059,EXP-876-009,4,camp,,defensive_site,crew_leader,positive,correct
DEC-01060,EXP-876-009,7,route,,investigate,crew_leader,positive,correct
DEC-01061,EXP-876-010,1,camp,,continue,crew_leader,neutral,inconclusive
DEC-01062,EXP-876-010,4,engage,,cautious_approach,crew_leader,neutral,inconclusive
DEC-01063,EXP-876-010,4,retreat,,partial_retreat,crew_leader,neutral,inconclusive
DEC-01064,EXP-876-010,6,collect,,skip,crew_leader,positive,correct
DEC-01065,EXP-876-010,8,engage,,observe,crew_leader,neutral,inconclusive
DEC-01066,EXP-876-010,11,collect,,standard_specimen,crew_leader,neutral,inconclusive
DEC-01067,EXP-876-011,1,retreat,,pause,crew_leader,critical_negative,unknown
DEC-01068,EXP-876-011,1,camp,,defensive_site,crew_leader,critical_positive,correct
DEC-01069,EXP-876-011,3,collect,,skip,crew_leader,critical_negative,unknown
DEC-01070,EXP-876-011,5,retreat,,proceed,crew_leader,neutral,inconclusive
DEC-01071,EXP-876-011,7,retreat,,proceed,crew_leader,negative,unknown
DEC-01072,EXP-876-011,7,route,,retreat_path,crew_leader,neutral,inconclusive
DEC-01073,EXP-876-012,1,route,,investigate,crew_leader,positive,correct
DEC-01074,EXP-876-012,1,engage,,avoid,crew_leader,positive,correct
DEC-01075,EXP-876-012,5,engage,,avoid,crew_leader,neutral,correct
DEC-01076,EXP-876-012,6,camp,,standard_site,crew_leader,neutral,inconclusive
DEC-01077,EXP-876-012,8,route,,retreat_path,crew_leader,neutral,inconclusive
DEC-01078,EXP-876-012,9,engage,,direct_engagement,crew_leader,neutral,correct
DEC-01079,EXP-877-001,2,retreat,,pause,crew_leader,positive,correct
DEC-01080,EXP-877-001,2,retreat,,partial_retreat,crew_leader,positive,correct
DEC-01081,EXP-877-001,6,route,,investigate,crew_leader,neutral,correct
DEC-01082,EXP-877-001,10,camp,,continue,crew_leader,positive,correct
DEC-01083,EXP-877-002,1,route,,investigate,crew_leader,neutral,correct
DEC-01084,EXP-877-002,3,retreat,,partial_retreat,crew_leader,positive,correct
DEC-01085,EXP-877-002,6,collect,,skip,crew_leader,neutral,inconclusive
DEC-01086,EXP-877-002,6,collect,,extensive_collection,crew_leader,positive,correct
DEC-01087,EXP-877-002,9,collect,,skip,crew_leader,neutral,inconclusive
DEC-01088,EXP-877-002,10,engage,,observe,crew_leader,positive,correct
DEC-01089,EXP-877-003,2,collect,,extensive_collection,crew_leader,neutral,inconclusive
DEC-01090,EXP-877-003,3,camp,,continue,crew_leader,positive,correct
DEC-01091,EXP-877-003,6,collect,,standard_specimen,crew_leader,positive,correct
DEC-01092,EXP-877-003,6,camp,,emergency_site,crew_leader,positive,correct
DEC-01093,EXP-877-003,10,camp,,continue,crew_leader,positive,correct
DEC-01094,EXP-877-003,10,retreat,,proceed,crew_leader,positive,correct
DEC-01095,EXP-877-003,14,collect,,skip,crew_leader,positive,correct
DEC-01096,EXP-877-004,1,collect,,priority_specimen,crew_leader,neutral,correct
DEC-01097,EXP-877-004,2,camp,,defensive_site,crew_leader,positive,correct
DEC-01098,EXP-877-004,6,route,,primary_path,crew_leader,neutral,correct
DEC-01099,EXP-877-005,2,retreat,,partial_retreat,crew_leader,positive,correct
DEC-01100,EXP-877-005,3,camp,,continue,crew_leader,positive,correct
DEC-01101,EXP-877-005,4,collect,,skip,crew_leader,neutral,inconclusive
DEC-01102,EXP-877-005,6,retreat,,proceed,crew_leader,critical_positive,correct
DEC-01103,EXP-877-005,7,collect,,priority_specimen,crew_leader,positive,correct
DEC-01104,EXP-877-005,9,collect,,extensive_collection,crew_leader,positive,correct
DEC-01105,EXP-877-005,13,engage,,direct_engagement,crew_leader,neutral,inconclusive
DEC-01106,EXP-877-006,1,collect,,extensive_collection,crew_leader,neutral,inconclusive
DEC-01107,EXP-877-006,1,collect,,skip,crew_leader,neutral,correct
DEC-01108,EXP-877-006,5,retreat,,partial_retreat,crew_leader,neutral,inconclusive
DEC-01109,EXP-877-006,5,collect,,extensive_collection,crew_leader,neutral,inconclusive
DEC-01110,EXP-877-007,2,camp,,defensive_site,crew_leader,positive,correct
DEC-01111,EXP-877-007,2,camp,,defensive_site,crew_leader,positive,correct
DEC-01112,EXP-877-007,5,collect,,skip,crew_leader,critical_positive,correct
DEC-01113,EXP-877-007,5,engage,,observe,crew_leader,positive,correct
DEC-01114,EXP-877-007,9,retreat,,partial_retreat,crew_leader,positive,correct
DEC-01116,EXP-877-008,1,route,,alternate_path,crew_leader,positive,correct
DEC-01115,EXP-877-008,2,camp,,continue,crew_leader,positive,correct
DEC-01117,EXP-877-008,4,collect,,extensive_collection,crew_leader,positive,correct
DEC-01118,EXP-877-008,6,collect,,standard_specimen,crew_leader,positive,correct
DEC-01119,EXP-877-008,8,camp,,defensive_site,crew_leader,positive,correct
DEC-01120,EXP-877-008,11,camp,,emergency_site,crew_leader,positive,correct
DEC-01121,EXP-877-008,13,collect,,extensive_collection,crew_leader,neutral,inconclusive
DEC-01122,EXP-877-009,2,route,,primary_path,crew_leader,positive,correct
DEC-01123,EXP-877-009,2,camp,,emergency_site,crew_leader,neutral,correct
DEC-01124,EXP-877-009,3,engage,,observe,crew_leader,positive,correct
DEC-01125,EXP-877-009,7,engage,,direct_engagement,crew_leader,neutral,correct
DEC-01126,EXP-877-009,8,collect,,skip,crew_leader,positive,correct
DEC-01127,EXP-877-009,10,collect,,standard_specimen,crew_leader,neutral,inconclusive
DEC-01128,EXP-877-009,13,camp,,standard_site,crew_leader,neutral,inconclusive
DEC-01129,EXP-877-009,13,collect,,skip,crew_leader,positive,correct
DEC-01130,EXP-877-010,2,camp,,standard_site,crew_leader,positive,correct
DEC-01131,EXP-877-010,3,engage,,direct_engagement,crew_leader,negative,unknown
DEC-01132,EXP-877-010,4,route,,investigate,crew_leader,neutral,correct
DEC-01133,EXP-877-010,7,engage,,observe,crew_leader,critical_positive,correct
DEC-01134,EXP-877-010,8,engage,,direct_engagement,crew_leader,positive,correct
DEC-01135,EXP-877-010,9,route,,investigate,crew_leader,positive,correct
DEC-01136,EXP-877-010,12,engage,,cautious_approach,crew_leader,critical_negative,unknown
DEC-01137,EXP-877-011,1,retreat,,pause,crew_leader,critical_negative,incorrect
DEC-01138,EXP-877-011,3,engage,,cautious_approach,crew_leader,critical_positive,correct
DEC-01139,EXP-877-011,5,route,,alternate_path,crew_leader,positive,correct
DEC-01140,EXP-877-011,8,camp,,continue,crew_leader,neutral,inconclusive
DEC-01141,EXP-877-011,9,engage,,direct_engagement,crew_leader,positive,correct
DEC-01142,EXP-877-011,12,route,,investigate,crew_leader,negative,incorrect
DEC-01143,EXP-877-011,12,retreat,,pause,crew_leader,negative,inconclusive
DEC-01144,EXP-877-012,1,route,,retreat_path,crew_leader,neutral,correct
DEC-01145,EXP-877-012,3,retreat,,pause,crew_leader,neutral,correct
DEC-01147,EXP-877-012,3,retreat,,proceed,crew_leader,positive,correct
DEC-01146,EXP-877-012,4,route,,primary_path,crew_leader,neutral,correct
DEC-01148,EXP-877-012,4,retreat,,partial_retreat,crew_leader,neutral,inconclusive
DEC-01149,EXP-878-001,1,route,,investigate,crew_leader,neutral,correct
DEC-01150,EXP-878-001,2,engage,,cautious_approach,crew_leader,positive,correct
DEC-01151,EXP-878-001,5,retreat,,pause,crew_leader,neutral,correct
DEC-01152,EXP-878-002,1,engage,,avoid,crew_leader,critical_negative,inconclusive
DEC-01153,EXP-878-002,3,engage,,avoid,crew_leader,negative,incorrect
DEC-01154,EXP-878-002,6,engage,,cautious_approach,crew_leader,critical_positive,correct
DEC-01155,EXP-878-002,6,retreat,,proceed,crew_leader,positive,correct
DEC-01156,EXP-878-002,8,retreat,,partial_retreat,crew_leader,neutral,inconclusive
DEC-01157,EXP-878-003,1,engage,,direct_engagement,crew_leader,critical_negative,incorrect
DEC-01158,EXP-878-003,3,collect,,extensive_collection,crew_leader,critical_negative,unknown
DEC-01159,EXP-878-003,6,engage,,direct_engagement,crew_leader,critical_negative,incorrect
DEC-01160,EXP-878-003,7,collect,,standard_specimen,crew_leader,critical_negative,inconclusive
DEC-01161,EXP-878-003,11,collect,,standard_specimen,crew_leader,critical_negative,unknown
DEC-01162,EXP-878-003,13,retreat,,proceed,crew_leader,critical_negative,unknown
DEC-01163,EXP-878-003,13,collect,,standard_specimen,crew_leader,critical_negative,unknown
DEC-01164,EXP-878-003,16,retreat,,pause,crew_leader,negative,unknown
DEC-01165,EXP-878-003,18,engage,,observe,crew_leader,negative,unknown
DEC-01166,EXP-878-003,21,collect,,standard_specimen,crew_leader,critical_negative,unknown
DEC-01167,EXP-878-004,1,retreat,,pause,crew_leader,neutral,inconclusive
DEC-01168,EXP-878-004,3,engage,,cautious_approach,crew_leader,negative,incorrect
DEC-01169,EXP-878-004,4,camp,,continue,crew_leader,critical_positive,correct
DEC-01170,EXP-878-004,6,engage,,direct_engagement,crew_leader,critical_positive,correct
DEC-01171,EXP-878-004,9,engage,,cautious_approach,crew_leader,critical_negative,unknown
DEC-01172,EXP-878-004,9,route,,investigate,crew_leader,neutral,correct
DEC-01173,EXP-878-004,12,engage,,direct_engagement,crew_leader,neutral,inconclusive
DEC-01174,EXP-878-004,15,retreat,,proceed,crew_leader,critical_negative,incorrect
DEC-01175,EXP-878-005,1,engage,,direct_engagement,crew_leader,neutral,correct
DEC-01176,EXP-878-005,2,collect,,priority_specimen,crew_leader,neutral,correct
DEC-01177,EXP-878-005,6,collect,,standard_specimen,crew_leader,positive,correct
DEC-01178,EXP-878-005,8,camp,,continue,crew_leader,positive,correct
DEC-01179,EXP-878-006,2,collect,,extensive_collection,crew_leader,negative,unknown
DEC-01180,EXP-878-006,4,camp,,standard_site,crew_leader,neutral,inconclusive
DEC-01181,EXP-878-006,5,camp,,emergency_site,crew_leader,positive,correct
DEC-01182,EXP-878-006,9,collect,,skip,crew_leader,negative,unknown
DEC-01183,EXP-878-006,11,route,,primary_path,crew_leader,negative,inconclusive
DEC-01184,EXP-878-006,11,retreat,,full_retreat,crew_leader,positive,correct
DEC-01185,EXP-878-007,1,retreat,,partial_retreat,crew_leader,positive,correct
DEC-01186,EXP-878-007,3,camp,,standard_site,crew_leader,positive,correct
DEC-01187,EXP-878-007,5,engage,,avoid,crew_leader,positive,correct
DEC-01188,EXP-878-007,6,camp,,standard_site,crew_leader,neutral,correct
DEC-01189,EXP-878-007,6,retreat,,proceed,crew_leader,neutral,inconclusive
DEC-01190,EXP-878-007,7,collect,,standard_specimen,crew_leader,positive,correct
DEC-01191,EXP-878-007,9,camp,,standard_site,crew_leader,neutral,inconclusive
DEC-01193,EXP-878-008,1,retreat,,pause,crew_leader,critical_positive,correct
DEC-01192,EXP-878-008,2,route,,primary_path,crew_leader,negative,inconclusive
DEC-01194,EXP-878-008,5,engage,,observe,crew_leader,negative,unknown
DEC-01195,EXP-878-008,7,retreat,,partial_retreat,crew_leader,negative,incorrect
DEC-01196,EXP-878-008,8,engage,,avoid,crew_leader,critical_negative,unknown
DEC-01197,EXP-878-008,9,collect,,extensive_collection,crew_leader,critical_negative,inconclusive
DEC-01198,EXP-878-008,10,collect,,priority_specimen,crew_leader,critical_negative,incorrect
DEC-01200,EXP-878-008,13,camp,,emergency_site,crew_leader,negative,incorrect
DEC-01199,EXP-878-008,14,retreat,,full_retreat,crew_leader,negative,incorrect
DEC-01201,EXP-878-008,15,camp,,continue,crew_leader,negative,inconclusive
DEC-01202,EXP-878-008,19,collect,,priority_specimen,crew_leader,negative,unknown
DEC-01203,EXP-878-008,19,camp,,standard_site,crew_leader,critical_negative,inconclusive
DEC-01204,EXP-878-008,22,collect,,priority_specimen,crew_leader,critical_negative,unknown
DEC-01205,EXP-878-008,23,collect,,extensive_collection,crew_leader,critical_negative,incorrect
DEC-01206,EXP-879-001,1,camp,,emergency_site,crew_leader,positive,correct
DEC-01207,EXP-879-001,4,retreat,,pause,crew_leader,positive,correct
DEC-01208,EXP-879-001,8,collect,,skip,crew_leader,neutral,correct
DEC-01209,EXP-879-002,2,retreat,,full_retreat,crew_leader,positive,correct
DEC-01210,EXP-879-002,2,camp,,standard_site,crew_leader,critical_positive,correct
DEC-01211,EXP-879-002,4,camp,,emergency_site,crew_leader,neutral,inconclusive
DEC-01212,EXP-879-002,5,collect,,skip,crew_leader,neutral,correct
DEC-01213,EXP-879-002,6,route,,primary_path,crew_leader,positive,correct
DEC-01214,EXP-879-002,8,retreat,,pause,crew_leader,positive,correct
DEC-01215,EXP-879-003,2,retreat,,partial_retreat,crew_leader,positive,correct
DEC-01216,EXP-879-003,3,collect,,skip,crew_leader,positive,correct
DEC-01217,EXP-879-003,4,camp,,standard_site,crew_leader,neutral,inconclusive
DEC-01218,EXP-879-003,7,engage,,avoid,crew_leader,positive,correct
DEC-01219,EXP-879-003,11,camp,,continue,crew_leader,neutral,inconclusive
DEC-01220,EXP-879-004,1,engage,,observe,crew_leader,positive,correct
DEC-01221,EXP-879-004,1,collect,,standard_specimen,crew_leader,positive,correct
DEC-01222,EXP-879-004,3,camp,,continue,crew_leader,positive,correct
DEC-01223,EXP-879-004,5,route,,retreat_path,crew_leader,critical_positive,correct
DEC-01224,EXP-879-004,7,retreat,,partial_retreat,crew_leader,neutral,correct
DEC-01225,EXP-879-004,9,retreat,,proceed,crew_leader,neutral,inconclusive
DEC-01226,EXP-879-004,11,camp,,continue,crew_leader,positive,correct
DEC-01227,EXP-879-005,1,engage,,observe,crew_leader,neutral,correct
DEC-01228,EXP-879-005,3,camp,,defensive_site,crew_leader,positive,correct
DEC-01229,EXP-879-005,4,retreat,,partial_retreat,crew_leader,positive,correct
DEC-01230,EXP-879-005,6,retreat,,partial_retreat,crew_leader,critical_positive,correct
DEC-01231,EXP-879-005,10,engage,,direct_engagement,crew_leader,positive,correct
DEC-01232,EXP-879-005,11,collect,,standard_specimen,crew_leader,neutral,inconclusive
DEC-01233,EXP-879-006,2,engage,,avoid,crew_leader,positive,correct
DEC-01234,EXP-879-006,3,collect,,skip,crew_leader,positive,correct
DEC-01235,EXP-879-006,5,route,,retreat_path,crew_leader,neutral,inconclusive
DEC-01236,EXP-879-006,7,route,,primary_path,crew_leader,positive,correct
DEC-01237,EXP-879-006,10,route,,primary_path,crew_leader,positive,correct
DEC-01238,EXP-879-006,10,camp,,continue,crew_leader,positive,correct
DEC-01239,EXP-879-006,14,retreat,,pause,crew_leader,neutral,inconclusive
DEC-01240,EXP-879-007,1,retreat,,partial_retreat,crew_leader,positive,correct
DEC-01241,EXP-879-007,3,route,,investigate,crew_leader,positive,correct
DEC-01242,EXP-879-007,4,retreat,,full_retreat,crew_leader,positive,correct
DEC-01244,EXP-879-007,5,engage,,cautious_approach,crew_leader,neutral,correct
DEC-01243,EXP-879-007,6,route,,alternate_path,crew_leader,neutral,correct
DEC-01245,EXP-879-008,1,camp,,defensive_site,crew_leader,neutral,inconclusive
DEC-01246,EXP-879-008,1,engage,,observe,crew_leader,neutral,correct
DEC-01247,EXP-879-008,5,retreat,,full_retreat,crew_leader,positive,correct
DEC-01248,EXP-879-008,6,retreat,,full_retreat,crew_leader,positive,correct
DEC-01249,EXP-879-008,9,camp,,standard_site,crew_leader,positive,correct
DEC-01250,EXP-879-008,9,engage,,observe,crew_leader,positive,correct
DEC-01251,EXP-879-008,12,engage,,avoid,crew_leader,positive,correct
DEC-01252,EXP-879-008,14,retreat,,full_retreat,crew_leader,positive,correct
DEC-01253,EXP-879-008,14,route,,primary_path,crew_leader,positive,correct
DEC-01254,EXP-879-008,15,camp,,standard_site,crew_leader,positive,correct
DEC-01255,EXP-879-008,19,collect,,skip,crew_leader,neutral,inconclusive
DEC-01256,EXP-879-008,21,route,,primary_path,crew_leader,positive,correct
DEC-01257,EXP-879-009,1,route,,alternate_path,crew_leader,critical_negative,unknown
DEC-01258,EXP-879-009,4,camp,,standard_site,crew_leader,negative,inconclusive
DEC-01259,EXP-879-009,4,route,,investigate,crew_leader,critical_negative,unknown
DEC-01260,EXP-879-009,9,camp,,standard_site,crew_leader,negative,incorrect
DEC-01261,EXP-879-009,9,route,,retreat_path,crew_leader,critical_negative,inconclusive
DEC-01262,EXP-879-009,11,engage,,cautious_approach,crew_leader,negative,inconclusive
DEC-01263,EXP-879-010,1,retreat,,partial_retreat,crew_leader,positive,correct
DEC-01264,EXP-879-010,2,camp,,emergency_site,crew_leader,positive,correct
DEC-01265,EXP-879-010,7,engage,,observe,crew_leader,neutral,inconclusive
DEC-01266,EXP-879-010,7,retreat,,proceed,crew_leader,positive,correct
DEC-01267,EXP-879-011,2,camp,,defensive_site,crew_leader,neutral,correct
DEC-01268,EXP-879-011,4,camp,,defensive_site,crew_leader,neutral,inconclusive
DEC-01269,EXP-879-011,5,engage,,observe,crew_leader,neutral,correct
DEC-01270,EXP-879-011,8,retreat,,pause,crew_leader,neutral,inconclusive
DEC-01271,EXP-879-012,1,route,,primary_path,crew_leader,critical_negative,incorrect
DEC-01272,EXP-879-012,4,engage,,direct_engagement,crew_leader,critical_negative,inconclusive
DEC-01273,EXP-879-012,6,route,,primary_path,crew_leader,neutral,correct
DEC-01274,EXP-879-012,10,route,,investigate,crew_leader,critical_negative,incorrect
DEC-01275,EXP-880-001,1,collect,,extensive_collection,crew_leader,positive,correct
DEC-01276,EXP-880-001,2,engage,,cautious_approach,crew_leader,neutral,correct
DEC-01277,EXP-880-001,5,collect,,extensive_collection,crew_leader,positive,correct
DEC-01278,EXP-880-001,6,retreat,,pause,crew_leader,neutral,correct
DEC-01279,EXP-880-001,10,route,,alternate_path,crew_leader,positive,correct
DEC-01280,EXP-880-002,1,collect,,standard_specimen,crew_leader,positive,correct
DEC-01281,EXP-880-002,3,collect,,standard_specimen,crew_leader,critical_positive,correct
DEC-01282,EXP-880-002,5,camp,,defensive_site,crew_leader,positive,correct
DEC-01283,EXP-880-002,5,camp,,defensive_site,crew_leader,neutral,inconclusive
DEC-01284,EXP-880-002,8,camp,,continue,crew_leader,positive,correct
DEC-01285,EXP-880-002,8,collect,,extensive_collection,crew_leader,positive,correct
DEC-01286,EXP-880-002,10,engage,,observe,crew_leader,neutral,correct
DEC-01287,EXP-880-003,1,route,,investigate,crew_leader,positive,correct
DEC-01288,EXP-880-003,2,retreat,,partial_retreat,crew_leader,positive,correct
DEC-01289,EXP-880-003,6,retreat,,proceed,crew_leader,positive,correct
DEC-01290,EXP-880-003,8,retreat,,pause,crew_leader,neutral,correct
DEC-01291,EXP-880-003,9,retreat,,full_retreat,crew_leader,positive,correct
DEC-01292,EXP-880-004,1,engage,,observe,crew_leader,neutral,inconclusive
DEC-01293,EXP-880-004,3,retreat,,full_retreat,crew_leader,critical_positive,correct
DEC-01294,EXP-880-004,5,camp,,defensive_site,crew_leader,positive,correct
DEC-01295,EXP-880-004,8,collect,,extensive_collection,crew_leader,positive,correct
DEC-01296,EXP-880-005,2,engage,,observe,crew_leader,negative,inconclusive
DEC-01297,EXP-880-005,4,retreat,,pause,crew_leader,positive,correct
DEC-01298,EXP-880-005,4,collect,,standard_specimen,crew_leader,neutral,inconclusive
DEC-01299,EXP-880-005,7,camp,,emergency_site,crew_leader,neutral,correct
DEC-01300,EXP-880-006,1,collect,,standard_specimen,crew_leader,critical_negative,incorrect
DEC-01301,EXP-880-006,1,camp,,emergency_site,crew_leader,critical_negative,unknown
DEC-01302,EXP-880-006,4,engage,,cautious_approach,crew_leader,positive,correct
DEC-01303,EXP-880-006,4,retreat,,pause,crew_leader,critical_positive,correct
DEC-01304,EXP-880-006,7,route,,alternate_path,crew_leader,neutral,correct
DEC-01305,EXP-880-007,2,route,,investigate,crew_leader,positive,correct
DEC-01306,EXP-880-007,3,collect,,priority_specimen,crew_leader,neutral,correct
DEC-01307,EXP-880-007,4,route,,retreat_path,crew_leader,positive,correct
DEC-01308,EXP-880-007,6,route,,primary_path,crew_leader,neutral,correct
DEC-01309,EXP-880-007,9,collect,,skip,crew_leader,positive,correct
DEC-01310,EXP-880-007,9,route,,alternate_path,crew_leader,positive,correct
DEC-01311,EXP-880-007,11,collect,,priority_specimen,crew_leader,positive,correct
DEC-01312,EXP-880-007,13,retreat,,proceed,crew_leader,positive,correct
DEC-01313,EXP-880-007,16,collect,,priority_specimen,crew_leader,positive,correct
DEC-01314,EXP-880-007,17,route,,alternate_path,crew_leader,positive,correct
DEC-01315,EXP-880-007,20,retreat,,proceed,crew_leader,positive,correct
DEC-01316,EXP-880-007,21,route,,alternate_path,crew_leader,neutral,inconclusive
DEC-01317,EXP-880-007,25,camp,,defensive_site,crew_leader,positive,correct
DEC-01318,EXP-880-007,25,collect,,priority_specimen,crew_leader,neutral,inconclusive
DEC-01319,EXP-880-008,2,collect,,extensive_collection,crew_leader,positive,correct
DEC-01320,EXP-880-008,3,engage,,cautious_approach,crew_leader,neutral,inconclusive
DEC-01321,EXP-880-008,5,collect,,priority_specimen,crew_leader,neutral,inconclusive
DEC-01322,EXP-880-008,8,camp,,emergency_site,crew_leader,positive,correct
DEC-01323,EXP-880-008,8,engage,,direct_engagement,crew_leader,neutral,inconclusive
DEC-01324,EXP-880-009,1,camp,,defensive_site,crew_leader,positive,correct
DEC-01325,EXP-880-009,1,retreat,,full_retreat,crew_leader,critical_positive,correct
DEC-01326,EXP-880-009,2,camp,,emergency_site,crew_leader,neutral,correct
DEC-01327,EXP-880-009,5,route,,retreat_path,crew_leader,positive,correct
DEC-01328,EXP-880-009,7,collect,,skip,crew_leader,neutral,inconclusive
DEC-01329,EXP-880-009,9,collect,,extensive_collection,crew_leader,neutral,inconclusive
DEC-01330,EXP-880-009,9,camp,,defensive_site,crew_leader,positive,correct
DEC-01331,EXP-881-001,1,route,,primary_path,crew_leader,neutral,correct
DEC-01332,EXP-881-001,3,engage,,avoid,crew_leader,neutral,correct
DEC-01333,EXP-881-001,4,collect,,extensive_collection,crew_leader,positive,correct
DEC-01334,EXP-881-001,5,route,,retreat_path,crew_leader,positive,correct
DEC-01335,EXP-881-001,6,route,,investigate,crew_leader,positive,correct
DEC-01336,EXP-881-001,9,collect,,extensive_collection,crew_leader,positive,correct
DEC-01338,EXP-881-002,1,route,,primary_path,crew_leader,positive,correct
DEC-01337,EXP-881-002,2,retreat,,proceed,crew_leader,neutral,correct
DEC-01339,EXP-881-002,3,collect,,skip,crew_leader,positive,correct
DEC-01340,EXP-881-002,6,route,,primary_path,crew_leader,positive,correct
DEC-01341,EXP-881-002,6,route,,retreat_path,crew_leader,positive,correct
DEC-01342,EXP-881-003,2,camp,,defensive_site,crew_leader,positive,correct
DEC-01343,EXP-881-003,3,camp,,continue,crew_leader,positive,correct
DEC-01344,EXP-881-003,3,retreat,,proceed,crew_leader,neutral,inconclusive
DEC-01345,EXP-881-003,3,camp,,standard_site,crew_leader,positive,correct
DEC-01346,EXP-881-004,2,collect,,extensive_collection,crew_leader,positive,correct
DEC-01347,EXP-881-004,3,retreat,,proceed,crew_leader,positive,correct
DEC-01348,EXP-881-004,4,engage,,cautious_approach,crew_leader,positive,correct
DEC-01349,EXP-881-004,4,camp,,standard_site,crew_leader,neutral,inconclusive
DEC-01350,EXP-881-004,6,camp,,standard_site,crew_leader,positive,correct
DEC-01351,EXP-881-005,2,camp,,continue,crew_leader,positive,correct
DEC-01352,EXP-881-005,4,camp,,defensive_site,crew_leader,positive,correct
DEC-01353,EXP-881-005,5,collect,,priority_specimen,crew_leader,positive,correct
DEC-01354,EXP-881-005,8,retreat,,pause,crew_leader,positive,correct
DEC-01355,EXP-881-005,10,camp,,standard_site,crew_leader,neutral,inconclusive
DEC-01356,EXP-881-006,2,engage,,observe,crew_leader,negative,inconclusive
DEC-01357,EXP-881-006,2,engage,,observe,crew_leader,positive,correct
