citing_work_id,cited_work_id,citation_type,cited_work_classification,cascade_risk,dependent_claims
MS-0110,MS-0060,peripheral,verified,minimal,Passing reference to MS-0060
MS-0123,MS-0118,peripheral,mup,minimal,Background includes MS-0118
MS-0067,MS-0102,peripheral,verified,minimal,Context provided by MS-0102
MS-0107,MS-0105,peripheral,mup,minimal,Background includes MS-0105
MS-0057,MS-0027,peripheral,mup,minimal,Background includes MS-0027
MS-0182,MS-0145,supporting,mup,low,Examples drawn from MS-0145
MS-0139,MS-0100,foundational,mup,moderate,Central claims cite MS-0100 as source
MS-0064,MS-0035,supporting,mup,low,Claims reinforced by MS-0035 data
MS-0047,MS-0005,supporting,likely_authentic,minimal,Evidence chain includes MS-0005 as support
MS-0111,MS-0133,peripheral,verified,minimal,Context provided by MS-0133
MS-0199,MS-0085,peripheral,mup,minimal,Passing reference to MS-0085
MS-0148,MS-0124,foundational,mup,moderate,Methodology validated by MS-0124 precedent
MS-0136,MS-0042,supporting,verified,minimal,Evidence chain includes MS-0042 as support
MS-0069,MS-0035,methodological,mup,low,Method adapted from MS-0035 approach
MS-0016,MS-0172,peripheral,mup,minimal,Context provided by MS-0172
MS-0046,MS-0053,ceremonial,disputed,minimal,Invokes authority of MS-0053
MS-0173,MS-0131,peripheral,forged,minimal,Passing reference to MS-0131
MS-0150,MS-0081,foundational,disputed,high,Central claims cite MS-0081 as source
MS-0130,MS-0060,ceremonial,verified,minimal,Invokes authority of MS-0060
MS-0148,MS-0107,methodological,mup,low,Analytical framework based on MS-0107
MS-0041,MS-0023,supporting,verified,minimal,Evidence chain includes MS-0023 as support
MS-0094,MS-0042,ceremonial,verified,minimal,Invokes authority of MS-0042
MS-0144,MS-0123,ceremonial,verified,minimal,Legitimizing citation of MS-0123
MS-0101,MS-0031,peripheral,mup,minimal,Background includes MS-0031
MS-0193,MS-0172,peripheral,mup,minimal,Background includes MS-0172
MS-0144,MS-0077,peripheral,mup,minimal,Background includes MS-0077
MS-0186,MS-0060,methodological,verified,minimal,Analytical framework based on MS-0060
MS-0070,MS-0021,methodological,disputed,low,Method adapted from MS-0021 approach
MS-0156,MS-0039,peripheral,forged,minimal,Context provided by MS-0039
MS-0139,MS-0019,peripheral,disputed,minimal,Passing reference to MS-0019
MS-0069,MS-0026,supporting,disputed,moderate,Claims reinforced by MS-0026 data
MS-0149,MS-0120,peripheral,verified,minimal,Context provided by MS-0120
MS-0170,MS-0130,ceremonial,mup,minimal,Legitimizing citation of MS-0130
MS-0195,MS-0156,supporting,forged,moderate,Evidence chain includes MS-0156 as support
MS-0104,MS-0137,ceremonial,mup,minimal,Legitimizing citation of MS-0137
MS-0102,MS-0011,ceremonial,forged,minimal,Legitimizing citation of MS-0011
MS-0164,MS-0168,peripheral,disputed,minimal,Background includes MS-0168
MS-0188,MS-0138,methodological,mup,low,Analytical framework based on MS-0138
MS-0002,MS-0052,peripheral,mup,minimal,Context provided by MS-0052
MS-0077,MS-0040,supporting,mup,low,Evidence chain includes MS-0040 as support
MS-0097,MS-0001,supporting,mup,low,Secondary argument strengthened by MS-0001
MS-0107,MS-0104,foundational,mup,moderate,Core argument derives authority from MS-0104
MS-0124,MS-0088,supporting,mup,low,Claims reinforced by MS-0088 data
MS-0172,MS-0142,supporting,verified,minimal,Examples drawn from MS-0142
MS-0096,MS-0070,supporting,mup,low,Secondary argument strengthened by MS-0070
MS-0176,MS-0078,foundational,disputed,high,Central claims cite MS-0078 as source
MS-0174,MS-0116,peripheral,verified,minimal,Passing reference to MS-0116
MS-0183,MS-0028,supporting,verified,minimal,Secondary argument strengthened by MS-0028
MS-0157,MS-0132,ceremonial,verified,minimal,Invokes authority of MS-0132
MS-0195,MS-0125,ceremonial,disputed,minimal,Legitimizing citation of MS-0125
MS-0171,MS-0088,foundational,mup,moderate,Core argument derives authority from MS-0088
MS-0053,MS-0124,peripheral,mup,minimal,Passing reference to MS-0124
MS-0093,MS-0066,ceremonial,mup,minimal,Legitimizing citation of MS-0066
MS-0154,MS-0078,foundational,disputed,high,Methodology validated by MS-0078 precedent
MS-0153,MS-0092,supporting,mup,low,Examples drawn from MS-0092
MS-0181,MS-0038,ceremonial,mup,minimal,Invokes authority of MS-0038
MS-0180,MS-0049,ceremonial,disputed,minimal,Invokes authority of MS-0049
MS-0192,MS-0124,supporting,mup,low,Claims reinforced by MS-0124 data
MS-0031,MS-0009,ceremonial,verified,minimal,Opens with reference to MS-0009
MS-0197,MS-0066,ceremonial,mup,minimal,Opens with reference to MS-0066
MS-0197,MS-0079,supporting,mup,low,Claims reinforced by MS-0079 data
MS-0166,MS-0069,supporting,disputed,moderate,Claims reinforced by MS-0069 data
MS-0161,MS-0005,supporting,likely_authentic,minimal,Claims reinforced by MS-0005 data
MS-0138,MS-0137,supporting,mup,low,Examples drawn from MS-0137
MS-0199,MS-0108,supporting,verified,minimal,Evidence chain includes MS-0108 as support
MS-0110,MS-0170,supporting,verified,minimal,Examples drawn from MS-0170
MS-0198,MS-0097,foundational,verified,minimal,Central claims cite MS-0097 as source
MS-0182,MS-0043,supporting,mup,low,Claims reinforced by MS-0043 data
MS-0188,MS-0113,supporting,mup,low,Claims reinforced by MS-0113 data
MS-0014,MS-0155,methodological,mup,low,Analytical framework based on MS-0155
MS-0105,MS-0015,methodological,mup,low,Analytical framework based on MS-0015
MS-0031,MS-0029,supporting,mup,low,Examples drawn from MS-0029
MS-0178,MS-0017,supporting,verified,minimal,Secondary argument strengthened by MS-0017
MS-0134,MS-0028,peripheral,verified,minimal,Context provided by MS-0028
MS-0190,MS-0081,ceremonial,disputed,minimal,Invokes authority of MS-0081
MS-0115,MS-0074,methodological,forged,moderate,Method adapted from MS-0074 approach
MS-0098,MS-0034,supporting,verified,minimal,Claims reinforced by MS-0034 data
MS-0035,MS-0034,peripheral,verified,minimal,Passing reference to MS-0034
MS-0164,MS-0090,supporting,mup,low,Secondary argument strengthened by MS-0090
MS-0131,MS-0060,peripheral,verified,minimal,Background includes MS-0060
MS-0178,MS-0152,peripheral,disputed,minimal,Background includes MS-0152
MS-0135,MS-0079,peripheral,mup,minimal,Context provided by MS-0079
MS-0166,MS-0021,ceremonial,disputed,minimal,Invokes authority of MS-0021
MS-0080,MS-0072,methodological,verified,minimal,Analytical framework based on MS-0072
MS-0076,MS-0021,ceremonial,disputed,minimal,Invokes authority of MS-0021
MS-0171,MS-0187,supporting,verified,minimal,Evidence chain includes MS-0187 as support
MS-0180,MS-0122,foundational,verified,minimal,Central claims cite MS-0122 as source
MS-0127,MS-0012,supporting,verified,minimal,Evidence chain includes MS-0012 as support
MS-0162,MS-0027,peripheral,mup,minimal,Passing reference to MS-0027
MS-0083,MS-0009,supporting,verified,minimal,Claims reinforced by MS-0009 data
MS-0023,MS-0133,supporting,verified,minimal,Evidence chain includes MS-0133 as support
MS-0188,MS-0043,peripheral,mup,minimal,Context provided by MS-0043
MS-0087,MS-0078,supporting,disputed,moderate,Evidence chain includes MS-0078 as support
MS-0168,MS-0001,ceremonial,mup,minimal,Invokes authority of MS-0001
MS-0107,MS-0080,foundational,mup,moderate,Central claims cite MS-0080 as source
MS-0115,MS-0072,supporting,verified,minimal,Claims reinforced by MS-0072 data
MS-0184,MS-0152,supporting,disputed,moderate,Secondary argument strengthened by MS-0152
MS-0168,MS-0031,peripheral,mup,minimal,Passing reference to MS-0031
MS-0176,MS-0045,ceremonial,mup,minimal,Legitimizing citation of MS-0045
MS-0140,MS-0063,methodological,mup,low,Classification system follows MS-0063
MS-0172,MS-0106,supporting,verified,minimal,Secondary argument strengthened by MS-0106
MS-0179,MS-0150,methodological,mup,low,Method adapted from MS-0150 approach
MS-0124,MS-0119,peripheral,disputed,minimal,Context provided by MS-0119
MS-0187,MS-0108,foundational,verified,minimal,Central claims cite MS-0108 as source
MS-0122,MS-0049,ceremonial,disputed,minimal,Opens with reference to MS-0049
MS-0099,MS-0014,ceremonial,mup,minimal,Invokes authority of MS-0014
MS-0175,MS-0129,methodological,mup,low,Classification system follows MS-0129
MS-0089,MS-0043,peripheral,mup,minimal,Context provided by MS-0043
MS-0017,MS-0087,supporting,verified,minimal,Examples drawn from MS-0087
MS-0027,MS-0147,ceremonial,mup,minimal,Opens with reference to MS-0147
MS-0164,MS-0066,supporting,mup,low,Secondary argument strengthened by MS-0066
MS-0054,MS-0020,supporting,mup,low,Claims reinforced by MS-0020 data
MS-0161,MS-0150,supporting,mup,low,Secondary argument strengthened by MS-0150
MS-0057,MS-0019,ceremonial,disputed,minimal,Opens with reference to MS-0019
MS-0149,MS-0136,ceremonial,mup,minimal,Opens with reference to MS-0136
MS-0063,MS-0036,peripheral,disputed,minimal,Background includes MS-0036
MS-0130,MS-0113,supporting,mup,low,Examples drawn from MS-0113
MS-0164,MS-0144,methodological,verified,minimal,Analytical framework based on MS-0144
MS-0153,MS-0044,supporting,disputed,moderate,Evidence chain includes MS-0044 as support
MS-0131,MS-0055,supporting,verified,minimal,Secondary argument strengthened by MS-0055
MS-0190,MS-0165,methodological,verified,minimal,Classification system follows MS-0165
MS-0020,MS-0147,ceremonial,mup,minimal,Invokes authority of MS-0147
MS-0170,MS-0132,methodological,verified,minimal,Analytical framework based on MS-0132
MS-0115,MS-0043,peripheral,mup,minimal,Background includes MS-0043
MS-0167,MS-0161,methodological,mup,low,Analytical framework based on MS-0161
MS-0161,MS-0079,methodological,mup,low,Method adapted from MS-0079 approach
MS-0135,MS-0037,supporting,disputed,moderate,Examples drawn from MS-0037
MS-0173,MS-0093,methodological,verified,minimal,Method adapted from MS-0093 approach
MS-0182,MS-0174,supporting,mup,low,Claims reinforced by MS-0174 data
MS-0144,MS-0107,ceremonial,mup,minimal,Legitimizing citation of MS-0107
MS-0189,MS-0061,supporting,disputed,moderate,Claims reinforced by MS-0061 data
MS-0087,MS-0139,peripheral,forged,minimal,Context provided by MS-0139
