conflict_id,conflict_name,pattern_a_type,pattern_a_description,pattern_a_age_years,pattern_a_strength,pattern_b_type,pattern_b_description,pattern_b_age_years,pattern_b_strength,conflict_location,conflict_substrate,dens_proximity_km,conflict_type,conflict_duration_days,conflict_intensity,outcome,winner_strength_after,loser_fate,substrate_damage,age_advantage,strength_advantage,form_library_connection,first_documented_year,documenter,documentation_source,confidence,description,implications,notes
MC-0077,The Old Survey Camp Contest,living_form,Living Form from Trapper camp ruins,424,1.0,ghost,Ghost from Central processing area,441,0.23,collective identity,behavioral repertoire,189.4,peaceful_coexistence,799,0.79,pattern_a_won,1.07,absorbed,0.05,no_age_effect,stronger_won,pattern_b,922,Boundary Commission,form_analysis,0.54,Conflict between living_form and ghost in collective identity.,,
MC-0078,The Mill Creek Contest,form_library_access,Form Library Access from Northern observation post,382,0.31,ghost,Ghost from Trapper camp ruins,157,0.54,shared territory,structural material,199.7,peaceful_coexistence,885,0.48,pattern_a_won,0.33,erased,0.04,older_won,complex,pattern_a,896,K. Strand,historical_reconstruction,0.72,Conflict between form_library_access and ghost in shared territory.,,
MC-0079,The Mill Creek Contest,living_form,Living Form from Northern observation post,271,0.85,spatial_imprint,Spatial Imprint from Western boundary region,277,0.37,shared territory,structural material,109.4,peaceful_coexistence,683,0.49,pattern_a_won,0.89,absorbed,0.09,no_age_effect,stronger_won,pattern_b,927,T. Vells,form_analysis,0.69,Conflict between living_form and spatial_imprint in shared territory.,,
MC-0080,The Archive Basement Contest,collective_pattern,Collective Pattern from Central processing area,263,0.66,spatial_imprint,Spatial Imprint from Southern terraces,5,0.75,spatial location,structural material,18.0,oscillation,837,0.69,mutual_destruction,,erased,0.84,older_won,complex,pattern_b,896,T. Vells,behavioral_tracking,0.65,Conflict between collective_pattern and spatial_imprint in spatial location.,,
MC-0081,The Mill Creek Contest,collective_pattern,Collective Pattern from Near Third Mill site,428,0.5,form_library_access,Form Library Access from Northern observation post,253,0.22,shared territory,behavioral repertoire,74.5,peaceful_coexistence,545,0.22,pattern_a_won,0.55,displaced,0.01,older_won,complex,pattern_b,911,R. Voss,scavenger_testimony,0.76,Conflict between collective_pattern and form_library_access in shared territory.,,
MC-0082,The Third Mill Contest,form_library_access,Form Library Access from Yeller Quarry eastern ridge,488,0.31,ghost,Ghost from Mill Creek ravine,421,0.97,collective identity,structural material,70.8,dominance_struggle,548,0.63,pattern_b_won,0.99,displaced,0.31,no_age_effect,stronger_won,pattern_a,913,S. Moll,direct_observation,0.82,Conflict between form_library_access and ghost in collective identity.,,
MC-0083,The Third Mill Contest,living_form,Living Form from Near Third Mill site,138,0.76,inherited_memory,Inherited Memory from Near Third Mill site,304,0.34,spatial location,behavioral repertoire,167.2,oscillation,358,0.71,pattern_b_won,0.35,erased,0.41,older_won,complex,pattern_b,899,Independent Observer,direct_observation,0.53,Conflict between living_form and inherited_memory in spatial location.,,
MC-0084,The Western Boundary Contest,form_library_access,Form Library Access from Near Third Mill site,427,0.23,collective_pattern,Collective Pattern from Mill Creek ravine,320,0.42,offspring expression,living tissue,80.9,peaceful_coexistence,616,0.48,pattern_b_won,0.42,weakened,0.04,no_age_effect,stronger_won,pattern_a,925,S. Moll,historical_reconstruction,0.58,Conflict between form_library_access and collective_pattern in offspring expression.,,
MC-0085,The Archive Basement Contest,ghost,Ghost from Deep Quarry tunnels,255,0.36,ghost,Ghost from Trapper camp ruins,327,0.95,collective identity,spatial region,181.0,peaceful_coexistence,728,0.54,partition,,,0.07,no_age_effect,stronger_won,unknown,930,Boundary Commission,direct_observation,0.81,Conflict between ghost and ghost in collective identity.,,
MC-0086,The Northern Quarry Contest,inherited_memory,Inherited Memory from Yeller Quarry eastern ridge,452,0.75,collective_pattern,Collective Pattern from Old mine entrance,400,0.85,collective identity,collective memory,78.8,peaceful_coexistence,985,0.68,partition,,,0.07,no_age_effect,no_strength_effect,unknown,914,K. Strand,historical_reconstruction,0.86,Conflict between inherited_memory and collective_pattern in collective identity.,,
MC-0087,The Archive Basement Contest,inherited_memory,Inherited Memory from Southern terraces,155,0.95,spatial_imprint,Spatial Imprint from Deep Quarry tunnels,129,0.38,collective identity,living tissue,56.9,peaceful_coexistence,440,0.92,stalemate,,,0.07,no_age_effect,stronger_won,unknown,932,Boundary Commission,scavenger_testimony,0.59,Conflict between inherited_memory and spatial_imprint in collective identity.,,
MC-0088,The Trapper's Rest Contest,inherited_memory,Inherited Memory from Capital Archives basement,379,0.38,form_library_access,Form Library Access from Southern terraces,438,0.95,collective identity,behavioral repertoire,189.0,peaceful_coexistence,164,0.88,partition,,,0.02,no_age_effect,stronger_won,pattern_b,910,Archive Survey Team,form_analysis,0.51,Conflict between inherited_memory and form_library_access in collective identity.,,
MC-0089,The Northern Quarry Contest,spatial_imprint,Spatial Imprint from Capital Archives basement,242,0.62,collective_pattern,Collective Pattern from Deep Quarry tunnels,186,0.2,offspring expression,behavioral repertoire,58.9,territory_contest,792,0.91,partition,,,0.41,no_age_effect,stronger_won,pattern_b,917,C. Vells,behavioral_tracking,0.89,Conflict between spatial_imprint and collective_pattern in offspring expression.,,
MC-0090,The Third Mill Contest,ghost,Ghost from Trapper camp ruins,12,0.78,inherited_memory,Inherited Memory from Deep Quarry tunnels,390,0.44,same creature body,collective memory,198.9,dominance_struggle,611,0.34,merger,0.69,absorbed,0.17,older_won,complex,pattern_a,907,T. Vells,scavenger_testimony,0.84,Conflict between ghost and inherited_memory in same creature body.,,
MC-0091,The Third Mill Contest,form_library_access,Form Library Access from Deep Quarry tunnels,356,0.56,ghost,Ghost from Southern terraces,239,0.93,spatial location,spatial region,169.1,catastrophic,323,0.42,partition,,,0.37,no_age_effect,stronger_won,pattern_a,891,M. Tall,historical_reconstruction,0.56,Conflict between form_library_access and ghost in spatial location.,,
MC-0092,The Eastern Ridge Contest,form_library_access,Form Library Access from Western boundary region,56,0.23,inherited_memory,Inherited Memory from Trapper camp ruins,181,0.31,same creature body,collective memory,198.5,dominance_struggle,674,0.35,pattern_b_won,0.31,displaced,0.19,older_won,complex,pattern_a,928,Boundary Commission,form_analysis,0.87,Conflict between form_library_access and inherited_memory in same creature body.,,
MC-0093,The Deep Tunnels Contest,collective_pattern,Collective Pattern from Trapper camp ruins,439,0.81,form_library_access,Form Library Access from Capital Archives basement,426,0.35,same creature body,living tissue,29.3,peaceful_coexistence,362,0.99,stalemate,,,0.04,no_age_effect,stronger_won,pattern_b,899,K. Strand,historical_reconstruction,0.88,Conflict between collective_pattern and form_library_access in same creature body.,,
MC-0094,The Archive Basement Contest,collective_pattern,Collective Pattern from Near Third Mill site,412,0.48,living_form,Living Form from Capital Archives basement,341,0.75,offspring expression,collective memory,99.7,catastrophic,198,0.64,stalemate,,,0.24,no_age_effect,stronger_won,equal,930,Quarry Guild Records,direct_observation,0.86,Conflict between collective_pattern and living_form in offspring expression.,,
MC-0095,The Deep Tunnels Contest,spatial_imprint,Spatial Imprint from Trapper camp ruins,299,0.46,ghost,Ghost from Western boundary region,118,0.26,collective identity,collective memory,165.9,merger_attempt,774,0.75,stalemate,,,0.38,older_won,complex,unknown,924,M. Tall,historical_reconstruction,0.71,Conflict between spatial_imprint and ghost in collective identity.,,
MC-0096,The Trapper's Rest Contest,living_form,Living Form from Yeller Quarry eastern ridge,128,0.28,collective_pattern,Collective Pattern from Southern terraces,197,0.87,same creature body,collective memory,166.3,merger_attempt,987,0.54,pattern_b_won,0.92,displaced,0.45,older_won,complex,pattern_b,906,K. Strand,direct_observation,0.73,Conflict between living_form and collective_pattern in same creature body.,,
MC-0097,The Eastern Ridge Contest,spatial_imprint,Spatial Imprint from Northern observation post,200,0.21,collective_pattern,Collective Pattern from Old mine entrance,81,0.7,same creature body,structural material,114.6,dominance_struggle,618,0.87,pattern_a_won,0.21,weakened,0.47,older_won,complex,equal,921,S. Moll,behavioral_tracking,0.65,Conflict between spatial_imprint and collective_pattern in same creature body.,,
MC-0098,The Boundary Marker Seven Contest,spatial_imprint,Spatial Imprint from Southern terraces,369,0.86,inherited_memory,Inherited Memory from Southern terraces,315,0.63,shared territory,structural material,88.7,peaceful_coexistence,824,0.28,pattern_a_won,0.93,weakened,0.03,no_age_effect,stronger_won,pattern_b,892,Boundary Commission,scavenger_testimony,0.65,Conflict between spatial_imprint and inherited_memory in shared territory.,,
MC-0099,The Deep Tunnels Contest,ghost,Ghost from Trapper camp ruins,149,0.32,spatial_imprint,Spatial Imprint from Dens boundary zone,332,0.32,offspring expression,spatial region,80.7,merger_attempt,48,0.89,pattern_b_won,0.32,weakened,0.14,older_won,complex,equal,913,R. Voss,historical_reconstruction,0.71,Conflict between ghost and spatial_imprint in offspring expression.,,
MC-0100,The Trapper's Rest Contest,form_library_access,Form Library Access from Central processing area,169,0.67,spatial_imprint,Spatial Imprint from Dens boundary zone,149,0.8,collective identity,spatial region,179.2,catastrophic,872,0.77,stalemate,,,0.22,no_age_effect,no_strength_effect,pattern_a,904,M. Tall,direct_observation,0.81,Conflict between form_library_access and spatial_imprint in collective identity.,,
