failure_id,trajectory_id,intended_form_id,intended_form_name,intended_basin_id,failure_location_x,failure_location_y,failure_location_z,failure_basin_id,failure_type,severity,proximate_cause,contributing_factors,distance_from_target,distance_traveled,progress_percentage,final_state,recovery_attempted,recovery_successful,failure_year,documenter,documentation_source,confidence,description,lessons_learned,notes
NF-0094,NT-0086,,,,-0.8365,0.306,0.2695,BA-046,wandering,0.76,competing_attractors,,,0.7783,,ongoing_drift,True,True,931,K. Strand,form_examination,0.811,Navigation failure of type 'wandering' observed at BA-046.,,
NF-0095,NT-0123,,,,-0.414,0.8425,-0.9545,inter-basin,wandering,0.696,unknown,,,1.8868,,stuck,False,,932,R. Voss,form_examination,0.566,Trajectory terminated in stuck state after wandering event.,Indicates boundary interference is more common near inter-basin.,
NF-0096,NT-0338,MS-0012,Form 0012,BA-045,-0.3469,-0.7884,-0.0965,BA-007,wrong_attractor,0.386,insufficient_energy,,0.3396,1.8772,18.9,alternative_arrival,True,False,922,R. Voss,aftermath_study,0.635,Trajectory terminated in alternative_arrival state after wrong_attractor event.,Highlights the danger of insufficient_energy in navigation.,
NF-0097,NT-0174,MS-0028,Form 0028,BA-049,-0.1474,0.9604,-0.9252,BA-016,ridge_block,0.646,substrate_damage,,0.9689,1.4316,93.5,alternative_arrival,True,True,927,C. Vells,trajectory_analysis,0.784,Trajectory terminated in alternative_arrival state after ridge_block event.,Highlights the danger of substrate_damage in navigation.,
NF-0098,NT-0263,MS-0091,Form 0091,BA-010,-0.7459,0.4098,0.5344,BA-015,dissolution,0.952,competing_attractors,,0.9918,2.44,85.5,recovered,True,True,920,Archive Survey Team,aftermath_study,0.74,System failed to reach intended destination due to competing_attractors.,Demonstrates importance of energy reserves for long trajectories.,
NF-0099,,MS-0096,Form 0096,BA-040,0.0451,0.2939,-0.8321,BA-042,wrong_attractor,0.529,weak_attractor_signal,,0.4442,1.2651,39.7,recovered,True,False,932,C. Vells,form_examination,0.678,Navigation failure of type 'wrong_attractor' observed at BA-042.,Suggests need for stronger attractor signals in this region.,
NF-0100,NT-0188,MS-0086,Form 0086,BA-046,-0.8027,-0.279,-0.7811,BA-030,local_minimum,0.559,navigation_error,,0.2571,1.5492,39.5,alternative_arrival,True,True,920,C. Vells,aftermath_study,0.817,System failed to reach intended destination due to navigation_error.,,
NF-0101,,,,,-0.2892,0.7695,0.6366,inter-basin,infinite_loop,0.628,insufficient_energy,"prior_damage,low_stability",,2.4552,,recovered,False,,929,Boundary Commission,aftermath_study,0.764,Trajectory terminated in recovered state after infinite_loop event.,,
NF-0102,NT-0339,,,,0.4728,-0.252,-0.7414,BA-014,exhaustion,0.713,boundary_interference,prior_damage,,2.4891,,ongoing_drift,True,False,930,R. Voss,aftermath_study,0.564,System failed to reach intended destination due to boundary_interference.,Highlights the danger of boundary_interference in navigation.,
NF-0103,,MS-0009,Form 0009,BA-035,-0.9472,-0.3887,0.3516,BA-043,wrong_attractor,0.445,dens_proximity,,0.5805,0.5663,36.0,alternative_arrival,True,True,928,R. Voss,trajectory_analysis,0.666,System failed to reach intended destination due to dens_proximity.,Demonstrates importance of energy reserves for long trajectories.,
NF-0104,,,,,0.0906,0.2895,-0.0448,BA-025,local_minimum,0.337,substrate_damage,"prior_damage,low_stability",,2.4745,,dissolved,False,,919,Boundary Commission,direct_observation,0.889,System failed to reach intended destination due to substrate_damage.,Demonstrates importance of energy reserves for long trajectories.,
NF-0105,,MS-0084,Form 0084,BA-047,-0.5555,-0.9139,0.7118,BA-045,wandering,0.54,boundary_interference,,0.9352,2.7139,4.3,alternative_arrival,True,False,918,R. Voss,direct_observation,0.567,Navigation failure of type 'wandering' observed at BA-045.,Suggests need for stronger attractor signals in this region.,
NF-0106,,MS-0018,Form 0018,BA-008,0.7196,-0.0771,-0.9477,BA-017,ridge_block,0.533,insufficient_energy,prior_damage,1.4759,0.3946,43.5,alternative_arrival,True,False,925,R. Voss,direct_observation,0.686,System failed to reach intended destination due to insufficient_energy.,Suggests need for stronger attractor signals in this region.,
NF-0107,NT-0146,MS-0077,Form 0077,BA-032,-0.199,0.6206,-0.2594,BA-040,ridge_block,0.575,unknown,"prior_damage,low_stability,weak_signal",1.5025,0.4367,62.8,stuck,True,False,927,Archive Survey Team,trajectory_analysis,0.938,Trajectory terminated in stuck state after ridge_block event.,Suggests need for stronger attractor signals in this region.,
NF-0108,,,,,0.9727,0.0818,-0.0842,BA-043,wandering,0.51,substrate_damage,weak_signal,,1.4825,,alternative_arrival,True,False,932,Archive Survey Team,aftermath_study,0.687,Trajectory terminated in alternative_arrival state after wandering event.,Highlights the danger of substrate_damage in navigation.,
NF-0109,,MS-0095,Form 0095,BA-011,-0.4162,-0.423,-0.8484,inter-basin,local_minimum,0.534,dens_proximity,,1.6626,1.4787,80.6,stuck,True,True,925,Archive Survey Team,trajectory_analysis,0.907,Navigation failure of type 'local_minimum' observed at inter-basin.,Highlights the danger of dens_proximity in navigation.,
NF-0110,NT-0273,,,,-0.4531,0.9506,0.7499,BA-050,exhaustion,0.835,unknown,low_stability,,0.2699,,alternative_arrival,False,,920,Boundary Commission,aftermath_study,0.766,Navigation failure of type 'exhaustion' observed at BA-050.,Suggests need for stronger attractor signals in this region.,
NF-0111,NT-0025,MS-0097,Form 0097,BA-042,0.7187,-0.6669,0.9487,BA-047,exhaustion,0.866,navigation_error,,0.9605,0.8516,95.1,dissolved,False,,926,Boundary Commission,direct_observation,0.622,Navigation failure of type 'exhaustion' observed at BA-047.,Suggests need for stronger attractor signals in this region.,
NF-0112,NT-0014,MS-0024,Form 0024,BA-024,-0.6007,0.0581,0.5993,inter-basin,exhaustion,0.759,environmental_noise,,0.1792,2.6642,25.4,alternative_arrival,True,True,926,Boundary Commission,direct_observation,0.573,Trajectory terminated in alternative_arrival state after exhaustion event.,Indicates boundary interference is more common near inter-basin.,
NF-0113,NT-0022,MS-0059,Form 0059,BA-007,0.4224,-0.0943,-0.7991,BA-049,wandering,0.73,navigation_error,environmental_noise,1.3477,1.6731,33.6,ongoing_drift,True,True,920,Archive Survey Team,aftermath_study,0.761,Navigation failure of type 'wandering' observed at BA-049.,Demonstrates importance of energy reserves for long trajectories.,
NF-0114,NT-0327,MS-0075,Form 0075,BA-014,0.2985,-0.3224,0.5801,BA-035,local_minimum,0.593,competing_attractors,"prior_damage,low_stability",0.9693,2.0192,81.7,ongoing_drift,True,False,928,C. Vells,trajectory_analysis,0.555,Navigation failure of type 'local_minimum' observed at BA-035.,Highlights the danger of competing_attractors in navigation.,
NF-0115,NT-0290,MS-0018,Form 0018,BA-008,-0.0374,-0.2699,-0.9079,BA-023,wrong_attractor,0.334,weak_attractor_signal,,0.3425,0.2209,7.2,ongoing_drift,False,,923,Boundary Commission,trajectory_analysis,0.501,Trajectory terminated in ongoing_drift state after wrong_attractor event.,Highlights the danger of weak_attractor_signal in navigation.,
NF-0116,NT-0353,,,,0.9177,-0.842,-0.8928,inter-basin,dissolution,0.856,competing_attractors,low_stability,,1.0939,,stuck,True,True,924,K. Strand,historical_inference,0.785,Navigation failure of type 'dissolution' observed at inter-basin.,Highlights the danger of competing_attractors in navigation.,
NF-0117,,MS-0100,Form 0100,BA-043,0.8663,-0.8984,0.3825,BA-016,wrong_attractor,0.435,substrate_damage,"low_stability,environmental_noise",1.3534,2.5836,59.1,ongoing_drift,False,,918,Archive Survey Team,direct_observation,0.741,Navigation failure of type 'wrong_attractor' observed at BA-016.,,
NF-0118,,MS-0084,Form 0084,BA-047,-0.3792,-0.3436,0.4741,BA-049,ridge_block,0.585,insufficient_energy,environmental_noise,1.9645,1.9496,22.9,stuck,False,,928,R. Voss,aftermath_study,0.921,Navigation failure of type 'ridge_block' observed at BA-049.,Indicates boundary interference is more common near BA-049.,
NF-0119,NT-0265,MS-0067,Form 0067,BA-043,0.7245,0.4428,-0.9172,BA-007,wrong_attractor,0.42,navigation_error,"low_stability,environmental_noise,weak_signal",0.4107,2.4173,77.6,dissolved,False,,923,R. Voss,trajectory_analysis,0.666,Navigation failure of type 'wrong_attractor' observed at BA-007.,Highlights the danger of navigation_error in navigation.,
NF-0120,,MS-0008,Form 0008,BA-022,-0.4834,0.987,-0.7105,BA-035,ridge_block,0.622,weak_attractor_signal,low_stability,0.6086,2.9124,94.3,stuck,False,,919,Boundary Commission,trajectory_analysis,0.934,Navigation failure of type 'ridge_block' observed at BA-035.,Indicates boundary interference is more common near BA-035.,
NF-0121,NT-0086,,,,0.5728,0.535,-0.0698,inter-basin,wandering,0.448,navigation_error,,,0.9499,,alternative_arrival,False,,932,C. Vells,aftermath_study,0.831,Navigation failure of type 'wandering' observed at inter-basin.,Highlights the danger of navigation_error in navigation.,
NF-0122,NT-0429,MS-0014,Form 0014,BA-031,-0.5376,0.4647,-0.3952,BA-009,infinite_loop,0.411,navigation_error,weak_signal,0.1098,1.2144,81.5,stuck,False,,930,K. Strand,historical_inference,0.916,Trajectory terminated in stuck state after infinite_loop event.,Suggests need for stronger attractor signals in this region.,
NF-0123,NT-0412,MS-0037,Form 0037,BA-012,0.817,0.0786,0.7518,BA-049,local_minimum,0.55,competing_attractors,weak_signal,1.2802,2.6805,58.6,recovered,False,,919,C. Vells,aftermath_study,0.861,System failed to reach intended destination due to competing_attractors.,Indicates boundary interference is more common near BA-049.,
NF-0124,NT-0298,MS-0014,Form 0014,BA-031,-0.6213,-0.3918,0.3,BA-002,dissolution,0.99,weak_attractor_signal,prior_damage,0.4664,0.2097,80.4,stuck,True,True,920,K. Strand,form_examination,0.861,System failed to reach intended destination due to weak_attractor_signal.,Suggests need for stronger attractor signals in this region.,
NF-0125,NT-0320,MS-0098,Form 0098,BA-008,0.3873,-0.0586,-0.3618,BA-009,local_minimum,0.316,boundary_interference,,0.7196,2.3328,96.5,recovered,True,False,921,R. Voss,aftermath_study,0.909,System failed to reach intended destination due to boundary_interference.,Highlights the danger of boundary_interference in navigation.,
NF-0126,NT-0102,MS-0044,Form 0044,BA-020,0.1168,0.3648,-0.2867,BA-018,reversal,0.589,environmental_noise,environmental_noise,0.8416,2.7465,77.4,stuck,True,True,918,R. Voss,form_examination,0.74,System failed to reach intended destination due to environmental_noise.,Demonstrates importance of energy reserves for long trajectories.,
NF-0127,NT-0448,MS-0030,Form 0030,BA-001,-0.8782,-0.56,0.7057,BA-010,ridge_block,0.573,weak_attractor_signal,,0.4444,2.8061,43.7,stuck,False,,931,K. Strand,aftermath_study,0.749,Navigation failure of type 'ridge_block' observed at BA-010.,Indicates boundary interference is more common near BA-010.,
NF-0128,,MS-0018,Form 0018,BA-008,-0.2192,-0.49,-0.7061,BA-030,ridge_block,0.421,competing_attractors,"low_stability,environmental_noise",0.8711,2.7751,35.9,dissolved,False,,921,R. Voss,form_examination,0.73,System failed to reach intended destination due to competing_attractors.,Indicates boundary interference is more common near BA-030.,
NF-0129,NT-0466,,,,-0.3945,0.9611,-0.3317,BA-015,dissolution,0.986,environmental_noise,,,0.8649,,absorbed,True,False,922,K. Strand,trajectory_analysis,0.809,System failed to reach intended destination due to environmental_noise.,Highlights the danger of environmental_noise in navigation.,
NF-0130,NT-0133,MS-0002,The Binary Division,BA-002,0.6628,-0.2108,-0.7825,inter-basin,local_minimum,0.338,boundary_interference,weak_signal,0.7331,0.3026,23.2,ongoing_drift,True,False,921,R. Voss,trajectory_analysis,0.547,Trajectory terminated in ongoing_drift state after local_minimum event.,Suggests need for stronger attractor signals in this region.,
NF-0131,NT-0286,,,,0.4921,-0.5153,0.6789,inter-basin,infinite_loop,0.687,competing_attractors,"prior_damage,low_stability,weak_signal",,1.1523,,dissolved,True,False,931,Boundary Commission,trajectory_analysis,0.682,System failed to reach intended destination due to competing_attractors.,Indicates boundary interference is more common near inter-basin.,
NF-0132,NT-0329,MS-0059,Form 0059,BA-007,-0.0118,0.4777,-0.0352,BA-008,dissolution,0.821,competing_attractors,environmental_noise,0.8142,2.5975,55.6,stuck,False,,929,Boundary Commission,aftermath_study,0.54,Trajectory terminated in stuck state after dissolution event.,Highlights the danger of competing_attractors in navigation.,
NF-0133,NT-0327,MS-0071,Form 0071,BA-012,-0.9576,-0.782,0.1464,BA-033,wrong_attractor,0.511,dens_proximity,environmental_noise,1.2822,2.8263,63.5,stuck,False,,925,K. Strand,aftermath_study,0.711,Navigation failure of type 'wrong_attractor' observed at BA-033.,Suggests need for stronger attractor signals in this region.,
NF-0134,NT-0398,MS-0091,Form 0091,BA-010,0.32,-0.9948,0.9987,BA-039,wandering,0.644,insufficient_energy,"low_stability,environmental_noise",0.8668,1.8369,34.7,alternative_arrival,True,False,919,C. Vells,form_examination,0.57,Trajectory terminated in alternative_arrival state after wandering event.,Indicates boundary interference is more common near BA-039.,
NF-0135,NT-0362,MS-0074,Form 0074,BA-026,0.1169,-0.6777,-0.4686,inter-basin,dissolution,0.985,navigation_error,prior_damage,1.8139,1.4377,94.8,alternative_arrival,True,True,930,Boundary Commission,historical_inference,0.934,Navigation failure of type 'dissolution' observed at inter-basin.,,
NF-0136,,MS-0093,Form 0093,BA-002,-0.7069,0.3236,0.7691,inter-basin,ridge_block,0.44,unknown,,0.7297,0.254,5.4,recovered,False,,931,R. Voss,form_examination,0.771,Trajectory terminated in recovered state after ridge_block event.,Suggests need for stronger attractor signals in this region.,
NF-0137,NT-0264,MS-0097,Form 0097,BA-042,-0.8024,-0.9015,-0.3555,BA-013,local_minimum,0.554,environmental_noise,,1.9128,1.6727,52.5,alternative_arrival,True,True,927,Boundary Commission,trajectory_analysis,0.886,Navigation failure of type 'local_minimum' observed at BA-013.,Indicates boundary interference is more common near BA-013.,
NF-0138,NT-0218,MS-0008,Form 0008,BA-022,-0.9836,-0.7965,-0.7048,inter-basin,dissolution,0.777,boundary_interference,weak_signal,1.4355,2.2723,57.7,recovered,False,,927,C. Vells,historical_inference,0.678,Navigation failure of type 'dissolution' observed at inter-basin.,Indicates boundary interference is more common near inter-basin.,
NF-0139,NT-0308,,,,-0.904,0.3857,0.0528,inter-basin,wrong_attractor,0.542,weak_attractor_signal,,,0.9002,,ongoing_drift,True,True,925,Archive Survey Team,historical_inference,0.915,System failed to reach intended destination due to weak_attractor_signal.,,
NF-0140,NT-0377,,,,-0.7501,-0.9632,0.3567,BA-045,infinite_loop,0.701,boundary_interference,,,1.7899,,ongoing_drift,True,False,927,K. Strand,form_examination,0.683,Navigation failure of type 'infinite_loop' observed at BA-045.,Suggests need for stronger attractor signals in this region.,
NF-0141,NT-0407,MS-0014,Form 0014,BA-031,0.0222,0.9281,-0.8544,inter-basin,infinite_loop,0.614,environmental_noise,,1.828,2.5081,49.8,dissolved,True,False,927,Archive Survey Team,trajectory_analysis,0.69,Trajectory terminated in dissolved state after infinite_loop event.,Suggests need for stronger attractor signals in this region.,
NF-0142,NT-0012,MS-0002,The Binary Division,BA-002,-0.8431,-0.3493,0.1152,inter-basin,local_minimum,0.308,insufficient_energy,,0.2425,1.8451,97.4,absorbed,True,True,929,K. Strand,form_examination,0.574,Trajectory terminated in absorbed state after local_minimum event.,Demonstrates importance of energy reserves for long trajectories.,
NF-0143,NT-0366,,,,-0.4416,-0.6818,0.2468,inter-basin,dissolution,0.795,navigation_error,low_stability,,2.8105,,dissolved,True,False,919,Archive Survey Team,trajectory_analysis,0.725,Navigation failure of type 'dissolution' observed at inter-basin.,Demonstrates importance of energy reserves for long trajectories.,
NF-0144,,MS-0089,Form 0089,BA-014,-0.7858,-0.7475,0.8949,BA-008,wandering,0.798,insufficient_energy,weak_signal,0.5875,1.2708,32.8,dissolved,False,,924,C. Vells,trajectory_analysis,0.61,Trajectory terminated in dissolved state after wandering event.,Demonstrates importance of energy reserves for long trajectories.,
NF-0145,NT-0285,MS-0018,Form 0018,BA-008,-0.7431,0.2386,0.5574,BA-042,wandering,0.54,navigation_error,"prior_damage,low_stability,weak_signal",0.5856,2.759,68.2,alternative_arrival,False,,927,Archive Survey Team,trajectory_analysis,0.781,Navigation failure of type 'wandering' observed at BA-042.,,
NF-0146,NT-0047,MS-0074,Form 0074,BA-026,-0.9508,0.7425,-0.0066,BA-029,local_minimum,0.574,insufficient_energy,"prior_damage,environmental_noise",1.789,1.3416,20.4,stuck,False,,920,Boundary Commission,form_examination,0.878,Trajectory terminated in stuck state after local_minimum event.,Highlights the danger of insufficient_energy in navigation.,
NF-0147,,,,,-0.512,0.4974,0.3836,BA-017,local_minimum,0.517,unknown,low_stability,,1.9839,,dissolved,False,,922,C. Vells,form_examination,0.91,System failed to reach intended destination due to unknown.,,
NF-0148,NT-0313,MS-0015,Form 0015,BA-023,-0.4712,0.0302,-0.405,BA-044,exhaustion,0.969,environmental_noise,"prior_damage,low_stability,environmental_noise",0.1164,1.0576,0.4,recovered,False,,931,Archive Survey Team,form_examination,0.751,Trajectory terminated in recovered state after exhaustion event.,Highlights the danger of environmental_noise in navigation.,
NF-0149,NT-0454,,,,0.337,-0.2732,0.3562,BA-013,wandering,0.589,insufficient_energy,prior_damage,,1.4945,,dissolved,True,False,928,Archive Survey Team,direct_observation,0.84,System failed to reach intended destination due to insufficient_energy.,Indicates boundary interference is more common near BA-013.,
NF-0150,,,,,0.9982,-0.056,0.1487,BA-034,wandering,0.558,dens_proximity,"prior_damage,weak_signal",,0.1616,,alternative_arrival,True,False,932,R. Voss,direct_observation,0.595,System failed to reach intended destination due to dens_proximity.,Highlights the danger of dens_proximity in navigation.,
NF-0151,NT-0076,,,,0.7117,0.3692,-0.6774,BA-033,local_minimum,0.47,navigation_error,low_stability,,2.789,,recovered,True,True,920,R. Voss,direct_observation,0.554,System failed to reach intended destination due to navigation_error.,Suggests need for stronger attractor signals in this region.,
NF-0152,NT-0397,MS-0059,Form 0059,BA-007,-0.3882,0.3196,0.1859,inter-basin,exhaustion,0.988,weak_attractor_signal,low_stability,0.1491,2.1366,67.5,dissolved,False,,921,Archive Survey Team,form_examination,0.66,System failed to reach intended destination due to weak_attractor_signal.,Suggests need for stronger attractor signals in this region.,
NF-0153,,,,,-0.0103,0.5551,0.4464,inter-basin,ridge_block,0.424,environmental_noise,"prior_damage,low_stability",,2.9851,,recovered,False,,932,K. Strand,direct_observation,0.78,Navigation failure of type 'ridge_block' observed at inter-basin.,,
NF-0154,NT-0083,,,,-0.3119,0.5854,-0.2498,inter-basin,wandering,0.682,boundary_interference,"environmental_noise,weak_signal",,1.6773,,recovered,True,False,928,Boundary Commission,historical_inference,0.695,Navigation failure of type 'wandering' observed at inter-basin.,Highlights the danger of boundary_interference in navigation.,
NF-0155,,MS-0001,The Quintic Cycle,BA-001,-0.6777,0.1585,-0.3115,BA-047,wandering,0.722,competing_attractors,"low_stability,environmental_noise",0.2951,1.0158,99.8,recovered,False,,918,K. Strand,aftermath_study,0.824,Navigation failure of type 'wandering' observed at BA-047.,Demonstrates importance of energy reserves for long trajectories.,
NF-0156,NT-0172,MS-0099,Form 0099,BA-043,-0.3076,-0.4637,-0.5231,inter-basin,local_minimum,0.362,environmental_noise,weak_signal,1.4298,1.9241,84.8,alternative_arrival,True,True,925,K. Strand,direct_observation,0.541,System failed to reach intended destination due to environmental_noise.,Highlights the danger of environmental_noise in navigation.,
NF-0157,NT-0345,,,,0.5362,-0.4727,0.1756,BA-045,wrong_attractor,0.485,environmental_noise,,,0.5563,,dissolved,False,,923,K. Strand,trajectory_analysis,0.763,System failed to reach intended destination due to environmental_noise.,Indicates boundary interference is more common near BA-045.,
NF-0158,,,,,0.7215,-0.3618,0.4893,BA-018,dissolution,0.926,dens_proximity,"low_stability,environmental_noise",,2.5924,,stuck,True,True,921,R. Voss,aftermath_study,0.939,System failed to reach intended destination due to dens_proximity.,Indicates boundary interference is more common near BA-018.,
NF-0159,NT-0186,MS-0034,Form 0034,BA-049,-0.1271,0.1729,0.2648,inter-basin,interference,0.678,insufficient_energy,"low_stability,environmental_noise",0.2332,0.4334,3.4,recovered,False,,929,Boundary Commission,form_examination,0.823,System failed to reach intended destination due to insufficient_energy.,Demonstrates importance of energy reserves for long trajectories.,
NF-0160,NT-0390,,,,-0.1867,0.6878,0.2556,BA-009,infinite_loop,0.49,boundary_interference,,,0.6322,,recovered,True,False,925,Boundary Commission,aftermath_study,0.521,Navigation failure of type 'infinite_loop' observed at BA-009.,Highlights the danger of boundary_interference in navigation.,
NF-0161,,,,,0.472,0.7821,-0.3796,BA-027,ridge_block,0.512,insufficient_energy,,,2.1836,,stuck,False,,931,C. Vells,historical_inference,0.879,System failed to reach intended destination due to insufficient_energy.,Suggests need for stronger attractor signals in this region.,
NF-0162,NT-0087,MS-0070,Form 0070,BA-037,0.2843,-0.9291,0.3972,BA-023,dissolution,0.847,substrate_damage,environmental_noise,1.4686,2.3789,94.0,alternative_arrival,True,False,927,Archive Survey Team,form_examination,0.873,Trajectory terminated in alternative_arrival state after dissolution event.,,
NF-0163,,MS-0023,Form 0023,BA-007,-0.8407,-0.7257,0.9626,BA-012,ridge_block,0.664,weak_attractor_signal,,0.7315,2.3183,53.2,recovered,True,False,926,Boundary Commission,form_examination,0.515,System failed to reach intended destination due to weak_attractor_signal.,Suggests need for stronger attractor signals in this region.,
NF-0164,NT-0266,MS-0067,Form 0067,BA-043,-0.8923,-0.4424,-0.5789,BA-007,wandering,0.56,competing_attractors,low_stability,1.7735,2.4827,50.6,recovered,True,True,919,C. Vells,historical_inference,0.59,Navigation failure of type 'wandering' observed at BA-007.,Demonstrates importance of energy reserves for long trajectories.,
NF-0165,NT-0145,MS-0072,Form 0072,BA-037,0.686,-0.6928,0.7402,inter-basin,reversal,0.781,weak_attractor_signal,,0.1438,0.4675,4.2,alternative_arrival,False,,926,K. Strand,form_examination,0.56,Navigation failure of type 'reversal' observed at inter-basin.,Indicates boundary interference is more common near inter-basin.,
NF-0166,NT-0210,,,,0.3693,-0.7381,0.5087,inter-basin,exhaustion,0.815,insufficient_energy,low_stability,,1.5907,,alternative_arrival,False,,920,R. Voss,trajectory_analysis,0.879,Trajectory terminated in alternative_arrival state after exhaustion event.,Indicates boundary interference is more common near inter-basin.,
NF-0167,NT-0475,MS-0039,Form 0039,BA-015,-0.7657,-0.8147,0.7157,BA-028,infinite_loop,0.441,navigation_error,low_stability,0.8486,0.7257,80.2,alternative_arrival,True,False,923,Boundary Commission,direct_observation,0.794,Navigation failure of type 'infinite_loop' observed at BA-028.,,
NF-0168,NT-0497,MS-0062,Form 0062,BA-015,-0.5259,0.6307,-0.0582,inter-basin,infinite_loop,0.774,competing_attractors,"low_stability,environmental_noise",1.4242,1.6681,87.2,dissolved,True,False,926,C. Vells,historical_inference,0.743,Navigation failure of type 'infinite_loop' observed at inter-basin.,,
NF-0169,,MS-0030,Form 0030,BA-001,-0.9681,-0.1863,0.7608,BA-047,local_minimum,0.477,unknown,,1.7297,1.5164,16.5,stuck,False,,932,R. Voss,form_examination,0.555,Navigation failure of type 'local_minimum' observed at BA-047.,Suggests need for stronger attractor signals in this region.,
NF-0170,NT-0422,MS-0055,Form 0055,BA-036,-0.568,-0.9165,-0.2106,inter-basin,local_minimum,0.593,substrate_damage,prior_damage,0.689,1.6242,81.3,alternative_arrival,True,True,922,C. Vells,trajectory_analysis,0.832,Trajectory terminated in alternative_arrival state after local_minimum event.,Highlights the danger of substrate_damage in navigation.,
NF-0171,NT-0113,MS-0093,Form 0093,BA-002,-0.0223,-0.7919,0.6508,inter-basin,wrong_attractor,0.423,substrate_damage,"prior_damage,low_stability,environmental_noise",1.8715,0.7049,60.8,ongoing_drift,False,,931,Archive Survey Team,historical_inference,0.837,Navigation failure of type 'wrong_attractor' observed at inter-basin.,Suggests need for stronger attractor signals in this region.,
NF-0172,NT-0055,MS-0070,Form 0070,BA-037,0.7239,0.8661,0.3308,inter-basin,infinite_loop,0.627,unknown,prior_damage,1.7274,1.9335,9.8,stuck,True,True,921,C. Vells,direct_observation,0.645,Navigation failure of type 'infinite_loop' observed at inter-basin.,Highlights the danger of unknown in navigation.,
NF-0173,,MS-0067,Form 0067,BA-043,-0.3993,-0.7067,0.2713,inter-basin,local_minimum,0.416,competing_attractors,low_stability,0.9976,1.7416,15.2,stuck,False,,923,Archive Survey Team,direct_observation,0.704,Trajectory terminated in stuck state after local_minimum event.,,
NF-0174,,MS-0063,Form 0063,BA-017,0.8298,0.4994,0.1521,BA-011,wrong_attractor,0.536,navigation_error,environmental_noise,1.1475,0.9884,99.0,recovered,True,False,925,R. Voss,historical_inference,0.872,Navigation failure of type 'wrong_attractor' observed at BA-011.,,
NF-0175,NT-0394,MS-0079,Form 0079,BA-030,0.5395,-0.8464,-0.382,BA-031,wrong_attractor,0.439,navigation_error,environmental_noise,1.3524,2.2924,5.8,stuck,True,False,923,R. Voss,direct_observation,0.557,Navigation failure of type 'wrong_attractor' observed at BA-031.,Demonstrates importance of energy reserves for long trajectories.,
NF-0176,,MS-0010,Form 0010,BA-031,0.6305,-0.7317,-0.7056,BA-013,dissolution,0.708,navigation_error,"prior_damage,low_stability",1.983,1.4317,60.1,recovered,True,False,922,R. Voss,direct_observation,0.654,System failed to reach intended destination due to navigation_error.,Indicates boundary interference is more common near BA-013.,
NF-0177,,MS-0061,Form 0061,BA-027,-0.923,-0.3269,-0.119,BA-021,reversal,0.766,unknown,"prior_damage,low_stability",1.6966,2.4038,97.1,recovered,True,True,927,C. Vells,aftermath_study,0.838,Navigation failure of type 'reversal' observed at BA-021.,,
NF-0178,NT-0308,,,,-0.7957,-0.3149,-0.2296,inter-basin,wrong_attractor,0.54,weak_attractor_signal,weak_signal,,1.4758,,recovered,True,True,921,Archive Survey Team,direct_observation,0.662,Navigation failure of type 'wrong_attractor' observed at inter-basin.,Highlights the danger of weak_attractor_signal in navigation.,
NF-0179,,MS-0067,Form 0067,BA-043,0.5473,0.9218,-0.987,BA-010,local_minimum,0.373,boundary_interference,,1.0099,0.6921,61.8,ongoing_drift,False,,930,R. Voss,form_examination,0.871,Trajectory terminated in ongoing_drift state after local_minimum event.,Suggests need for stronger attractor signals in this region.,
NF-0180,,,,,0.3905,0.9941,-0.7161,BA-050,dissolution,0.934,boundary_interference,environmental_noise,,1.4043,,alternative_arrival,False,,921,R. Voss,historical_inference,0.755,Trajectory terminated in alternative_arrival state after dissolution event.,Indicates boundary interference is more common near BA-050.,
NF-0181,NT-0332,MS-0062,Form 0062,BA-015,0.9125,-0.052,0.1563,BA-017,local_minimum,0.33,competing_attractors,,1.271,1.6324,34.9,absorbed,False,,918,Archive Survey Team,historical_inference,0.771,System failed to reach intended destination due to competing_attractors.,Demonstrates importance of energy reserves for long trajectories.,
NF-0182,NT-0298,,,,0.6363,-0.7029,0.0332,BA-039,ridge_block,0.424,competing_attractors,"prior_damage,low_stability,weak_signal",,0.7245,,dissolved,True,True,920,R. Voss,historical_inference,0.815,Navigation failure of type 'ridge_block' observed at BA-039.,,
NF-0183,,MS-0089,Form 0089,BA-014,-0.4016,-0.3647,0.3573,BA-009,wrong_attractor,0.513,competing_attractors,,0.4792,2.1356,49.5,stuck,False,,920,Archive Survey Team,direct_observation,0.516,Navigation failure of type 'wrong_attractor' observed at BA-009.,Demonstrates importance of energy reserves for long trajectories.,
NF-0184,NT-0287,MS-0049,Form 0049,BA-033,-0.7335,-0.8106,-0.5732,BA-011,reversal,0.75,boundary_interference,"prior_damage,low_stability",0.4986,2.901,12.3,absorbed,False,,926,Archive Survey Team,trajectory_analysis,0.778,Trajectory terminated in absorbed state after reversal event.,,
NF-0185,,MS-0075,Form 0075,BA-014,0.9695,-0.8583,-0.8116,inter-basin,dissolution,0.766,unknown,low_stability,0.8843,2.4602,55.0,stuck,True,False,928,R. Voss,historical_inference,0.887,System failed to reach intended destination due to unknown.,Demonstrates importance of energy reserves for long trajectories.,
