measurement_id,collective_id,collective_name,individual_level_avg,collective_level,integration_score,level_emergence,communication_channels,response_coordination,memory_distribution,goal_coherence,turnover_resilience,component_count,scale_levels_spanned,federation_depth,emergent_goals,self_preservation,adaptive_reorganization,boundary_maintenance,component_horizon_days_avg,collective_horizon_days,horizon_multiplication,measurement_year,measurer,method,confidence,notes
IM-0130,AG-0032,Digger Colony 22,2.3,3.3,0.84,1.0,5,0.64,0.95,0.49,0.72,4267,1,4,True,True,False,True,3648.4,34295.3,9.4,926,P. Anster,communication_analysis,0.75,
IM-0131,AG-0048,Eastern Trade Coalition,1.9,2.3,0.25,0.4,9,0.32,0.3,0.43,0.13,79,1,3,False,False,False,False,2964.7,10376.5,3.5,934,P. Anster,structural_mapping,0.87,
IM-0132,AG-0050,Digger Colony 41,3.2,3.6,0.37,0.4,10,0.29,0.31,0.51,0.47,105,2,2,False,False,False,False,997.0,4685.8,4.7,912,Archive Survey Team,structural_mapping,0.75,
IM-0133,AG-0070,Western Survey Team,3.8,4.5,0.6,0.7,11,0.25,0.2,0.6,0.11,3313,4,3,False,False,True,False,3197.8,22384.9,7.0,912,M. Strand,communication_analysis,0.92,
IM-0134,AG-0080,Central Scholar Assembly,3.4,4.0,0.44,0.6,2,0.64,0.55,0.4,0.53,3404,2,2,False,False,True,False,3598.4,19431.1,5.4,934,O. Venn,behavioral_inference,0.73,
IM-0135,AG-0078,Capital Mill Crew,1.7,2.2,0.28,0.5,10,0.23,0.2,0.42,0.33,91,2,4,False,False,False,False,480.0,1824.0,3.8,936,T. Crost,behavioral_inference,0.67,
IM-0136,AG-0025,Archive Annex 13,3.4,4.5,0.75,1.1,9,0.58,0.6,0.53,0.17,1420,1,2,True,True,True,True,2102.3,17869.9,8.5,929,O. Venn,anster_modified,0.72,
IM-0137,AG-0006,Boundary Mill Crew,3.0,3.6,0.71,0.6,12,0.29,0.83,0.33,0.44,404,4,3,True,True,True,False,1290.9,10456.4,8.1,920,T. Crost,anster_modified,0.95,
IM-0138,AG-0008,Capital Trade Coalition,3.8,4.5,0.63,0.7,7,0.42,0.24,0.81,0.44,4130,2,1,True,True,True,True,1058.9,7729.9,7.3,940,Archive Survey Team,mord_protocol,0.8,
IM-0139,AG-0048,Central Research Circle,3.9,4.5,0.49,0.6,14,0.49,0.16,0.31,0.29,865,4,5,False,False,False,False,1854.6,10942.4,5.9,932,M. Strand,behavioral_inference,0.93,
IM-0140,AG-0025,Boundary Research Circle,2.8,3.7,0.63,0.9,16,0.29,0.23,0.58,0.29,4108,4,4,False,True,False,True,1045.1,7629.4,7.3,934,Boundary Commission,behavioral_inference,0.66,
IM-0141,AG-0087,Western The Archive,3.0,3.9,0.87,0.9,21,0.96,0.58,0.93,0.63,4187,3,1,True,True,False,True,914.6,8871.2,9.7,925,Independent Observer,communication_analysis,0.87,
IM-0142,AG-0042,Western Survey Team,3.1,3.4,0.38,0.3,3,0.47,0.5,0.47,0.39,1194,4,1,False,False,False,False,3317.8,15925.3,4.8,935,Klutch CC Research,anster_modified,0.77,
IM-0143,AG-0056,Klutch CC Class of 882,2.5,3.1,0.39,0.6,5,0.47,0.26,0.48,0.22,2222,1,4,False,False,False,False,2648.9,12979.6,4.9,939,Klutch CC Research,mord_protocol,0.82,
IM-0144,AG-0033,Western Scholar Assembly,2.2,2.7,0.33,0.5,8,0.27,0.62,0.36,0.24,4770,4,3,False,False,False,False,2381.9,10242.0,4.3,917,Archive Survey Team,communication_analysis,0.68,
IM-0145,AG-0032,Central Boundary Watch,2.8,3.1,0.21,0.3,9,0.37,0.48,0.34,0.29,2726,3,2,False,False,False,False,3631.4,11257.3,3.1,913,P. Anster,mord_protocol,0.89,
IM-0146,AG-0002,Eastern Mill Crew,1.5,2.5,0.91,1.0,22,0.28,0.78,0.83,0.29,2976,1,4,True,True,True,True,1556.0,15715.7,10.1,912,Archive Survey Team,mord_protocol,0.72,
IM-0147,AG-0065,Klutch CC Class of 909,3.7,4.3,0.53,0.6,2,0.52,0.72,0.53,0.56,2049,1,3,True,False,True,True,577.0,3634.9,6.3,936,Klutch CC Research,behavioral_inference,0.76,
IM-0148,AG-0093,Western Trade Coalition,2.3,2.7,0.47,0.4,4,0.5,0.75,0.37,0.24,3252,4,3,False,False,False,False,3209.7,18295.3,5.7,933,Colony Observation Unit,mord_protocol,0.74,
IM-0149,AG-0025,Archive Annex 3,3.6,4.0,0.43,0.4,3,0.49,0.47,0.46,0.12,2677,4,3,False,False,False,False,476.3,2524.1,5.3,913,T. Mord,communication_analysis,0.74,
IM-0150,AG-0026,Central Survey Team,2.4,2.8,0.31,0.4,11,0.47,0.13,0.37,0.32,1744,4,5,False,False,False,False,416.6,1708.2,4.1,930,T. Crost,anster_modified,0.79,
IM-0151,AG-0052,Boundary Navigation Guild,3.2,4.0,0.94,0.8,9,1.0,0.19,0.43,0.28,1934,3,1,True,True,True,True,3596.1,37399.5,10.4,917,M. Strand,anster_modified,0.9,
IM-0152,AG-0054,Central Scholar Assembly,2.6,3.0,0.37,0.4,5,0.26,0.39,0.42,0.32,4572,1,5,False,False,False,False,802.1,3769.8,4.7,930,Archive Survey Team,anster_modified,0.64,
IM-0153,AG-0028,Central Boundary Watch,3.3,4.0,0.46,0.7,2,0.41,0.33,0.45,0.46,3112,4,2,False,False,False,False,2424.7,13578.5,5.6,927,P. Anster,anster_modified,0.94,
IM-0154,AG-0003,Western Boundary Watch,3.0,4.1,0.92,1.1,13,0.6,1.0,0.6,0.36,1493,4,4,True,False,False,True,1214.1,12384.0,10.2,915,O. Venn,anster_modified,0.95,
IM-0155,AG-0031,Boundary The Archive,2.4,2.8,0.34,0.4,9,0.2,0.17,0.31,0.35,2365,1,2,False,False,False,False,2398.2,10552.3,4.4,933,O. Venn,mord_protocol,0.67,
IM-0156,AG-0030,Boundary Survey Team,1.7,2.2,0.37,0.5,6,0.42,0.56,0.56,0.3,3852,2,3,False,False,False,False,238.6,1121.3,4.7,915,Boundary Commission,behavioral_inference,0.94,
IM-0157,AG-0045,Boundary Trade Coalition,3.1,3.6,0.37,0.5,9,0.34,0.66,0.31,0.37,4672,3,4,False,False,False,False,1886.3,8865.5,4.7,918,T. Mord,behavioral_inference,0.66,
IM-0158,AG-0083,Boundary Scholar Assembly,3.1,3.6,0.38,0.5,6,0.21,0.12,0.48,0.2,741,1,4,False,False,False,False,322.7,1548.9,4.8,931,Boundary Commission,mord_protocol,0.79,
IM-0159,AG-0053,Western The Archive,2.1,3.0,0.59,0.9,7,0.52,0.25,0.73,0.37,4480,2,1,True,False,True,True,887.6,6124.3,6.9,937,O. Venn,structural_mapping,0.91,
IM-0160,AG-0040,Central Boundary Watch,3.9,4.2,0.24,0.3,5,0.34,0.54,0.37,0.29,4994,1,5,False,False,False,False,2551.7,8675.7,3.4,914,Archive Survey Team,anster_modified,0.81,
IM-0161,AG-0055,Central Navigation Guild,2.0,3.2,0.8,1.2,4,0.47,0.89,0.48,0.17,1866,4,3,False,True,True,True,1090.7,9816.3,9.0,923,T. Crost,anster_modified,0.77,
IM-0162,AG-0064,Western Trade Coalition,2.0,2.5,0.58,0.5,13,0.21,0.86,0.72,0.63,1461,4,4,True,False,False,True,1864.6,12679.3,6.8,931,O. Venn,communication_analysis,0.61,
IM-0163,AG-0074,Central Preservation Committee,2.0,2.3,0.34,0.3,7,0.48,0.51,0.35,0.19,1290,4,1,False,False,False,False,233.4,1027.0,4.4,938,Klutch CC Research,mord_protocol,0.89,
IM-0164,AG-0091,Archive Annex 9,3.2,3.4,0.23,0.2,9,0.32,0.52,0.33,0.31,1711,4,5,False,False,False,False,2917.6,9627.9,3.3,922,Boundary Commission,structural_mapping,0.87,
IM-0165,AG-0091,Western Research Circle,1.9,2.6,0.4,0.7,12,0.23,0.27,0.34,0.38,2536,4,4,False,False,False,False,1466.2,7330.9,5.0,940,Boundary Commission,anster_modified,0.92,
IM-0166,AG-0056,Digger Colony 22,3.2,3.8,0.36,0.6,10,0.27,0.34,0.46,0.14,2888,4,1,False,False,False,False,200.2,920.8,4.6,915,T. Mord,mord_protocol,0.66,
IM-0167,AG-0075,Digger Colony 14,2.9,3.9,0.78,1.0,18,0.59,0.92,0.46,0.6,4214,2,2,True,True,True,True,1355.7,11929.7,8.8,913,Archive Survey Team,communication_analysis,0.85,
IM-0168,AG-0076,Capital Navigation Guild,1.9,3.3,0.93,1.4,4,0.36,0.51,0.89,0.57,3500,2,5,True,True,True,True,1322.2,13618.7,10.3,933,Independent Observer,mord_protocol,0.86,
IM-0169,AG-0063,Central Navigation Guild,2.6,3.3,0.52,0.7,11,0.67,0.76,0.47,0.39,3497,3,4,True,False,False,True,1640.9,10173.8,6.2,919,P. Anster,structural_mapping,0.61,
IM-0170,AG-0094,Archive Annex 13,4.0,4.5,0.57,0.5,13,0.58,0.31,0.6,0.36,555,3,5,True,False,True,True,1001.3,6708.5,6.7,917,Independent Observer,anster_modified,0.88,
IM-0171,AG-0005,Boundary Research Circle,2.0,3.4,0.84,1.4,13,0.34,0.31,0.83,0.28,744,4,2,False,True,False,True,1185.9,11147.9,9.4,937,O. Venn,behavioral_inference,0.81,
IM-0172,AG-0068,Archive Annex 6,3.3,4.1,0.57,0.8,7,0.67,0.15,0.62,0.24,1772,1,2,True,False,False,False,1760.8,11797.1,6.7,917,Klutch CC Research,anster_modified,0.87,
IM-0173,AG-0033,Archive Annex 14,3.0,3.8,0.84,0.8,7,0.32,1.0,0.64,0.64,4468,1,5,True,True,True,True,2578.6,24238.5,9.4,932,T. Mord,structural_mapping,0.72,
IM-0174,AG-0081,Capital Trade Coalition,2.1,2.8,0.54,0.7,14,0.67,0.15,0.41,0.52,1373,3,3,False,False,True,True,2991.1,19143.1,6.4,912,Independent Observer,structural_mapping,0.67,
IM-0175,AG-0028,Western Research Circle,1.5,2.1,0.81,0.6,19,0.62,0.87,0.81,0.9,2238,2,4,True,True,True,False,2418.4,22007.1,9.1,923,T. Crost,anster_modified,0.93,
IM-0176,AG-0001,Boundary Navigation Guild,3.0,4.3,0.91,1.3,11,0.88,1.0,0.34,0.13,4304,4,1,True,True,True,True,1442.6,14570.3,10.1,920,Colony Observation Unit,communication_analysis,0.7,
IM-0177,AG-0031,Western Navigation Guild,3.7,4.0,0.34,0.3,10,0.33,0.56,0.49,0.4,471,2,5,False,False,False,False,678.6,2985.6,4.4,921,Colony Observation Unit,structural_mapping,0.67,
IM-0178,AG-0011,Klutch CC Class of 901,3.5,4.4,0.51,0.9,10,0.48,0.4,0.47,0.14,2975,2,1,False,False,True,True,1932.7,11789.5,6.1,939,Klutch CC Research,anster_modified,0.81,
IM-0179,AG-0012,Central Mill Crew,3.2,4.2,0.57,1.0,2,0.38,0.16,0.51,0.54,1214,2,4,True,False,True,False,1727.8,11576.5,6.7,929,Klutch CC Research,behavioral_inference,0.71,
IM-0180,AG-0021,Western The Archive,2.2,2.7,0.34,0.5,6,0.45,0.28,0.31,0.22,4533,2,1,False,False,False,False,3203.8,14096.6,4.4,937,Archive Survey Team,structural_mapping,0.83,
IM-0181,AG-0052,Eastern Trade Coalition,2.7,3.0,0.21,0.3,2,0.32,0.43,0.36,0.14,4417,4,3,False,False,False,False,998.3,3094.6,3.1,937,O. Venn,behavioral_inference,0.81,
IM-0182,AG-0086,Boundary Boundary Watch,2.8,3.3,0.31,0.5,8,0.48,0.16,0.49,0.16,3821,1,4,False,False,False,False,2573.4,10551.0,4.1,915,Archive Survey Team,communication_analysis,0.69,
IM-0183,AG-0045,Capital Trade Coalition,3.0,3.7,0.63,0.7,10,0.61,0.77,0.43,0.52,192,4,4,False,False,True,False,1358.1,9914.1,7.3,933,T. Mord,behavioral_inference,0.62,
IM-0184,AG-0007,Boundary Trade Coalition,2.1,3.1,0.72,1.0,17,0.39,0.6,0.79,0.7,2655,4,4,True,False,False,True,1549.0,12701.5,8.2,912,O. Venn,anster_modified,0.65,
IM-0185,AG-0058,Western Survey Team,3.7,4.5,0.69,0.8,8,0.33,0.72,0.65,0.44,4787,3,3,True,False,False,False,286.4,2262.3,7.9,912,Klutch CC Research,anster_modified,0.83,
IM-0186,AG-0085,Central Scholar Assembly,1.6,2.9,0.74,1.3,8,0.42,0.9,0.36,0.42,716,2,2,True,False,False,False,1657.3,13921.5,8.4,915,Independent Observer,anster_modified,0.87,
IM-0187,AG-0078,Capital Survey Team,2.6,3.1,0.29,0.5,3,0.37,0.18,0.32,0.11,2605,3,1,False,False,False,False,785.3,3062.5,3.9,938,T. Crost,anster_modified,0.93,
IM-0188,AG-0016,Central The Archive,2.6,3.7,0.66,1.1,9,0.42,0.8,0.76,0.6,2258,4,5,False,True,False,True,2200.2,16721.2,7.6,914,Archive Survey Team,anster_modified,0.94,
IM-0189,AG-0079,Capital Scholar Assembly,3.9,4.5,0.93,0.6,8,0.64,0.42,0.31,0.74,3843,4,3,False,True,False,True,3279.8,33782.4,10.3,913,Archive Survey Team,mord_protocol,0.74,
IM-0190,AG-0023,Archive Annex 8,3.4,4.0,0.65,0.6,15,0.69,0.6,0.33,0.36,4859,1,1,True,False,False,True,2893.4,21700.2,7.5,913,Klutch CC Research,mord_protocol,0.91,
IM-0191,AG-0005,Eastern The Archive,3.0,3.5,0.29,0.5,10,0.38,0.23,0.44,0.19,1935,4,1,False,False,False,False,503.6,1964.0,3.9,912,Klutch CC Research,mord_protocol,0.86,
IM-0192,AG-0100,Eastern Research Circle,3.7,4.2,0.48,0.5,2,0.27,0.74,0.46,0.17,4391,4,2,False,False,True,False,3008.4,17448.7,5.8,920,M. Strand,anster_modified,0.75,
IM-0193,AG-0030,Capital Scholar Assembly,3.3,4.5,0.92,1.2,12,0.22,0.72,0.43,0.91,1452,3,2,True,True,True,True,1610.1,16422.9,10.2,912,P. Anster,behavioral_inference,0.79,
IM-0194,AG-0016,Boundary Navigation Guild,2.3,2.9,0.59,0.6,10,0.44,0.74,0.46,0.28,366,1,3,False,False,False,True,1023.8,7064.3,6.9,930,O. Venn,structural_mapping,0.93,
IM-0195,AG-0012,Boundary Research Circle,2.6,3.9,0.9,1.3,15,0.44,0.48,0.55,0.66,2552,1,4,False,True,True,True,3325.9,33258.9,10.0,925,Colony Observation Unit,anster_modified,0.8,
IM-0196,AG-0034,Klutch CC Class of 888,2.9,4.0,0.72,1.1,4,0.48,0.91,0.68,0.27,694,2,4,True,False,True,False,1103.9,9051.7,8.2,931,Archive Survey Team,communication_analysis,0.84,
IM-0197,AG-0023,Capital Preservation Committee,2.2,2.5,0.27,0.3,2,0.45,0.48,0.47,0.28,4916,1,1,False,False,False,False,1125.5,4164.4,3.7,931,Boundary Commission,behavioral_inference,0.7,
IM-0198,AG-0017,Digger Colony 12,2.0,2.8,0.47,0.8,3,0.64,0.61,0.61,0.42,4238,3,3,False,False,False,False,2343.8,13359.7,5.7,930,T. Crost,mord_protocol,0.87,
IM-0199,AG-0025,Boundary Trade Coalition,2.6,3.7,0.79,1.1,13,0.32,0.85,0.95,0.22,1785,3,3,True,True,False,True,1262.8,11239.1,8.9,930,M. Strand,anster_modified,0.9,
IM-0200,AG-0043,Boundary Navigation Guild,3.9,4.5,0.78,0.6,14,0.91,0.57,0.48,0.43,1336,2,3,True,True,False,True,1802.2,15859.8,8.8,936,Colony Observation Unit,behavioral_inference,0.76,
IM-0201,AG-0087,Archive Annex 2,2.8,4.0,0.73,1.2,17,0.77,0.73,0.77,0.72,2769,2,2,True,True,False,True,2967.1,24627.1,8.3,923,M. Strand,anster_modified,0.64,
IM-0202,AG-0051,Boundary Trade Coalition,2.3,2.9,0.64,0.6,2,0.69,0.2,0.79,0.12,4416,1,3,True,True,False,True,1486.8,11002.4,7.4,915,T. Mord,mord_protocol,0.82,
IM-0203,AG-0047,Central Preservation Committee,1.8,2.8,0.62,1.0,16,0.62,0.28,0.74,0.54,617,4,2,False,False,True,True,874.1,6293.3,7.2,937,O. Venn,mord_protocol,0.84,
IM-0204,AG-0027,Klutch CC Class of 895,2.0,3.3,0.76,1.3,4,0.48,0.85,0.56,0.35,412,2,2,True,True,False,True,2253.8,19382.8,8.6,923,Independent Observer,behavioral_inference,0.63,
IM-0205,AG-0086,Archive Annex 7,3.0,4.1,0.79,1.1,6,0.95,0.48,0.93,0.89,3921,3,1,True,False,False,True,2327.6,20715.2,8.9,940,Independent Observer,communication_analysis,0.67,
IM-0206,AG-0018,Klutch CC Class of 911,2.3,3.1,0.93,0.8,8,0.41,1.0,1.0,0.44,386,4,2,False,True,False,False,1303.0,13421.0,10.3,920,M. Strand,structural_mapping,0.75,
IM-0207,AG-0028,Digger Colony 21,3.7,4.5,0.59,0.8,11,0.63,0.12,0.66,0.69,3670,3,4,False,False,True,True,2755.5,19013.3,6.9,940,Independent Observer,mord_protocol,0.69,
IM-0208,AG-0029,Archive Annex 15,2.1,3.0,0.94,0.9,4,0.39,0.61,0.38,0.32,1099,1,2,True,True,False,True,1658.4,17247.7,10.4,934,T. Crost,behavioral_inference,0.71,
IM-0209,AG-0017,Boundary Mill Crew,1.8,2.3,0.6,0.5,15,0.59,0.71,0.32,0.3,1263,3,1,True,False,True,True,2356.7,16496.6,7.0,913,T. Mord,structural_mapping,0.89,
IM-0210,AG-0046,Eastern Boundary Watch,3.7,4.5,0.91,0.8,8,0.83,1.0,0.32,0.31,442,1,3,False,True,True,True,735.8,7431.5,10.1,936,Archive Survey Team,mord_protocol,0.68,
IM-0211,AG-0045,Western Boundary Watch,2.6,3.6,0.88,1.0,21,0.91,0.41,0.49,0.51,4785,2,5,False,True,True,True,1970.0,19306.0,9.8,912,O. Venn,anster_modified,0.78,
IM-0212,AG-0036,Digger Colony 50,3.1,4.1,0.72,1.0,10,0.26,1.0,0.68,0.59,2238,2,4,True,True,True,False,3291.7,26991.9,8.2,932,T. Mord,anster_modified,0.88,
IM-0213,AG-0082,Klutch CC Class of 915,2.3,3.5,0.79,1.2,3,0.74,0.99,0.85,0.15,4932,3,4,True,True,True,True,3515.4,31287.2,8.9,925,T. Mord,mord_protocol,0.76,
IM-0214,AG-0037,Western Trade Coalition,2.3,3.0,0.68,0.7,5,0.37,0.63,0.67,0.3,3974,3,4,False,True,True,True,2958.3,23074.7,7.8,933,Archive Survey Team,mord_protocol,0.81,
IM-0215,AG-0040,Eastern Scholar Assembly,3.3,4.5,0.88,1.2,10,1.0,0.54,0.46,0.63,4350,4,2,True,False,True,True,2178.1,21345.7,9.8,932,Archive Survey Team,mord_protocol,0.73,
IM-0216,AG-0054,Boundary Scholar Assembly,2.3,2.9,0.54,0.6,2,0.68,0.42,0.34,0.31,4847,3,1,True,False,False,True,1614.8,10334.9,6.4,931,M. Strand,anster_modified,0.75,
IM-0217,AG-0053,Klutch CC Class of 918,2.5,2.9,0.51,0.4,15,0.59,0.69,0.63,0.33,2817,3,2,True,False,True,True,1913.0,11669.2,6.1,935,P. Anster,anster_modified,0.83,
IM-0218,AG-0048,Central Trade Coalition,3.4,3.6,0.27,0.2,4,0.44,0.45,0.39,0.22,3309,2,5,False,False,False,False,252.1,932.9,3.7,937,Colony Observation Unit,mord_protocol,0.86,
IM-0219,AG-0097,Boundary Boundary Watch,3.8,4.5,0.55,0.7,10,0.49,0.55,0.32,0.24,3412,4,5,True,False,True,True,1855.9,12063.5,6.5,916,M. Strand,structural_mapping,0.67,
IM-0220,AG-0090,Boundary The Archive,2.2,3.2,0.72,1.0,14,0.63,0.63,0.9,0.3,1401,4,2,True,True,True,False,1219.3,9998.6,8.2,914,T. Crost,mord_protocol,0.67,
IM-0221,AG-0094,Central The Archive,2.8,3.4,0.73,0.6,6,0.71,0.59,0.45,0.16,1034,4,2,True,True,False,False,1929.7,16016.4,8.3,939,Colony Observation Unit,communication_analysis,0.64,
IM-0222,AG-0058,Eastern The Archive,3.9,4.5,0.65,0.6,8,0.29,0.36,0.46,0.66,3335,4,5,False,True,False,True,2872.1,21540.9,7.5,917,T. Mord,mord_protocol,0.67,
IM-0223,AG-0086,Central Survey Team,4.0,4.5,0.89,0.5,7,0.59,0.9,0.86,0.25,2462,1,5,True,True,False,True,3085.7,30548.1,9.9,933,Klutch CC Research,behavioral_inference,0.62,
IM-0224,AG-0060,Archive Annex 6,3.6,4.2,0.7,0.6,18,0.69,0.54,0.45,0.31,361,2,2,True,True,False,True,1869.5,14956.1,8.0,935,Boundary Commission,anster_modified,0.83,
IM-0225,AG-0041,Klutch CC Class of 884,3.7,4.5,0.67,0.8,9,0.78,0.27,0.66,0.48,2927,1,5,False,True,False,True,3083.6,23743.9,7.7,926,P. Anster,anster_modified,0.62,
IM-0226,AG-0046,Western Trade Coalition,2.8,3.5,0.46,0.7,14,0.6,0.21,0.34,0.25,1771,2,4,False,False,True,False,3201.5,17928.2,5.6,937,P. Anster,mord_protocol,0.61,
IM-0227,AG-0044,Central The Archive,2.2,3.1,0.55,0.9,16,0.71,0.28,0.35,0.21,2126,3,5,True,False,True,True,2158.5,14030.5,6.5,921,Boundary Commission,behavioral_inference,0.84,
IM-0228,AG-0051,Central Research Circle,2.0,2.9,0.67,0.9,14,0.27,0.81,0.79,0.41,4378,3,4,True,True,True,False,2561.5,19723.2,7.7,918,T. Crost,mord_protocol,0.74,
IM-0229,AG-0028,Capital Research Circle,4.0,4.4,0.24,0.4,4,0.42,0.37,0.36,0.18,470,3,5,False,False,False,False,947.1,3220.2,3.4,939,O. Venn,behavioral_inference,0.89,
IM-0230,AG-0015,Klutch CC Class of 928,3.1,3.7,0.51,0.6,2,0.63,0.71,0.67,0.48,2923,4,2,True,False,True,True,696.9,4251.1,6.1,927,T. Crost,behavioral_inference,0.88,
IM-0231,AG-0084,Central Mill Crew,2.2,3.3,0.72,1.1,16,0.24,0.89,0.87,0.75,4790,1,2,True,True,False,True,164.9,1352.0,8.2,932,Archive Survey Team,mord_protocol,0.84,
IM-0232,AG-0060,Central Survey Team,2.2,3.5,0.93,1.3,3,0.53,0.62,0.62,0.18,753,1,2,True,True,False,True,2955.9,30445.8,10.3,931,Boundary Commission,behavioral_inference,0.89,
IM-0233,AG-0087,Capital Research Circle,2.7,4.1,0.78,1.4,5,0.6,0.14,0.84,0.43,1868,3,4,False,True,True,True,1471.6,12949.9,8.8,923,T. Crost,mord_protocol,0.78,
IM-0234,AG-0022,Central The Archive,2.8,3.6,0.81,0.8,21,0.87,0.13,0.96,0.68,2528,4,4,True,True,False,True,2661.6,24220.4,9.1,920,Archive Survey Team,mord_protocol,0.88,
IM-0235,AG-0027,Digger Colony 5,3.0,3.7,0.71,0.7,3,0.68,0.63,0.56,0.47,3234,1,3,True,True,True,False,2573.0,20841.4,8.1,918,O. Venn,structural_mapping,0.77,
IM-0236,AG-0034,Boundary Preservation Committee,2.7,3.3,0.68,0.6,10,0.71,0.44,0.69,0.45,4646,1,4,True,True,True,True,3040.3,23714.6,7.8,923,P. Anster,mord_protocol,0.88,
IM-0237,AG-0078,Western Survey Team,3.1,3.7,0.68,0.6,11,0.46,0.97,0.57,0.27,1196,2,5,True,True,False,False,2920.9,22782.9,7.8,920,T. Mord,anster_modified,0.75,
IM-0238,AG-0030,Boundary Survey Team,1.6,2.3,0.71,0.7,15,0.86,0.61,0.59,0.59,2573,1,2,True,True,True,True,786.4,6369.7,8.1,929,P. Anster,structural_mapping,0.92,
IM-0239,AG-0094,Central Survey Team,2.7,3.5,0.63,0.8,14,0.73,0.78,0.67,0.26,2257,2,5,False,True,False,True,2419.6,17663.4,7.3,916,T. Mord,behavioral_inference,0.62,
IM-0240,AG-0016,Klutch CC Class of 922,2.3,3.1,0.65,0.8,17,0.69,0.54,0.33,0.64,586,2,2,True,True,False,False,114.2,856.5,7.5,922,Colony Observation Unit,structural_mapping,0.9,
IM-0241,AG-0024,Eastern Mill Crew,3.5,4.5,0.62,1.0,11,0.47,0.65,0.57,0.15,2523,3,1,True,True,True,True,3145.5,22647.4,7.2,934,M. Strand,mord_protocol,0.84,
IM-0242,AG-0072,Boundary Navigation Guild,2.8,3.7,0.71,0.9,18,0.43,0.86,0.78,0.57,2283,1,1,True,False,True,False,2806.6,22733.8,8.1,924,Independent Observer,anster_modified,0.66,
IM-0243,AG-0058,Klutch CC Class of 914,3.2,3.6,0.4,0.4,5,0.28,0.47,0.45,0.25,4712,3,5,False,False,False,False,786.5,3932.7,5.0,940,T. Crost,structural_mapping,0.92,
IM-0244,AG-0082,Boundary Boundary Watch,3.8,4.5,0.8,0.7,21,0.98,0.59,0.99,0.19,384,3,3,True,True,False,False,2887.3,25985.7,9.0,919,O. Venn,communication_analysis,0.62,
IM-0245,AG-0041,Archive Annex 4,3.6,4.4,0.71,0.8,10,0.56,0.54,0.61,0.76,4839,2,3,True,True,False,False,111.2,900.8,8.1,924,Colony Observation Unit,anster_modified,0.6,
IM-0246,AG-0033,Central Mill Crew,1.9,2.7,0.84,0.8,17,0.77,0.44,0.69,0.13,3921,4,4,False,False,True,True,1520.0,14287.8,9.4,924,T. Mord,structural_mapping,0.89,
IM-0247,AG-0065,Western Survey Team,2.5,3.5,0.78,1.0,8,0.72,0.47,0.91,0.74,3260,3,4,True,True,False,False,3456.8,30419.9,8.8,927,T. Crost,anster_modified,0.81,
IM-0248,AG-0089,Boundary Research Circle,1.9,2.3,0.25,0.4,9,0.24,0.54,0.43,0.23,2295,3,3,False,False,False,False,533.8,1868.2,3.5,928,Independent Observer,behavioral_inference,0.94,
IM-0249,AG-0080,Boundary Mill Crew,3.7,4.5,0.51,0.8,12,0.55,0.63,0.41,0.42,3015,1,4,False,False,False,True,3066.2,18703.9,6.1,915,M. Strand,anster_modified,0.73,
IM-0250,AG-0033,Boundary Preservation Committee,1.6,2.5,0.79,0.9,11,0.33,0.46,0.48,0.34,1803,4,4,False,False,False,True,712.7,6343.3,8.9,940,Archive Survey Team,mord_protocol,0.79,
IM-0251,AG-0055,Central Survey Team,2.7,3.6,0.9,0.9,8,0.66,1.0,0.66,0.84,3135,4,5,True,True,False,True,2780.8,27808.2,10.0,927,Independent Observer,anster_modified,0.75,
IM-0252,AG-0081,Capital Navigation Guild,2.4,2.8,0.29,0.4,7,0.28,0.37,0.44,0.21,4089,1,5,False,False,False,False,287.3,1120.6,3.9,923,M. Strand,behavioral_inference,0.76,
IM-0253,AG-0097,Archive Annex 1,2.2,3.2,0.91,1.0,10,0.28,0.61,0.94,0.24,689,3,4,True,True,True,True,1081.1,10919.2,10.1,933,Colony Observation Unit,mord_protocol,0.83,
IM-0254,AG-0030,Boundary Preservation Committee,2.3,2.9,0.66,0.6,6,0.58,0.32,0.45,0.69,2370,4,2,False,True,True,False,2383.9,18117.3,7.6,925,T. Crost,structural_mapping,0.87,
IM-0255,AG-0025,Western Scholar Assembly,3.2,4.5,0.82,1.3,12,0.31,0.37,0.37,0.23,3413,1,1,False,True,True,True,940.0,8648.3,9.2,933,M. Strand,mord_protocol,0.78,
IM-0256,AG-0024,Central Research Circle,3.4,4.5,0.93,1.1,12,0.7,0.22,0.61,0.65,1335,1,4,False,True,True,True,552.9,5695.0,10.3,939,Archive Survey Team,anster_modified,0.83,
IM-0257,AG-0079,Western Trade Coalition,2.4,3.2,0.94,0.8,16,0.52,0.92,0.51,0.23,3356,3,2,True,True,True,True,466.5,4851.1,10.4,921,T. Mord,anster_modified,0.76,
IM-0258,AG-0095,Digger Colony 15,1.9,2.7,0.46,0.8,14,0.57,0.16,0.38,0.11,1110,3,5,False,False,True,False,976.4,5467.7,5.6,938,Boundary Commission,anster_modified,0.66,
IM-0259,AG-0074,Capital The Archive,2.7,2.9,0.22,0.2,4,0.22,0.36,0.33,0.3,3090,4,3,False,False,False,False,2137.6,6840.3,3.2,917,Independent Observer,anster_modified,0.83,
