event_id,event_name,agent_type,agent_id,agent_horizon_profile,temporal_gap_days,bridge_type,bridge_mechanism,cause_description,cause_year,intended_effect,effect_year,bridge_completed,outcome_type,fidelity,horizon_requirement,enabling_factors,risk_factors,documented_year,documenter,documentation_source,confidence,description,notes
TF-0107,Preservation Bridge 107,institution,AGT-403,caretaker,3168,preservation,spatial_configuration,generation preserved for future access,869,community to access preserved material,877,False,failed_effect_missed,0.18,3280,,political_change,921,T. Vells,archival_record,0.71,Temporal bridge of type preservation via spatial_configuration,
TF-0108,Investment Bridge 108,collective,AGT-672,caretaker,31642,investment,physical_artifact,Resources allocated for future scholars,926,institution to benefit from resources,,,pending,,29258,durable_materials,material_decay,933,C. Vells,archival_record,0.8,Temporal bridge of type investment via physical_artifact,
TF-0109,Planning Bridge 109,person,AGT-651,survivor,16432,planning,collective_memory,Plans laid for future region,928,region to execute plans,,,pending,,18505,,"material_decay,political_change",916,Klutch CC Counseling,direct_observation,0.63,Temporal bridge of type planning via collective_memory,
TF-0110,Promise Bridge 110,person,AGT-110,caretaker,18256,promise,physical_artifact,Commitment made spanning to region,858,community to witness fulfillment,908,True,successful_modified,0.63,17730,durable_materials,"material_decay,dens_proximity",922,Independent Observer,archival_record,0.77,Temporal bridge of type promise via physical_artifact,
TF-0111,Repair Bridge 111,person,AGT-152,caretaker,16045,repair,written_record,scholars repaired for future function,804,project to benefit from repair,847,True,successful_modified,0.84,14575,durable_materials,material_decay,934,M. Strand,testimony,0.78,Temporal bridge of type repair via written_record,
TF-0112,Repair Bridge 112,person,AGT-132,caretaker,18190,repair,ritual_practice,region repaired for future function,808,generation to benefit from repair,857,True,partial_success,0.52,15817,community_reinforcement,,933,Archive Survey Team,direct_observation,0.92,Temporal bridge of type repair via ritual_practice,
TF-0113,Communication Bridge 113,person,AGT-392,visionary,12436,communication,trained_successor,Message sent to future region,833,community to receive message,867,False,failed_effect_missed,0.25,14243,strong_purpose,"material_decay,successor_failure",917,T. Vells,direct_observation,0.83,Temporal bridge of type communication via trained_successor,
TF-0114,Warning Bridge 114,person,AGT-265,standard_worker,5755,warning,trained_successor,Warning issued about future community,877,community to heed warning,892,True,successful_as_intended,0.9,6829,community_reinforcement,"material_decay,successor_failure",914,M. Strand,direct_observation,0.69,Temporal bridge of type warning via trained_successor,
TF-0115,Communication Bridge 115,person,AGT-754,visionary,16613,communication,trained_successor,Message sent to future institution,912,community to receive message,,,pending,,14800,strong_purpose,"material_decay,successor_failure",925,K. Strand,testimony,0.86,Temporal bridge of type communication via trained_successor,
TF-0116,Warning Bridge 116,person,AGT-700,caretaker,5303,warning,spatial_configuration,Warning issued about future community,817,scholars to heed warning,831,False,unknown,,5841,community_reinforcement,,926,P. Anster,institutional_record,0.67,Temporal bridge of type warning via spatial_configuration,
TF-0117,Promise Bridge 117,person,AGT-428,caretaker,19225,promise,institutional_structure,Commitment made spanning to region,824,community to witness fulfillment,,,pending,,21855,"institutional_support,community_reinforcement",political_change,928,Klutch CC Counseling,archival_record,0.95,Temporal bridge of type promise via institutional_structure,
TF-0118,Preservation Bridge 118,collective,AGT-669,institutional,26919,preservation,written_record,scholars preserved for future access,858,region to access preserved material,931,True,successful_as_intended,0.97,26730,durable_materials,,916,C. Vells,testimony,0.84,Temporal bridge of type preservation via written_record,
TF-0119,Cultivation Bridge 119,person,AGT-861,caretaker,14125,cultivation,written_record,scholars planted/nurtured for future harvest,839,project to harvest cultivation,877,True,successful_modified,0.77,16259,"durable_materials,community_reinforcement",,939,T. Vells,archival_record,0.5,Temporal bridge of type cultivation via written_record,
TF-0120,Investment Bridge 120,person,AGT-188,caretaker,7652,investment,ritual_practice,Resources allocated for future generation,819,region to benefit from resources,839,True,successful_as_intended,0.96,8340,,"material_decay,political_change",923,T. Vells,institutional_record,0.73,Temporal bridge of type investment via ritual_practice,
TF-0121,Construction Bridge 121,institution,AGT-847,institutional,17020,construction,written_record,institution built for future use,906,generation to use construction,,,pending,,13619,"durable_materials,community_reinforcement",dens_proximity,923,C. Vells,testimony,0.61,Temporal bridge of type construction via written_record,
TF-0122,Warning Bridge 122,person,AGT-404,caretaker,17008,warning,collective_memory,Warning issued about future scholars,903,institution to heed warning,,,pending,,19941,,material_decay,934,Boundary Commission,archival_record,0.53,Temporal bridge of type warning via collective_memory,
TF-0123,Repair Bridge 123,person,AGT-218,caretaker,3821,repair,spatial_configuration,project repaired for future function,917,generation to benefit from repair,927,True,partial_success,0.52,3222,community_reinforcement,,939,R. Voss,archival_record,0.68,Temporal bridge of type repair via spatial_configuration,
TF-0124,Preservation Bridge 124,collective,AGT-965,caretaker,9416,preservation,physical_artifact,generation preserved for future access,812,scholars to access preserved material,837,True,partial_success,0.42,8004,durable_materials,dens_proximity,916,K. Strand,archival_record,0.84,Temporal bridge of type preservation via physical_artifact,
TF-0125,Planning Bridge 125,collective,AGT-313,standard_worker,34803,planning,institutional_structure,Plans laid for future institution,801,community to execute plans,896,True,successful_modified,0.66,41425,"institutional_support,community_reinforcement",political_change,940,C. Vells,testimony,0.7,Temporal bridge of type planning via institutional_structure,
TF-0126,Investment Bridge 126,collective,AGT-835,caretaker,33157,investment,written_record,Resources allocated for future generation,928,community to benefit from resources,,,pending,,30618,durable_materials,dens_proximity,934,Boundary Commission,institutional_record,0.84,Temporal bridge of type investment via written_record,
TF-0127,Legacy Bridge 127,collective,AGT-743,philosopher,2644,legacy,spatial_configuration,community created to outlast creator,808,generation to inherit legacy,,,pending,,2505,strong_purpose,political_change,931,T. Vells,testimony,0.51,Temporal bridge of type legacy via spatial_configuration,
TF-0128,Construction Bridge 128,institution,AGT-166,caretaker,7186,construction,physical_artifact,community built for future use,856,region to use construction,875,False,unknown,,7579,durable_materials,,937,P. Anster,testimony,0.54,Temporal bridge of type construction via physical_artifact,
TF-0129,Communication Bridge 129,person,AGT-932,visionary,5043,communication,trained_successor,Message sent to future generation,929,institution to receive message,,,pending,,4722,strong_purpose,"material_decay,political_change,successor_failure",914,K. Strand,archival_record,0.77,Temporal bridge of type communication via trained_successor,
TF-0130,Investment Bridge 130,person,AGT-278,caretaker,12714,investment,trained_successor,Resources allocated for future generation,863,region to benefit from resources,897,True,successful_modified,0.74,11180,,"political_change,successor_failure",938,R. Voss,direct_observation,0.94,Temporal bridge of type investment via trained_successor,
TF-0131,Communication Bridge 131,person,AGT-712,visionary,6389,communication,biological_growth,Message sent to future generation,929,generation to receive message,,,pending,,6401,strong_purpose,,913,Boundary Commission,archival_record,0.86,Temporal bridge of type communication via biological_growth,
TF-0132,Repair Bridge 132,collective,AGT-746,visionary,12625,repair,trained_successor,community repaired for future function,801,scholars to benefit from repair,835,True,successful_modified,0.64,11559,strong_purpose,"political_change,dens_proximity,successor_failure",936,Independent Observer,testimony,0.75,Temporal bridge of type repair via trained_successor,
TF-0133,Planning Bridge 133,collective,AGT-145,survivor,12242,planning,trained_successor,Plans laid for future scholars,825,community to execute plans,858,True,partial_success,0.52,13932,,"material_decay,successor_failure",919,P. Anster,archival_record,0.58,Temporal bridge of type planning via trained_successor,
TF-0134,Legacy Bridge 134,person,AGT-808,philosopher,4242,legacy,spatial_configuration,generation created to outlast creator,923,scholars to inherit legacy,934,True,partial_success,0.33,3614,strong_purpose,,923,P. Anster,archival_record,0.88,Temporal bridge of type legacy via spatial_configuration,
TF-0135,Promise Bridge 135,person,AGT-984,standard_worker,10401,promise,collective_memory,Commitment made spanning to scholars,806,scholars to witness fulfillment,834,True,successful_as_intended,0.87,9183,,political_change,928,T. Vells,institutional_record,0.64,Temporal bridge of type promise via collective_memory,
TF-0136,Planning Bridge 136,person,AGT-288,standard_worker,16874,planning,ritual_practice,Plans laid for future project,852,community to execute plans,898,True,successful_as_intended,0.98,14163,community_reinforcement,material_decay,914,Klutch CC Counseling,testimony,0.53,Temporal bridge of type planning via ritual_practice,
TF-0137,Legacy Bridge 137,collective,AGT-151,visionary,12612,legacy,ritual_practice,region created to outlast creator,846,community to inherit legacy,880,True,partial_success,0.43,11917,strong_purpose,material_decay,921,C. Vells,direct_observation,0.74,Temporal bridge of type legacy via ritual_practice,
TF-0138,Legacy Bridge 138,person,AGT-278,standard_student,27885,legacy,institutional_structure,generation created to outlast creator,817,scholars to inherit legacy,893,True,successful_as_intended,0.89,26234,"institutional_support,community_reinforcement",,916,T. Vells,archival_record,0.76,Temporal bridge of type legacy via institutional_structure,
TF-0139,Construction Bridge 139,institution,AGT-971,institutional,15873,construction,institutional_structure,generation built for future use,808,institution to use construction,851,True,partial_success,0.39,16666,"institutional_support,community_reinforcement",dens_proximity,918,C. Vells,testimony,0.68,Temporal bridge of type construction via institutional_structure,
TF-0140,Communication Bridge 140,person,AGT-193,standard_worker,7483,communication,trained_successor,Message sent to future community,930,region to receive message,,,pending,,6651,,successor_failure,920,P. Anster,institutional_record,0.8,Temporal bridge of type communication via trained_successor,
TF-0141,Construction Bridge 141,institution,AGT-792,caretaker,28804,construction,institutional_structure,project built for future use,838,region to use construction,916,True,partial_success,0.31,23403,institutional_support,,915,Archive Survey Team,testimony,0.65,Temporal bridge of type construction via institutional_structure,
TF-0142,Warning Bridge 142,person,AGT-505,visionary,10999,warning,spatial_configuration,Warning issued about future community,857,project to heed warning,887,False,failed_effect_missed,0.16,10867,strong_purpose,,938,T. Vells,institutional_record,0.54,Temporal bridge of type warning via spatial_configuration,
TF-0143,Legacy Bridge 143,collective,AGT-590,caretaker,10210,legacy,spatial_configuration,institution created to outlast creator,822,community to inherit legacy,849,True,partial_success,0.59,9473,community_reinforcement,,931,Boundary Commission,testimony,0.73,Temporal bridge of type legacy via spatial_configuration,
TF-0144,Investment Bridge 144,person,AGT-102,survivor,3471,investment,ritual_practice,Resources allocated for future region,851,region to benefit from resources,860,True,successful_as_intended,0.89,3581,,"material_decay,political_change,dens_proximity",937,Klutch CC Counseling,direct_observation,0.7,Temporal bridge of type investment via ritual_practice,
TF-0145,Communication Bridge 145,person,AGT-453,caretaker,17040,communication,ritual_practice,Message sent to future scholars,817,scholars to receive message,863,True,partial_success,0.59,14326,,political_change,938,M. Strand,archival_record,0.56,Temporal bridge of type communication via ritual_practice,
TF-0146,Investment Bridge 146,collective,AGT-364,caretaker,7174,investment,collective_memory,Resources allocated for future scholars,851,community to benefit from resources,870,True,partial_success,0.43,6446,,dens_proximity,924,T. Vells,archival_record,0.88,Temporal bridge of type investment via collective_memory,
TF-0147,Cultivation Bridge 147,collective,AGT-635,standard_worker,17447,cultivation,collective_memory,scholars planted/nurtured for future harvest,867,region to harvest cultivation,914,False,failed_bridge_broken,0.28,16131,,material_decay,917,T. Vells,testimony,0.52,Temporal bridge of type cultivation via collective_memory,
TF-0148,Construction Bridge 148,collective,AGT-637,institutional,12878,construction,written_record,scholars built for future use,854,community to use construction,889,False,failed_bridge_broken,0.15,14708,durable_materials,,936,Independent Observer,archival_record,0.57,Temporal bridge of type construction via written_record,
TF-0149,Investment Bridge 149,collective,AGT-329,philosopher,11785,investment,trained_successor,Resources allocated for future project,860,community to benefit from resources,892,False,failed_effect_missed,0.21,12932,strong_purpose,"material_decay,successor_failure",915,R. Voss,institutional_record,0.84,Temporal bridge of type investment via trained_successor,
TF-0150,Warning Bridge 150,person,AGT-153,caretaker,12488,warning,institutional_structure,Warning issued about future generation,813,project to heed warning,847,True,successful_as_intended,0.88,10389,institutional_support,,914,Independent Observer,archival_record,0.71,Temporal bridge of type warning via institutional_structure,
TF-0151,Planning Bridge 151,person,AGT-295,survivor,2630,planning,written_record,Plans laid for future institution,868,institution to execute plans,875,False,failed_effect_missed,0.17,2370,durable_materials,,939,P. Anster,institutional_record,0.5,Temporal bridge of type planning via written_record,
TF-0152,Cultivation Bridge 152,collective,AGT-453,philosopher,22300,cultivation,physical_artifact,project planted/nurtured for future harvest,881,institution to harvest cultivation,,,pending,,25479,"durable_materials,strong_purpose",material_decay,915,R. Voss,institutional_record,0.72,Temporal bridge of type cultivation via physical_artifact,
TF-0153,Warning Bridge 153,person,AGT-318,visionary,14646,warning,trained_successor,Warning issued about future generation,836,institution to heed warning,876,True,partial_success,0.44,13458,strong_purpose,successor_failure,912,R. Voss,testimony,0.92,Temporal bridge of type warning via trained_successor,
TF-0154,Construction Bridge 154,collective,AGT-225,caretaker,2876,construction,spatial_configuration,community built for future use,921,project to use construction,928,True,partial_success,0.52,2667,,,914,R. Voss,archival_record,0.91,Temporal bridge of type construction via spatial_configuration,
TF-0155,Repair Bridge 155,collective,AGT-644,standard_worker,9302,repair,institutional_structure,region repaired for future function,852,community to benefit from repair,877,True,successful_modified,0.78,10605,institutional_support,"political_change,dens_proximity",934,T. Vells,institutional_record,0.77,Temporal bridge of type repair via institutional_structure,
TF-0156,Repair Bridge 156,person,AGT-950,philosopher,1373,repair,collective_memory,generation repaired for future function,834,community to benefit from repair,837,True,partial_success,0.37,1512,"strong_purpose,community_reinforcement",material_decay,922,M. Strand,archival_record,0.68,Temporal bridge of type repair via collective_memory,
TF-0157,Preservation Bridge 157,institution,AGT-660,caretaker,26258,preservation,physical_artifact,scholars preserved for future access,903,institution to access preserved material,,,pending,,26616,"durable_materials,community_reinforcement","material_decay,political_change",923,R. Voss,archival_record,0.78,Temporal bridge of type preservation via physical_artifact,
TF-0158,Warning Bridge 158,person,AGT-793,visionary,14728,warning,spatial_configuration,Warning issued about future generation,869,project to heed warning,909,True,partial_success,0.42,14208,"strong_purpose,community_reinforcement","material_decay,dens_proximity",928,P. Anster,institutional_record,0.52,Temporal bridge of type warning via spatial_configuration,
TF-0159,Investment Bridge 159,collective,AGT-668,caretaker,2797,investment,biological_growth,Resources allocated for future region,823,generation to benefit from resources,830,True,partial_success,0.59,2619,,,912,M. Strand,institutional_record,0.92,Temporal bridge of type investment via biological_growth,
TF-0160,Investment Bridge 160,person,AGT-787,visionary,33468,investment,physical_artifact,Resources allocated for future institution,873,institution to benefit from resources,,,pending,,34574,"durable_materials,strong_purpose",political_change,929,C. Vells,testimony,0.6,Temporal bridge of type investment via physical_artifact,
TF-0161,Legacy Bridge 161,collective,AGT-506,caretaker,2205,legacy,spatial_configuration,generation created to outlast creator,920,institution to inherit legacy,926,True,partial_success,0.49,2324,,"material_decay,political_change,dens_proximity",935,C. Vells,institutional_record,0.89,Temporal bridge of type legacy via spatial_configuration,
TF-0162,Communication Bridge 162,person,AGT-142,caretaker,10688,communication,ritual_practice,Message sent to future institution,895,generation to receive message,924,True,partial_success,0.4,9402,,,913,Independent Observer,archival_record,0.57,Temporal bridge of type communication via ritual_practice,
TF-0163,Legacy Bridge 163,person,AGT-817,standard_worker,27584,legacy,written_record,region created to outlast creator,878,generation to inherit legacy,,,pending,,29656,durable_materials,material_decay,914,Independent Observer,direct_observation,0.74,Temporal bridge of type legacy via written_record,
TF-0164,Investment Bridge 164,person,AGT-758,philosopher,7449,investment,spatial_configuration,Resources allocated for future institution,863,community to benefit from resources,883,True,partial_success,0.52,6799,strong_purpose,,940,Boundary Commission,testimony,0.79,Temporal bridge of type investment via spatial_configuration,
TF-0165,Investment Bridge 165,person,AGT-471,survivor,32194,investment,institutional_structure,Resources allocated for future region,846,region to benefit from resources,934,False,failed_bridge_broken,0.22,36540,institutional_support,,937,Archive Survey Team,institutional_record,0.93,Temporal bridge of type investment via institutional_structure,
TF-0166,Investment Bridge 166,collective,AGT-580,visionary,7533,investment,spatial_configuration,Resources allocated for future scholars,874,project to benefit from resources,894,True,partial_success,0.37,8554,"strong_purpose,community_reinforcement",,939,Boundary Commission,testimony,0.72,Temporal bridge of type investment via spatial_configuration,
TF-0167,Investment Bridge 167,collective,AGT-304,standard_student,10137,investment,institutional_structure,Resources allocated for future institution,840,region to benefit from resources,867,True,successful_modified,0.66,10592,institutional_support,,938,Klutch CC Counseling,archival_record,0.9,Temporal bridge of type investment via institutional_structure,
TF-0168,Promise Bridge 168,person,AGT-354,standard_worker,7043,promise,collective_memory,Commitment made spanning to region,911,scholars to witness fulfillment,930,True,successful_modified,0.83,6222,,dens_proximity,935,P. Anster,testimony,0.94,Temporal bridge of type promise via collective_memory,
TF-0169,Construction Bridge 169,institution,AGT-946,caretaker,17476,construction,spatial_configuration,region built for future use,852,region to use construction,899,True,successful_modified,0.64,14958,,,912,Independent Observer,institutional_record,0.58,Temporal bridge of type construction via spatial_configuration,
TF-0170,Preservation Bridge 170,collective,AGT-582,institutional,5582,preservation,biological_growth,generation preserved for future access,838,project to access preserved material,853,True,successful_as_intended,0.95,5527,,political_change,939,K. Strand,direct_observation,0.9,Temporal bridge of type preservation via biological_growth,
TF-0171,Warning Bridge 171,person,AGT-604,caretaker,6623,warning,trained_successor,Warning issued about future generation,832,scholars to heed warning,850,True,partial_success,0.36,6357,,"political_change,successor_failure",918,Archive Survey Team,testimony,0.68,Temporal bridge of type warning via trained_successor,
TF-0172,Legacy Bridge 172,collective,AGT-491,visionary,13390,legacy,ritual_practice,community created to outlast creator,829,institution to inherit legacy,865,True,successful_modified,0.63,12048,"strong_purpose,community_reinforcement",political_change,916,C. Vells,institutional_record,0.92,Temporal bridge of type legacy via ritual_practice,
TF-0173,Cultivation Bridge 173,person,AGT-827,caretaker,18181,cultivation,institutional_structure,generation planted/nurtured for future harvest,836,institution to harvest cultivation,885,False,unknown,,20405,institutional_support,,919,P. Anster,testimony,0.8,Temporal bridge of type cultivation via institutional_structure,
TF-0174,Investment Bridge 174,collective,AGT-857,standard_student,10758,investment,written_record,Resources allocated for future project,878,project to benefit from resources,907,True,partial_success,0.49,12243,durable_materials,material_decay,929,T. Vells,direct_observation,0.61,Temporal bridge of type investment via written_record,
TF-0175,Legacy Bridge 175,person,AGT-730,survivor,27197,legacy,institutional_structure,community created to outlast creator,906,scholars to inherit legacy,,,pending,,26797,institutional_support,material_decay,930,C. Vells,archival_record,0.75,Temporal bridge of type legacy via institutional_structure,
TF-0176,Promise Bridge 176,person,AGT-586,caretaker,7771,promise,written_record,Commitment made spanning to scholars,807,scholars to witness fulfillment,828,True,partial_success,0.47,8316,durable_materials,dens_proximity,919,Klutch CC Counseling,testimony,0.61,Temporal bridge of type promise via written_record,
TF-0177,Construction Bridge 177,collective,AGT-986,institutional,18068,construction,ritual_practice,region built for future use,922,generation to use construction,,,pending,,21442,community_reinforcement,,933,C. Vells,testimony,0.87,Temporal bridge of type construction via ritual_practice,
TF-0178,Preservation Bridge 178,collective,AGT-373,caretaker,24065,preservation,written_record,generation preserved for future access,907,generation to access preserved material,,,pending,,20263,"durable_materials,community_reinforcement",,928,Archive Survey Team,archival_record,0.86,Temporal bridge of type preservation via written_record,
TF-0179,Preservation Bridge 179,collective,AGT-453,institutional,2363,preservation,biological_growth,scholars preserved for future access,916,region to access preserved material,922,True,partial_success,0.42,2546,,"material_decay,political_change",936,P. Anster,institutional_record,0.92,Temporal bridge of type preservation via biological_growth,
TF-0180,Preservation Bridge 180,collective,AGT-223,institutional,2232,preservation,biological_growth,institution preserved for future access,815,project to access preserved material,821,True,partial_success,0.51,2545,,,938,Boundary Commission,archival_record,0.82,Temporal bridge of type preservation via biological_growth,
TF-0181,Cultivation Bridge 181,collective,AGT-235,philosopher,8031,cultivation,ritual_practice,generation planted/nurtured for future harvest,911,institution to harvest cultivation,933,True,successful_modified,0.62,8183,strong_purpose,,939,T. Vells,institutional_record,0.67,Temporal bridge of type cultivation via ritual_practice,
TF-0182,Preservation Bridge 182,institution,AGT-402,institutional,15044,preservation,institutional_structure,project preserved for future access,856,scholars to access preserved material,897,True,successful_as_intended,0.92,16409,institutional_support,,921,Independent Observer,institutional_record,0.54,Temporal bridge of type preservation via institutional_structure,
TF-0183,Preservation Bridge 183,institution,AGT-991,institutional,11162,preservation,trained_successor,project preserved for future access,810,region to access preserved material,840,True,successful_as_intended,0.87,10612,community_reinforcement,successor_failure,917,Boundary Commission,institutional_record,0.7,Temporal bridge of type preservation via trained_successor,
TF-0184,Promise Bridge 184,person,AGT-223,standard_worker,16266,promise,physical_artifact,Commitment made spanning to scholars,919,scholars to witness fulfillment,,,pending,,13297,durable_materials,political_change,914,C. Vells,testimony,0.78,Temporal bridge of type promise via physical_artifact,
TF-0185,Repair Bridge 185,collective,AGT-289,standard_worker,17925,repair,collective_memory,project repaired for future function,816,generation to benefit from repair,865,True,successful_as_intended,0.98,18646,community_reinforcement,,921,Archive Survey Team,institutional_record,0.53,Temporal bridge of type repair via collective_memory,
TF-0186,Planning Bridge 186,collective,AGT-135,survivor,12302,planning,trained_successor,Plans laid for future community,889,region to execute plans,922,True,successful_as_intended,0.99,14090,,"material_decay,successor_failure",934,C. Vells,archival_record,0.5,Temporal bridge of type planning via trained_successor,
TF-0187,Preservation Bridge 187,collective,AGT-688,caretaker,27402,preservation,physical_artifact,institution preserved for future access,846,scholars to access preserved material,921,True,successful_as_intended,0.88,22201,durable_materials,political_change,929,K. Strand,direct_observation,0.84,Temporal bridge of type preservation via physical_artifact,
TF-0188,Promise Bridge 188,person,AGT-108,standard_worker,16969,promise,ritual_practice,Commitment made spanning to project,872,generation to witness fulfillment,918,True,successful_modified,0.72,18276,community_reinforcement,material_decay,930,K. Strand,direct_observation,0.9,Temporal bridge of type promise via ritual_practice,
TF-0189,Investment Bridge 189,person,AGT-589,survivor,17805,investment,ritual_practice,Resources allocated for future institution,849,generation to benefit from resources,897,True,successful_as_intended,0.88,17694,community_reinforcement,"material_decay,political_change",940,Klutch CC Counseling,archival_record,0.65,Temporal bridge of type investment via ritual_practice,
TF-0190,Warning Bridge 190,person,AGT-314,caretaker,25050,warning,written_record,Warning issued about future scholars,880,region to heed warning,,,pending,,26719,durable_materials,political_change,926,R. Voss,testimony,0.84,Temporal bridge of type warning via written_record,
TF-0191,Planning Bridge 191,collective,AGT-119,standard_worker,13880,planning,physical_artifact,Plans laid for future community,857,region to execute plans,895,True,successful_as_intended,0.89,16491,durable_materials,material_decay,932,R. Voss,direct_observation,0.54,Temporal bridge of type planning via physical_artifact,
TF-0192,Communication Bridge 192,person,AGT-974,caretaker,17582,communication,collective_memory,Message sent to future institution,810,scholars to receive message,858,True,successful_as_intended,0.88,18989,,material_decay,923,P. Anster,direct_observation,0.71,Temporal bridge of type communication via collective_memory,
TF-0193,Investment Bridge 193,collective,AGT-887,survivor,16171,investment,ritual_practice,Resources allocated for future community,900,institution to benefit from resources,,,pending,,18506,,,927,K. Strand,direct_observation,0.57,Temporal bridge of type investment via ritual_practice,
TF-0194,Legacy Bridge 194,collective,AGT-364,survivor,3393,legacy,biological_growth,community created to outlast creator,829,generation to inherit legacy,838,False,unknown,,2987,community_reinforcement,"material_decay,political_change",929,P. Anster,testimony,0.86,Temporal bridge of type legacy via biological_growth,
TF-0195,Communication Bridge 195,person,AGT-604,caretaker,16941,communication,collective_memory,Message sent to future scholars,834,scholars to receive message,880,True,successful_as_intended,0.97,17966,,material_decay,932,T. Vells,direct_observation,0.6,Temporal bridge of type communication via collective_memory,
TF-0196,Warning Bridge 196,person,AGT-224,caretaker,2139,warning,spatial_configuration,Warning issued about future community,878,region to heed warning,883,False,failed_bridge_broken,0.0,1991,,,934,Archive Survey Team,archival_record,0.64,Temporal bridge of type warning via spatial_configuration,
TF-0197,Repair Bridge 197,person,AGT-318,visionary,1022,repair,physical_artifact,scholars repaired for future function,899,generation to benefit from repair,901,False,failed_effect_missed,0.2,987,"durable_materials,strong_purpose",material_decay,931,C. Vells,testimony,0.71,Temporal bridge of type repair via physical_artifact,
TF-0198,Planning Bridge 198,collective,AGT-736,philosopher,15081,planning,institutional_structure,Plans laid for future region,918,project to execute plans,,,pending,,12675,"institutional_support,strong_purpose,community_reinforcement",,914,K. Strand,institutional_record,0.62,Temporal bridge of type planning via institutional_structure,
TF-0199,Cultivation Bridge 199,person,AGT-471,visionary,10894,cultivation,collective_memory,institution planted/nurtured for future harvest,900,project to harvest cultivation,929,True,successful_modified,0.64,10507,strong_purpose,"material_decay,dens_proximity",935,M. Strand,archival_record,0.52,Temporal bridge of type cultivation via collective_memory,
TF-0200,Construction Bridge 200,collective,AGT-809,caretaker,3425,construction,ritual_practice,institution built for future use,867,project to use construction,876,False,failed_bridge_broken,0.19,3614,,political_change,918,Boundary Commission,direct_observation,0.67,Temporal bridge of type construction via ritual_practice,
TF-0201,Planning Bridge 201,person,AGT-679,caretaker,2724,planning,spatial_configuration,Plans laid for future institution,866,generation to execute plans,873,True,successful_modified,0.77,2318,,political_change,927,K. Strand,archival_record,0.7,Temporal bridge of type planning via spatial_configuration,
TF-0202,Planning Bridge 202,collective,AGT-187,visionary,142,planning,biological_growth,Plans laid for future region,911,institution to execute plans,911,True,successful_modified,0.76,123,"strong_purpose,community_reinforcement",,924,Archive Survey Team,testimony,0.93,Temporal bridge of type planning via biological_growth,
TF-0203,Construction Bridge 203,collective,AGT-481,caretaker,34424,construction,written_record,scholars built for future use,888,scholars to use construction,,,pending,,29679,durable_materials,material_decay,935,R. Voss,direct_observation,0.83,Temporal bridge of type construction via written_record,
TF-0204,Legacy Bridge 204,collective,AGT-117,standard_worker,965,legacy,biological_growth,community created to outlast creator,884,scholars to inherit legacy,886,True,partial_success,0.43,951,community_reinforcement,"material_decay,dens_proximity",936,Klutch CC Counseling,direct_observation,0.68,Temporal bridge of type legacy via biological_growth,
TF-0205,Repair Bridge 205,collective,AGT-630,visionary,30184,repair,institutional_structure,region repaired for future function,814,project to benefit from repair,896,True,partial_success,0.5,30480,"institutional_support,strong_purpose,community_reinforcement",material_decay,927,Independent Observer,institutional_record,0.76,Temporal bridge of type repair via institutional_structure,
TF-0206,Construction Bridge 206,institution,AGT-807,institutional,9731,construction,spatial_configuration,scholars built for future use,867,region to use construction,893,False,unknown,,8404,community_reinforcement,material_decay,915,M. Strand,direct_observation,0.84,Temporal bridge of type construction via spatial_configuration,
TF-0207,Legacy Bridge 207,collective,AGT-549,philosopher,35068,legacy,written_record,generation created to outlast creator,880,generation to inherit legacy,,,pending,,33405,"durable_materials,strong_purpose","material_decay,political_change",934,T. Vells,testimony,0.82,Temporal bridge of type legacy via written_record,
TF-0208,Repair Bridge 208,collective,AGT-626,standard_student,21632,repair,institutional_structure,scholars repaired for future function,841,scholars to benefit from repair,900,True,partial_success,0.32,24491,institutional_support,political_change,918,Boundary Commission,institutional_record,0.6,Temporal bridge of type repair via institutional_structure,
TF-0209,Planning Bridge 209,person,AGT-469,survivor,2376,planning,spatial_configuration,Plans laid for future generation,842,project to execute plans,848,True,successful_as_intended,0.94,2329,,"political_change,dens_proximity",937,Klutch CC Counseling,testimony,0.57,Temporal bridge of type planning via spatial_configuration,
TF-0210,Repair Bridge 210,person,AGT-606,philosopher,28592,repair,institutional_structure,generation repaired for future function,864,project to benefit from repair,,,pending,,26953,"institutional_support,strong_purpose",material_decay,913,C. Vells,direct_observation,0.73,Temporal bridge of type repair via institutional_structure,
TF-0211,Warning Bridge 211,person,AGT-431,caretaker,16340,warning,trained_successor,Warning issued about future community,874,institution to heed warning,918,False,failed_bridge_broken,0.29,16051,,successor_failure,923,Klutch CC Counseling,archival_record,0.59,Temporal bridge of type warning via trained_successor,
TF-0212,Warning Bridge 212,person,AGT-242,standard_worker,13734,warning,trained_successor,Warning issued about future generation,836,institution to heed warning,,,pending,,12153,community_reinforcement,"political_change,successor_failure",936,P. Anster,direct_observation,0.52,Temporal bridge of type warning via trained_successor,
TF-0213,Planning Bridge 213,collective,AGT-680,standard_worker,7152,planning,biological_growth,Plans laid for future scholars,898,scholars to execute plans,917,True,successful_as_intended,0.99,7832,,,940,C. Vells,institutional_record,0.66,Temporal bridge of type planning via biological_growth,
TF-0214,Construction Bridge 214,institution,AGT-519,institutional,10736,construction,trained_successor,scholars built for future use,822,project to use construction,851,True,partial_success,0.53,12516,community_reinforcement,"political_change,dens_proximity,successor_failure",923,Independent Observer,institutional_record,0.83,Temporal bridge of type construction via trained_successor,
