reduction_id,initial_expression,step_number,rule_applied,expression_after,redex_location,is_normal_form,terminates,total_steps,year_traced,traced_by,notes
PR-081,((λl.((Fold Mult) One l)) (Cons Two (Cons Three Nil))),1,beta,((Fold Mult) One (Cons Two (Cons Three Nil))),root,False,True,8,751,Brennis Mund,Product list [2 3] step 1
PR-082,((λf.λg.λx.(g (f x))) succ double),1,beta,((λg.λx.(g (succ x))) double),outer,False,True,2,747,Jorell Vance,Queer combinator step 1
PR-082,((λg.λx.(g (succ x))) double),2,beta,(λx.(double (succ x))),root,True,True,2,747,Jorell Vance,Queer combinator final
PR-083,((λf.λg.λh.λx.(f ((g h) x))) a b c d),1,beta,((((λg.λh.λx.(a ((g h) x))) b) c) d),outer,False,True,4,747,Jorell Vance,Blackbird step 1
PR-083,((((λg.λh.λx.(a ((g h) x))) b) c) d),2,beta,(((λh.λx.(a ((b h) x))) c) d),outer,False,True,4,747,Jorell Vance,Blackbird step 2
PR-083,(((λh.λx.(a ((b h) x))) c) d),3,beta,((λx.(a ((b c) x))) d),outer,False,True,4,747,Jorell Vance,Blackbird step 3
PR-083,((λx.(a ((b c) x))) d),4,beta,(a ((b c) d)),root,True,True,4,747,Jorell Vance,Blackbird final
PR-084,((λf.λg.λx.λy.((f x) ((g x) y))) add mult),1,beta,((λg.λx.λy.((add x) ((g x) y))) mult),outer,False,True,2,747,Jorell Vance,Dove combinator step 1
PR-084,((λg.λx.λy.((add x) ((g x) y))) mult),2,beta,(λx.λy.((add x) ((mult x) y))),root,True,True,2,747,Jorell Vance,Dove combinator final
PR-085,((λf.λg.λh.λx.(f (g x) (h x))) add square cube),1,beta,((((λg.λh.λx.(add (g x) (h x))) square) cube)),outer,False,True,3,748,Jorell Vance,Phoenix step 1
PR-085,((((λg.λh.λx.(add (g x) (h x))) square) cube)),2,beta,(((λh.λx.(add (square x) (h x))) cube)),outer,False,True,3,748,Jorell Vance,Phoenix step 2
PR-085,(((λh.λx.(add (square x) (h x))) cube)),3,beta,(λx.(add (square x) (cube x))),root,True,True,3,748,Jorell Vance,Phoenix final
PR-086,((λf.λg.λx.λy.(f (g x) (g y))) add square),1,beta,((λg.λx.λy.(add (g x) (g y))) square),outer,False,True,2,748,Jorell Vance,Psi combinator step 1
PR-086,((λg.λx.λy.(add (g x) (g y))) square),2,beta,(λx.λy.(add (square x) (square y))),root,True,True,2,748,Jorell Vance,Psi combinator final
PR-087,((λa.λb.(b (a b))) (λx.x) f),1,beta,((λb.(b ((λx.x) b))) f),outer,False,True,3,748,Jorell Vance,Owl combinator step 1
PR-087,((λb.(b ((λx.x) b))) f),2,beta,(f ((λx.x) f)),root,False,True,3,748,Jorell Vance,Owl combinator step 2
PR-087,(f ((λx.x) f)),3,beta,(f f),right,True,True,3,748,Jorell Vance,Owl combinator final
PR-088,((λf.λg.λx.λy.((f y) (g x))) add square a b),1,beta,((((λg.λx.λy.((add y) (g x))) square) a) b),outer,False,True,4,748,Jorell Vance,Goldfinch step 1
PR-088,((((λg.λx.λy.((add y) (g x))) square) a) b),2,beta,(((λx.λy.((add y) (square x))) a) b),outer,False,True,4,748,Jorell Vance,Goldfinch step 2
PR-088,(((λx.λy.((add y) (square x))) a) b),3,beta,((λy.((add y) (square a))) b),outer,False,True,4,748,Jorell Vance,Goldfinch step 3
PR-088,((λy.((add y) (square a))) b),4,beta,((add b) (square a)),root,True,True,4,748,Jorell Vance,Goldfinch final
PR-089,((λk.λf.(k (λx.(f x k)))) return bind),1,beta,((λf.(return (λx.(f x return)))) bind),outer,False,True,2,763,Brennis Mund,Continuation pattern step 1
PR-089,((λf.(return (λx.(f x return)))) bind),2,beta,(return (λx.(bind x return))),root,True,True,2,763,Brennis Mund,Continuation final
PR-090,((λf.λk.(f (λa.λk2.(k a)) k)) callcc cont),1,beta,((λk.(callcc (λa.λk2.(k a)) k)) cont),outer,False,True,2,763,Brennis Mund,Call/CC step 1
PR-090,((λk.(callcc (λa.λk2.(k a)) k)) cont),2,beta,(callcc (λa.λk2.(cont a)) cont),root,True,True,2,763,Brennis Mund,Call/CC final
PR-091,((λx.((x x) (x x))) (λx.((x x) (x x)))),1,beta,(((λx.((x x) (x x))) (λx.((x x) (x x)))) (((λx.((x x) (x x))) (λx.((x x) (x x)))))),root,False,False,-1,720,Archive Record,Collapse pattern 1 - infinite expansion
PR-092,(((λx.λy.(x y)) (λx.λy.(x y))) a),1,beta,(((λy.((λx.λy.(x y)) y)) a),outer,False,True,3,720,Archive Record,Collapse pattern 2 step 1
PR-092,(((λy.((λx.λy.(x y)) y)) a),2,beta,((λx.λy.(x y)) a),root,False,True,3,720,Archive Record,Collapse pattern 2 step 2
PR-092,((λx.λy.(x y)) a),3,beta,(λy.(a y)),root,True,True,3,720,Archive Record,Collapse pattern 2 final
PR-093,((λx.(x x x x)) (λy.y)),1,beta,(((λy.y) (λy.y)) ((λy.y) (λy.y))),root,False,True,5,720,Archive Record,Index loop on I step 1
PR-093,(((λy.y) (λy.y)) ((λy.y) (λy.y))),2,beta,((λy.y) ((λy.y) (λy.y))),left,False,True,5,720,Archive Record,Index loop step 2
PR-093,((λy.y) ((λy.y) (λy.y))),3,beta,((λy.y) (λy.y)),root,False,True,5,720,Archive Record,Index loop step 3
PR-093,((λy.y) (λy.y)),4,beta,(λy.y),root,True,True,5,720,Archive Record,Index loop step 4
PR-093,(λy.y),5,none,(λy.y),root,True,True,5,720,Archive Record,Index loop final
PR-094,((λx.y) (ω ω)),1,beta,y,root,True,True,1,752,Kelleth Mund,Normal order saves - ignores divergent arg
PR-095,((λx.y) (ω ω)),1,stuck,((λx.y) (ω ω)),arg,False,False,-1,752,Kelleth Mund,Applicative order diverges on same expression
PR-096,((λx.(x x)) (λy.(y y))),1,beta,((λy.(y y)) (λy.(y y))),root,False,False,-1,752,Kelleth Mund,Alpha-renamed omega - still diverges
PR-097,((((S K) K) x)),1,beta,((K x) (K x)),root,False,True,3,746,Jorell Vance,SKK x step 1
PR-097,((K x) (K x)),2,beta,((λy.x) (K x)),left,False,True,3,746,Jorell Vance,SKK x step 2
PR-097,((λy.x) (K x)),3,beta,x,root,True,True,3,746,Jorell Vance,SKK x final - proves SKK = I
PR-098,(((S S) K) x y z),1,beta,((((S K) (K)) x) y z),outer,False,True,6,746,Jorell Vance,Complex combinator composition
PR-099,((λx.λy.λz.x) a b c),1,beta,(((λy.λz.a) b) c),outer,False,True,3,722,Kelleth Mund,K3 combinator step 1
PR-099,(((λy.λz.a) b) c),2,beta,((λz.a) c),outer,False,True,3,722,Kelleth Mund,K3 combinator step 2
PR-099,((λz.a) c),3,beta,a,root,True,True,3,722,Kelleth Mund,K3 combinator final
PR-100,(((λx.λy.y) a) b),1,beta,((λy.y) b),outer,False,True,2,722,Kelleth Mund,KI = FALSE step 1
PR-100,((λy.y) b),2,beta,b,root,True,True,2,722,Kelleth Mund,KI = FALSE final
PR-101,((λx.(λy.(y y))) z),1,beta,(λy.(y y)),root,True,True,1,723,Kelleth Mund,Produces self-application
PR-102,((λf.λx.(f (f x))) (λy.y)),1,beta,(λx.((λy.y) ((λy.y) x))),outer,False,True,3,724,Kelleth Mund,Church two on I step 1
PR-102,(λx.((λy.y) ((λy.y) x))),2,beta,(λx.((λy.y) x)),inner,False,True,3,724,Kelleth Mund,Church two on I step 2
PR-102,(λx.((λy.y) x)),3,beta,(λx.x),inner,True,True,3,724,Kelleth Mund,Church two on I final - equals I
PR-103,((λx.(λy.x)) a b),1,beta,((λy.a) b),outer,False,True,2,722,Kelleth Mund,Curried K step 1
PR-103,((λy.a) b),2,beta,a,root,True,True,2,722,Kelleth Mund,Curried K final
PR-104,(λf.λx.(f x)),1,eta,(λf.f),root,False,True,2,754,Kelleth Mund,Eta on wrapped identity
PR-104,(λf.f),2,none,(λf.f),root,True,True,2,754,Kelleth Mund,Result is identity
PR-105,((λx.λy.λz.x) (λa.a)),1,beta,(λy.λz.(λa.a)),outer,True,True,1,726,Kelleth Mund,K applied to I
PR-106,((λx.(x (x x))) (λy.y)),1,beta,((λy.y) ((λy.y) (λy.y))),root,False,True,3,755,Kelleth Mund,Weak omega on I step 1
PR-106,((λy.y) ((λy.y) (λy.y))),2,beta,((λy.y) (λy.y)),root,False,True,3,755,Kelleth Mund,Weak omega on I step 2
PR-106,((λy.y) (λy.y)),3,beta,(λy.y),root,True,True,3,755,Kelleth Mund,Weak omega on I final
PR-107,((λx.(x (y x))) a),1,beta,(a (y a)),root,True,True,1,758,Marden Krey,K star variant with free y
PR-108,((λf.λg.λx.(f x (g x))) add square n),1,beta,(((λg.λx.(add x (g x))) square) n),outer,False,True,3,759,Marden Krey,Elong combinator step 1
PR-108,(((λg.λx.(add x (g x))) square) n),2,beta,((λx.(add x (square x))) n),outer,False,True,3,759,Marden Krey,Elong combinator step 2
PR-108,((λx.(add x (square x))) n),3,beta,(add n (square n)),root,True,True,3,759,Marden Krey,Elong combinator final
PR-109,((λx.λy.x) y),1,alpha,((λx.λz.x) y),body,False,True,2,724,Kelleth Mund,Capture avoidance needed
PR-109,((λx.λz.x) y),2,beta,(λz.y),root,True,True,2,724,Kelleth Mund,Safe after renaming
PR-110,(((λx.λy.λz.y) a) b c),1,beta,((((λy.λz.y) b) c)),outer,False,True,3,723,Kelleth Mund,Middle selector step 1
PR-110,((((λy.λz.y) b) c)),2,beta,(((λz.b) c)),outer,False,True,3,723,Kelleth Mund,Middle selector step 2
PR-110,(((λz.b) c)),3,beta,b,root,True,True,3,723,Kelleth Mund,Middle selector final
PR-111,((λn.λf.λx.n) (λf.λx.x)),1,beta,(λf.λx.(λf.λx.x)),outer,True,True,1,739,Kelleth Mund,Constant zero maker
PR-112,((λx.x) ((λy.y) ((λz.z) a))),1,beta,((λy.y) ((λz.z) a)),root,False,True,3,723,Kelleth Mund,Nested I applications step 1
PR-112,((λy.y) ((λz.z) a)),2,beta,((λz.z) a),root,False,True,3,723,Kelleth Mund,Nested I step 2
PR-112,((λz.z) a),3,beta,a,root,True,True,3,723,Kelleth Mund,Nested I final
PR-113,((λt.λf.t) a b),1,beta,((λf.a) b),outer,False,True,2,738,Kelleth Mund,TRUE alt notation step 1
PR-113,((λf.a) b),2,beta,a,root,True,True,2,738,Kelleth Mund,TRUE alt notation final
PR-114,((λt.λf.f) a b),1,beta,((λf.f) b),outer,False,True,2,738,Kelleth Mund,FALSE alt notation step 1
PR-114,((λf.f) b),2,beta,b,root,True,True,2,738,Kelleth Mund,FALSE alt notation final
PR-115,((λx.λy.x) ((λa.a) b)),1,beta,(λy.((λa.a) b)),outer,True,True,1,726,Kelleth Mund,Normal order - delay arg eval
PR-116,((λx.λy.x) ((λa.a) b)),1,beta,((λx.λy.x) b),arg,False,True,2,726,Kelleth Mund,Applicative order - eval arg first
PR-116,((λx.λy.x) b),2,beta,(λy.b),root,True,True,2,726,Kelleth Mund,Applicative order final
PR-117,((λf.λg.λx.(f (g x))) f g x),1,beta,((((λg.λx.(f (g x))) g) x)),outer,False,True,3,746,Jorell Vance,B combinator applied step 1
PR-117,((((λg.λx.(f (g x))) g) x)),2,beta,(((λx.(f (g x))) x)),outer,False,True,3,746,Jorell Vance,B combinator step 2
PR-117,(((λx.(f (g x))) x)),3,beta,(f (g x)),root,True,True,3,746,Jorell Vance,B combinator final - composition
PR-118,((λx.λy.(x (x y))) f a),1,beta,((λy.(f (f y))) a),outer,False,True,2,739,Kelleth Mund,Double application step 1
PR-118,((λy.(f (f y))) a),2,beta,(f (f a)),root,True,True,2,739,Kelleth Mund,Double application final
PR-119,((λn.λf.λx.(f ((n f) x))) (λf.λx.(f x))),1,beta,(λf.λx.(f (((λf.λx.(f x)) f) x))),outer,False,True,3,739,Kelleth Mund,Succ 1 step 1
PR-119,(λf.λx.(f (((λf.λx.(f x)) f) x))),2,beta,(λf.λx.(f ((λx.(f x)) x))),inner,False,True,3,739,Kelleth Mund,Succ 1 step 2
PR-119,(λf.λx.(f ((λx.(f x)) x))),3,beta,(λf.λx.(f (f x))),inner,True,True,3,739,Kelleth Mund,Succ 1 final - equals Two
PR-120,((λm.λn.((n Pred) m)) Three Two),1,beta,((λn.((n Pred) Three)) Two),outer,False,True,4,743,Kelleth Mund,Sub 3 2 step 1
PR-120,((λn.((n Pred) Three)) Two),2,beta,((Two Pred) Three),root,False,True,4,743,Kelleth Mund,Sub 3 2 step 2
