negotiation_id,boundary_id,entity_a_id,entity_b_id,initiator,negotiation_year,duration_days,negotiation_type,outcome,shift_distance,strength_change,tension_before,tension_after,equilibrium_restored,documented_by,primary_evidence,confidence,description,notes
BN-0150,EB-0262,MS-0039,MS-0084,external,918,1256,contraction,no_change,,-0.13,0.78,0.75,True,T. Vells,classification_records,0.82,Boundary contracted as one entity retreated.,
BN-0151,EB-0314,MS-0012,MS-0043,unknown,929,15,fission,no_change,,0.0,0.46,0.44,True,K. Strand,entity_testimony,0.78,Fission created new separation.,
BN-0152,EB-0325,MS-0034,MS-0035,entity_a,920,2370,contraction,boundary_strengthened,,-0.08,0.34,0.5,False,T. Vells,trajectory_changes,0.62,Voluntary contraction documented.,
BN-0153,EB-0093,MS-0075,MS-0019,entity_a,1845,2961,drift,boundary_created,,-0.13,0.33,0.52,False,T. Vells,classification_records,0.76,Mutual adjustment over time.,
BN-0154,EB-0027,MS-0016,MS-0067,entity_a,926,25,drift,ongoing,,-0.18,0.52,0.62,False,P. Tross,entity_testimony,0.88,Boundary drifted without clear initiator.,
BN-0155,EB-0008,MS-0014,MS-0023,mutual,926,1645,merger,boundary_shifted_toward_a,0.036,0.13,0.33,0.07,True,Senate Survey,historical_inference,0.71,Fusion event eliminated boundary.,
BN-0156,EB-0275,MS-0077,MS-0052,unknown,1842,255,fission,boundary_created,,0.16,0.58,0.48,True,Boundary Commission,direct_observation,0.82,Division negotiation documented.,
BN-0157,EB-0219,MS-0051,MS-0068,entity_b,925,3182,drift,boundary_weakened,,-0.34,0.55,0.49,True,Western Archive Team,classification_records,0.8,Mutual adjustment over time.,
BN-0158,EB-0306,MS-0086,MS-0080,entity_a,925,2726,drift,boundary_weakened,,-0.02,0.35,0.05,True,Archive Survey Team,direct_observation,0.63,Boundary drifted without clear initiator.,
BN-0159,EB-0342,MS-0014,MS-0005,external,1849,82,drift,boundary_dissolved,,-0.09,0.56,0.7,False,P. Tross,entity_testimony,0.52,Mutual adjustment over time.,
BN-0160,EB-0151,MS-0017,MS-0099,entity_b,912,21,dispute,boundary_shifted_toward_b,0.244,-0.2,0.86,0.7,True,Archive Survey Team,direct_observation,0.58,Active conflict over boundary position.,
BN-0161,EB-0263,MS-0095,MS-0073,unknown,1845,2675,contraction,boundary_created,,0.0,0.63,0.57,True,K. Strand,entity_testimony,0.71,Boundary contracted as one entity retreated.,
BN-0162,EB-0016,MS-0098,MS-0099,entity_b,918,173,expansion,boundary_weakened,,0.26,0.84,0.65,True,P. Tross,historical_inference,0.61,Gradual territorial expansion documented.,
BN-0163,EB-0076,MS-0042,MS-0033,entity_a,930,196,drift,ongoing,,0.03,0.81,0.69,True,Archive Survey Team,direct_observation,0.76,Boundary drifted without clear initiator.,
BN-0164,EB-0136,MS-0067,MS-0046,external,1836,313,contraction,ongoing,,-0.2,0.74,0.74,True,T. Vells,historical_inference,0.66,Entity withdrew from contested region.,
BN-0165,EB-0177,MS-0043,MS-0061,entity_b,925,343,fission,no_change,,0.12,0.89,0.84,True,Western Archive Team,classification_records,0.75,Fission created new separation.,
BN-0166,EB-0240,MS-0098,MS-0080,entity_b,912,2589,contraction,boundary_shifted_toward_a,0.197,-0.19,0.7,0.48,True,Boundary Commission,historical_inference,0.87,Voluntary contraction documented.,
BN-0167,EB-0093,MS-0081,MS-0044,mutual,1843,936,contraction,boundary_created,,0.01,0.52,0.43,True,Archive Survey Team,classification_records,0.58,Entity withdrew from contested region.,
BN-0168,EB-0241,MS-0011,MS-0073,unknown,916,1276,expansion,boundary_dissolved,,-0.24,0.5,0.44,True,Senate Survey,trajectory_changes,0.51,One entity's influence grew beyond previous boundary.,
BN-0169,EB-0287,MS-0046,MS-0008,entity_a,923,2239,expansion,ongoing,,-0.2,0.74,0.74,True,K. Strand,trajectory_changes,0.66,One entity's influence grew beyond previous boundary.,
BN-0170,EB-0349,MS-0006,MS-0054,entity_a,915,1531,fission,boundary_created,,-0.01,0.73,0.81,True,T. Vells,direct_observation,0.56,Division negotiation documented.,
BN-0171,EB-0082,MS-0062,MS-0084,entity_b,1835,2978,contraction,boundary_shifted_toward_b,0.229,0.3,0.61,0.69,True,P. Tross,historical_inference,0.53,Entity withdrew from contested region.,
BN-0172,EB-0277,MS-0078,MS-0018,unknown,1844,5,expansion,boundary_dissolved,,-0.03,0.73,0.95,False,K. Strand,direct_observation,0.86,Entity A expanded into B's territory.,
BN-0173,EB-0003,MS-0047,MS-0066,entity_b,926,1617,contraction,boundary_weakened,,0.04,0.39,0.09,True,Senate Survey,trajectory_changes,0.74,Boundary contracted as one entity retreated.,
BN-0174,EB-0301,MS-0078,MS-0027,entity_a,919,344,contraction,boundary_shifted_toward_b,0.061,-0.05,0.54,0.24,True,Boundary Commission,historical_inference,0.68,Entity withdrew from contested region.,
BN-0175,EB-0067,MS-0082,MS-0076,entity_b,1837,95,drift,ongoing,,-0.16,0.34,0.5,False,P. Tross,classification_records,0.83,Boundary drifted without clear initiator.,
BN-0176,EB-0104,MS-0088,MS-0078,external,913,191,drift,boundary_dissolved,,0.03,0.79,0.79,True,Boundary Commission,trajectory_changes,0.91,Mutual adjustment over time.,
BN-0177,EB-0167,MS-0041,MS-0088,entity_a,925,621,drift,boundary_strengthened,,-0.09,0.71,0.61,True,Western Archive Team,entity_testimony,0.68,Gradual repositioning observed.,
BN-0178,EB-0097,MS-0082,MS-0071,mutual,920,30,expansion,boundary_strengthened,,0.1,0.64,0.39,True,Senate Survey,classification_records,0.67,One entity's influence grew beyond previous boundary.,
BN-0179,EB-0103,MS-0049,MS-0005,unknown,1831,442,drift,boundary_strengthened,,-0.26,0.71,0.69,True,P. Tross,trajectory_changes,0.84,Boundary drifted without clear initiator.,
BN-0180,EB-0027,MS-0072,MS-0028,entity_a,1846,1352,drift,boundary_created,,-0.5,0.86,0.95,True,Senate Survey,trajectory_changes,0.73,Gradual repositioning observed.,
BN-0181,EB-0186,MS-0001,MS-0089,unknown,922,503,merger,boundary_shifted_toward_b,0.041,0.11,0.63,0.37,True,K. Strand,entity_testimony,0.94,Merger negotiation successful.,
BN-0182,EB-0160,MS-0066,MS-0014,entity_b,913,259,clarification,boundary_dissolved,,-0.05,0.47,0.37,True,Western Archive Team,trajectory_changes,0.93,Previously fuzzy boundary defined.,
BN-0183,EB-0130,MS-0025,MS-0059,entity_a,920,2596,merger,boundary_strengthened,,0.32,0.9,0.75,True,Senate Survey,trajectory_changes,0.89,Merger negotiation successful.,
BN-0184,EB-0251,MS-0062,MS-0055,mutual,917,631,clarification,boundary_strengthened,,-0.14,0.52,0.18,True,Western Archive Team,historical_inference,0.91,Boundary location made explicit.,
BN-0185,EB-0191,MS-0059,MS-0077,external,1843,1193,drift,boundary_weakened,,-0.18,0.43,0.14,True,P. Tross,classification_records,0.63,Mutual adjustment over time.,
BN-0186,EB-0010,MS-0065,MS-0023,entity_b,920,76,expansion,boundary_dissolved,,0.04,0.8,0.64,True,Senate Survey,entity_testimony,0.58,One entity's influence grew beyond previous boundary.,
BN-0187,EB-0123,MS-0007,MS-0022,entity_b,917,303,dispute,boundary_weakened,,-0.08,0.56,0.61,True,P. Tross,classification_records,0.58,Active conflict over boundary position.,
BN-0188,EB-0174,MS-0048,MS-0088,entity_a,926,305,contraction,boundary_shifted_toward_a,0.126,0.07,0.72,0.81,True,Boundary Commission,trajectory_changes,0.92,Voluntary contraction documented.,
BN-0189,EB-0333,MS-0097,MS-0074,entity_b,913,393,expansion,ongoing,,0.02,0.31,0.17,True,Boundary Commission,entity_testimony,0.91,Gradual territorial expansion documented.,
BN-0190,EB-0174,MS-0016,MS-0020,entity_b,1837,2145,dispute,boundary_strengthened,,-0.39,0.65,0.39,True,P. Tross,historical_inference,0.87,Active conflict over boundary position.,
BN-0191,EB-0188,MS-0014,MS-0072,unknown,1845,861,contraction,no_change,,0.18,0.38,0.3,True,Senate Survey,historical_inference,0.57,Boundary contracted as one entity retreated.,
BN-0192,EB-0050,MS-0023,MS-0023,entity_b,919,72,drift,boundary_weakened,,-0.03,0.52,0.25,True,K. Strand,trajectory_changes,0.63,Mutual adjustment over time.,
BN-0193,EB-0288,MS-0086,MS-0020,entity_b,914,111,contraction,boundary_shifted_toward_b,0.019,0.14,0.59,0.46,True,Archive Survey Team,historical_inference,0.87,Entity withdrew from contested region.,
BN-0194,EB-0278,MS-0086,MS-0037,unknown,1836,491,fission,boundary_created,,0.26,0.62,0.58,True,P. Tross,classification_records,0.88,Division negotiation documented.,
BN-0195,EB-0077,MS-0047,MS-0050,entity_b,1836,2419,drift,boundary_created,,0.31,0.35,0.45,False,Archive Survey Team,entity_testimony,0.52,Mutual adjustment over time.,
BN-0196,EB-0323,MS-0050,MS-0085,unknown,924,234,drift,boundary_shifted_toward_b,0.107,-0.11,0.54,0.29,True,Senate Survey,entity_testimony,0.91,Mutual adjustment over time.,
BN-0197,EB-0337,MS-0002,MS-0058,unknown,1832,39,expansion,no_change,,-0.17,0.58,0.57,True,K. Strand,direct_observation,0.5,Gradual territorial expansion documented.,
BN-0198,EB-0208,MS-0007,MS-0021,entity_b,1843,22,expansion,boundary_weakened,,-0.33,0.45,0.19,True,Archive Survey Team,classification_records,0.79,Gradual territorial expansion documented.,
BN-0199,EB-0271,MS-0090,MS-0008,mutual,914,1383,drift,ongoing,,0.1,0.83,0.87,True,Boundary Commission,direct_observation,0.68,Gradual repositioning observed.,
BN-0200,EB-0065,MS-0014,MS-0099,entity_b,1831,3548,dispute,boundary_shifted_toward_a,0.253,0.02,0.65,0.67,True,P. Tross,direct_observation,0.58,Boundary dispute required resolution.,
