measurement_id,form_id,form_type,form_complexity,ingression_rate,onset_delay_minutes,completion_time_minutes,rate_variability,acceleration_pattern,location,region,dens_proximity_km,boundary_instability,spatial_curvature,barrier_thickness,observer_presence,observer_attention_level,competing_forms,substrate_receptivity,expected_rate,rate_deviation,deviation_explanation,measurement_year,measurer,method,confidence,notes
IR-0119,FORM-0297,relationship,complex,80.9,57.72,103.06,0.23,oscillating,Eastern fluctuation zone,Dens boundary,32.8,7.4,highly_curved,thin,False,none,2,highly_receptive,87.0,-6.1,,919,Boundary Commission,boundary_correlation,0.52,
IR-0120,FORM-0184,relationship,complex,63.6,36.38,99.02,0.44,oscillating,Archive vicinity,Capital,201.3,5.2,mildly_curved,moderate,False,none,0,highly_receptive,76.0,-12.4,none identified,932,T. Mord,retrospective_analysis,0.86,
IR-0121,FORM-0379,structure,simple,48.2,39.82,102.96,0.51,spike_plateau,Archive vicinity,Capital,294.9,1.7,mildly_curved,very_thick,True,active,2,neutral,58.5,-10.3,none identified,930,C. Vells,pattern_tracking,0.82,
IR-0122,FORM-0024,phenomenon,moderate,78.4,49.06,126.8,0.48,decelerating,Western approach,Dens boundary,38.3,7.8,moderately_curved,thin,True,active,2,resistant,89.0,-10.6,observer effect,930,Field Team,boundary_correlation,0.76,
IR-0123,,phenomenon,moderate,56.0,24.58,97.48,0.45,decelerating,Suburban zone,Densmok,184.3,6.5,moderately_curved,moderate,False,none,3,blocking,82.5,-26.5,boundary fluctuation,929,A. Vells,substrate_monitoring,0.61,
IR-0124,FORM-0782,hybrid,complex,48.5,40.07,109.79,0.65,stepped,Northern monastery,Northo,299.7,2.4,mildly_curved,thick,True,active,3,highly_receptive,62.0,-13.5,none identified,934,S. Moll,retrospective_analysis,0.95,
IR-0125,,behavior,complex,93.4,29.49,82.0,0.61,spike_plateau,Western approach,Dens boundary,40.0,6.4,highly_curved,moderate,False,none,3,neutral,82.0,11.4,boundary fluctuation,933,S. Moll,boundary_correlation,0.84,
IR-0126,FORM-0684,creature,simple,94.5,58.37,247.73,0.6,oscillating,Dissolution zone,Dens,0.0,9.2,highly_curved,thin,True,passive,5,receptive,96.0,-1.5,,921,T. Mord,retrospective_analysis,0.73,
IR-0127,FORM-0742,relationship,simple,100,32.9,75.48,0.18,accelerating,Central anomaly,Dens,0.0,9.5,extreme,thin,True,passive,5,highly_receptive,97.5,2.5,,925,S. Moll,substrate_monitoring,0.89,
IR-0128,FORM-0552,creature,simple,78.6,19.79,53.81,0.33,oscillating,Tower base,Tower of Mirado,162.1,6.4,highly_curved,moderate,False,none,2,receptive,82.0,-3.4,,932,E. Pol,retrospective_analysis,0.95,
IR-0129,FORM-0223,phenomenon,complex,44.7,61.38,103.2,0.19,oscillating,Isolation community,Northo,349.1,1.5,flat,very_thick,False,none,2,resistant,57.5,-12.8,none identified,927,A. Prebel,direct_observation,0.79,
IR-0130,FORM-0310,place,simple,93.5,55.35,251.41,0.64,stepped,Dens deep,Dens,0.0,9.2,highly_curved,thin,True,passive,1,resistant,96.0,-2.5,,933,E. Pol,substrate_monitoring,0.68,
IR-0131,,pattern,moderate,99.3,41.04,156.03,0.51,oscillating,Northern margin,Dens boundary,26.4,8.0,highly_curved,thin,False,none,2,blocking,90.0,9.3,,930,M. Strand,boundary_correlation,0.83,
IR-0132,FORM-0986,hybrid,simple,100,46.64,188.43,0.1,spike_plateau,Dens interior,Dens,0.0,9.1,highly_curved,thin,True,intense,4,blocking,95.5,4.5,,920,A. Prebel,boundary_correlation,0.75,
IR-0133,FORM-0104,relationship,moderate,70.0,39.35,60.6,0.61,stepped,Southern approach,Yeller Quarry,129.8,6.8,highly_curved,moderate,True,active,1,neutral,84.0,-14.0,boundary fluctuation,929,T. Mord,boundary_correlation,0.54,
IR-0134,FORM-0493,creature,highly_complex,99.1,42.34,97.98,0.15,decelerating,Central anomaly,Dens,0.0,9.0,highly_curved,thin,True,active,5,blocking,95.0,4.1,,929,M. Strand,direct_observation,0.66,
IR-0135,FORM-0281,behavior,simple,79.2,31.31,68.35,0.52,oscillating,Philosophical Society grounds,Capital,224.8,5.1,mildly_curved,moderate,False,none,0,neutral,75.5,3.7,,919,A. Prebel,pattern_tracking,0.7,
IR-0136,FORM-0392,pattern,highly_complex,36.5,71.76,163.22,0.68,accelerating,Lake vicinity,Northo,257.7,3.7,mildly_curved,thick,False,none,4,receptive,68.5,-32.0,competing form,931,T. Mord,retrospective_analysis,0.83,
IR-0137,,hybrid,complex,23.1,80.77,290.86,0.68,constant,Northern monastery,Northo,338.1,1.0,flat,very_thick,True,intense,0,resistant,55.0,-31.9,competing form,933,Ingression Study Group,substrate_monitoring,0.83,
IR-0138,FORM-0925,pattern,moderate,63.1,55.81,231.8,0.12,spike_plateau,Quarry interior,Yeller Quarry,123.5,7.2,moderately_curved,thin,False,none,3,blocking,86.0,-22.9,competing form,919,Field Team,pattern_tracking,0.53,
IR-0139,,hybrid,complex,79.0,26.24,108.43,0.25,oscillating,Klutch CC vicinity,Densmok,223.1,5.5,moderately_curved,moderate,False,none,4,neutral,77.5,1.5,,931,E. Pol,direct_observation,0.9,
IR-0140,FORM-0423,relationship,simple,75.9,5.82,10.35,0.55,constant,Suburban zone,Densmok,232.0,3.5,mildly_curved,thick,True,active,2,neutral,67.5,8.4,,922,Field Team,pattern_tracking,0.82,
IR-0141,FORM-0107,pattern,moderate,70.9,6.3,27.52,0.19,oscillating,Coder quarter,Densmok,194.8,6.5,highly_curved,moderate,True,passive,2,receptive,82.5,-11.6,boundary fluctuation,924,A. Prebel,substrate_monitoring,0.7,
IR-0142,FORM-0743,pattern,highly_complex,87.7,55.38,188.01,0.37,stepped,Quarry Sector 7,Yeller Quarry,163.6,7.1,highly_curved,thin,False,none,2,neutral,85.5,2.2,,919,S. Moll,substrate_monitoring,0.74,
IR-0143,FORM-0055,place,simple,57.2,46.14,121.84,0.2,oscillating,Suburban zone,Densmok,242.5,3.4,mildly_curved,thick,True,intense,5,blocking,67.0,-9.8,,928,M. Strand,retrospective_analysis,0.92,
IR-0144,FORM-0192,structure,moderate,100,10.01,33.83,0.69,constant,Dens interior,Dens,0.0,9.6,highly_curved,thin,True,active,1,highly_receptive,98.0,2.0,,925,S. Moll,retrospective_analysis,0.8,
IR-0145,,phenomenon,moderate,81.8,22.89,91.97,0.67,accelerating,Northern workings,Yeller Quarry,125.4,6.2,highly_curved,moderate,True,intense,2,neutral,81.0,0.8,,924,E. Pol,pattern_tracking,0.93,
IR-0146,,hybrid,highly_complex,96.0,13.24,44.39,0.68,decelerating,Sector NE-4,Dens boundary,44.1,6.3,moderately_curved,moderate,True,active,1,receptive,81.5,14.5,competing form,922,E. Pol,direct_observation,0.81,
IR-0147,,place,moderate,98.2,7.14,20.33,0.31,decelerating,Quarry Sector 7,Yeller Quarry,136.9,7.3,moderately_curved,thin,True,active,5,resistant,86.5,11.7,competing form,933,A. Prebel,retrospective_analysis,0.68,
IR-0148,FORM-0966,place,highly_complex,100,11.65,47.25,0.59,constant,Quarry interior,Yeller Quarry,124.2,7.9,highly_curved,thin,True,passive,5,neutral,89.5,10.5,substrate resistance,924,A. Vells,pattern_tracking,0.71,
IR-0149,FORM-0096,behavior,simple,100,3.64,13.46,0.19,constant,Sector NE-4,Dens boundary,23.3,8.4,highly_curved,thin,False,none,2,highly_receptive,92.0,8.0,,924,A. Vells,substrate_monitoring,0.6,
IR-0150,FORM-0891,pattern,simple,74.3,36.52,131.92,0.73,accelerating,Eastern markets,Capital,248.5,4.5,moderately_curved,moderate,False,none,2,resistant,72.5,1.8,,922,Ingression Study Group,retrospective_analysis,0.89,
IR-0151,FORM-0371,relationship,moderate,68.3,19.01,30.68,0.48,spike_plateau,Southern camps,Tower of Mirado,168.6,4.6,moderately_curved,moderate,True,passive,1,neutral,73.0,-4.7,,927,C. Vells,retrospective_analysis,0.58,
IR-0152,FORM-0104,phenomenon,highly_complex,84.9,17.3,46.3,0.19,stepped,Western approach,Dens boundary,24.3,6.0,moderately_curved,moderate,False,none,4,highly_receptive,80.0,4.9,,922,Boundary Commission,direct_observation,0.67,
IR-0153,FORM-0303,creature,moderate,61.7,56.83,131.53,0.45,spike_plateau,Quarry interior,Yeller Quarry,111.5,6.3,moderately_curved,moderate,False,none,3,receptive,81.5,-19.8,none identified,923,Capital Survey Team,retrospective_analysis,0.91,
IR-0154,FORM-0353,behavior,simple,73.5,35.12,163.9,0.18,oscillating,Klutch CC vicinity,Densmok,237.8,5.1,mildly_curved,moderate,False,none,5,receptive,75.5,-2.0,,934,C. Vells,direct_observation,0.85,
IR-0155,,phenomenon,complex,75.2,32.0,99.65,0.18,decelerating,Trapper territory,Yeller Quarry,161.4,4.5,mildly_curved,moderate,False,none,2,resistant,72.5,2.7,,927,A. Vells,substrate_monitoring,0.62,
IR-0156,FORM-0597,structure,complex,79.0,50.15,225.19,0.41,oscillating,Sector NE-4,Dens boundary,53.8,7.5,moderately_curved,thin,False,none,5,receptive,87.5,-8.5,,927,A. Prebel,retrospective_analysis,0.51,
IR-0157,,behavior,moderate,72.4,8.94,22.23,0.66,accelerating,Suburban zone,Densmok,254.9,5.1,mildly_curved,moderate,True,passive,5,blocking,75.5,-3.1,,929,C. Vells,boundary_correlation,0.88,
IR-0158,FORM-0934,hybrid,simple,81.7,7.68,34.68,0.41,constant,Southern camps,Tower of Mirado,173.7,6.2,highly_curved,moderate,False,none,2,neutral,81.0,0.7,,934,Boundary Commission,pattern_tracking,0.59,
IR-0159,FORM-0321,structure,moderate,80.3,24.22,42.55,0.64,accelerating,Mill vicinity,Yeller Quarry,175.4,4.7,moderately_curved,moderate,False,none,4,receptive,73.5,6.8,,921,M. Strand,substrate_monitoring,0.61,
IR-0160,,place,simple,84.3,59.36,218.21,0.57,spike_plateau,Dens interior,Dens,0.0,9.6,extreme,thin,True,intense,2,neutral,98.0,-13.7,observer effect,934,T. Mord,retrospective_analysis,0.87,
IR-0161,,hybrid,complex,73.0,36.17,159.61,0.71,accelerating,Northern approach,Tower of Mirado,189.5,4.3,moderately_curved,moderate,False,none,5,neutral,71.5,1.5,,923,E. Pol,pattern_tracking,0.66,
IR-0162,,place,moderate,88.5,25.58,103.87,0.33,decelerating,Southern approach,Yeller Quarry,163.3,7.2,moderately_curved,thin,False,none,4,blocking,86.0,2.5,,918,A. Vells,boundary_correlation,0.71,
IR-0163,FORM-0709,creature,simple,68.7,63.66,247.0,0.7,oscillating,Lake vicinity,Northo,258.1,3.2,mildly_curved,thick,True,active,1,highly_receptive,66.0,2.7,,929,Field Team,direct_observation,0.66,
IR-0164,FORM-0100,place,simple,81.6,39.63,62.89,0.66,oscillating,Southern approach,Yeller Quarry,161.6,6.6,highly_curved,moderate,False,none,3,neutral,83.0,-1.4,,923,S. Moll,retrospective_analysis,0.66,
IR-0165,FORM-0677,behavior,simple,56.3,42.04,191.16,0.8,oscillating,Capital proper,Capital,255.0,2.5,flat,thick,False,none,5,resistant,62.5,-6.2,,920,E. Pol,retrospective_analysis,0.7,
IR-0166,FORM-0414,creature,complex,79.5,15.27,55.3,0.49,stepped,Klutch CC vicinity,Densmok,260.4,5.0,mildly_curved,moderate,True,passive,5,highly_receptive,75.0,4.5,,923,T. Mord,pattern_tracking,0.77,
IR-0167,FORM-0325,phenomenon,complex,93.7,21.12,83.01,0.65,constant,Quarry interior,Yeller Quarry,109.5,8.1,extreme,thin,False,none,2,resistant,90.5,3.2,,932,Boundary Commission,substrate_monitoring,0.75,
IR-0168,FORM-0635,place,highly_complex,98.1,28.38,65.23,0.47,decelerating,Central anomaly,Dens,0.0,9.9,highly_curved,thin,False,none,1,highly_receptive,99.5,-1.4,,934,A. Prebel,boundary_correlation,0.74,
IR-0169,FORM-0044,relationship,complex,61.7,44.29,167.08,0.27,decelerating,Ascetic village,Northo,335.1,2.0,flat,very_thick,False,none,1,resistant,60.0,1.7,,925,T. Mord,retrospective_analysis,0.86,
IR-0170,FORM-0216,hybrid,moderate,77.5,11.3,52.86,0.1,spike_plateau,Western approach,Dens boundary,22.6,7.1,highly_curved,thin,False,none,3,resistant,85.5,-8.0,,934,Ingression Study Group,boundary_correlation,0.83,
IR-0171,FORM-0872,creature,moderate,29.9,30.63,123.65,0.17,decelerating,Lake vicinity,Northo,378.8,0.4,flat,very_thick,False,none,2,receptive,52.0,-22.1,boundary fluctuation,923,T. Mord,boundary_correlation,0.54,
IR-0172,FORM-0276,behavior,simple,88.5,44.92,127.37,0.55,accelerating,Sector SW-6,Dens boundary,49.0,6.9,highly_curved,moderate,False,none,2,blocking,84.5,4.0,,921,S. Moll,substrate_monitoring,0.82,
IR-0173,FORM-0315,relationship,complex,92.7,32.9,119.99,0.41,accelerating,Northern margin,Dens boundary,41.0,6.9,highly_curved,moderate,True,active,3,blocking,84.5,8.2,,921,Ingression Study Group,pattern_tracking,0.57,
IR-0174,FORM-0524,behavior,simple,83.9,1.92,7.49,0.16,stepped,Sector SW-6,Dens boundary,50.8,7.2,moderately_curved,thin,False,none,0,neutral,86.0,-2.1,,922,A. Prebel,retrospective_analysis,0.5,
IR-0175,FORM-0319,phenomenon,simple,91.7,53.82,150.66,0.42,stepped,Quarry Sector 7,Yeller Quarry,123.4,8.1,highly_curved,thin,False,none,3,blocking,90.5,1.2,,933,A. Prebel,retrospective_analysis,0.58,
IR-0176,FORM-0150,pattern,simple,100,46.27,200.77,0.46,stepped,Dissolution zone,Dens,0.0,10.0,extreme,thin,False,none,5,receptive,100.0,0.0,,932,Capital Survey Team,substrate_monitoring,0.69,
IR-0177,,structure,highly_complex,42.0,62.11,170.2,0.7,accelerating,Tower base,Tower of Mirado,233.8,4.3,moderately_curved,moderate,True,intense,1,blocking,71.5,-29.5,none identified,935,Ingression Study Group,retrospective_analysis,0.73,
IR-0178,,phenomenon,complex,32.7,42.11,158.25,0.45,constant,Educational district,Densmok,242.2,2.6,mildly_curved,thick,False,none,0,receptive,63.0,-30.3,none identified,934,A. Vells,boundary_correlation,0.83,
IR-0179,FORM-0548,creature,highly_complex,100,41.35,114.61,0.59,oscillating,Southern perimeter,Dens boundary,37.2,6.8,highly_curved,moderate,False,none,1,blocking,84.0,16.0,competing form,923,Ingression Study Group,boundary_correlation,0.8,
IR-0180,FORM-0690,place,complex,76.7,23.59,51.34,0.56,stepped,Klutch CC vicinity,Densmok,214.9,4.3,mildly_curved,moderate,True,passive,2,neutral,71.5,5.2,,919,A. Prebel,pattern_tracking,0.64,
IR-0181,,pattern,simple,71.5,12.2,30.86,0.36,spike_plateau,Scholar's Quarter,Capital,233.7,2.7,flat,thick,False,none,4,resistant,63.5,8.0,,931,A. Vells,direct_observation,0.7,
IR-0182,FORM-0325,structure,moderate,81.0,30.13,146.15,0.53,oscillating,Southern perimeter,Dens boundary,52.9,7.2,moderately_curved,thin,False,none,1,receptive,86.0,-5.0,,918,A. Prebel,boundary_correlation,0.56,
IR-0183,FORM-0054,place,highly_complex,89.7,4.08,8.69,0.17,decelerating,Dens deep,Dens,0.0,9.7,highly_curved,thin,True,active,3,receptive,98.5,-8.8,,920,C. Vells,retrospective_analysis,0.88,
IR-0184,FORM-0906,creature,highly_complex,46.3,36.98,122.31,0.39,decelerating,Philosophical Society grounds,Capital,279.0,3.8,flat,thick,True,passive,3,receptive,69.0,-22.7,substrate resistance,920,S. Moll,direct_observation,0.7,
IR-0185,,hybrid,moderate,100,56.46,152.8,0.54,oscillating,Dens interior,Dens,0.0,9.1,extreme,thin,True,passive,1,receptive,95.5,4.5,,926,Capital Survey Team,boundary_correlation,0.81,
IR-0186,FORM-0129,pattern,highly_complex,58.7,51.52,165.53,0.36,stepped,Ascetic village,Northo,298.2,1.8,flat,very_thick,False,none,1,resistant,59.0,-0.3,,922,A. Prebel,retrospective_analysis,0.87,
IR-0187,,creature,complex,55.3,26.43,130.46,0.31,accelerating,Northern monastery,Northo,285.9,1.5,flat,very_thick,True,intense,5,neutral,57.5,-2.2,,921,S. Moll,direct_observation,0.55,
IR-0188,FORM-0530,pattern,complex,54.3,45.08,103.09,0.11,spike_plateau,Northern monastery,Northo,298.1,1.4,mildly_curved,very_thick,False,none,5,resistant,57.0,-2.7,,924,C. Vells,substrate_monitoring,0.63,
IR-0189,,structure,complex,56.7,8.47,32.86,0.44,accelerating,Mill vicinity,Yeller Quarry,163.2,4.4,moderately_curved,moderate,True,passive,4,receptive,72.0,-15.3,substrate resistance,922,Ingression Study Group,boundary_correlation,0.86,
IR-0190,FORM-0518,creature,moderate,70.0,57.14,191.65,0.38,oscillating,Mill vicinity,Yeller Quarry,178.0,5.9,moderately_curved,moderate,True,passive,2,blocking,79.5,-9.5,,920,C. Vells,retrospective_analysis,0.51,
IR-0191,,relationship,highly_complex,78.3,56.72,271.96,0.72,oscillating,Southern camps,Tower of Mirado,185.2,4.6,mildly_curved,moderate,True,intense,5,receptive,73.0,5.3,,931,Boundary Commission,boundary_correlation,0.71,
IR-0192,FORM-0110,structure,complex,55.7,45.96,105.05,0.45,constant,Klutch CC vicinity,Densmok,249.1,3.8,mildly_curved,thick,False,none,1,highly_receptive,69.0,-13.3,substrate resistance,930,Ingression Study Group,boundary_correlation,0.55,
IR-0193,,phenomenon,simple,69.3,18.51,55.47,0.15,oscillating,Quarry Sector 7,Yeller Quarry,136.1,6.5,moderately_curved,moderate,True,intense,1,neutral,82.5,-13.2,substrate resistance,918,Capital Survey Team,boundary_correlation,0.76,
IR-0194,,structure,complex,64.8,58.62,172.93,0.55,stepped,Suburban zone,Densmok,268.2,4.0,flat,thick,False,none,5,receptive,70.0,-5.2,,929,Boundary Commission,retrospective_analysis,0.54,
IR-0195,FORM-0804,behavior,moderate,24.4,67.58,208.31,0.23,decelerating,Lake vicinity,Northo,368.1,0.7,mildly_curved,very_thick,False,none,5,highly_receptive,53.5,-29.1,boundary fluctuation,927,M. Strand,direct_observation,0.57,
IR-0196,FORM-0669,hybrid,complex,32.0,57.86,104.63,0.47,spike_plateau,Eastern markets,Capital,298.3,3.2,flat,thick,True,active,0,resistant,66.0,-34.0,observer effect,918,E. Pol,retrospective_analysis,0.76,
IR-0197,FORM-0374,behavior,complex,90.3,21.83,77.34,0.59,constant,Quarry Sector 7,Yeller Quarry,127.0,5.8,moderately_curved,moderate,True,passive,1,resistant,79.0,11.3,competing form,928,M. Strand,direct_observation,0.55,
IR-0198,FORM-0125,creature,simple,82.7,5.39,22.91,0.37,constant,Trapper territory,Yeller Quarry,107.3,7.7,highly_curved,thin,False,none,3,neutral,88.5,-5.8,,931,Capital Survey Team,direct_observation,0.78,
IR-0199,FORM-0569,creature,complex,64.1,15.64,63.08,0.57,stepped,Tower base,Tower of Mirado,176.2,4.8,moderately_curved,moderate,False,none,1,blocking,74.0,-9.9,,919,A. Prebel,direct_observation,0.69,
IR-0200,,structure,complex,86.6,16.74,77.11,0.68,spike_plateau,Trapper territory,Yeller Quarry,141.3,6.4,moderately_curved,moderate,True,intense,5,blocking,82.0,4.6,,920,E. Pol,pattern_tracking,0.52,
IR-0201,FORM-0537,structure,moderate,100,43.72,177.39,0.13,constant,Dissolution zone,Dens,0.0,9.7,extreme,thin,True,active,1,neutral,98.5,1.5,,934,Boundary Commission,substrate_monitoring,0.8,
IR-0202,FORM-0073,relationship,moderate,48.3,51.12,195.14,0.55,spike_plateau,Coder quarter,Densmok,250.0,2.3,mildly_curved,thick,True,active,2,receptive,61.5,-13.2,substrate resistance,926,Boundary Commission,substrate_monitoring,0.78,
IR-0203,FORM-0269,place,complex,99.2,21.2,81.5,0.34,constant,Dens interior,Dens,0.0,9.6,highly_curved,thin,True,passive,1,receptive,98.0,1.2,,935,Ingression Study Group,direct_observation,0.83,
IR-0204,,hybrid,simple,74.0,54.13,198.13,0.62,constant,Tower base,Tower of Mirado,223.4,4.0,mildly_curved,thick,False,none,0,receptive,70.0,4.0,,927,S. Moll,substrate_monitoring,0.78,
IR-0205,FORM-0068,relationship,moderate,45.1,67.44,194.69,0.59,oscillating,Northern monastery,Northo,390.8,1.8,mildly_curved,very_thick,False,none,2,highly_receptive,59.0,-13.9,none identified,929,Boundary Commission,substrate_monitoring,0.56,
IR-0206,FORM-0792,place,highly_complex,100,12.0,43.8,0.64,stepped,Southern perimeter,Dens boundary,58.4,8.7,highly_curved,thin,True,active,3,neutral,93.5,6.5,,921,A. Prebel,pattern_tracking,0.51,
IR-0207,FORM-0654,place,simple,49.3,26.58,92.94,0.6,constant,Mill vicinity,Yeller Quarry,163.3,4.8,moderately_curved,moderate,False,none,2,neutral,74.0,-24.7,boundary fluctuation,926,E. Pol,direct_observation,0.83,
IR-0208,,hybrid,simple,79.1,7.65,11.94,0.72,constant,Western approach,Dens boundary,50.5,8.7,highly_curved,thin,False,none,1,highly_receptive,93.5,-14.4,observer effect,923,E. Pol,pattern_tracking,0.61,
IR-0209,FORM-0028,structure,simple,40.2,41.38,141.17,0.61,decelerating,Tower base,Tower of Mirado,231.6,3.5,flat,thick,False,none,2,blocking,67.5,-27.3,competing form,928,E. Pol,substrate_monitoring,0.52,
IR-0210,FORM-0568,hybrid,moderate,57.4,14.54,43.99,0.73,stepped,Scholar's Quarter,Capital,275.6,1.8,mildly_curved,very_thick,False,none,5,blocking,59.0,-1.6,,935,C. Vells,substrate_monitoring,0.95,
IR-0211,,behavior,moderate,66.3,43.7,213.71,0.64,accelerating,Northern monastery,Northo,253.9,2.4,mildly_curved,thick,True,passive,0,blocking,62.0,4.3,,935,Capital Survey Team,direct_observation,0.77,
IR-0212,FORM-0091,relationship,complex,89.3,24.41,41.95,0.1,decelerating,Southern approach,Yeller Quarry,140.1,7.6,moderately_curved,thin,False,none,0,highly_receptive,88.0,1.3,,921,Capital Survey Team,pattern_tracking,0.51,
IR-0213,FORM-0126,creature,highly_complex,59.4,27.38,106.02,0.24,stepped,Coder quarter,Densmok,215.9,3.3,flat,thick,False,none,5,resistant,66.5,-7.1,,933,Capital Survey Team,pattern_tracking,0.8,
IR-0214,FORM-0592,structure,highly_complex,66.8,18.98,76.41,0.17,constant,Northern approach,Tower of Mirado,182.1,6.1,moderately_curved,moderate,True,intense,4,blocking,80.5,-13.7,none identified,928,C. Vells,direct_observation,0.51,
IR-0215,FORM-0229,hybrid,moderate,70.9,46.48,107.31,0.37,decelerating,Northern margin,Dens boundary,25.1,7.1,highly_curved,thin,True,intense,5,neutral,85.5,-14.6,none identified,925,Ingression Study Group,retrospective_analysis,0.88,
IR-0216,FORM-0139,phenomenon,highly_complex,85.5,34.66,113.3,0.7,accelerating,Northern approach,Tower of Mirado,170.7,7.1,highly_curved,thin,True,passive,3,highly_receptive,85.5,-0.0,,934,Boundary Commission,direct_observation,0.67,
IR-0217,FORM-0282,phenomenon,moderate,73.3,26.1,84.02,0.11,oscillating,Quarry interior,Yeller Quarry,146.2,5.1,mildly_curved,moderate,False,none,5,blocking,75.5,-2.2,,919,A. Vells,boundary_correlation,0.9,
IR-0218,FORM-0279,relationship,simple,58.5,42.46,79.23,0.35,decelerating,Coder quarter,Densmok,213.5,4.0,mildly_curved,thick,False,none,2,resistant,70.0,-11.5,boundary fluctuation,928,T. Mord,boundary_correlation,0.52,
IR-0219,FORM-0285,place,simple,67.4,53.15,199.36,0.54,spike_plateau,Eastern fluctuation zone,Dens boundary,37.7,6.5,highly_curved,moderate,False,none,3,neutral,82.5,-15.1,none identified,931,E. Pol,direct_observation,0.88,
IR-0220,FORM-0858,phenomenon,complex,47.8,52.06,165.31,0.57,spike_plateau,Suburban zone,Densmok,192.6,5.1,moderately_curved,moderate,False,none,5,receptive,75.5,-27.7,competing form,930,M. Strand,direct_observation,0.88,
IR-0221,FORM-0907,structure,moderate,76.5,54.83,153.42,0.7,constant,Coder quarter,Densmok,206.5,3.8,mildly_curved,thick,True,active,3,blocking,69.0,7.5,,931,S. Moll,pattern_tracking,0.72,
IR-0222,FORM-0835,relationship,complex,44.7,23.21,57.93,0.76,decelerating,Northern approach,Tower of Mirado,241.3,3.8,flat,thick,True,passive,3,resistant,69.0,-24.3,competing form,933,Boundary Commission,direct_observation,0.94,
IR-0223,,pattern,complex,87.1,28.25,79.99,0.57,oscillating,Northern workings,Yeller Quarry,178.2,5.4,mildly_curved,moderate,False,none,2,blocking,77.0,10.1,competing form,925,E. Pol,substrate_monitoring,0.78,
IR-0224,FORM-0874,phenomenon,moderate,57.1,10.49,40.33,0.45,constant,Northern monastery,Northo,340.1,2.0,flat,very_thick,True,active,5,receptive,60.0,-2.9,,923,Field Team,substrate_monitoring,0.87,
IR-0225,FORM-0631,hybrid,simple,42.5,21.02,56.55,0.1,constant,Eastern Northo,Northo,397.4,0.5,mildly_curved,very_thick,True,active,0,resistant,52.5,-10.0,,921,T. Mord,direct_observation,0.6,
IR-0226,FORM-0588,relationship,complex,89.6,34.54,85.63,0.63,constant,Dens interior,Dens,0.0,9.3,extreme,thin,True,intense,5,highly_receptive,96.5,-6.9,,931,M. Strand,substrate_monitoring,0.87,
IR-0227,FORM-0809,place,simple,77.0,29.8,114.75,0.47,oscillating,Siege fields,Tower of Mirado,183.7,6.5,highly_curved,moderate,True,active,4,blocking,82.5,-5.5,,925,Ingression Study Group,pattern_tracking,0.86,
IR-0228,FORM-0671,place,moderate,50.0,46.49,121.17,0.57,spike_plateau,Capital proper,Capital,235.6,4.6,moderately_curved,moderate,True,passive,5,receptive,73.0,-23.0,substrate resistance,919,Boundary Commission,boundary_correlation,0.84,
IR-0229,FORM-0342,creature,highly_complex,67.5,44.97,144.49,0.36,stepped,Coder quarter,Densmok,232.7,5.5,mildly_curved,moderate,True,active,4,highly_receptive,77.5,-10.0,observer effect,930,E. Pol,boundary_correlation,0.53,
IR-0230,FORM-0590,place,moderate,54.8,45.05,187.63,0.34,decelerating,Capital outskirts,Capital,246.5,4.6,moderately_curved,moderate,False,none,1,receptive,73.0,-18.2,boundary fluctuation,935,Boundary Commission,pattern_tracking,0.71,
IR-0231,,structure,moderate,86.2,39.1,110.0,0.46,decelerating,Sector SW-6,Dens boundary,59.2,6.3,moderately_curved,moderate,False,none,2,blocking,81.5,4.7,,918,Capital Survey Team,direct_observation,0.93,
IR-0232,FORM-0739,hybrid,simple,100,16.99,68.12,0.28,oscillating,Dissolution zone,Dens,0.0,10.0,extreme,thin,False,none,2,highly_receptive,100.0,0.0,,928,E. Pol,retrospective_analysis,0.85,
IR-0233,,pattern,complex,40.8,53.51,261.72,0.79,spike_plateau,Ascetic village,Northo,301.5,1.6,mildly_curved,very_thick,False,none,0,neutral,58.0,-17.2,observer effect,920,A. Prebel,substrate_monitoring,0.72,
IR-0234,,place,simple,79.3,24.26,109.24,0.37,spike_plateau,Dissolution zone,Dens,0.0,9.2,extreme,thin,True,passive,3,blocking,96.0,-16.7,observer effect,930,M. Strand,retrospective_analysis,0.77,
IR-0235,FORM-0465,place,complex,79.6,47.76,138.86,0.74,stepped,Educational district,Densmok,212.0,5.8,moderately_curved,moderate,False,none,2,resistant,79.0,0.6,,918,S. Moll,substrate_monitoring,0.54,
IR-0236,FORM-0069,behavior,moderate,62.3,17.07,74.62,0.43,stepped,Archive vicinity,Capital,206.7,6.2,moderately_curved,moderate,False,none,2,blocking,81.0,-18.7,competing form,922,Capital Survey Team,direct_observation,0.9,
IR-0237,,place,simple,99.2,43.0,112.61,0.12,decelerating,Dens deep,Dens,0.0,9.3,extreme,thin,False,none,4,neutral,96.5,2.7,,933,T. Mord,direct_observation,0.6,
IR-0238,,pattern,highly_complex,73.5,45.58,130.44,0.22,spike_plateau,Southern perimeter,Dens boundary,29.6,8.2,highly_curved,thin,False,none,5,resistant,91.0,-17.5,observer effect,924,Ingression Study Group,boundary_correlation,0.74,
