pathology_id,pathology_name,primary_cluster,secondary_clusters,category,subcategory,typical_onset,typical_progression,typical_duration,typical_severity,common_causes,risk_factors,protective_factors,dens_correlation,estimated_prevalence,documented_cases,geographic_distribution,cardinal_symptoms,early_warning_signs,diagnostic_criteria,differential_diagnosis,typical_outcomes,worst_case_outcome,mortality_risk,contagion_risk,treatment_exists,standard_treatment,treatment_efficacy,recovery_prognosis,primary_theorist,year_described,theoretical_framework,mechanism,understanding_level,related_pathologies,precursor_to,consequence_of,first_documented_case,key_references,confidence,last_updated,notes
PT-0034,Social Horizon Collapse,temporal_bridging,,relational,temporal bridging,oscillating,relapsing,permanent,moderate_to_severe,"trauma, dens_exposure, isolation, aging","trauma_history, developmental_stage, high_stress","high_integration, trust_maintenance, horizon_expansion",moderate_positive,uncommon,238,clustered,"temporal_myopia, planning_failure, care_shrinkage",mild_disorientation,"At least 2 of: temporal_myopia, planning_failure, care_shrinkage","Endless Wandering, Ridge Dissolution, False Arrival Syndrome",variable_often_serious,complete_dissolution,high,low,True,"horizon_expansion, social_reconnection",limited,poor,Mira Strand,924,Mira Strand's framework for temporal bridging,signal_noise_accumulation,well_understood,"Dens-Proximity Horizon Shrinkage, Bridge Failure Syndrome, Trauma-Induced Horizon Collapse",Basin Escape Failure,,,"Vorn Year 930, Mira Strand Year 924",0.73,Year 940,
PT-0035,Abstract Horizon Loss,temporal_bridging,,functional,temporal bridging,oscillating,stable,variable,variable,"trauma, dens_exposure, isolation, aging","trauma_history, developmental_stage, high_stress","early_intervention, adequate_resources, skilled_healer",none,rare,3,capital_region,"temporal_myopia, planning_failure, care_shrinkage",horizon_narrowing,"At least 2 of: temporal_myopia, planning_failure, care_shrinkage","False Arrival Syndrome, Navigation Paralysis, Morphospace Distortion",variable_often_serious,complete_dissolution,moderate,low,True,"horizon_expansion, social_reconnection",limited,fair,Kira Strand,927,Kira Strand's framework for temporal bridging,trust_erosion_spiral,partially_understood,"Dens-Proximity Horizon Shrinkage, Bridge Failure Syndrome, Trauma-Induced Horizon Collapse",,,,"Vorn Year 930, Kira Strand Year 927",0.73,Year 933,
PT-0036,Component Defection,modular_agency,,relational,modular agency,oscillating,progressive,acute,severe_to_catastrophic,"reciprocity_failure, trust_erosion, goal_drift","federation_dysfunction, communication_breakdown, goal_conflict","high_integration, trust_maintenance, horizon_expansion",weak_positive,common,35,dens_proximate,"trust_decline, coordination_failure, delegation_breakdown",horizon_narrowing,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Constellation Dissolution, Entity Fragmentation, Gradient Blindness",variable_from_recovery_to_chronic,entity_replacement,low,moderate,True,"trust_rebuilding, reorganization",limited,good,Tessyn Mord,918,Tessyn Mord's framework for modular agency,ingression_failure_cascade,partially_understood,"Communication Collapse, Trust Cascade Failure, Delegation Breakdown",,,MO-0001,"Vorn Year 930, Tessyn Mord Year 918",0.88,Year 940,
PT-0037,Exploitation Pattern,modular_agency,,relational,modular agency,sudden,relapsing,chronic,variable,"reciprocity_failure, trust_erosion, goal_drift","federation_dysfunction, communication_breakdown, goal_conflict","strong_boundaries, social_support, distance_from_dens",weak_positive,uncommon,122,clustered,"trust_decline, coordination_failure, delegation_breakdown",manifestation_slowing,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Selective Permeability Failure, Attractor Switching Disorder, False Arrival Syndrome",variable_often_serious,death,high,high,False,,none,very_poor,Tessyn Mord,920,Tessyn Mord's framework for modular agency,signal_noise_accumulation,poorly_understood,"Communication Collapse, Reciprocity Breach, Delegation Breakdown",Ghost Replacement,,MO-0001,"Vorn Year 930, Tessyn Mord Year 920",0.97,Year 934,
PT-0038,Trust Cascade Failure,modular_agency,,relational,modular agency,sudden,variable,acute,variable,"reciprocity_failure, trust_erosion, goal_drift","federation_dysfunction, communication_breakdown, goal_conflict","strong_boundaries, social_support, distance_from_dens",weak_positive,uncommon,29,clustered,"trust_decline, coordination_failure, delegation_breakdown",navigation_hesitation,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Sudden Boundary Collapse, Constellation Dissolution, Saddle Point Instability",variable_often_serious,death,high,moderate,True,"trust_rebuilding, reorganization",limited,poor,Tessyn Mord,922,Tessyn Mord's framework for modular agency,boundary_degradation_cascade,well_understood,"Exploitation Pattern, Component Defection, Delegation Breakdown",Trajectory Loop Syndrome,Age-Related Horizon Decline,MO-0001,"Vorn Year 930, Tessyn Mord Year 922",0.68,Year 930,
PT-0039,Delegation Breakdown,modular_agency,,functional,modular agency,gradual,progressive,chronic,moderate_to_severe,"reciprocity_failure, trust_erosion, goal_drift","boundary_instability, pattern_degradation, aging","high_integration, trust_maintenance, horizon_expansion",weak_positive,common,230,clustered,"trust_decline, coordination_failure, delegation_breakdown",manifestation_slowing,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Absorption Syndrome, Endless Wandering, Trajectory Loop Syndrome",variable_from_recovery_to_chronic,complete_dissolution,low,moderate,True,"trust_rebuilding, reorganization",limited,fair,Tessyn Mord,919,Tessyn Mord's framework for modular agency,signal_noise_accumulation,poorly_understood,"Exploitation Pattern, Reciprocity Breach, Communication Collapse",,Sudden Boundary Collapse,MO-0001,"Vorn Year 930, Tessyn Mord Year 919",0.97,Year 938,
PT-0040,Reciprocity Breach,modular_agency,,relational,modular agency,gradual,relapsing,chronic,variable,"reciprocity_failure, trust_erosion, goal_drift","dens_proximity, weak_boundaries, isolation","early_intervention, adequate_resources, skilled_healer",moderate_positive,common,119,clustered,"trust_decline, coordination_failure, delegation_breakdown",horizon_narrowing,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Resonance Lock, Morphospace Distortion, Ridge Dissolution",variable_from_recovery_to_chronic,death,moderate,high,True,"trust_rebuilding, reorganization",limited,good,Tessyn Mord,924,Tessyn Mord's framework for modular agency,horizon_contraction_cycle,well_understood,"Component Defection, Exploitation Pattern, Trust Cascade Failure",Constellation Dissolution,,,"Vorn Year 930, Tessyn Mord Year 924",0.76,Year 938,
PT-0041,Communication Collapse,modular_agency,,functional,modular agency,developmental,self_limiting,permanent,mild_to_moderate,"reciprocity_failure, trust_erosion, goal_drift","federation_dysfunction, communication_breakdown, goal_conflict","early_intervention, adequate_resources, skilled_healer",weak_positive,uncommon,98,clustered,"trust_decline, coordination_failure, delegation_breakdown",mild_disorientation,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Absorption Syndrome, Basin Collapse, Morphospace Distortion",variable_often_serious,complete_dissolution,high,moderate,True,"trust_rebuilding, reorganization",experimental,fair,Pell Anster,925,Pell Anster's framework for modular agency,signal_noise_accumulation,partially_understood,"Reciprocity Breach, Exploitation Pattern, Component Defection",,,,"Vorn Year 930, Pell Anster Year 925",0.77,Year 936,
PT-0042,Goal Conflict Syndrome,modular_agency,,functional,modular agency,sudden,variable,chronic,variable,"reciprocity_failure, trust_erosion, goal_drift","boundary_instability, pattern_degradation, aging","strong_boundaries, social_support, distance_from_dens",none,common,68,uniform,"trust_decline, coordination_failure, delegation_breakdown",trust_decline,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Morphospace Distortion, Resonance Lock, Entity Fragmentation",variable_from_recovery_to_chronic,complete_dissolution,low,moderate,True,"trust_rebuilding, reorganization",moderately_effective,fair,Tessyn Mord,926,Tessyn Mord's framework for modular agency,boundary_degradation_cascade,well_understood,"Trust Cascade Failure, Reciprocity Breach, Delegation Breakdown",,,,"Vorn Year 930, Tessyn Mord Year 926",0.82,Year 938,
PT-0043,Level Transcendence Crisis,modular_agency,,developmental,modular agency,oscillating,self_limiting,acute,variable,"reciprocity_failure, trust_erosion, goal_drift","boundary_instability, pattern_degradation, aging","early_intervention, adequate_resources, skilled_healer",weak_positive,rare,7,dens_proximate,"trust_decline, coordination_failure, delegation_breakdown",subtle_boundary_fluctuation,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Saddle Point Instability, Constellation Dissolution, Basin Collapse",variable_often_serious,entity_replacement,moderate,moderate,True,"trust_rebuilding, reorganization",limited,fair,Pell Anster,922,Pell Anster's framework for modular agency,trust_erosion_spiral,well_understood,"Reciprocity Breach, Exploitation Pattern, Trust Cascade Failure",,Endless Wandering,MO-0001,"Vorn Year 930, Pell Anster Year 922",0.72,Year 933,
PT-0044,Free-Riding Pathology,modular_agency,,relational,modular agency,gradual,self_limiting,subacute,mild_to_moderate,"reciprocity_failure, trust_erosion, goal_drift","dens_proximity, weak_boundaries, isolation","early_intervention, adequate_resources, skilled_healer",none,uncommon,103,capital_region,"trust_decline, coordination_failure, delegation_breakdown",manifestation_slowing,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Endless Wandering, Saddle Point Instability, Gradient Blindness",variable_often_serious,complete_dissolution,moderate,high,True,"trust_rebuilding, reorganization",experimental,fair,Tessyn Mord,928,Tessyn Mord's framework for modular agency,horizon_contraction_cycle,well_understood,"Reciprocity Breach, Delegation Breakdown, Component Defection",,Resonance Lock,,"Vorn Year 930, Tessyn Mord Year 928",0.71,Year 937,
PT-0045,Zombie Goal Persistence,modular_agency,,functional,modular agency,sudden,self_limiting,acute,variable,"reciprocity_failure, trust_erosion, goal_drift","federation_dysfunction, communication_breakdown, goal_conflict","high_integration, trust_maintenance, horizon_expansion",moderate_positive,common,240,clustered,"trust_decline, coordination_failure, delegation_breakdown",coordination_difficulty,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Morphospace Distortion, Absorption Syndrome, Trajectory Loop Syndrome",variable_from_recovery_to_chronic,permanent_disability,moderate,moderate,True,"trust_rebuilding, reorganization",moderately_effective,good,Tessyn Mord,930,Tessyn Mord's framework for modular agency,trust_erosion_spiral,poorly_understood,"Trust Cascade Failure, Component Defection, Delegation Breakdown",Pathological Merger,Gradual Boundary Weakening,MO-0001,"Vorn Year 930, Tessyn Mord Year 930",0.98,Year 933,
PT-0046,Ingression Rate Failure,ingression_mechanics,,functional,ingression mechanics,developmental,self_limiting,variable,severe_to_catastrophic,"barrier_thickness, competing_forms, observer_effect","dens_proximity, weak_boundaries, isolation","strong_boundaries, social_support, distance_from_dens",moderate_positive,common,147,uniform,"manifestation_failure, fidelity_loss, blocked_expression",navigation_hesitation,"At least 2 of: manifestation_failure, fidelity_loss, blocked_expression","Ridge Dissolution, Constellation Dissolution, Navigation Paralysis",variable_from_recovery_to_chronic,death,low,none,True,"barrier_manipulation, substrate_preparation",limited,good,Archon Vells,920,Archon Vells's framework for ingression mechanics,signal_noise_accumulation,poorly_understood,"Substrate Rejection, Competing Form Interference, Barrier Blocking",,,IN-0001,"Vorn Year 930, Archon Vells Year 920",0.71,Year 930,
PT-0047,Fidelity Degradation,ingression_mechanics,,structural,ingression mechanics,developmental,variable,permanent,mild_to_moderate,"barrier_thickness, competing_forms, observer_effect","dens_proximity, weak_boundaries, isolation","early_intervention, adequate_resources, skilled_healer",strong_positive,common,54,uniform,"manifestation_failure, fidelity_loss, blocked_expression",mild_disorientation,"At least 2 of: manifestation_failure, fidelity_loss, blocked_expression","Pathological Merger, Endless Wandering, Entity Fragmentation",variable_from_recovery_to_chronic,entity_replacement,moderate,low,True,"barrier_manipulation, substrate_preparation",limited,good,Archon Vells,922,Archon Vells's framework for ingression mechanics,ingression_failure_cascade,partially_understood,"Competing Form Interference, Ingression Rate Failure, Barrier Blocking",Selective Permeability Failure,,IN-0001,"Vorn Year 930, Archon Vells Year 922",0.76,Year 930,
PT-0048,Barrier Blocking,ingression_mechanics,,structural,ingression mechanics,sudden,self_limiting,permanent,variable,"barrier_thickness, competing_forms, observer_effect","federation_dysfunction, communication_breakdown, goal_conflict","strong_boundaries, social_support, distance_from_dens",strong_positive,uncommon,10,capital_region,"manifestation_failure, fidelity_loss, blocked_expression",mild_disorientation,"At least 2 of: manifestation_failure, fidelity_loss, blocked_expression","Basin Escape Failure, Basin Inaccessibility, Resonance Lock",variable_often_serious,complete_dissolution,high,none,True,"barrier_manipulation, substrate_preparation",experimental,poor,Archon Vells,924,Archon Vells's framework for ingression mechanics,ingression_failure_cascade,poorly_understood,"Fidelity Degradation, Recursive Ingression Loop, Ingression Rate Failure",,Selective Permeability Failure,,"Vorn Year 930, Archon Vells Year 924",0.93,Year 933,
PT-0049,Competing Form Interference,ingression_mechanics,,functional,ingression mechanics,developmental,variable,chronic,severe_to_catastrophic,"barrier_thickness, competing_forms, observer_effect","dens_proximity, weak_boundaries, isolation","early_intervention, adequate_resources, skilled_healer",strong_positive,common,48,uniform,"manifestation_failure, fidelity_loss, blocked_expression",mild_disorientation,"At least 2 of: manifestation_failure, fidelity_loss, blocked_expression","Constellation Dissolution, Resonance Lock, Entity Fragmentation",variable_from_recovery_to_chronic,permanent_disability,moderate,none,True,"barrier_manipulation, substrate_preparation",limited,fair,Archon Vells,925,Archon Vells's framework for ingression mechanics,signal_noise_accumulation,well_understood,"Recursive Ingression Loop, Substrate Rejection, Ingression Rate Failure",,Selective Permeability Failure,IN-0001,"Vorn Year 930, Archon Vells Year 925",0.83,Year 939,
PT-0050,Substrate Rejection,ingression_mechanics,,structural,ingression mechanics,triggered,stable,permanent,mild_to_moderate,"barrier_thickness, competing_forms, observer_effect","federation_dysfunction, communication_breakdown, goal_conflict","high_integration, trust_maintenance, horizon_expansion",strong_positive,uncommon,237,dens_proximate,"manifestation_failure, fidelity_loss, blocked_expression",manifestation_slowing,"At least 2 of: manifestation_failure, fidelity_loss, blocked_expression","Sudden Boundary Collapse, Saddle Point Instability, Ridge Dissolution",variable_often_serious,entity_replacement,moderate,low,True,"barrier_manipulation, substrate_preparation",limited,poor,Carten Vells,926,Carten Vells's framework for ingression mechanics,ingression_failure_cascade,well_understood,"Ingression Rate Failure, Barrier Blocking, Fidelity Degradation",,,,"Vorn Year 930, Carten Vells Year 926",0.84,Year 932,
PT-0051,Recursive Ingression Loop,ingression_mechanics,,functional,ingression mechanics,gradual,relapsing,permanent,severe_to_catastrophic,"barrier_thickness, competing_forms, observer_effect","trauma_history, developmental_stage, high_stress","strong_boundaries, social_support, distance_from_dens",strong_positive,rare,9,clustered,"manifestation_failure, fidelity_loss, blocked_expression",navigation_hesitation,"At least 2 of: manifestation_failure, fidelity_loss, blocked_expression","Absorption Syndrome, Endless Wandering, Pathological Merger",variable_often_serious,complete_dissolution,high,low,True,"barrier_manipulation, substrate_preparation",experimental,poor,Archon Vells,926,Archon Vells's framework for ingression mechanics,ingression_failure_cascade,partially_understood,"Ingression Rate Failure, Fidelity Degradation, Barrier Blocking",Basin Collapse,,,"Vorn Year 930, Archon Vells Year 926",0.89,Year 939,
PT-0052,Observer Interference Block,ingression_mechanics,,functional,ingression mechanics,triggered,progressive,variable,variable,"barrier_thickness, competing_forms, observer_effect","boundary_instability, pattern_degradation, aging","early_intervention, adequate_resources, skilled_healer",strong_positive,common,282,uniform,"manifestation_failure, fidelity_loss, blocked_expression",occasional_foreign_thoughts,"At least 2 of: manifestation_failure, fidelity_loss, blocked_expression","Gradual Boundary Weakening, Basin Collapse, Constellation Dissolution",variable_from_recovery_to_chronic,permanent_disability,low,low,True,"barrier_manipulation, substrate_preparation",limited,good,Archon Prebel,918,Archon Prebel's framework for ingression mechanics,horizon_contraction_cycle,well_understood,"Competing Form Interference, Fidelity Degradation, Barrier Blocking",,Memory Corruption,IN-0001,"Vorn Year 930, Archon Prebel Year 918",0.65,Year 940,
PT-0053,Multi-Domain Cascade,cross_cluster,"boundary_dynamics, temporal_bridging",functional,cross cluster,oscillating,variable,subacute,mild_to_moderate,"dens_proximity, multi_system_stress, cascading_failure","dens_proximity, weak_boundaries, isolation","early_intervention, adequate_resources, skilled_healer",moderate_positive,uncommon,280,dens_proximate,"multi_domain_symptoms, cascading_effects",horizon_narrowing,"At least 2 of: multi_domain_symptoms, cascading_effects","Morphospace Distortion, Endless Wandering, Basin Collapse",variable_often_serious,complete_dissolution,high,none,True,integrated_multi_domain_treatment,experimental,poor,Kella Vorn,929,Kella Vorn's framework for cross cluster,signal_noise_accumulation,poorly_understood,"Systemic Dissolution, Integrated Failure Pattern, Dens Proximity Syndrome",,,CR-0001,"Vorn Year 930, Kella Vorn Year 929",0.9,Year 932,
PT-0054,Systemic Dissolution,cross_cluster,"boundary_dynamics, temporal_bridging",structural,cross cluster,oscillating,progressive,acute,moderate_to_severe,"dens_proximity, multi_system_stress, cascading_failure","federation_dysfunction, communication_breakdown, goal_conflict","high_integration, trust_maintenance, horizon_expansion",moderate_positive,rare,12,capital_region,"multi_domain_symptoms, cascading_effects",subtle_boundary_fluctuation,"At least 2 of: multi_domain_symptoms, cascading_effects","Trajectory Loop Syndrome, Endless Wandering, Saddle Point Instability",variable_often_serious,entity_replacement,high,low,True,integrated_multi_domain_treatment,limited,poor,Kella Vorn,930,Kella Vorn's framework for cross cluster,signal_noise_accumulation,poorly_understood,"Dens Proximity Syndrome, Integrated Failure Pattern, Multi-Domain Cascade",,,CR-0001,"Vorn Year 930, Kella Vorn Year 930",0.73,Year 938,
PT-0055,Dens Proximity Syndrome,cross_cluster,"boundary_dynamics, temporal_bridging",structural,cross cluster,developmental,stable,subacute,severe_to_catastrophic,"dens_proximity, multi_system_stress, cascading_failure","boundary_instability, pattern_degradation, aging","high_integration, trust_maintenance, horizon_expansion",none,common,182,clustered,"multi_domain_symptoms, cascading_effects",manifestation_slowing,"At least 2 of: multi_domain_symptoms, cascading_effects","Selective Permeability Failure, Morphospace Distortion, Navigation Paralysis",variable_from_recovery_to_chronic,entity_replacement,low,none,True,integrated_multi_domain_treatment,limited,good,Kella Vorn,928,Kella Vorn's framework for cross cluster,horizon_contraction_cycle,poorly_understood,"Integrated Failure Pattern, Multi-Domain Cascade, Systemic Dissolution",,,CR-0001,"Vorn Year 930, Kella Vorn Year 928",0.95,Year 935,
PT-0056,Integrated Failure Pattern,cross_cluster,"boundary_dynamics, temporal_bridging",functional,cross cluster,oscillating,variable,permanent,moderate_to_severe,"dens_proximity, multi_system_stress, cascading_failure","federation_dysfunction, communication_breakdown, goal_conflict","strong_boundaries, social_support, distance_from_dens",moderate_positive,uncommon,167,uniform,"multi_domain_symptoms, cascading_effects",occasional_foreign_thoughts,"At least 2 of: multi_domain_symptoms, cascading_effects","Gradient Blindness, Basin Escape Failure, Entity Fragmentation",variable_often_serious,permanent_disability,moderate,low,True,integrated_multi_domain_treatment,limited,poor,Kella Vorn,930,Kella Vorn's framework for cross cluster,horizon_contraction_cycle,poorly_understood,"Systemic Dissolution, Dens Proximity Syndrome, Multi-Domain Cascade",Entity Fragmentation,,,"Vorn Year 930, Kella Vorn Year 930",0.88,Year 932,
PT-0057,Zombie Goal Persistence (Variant 56),modular_agency,,functional,modular agency,developmental,progressive,chronic,moderate_to_severe,"reciprocity_failure, trust_erosion, goal_drift","federation_dysfunction, communication_breakdown, goal_conflict","strong_boundaries, social_support, distance_from_dens",moderate_positive,rare,9,dens_proximate,"trust_decline, coordination_failure, delegation_breakdown",manifestation_slowing,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Entity Fragmentation, Saddle Point Instability, Gradual Boundary Weakening",variable_often_serious,entity_replacement,moderate,high,False,,none,very_poor,Healing Institute,935,Healing Institute's framework for modular agency,pattern_interference_loop,partially_understood,"Delegation Breakdown, Exploitation Pattern, Component Defection",,Behavior Overlay,MO-0001,"Vorn Year 930, Healing Institute Year 935",0.8,Year 930,
PT-0058,Gradient Blindness (Variant 57),attractor_navigation,,functional,attractor navigation,triggered,stable,acute,variable,"signal_noise, boundary_interference, horizon_shrinkage","trauma_history, developmental_stage, high_stress","early_intervention, adequate_resources, skilled_healer",moderate_positive,uncommon,218,dens_proximate,"disorientation, wandering, arrival_confusion",navigation_hesitation,"At least 2 of: disorientation, wandering, arrival_confusion","Attractor Switching Disorder, Gradual Boundary Weakening, Saddle Point Instability",variable_often_serious,permanent_disability,high,low,True,"navigation_recalibration, resonance_retuning",experimental,fair,Field Observer,925,Field Observer's framework for attractor navigation,signal_noise_accumulation,partially_understood,"False Arrival Syndrome, Navigation Paralysis, Resonance Lock",,,AT-0001,"Vorn Year 930, Field Observer Year 925",0.62,Year 933,
PT-0059,Endless Wandering (Variant 58),attractor_navigation,,functional,attractor navigation,gradual,progressive,variable,mild_to_moderate,"signal_noise, boundary_interference, horizon_shrinkage","dens_proximity, weak_boundaries, isolation","early_intervention, adequate_resources, skilled_healer",moderate_positive,rare,19,uniform,"disorientation, wandering, arrival_confusion",navigation_hesitation,"At least 2 of: disorientation, wandering, arrival_confusion","Trajectory Loop Syndrome, Basin Collapse, Ridge Dissolution",variable_often_serious,permanent_disability,moderate,low,True,"navigation_recalibration, resonance_retuning",experimental,poor,Field Observer,934,Field Observer's framework for attractor navigation,trust_erosion_spiral,poorly_understood,"Gradient Blindness, Endless Wandering, Navigation Paralysis",Behavior Overlay,Resonance Lock,,"Vorn Year 930, Field Observer Year 934",0.73,Year 936,
PT-0060,Endless Wandering (Variant 59),attractor_navigation,,functional,attractor navigation,triggered,progressive,acute,variable,"signal_noise, boundary_interference, horizon_shrinkage","trauma_history, developmental_stage, high_stress","early_intervention, adequate_resources, skilled_healer",none,rare,4,capital_region,"disorientation, wandering, arrival_confusion",subtle_boundary_fluctuation,"At least 2 of: disorientation, wandering, arrival_confusion","Endless Wandering, Entity Fragmentation, Ridge Dissolution",variable_often_serious,complete_dissolution,moderate,none,True,"navigation_recalibration, resonance_retuning",experimental,fair,Field Observer,925,Field Observer's framework for attractor navigation,signal_noise_accumulation,well_understood,"Gradient Blindness, Resonance Lock, Endless Wandering",,Identity Intrusion,,"Vorn Year 930, Field Observer Year 925",0.76,Year 937,
PT-0061,Bridge Failure Syndrome (Variant 60),temporal_bridging,,temporal,temporal bridging,gradual,stable,chronic,mild_to_moderate,"trauma, dens_exposure, isolation, aging","trauma_history, developmental_stage, high_stress","strong_boundaries, social_support, distance_from_dens",none,uncommon,180,capital_region,"temporal_myopia, planning_failure, care_shrinkage",occasional_foreign_thoughts,"At least 2 of: temporal_myopia, planning_failure, care_shrinkage","Selective Permeability Failure, Absorption Syndrome, Entity Fragmentation",variable_often_serious,death,moderate,low,True,"horizon_expansion, social_reconnection",limited,fair,Kella Vorn,928,Kella Vorn's framework for temporal bridging,ingression_failure_cascade,partially_understood,"Bridge Failure Syndrome, Trauma-Induced Horizon Collapse, Isolation-Induced Shrinkage",,Behavior Overlay,TE-0001,"Vorn Year 930, Kella Vorn Year 928",0.93,Year 940,
PT-0062,Basin Collapse (Variant 61),landscape_topology,,structural,landscape topology,oscillating,progressive,chronic,mild_to_moderate,"dens_proximity, boundary_instability, spatial_curvature","boundary_instability, pattern_degradation, aging","early_intervention, adequate_resources, skilled_healer",strong_positive,uncommon,15,uniform,"navigation_difficulty, path_loss, basin_trapping",manifestation_slowing,"At least 2 of: navigation_difficulty, path_loss, basin_trapping","Trajectory Loop Syndrome, Gradient Blindness, Basin Escape Failure",variable_often_serious,complete_dissolution,high,none,True,"relocation, path_finding_assistance",limited,fair,Field Observer,925,Field Observer's framework for landscape topology,pattern_interference_loop,partially_understood,"Basin Collapse, Ridge Dissolution, Saddle Point Instability",,Gradient Blindness,,"Vorn Year 930, Field Observer Year 925",0.88,Year 932,
PT-0063,Age-Related Horizon Decline (Variant 62),temporal_bridging,,temporal,temporal bridging,triggered,variable,chronic,severe_to_catastrophic,"trauma, dens_exposure, isolation, aging","federation_dysfunction, communication_breakdown, goal_conflict","high_integration, trust_maintenance, horizon_expansion",none,rare,18,capital_region,"temporal_myopia, planning_failure, care_shrinkage",subtle_boundary_fluctuation,"At least 2 of: temporal_myopia, planning_failure, care_shrinkage","Trajectory Loop Syndrome, Basin Inaccessibility, Constellation Dissolution",variable_often_serious,death,moderate,low,True,"horizon_expansion, social_reconnection",experimental,poor,Field Observer,933,Field Observer's framework for temporal bridging,trust_erosion_spiral,partially_understood,"Age-Related Horizon Decline, Isolation-Induced Shrinkage, Trauma-Induced Horizon Collapse",,Attractor Switching Disorder,,"Vorn Year 930, Field Observer Year 933",0.95,Year 938,
PT-0064,Trust Cascade Failure (Variant 63),modular_agency,,relational,modular agency,developmental,stable,permanent,variable,"reciprocity_failure, trust_erosion, goal_drift","dens_proximity, weak_boundaries, isolation","high_integration, trust_maintenance, horizon_expansion",none,uncommon,197,clustered,"trust_decline, coordination_failure, delegation_breakdown",horizon_narrowing,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Endless Wandering, Sudden Boundary Collapse, Attractor Switching Disorder",variable_often_serious,entity_replacement,moderate,moderate,True,"trust_rebuilding, reorganization",experimental,fair,Healing Institute,928,Healing Institute's framework for modular agency,ingression_failure_cascade,partially_understood,"Reciprocity Breach, Component Defection, Exploitation Pattern",Constellation Dissolution,,,"Vorn Year 930, Healing Institute Year 928",0.9,Year 930,
PT-0065,Communication Collapse (Variant 64),modular_agency,,functional,modular agency,gradual,progressive,variable,variable,"reciprocity_failure, trust_erosion, goal_drift","boundary_instability, pattern_degradation, aging","early_intervention, adequate_resources, skilled_healer",moderate_positive,rare,6,clustered,"trust_decline, coordination_failure, delegation_breakdown",trust_decline,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Resonance Lock, Selective Permeability Failure, Basin Inaccessibility",variable_often_serious,complete_dissolution,moderate,moderate,False,,none,poor,Field Observer,937,Field Observer's framework for modular agency,ingression_failure_cascade,partially_understood,"Delegation Breakdown, Component Defection, Reciprocity Breach",Navigation Ghost Interference,Development Derailment,,"Vorn Year 930, Field Observer Year 937",0.71,Year 934,
PT-0066,Goal Conflict Syndrome (Variant 65),modular_agency,,functional,modular agency,triggered,variable,acute,variable,"reciprocity_failure, trust_erosion, goal_drift","boundary_instability, pattern_degradation, aging","strong_boundaries, social_support, distance_from_dens",weak_positive,uncommon,103,uniform,"trust_decline, coordination_failure, delegation_breakdown",occasional_foreign_thoughts,"At least 2 of: trust_decline, coordination_failure, delegation_breakdown","Gradual Boundary Weakening, Endless Wandering, Attractor Switching Disorder",variable_often_serious,entity_replacement,moderate,moderate,False,,none,very_poor,Healing Institute,932,Healing Institute's framework for modular agency,boundary_degradation_cascade,partially_understood,"Exploitation Pattern, Component Defection, Delegation Breakdown",,,,"Vorn Year 930, Healing Institute Year 932",0.77,Year 930,
PT-0067,Substrate Rejection (Variant 66),ingression_mechanics,,structural,ingression mechanics,oscillating,stable,subacute,moderate_to_severe,"barrier_thickness, competing_forms, observer_effect","dens_proximity, weak_boundaries, isolation","high_integration, trust_maintenance, horizon_expansion",strong_positive,uncommon,149,dens_proximate,"manifestation_failure, fidelity_loss, blocked_expression",horizon_narrowing,"At least 2 of: manifestation_failure, fidelity_loss, blocked_expression","Attractor Switching Disorder, Ridge Dissolution, Basin Escape Failure",variable_often_serious,permanent_disability,high,low,False,,none,poor,Field Observer,933,Field Observer's framework for ingression mechanics,pattern_interference_loop,poorly_understood,"Barrier Blocking, Fidelity Degradation, Ingression Rate Failure",,Dens-Proximity Horizon Shrinkage,IN-0001,"Vorn Year 930, Field Observer Year 933",0.76,Year 932,
PT-0068,Resonance Lock (Variant 67),attractor_navigation,,functional,attractor navigation,sudden,variable,acute,mild_to_moderate,"signal_noise, boundary_interference, horizon_shrinkage","dens_proximity, weak_boundaries, isolation","high_integration, trust_maintenance, horizon_expansion",moderate_positive,uncommon,117,dens_proximate,"disorientation, wandering, arrival_confusion",navigation_hesitation,"At least 2 of: disorientation, wandering, arrival_confusion","Gradient Blindness, Basin Escape Failure, Basin Inaccessibility",variable_often_serious,complete_dissolution,moderate,low,True,"navigation_recalibration, resonance_retuning",experimental,poor,Healing Institute,926,Healing Institute's framework for attractor navigation,ingression_failure_cascade,well_understood,"Resonance Lock, Gradient Blindness, False Arrival Syndrome",,Absorption Syndrome,AT-0001,"Vorn Year 930, Healing Institute Year 926",0.69,Year 930,
