equilibrium_id,equilibrium_name,entity_ids,entity_count,equilibrium_type,stability_score,restoration_rate,net_tension,sympathetic_force_total,antipathetic_force_total,force_ratio,centroid_x,centroid_y,centroid_z,spatial_extent,formation_year,persistence_years,perturbation_count,documented_by,documentation_method,confidence,description,notes
TE-0105,The Quintic Equilibrium,"MS-0027,MS-0058,MS-0097",3,triadic,0.52,0.5,0.1723,2.62,1.85,1.416,0.5837,0.7323,-0.6671,0.162,1846,18,0,Archive Survey Team,constellation_mapping,0.61,Triadic equilibrium involving 3 entities.,
TE-0106,,"MS-0110,MS-0067,MS-0012,MS-0133,MS-0109,MS-0105,MS-0042,MS-0052",8,cluster,0.82,0.75,0.1204,1.68,2.14,0.785,-0.0136,0.063,0.2969,0.301,930,55,11,P. Tross,tension_analysis,0.72,Cluster equilibrium involving 8 entities.,
TE-0107,The Central Tension,"MS-0031,MS-0078,MS-0055,EN-005,MS-0067",5,cluster,0.93,0.77,0.0151,7.49,7.72,0.97,0.5823,0.3288,-0.4847,0.217,1847,14,0,Constellation Survey,stability_testing,0.86,Cluster equilibrium involving 5 entities.,
TE-0108,The Breathing Balance,"MS-0087,MS-0098",2,dyadic,0.63,0.5,0.0043,5.89,5.84,1.009,0.4509,-0.5661,-0.6488,0.126,918,27,3,Constellation Survey,mathematical_derivation,0.76,Dyadic equilibrium involving 2 entities.,
TE-0109,,"MS-0006,MS-0127",2,dyadic,0.51,0.5,0.0372,3.62,3.9,0.928,-0.3732,0.1151,0.3734,0.102,918,96,11,K. Strand,historical_persistence,0.78,Dyadic equilibrium involving 2 entities.,
TE-0110,,"MS-0053,MS-0139,MS-0007,MS-0081,MS-0075,MS-0095,MS-0087",7,cluster,0.72,0.71,0.0919,4.15,4.99,0.832,-0.4477,0.5017,-0.3221,0.331,1836,87,5,T. Vells,stability_testing,0.76,Cluster equilibrium involving 7 entities.,
TE-0111,,"MS-0006,MS-0134,MS-0005",3,triadic,0.53,0.45,0.1175,7.06,8.94,0.79,-0.7706,-0.0411,0.7157,0.152,915,47,3,Constellation Survey,mathematical_derivation,0.74,Triadic equilibrium involving 3 entities.,
TE-0112,Deep Stable Configuration,"MS-0113,EN-010",2,dyadic,0.54,0.48,0.1073,3.25,2.62,1.24,0.635,-0.0962,-0.1845,0.15,1832,58,0,Constellation Survey,tension_analysis,0.86,Dyadic equilibrium involving 2 entities.,
TE-0113,,"MS-0099,MS-0097",2,dyadic,0.52,0.45,0.1092,1.32,1.06,1.245,0.6027,-0.2565,-0.4515,0.237,925,86,15,K. Strand,constellation_mapping,0.71,Dyadic equilibrium involving 2 entities.,
TE-0114,The Triadic Tension,"MS-0002,MS-0070,EN-012",3,triadic,0.52,0.41,0.0523,1.72,1.91,0.901,-0.338,0.2916,0.525,0.159,1835,62,0,P. Tross,stability_testing,0.6,Triadic equilibrium involving 3 entities.,
TE-0115,Binary Stable Configuration,"MS-0110,MS-0057,EN-005",3,triadic,0.84,0.89,0.0661,4.8,5.48,0.876,-0.1065,-0.5699,0.7817,0.177,929,33,1,Constellation Survey,mathematical_derivation,0.68,Triadic equilibrium involving 3 entities.,
TE-0116,Binary Stable Configuration,"EN-001,MS-0141,MS-0146,MS-0101,MS-0022,MS-0038",6,cluster,0.94,0.76,0.0548,4.14,3.71,1.116,0.1736,-0.4181,0.0771,0.175,926,45,2,T. Vells,constellation_mapping,0.64,Cluster equilibrium involving 6 entities.,
TE-0117,,"EN-005,MS-0051,MS-0144,EN-011",4,cluster,0.63,0.59,0.0858,5.22,6.2,0.842,-0.2863,0.7478,0.3535,0.214,917,48,7,K. Strand,mathematical_derivation,0.6,Cluster equilibrium involving 4 entities.,
TE-0118,,"MS-0105,MS-0123",2,dyadic,0.57,0.46,0.1021,4.31,5.29,0.815,-0.3252,-0.2965,0.3656,0.239,918,88,0,Archive Survey Team,stability_testing,0.73,Dyadic equilibrium involving 2 entities.,
TE-0119,The Northern Balance,"MS-0018,EN-006",2,dyadic,0.52,0.39,0.0225,5.23,5.0,1.046,-0.636,-0.0095,0.5342,0.134,926,51,2,Archive Survey Team,constellation_mapping,0.73,Dyadic equilibrium involving 2 entities.,
TE-0120,,"MS-0106,MS-0091,MS-0139",3,triadic,0.6,0.49,0.087,6.87,8.18,0.84,0.0288,-0.2529,0.6534,0.146,922,36,4,K. Strand,stability_testing,0.67,Triadic equilibrium involving 3 entities.,
TE-0121,,"MS-0105,MS-0029,MS-0006,MS-0044,MS-0102,MS-0141,MS-0020,MS-0014,MS-0122,EN-010",10,constellation,0.62,0.45,0.1224,4.48,5.73,0.782,0.7315,0.3488,-0.7172,0.305,1848,44,3,P. Tross,historical_persistence,0.82,Constellation equilibrium involving 10 entities.,
TE-0122,,"MS-0031,MS-0141,MS-0080,MS-0055,MS-0059,MS-0106,MS-0055",7,cluster,0.65,0.54,0.075,1.48,1.72,0.86,0.2158,-0.489,-0.0532,0.223,920,54,6,Archive Survey Team,tension_analysis,0.65,Cluster equilibrium involving 7 entities.,
TE-0123,,"MS-0014,MS-0123,EN-010",3,triadic,0.9,0.81,0.0031,4.89,4.86,1.006,0.4298,0.5902,-0.6759,0.159,921,13,0,T. Vells,tension_analysis,0.68,Triadic equilibrium involving 3 entities.,
TE-0124,,"EN-007,MS-0014",2,dyadic,0.73,0.79,0.1642,7.41,5.32,1.393,-0.1524,-0.0395,0.7504,0.219,1850,67,12,T. Vells,stability_testing,0.94,Dyadic equilibrium involving 2 entities.,
TE-0125,,"EN-010,MS-0071",2,dyadic,0.67,0.72,0.0211,6.79,6.51,1.043,0.6406,-0.11,0.6753,0.151,913,39,1,T. Vells,constellation_mapping,0.67,Dyadic equilibrium involving 2 entities.,
TE-0126,,"MS-0099,MS-0119",2,dyadic,0.74,0.54,0.0986,4.39,5.35,0.821,0.0616,0.7063,-0.4886,0.141,928,96,10,T. Vells,constellation_mapping,0.57,Dyadic equilibrium involving 2 entities.,
TE-0127,The Northern Stand,"EN-012,MS-0099,MS-0030,MS-0057,MS-0081,EN-006,MS-0048",7,cluster,0.58,0.55,0.0535,6.37,7.09,0.898,0.412,-0.6134,0.5595,0.219,930,73,4,K. Strand,tension_analysis,0.81,Cluster equilibrium involving 7 entities.,
TE-0128,,"EN-005,MS-0131",2,dyadic,0.56,0.54,0.0714,1.56,1.8,0.867,0.2312,0.1578,-0.1522,0.167,916,11,0,T. Vells,mathematical_derivation,0.66,Dyadic equilibrium involving 2 entities.,
TE-0129,,"MS-0038,MS-0104",2,dyadic,0.88,0.66,0.1176,2.25,2.85,0.789,0.6967,-0.0324,-0.5858,0.142,1842,65,6,P. Tross,tension_analysis,0.92,Dyadic equilibrium involving 2 entities.,
TE-0130,,"EN-009,MS-0063,MS-0086,EN-003,MS-0044,MS-0090,MS-0102,MS-0010",8,cluster,0.5,0.42,0.108,5.49,4.42,1.242,-0.2514,0.3025,-0.7854,0.344,924,50,9,P. Tross,stability_testing,0.62,Cluster equilibrium involving 8 entities.,
TE-0131,The Deep Balance,"EN-012,MS-0091,MS-0015,MS-0114,MS-0124,MS-0015",6,nested,0.42,0.3,0.1235,5.32,4.15,1.282,0.108,-0.2644,-0.3546,0.29,919,100,10,P. Tross,constellation_mapping,0.64,Nested equilibrium involving 6 entities.,
TE-0132,,"MS-0125,MS-0032,EN-011",3,triadic,0.71,0.67,0.0377,6.75,6.26,1.078,-0.4944,-0.5983,-0.3934,0.113,1843,38,2,Constellation Survey,stability_testing,0.57,Triadic equilibrium involving 3 entities.,
TE-0133,The Breathing Stand,"MS-0131,MS-0045",2,dyadic,0.56,0.59,0.175,4.7,3.3,1.424,-0.6325,-0.5051,0.3326,0.202,1839,43,4,T. Vells,tension_analysis,0.82,Dyadic equilibrium involving 2 entities.,
TE-0134,,"MS-0142,MS-0087,MS-0070,MS-0091,EN-003,MS-0045,MS-0093,EN-008",8,constellation,0.58,0.6,0.025,6.44,6.77,0.951,0.7041,-0.2239,0.6707,0.266,913,79,9,K. Strand,constellation_mapping,0.81,Constellation equilibrium involving 8 entities.,
TE-0135,,"MS-0099,MS-0062",2,dyadic,0.88,0.75,0.1361,5.3,4.03,1.315,0.7686,0.0638,0.3276,0.228,1831,58,9,P. Tross,historical_persistence,0.87,Dyadic equilibrium involving 2 entities.,
TE-0136,,"MS-0135,MS-0034,EN-010",3,triadic,0.53,0.47,0.09,1.09,0.91,1.198,0.6553,-0.0729,-0.7753,0.132,916,78,4,P. Tross,historical_persistence,0.94,Triadic equilibrium involving 3 entities.,
TE-0137,,"MS-0137,MS-0114,MS-0061,MS-0075,MS-0134,MS-0073,MS-0132",7,cluster,0.53,0.58,0.0364,1.71,1.59,1.075,-0.2712,-0.3511,-0.6181,0.281,928,38,3,P. Tross,tension_analysis,0.6,Cluster equilibrium involving 7 entities.,
TE-0138,The Quintic Equilibrium,"MS-0050,MS-0089",2,dyadic,0.68,0.62,0.0057,7.83,7.92,0.989,0.4851,0.5618,0.286,0.113,927,13,2,P. Tross,tension_analysis,0.87,Dyadic equilibrium involving 2 entities.,
TE-0139,The Outer Equilibrium,"EN-007,MS-0136",2,dyadic,0.78,0.71,0.0691,7.14,8.2,0.871,0.1289,0.7689,0.1129,0.22,920,56,10,T. Vells,stability_testing,0.61,Dyadic equilibrium involving 2 entities.,
TE-0140,,"MS-0080,MS-0110,MS-0120,EN-012,MS-0145",5,cluster,0.61,0.46,0.1274,4.52,5.84,0.774,-0.5901,-0.6152,-0.1593,0.273,915,67,4,Archive Survey Team,historical_persistence,0.85,Cluster equilibrium involving 5 entities.,
TE-0141,,"EN-009,MS-0108",2,dyadic,0.58,0.56,0.0988,2.28,2.78,0.82,-0.1486,-0.2387,-0.2814,0.139,1850,27,2,T. Vells,tension_analysis,0.67,Dyadic equilibrium involving 2 entities.,
TE-0142,,"MS-0073,MS-0018",2,dyadic,0.51,0.45,0.1704,3.64,2.58,1.411,0.4798,0.2359,0.4943,0.2,927,72,0,K. Strand,stability_testing,0.61,Dyadic equilibrium involving 2 entities.,
TE-0143,,"MS-0030,EN-006,MS-0140",3,triadic,0.7,0.57,0.1126,2.57,2.05,1.254,0.3031,-0.4906,-0.2249,0.199,929,74,9,Archive Survey Team,tension_analysis,0.93,Triadic equilibrium involving 3 entities.,
TE-0144,,"MS-0031,MS-0096,MS-0086",3,triadic,0.62,0.52,0.1125,6.98,8.75,0.798,-0.4786,0.4402,-0.7623,0.222,930,47,1,Constellation Survey,tension_analysis,0.82,Triadic equilibrium involving 3 entities.,
TE-0145,,"MS-0061,MS-0020,MS-0131,MS-0111",4,cluster,0.65,0.55,0.1184,3.35,4.25,0.788,0.1767,0.4367,-0.6506,0.28,1839,22,1,T. Vells,tension_analysis,0.6,Cluster equilibrium involving 4 entities.,
TE-0146,,"MS-0081,EN-006",2,dyadic,0.95,0.83,0.0675,4.56,5.22,0.874,0.4843,0.0282,-0.0435,0.223,930,82,13,K. Strand,historical_persistence,0.52,Dyadic equilibrium involving 2 entities.,
TE-0147,,"MS-0104,EN-004,MS-0109,EN-009,MS-0140",5,cluster,0.5,0.42,0.0442,4.32,4.72,0.915,-0.3589,0.5424,0.5682,0.161,913,39,4,K. Strand,tension_analysis,0.79,Cluster equilibrium involving 5 entities.,
TE-0148,,"EN-001,EN-010,MS-0092,MS-0072,MS-0149,MS-0050,MS-0046",7,cluster,0.71,0.53,0.0238,3.9,4.09,0.954,-0.519,-0.665,0.6614,0.279,1841,91,18,P. Tross,stability_testing,0.74,Cluster equilibrium involving 7 entities.,
TE-0149,,"MS-0024,MS-0053,EN-005,MS-0136,MS-0089,EN-007",6,cluster,0.83,0.82,0.1373,5.59,4.24,1.318,-0.067,0.6211,0.134,0.24,1833,11,2,T. Vells,constellation_mapping,0.56,Cluster equilibrium involving 6 entities.,
TE-0150,,"MS-0109,MS-0101",2,dyadic,0.64,0.46,0.0593,1.27,1.43,0.888,-0.6521,0.2987,-0.7592,0.138,1831,80,1,K. Strand,tension_analysis,0.69,Dyadic equilibrium involving 2 entities.,
TE-0151,,"MS-0109,EN-012,EN-010,MS-0078,EN-003,MS-0125,MS-0060,MS-0043",8,constellation,0.41,0.38,0.0187,1.84,1.91,0.963,0.0302,0.5273,0.6228,0.269,927,49,9,T. Vells,historical_persistence,0.83,Constellation equilibrium involving 8 entities.,
TE-0152,The Central Stand,"MS-0065,MS-0038,MS-0093,EN-001,EN-010,EN-003,MS-0042,MS-0142",8,constellation,0.32,0.33,0.0478,3.18,2.89,1.1,-0.7281,-0.2403,0.6823,0.309,918,81,14,P. Tross,constellation_mapping,0.89,Constellation equilibrium involving 8 entities.,
TE-0153,Southern Stable Configuration,"MS-0084,MS-0085,MS-0085,EN-004,EN-004",5,nested,0.58,0.54,0.1149,2.31,2.91,0.794,-0.1795,-0.6663,0.722,0.291,1832,16,1,Archive Survey Team,stability_testing,0.66,Nested equilibrium involving 5 entities.,
TE-0154,,"MS-0125,MS-0041",2,dyadic,0.66,0.71,0.122,7.05,9.01,0.782,0.6069,0.7736,0.126,0.115,915,36,4,T. Vells,tension_analysis,0.73,Dyadic equilibrium involving 2 entities.,
TE-0155,,"MS-0111,MS-0144",2,dyadic,0.64,0.55,0.045,4.14,4.53,0.914,-0.7659,-0.5854,0.5207,0.204,912,67,0,Constellation Survey,stability_testing,0.83,Dyadic equilibrium involving 2 entities.,
TE-0156,,"MS-0086,EN-004,MS-0085",3,triadic,0.54,0.56,0.072,1.34,1.16,1.155,-0.1126,0.1093,0.7377,0.196,1834,94,3,K. Strand,constellation_mapping,0.78,Triadic equilibrium involving 3 entities.,
TE-0157,The Southern Stand,"EN-009,MS-0148,MS-0023,MS-0085,MS-0086,MS-0073,EN-002,MS-0093,MS-0144,MS-0066,MS-0138",11,constellation,0.46,0.49,0.0887,6.42,7.67,0.837,-0.2895,0.4206,0.6948,0.28,1839,77,2,Constellation Survey,historical_persistence,0.65,Constellation equilibrium involving 11 entities.,
TE-0158,Secondary Tension Field,"MS-0064,EN-007,EN-005,MS-0104,MS-0039,MS-0068",6,cluster,0.54,0.59,0.1142,6.1,4.85,1.258,-0.542,0.4459,0.5823,0.173,912,23,2,P. Tross,historical_persistence,0.65,Cluster equilibrium involving 6 entities.,
TE-0159,,"EN-010,MS-0101",2,dyadic,0.61,0.61,0.0787,6.37,5.44,1.171,0.5673,-0.582,0.592,0.093,916,89,2,T. Vells,tension_analysis,0.92,Dyadic equilibrium involving 2 entities.,
TE-0160,,"MS-0146,MS-0129,MS-0083,MS-0131,MS-0070,MS-0034,EN-005,EN-006",8,cluster,0.5,0.52,0.0242,6.57,6.26,1.05,0.433,0.6927,-0.3523,0.332,1843,5,1,T. Vells,tension_analysis,0.64,Cluster equilibrium involving 8 entities.,
TE-0161,Central Tension Field,"MS-0125,MS-0128,EN-006,MS-0114,MS-0126,MS-0031,MS-0112",7,cluster,0.59,0.49,0.031,3.44,3.66,0.94,-0.0463,-0.1775,-0.7749,0.253,912,89,3,Constellation Survey,historical_persistence,0.72,Cluster equilibrium involving 7 entities.,
TE-0162,The Breathing Tension,"MS-0001,MS-0138,MS-0051",3,triadic,0.52,0.42,0.0855,1.23,1.46,0.842,0.6945,-0.2321,-0.015,0.22,915,8,1,P. Tross,historical_persistence,0.54,Triadic equilibrium involving 3 entities.,
TE-0163,The Southern Balance,"MS-0015,MS-0081,MS-0142,MS-0106,MS-0051,MS-0008,MS-0073,MS-0125,MS-0136",9,constellation,0.65,0.55,0.0604,6.92,7.81,0.886,0.2624,0.207,0.7296,0.326,1847,29,5,Archive Survey Team,stability_testing,0.64,Constellation equilibrium involving 9 entities.,
TE-0164,,"MS-0147,MS-0077",2,dyadic,0.66,0.57,0.1139,7.92,6.3,1.257,-0.409,0.1674,0.1997,0.099,1833,41,0,T. Vells,constellation_mapping,0.88,Dyadic equilibrium involving 2 entities.,
TE-0165,,"MS-0130,EN-009,MS-0135,MS-0017,MS-0065,EN-008,MS-0069",7,cluster,0.82,0.68,0.0672,5.64,4.93,1.144,0.1777,-0.654,-0.076,0.289,921,64,8,T. Vells,historical_persistence,0.85,Cluster equilibrium involving 7 entities.,
TE-0166,,"EN-008,MS-0113,EN-008,MS-0122,MS-0029,MS-0070,MS-0001",7,cluster,0.79,0.57,0.0437,3.94,4.3,0.916,0.6657,-0.2639,-0.3443,0.274,923,50,9,Archive Survey Team,historical_persistence,0.62,Cluster equilibrium involving 7 entities.,
TE-0167,,"MS-0005,EN-001,MS-0006,MS-0139,EN-012",5,nested,0.34,0.32,0.0886,1.72,1.44,1.194,0.1433,-0.3219,0.3416,0.231,918,65,9,Archive Survey Team,historical_persistence,0.9,Nested equilibrium involving 5 entities.,
TE-0168,,"MS-0105,MS-0113,MS-0147,MS-0137,MS-0074",5,cluster,0.79,0.8,0.0147,1.34,1.38,0.971,-0.0645,-0.4262,-0.6831,0.24,1833,26,3,P. Tross,historical_persistence,0.89,Cluster equilibrium involving 5 entities.,
TE-0169,The Triadic Balance,"MS-0119,MS-0055,MS-0126",3,triadic,0.82,0.9,0.0054,3.69,3.65,1.011,0.6113,0.3453,0.4916,0.25,1839,78,1,P. Tross,stability_testing,0.84,Triadic equilibrium involving 3 entities.,
TE-0170,,"MS-0131,MS-0143,MS-0100,EN-001,MS-0144,MS-0015,MS-0039,MS-0021,MS-0140,MS-0057",10,constellation,0.33,0.36,0.0696,1.07,1.23,0.87,-0.5868,0.268,0.304,0.313,1849,45,6,T. Vells,tension_analysis,0.54,Constellation equilibrium involving 10 entities.,
TE-0171,The Ancient Tension,"MS-0054,MS-0085",2,dyadic,0.81,0.79,0.0684,6.06,6.95,0.872,-0.6952,-0.0268,0.3441,0.102,1835,20,4,Archive Survey Team,stability_testing,0.7,Dyadic equilibrium involving 2 entities.,
TE-0172,,"MS-0022,MS-0081,MS-0048,MS-0097,EN-002,MS-0118,EN-007,MS-0111",8,constellation,0.58,0.61,0.0056,1.76,1.78,0.989,-0.7874,-0.7477,0.1448,0.314,1842,89,12,P. Tross,stability_testing,0.87,Constellation equilibrium involving 8 entities.,
TE-0173,,"MS-0053,MS-0028,MS-0002",3,triadic,0.65,0.62,0.0891,5.16,6.17,0.836,0.4831,-0.7032,-0.4773,0.229,922,86,4,K. Strand,constellation_mapping,0.54,Triadic equilibrium involving 3 entities.,
TE-0174,,"EN-009,EN-008,MS-0087,MS-0065,MS-0008,MS-0096",6,cluster,0.81,0.58,0.0773,5.49,6.41,0.856,-0.0202,0.1399,0.3719,0.18,1848,100,4,Archive Survey Team,mathematical_derivation,0.65,Cluster equilibrium involving 6 entities.,
TE-0175,,"MS-0142,MS-0109",2,dyadic,0.67,0.7,0.1265,4.32,3.35,1.29,-0.7626,0.101,-0.6591,0.225,1850,62,12,T. Vells,stability_testing,0.56,Dyadic equilibrium involving 2 entities.,
TE-0176,Triadic Tension Field,"MS-0127,MS-0005,MS-0127,MS-0123,MS-0120",5,nested,0.34,0.25,0.1601,6.74,4.88,1.381,0.3314,-0.7643,0.0398,0.289,927,30,3,T. Vells,tension_analysis,0.88,Nested equilibrium involving 5 entities.,
TE-0177,The Triadic Balance,"MS-0050,MS-0021,MS-0013,EN-007",4,cluster,0.83,0.89,0.0224,1.09,1.14,0.956,0.0965,0.6835,-0.2818,0.278,1840,95,11,T. Vells,tension_analysis,0.74,Cluster equilibrium involving 4 entities.,
TE-0178,The Southern Stand,"MS-0112,EN-008,MS-0118,MS-0029,MS-0103,EN-002,MS-0112",7,cluster,0.7,0.65,0.0851,5.43,6.44,0.843,0.5762,0.7941,-0.7265,0.301,912,28,2,K. Strand,mathematical_derivation,0.78,Cluster equilibrium involving 7 entities.,
TE-0179,,"MS-0087,MS-0126,EN-003,MS-0071,MS-0113,MS-0145",6,cluster,0.82,0.85,0.1058,1.69,2.09,0.809,-0.7294,-0.7605,-0.1928,0.206,1843,68,10,T. Vells,stability_testing,0.89,Cluster equilibrium involving 6 entities.,
TE-0180,,"EN-010,MS-0024",2,dyadic,0.84,0.66,0.0371,7.83,7.27,1.077,0.0271,-0.248,-0.3588,0.105,923,53,2,Constellation Survey,constellation_mapping,0.57,Dyadic equilibrium involving 2 entities.,
TE-0181,The Shallow Balance,"EN-005,MS-0102,MS-0116,MS-0086",4,nested,0.35,0.38,0.1647,3.5,2.51,1.394,-0.3236,0.0852,0.7788,0.148,1844,55,0,Archive Survey Team,tension_analysis,0.74,Nested equilibrium involving 4 entities.,
TE-0182,,"MS-0145,MS-0140,MS-0121,MS-0077",4,nested,0.46,0.39,0.1198,4.48,5.7,0.786,-0.5251,0.2179,-0.1074,0.175,913,24,2,P. Tross,mathematical_derivation,0.66,Nested equilibrium involving 4 entities.,
TE-0183,The Ancient Stand,"MS-0050,MS-0138",2,dyadic,0.9,0.67,0.03,3.26,3.07,1.062,0.6193,0.7764,0.4638,0.111,930,71,0,P. Tross,mathematical_derivation,0.71,Dyadic equilibrium involving 2 entities.,
TE-0184,,"MS-0018,MS-0122,MS-0092",3,triadic,0.51,0.51,0.0884,7.89,9.42,0.838,0.2726,0.7434,0.7441,0.127,917,28,0,T. Vells,stability_testing,0.91,Triadic equilibrium involving 3 entities.,
TE-0185,,"MS-0028,MS-0104",2,dyadic,0.54,0.4,0.1302,6.9,5.31,1.299,0.1404,-0.7347,0.153,0.203,923,14,0,P. Tross,historical_persistence,0.59,Dyadic equilibrium involving 2 entities.,
TE-0186,Southern Tension Field,"MS-0007,EN-002,MS-0003,MS-0148,EN-005,EN-004",6,nested,0.65,0.68,0.1683,7.08,5.04,1.405,-0.7772,-0.3182,-0.4024,0.232,915,89,10,Constellation Survey,tension_analysis,0.74,Nested equilibrium involving 6 entities.,
TE-0187,,"MS-0146,MS-0016,MS-0063,EN-006,MS-0021,MS-0049,MS-0142,MS-0039,EN-006,EN-004,EN-004",11,constellation,0.53,0.38,0.0561,3.28,3.67,0.894,0.6426,0.2003,0.038,0.353,917,48,9,Archive Survey Team,historical_persistence,0.64,Constellation equilibrium involving 11 entities.,
TE-0188,The Ancient Equilibrium,"MS-0121,MS-0093,MS-0034,MS-0101,MS-0139,MS-0072",6,cluster,0.83,0.69,0.0725,7.69,6.65,1.156,-0.2911,0.7366,-0.6348,0.287,922,63,9,P. Tross,constellation_mapping,0.57,Cluster equilibrium involving 6 entities.,
TE-0189,,"MS-0029,EN-006,MS-0144,MS-0121,MS-0063,EN-008",6,cluster,0.67,0.62,0.0984,1.1,1.34,0.821,0.3583,-0.666,0.1288,0.3,1840,62,2,T. Vells,historical_persistence,0.79,Cluster equilibrium involving 6 entities.,
TE-0190,,"MS-0083,MS-0001,MS-0033",3,triadic,0.76,0.68,0.0957,5.04,4.16,1.212,0.3228,-0.5298,0.259,0.146,1833,23,4,P. Tross,tension_analysis,0.68,Triadic equilibrium involving 3 entities.,
TE-0191,,"MS-0025,EN-009,MS-0033",3,triadic,0.93,0.73,0.113,3.94,3.14,1.255,0.154,-0.207,-0.2688,0.119,1833,91,14,T. Vells,constellation_mapping,0.78,Triadic equilibrium involving 3 entities.,
TE-0192,The Stable Balance,"MS-0142,MS-0073,MS-0132",3,triadic,0.58,0.41,0.0264,6.83,7.2,0.949,0.7642,-0.2933,-0.7427,0.126,917,19,1,Constellation Survey,mathematical_derivation,0.64,Triadic equilibrium involving 3 entities.,
TE-0193,Outer Tension Field,"MS-0080,MS-0046,MS-0042,MS-0034",4,cluster,0.58,0.55,0.0853,4.07,3.43,1.187,0.4606,-0.5277,0.1057,0.276,1835,75,13,T. Vells,historical_persistence,0.87,Cluster equilibrium involving 4 entities.,
TE-0194,,"MS-0090,EN-007",2,dyadic,0.53,0.52,0.0574,5.01,5.62,0.891,0.6025,0.2328,0.5497,0.154,921,33,1,T. Vells,historical_persistence,0.54,Dyadic equilibrium involving 2 entities.,
TE-0195,,"MS-0140,EN-005,MS-0108",3,triadic,0.51,0.44,0.0299,3.62,3.41,1.062,0.2455,-0.0119,0.7424,0.182,927,60,2,T. Vells,tension_analysis,0.83,Triadic equilibrium involving 3 entities.,
TE-0196,,"MS-0144,EN-007,MS-0034",3,triadic,0.51,0.42,0.1584,2.34,1.7,1.376,0.6902,-0.2459,0.4541,0.154,921,21,3,Archive Survey Team,historical_persistence,0.8,Triadic equilibrium involving 3 entities.,
TE-0197,,"MS-0036,EN-004",2,dyadic,0.56,0.6,0.1039,4.78,3.88,1.232,-0.1538,-0.4259,0.7866,0.218,914,67,8,T. Vells,stability_testing,0.71,Dyadic equilibrium involving 2 entities.,
TE-0198,The Inner Tension,"MS-0105,MS-0120",2,dyadic,0.69,0.54,0.0247,6.64,6.32,1.051,-0.1154,-0.377,-0.3659,0.191,923,69,11,Archive Survey Team,tension_analysis,0.74,Dyadic equilibrium involving 2 entities.,
TE-0199,,"MS-0143,EN-003,EN-012,MS-0098,EN-003,MS-0122,MS-0090,MS-0012,EN-006",9,constellation,0.51,0.5,0.0,2.33,2.33,1.0,-0.0722,-0.2797,-0.4581,0.295,1832,100,15,K. Strand,constellation_mapping,0.62,Constellation equilibrium involving 9 entities.,
TE-0200,The Secondary Tension,"EN-012,MS-0047",2,dyadic,0.92,0.91,0.0085,1.19,1.17,1.017,0.6572,-0.6474,-0.2057,0.149,925,70,14,T. Vells,constellation_mapping,0.64,Dyadic equilibrium involving 2 entities.,
TE-0201,,"MS-0007,EN-008,MS-0112,MS-0051,MS-0144,MS-0096,MS-0007,MS-0038,MS-0095",9,constellation,0.56,0.39,0.1313,2.24,1.72,1.302,0.2297,0.2706,-0.0261,0.322,1843,26,4,T. Vells,mathematical_derivation,0.92,Constellation equilibrium involving 9 entities.,
TE-0202,,"MS-0015,MS-0049,MS-0003,MS-0066,MS-0094,MS-0080,EN-006,MS-0054",8,constellation,0.68,0.65,0.0556,6.65,5.95,1.118,-0.0877,-0.1779,0.4722,0.285,929,81,7,Archive Survey Team,mathematical_derivation,0.76,Constellation equilibrium involving 8 entities.,
TE-0203,,"MS-0066,MS-0082",2,dyadic,0.9,0.95,0.1284,4.21,5.45,0.772,-0.5078,0.1978,-0.3093,0.193,916,95,13,P. Tross,stability_testing,0.66,Dyadic equilibrium involving 2 entities.,
TE-0204,,"MS-0130,MS-0148,MS-0026",3,nested,0.55,0.43,0.0763,2.12,2.47,0.858,-0.0459,-0.4455,0.6575,0.209,925,39,2,K. Strand,stability_testing,0.66,Nested equilibrium involving 3 entities.,
TE-0205,,"MS-0013,MS-0092,MS-0080,MS-0101,EN-004,EN-009,EN-005",7,cluster,0.78,0.81,0.0638,7.7,8.75,0.88,0.2578,-0.1644,-0.1976,0.242,1851,79,0,T. Vells,historical_persistence,0.93,Cluster equilibrium involving 7 entities.,
TE-0206,,"MS-0133,MS-0111,EN-005,MS-0007,MS-0019",5,nested,0.3,0.31,0.123,5.34,4.17,1.281,-0.3388,-0.3233,0.5876,0.247,919,84,10,Constellation Survey,mathematical_derivation,0.61,Nested equilibrium involving 5 entities.,
TE-0207,,"MS-0049,EN-008,EN-010,EN-010,MS-0076,MS-0094,MS-0081,MS-0036",8,cluster,0.58,0.54,0.011,4.15,4.06,1.022,0.3634,0.2911,-0.2847,0.33,1837,13,1,Constellation Survey,constellation_mapping,0.94,Cluster equilibrium involving 8 entities.,
TE-0208,The Triadic Balance,"MS-0091,MS-0107,MS-0064,MS-0025",4,cluster,0.84,0.65,0.0264,2.21,2.33,0.948,-0.626,0.181,-0.1263,0.132,930,68,4,T. Vells,stability_testing,0.71,Cluster equilibrium involving 4 entities.,
TE-0209,,"MS-0005,MS-0124",2,dyadic,0.67,0.52,0.1005,4.05,3.31,1.224,-0.774,0.5586,-0.2285,0.207,1837,70,10,T. Vells,tension_analysis,0.86,Dyadic equilibrium involving 2 entities.,
