expansion_id,case_name,entity_type,entity_id,entity_scale,initial_temporal_days,initial_spatial_km,initial_social_individuals,initial_abstract_score,initial_profile,final_temporal_days,final_spatial_km,final_social_individuals,final_abstract_score,final_profile,primary_dimension_expanded,expansion_magnitude,expansion_duration_days,expansion_trigger,expansion_mechanism,expansion_year,dens_proximity_km,social_support_level,expansion_stable,reversion_occurred,final_stability,documenter,documentation_method,confidence,description,strand_case_reference,notes
HE-0091,Expansion Case 91,creature,,small_group,159.0,13.43,4,0.37,standard_student,2143.8,116.54,186,0.81,standard_worker,social,1.09,393,relationship,horizon_transfer,928,329.8,strong,True,False,permanent,R. Voss,behavioral_observation,0.94,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0092,Expansion Case 92,collective,ENT-906,large_collective,35.8,42.16,0,0.33,standard_student,1499.2,199.74,77,0.79,standard_worker,social,1.0,668,new_purpose,horizon_transfer,935,54.2,strong,False,True,reverting,P. Anster,pre_post_assessment,0.94,Horizon expansion triggered by new_purpose via horizon_transfer,,
HE-0093,Expansion Case 93,creature,ENT-740,small_group,124.9,16.72,12,0.39,collapsed,6114.6,75.71,527,0.75,standard_student,temporal,5.13,983,relationship,horizon_transfer,889,477.4,strong,False,False,fluctuating,K. Strand,behavioral_observation,0.59,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0094,Expansion Case 94,collective,,large_collective,356.6,47.28,15,0.02,collapsed,12524.6,457.41,419,0.13,standard_worker,temporal,8.85,4,new_purpose,sudden_insight,924,426.5,moderate,True,True,reverting,Boundary Commission,retrospective_interview,0.78,Horizon expansion triggered by new_purpose via sudden_insight,,
HE-0095,Expansion Case 95,collective,ENT-718,large_collective,128.4,27.54,15,0.21,standard_student,4906.6,247.97,477,0.55,standard_student,temporal,8.89,416,relationship,horizon_transfer,909,396.1,moderate,True,False,stable,Boundary Commission,behavioral_observation,0.55,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0096,Expansion Case 96,person,,individual,240.7,42.65,18,0.38,standard_worker,4316.8,253.34,50,0.85,standard_student,temporal,1.52,191,collective_membership,horizon_transfer,880,433.6,strong,True,False,permanent,K. Strand,retrospective_interview,0.85,Horizon expansion triggered by collective_membership via horizon_transfer,,
HE-0097,Expansion Case 97,collective,ENT-217,large_collective,197.6,27.82,18,0.06,standard_student,2674.1,244.79,713,0.45,standard_student,social,5.81,937,developmental,institutional_embedding,895,356.4,moderate,True,False,permanent,Archive Survey Team,behavioral_observation,0.7,Horizon expansion triggered by developmental via institutional_embedding,,
HE-0098,Expansion Case 98,person,ENT-150,individual,93.7,42.29,7,0.1,survivor,4058.2,308.88,345,0.56,standard_student,social,6.87,403,education,scaffold_building,931,148.6,strong,False,False,permanent,Independent Observer,longitudinal_tracking,0.5,Horizon expansion triggered by education via scaffold_building,SC-38,
HE-0099,Expansion Case 99,collective,,large_collective,230.6,23.19,0,0.12,collapsed,8733.4,130.73,12,0.47,standard_worker,temporal,1.0,2696,developmental,gradual_accumulation,938,316.2,institutional,True,False,stable,T. Vells,longitudinal_tracking,0.94,Horizon expansion triggered by developmental via gradual_accumulation,,
HE-0100,Expansion Case 100,creature,ENT-811,large_collective,167.9,35.62,11,0.26,standard_student,5509.3,214.05,92,0.58,standard_worker,temporal,1.93,485,responsibility,scaffold_building,909,31.7,minimal,True,False,permanent,C. Vells,retrospective_interview,0.95,Horizon expansion triggered by responsibility via scaffold_building,,
HE-0101,Expansion Case 101,collective,ENT-109,large_collective,360.8,31.99,15,0.12,collapsed,16426.9,167.91,586,0.49,standard_worker,temporal,22.16,437,responsibility,institutional_embedding,934,219.2,institutional,False,True,permanent,Boundary Commission,pre_post_assessment,0.88,Horizon expansion triggered by responsibility via institutional_embedding,,
HE-0102,Expansion Case 102,person,ENT-739,individual,271.3,28.22,9,0.04,standard_student,11390.6,137.41,263,0.4,standard_worker,temporal,4.71,2,crisis_resolution,sudden_insight,904,135.9,minimal,True,False,stable,Boundary Commission,longitudinal_tracking,0.57,Horizon expansion triggered by crisis_resolution via sudden_insight,,
HE-0103,Expansion Case 103,person,ENT-705,individual,123.2,0.61,16,0.14,survivor,5609.9,2.69,570,0.3,standard_worker,temporal,1.0,587,education,gradual_accumulation,903,239.9,minimal,True,False,stable,R. Voss,pre_post_assessment,0.95,Horizon expansion triggered by education via gradual_accumulation,,
HE-0104,Expansion Case 104,collective,ENT-621,small_group,104.4,4.32,14,0.39,standard_student,2510.0,34.55,258,0.85,standard_worker,temporal,1.0,508,developmental,signal_restoration,886,404.9,moderate,True,False,stable,Archive Survey Team,retrospective_interview,0.89,Horizon expansion triggered by developmental via signal_restoration,,
HE-0105,Expansion Case 105,collective,ENT-652,large_collective,28.6,24.86,8,0.27,standard_student,260.4,233.29,196,0.4,caretaker,social,1.0,2424,collective_membership,gradual_accumulation,906,319.4,strong,False,False,fluctuating,Boundary Commission,pre_post_assessment,0.54,Horizon expansion triggered by collective_membership via gradual_accumulation,,
HE-0106,Expansion Case 106,person,ENT-998,individual,184.2,19.52,15,0.27,survivor,2775.5,169.4,517,0.7,standard_student,social,4.74,748,recovery,signal_restoration,883,409.4,minimal,False,True,permanent,T. Vells,retrospective_interview,0.73,Horizon expansion triggered by recovery via signal_restoration,,
HE-0107,Expansion Case 107,person,ENT-360,individual,273.9,9.12,0,0.08,survivor,11928.8,85.01,59,0.43,standard_student,social,1.0,16,crisis_resolution,sudden_insight,923,338.8,moderate,True,False,permanent,T. Vells,behavioral_observation,0.53,Horizon expansion triggered by crisis_resolution via sudden_insight,,
HE-0108,Expansion Case 108,collective,ENT-554,small_group,195.1,0.26,0,0.11,survivor,7642.2,1.17,96,0.58,visionary,social,1.0,216,collective_membership,signal_restoration,881,483.2,strong,False,False,fragile,R. Voss,pre_post_assessment,0.93,Horizon expansion triggered by collective_membership via signal_restoration,,
HE-0109,Expansion Case 109,person,ENT-726,individual,175.5,14.15,19,0.03,standard_student,359.3,80.84,756,0.18,caretaker,social,1.0,644,education,gradual_accumulation,918,280.1,strong,False,False,fragile,Boundary Commission,pre_post_assessment,0.76,Horizon expansion triggered by education via gradual_accumulation,SC-385,
HE-0110,Expansion Case 110,person,ENT-584,individual,137.3,41.69,2,0.29,survivor,551.7,149.91,17,0.48,standard_student,social,1.0,231,recovery,signal_restoration,891,120.3,moderate,True,True,fragile,Independent Observer,behavioral_observation,0.61,Horizon expansion triggered by recovery via signal_restoration,,
HE-0111,Expansion Case 111,collective,ENT-680,large_collective,129.3,41.99,15,0.21,standard_student,1229.0,386.75,520,0.62,caretaker,social,4.3,531,unknown,horizon_transfer,922,380.3,institutional,True,False,permanent,Archive Survey Team,retrospective_interview,0.54,Horizon expansion triggered by unknown via horizon_transfer,SC-461,
HE-0112,Expansion Case 112,person,ENT-411,individual,357.0,9.65,17,0.36,collapsed,1390.8,93.65,54,0.66,standard_worker,spatial,1.0,31,education,scaffold_building,930,32.6,minimal,True,False,permanent,Boundary Commission,pre_post_assessment,0.62,Horizon expansion triggered by education via scaffold_building,SC-265,
HE-0113,Expansion Case 113,creature,ENT-901,large_collective,161.4,4.75,5,0.04,collapsed,1019.1,12.14,152,0.48,standard_student,social,1.0,12,crisis_resolution,sudden_insight,905,395.6,minimal,True,False,stable,Independent Observer,retrospective_interview,0.63,Horizon expansion triggered by crisis_resolution via sudden_insight,,
HE-0114,Expansion Case 114,person,,individual,169.0,16.32,0,0.28,collapsed,2850.8,141.57,41,0.44,standard_student,social,1.0,1051,developmental,gradual_accumulation,920,286.5,moderate,True,False,stable,Independent Observer,behavioral_observation,0.77,Horizon expansion triggered by developmental via gradual_accumulation,,
HE-0115,Expansion Case 115,collective,,small_group,8.4,3.23,0,0.17,survivor,320.8,17.89,36,0.42,standard_worker,temporal,1.0,778,contemplation,horizon_transfer,934,124.8,strong,True,False,permanent,Boundary Commission,retrospective_interview,0.6,Horizon expansion triggered by contemplation via horizon_transfer,SC-427,
HE-0116,Expansion Case 116,person,,individual,262.7,31.56,6,0.13,collapsed,12901.1,62.67,109,0.52,visionary,temporal,1.37,27,crisis_resolution,sudden_insight,929,59.4,minimal,True,False,permanent,R. Voss,pre_post_assessment,0.79,Horizon expansion triggered by crisis_resolution via sudden_insight,SC-30,
HE-0117,Expansion Case 117,creature,ENT-648,small_group,209.2,27.61,2,0.14,survivor,1288.6,81.41,64,0.52,standard_worker,social,1.0,1,crisis_resolution,sudden_insight,935,97.6,institutional,False,True,permanent,P. Anster,retrospective_interview,0.84,Horizon expansion triggered by crisis_resolution via sudden_insight,,
HE-0118,Expansion Case 118,collective,,small_group,94.0,23.38,7,0.31,collapsed,4224.8,228.88,237,0.66,standard_worker,temporal,4.35,374,new_purpose,horizon_transfer,921,156.9,strong,True,True,fluctuating,Independent Observer,behavioral_observation,0.81,Horizon expansion triggered by new_purpose via horizon_transfer,SC-381,
HE-0119,Expansion Case 119,collective,,large_collective,237.5,13.77,10,0.12,standard_worker,1607.7,129.93,78,0.25,standard_worker,spatial,1.0,845,collective_membership,scaffold_building,894,159.9,strong,False,False,permanent,T. Vells,retrospective_interview,0.54,Horizon expansion triggered by collective_membership via scaffold_building,,
HE-0120,Expansion Case 120,creature,,large_collective,90.2,9.32,15,0.25,standard_worker,4425.0,19.78,195,0.62,standard_worker,temporal,1.0,712,developmental,signal_restoration,907,177.6,minimal,True,True,stable,C. Vells,longitudinal_tracking,0.76,Horizon expansion triggered by developmental via signal_restoration,,
HE-0121,Expansion Case 121,creature,ENT-983,small_group,296.1,42.96,1,0.36,survivor,871.0,364.46,48,0.79,standard_student,social,1.0,413,contemplation,signal_restoration,899,441.6,minimal,True,False,stable,Independent Observer,longitudinal_tracking,0.74,Horizon expansion triggered by contemplation via signal_restoration,,
HE-0122,Expansion Case 122,creature,,large_collective,261.6,8.63,20,0.08,collapsed,3393.2,29.34,152,0.27,standard_worker,temporal,1.0,258,mentorship,institutional_embedding,915,481.3,moderate,True,True,fragile,C. Vells,pre_post_assessment,0.56,Horizon expansion triggered by mentorship via institutional_embedding,,
HE-0123,Expansion Case 123,person,ENT-753,individual,46.1,18.31,7,0.1,survivor,1790.2,124.36,187,0.23,standard_student,temporal,1.0,658,recovery,signal_restoration,885,86.2,minimal,True,False,permanent,K. Strand,pre_post_assessment,0.92,Horizon expansion triggered by recovery via signal_restoration,,
HE-0124,Expansion Case 124,person,ENT-408,individual,69.2,7.12,15,0.12,collapsed,2028.2,52.6,186,0.42,standard_student,temporal,1.0,946,mentorship,gradual_accumulation,910,331.3,minimal,True,False,permanent,P. Anster,longitudinal_tracking,0.51,Horizon expansion triggered by mentorship via gradual_accumulation,SC-60,
HE-0125,Expansion Case 125,person,ENT-175,individual,99.1,4.83,14,0.3,standard_student,3734.8,10.85,635,0.53,standard_student,social,1.0,3178,mentorship,gradual_accumulation,884,65.1,moderate,True,False,stable,Archive Survey Team,longitudinal_tracking,0.91,Horizon expansion triggered by mentorship via gradual_accumulation,,
HE-0126,Expansion Case 126,collective,,large_collective,220.0,29.99,2,0.01,survivor,5983.8,65.88,7,0.29,standard_worker,temporal,1.0,300,relationship,horizon_transfer,900,379.3,minimal,True,False,permanent,T. Vells,longitudinal_tracking,0.66,Horizon expansion triggered by relationship via horizon_transfer,SC-81,
HE-0127,Expansion Case 127,creature,ENT-803,small_group,33.2,16.34,14,0.11,survivor,1163.0,92.66,584,0.25,caretaker,social,1.0,345,recovery,signal_restoration,923,337.7,institutional,True,False,stable,T. Vells,retrospective_interview,0.56,Horizon expansion triggered by recovery via signal_restoration,,
HE-0128,Expansion Case 128,collective,,small_group,225.5,46.92,6,0.29,standard_worker,9773.4,140.98,67,0.66,visionary,temporal,1.93,272,responsibility,signal_restoration,919,50.8,strong,True,False,permanent,K. Strand,behavioral_observation,0.82,Horizon expansion triggered by responsibility via signal_restoration,,
HE-0129,Expansion Case 129,person,,individual,317.2,49.35,8,0.19,standard_worker,13122.3,423.7,315,0.43,standard_worker,temporal,21.22,209,education,scaffold_building,893,32.6,institutional,True,False,permanent,C. Vells,longitudinal_tracking,0.69,Horizon expansion triggered by education via scaffold_building,,
HE-0130,Expansion Case 130,person,,individual,70.7,29.31,15,0.29,standard_student,1365.3,154.34,120,0.71,standard_student,temporal,1.0,3204,collective_membership,gradual_accumulation,912,482.9,institutional,True,True,reverting,R. Voss,retrospective_interview,0.93,Horizon expansion triggered by collective_membership via gradual_accumulation,,
HE-0131,Expansion Case 131,creature,ENT-735,small_group,68.4,24.53,9,0.36,collapsed,1857.8,188.57,218,0.82,standard_student,temporal,1.79,2963,education,gradual_accumulation,897,97.6,moderate,True,False,stable,Independent Observer,retrospective_interview,0.94,Horizon expansion triggered by education via gradual_accumulation,SC-346,
HE-0132,Expansion Case 132,creature,,small_group,1.3,31.22,7,0.25,standard_student,46.4,310.38,265,0.47,caretaker,social,1.0,24,contemplation,sudden_insight,919,234.7,minimal,True,True,reverting,C. Vells,behavioral_observation,0.75,Horizon expansion triggered by contemplation via sudden_insight,SC-349,
HE-0133,Expansion Case 133,collective,ENT-621,small_group,195.0,8.48,8,0.09,standard_student,9482.2,83.92,157,0.47,standard_student,temporal,1.71,381,mentorship,institutional_embedding,939,323.9,strong,True,False,stable,M. Strand,retrospective_interview,0.68,Horizon expansion triggered by mentorship via institutional_embedding,,
HE-0134,Expansion Case 134,person,ENT-865,individual,40.2,25.03,19,0.05,collapsed,1824.1,220.34,934,0.45,caretaker,social,4.65,184,relationship,horizon_transfer,901,452.2,moderate,True,False,stable,Independent Observer,longitudinal_tracking,0.51,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0135,Expansion Case 135,collective,ENT-534,large_collective,253.5,35.37,1,0.18,survivor,10701.4,202.5,49,0.3,standard_worker,social,1.06,940,mentorship,scaffold_building,887,172.9,minimal,True,False,permanent,R. Voss,retrospective_interview,0.64,Horizon expansion triggered by mentorship via scaffold_building,,
HE-0136,Expansion Case 136,creature,ENT-263,large_collective,150.6,38.97,5,0.22,standard_student,6963.8,305.45,117,0.54,standard_student,temporal,4.03,812,unknown,horizon_transfer,913,302.2,minimal,False,False,fragile,T. Vells,behavioral_observation,0.7,Horizon expansion triggered by unknown via horizon_transfer,,
HE-0137,Expansion Case 137,person,,individual,53.6,14.12,1,0.24,collapsed,1335.8,132.87,32,0.6,standard_worker,social,1.0,771,new_purpose,horizon_transfer,935,134.8,strong,False,False,reverting,K. Strand,retrospective_interview,0.69,Horizon expansion triggered by new_purpose via horizon_transfer,,
HE-0138,Expansion Case 138,person,,individual,337.4,47.04,13,0.06,standard_worker,9267.9,374.57,144,0.52,visionary,temporal,7.59,824,mentorship,gradual_accumulation,908,220.3,moderate,True,False,stable,Independent Observer,behavioral_observation,0.92,Horizon expansion triggered by mentorship via gradual_accumulation,SC-377,
HE-0139,Expansion Case 139,person,,individual,14.2,23.56,2,0.24,standard_worker,170.9,232.41,87,0.61,standard_student,social,1.0,1389,collective_membership,gradual_accumulation,912,454.7,institutional,True,False,stable,K. Strand,pre_post_assessment,0.58,Horizon expansion triggered by collective_membership via gradual_accumulation,,
HE-0140,Expansion Case 140,creature,ENT-347,small_group,84.9,36.64,3,0.22,collapsed,2444.7,358.16,32,0.45,standard_worker,temporal,1.0,29,crisis_resolution,sudden_insight,926,167.7,minimal,False,False,fluctuating,C. Vells,pre_post_assessment,0.92,Horizon expansion triggered by crisis_resolution via sudden_insight,,
HE-0141,Expansion Case 141,collective,,large_collective,325.2,44.28,17,0.14,standard_student,13559.4,249.7,512,0.34,standard_student,temporal,16.61,2866,education,gradual_accumulation,904,331.7,institutional,True,False,permanent,C. Vells,behavioral_observation,0.51,Horizon expansion triggered by education via gradual_accumulation,,
HE-0142,Expansion Case 142,person,ENT-819,individual,281.2,39.9,17,0.03,standard_student,7623.6,65.35,796,0.53,visionary,social,5.84,293,unknown,institutional_embedding,924,499.4,minimal,True,False,permanent,M. Strand,behavioral_observation,0.71,Horizon expansion triggered by unknown via institutional_embedding,,
HE-0143,Expansion Case 143,person,,individual,232.4,33.02,8,0.02,survivor,8881.9,216.78,48,0.49,standard_student,temporal,1.5,678,recovery,signal_restoration,938,145.0,minimal,True,False,permanent,C. Vells,retrospective_interview,0.82,Horizon expansion triggered by recovery via signal_restoration,SC-368,
HE-0144,Expansion Case 144,collective,,large_collective,219.4,16.14,13,0.05,survivor,4247.2,33.83,502,0.23,standard_student,social,1.0,7,crisis_resolution,sudden_insight,933,329.7,moderate,False,False,reverting,C. Vells,pre_post_assessment,0.88,Horizon expansion triggered by crisis_resolution via sudden_insight,SC-329,
HE-0145,Expansion Case 145,collective,,large_collective,3.8,8.1,15,0.24,collapsed,161.2,80.66,400,0.71,caretaker,temporal,1.0,280,unknown,institutional_embedding,913,274.5,strong,True,False,permanent,Independent Observer,retrospective_interview,0.8,Horizon expansion triggered by unknown via institutional_embedding,SC-402,
HE-0146,Expansion Case 146,person,ENT-881,individual,126.3,46.3,13,0.23,standard_student,1054.5,70.24,198,0.33,standard_worker,social,1.0,747,new_purpose,institutional_embedding,915,345.0,minimal,True,False,permanent,R. Voss,retrospective_interview,0.91,Horizon expansion triggered by new_purpose via institutional_embedding,,
HE-0147,Expansion Case 147,creature,,small_group,360.5,31.42,15,0.18,standard_student,12860.6,86.32,240,0.48,standard_worker,temporal,3.64,2843,responsibility,gradual_accumulation,892,72.6,minimal,True,False,permanent,Independent Observer,behavioral_observation,0.75,Horizon expansion triggered by responsibility via gradual_accumulation,,
HE-0148,Expansion Case 148,person,,individual,36.1,32.34,11,0.39,standard_student,919.3,89.45,62,0.68,standard_student,temporal,1.0,51,contemplation,horizon_transfer,921,394.9,strong,True,False,permanent,M. Strand,retrospective_interview,0.74,Horizon expansion triggered by contemplation via horizon_transfer,,
HE-0149,Expansion Case 149,collective,ENT-710,large_collective,173.4,33.57,6,0.36,survivor,3680.4,100.82,73,0.56,standard_worker,temporal,1.0,388,recovery,signal_restoration,896,361.7,strong,False,False,reverting,Boundary Commission,pre_post_assessment,0.89,Horizon expansion triggered by recovery via signal_restoration,SC-12,
HE-0150,Expansion Case 150,creature,,large_collective,301.5,40.19,9,0.14,survivor,9536.4,60.57,118,0.63,visionary,temporal,1.28,341,relationship,horizon_transfer,932,312.3,moderate,True,False,permanent,K. Strand,longitudinal_tracking,0.6,Horizon expansion triggered by relationship via horizon_transfer,,
HE-0151,Expansion Case 151,person,,individual,132.1,38.75,12,0.33,survivor,1118.8,212.46,225,0.69,standard_student,social,1.06,10,crisis_resolution,sudden_insight,884,155.0,moderate,True,True,reverting,R. Voss,longitudinal_tracking,0.94,Horizon expansion triggered by crisis_resolution via sudden_insight,,
HE-0152,Expansion Case 152,person,,individual,3.8,26.1,18,0.38,standard_student,16.5,100.07,184,0.5,caretaker,social,1.0,1482,education,gradual_accumulation,890,249.2,minimal,True,False,stable,T. Vells,behavioral_observation,0.6,Horizon expansion triggered by education via gradual_accumulation,SC-70,
HE-0153,Expansion Case 153,creature,,large_collective,249.2,24.63,8,0.39,standard_student,6406.7,137.25,53,0.5,standard_student,temporal,1.0,778,developmental,horizon_transfer,895,36.0,strong,True,True,permanent,Klutch CC Counseling,longitudinal_tracking,0.76,Horizon expansion triggered by developmental via horizon_transfer,,
HE-0154,Expansion Case 154,creature,ENT-500,large_collective,237.3,41.03,8,0.04,standard_student,11828.1,309.04,237,0.16,standard_worker,temporal,4.09,939,education,gradual_accumulation,938,367.1,moderate,False,True,fluctuating,Independent Observer,longitudinal_tracking,0.77,Horizon expansion triggered by education via gradual_accumulation,,
HE-0155,Expansion Case 155,collective,,small_group,324.6,14.72,5,0.01,standard_student,12074.6,83.91,32,0.25,standard_worker,temporal,1.0,1651,developmental,gradual_accumulation,895,342.3,strong,False,False,reverting,R. Voss,retrospective_interview,0.51,Horizon expansion triggered by developmental via gradual_accumulation,SC-72,
HE-0156,Expansion Case 156,collective,ENT-421,small_group,52.5,32.2,10,0.27,survivor,256.6,175.94,492,0.56,caretaker,social,1.0,574,recovery,signal_restoration,886,161.7,strong,False,True,permanent,P. Anster,longitudinal_tracking,0.74,Horizon expansion triggered by recovery via signal_restoration,SC-341,
HE-0157,Expansion Case 157,creature,ENT-652,large_collective,258.0,9.1,0,0.02,collapsed,4516.7,57.39,90,0.27,standard_worker,social,1.0,3,unknown,sudden_insight,909,215.7,minimal,False,False,fragile,Archive Survey Team,longitudinal_tracking,0.54,Horizon expansion triggered by unknown via sudden_insight,,
HE-0158,Expansion Case 158,person,ENT-454,individual,283.0,31.37,11,0.37,survivor,7204.3,166.87,301,0.73,standard_student,social,7.48,3524,education,gradual_accumulation,916,433.3,minimal,True,False,permanent,C. Vells,behavioral_observation,0.69,Horizon expansion triggered by education via gradual_accumulation,,
HE-0159,Expansion Case 159,creature,ENT-306,large_collective,139.4,40.49,15,0.26,collapsed,5377.4,99.38,734,0.64,standard_student,social,6.93,555,developmental,scaffold_building,882,300.8,institutional,True,False,stable,P. Anster,pre_post_assessment,0.87,Horizon expansion triggered by developmental via scaffold_building,,
HE-0160,Expansion Case 160,person,,individual,95.3,27.5,11,0.17,survivor,2108.0,166.06,130,0.46,standard_worker,temporal,1.0,2769,responsibility,gradual_accumulation,915,396.7,minimal,True,False,permanent,C. Vells,longitudinal_tracking,0.6,Horizon expansion triggered by responsibility via gradual_accumulation,,
HE-0161,Expansion Case 161,person,ENT-756,individual,336.0,40.46,0,0.37,standard_student,5092.7,341.38,58,0.53,standard_student,social,1.73,18,collective_membership,sudden_insight,909,307.1,moderate,True,False,permanent,T. Vells,behavioral_observation,0.84,Horizon expansion triggered by collective_membership via sudden_insight,,
HE-0162,Expansion Case 162,person,,individual,219.3,12.08,3,0.3,survivor,8467.4,70.49,21,0.68,visionary,temporal,1.0,43,mentorship,signal_restoration,881,486.2,institutional,True,False,permanent,Boundary Commission,behavioral_observation,0.84,Horizon expansion triggered by mentorship via signal_restoration,,
HE-0163,Expansion Case 163,person,,individual,171.2,26.09,0,0.32,collapsed,1793.9,190.94,14,0.8,standard_student,social,1.0,3118,contemplation,gradual_accumulation,892,475.5,institutional,True,True,fluctuating,C. Vells,behavioral_observation,0.51,Horizon expansion triggered by contemplation via gradual_accumulation,,
HE-0164,Expansion Case 164,person,,individual,213.9,47.33,2,0.27,survivor,1501.4,193.05,54,0.72,standard_student,social,1.0,443,unknown,signal_restoration,893,386.7,moderate,True,False,permanent,Archive Survey Team,longitudinal_tracking,0.79,Horizon expansion triggered by unknown via signal_restoration,SC-130,
HE-0165,Expansion Case 165,creature,,large_collective,74.6,34.23,11,0.36,standard_worker,3430.3,102.83,215,0.68,standard_worker,temporal,1.48,3037,contemplation,gradual_accumulation,897,102.7,institutional,True,True,stable,Independent Observer,longitudinal_tracking,0.92,Horizon expansion triggered by contemplation via gradual_accumulation,,
HE-0166,Expansion Case 166,person,ENT-934,individual,340.5,1.88,1,0.12,collapsed,4546.5,9.2,21,0.23,standard_student,social,1.0,363,responsibility,institutional_embedding,940,203.7,strong,True,False,permanent,Independent Observer,pre_post_assessment,0.9,Horizon expansion triggered by responsibility via institutional_embedding,,
HE-0167,Expansion Case 167,creature,,small_group,313.7,31.55,5,0.28,survivor,8063.6,105.98,211,0.54,visionary,social,2.79,148,relationship,horizon_transfer,883,53.9,strong,False,False,fragile,R. Voss,longitudinal_tracking,0.54,Horizon expansion triggered by relationship via horizon_transfer,SC-290,
HE-0168,Expansion Case 168,person,ENT-410,individual,301.1,34.73,10,0.31,collapsed,4865.1,337.76,411,0.57,standard_worker,social,10.73,2155,education,gradual_accumulation,886,89.3,moderate,True,False,permanent,C. Vells,retrospective_interview,0.61,Horizon expansion triggered by education via gradual_accumulation,,
HE-0169,Expansion Case 169,collective,,large_collective,278.9,43.93,7,0.23,standard_worker,7671.7,411.5,27,0.7,jackson_type,temporal,2.26,161,new_purpose,institutional_embedding,915,415.8,institutional,True,True,fluctuating,Boundary Commission,behavioral_observation,0.92,Horizon expansion triggered by new_purpose via institutional_embedding,,
HE-0170,Expansion Case 170,person,ENT-138,individual,324.9,41.8,2,0.25,standard_worker,1594.2,342.8,50,0.42,standard_worker,social,1.0,537,responsibility,horizon_transfer,933,476.0,minimal,True,False,permanent,M. Strand,pre_post_assessment,0.88,Horizon expansion triggered by responsibility via horizon_transfer,,
HE-0171,Expansion Case 171,collective,,small_group,336.3,26.85,0,0.29,survivor,3439.1,166.34,26,0.44,standard_worker,social,1.0,909,collective_membership,institutional_embedding,920,253.3,strong,False,False,fluctuating,Klutch CC Counseling,longitudinal_tracking,0.79,Horizon expansion triggered by collective_membership via institutional_embedding,,
HE-0172,Expansion Case 172,creature,,small_group,196.5,17.16,17,0.38,standard_worker,1169.8,154.97,645,0.51,caretaker,social,1.67,2294,responsibility,gradual_accumulation,935,431.3,moderate,True,False,permanent,M. Strand,behavioral_observation,0.64,Horizon expansion triggered by responsibility via gradual_accumulation,,
HE-0173,Expansion Case 173,collective,ENT-994,large_collective,277.1,11.62,19,0.04,survivor,11372.8,114.32,893,0.36,standard_student,social,11.71,255,recovery,signal_restoration,887,292.6,strong,True,False,permanent,C. Vells,longitudinal_tracking,0.78,Horizon expansion triggered by recovery via signal_restoration,SC-378,
HE-0174,Expansion Case 174,creature,,large_collective,357.2,3.09,6,0.25,standard_student,8423.4,12.65,113,0.47,standard_worker,temporal,1.0,428,collective_membership,institutional_embedding,889,372.3,minimal,True,False,stable,K. Strand,retrospective_interview,0.55,Horizon expansion triggered by collective_membership via institutional_embedding,SC-492,
HE-0175,Expansion Case 175,collective,,large_collective,183.7,17.06,9,0.01,standard_student,930.8,68.15,358,0.33,caretaker,social,1.0,158,new_purpose,institutional_embedding,882,257.6,minimal,True,False,permanent,Archive Survey Team,behavioral_observation,0.66,Horizon expansion triggered by new_purpose via institutional_embedding,,
HE-0176,Expansion Case 176,creature,,small_group,321.3,27.29,6,0.17,survivor,9292.5,196.19,287,0.46,standard_worker,social,6.79,425,unknown,horizon_transfer,903,113.8,minimal,True,False,stable,Boundary Commission,retrospective_interview,0.8,Horizon expansion triggered by unknown via horizon_transfer,,
HE-0177,Expansion Case 177,collective,ENT-331,small_group,252.5,6.83,7,0.2,standard_worker,2796.5,65.6,336,0.49,standard_worker,social,1.0,906,developmental,institutional_embedding,910,477.1,institutional,True,True,fragile,Boundary Commission,behavioral_observation,0.55,Horizon expansion triggered by developmental via institutional_embedding,,
HE-0178,Expansion Case 178,collective,,small_group,224.3,25.3,12,0.35,survivor,1088.8,133.87,279,0.57,standard_student,social,1.0,2644,mentorship,gradual_accumulation,912,215.7,institutional,True,False,stable,K. Strand,longitudinal_tracking,0.79,Horizon expansion triggered by mentorship via gradual_accumulation,SC-62,
HE-0179,Expansion Case 179,creature,,large_collective,51.0,2.64,12,0.27,survivor,1301.4,14.74,55,0.68,standard_student,temporal,1.0,897,recovery,signal_restoration,915,410.6,moderate,False,True,fluctuating,Klutch CC Counseling,retrospective_interview,0.78,Horizon expansion triggered by recovery via signal_restoration,,
HE-0180,Expansion Case 180,creature,ENT-354,large_collective,123.8,1.04,19,0.1,survivor,2503.9,8.38,589,0.28,standard_worker,social,1.0,949,new_purpose,horizon_transfer,892,127.7,institutional,True,False,permanent,C. Vells,longitudinal_tracking,0.68,Horizon expansion triggered by new_purpose via horizon_transfer,,
HE-0181,Expansion Case 181,person,,individual,302.8,22.06,14,0.37,survivor,1620.2,160.3,111,0.65,standard_worker,social,1.0,722,unknown,signal_restoration,924,255.0,strong,True,True,stable,R. Voss,pre_post_assessment,0.62,Horizon expansion triggered by unknown via signal_restoration,SC-239,
HE-0182,Expansion Case 182,collective,,small_group,287.8,35.05,16,0.38,collapsed,3561.5,107.63,624,0.8,standard_worker,social,5.36,329,unknown,horizon_transfer,922,322.7,minimal,True,False,stable,C. Vells,longitudinal_tracking,0.64,Horizon expansion triggered by unknown via horizon_transfer,,
