boundary_id,entity_a_id,entity_a_name,entity_b_id,entity_b_name,boundary_type,boundary_strength,permeability,sharpness,boundary_coord_x,boundary_coord_y,boundary_coord_z,boundary_extent,relationship_type,tension_level,first_documented,documenter,documentation_method,confidence,description,notes
EB-0121,MS-0042,Form 42,MS-0142,Form 142,temporal,0.43,0.56,0.79,-0.4429,0.12,-0.3158,0.114,sympathetic,0.28,920,Boundary Commission,trajectory_analysis,0.74,Temporal boundary: Form 42 and Form 142 occupy different time periods.,
EB-0122,MS-0067,Form 67,MS-0107,Form 107,categorical,0.85,0.1,0.93,0.0359,0.4119,-0.4594,0.165,antipathetic,0.77,919,Independent Scholar,trajectory_analysis,0.81,Categorical separation—archivists classify these differently.,
EB-0123,MS-0072,Form 72,MS-0141,Form 141,categorical,0.38,0.64,0.83,-0.2803,-0.3384,0.1926,0.164,sympathetic,0.28,1844,P. Tross,tension_measurement,0.92,Classification boundary: Form 72 and Form 141 belong to distinct categories.,
EB-0124,MS-0100,Form 100,MS-0115,Form 115,spatial,0.29,0.76,0.57,0.0867,-0.2269,-0.5156,0.098,sympathetic,0.11,929,Archive Survey Team,historical_inference,0.7,Physical distance boundary documented at coordinates.,
EB-0125,MS-0033,Form 33,MS-0122,Form 122,categorical,0.4,0.53,0.89,-0.2195,-0.4067,0.1852,0.249,sympathetic,0.32,1834,Western Archive Team,trajectory_analysis,0.89,Categorical separation—archivists classify these differently.,
EB-0126,MS-0073,Form 73,MS-0132,Form 132,categorical,0.92,0.02,0.54,-0.1531,-0.127,0.1821,0.029,antipathetic,0.82,1828,Western Archive Team,historical_inference,0.77,Type boundary separating Form types.,
EB-0127,MS-0085,Form 85,EN-011,Cluster Beta,spatial,0.58,0.38,0.84,-0.5021,0.0244,0.0197,0.105,sympathetic,0.22,1827,Western Archive Team,tension_measurement,0.69,Spatial boundary between Form 85 and Cluster Beta in morphospace.,
EB-0128,MS-0078,Form 78,MS-0041,Form 41,behavioral,0.85,0.17,0.66,0.403,0.3559,0.2196,0.132,antipathetic,0.61,1830,P. Tross,direct_observation,0.87,Behavioral boundary: Form 78 acts differently from Form 41.,
EB-0129,MS-0034,Form 34,EN-011,Cluster Beta,spatial,0.37,0.7,0.72,-0.549,0.0613,0.0536,0.026,sympathetic,0.22,930,Boundary Commission,classification_boundary,0.64,Physical distance boundary documented at coordinates.,
EB-0130,MS-0114,Form 114,MS-0102,Form 102,behavioral,0.8,0.23,0.81,0.0203,-0.0418,-0.69,0.039,neutral,0.36,1837,Western Archive Team,tension_measurement,0.92,Pattern divergence between Form 114 and Form 102 behavior.,
EB-0131,MS-0041,Form 41,MS-0111,Form 111,spatial,0.9,0.1,0.34,0.1056,0.1867,-0.0935,0.037,antipathetic,0.73,1832,P. Tross,trajectory_analysis,0.82,Physical distance boundary documented at coordinates.,
EB-0132,MS-0070,Form 70,MS-0087,Form 87,structural,0.85,0.07,0.51,0.3087,-0.4519,0.4642,0.112,antipathetic,0.92,918,T. Vells,classification_boundary,0.65,Structure divergence documented.,
EB-0133,MS-0031,Form 31,MS-0068,Form 68,spatial,0.35,0.64,0.61,0.687,0.366,-0.4694,0.069,sympathetic,0.16,918,P. Tross,trajectory_analysis,0.59,Morphospace region boundary separating Form 31 from Form 68.,
EB-0134,MS-0119,Form 119,MS-0065,Form 65,behavioral,0.72,0.33,0.56,-0.0267,0.3607,-0.4056,0.16,neutral,0.42,923,P. Tross,classification_boundary,0.65,Action patterns differ across this boundary.,
EB-0135,MS-0066,Form 66,EN-008,Dead River Valley,categorical,0.78,0.27,0.9,-0.6341,-0.452,-0.5693,0.206,antipathetic,0.95,919,T. Vells,historical_inference,0.65,Categorical separation—archivists classify these differently.,
EB-0136,MS-0050,Form 50,MS-0055,Form 55,structural,0.7,0.35,0.95,-0.2239,-0.091,0.5071,0.131,antipathetic,0.73,1834,P. Tross,tension_measurement,0.72,Structure divergence documented.,
EB-0137,MS-0032,Form 32,MS-0035,Form 35,spatial,0.52,0.49,0.82,-0.0941,0.1332,-0.4011,0.137,sympathetic,0.39,1849,Western Archive Team,historical_inference,0.86,Geographic separation observed between Form 32 and Form 35.,
EB-0138,MS-0077,Form 77,MS-0109,Form 109,categorical,0.51,0.49,0.46,0.5067,0.551,0.2967,0.088,sympathetic,0.22,926,Archive Survey Team,tension_measurement,0.63,Classification boundary: Form 77 and Form 109 belong to distinct categories.,
EB-0139,MS-0138,Form 138,MS-0142,Form 142,categorical,0.5,0.51,0.88,-0.4152,0.0388,-0.2429,0.05,neutral,0.32,924,T. Vells,tension_measurement,0.88,Type boundary separating Form types.,
EB-0140,MS-0063,Form 63,MS-0059,Form 59,categorical,0.73,0.15,0.84,0.2311,0.2465,-0.0293,0.238,antipathetic,0.87,1835,P. Tross,direct_observation,0.69,Classification boundary: Form 63 and Form 59 belong to distinct categories.,
EB-0141,MS-0128,Form 128,MS-0093,Form 93,spatial,0.37,0.64,0.47,0.6893,0.315,0.443,0.073,sympathetic,0.24,914,P. Tross,historical_inference,0.67,Geographic separation observed between Form 128 and Form 93.,
EB-0142,MS-0096,Form 96,MS-0084,Form 84,behavioral,0.46,0.54,0.93,-0.4907,-0.6848,-0.1997,0.246,sympathetic,0.17,1835,Western Archive Team,historical_inference,0.63,Action patterns differ across this boundary.,
EB-0143,MS-0128,Form 128,MS-0100,Form 100,spatial,0.72,0.26,0.44,0.4901,-0.1195,0.0816,0.109,neutral,0.43,914,P. Tross,trajectory_analysis,0.67,Physical distance boundary documented at coordinates.,
EB-0144,MS-0081,Form 81,MS-0049,Form 49,spatial,0.74,0.26,0.45,0.2403,-0.1182,-0.5,0.15,neutral,0.41,1849,P. Tross,direct_observation,0.68,Morphospace region boundary separating Form 81 from Form 49.,
EB-0145,MS-0095,Form 95,MS-0114,Form 114,spatial,0.94,0.09,0.57,-0.3448,-0.0666,-0.3317,0.198,antipathetic,0.8,915,Senate Survey,trajectory_analysis,0.79,Physical distance boundary documented at coordinates.,
EB-0146,MS-0101,Form 101,MS-0040,Form 40,structural,0.89,0.09,0.68,-0.5347,-0.4585,-0.0524,0.163,antipathetic,0.84,929,Archive Survey Team,historical_inference,0.79,Structure divergence documented.,
EB-0147,MS-0106,Form 106,MS-0147,Form 147,behavioral,0.33,0.61,0.79,-0.1658,-0.3702,0.4169,0.237,sympathetic,0.28,918,T. Vells,historical_inference,0.57,Behavioral boundary: Form 106 acts differently from Form 147.,
EB-0148,MS-0087,Form 87,MS-0038,Form 38,categorical,0.49,0.54,0.43,0.0817,-0.2391,0.1073,0.173,sympathetic,0.37,919,Archive Survey Team,trajectory_analysis,0.69,Categorical separation—archivists classify these differently.,
EB-0149,EN-001,The Prebel Zone,MS-0146,Form 146,spatial,0.54,0.35,0.69,-0.2385,-0.0021,-0.2094,0.186,sympathetic,0.33,916,P. Tross,tension_measurement,0.9,Physical distance boundary documented at coordinates.,
EB-0150,MS-0050,Form 50,MS-0146,Form 146,spatial,0.97,0.04,0.5,-0.3149,-0.2668,0.174,0.16,antipathetic,0.68,912,T. Vells,historical_inference,0.7,Geographic separation observed between Form 50 and Form 146.,
EB-0151,EN-003,Western Archive Territory,MS-0101,Form 101,temporal,0.69,0.25,0.57,-0.4691,-0.2327,0.0857,0.161,oscillating,0.53,1848,Western Archive Team,trajectory_analysis,0.93,Before/after boundary in developmental sequence.,
EB-0152,MS-0064,Form 64,MS-0072,Form 72,identity,0.58,0.37,0.33,-0.041,-0.5716,0.5988,0.214,neutral,0.33,929,Archive Survey Team,historical_inference,0.73,Self/other boundary between entities.,
EB-0153,EN-011,Cluster Beta,MS-0119,Form 119,categorical,0.29,0.81,0.65,-0.4534,-0.1884,-0.1244,0.091,sympathetic,0.35,1825,Western Archive Team,direct_observation,0.9,Category edge detected in constellation analysis.,
EB-0154,MS-0137,Form 137,MS-0144,Form 144,spatial,0.45,0.64,0.75,0.2336,0.2291,0.3782,0.207,sympathetic,0.38,928,K. Strand,trajectory_analysis,0.79,Geographic separation observed between Form 137 and Form 144.,
EB-0155,MS-0036,Form 36,MS-0088,Form 88,categorical,0.41,0.65,0.68,0.0297,-0.3678,-0.19,0.052,sympathetic,0.24,915,P. Tross,direct_observation,0.75,Category edge detected in constellation analysis.,
EB-0156,MS-0073,Form 73,MS-0084,Form 84,structural,0.45,0.55,0.91,-0.7501,-0.5362,0.414,0.096,sympathetic,0.19,929,P. Tross,trajectory_analysis,0.55,Form architecture differs across boundary.,
EB-0157,MS-0143,Form 143,MS-0138,Form 138,categorical,0.41,0.55,0.47,-0.3357,0.0347,-0.3371,0.231,sympathetic,0.11,930,Senate Survey,historical_inference,0.75,Categorical separation—archivists classify these differently.,
EB-0158,MS-0132,Form 132,MS-0062,Form 62,identity,0.73,0.32,0.86,0.0954,-0.1913,0.0005,0.035,antipathetic,0.93,1845,P. Tross,classification_boundary,0.94,Identity boundary: where Form 132 ends and Form 62 begins.,
EB-0159,MS-0124,Form 124,MS-0147,Form 147,temporal,0.33,0.73,0.85,-0.317,-0.4055,0.4245,0.175,sympathetic,0.31,924,Boundary Commission,tension_measurement,0.59,Time-based separation observed.,
EB-0160,MS-0149,Form 149,MS-0132,Form 132,spatial,0.35,0.67,0.76,0.3942,0.2296,-0.308,0.13,sympathetic,0.31,1831,P. Tross,trajectory_analysis,0.88,Morphospace region boundary separating Form 149 from Form 132.,
EB-0161,MS-0071,Form 71,MS-0054,Form 54,spatial,0.34,0.69,0.93,-0.0221,-0.0368,0.7245,0.146,oscillating,0.51,1837,P. Tross,classification_boundary,0.67,Spatial boundary between Form 71 and Form 54 in morphospace.,
EB-0162,MS-0037,Form 37,MS-0097,Form 97,structural,0.7,0.3,0.91,-0.215,-0.4238,-0.2126,0.033,antipathetic,0.88,1848,P. Tross,direct_observation,0.71,Form architecture differs across boundary.,
EB-0163,MS-0111,Form 111,MS-0032,Form 32,structural,0.49,0.54,0.82,0.0102,-0.0057,-0.0107,0.045,neutral,0.31,1829,Western Archive Team,trajectory_analysis,0.93,Morphological separation between Form 111 and Form 32.,
EB-0164,MS-0070,Form 70,MS-0069,Form 69,behavioral,0.66,0.29,0.59,0.1856,0.1308,0.1337,0.054,neutral,0.47,1835,Western Archive Team,classification_boundary,0.88,Action patterns differ across this boundary.,
EB-0165,MS-0075,Form 75,MS-0134,Form 134,categorical,0.98,0.02,0.62,0.2035,0.2516,-0.1426,0.09,antipathetic,0.75,1826,P. Tross,tension_measurement,0.72,Type boundary separating Form types.,
EB-0166,EN-006,Tower of Mirado,MS-0071,Form 71,spatial,0.64,0.38,0.31,0.2082,0.2225,0.642,0.113,neutral,0.52,929,Archive Survey Team,direct_observation,0.61,Morphospace region boundary separating Tower of Mirado from Form 71.,
EB-0167,MS-0124,Form 124,MS-0102,Form 102,categorical,0.69,0.26,0.34,0.0243,-0.6534,-0.1324,0.046,neutral,0.5,928,Western Archive Team,classification_boundary,0.58,Categorical separation—archivists classify these differently.,
EB-0168,MS-0101,Form 101,EN-007,Northo Highlands,categorical,0.96,0.05,0.5,-0.3691,0.0173,0.1357,0.145,antipathetic,0.83,1842,P. Tross,tension_measurement,0.72,Category edge detected in constellation analysis.,
EB-0169,MS-0032,Form 32,MS-0102,Form 102,behavioral,0.95,0.04,0.46,0.1948,-0.2848,-0.4541,0.103,antipathetic,0.85,923,Archive Survey Team,tension_measurement,0.92,Pattern divergence between Form 32 and Form 102 behavior.,
EB-0170,EN-004,Capital Domain,MS-0141,Form 141,behavioral,0.39,0.59,0.66,0.3605,-0.1138,-0.1126,0.238,sympathetic,0.18,921,Independent Scholar,trajectory_analysis,0.8,Pattern divergence between Capital Domain and Form 141 behavior.,
EB-0171,MS-0132,Form 132,MS-0110,Form 110,categorical,0.28,0.74,0.31,0.1138,0.0372,-0.3336,0.043,sympathetic,0.26,916,K. Strand,historical_inference,0.57,Category edge detected in constellation analysis.,
EB-0172,MS-0102,Form 102,MS-0071,Form 71,spatial,0.48,0.55,0.49,0.2008,-0.3243,-0.0254,0.16,sympathetic,0.3,1835,P. Tross,classification_boundary,0.6,Morphospace region boundary separating Form 102 from Form 71.,
EB-0173,MS-0076,Form 76,MS-0142,Form 142,categorical,0.88,0.13,0.71,-0.0667,-0.0476,-0.3077,0.097,antipathetic,0.89,927,T. Vells,tension_measurement,0.78,Categorical separation—archivists classify these differently.,
EB-0174,MS-0120,Form 120,MS-0118,Form 118,categorical,0.98,0.02,0.7,-0.1357,-0.3226,-0.4277,0.048,antipathetic,0.6,1846,Western Archive Team,tension_measurement,0.94,Category edge detected in constellation analysis.,
EB-0175,MS-0120,Form 120,MS-0087,Form 87,categorical,0.9,0.13,0.38,-0.0387,-0.3699,-0.1454,0.058,antipathetic,0.9,925,Archive Survey Team,trajectory_analysis,0.93,Categorical separation—archivists classify these differently.,
EB-0176,EN-007,Northo Highlands,MS-0052,Form 52,categorical,0.43,0.5,0.38,-0.4715,0.1792,0.4534,0.199,sympathetic,0.17,1850,P. Tross,historical_inference,0.73,Category edge detected in constellation analysis.,
EB-0177,MS-0105,Form 105,MS-0080,Form 80,identity,0.79,0.23,0.58,-0.3881,0.1202,0.066,0.203,antipathetic,0.94,1833,Western Archive Team,classification_boundary,0.55,Entity boundary defining distinct identities.,
EB-0178,MS-0076,Form 76,MS-0004,The Tension,behavioral,0.71,0.27,0.37,0.4523,-0.0258,-0.0423,0.085,neutral,0.42,917,K. Strand,direct_observation,0.79,Pattern divergence between Form 76 and The Tension behavior.,
EB-0179,MS-0053,Form 53,MS-0109,Form 109,behavioral,0.62,0.42,0.49,-0.1112,0.2424,0.3094,0.053,neutral,0.31,1848,P. Tross,trajectory_analysis,0.61,Behavioral boundary: Form 53 acts differently from Form 109.,
EB-0180,MS-0109,Form 109,MS-0086,Form 86,temporal,0.96,0.02,0.73,0.0911,0.4067,0.6204,0.131,antipathetic,0.51,930,K. Strand,direct_observation,0.81,Time-based separation observed.,
EB-0181,MS-0105,Form 105,MS-0005,The Triad Form,behavioral,0.9,0.15,0.45,-0.095,0.3441,0.5138,0.059,antipathetic,0.81,914,Boundary Commission,direct_observation,0.65,Action patterns differ across this boundary.,
EB-0182,MS-0060,Form 60,EN-008,Dead River Valley,spatial,0.59,0.37,0.66,-0.3491,-0.5412,0.0694,0.067,sympathetic,0.37,1835,P. Tross,tension_measurement,0.59,Geographic separation observed between Form 60 and Dead River Valley.,
EB-0183,MS-0113,Form 113,MS-0047,Form 47,identity,0.85,0.05,0.47,0.1351,-0.3206,0.225,0.057,antipathetic,0.57,1845,P. Tross,classification_boundary,0.78,Self/other boundary between entities.,
EB-0184,MS-0050,Form 50,MS-0083,Form 83,behavioral,0.84,0.11,0.72,-0.1833,0.0625,0.2728,0.047,antipathetic,0.71,922,T. Vells,direct_observation,0.67,Action patterns differ across this boundary.,
EB-0185,MS-0058,Form 58,MS-0098,Form 98,structural,0.84,0.18,0.49,-0.2358,-0.0032,-0.0683,0.155,antipathetic,0.8,1847,P. Tross,tension_measurement,0.79,Structural boundary: physical forms differ.,
EB-0186,EN-011,Cluster Beta,MS-0141,Form 141,temporal,0.35,0.65,0.67,-0.0895,-0.2138,-0.1126,0.049,sympathetic,0.25,912,Archive Survey Team,classification_boundary,0.93,Time-based separation observed.,
EB-0187,MS-0066,Form 66,MS-0061,Form 61,categorical,0.96,0.02,0.91,-0.682,-0.3485,-0.6308,0.102,antipathetic,0.87,930,Western Archive Team,tension_measurement,0.78,Classification boundary: Form 66 and Form 61 belong to distinct categories.,
EB-0188,MS-0142,Form 142,MS-0113,Form 113,behavioral,0.51,0.54,0.46,-0.3311,0.2716,0.1966,0.14,sympathetic,0.23,1833,P. Tross,tension_measurement,0.7,Behavioral separation documented in field observations.,
EB-0189,MS-0104,Form 104,MS-0106,Form 106,behavioral,0.98,0.02,0.88,0.0869,-0.5887,-0.1621,0.207,antipathetic,0.85,919,Western Archive Team,classification_boundary,0.73,Behavioral boundary: Form 104 acts differently from Form 106.,
EB-0190,MS-0062,Form 62,MS-0069,Form 69,temporal,0.43,0.58,0.54,-0.2778,0.1,0.0019,0.168,sympathetic,0.11,1838,Western Archive Team,trajectory_analysis,0.82,Time-based separation observed.,
EB-0191,MS-0097,Form 97,MS-0088,Form 88,spatial,0.64,0.36,0.47,-0.0686,-0.3236,-0.1417,0.181,neutral,0.51,1826,P. Tross,historical_inference,0.65,Geographic separation observed between Form 97 and Form 88.,
EB-0192,MS-0084,Form 84,MS-0040,Form 40,behavioral,0.93,0.08,0.83,-0.6534,-0.4481,0.0152,0.078,antipathetic,0.55,1850,Western Archive Team,trajectory_analysis,0.76,Action patterns differ across this boundary.,
EB-0193,MS-0124,Form 124,MS-0095,Form 95,behavioral,0.56,0.45,0.37,-0.3409,-0.6782,0.2259,0.163,oscillating,0.43,1839,Western Archive Team,historical_inference,0.79,Pattern divergence between Form 124 and Form 95 behavior.,
EB-0194,MS-0106,Form 106,MS-0123,Form 123,spatial,0.8,0.21,0.83,-0.1199,-0.4818,0.5198,0.053,antipathetic,0.78,915,T. Vells,classification_boundary,0.75,Morphospace region boundary separating Form 106 from Form 123.,
EB-0195,EN-003,Western Archive Territory,MS-0134,Form 134,behavioral,0.98,0.02,0.5,-0.1341,0.2998,-0.1934,0.117,antipathetic,0.64,1845,Western Archive Team,trajectory_analysis,0.93,Behavioral separation documented in field observations.,
EB-0196,MS-0125,Form 125,MS-0120,Form 120,structural,0.48,0.39,0.72,-0.2959,-0.0758,-0.114,0.166,sympathetic,0.17,926,Western Archive Team,trajectory_analysis,0.76,Structural boundary: physical forms differ.,
EB-0197,MS-0050,Form 50,MS-0068,Form 68,behavioral,0.83,0.12,0.76,0.3684,0.0711,0.1029,0.216,antipathetic,0.61,922,Independent Scholar,classification_boundary,0.92,Behavioral separation documented in field observations.,
EB-0198,EN-010,Cluster Alpha,EN-003,Western Archive Territory,identity,0.96,0.02,0.52,0.0,0.3,0.2,0.113,antipathetic,0.85,918,P. Tross,classification_boundary,0.68,Self/other boundary between entities.,
EB-0199,MS-0142,Form 142,MS-0121,Form 121,categorical,0.68,0.36,0.67,-0.4102,0.5904,-0.0597,0.165,neutral,0.39,929,P. Tross,tension_measurement,0.62,Categorical separation—archivists classify these differently.,
EB-0200,MS-0111,Form 111,MS-0076,Form 76,behavioral,0.55,0.44,0.56,0.2353,-0.3486,-0.0915,0.108,sympathetic,0.18,1829,Western Archive Team,tension_measurement,0.57,Action patterns differ across this boundary.,
EB-0201,MS-0027,The Five-Body Form,MS-0066,Form 66,categorical,0.98,0.04,0.95,0.0209,0.123,0.0757,0.177,antipathetic,0.64,916,Senate Survey,classification_boundary,0.69,Category edge detected in constellation analysis.,
EB-0202,EN-003,Western Archive Territory,MS-0033,Form 33,categorical,0.51,0.47,0.4,-0.3758,0.1372,0.2529,0.231,sympathetic,0.23,930,T. Vells,direct_observation,0.75,Type boundary separating Form types.,
EB-0203,MS-0048,Form 48,MS-0067,Form 67,categorical,0.78,0.18,0.36,-0.0054,0.2269,-0.3559,0.075,antipathetic,0.6,916,Archive Survey Team,tension_measurement,0.86,Categorical separation—archivists classify these differently.,
EB-0204,MS-0108,Form 108,MS-0049,Form 49,temporal,0.56,0.44,0.76,0.411,0.3251,-0.2583,0.02,sympathetic,0.23,1848,P. Tross,tension_measurement,0.79,Phase boundary in temporal pattern.,
EB-0205,MS-0001,The Quintic Cycle,MS-0119,Form 119,spatial,0.52,0.49,0.68,-0.0784,0.1716,-0.0844,0.105,sympathetic,0.11,925,T. Vells,trajectory_analysis,0.7,Geographic separation observed between The Quintic Cycle and Form 119.,
EB-0206,MS-0001,The Quintic Cycle,MS-0075,Form 75,categorical,0.33,0.71,0.9,0.3626,0.2617,0.2408,0.078,sympathetic,0.16,1825,P. Tross,classification_boundary,0.67,Classification boundary: The Quintic Cycle and Form 75 belong to distinct categories.,
EB-0207,MS-0117,Form 117,MS-0094,Form 94,spatial,0.44,0.62,0.87,0.0682,-0.3267,-0.1123,0.13,sympathetic,0.3,913,P. Tross,classification_boundary,0.84,Morphospace region boundary separating Form 117 from Form 94.,
EB-0208,MS-0060,Form 60,MS-0044,Form 44,structural,0.89,0.15,0.83,-0.2235,-0.5755,0.4011,0.073,antipathetic,0.94,1840,P. Tross,historical_inference,0.87,Structure divergence documented.,
EB-0209,MS-0109,Form 109,MS-0136,Form 136,behavioral,0.47,0.56,0.83,0.5103,-0.0691,0.7182,0.245,sympathetic,0.35,917,Boundary Commission,direct_observation,0.71,Behavioral boundary: Form 109 acts differently from Form 136.,
EB-0210,MS-0054,Form 54,MS-0051,Form 51,categorical,0.49,0.58,0.57,-0.2964,0.0637,0.0319,0.033,sympathetic,0.15,926,Boundary Commission,classification_boundary,0.89,Category edge detected in constellation analysis.,
EB-0211,MS-0073,Form 73,MS-0072,Form 72,spatial,0.96,0.07,0.32,-0.703,-0.4884,0.7159,0.124,antipathetic,0.57,1842,P. Tross,historical_inference,0.63,Physical distance boundary documented at coordinates.,
EB-0212,MS-0121,Form 121,MS-0059,Form 59,temporal,0.94,0.15,0.51,-0.2777,0.5403,0.072,0.235,antipathetic,0.62,927,Boundary Commission,trajectory_analysis,0.91,Temporal boundary: Form 121 and Form 59 occupy different time periods.,
EB-0213,MS-0134,Form 134,MS-0057,Form 57,behavioral,0.97,0.1,0.47,0.066,0.2074,-0.2428,0.057,antipathetic,0.57,1828,Western Archive Team,historical_inference,0.55,Behavioral separation documented in field observations.,
EB-0214,MS-0105,Form 105,MS-0057,Form 57,structural,0.41,0.58,0.9,-0.0198,0.0917,0.3894,0.044,oscillating,0.52,922,Senate Survey,trajectory_analysis,0.65,Structural boundary: physical forms differ.,
EB-0215,MS-0069,Form 69,MS-0141,Form 141,spatial,0.74,0.25,0.48,-0.1036,0.3144,-0.3398,0.14,antipathetic,0.67,1831,P. Tross,tension_measurement,0.58,Spatial boundary between Form 69 and Form 141 in morphospace.,
EB-0216,MS-0050,Form 50,MS-0078,Form 78,structural,0.75,0.28,0.7,0.329,0.1868,0.6224,0.096,antipathetic,0.89,926,Western Archive Team,tension_measurement,0.6,Morphological separation between Form 50 and Form 78.,
EB-0217,MS-0123,Form 123,MS-0125,Form 125,temporal,0.56,0.47,0.49,-0.3511,-0.1709,0.4769,0.053,neutral,0.56,926,Senate Survey,trajectory_analysis,0.59,Before/after boundary in developmental sequence.,
EB-0218,MS-0040,Form 40,MS-0130,Form 130,behavioral,0.9,0.07,0.55,-0.3402,-0.4117,-0.2141,0.249,antipathetic,0.59,1830,Western Archive Team,historical_inference,0.78,Pattern divergence between Form 40 and Form 130 behavior.,
EB-0219,MS-0066,Form 66,EN-004,Capital Domain,behavioral,0.79,0.23,0.57,-0.0341,-0.302,-0.3193,0.117,antipathetic,0.84,919,Archive Survey Team,tension_measurement,0.95,Action patterns differ across this boundary.,
EB-0220,MS-0039,Form 39,EN-012,Cluster Gamma,behavioral,0.28,0.73,0.75,-0.2001,0.31,-0.1796,0.137,sympathetic,0.35,929,P. Tross,direct_observation,0.83,Behavioral boundary: Form 39 acts differently from Cluster Gamma.,
EB-0221,MS-0059,Form 59,MS-0045,Form 45,spatial,0.58,0.4,0.53,-0.4206,-0.1633,-0.148,0.165,sympathetic,0.22,917,P. Tross,tension_measurement,0.6,Morphospace region boundary separating Form 59 from Form 45.,
EB-0222,MS-0098,Form 98,MS-0139,Form 139,spatial,0.86,0.19,0.74,-0.1307,0.1001,0.293,0.174,antipathetic,0.62,926,Boundary Commission,tension_measurement,0.56,Spatial boundary between Form 98 and Form 139 in morphospace.,
EB-0223,MS-0096,Form 96,MS-0046,Form 46,spatial,0.69,0.34,0.6,-0.3949,-0.4893,-0.3976,0.102,antipathetic,0.85,1841,Western Archive Team,classification_boundary,0.68,Physical distance boundary documented at coordinates.,
EB-0224,MS-0005,The Triad Form,MS-0100,Form 100,categorical,0.91,0.02,0.44,0.0397,0.2628,-0.0355,0.151,antipathetic,0.81,926,Archive Survey Team,classification_boundary,0.67,Category edge detected in constellation analysis.,
EB-0225,MS-0089,Form 89,MS-0058,Form 58,temporal,0.62,0.36,0.3,-0.317,0.4779,0.2918,0.163,oscillating,0.59,927,P. Tross,direct_observation,0.67,Temporal boundary: Form 89 and Form 58 occupy different time periods.,
EB-0226,MS-0119,Form 119,MS-0138,Form 138,temporal,0.46,0.49,0.37,-0.4746,-0.1828,-0.2769,0.188,sympathetic,0.12,924,Boundary Commission,classification_boundary,0.75,Before/after boundary in developmental sequence.,
EB-0227,MS-0147,Form 147,EN-004,Capital Domain,behavioral,0.54,0.48,0.67,0.2013,-0.1989,0.2394,0.05,sympathetic,0.13,924,Western Archive Team,historical_inference,0.71,Behavioral separation documented in field observations.,
EB-0228,MS-0083,Form 83,MS-0104,Form 104,spatial,0.36,0.67,0.92,-0.003,-0.3403,-0.3501,0.129,sympathetic,0.21,927,P. Tross,tension_measurement,0.69,Morphospace region boundary separating Form 83 from Form 104.,
EB-0229,MS-0068,Form 68,MS-0112,Form 112,structural,0.55,0.48,0.52,0.5376,0.0292,-0.312,0.171,neutral,0.54,1846,P. Tross,classification_boundary,0.95,Morphological separation between Form 68 and Form 112.,
EB-0230,MS-0066,Form 66,MS-0069,Form 69,spatial,0.47,0.53,0.54,-0.4982,0.1262,-0.5466,0.225,sympathetic,0.14,929,P. Tross,tension_measurement,0.69,Morphospace region boundary separating Form 66 from Form 69.,
EB-0231,MS-0149,Form 149,MS-0042,Form 42,spatial,0.75,0.16,0.68,-0.0139,0.0794,-0.3048,0.055,neutral,0.5,1842,P. Tross,classification_boundary,0.63,Morphospace region boundary separating Form 149 from Form 42.,
EB-0232,MS-0076,Form 76,MS-0148,Form 148,structural,0.56,0.38,0.58,0.1504,-0.1298,-0.2774,0.213,neutral,0.53,1851,Western Archive Team,trajectory_analysis,0.94,Morphological separation between Form 76 and Form 148.,
EB-0233,MS-0062,Form 62,MS-0076,Form 76,spatial,0.58,0.34,0.72,0.0635,-0.5091,0.0118,0.047,sympathetic,0.39,914,Archive Survey Team,tension_measurement,0.81,Physical distance boundary documented at coordinates.,
EB-0234,MS-0058,Form 58,MS-0035,Form 35,behavioral,0.28,0.74,0.95,-0.1016,0.1987,-0.3921,0.241,sympathetic,0.35,1849,Western Archive Team,tension_measurement,0.88,Behavioral boundary: Form 58 acts differently from Form 35.,
EB-0235,MS-0098,Form 98,MS-0110,Form 110,behavioral,0.65,0.41,0.6,-0.276,-0.1305,-0.1456,0.204,neutral,0.41,920,P. Tross,trajectory_analysis,0.95,Behavioral separation documented in field observations.,
EB-0236,MS-0142,Form 142,MS-0040,Form 40,categorical,0.42,0.61,0.51,-0.5096,0.1575,-0.1784,0.162,sympathetic,0.31,923,Western Archive Team,trajectory_analysis,0.6,Type boundary separating Form types.,
EB-0237,MS-0124,Form 124,MS-0030,Form 30,structural,0.4,0.68,0.63,-0.2118,-0.4482,0.3986,0.195,sympathetic,0.24,923,T. Vells,tension_measurement,0.6,Structural boundary: physical forms differ.,
EB-0238,MS-0105,Form 105,EN-001,The Prebel Zone,spatial,0.49,0.54,0.88,0.03,0.3841,0.1888,0.16,oscillating,0.49,914,Western Archive Team,trajectory_analysis,0.6,Geographic separation observed between Form 105 and The Prebel Zone.,
EB-0239,MS-0056,Form 56,MS-0140,Form 140,behavioral,0.98,0.02,0.38,-0.3714,-0.0365,-0.1653,0.19,antipathetic,0.8,925,Boundary Commission,classification_boundary,0.76,Pattern divergence between Form 56 and Form 140 behavior.,
EB-0240,MS-0046,Form 46,MS-0093,Form 93,identity,0.64,0.33,0.55,0.0219,0.2104,0.0063,0.026,sympathetic,0.11,916,Archive Survey Team,direct_observation,0.65,Individual identity separation.,
