observation_id,ghost_name,original_entity_type,original_entity_name,original_destruction_year,original_duration,ghost_type,manifestation,ghost_strength,ghost_stability,observation_location,dens_proximity_km,first_observation_year,observation_count,time_since_original,decay_rate,persistence_category,interacts_with_present,interaction_type,affects_new_substrates,primary_observer,observation_method,scavenger_recognized,confidence,description,notes
GO-0104,Old Trapper's Ghost,creature,,833,8,relational_ghost,operational feeling,0.49,0.44,Mill Creek ravine,112.8,875,41,42,0.021,permanent,True,affects_navigation,True,M. Tall,scavenger_guidance,False,0.76,Ghost of type relational_ghost observed at Dens boundary zone.,
GO-0105,The Boundary Shadow,structure,,,324,spatial_imprint,operational feeling,0.65,0.52,Mill Creek ravine,153.7,894,99,39,0.079,permanent,False,,False,Independent Observer,pattern_analysis,False,0.89,Ghost of type spatial_imprint observed at Dens boundary zone.,
GO-0106,Third Mill's Ghost,place,Third Mill,905,,form_shadow,memory fragments in observers,0.66,0.55,Deep Quarry tunnels,90.3,924,95,19,0.061,permanent,False,,False,Archive Survey Team,collective_testimony,True,0.48,Ghost of type form_shadow observed at Trapper camp ruins.,
GO-0107,The Archive Remnant,creature,Reed_Spinner specimen 20,846,,morphological_scar,operational feeling,0.52,0.64,Mill Creek ravine,128.8,873,37,27,,long_term,True,affects_navigation,False,Independent Observer,behavioral_tracking,True,0.7,Ghost of type morphological_scar observed at Mill Creek ravine.,
GO-0108,The Old Trapper Shadow,person,Individual of Year 877,847,282,behavioral_echo,pattern emergence in new entities,0.48,0.24,Deep Quarry tunnels,65.0,914,65,67,0.021,medium_term,True,creates_instability,True,Archive Survey Team,pattern_analysis,False,0.73,Ghost of type behavioral_echo observed at Capital Archives basement.,
GO-0109,The Lost Specimen,creature,Deep_Crawler specimen 58,912,,morphological_scar,spatial distortion,0.61,0.44,Trapper camp ruins,55.1,919,3,7,,medium_term,True,creates_instability,False,Boundary Commission,collective_testimony,False,0.7,Ghost of type morphological_scar observed at Western boundary region.,
GO-0110,The Old Trapper Shadow,creature,Leatherback specimen 60,828,,morphological_scar,sensation without source,0.52,0.28,Trapper camp ruins,57.4,887,52,59,,medium_term,True,creates_instability,False,Independent Observer,form_comparison,False,0.75,Ghost of type morphological_scar observed at Central processing area.,
GO-0111,The Observer Trace,place,,,,spatial_imprint,sensation without source,0.48,0.66,Old mine entrance,186.5,880,8,99,0.062,long_term,False,,False,Quarry Guild Records,scavenger_guidance,True,0.66,Ghost of type spatial_imprint observed at Dens boundary zone.,
GO-0112,The Third Mill Shadow,person,Individual of Year 889,920,365,collective_remnant,operational feeling,0.54,0.35,Northern observation post,30.4,931,91,11,0.143,short_term,False,,False,M. Tall,collective_testimony,False,0.88,Ghost of type collective_remnant observed at Western boundary region.,
GO-0113,The Eastern Ridge Echo,place,Northern Quarry,878,,form_shadow,sensation without source,0.59,0.65,Western boundary region,132.0,913,35,35,,long_term,False,,False,Quarry Guild Records,scavenger_guidance,False,0.94,Ghost of type form_shadow observed at Trapper camp ruins.,
GO-0114,The Lost Deep Tunnel,structure,Trapper's Rest,884,291,spatial_imprint,pattern emergence in new entities,0.77,0.31,Western boundary region,131.2,911,26,27,0.018,long_term,True,affects_navigation,False,Archive Survey Team,behavioral_tracking,False,0.88,Ghost of type spatial_imprint observed at Trapper camp ruins.,
GO-0115,The Lost Mill Creek,person,Individual of Year 881,,137,collective_remnant,visible outline,0.45,0.22,Mill Creek ravine,59.3,813,75,21,,medium_term,True,influences_new_forms,True,K. Strand,direct_perception,False,0.69,Ghost of type collective_remnant observed at Capital Archives basement.,
GO-0116,The Specimen Imprint,phenomenon,,836,,memorial_trace,sensation without source,0.59,0.69,Near Third Mill site,86.5,914,1,78,0.072,long_term,False,,False,Quarry Guild Records,scavenger_guidance,False,0.91,Ghost of type memorial_trace observed at Yeller Quarry eastern ridge.,
GO-0117,The Lost Observer,creature,,885,327,relational_ghost,sensation without source,0.78,0.57,Yeller Quarry eastern ridge,190.3,903,82,18,0.024,long_term,False,,False,S. Moll,scavenger_guidance,False,0.64,Ghost of type relational_ghost observed at Central processing area.,
GO-0118,The Northern Post Echo,phenomenon,,906,,memorial_trace,spatial distortion,0.27,0.79,Southern terraces,17.2,932,74,26,,short_term,False,,False,K. Strand,direct_perception,True,0.84,Ghost of type memorial_trace observed at Capital Archives basement.,
GO-0119,The Deep Tunnel Presence,place,Mill Creek,,197,form_shadow,memory fragments in observers,0.52,0.84,Deep Quarry tunnels,132.9,903,93,124,0.021,permanent,True,creates_instability,False,M. Tall,scavenger_guidance,True,0.69,Ghost of type form_shadow observed at Old mine entrance.,
GO-0120,The Mill Creek Imprint,creature,,835,439,memorial_trace,operational feeling,0.78,0.41,Deep Quarry tunnels,186.4,864,29,29,0.05,permanent,False,,False,Boundary Commission,direct_perception,True,0.59,Ghost of type memorial_trace observed at Central processing area.,
GO-0121,Specimen's Ghost,person,Individual of Year 873,,187,behavioral_echo,spatial distortion,0.88,0.39,Southern terraces,170.8,861,85,17,0.048,medium_term,True,affects_navigation,True,S. Moll,collective_testimony,False,0.57,Ghost of type behavioral_echo observed at Capital Archives basement.,
GO-0122,The Northern Post Memory,structure,Mill Creek,787,,form_shadow,presence awareness,0.57,0.22,Mill Creek ravine,30.0,860,28,73,0.124,long_term,True,creates_instability,True,Independent Observer,pattern_analysis,False,0.52,Ghost of type form_shadow observed at Old mine entrance.,
GO-0123,The Observer Presence,structure,,763,243,form_shadow,sensation without source,0.76,0.75,Northern observation post,171.5,809,51,46,0.027,permanent,True,triggers_memories,True,Archive Survey Team,scavenger_guidance,False,0.62,Ghost of type form_shadow observed at Western boundary region.,
GO-0124,Western Camp's Ghost,creature,Deep_Crawler specimen 7,,,morphological_scar,visible outline,0.69,0.37,Dens boundary zone,131.3,886,93,59,,long_term,True,influences_new_forms,False,T. Vells,form_comparison,False,0.63,Ghost of type morphological_scar observed at Western boundary region.,
GO-0125,The Old Trapper Imprint,structure,Mill Creek,795,251,spatial_imprint,memory fragments in observers,0.31,0.78,Old mine entrance,24.4,809,77,14,,short_term,False,,False,Quarry Guild Records,scavenger_guidance,False,0.77,Ghost of type spatial_imprint observed at Near Third Mill site.,
GO-0126,The Old Trapper Memory,place,,916,294,form_shadow,presence awareness,0.56,0.27,Capital Archives basement,55.8,929,89,13,,short_term,True,provides_template,True,R. Voss,scavenger_guidance,False,0.56,Ghost of type form_shadow observed at Western boundary region.,
GO-0127,The Observer Echo,place,Boundary Marker Seven,,420,spatial_imprint,behavioral influence,0.41,0.87,Deep Quarry tunnels,162.8,901,85,104,,permanent,True,affects_navigation,False,T. Vells,direct_perception,False,0.84,Ghost of type spatial_imprint observed at Near Third Mill site.,
GO-0128,The Observer Trace,structure,,917,,spatial_imprint,visible outline,0.2,0.79,Deep Quarry tunnels,18.5,920,39,3,0.326,ephemeral,True,provides_template,False,Boundary Commission,scavenger_guidance,False,0.48,Ghost of type spatial_imprint observed at Trapper camp ruins.,
GO-0129,The Old Trapper Remnant,collective,Crew of Year 866,,,collective_remnant,pattern emergence in new entities,0.5,0.34,Central processing area,108.1,918,46,78,0.012,medium_term,True,provides_template,True,K. Strand,behavioral_tracking,True,0.76,Ghost of type collective_remnant observed at Western boundary region.,
GO-0130,Northern Post's Ghost,phenomenon,,771,,memorial_trace,spatial distortion,0.87,0.24,Northern observation post,135.6,837,20,66,0.016,medium_term,False,,False,Quarry Guild Records,form_comparison,True,0.73,Ghost of type memorial_trace observed at Near Third Mill site.,
GO-0131,Boundary's Ghost,creature,Cave_Bat specimen 69,778,497,morphological_scar,pattern emergence in new entities,0.56,0.87,Northern observation post,81.9,919,14,141,,long_term,True,influences_new_forms,True,Boundary Commission,collective_testimony,False,0.67,Ghost of type morphological_scar observed at Southern terraces.,
GO-0132,The Observer Memory,creature,Deep_Crawler specimen 37,891,,morphological_scar,presence awareness,0.85,0.31,Central processing area,121.9,909,17,18,0.018,long_term,False,,False,K. Strand,scavenger_guidance,True,0.47,Ghost of type morphological_scar observed at Northern observation post.,
GO-0133,The Lost Deep Tunnel,pattern,,818,240,relational_ghost,memory fragments in observers,0.72,0.61,Capital Archives basement,183.8,825,55,7,0.033,medium_term,True,affects_navigation,True,M. Tall,behavioral_tracking,False,0.57,Ghost of type relational_ghost observed at Near Third Mill site.,
GO-0134,The Specimen Presence,person,Individual of Year 809,811,,collective_remnant,spatial distortion,0.33,0.79,Trapper camp ruins,19.6,932,64,121,0.125,short_term,True,provides_template,False,Quarry Guild Records,direct_perception,False,0.9,Ghost of type collective_remnant observed at Old mine entrance.,
GO-0135,The Lost Deep Tunnel,place,,838,,spatial_imprint,pattern emergence in new entities,0.73,0.61,Western boundary region,198.9,870,10,32,0.074,permanent,True,affects_navigation,False,S. Moll,form_comparison,False,0.49,Ghost of type spatial_imprint observed at Near Third Mill site.,
GO-0136,The Mill Creek Remnant,creature,Reed_Spinner specimen 70,780,,morphological_scar,presence awareness,0.42,0.58,Central processing area,60.5,855,63,75,0.048,long_term,True,influences_new_forms,False,Independent Observer,behavioral_tracking,False,0.4,Ghost of type morphological_scar observed at Old mine entrance.,
GO-0137,The Deep Tunnel Presence,collective,Crew of Year 845,,241,behavioral_echo,operational feeling,0.5,0.45,Dens boundary zone,86.7,778,39,26,0.045,medium_term,False,,False,T. Vells,collective_testimony,False,0.46,Ghost of type behavioral_echo observed at Trapper camp ruins.,
GO-0138,The Deep Tunnel Presence,collective,Crew of Year 820,785,,collective_remnant,visible outline,0.4,0.32,Western boundary region,149.7,876,86,91,0.071,permanent,True,creates_instability,False,Boundary Commission,direct_perception,False,0.7,Ghost of type collective_remnant observed at Mill Creek ravine.,
GO-0139,The Deep Tunnel Presence,person,Individual of Year 841,852,393,collective_remnant,pattern emergence in new entities,0.77,0.27,Yeller Quarry eastern ridge,145.5,917,87,65,,medium_term,True,creates_instability,False,S. Moll,form_comparison,False,0.56,Ghost of type collective_remnant observed at Near Third Mill site.,
GO-0140,Crew's Ghost,place,Deep Tunnels,,,form_shadow,spatial distortion,0.61,0.35,Deep Quarry tunnels,50.6,892,76,12,0.132,long_term,False,,False,T. Vells,pattern_analysis,True,0.62,Ghost of type form_shadow observed at Capital Archives basement.,
GO-0141,Old Trapper's Ghost,person,Individual of Year 854,754,262,behavioral_echo,operational feeling,0.65,0.71,Mill Creek ravine,40.7,912,7,158,0.069,long_term,False,,False,Boundary Commission,behavioral_tracking,True,0.59,Ghost of type behavioral_echo observed at Northern observation post.,
GO-0142,The Specimen Echo,collective,Crew of Year 806,796,,behavioral_echo,sensation without source,0.36,0.48,Dens boundary zone,1.1,807,39,11,0.196,short_term,False,,False,S. Moll,scavenger_guidance,False,0.87,Ghost of type behavioral_echo observed at Dens boundary zone.,
GO-0143,The Third Mill Echo,creature,Tunnel_Cat specimen 96,900,,morphological_scar,pattern emergence in new entities,0.41,0.73,Deep Quarry tunnels,48.4,924,91,24,0.096,short_term,True,influences_new_forms,True,K. Strand,collective_testimony,False,0.8,Ghost of type morphological_scar observed at Deep Quarry tunnels.,
GO-0144,The Lost Mill Creek,pattern,,,,relational_ghost,behavioral influence,0.27,0.79,Trapper camp ruins,26.4,801,54,12,0.313,medium_term,False,,False,K. Strand,direct_perception,True,0.55,Ghost of type relational_ghost observed at Western boundary region.,
GO-0145,The Specimen Memory,creature,Stakdur specimen 73,765,311,morphological_scar,memory fragments in observers,0.6,0.78,Deep Quarry tunnels,148.4,814,24,49,0.056,permanent,True,provides_template,True,S. Moll,collective_testimony,False,0.79,Ghost of type morphological_scar observed at Southern terraces.,
GO-0146,The Boundary Shadow,creature,Rock_Eel specimen 29,,405,morphological_scar,visible outline,0.35,0.34,Mill Creek ravine,54.4,916,32,91,,long_term,True,affects_navigation,False,S. Moll,scavenger_guidance,False,0.73,Ghost of type morphological_scar observed at Dens boundary zone.,
GO-0147,The Archive Presence,creature,Cave_Bat specimen 91,890,,morphological_scar,spatial distortion,0.6,0.79,Capital Archives basement,144.7,907,3,17,0.051,long_term,False,,False,C. Vells,direct_perception,False,0.78,Ghost of type morphological_scar observed at Mill Creek ravine.,
GO-0148,The Archive Imprint,creature,Deep_Crawler specimen 71,802,254,morphological_scar,spatial distortion,0.41,0.65,Trapper camp ruins,44.9,916,24,114,,medium_term,True,affects_navigation,True,R. Voss,scavenger_guidance,True,0.56,Ghost of type morphological_scar observed at Capital Archives basement.,
GO-0149,The Deep Tunnel Memory,person,Individual of Year 850,,,behavioral_echo,behavioral influence,0.13,0.78,Northern observation post,14.8,912,50,7,0.174,medium_term,True,influences_new_forms,False,S. Moll,pattern_analysis,True,0.45,Ghost of type behavioral_echo observed at Western boundary region.,
GO-0150,The Lost Deep Tunnel,person,Individual of Year 801,777,125,collective_remnant,visible outline,0.57,0.65,Southern terraces,147.5,916,89,139,0.058,medium_term,False,,False,K. Strand,direct_perception,True,0.42,Ghost of type collective_remnant observed at Southern terraces.,
GO-0151,Mill Creek's Ghost,creature,Cave_Bat specimen 66,856,,morphological_scar,behavioral influence,0.19,0.29,Trapper camp ruins,1.2,875,22,19,,short_term,False,,False,Archive Survey Team,direct_perception,False,0.55,Ghost of type morphological_scar observed at Near Third Mill site.,
GO-0152,The Survey Trace,structure,,780,458,relational_ghost,memory fragments in observers,0.86,0.29,Central processing area,184.7,873,37,93,0.072,permanent,True,influences_new_forms,True,R. Voss,scavenger_guidance,False,0.55,Ghost of type relational_ghost observed at Old mine entrance.,
GO-0153,The Northern Post Imprint,structure,,788,66,form_shadow,spatial distortion,0.46,0.69,Northern observation post,64.7,826,46,38,0.114,medium_term,True,creates_instability,True,Quarry Guild Records,collective_testimony,False,0.58,Ghost of type form_shadow observed at Mill Creek ravine.,
GO-0154,The Observer Imprint,collective,Crew of Year 853,890,,behavioral_echo,pattern emergence in new entities,0.65,0.43,Old mine entrance,108.2,922,12,32,0.045,medium_term,True,influences_new_forms,True,S. Moll,behavioral_tracking,False,0.93,Ghost of type behavioral_echo observed at Near Third Mill site.,
GO-0155,The Northern Post Presence,place,Deep Tunnels,825,,spatial_imprint,spatial distortion,0.44,0.35,Northern observation post,29.7,884,94,59,0.392,short_term,False,,False,Quarry Guild Records,behavioral_tracking,True,0.46,Ghost of type spatial_imprint observed at Central processing area.,
GO-0156,The Western Camp Shadow,place,,790,,spatial_imprint,memory fragments in observers,0.36,0.54,Trapper camp ruins,30.2,798,53,8,,short_term,False,,False,R. Voss,scavenger_guidance,False,0.56,Ghost of type spatial_imprint observed at Western boundary region.,
GO-0157,The Boundary Memory,structure,,,81,spatial_imprint,memory fragments in observers,0.46,0.79,Near Third Mill site,32.9,923,67,129,0.075,medium_term,False,,False,T. Vells,scavenger_guidance,True,0.74,Ghost of type spatial_imprint observed at Deep Quarry tunnels.,
GO-0158,The Deep Tunnel Imprint,place,,893,218,memorial_trace,pattern emergence in new entities,0.81,0.59,Capital Archives basement,168.5,932,14,39,0.04,long_term,True,triggers_memories,False,Independent Observer,direct_perception,True,0.49,Ghost of type memorial_trace observed at Near Third Mill site.,
GO-0159,The Survey Presence,structure,,,25,spatial_imprint,sensation without source,0.72,0.25,Near Third Mill site,110.8,854,40,25,0.007,long_term,True,triggers_memories,False,Quarry Guild Records,collective_testimony,True,0.81,Ghost of type spatial_imprint observed at Old mine entrance.,
GO-0160,The Lost Survey,creature,Digger specimen 90,,83,morphological_scar,spatial distortion,0.77,0.21,Mill Creek ravine,82.1,859,60,85,0.013,medium_term,False,,False,M. Tall,scavenger_guidance,True,0.52,Ghost of type morphological_scar observed at Mill Creek ravine.,
GO-0161,The Archive Remnant,person,Individual of Year 898,791,,collective_remnant,visible outline,0.76,0.76,Old mine entrance,103.7,920,100,129,0.054,long_term,True,affects_navigation,True,C. Vells,collective_testimony,True,0.48,Ghost of type collective_remnant observed at Mill Creek ravine.,
GO-0162,The Boundary Shadow,creature,,753,187,memorial_trace,sensation without source,0.55,0.5,Near Third Mill site,153.5,790,10,37,0.07,medium_term,True,creates_instability,True,R. Voss,behavioral_tracking,False,0.64,Ghost of type memorial_trace observed at Western boundary region.,
GO-0163,The Archive Trace,place,Northern Quarry,852,231,spatial_imprint,memory fragments in observers,0.86,0.51,Mill Creek ravine,171.5,905,6,53,0.015,long_term,False,,False,S. Moll,scavenger_guidance,False,0.78,Ghost of type spatial_imprint observed at Southern terraces.,
GO-0164,The Crew Trace,structure,,824,419,spatial_imprint,presence awareness,0.46,0.72,Near Third Mill site,32.5,873,11,49,0.029,medium_term,False,,False,M. Tall,form_comparison,False,0.51,Ghost of type spatial_imprint observed at Dens boundary zone.,
GO-0165,The Mill Creek Shadow,place,Old Survey Camp,874,308,spatial_imprint,operational feeling,0.64,0.53,Yeller Quarry eastern ridge,140.8,888,47,14,,medium_term,False,,False,R. Voss,pattern_analysis,True,0.88,Ghost of type spatial_imprint observed at Mill Creek ravine.,
GO-0166,The Observer Imprint,structure,,814,,memorial_trace,spatial distortion,0.36,0.38,Yeller Quarry eastern ridge,36.0,896,12,82,,short_term,False,,False,Quarry Guild Records,behavioral_tracking,False,0.56,Ghost of type memorial_trace observed at Deep Quarry tunnels.,
GO-0167,The Observer Presence,creature,Leatherback specimen 62,,40,morphological_scar,spatial distortion,0.48,0.75,Dens boundary zone,138.1,906,86,35,,long_term,True,triggers_memories,True,R. Voss,pattern_analysis,False,0.57,Ghost of type morphological_scar observed at Mill Creek ravine.,
GO-0168,The Third Mill Echo,structure,,883,,memorial_trace,operational feeling,0.28,0.58,Old mine entrance,1.7,930,70,47,,ephemeral,False,,False,C. Vells,form_comparison,True,0.52,Ghost of type memorial_trace observed at Deep Quarry tunnels.,
GO-0169,The Lost Specimen,person,Individual of Year 847,843,278,collective_remnant,operational feeling,0.42,0.62,Southern terraces,61.1,846,98,3,0.126,short_term,False,,False,T. Vells,form_comparison,False,0.5,Ghost of type collective_remnant observed at Central processing area.,
GO-0170,The Eastern Ridge Echo,collective,Crew of Year 848,,333,behavioral_echo,visible outline,0.74,0.82,Central processing area,132.3,931,53,109,0.053,permanent,False,,False,C. Vells,collective_testimony,True,0.64,Ghost of type behavioral_echo observed at Central processing area.,
GO-0171,The Western Camp Trace,structure,,,421,form_shadow,operational feeling,0.48,0.71,Yeller Quarry eastern ridge,45.4,885,48,28,,short_term,False,,False,K. Strand,behavioral_tracking,True,0.76,Ghost of type form_shadow observed at Capital Archives basement.,
GO-0172,The Deep Tunnel Trace,place,,,,form_shadow,pattern emergence in new entities,0.11,0.89,Southern terraces,7.5,858,51,107,0.337,medium_term,True,creates_instability,False,C. Vells,form_comparison,True,0.75,Ghost of type form_shadow observed at Old mine entrance.,
GO-0173,The Western Camp Imprint,collective,Crew of Year 840,882,284,behavioral_echo,spatial distortion,0.45,0.27,Dens boundary zone,88.0,893,27,11,0.065,permanent,True,influences_new_forms,True,C. Vells,pattern_analysis,True,0.79,Ghost of type behavioral_echo observed at Near Third Mill site.,
GO-0174,The Old Trapper Remnant,phenomenon,,756,400,relational_ghost,operational feeling,0.72,0.34,Capital Archives basement,196.7,790,85,34,0.063,medium_term,False,,False,M. Tall,pattern_analysis,False,0.75,Ghost of type relational_ghost observed at Central processing area.,
GO-0175,Specimen's Ghost,structure,Old Survey Camp,781,,form_shadow,operational feeling,0.2,0.5,Near Third Mill site,29.2,809,63,28,,ephemeral,True,influences_new_forms,True,Quarry Guild Records,form_comparison,False,0.75,Ghost of type form_shadow observed at Trapper camp ruins.,
GO-0176,The Northern Post Memory,structure,Third Mill,795,311,form_shadow,visible outline,0.24,0.56,Southern terraces,24.3,804,3,9,0.204,medium_term,True,affects_navigation,True,Independent Observer,direct_perception,False,0.42,Ghost of type form_shadow observed at Western boundary region.,
GO-0177,The Lost Specimen,person,Individual of Year 893,782,99,behavioral_echo,memory fragments in observers,0.38,0.53,Western boundary region,55.5,851,26,69,0.032,long_term,True,triggers_memories,False,M. Tall,collective_testimony,False,0.72,Ghost of type behavioral_echo observed at Western boundary region.,
GO-0178,The Old Trapper Imprint,structure,,874,324,form_shadow,behavioral influence,0.61,0.57,Trapper camp ruins,176.7,902,22,28,,long_term,False,,False,K. Strand,behavioral_tracking,False,0.56,Ghost of type form_shadow observed at Mill Creek ravine.,
GO-0179,The Archive Trace,structure,,851,5,relational_ghost,sensation without source,0.42,0.41,Old mine entrance,23.8,855,2,4,,ephemeral,True,affects_navigation,True,Independent Observer,pattern_analysis,False,0.61,Ghost of type relational_ghost observed at Central processing area.,
GO-0180,The Mill Creek Imprint,person,Individual of Year 813,,164,behavioral_echo,pattern emergence in new entities,0.87,0.24,Deep Quarry tunnels,143.5,911,7,18,,permanent,False,,False,R. Voss,direct_perception,False,0.63,Ghost of type behavioral_echo observed at Near Third Mill site.,
GO-0181,The Crew Presence,place,,903,,memorial_trace,operational feeling,0.52,0.59,Yeller Quarry eastern ridge,118.6,914,69,11,,medium_term,False,,False,S. Moll,behavioral_tracking,False,0.44,Ghost of type memorial_trace observed at Near Third Mill site.,
GO-0182,The Northern Post Remnant,place,,,329,form_shadow,behavioral influence,0.6,0.5,Dens boundary zone,151.0,861,80,41,0.047,long_term,True,affects_navigation,True,S. Moll,pattern_analysis,True,0.58,Ghost of type form_shadow observed at Old mine entrance.,
GO-0183,The Boundary Presence,collective,Crew of Year 828,,25,collective_remnant,memory fragments in observers,0.66,0.79,Near Third Mill site,39.0,816,34,23,0.068,long_term,False,,False,C. Vells,form_comparison,True,0.49,Ghost of type collective_remnant observed at Western boundary region.,
GO-0184,The Observer Memory,phenomenon,,780,251,relational_ghost,memory fragments in observers,0.36,0.58,Dens boundary zone,64.5,813,99,33,,medium_term,False,,False,Archive Survey Team,direct_perception,True,0.56,Ghost of type relational_ghost observed at Near Third Mill site.,
GO-0185,Crew's Ghost,creature,Ridge_Runner specimen 32,,54,morphological_scar,sensation without source,0.5,0.24,Deep Quarry tunnels,147.3,929,76,11,,long_term,True,provides_template,False,Boundary Commission,scavenger_guidance,False,0.48,Ghost of type morphological_scar observed at Southern terraces.,
GO-0186,The Survey Remnant,structure,Archive Basement,848,449,spatial_imprint,behavioral influence,0.66,0.24,Old mine entrance,173.7,906,15,58,0.064,medium_term,True,creates_instability,True,S. Moll,form_comparison,False,0.65,Ghost of type spatial_imprint observed at Capital Archives basement.,
GO-0187,The Northern Post Imprint,structure,Western Boundary,,97,spatial_imprint,operational feeling,0.65,0.73,Western boundary region,100.9,890,77,102,0.009,long_term,True,provides_template,True,Quarry Guild Records,direct_perception,False,0.76,Ghost of type spatial_imprint observed at Near Third Mill site.,
GO-0188,The Specimen Imprint,person,Individual of Year 806,759,422,behavioral_echo,memory fragments in observers,0.33,0.91,Trapper camp ruins,54.0,907,27,148,0.033,short_term,False,,False,Archive Survey Team,behavioral_tracking,False,0.79,Ghost of type behavioral_echo observed at Capital Archives basement.,
GO-0189,The Deep Tunnel Echo,person,Individual of Year 812,797,,collective_remnant,spatial distortion,0.71,0.68,Yeller Quarry eastern ridge,181.6,926,86,129,0.06,permanent,True,triggers_memories,True,Boundary Commission,direct_perception,True,0.82,Ghost of type collective_remnant observed at Yeller Quarry eastern ridge.,
GO-0190,The Old Trapper Remnant,structure,,871,76,relational_ghost,behavioral influence,0.45,0.69,Near Third Mill site,1.2,909,39,38,,ephemeral,True,triggers_memories,True,Independent Observer,collective_testimony,True,0.67,Ghost of type relational_ghost observed at Dens boundary zone.,
GO-0191,The Northern Post Memory,creature,,840,211,memorial_trace,pattern emergence in new entities,0.85,0.49,Mill Creek ravine,142.3,879,19,39,0.063,permanent,True,influences_new_forms,True,Quarry Guild Records,behavioral_tracking,True,0.45,Ghost of type memorial_trace observed at Northern observation post.,
GO-0192,The Archive Trace,person,Individual of Year 835,910,142,collective_remnant,memory fragments in observers,0.86,0.3,Deep Quarry tunnels,109.4,932,6,22,0.079,permanent,False,,False,Independent Observer,collective_testimony,True,0.84,Ghost of type collective_remnant observed at Central processing area.,
GO-0193,The Crew Remnant,place,Third Mill,877,,form_shadow,visible outline,0.57,0.57,Trapper camp ruins,30.3,921,6,44,0.088,medium_term,False,,False,C. Vells,direct_perception,True,0.57,Ghost of type form_shadow observed at Northern observation post.,
GO-0194,The Northern Post Echo,creature,Stakdur specimen 7,814,,morphological_scar,pattern emergence in new entities,0.41,0.78,Northern observation post,70.7,832,75,18,,long_term,True,triggers_memories,True,R. Voss,behavioral_tracking,True,0.77,Ghost of type morphological_scar observed at Northern observation post.,
GO-0195,The Mill Creek Shadow,phenomenon,,,214,memorial_trace,pattern emergence in new entities,0.7,0.61,Capital Archives basement,184.1,842,40,67,0.018,long_term,True,provides_template,False,R. Voss,collective_testimony,True,0.83,Ghost of type memorial_trace observed at Northern observation post.,
GO-0196,The Lost Third Mill,structure,,,393,spatial_imprint,operational feeling,0.76,0.48,Near Third Mill site,187.0,895,97,65,0.04,long_term,False,,False,Boundary Commission,pattern_analysis,False,0.61,Ghost of type spatial_imprint observed at Central processing area.,
GO-0197,The Crew Memory,collective,,,139,relational_ghost,behavioral influence,0.6,0.48,Dens boundary zone,151.3,832,77,7,0.035,medium_term,False,,False,Boundary Commission,collective_testimony,False,0.58,Ghost of type relational_ghost observed at Yeller Quarry eastern ridge.,
GO-0198,The Northern Post Remnant,structure,,,249,spatial_imprint,pattern emergence in new entities,0.88,0.58,Near Third Mill site,112.8,892,9,10,0.015,permanent,True,provides_template,False,K. Strand,direct_perception,True,0.46,Ghost of type spatial_imprint observed at Yeller Quarry eastern ridge.,
GO-0199,The Lost Mill Creek,place,Eastern Ridge,826,326,form_shadow,visible outline,0.49,0.36,Western boundary region,97.3,878,19,52,,permanent,False,,False,Archive Survey Team,pattern_analysis,False,0.78,Ghost of type form_shadow observed at Deep Quarry tunnels.,
GO-0200,The Crew Echo,phenomenon,,824,15,memorial_trace,memory fragments in observers,0.88,0.37,Trapper camp ruins,133.8,862,16,38,0.042,permanent,True,influences_new_forms,False,S. Moll,scavenger_guidance,False,0.76,Ghost of type memorial_trace observed at Trapper camp ruins.,
GO-0201,Archive's Ghost,place,,,263,spatial_imprint,behavioral influence,0.54,0.5,Western boundary region,144.9,926,84,57,0.079,long_term,False,,False,C. Vells,behavioral_tracking,False,0.87,Ghost of type spatial_imprint observed at Western boundary region.,
GO-0202,The Boundary Memory,creature,Rock_Eel specimen 51,767,490,morphological_scar,sensation without source,0.49,0.85,Central processing area,75.9,891,80,124,,long_term,True,influences_new_forms,True,T. Vells,pattern_analysis,True,0.46,Ghost of type morphological_scar observed at Mill Creek ravine.,
GO-0203,The Eastern Ridge Imprint,structure,,809,20,memorial_trace,behavioral influence,0.77,0.64,Trapper camp ruins,161.9,908,98,99,0.023,medium_term,True,influences_new_forms,False,Independent Observer,direct_perception,False,0.61,Ghost of type memorial_trace observed at Mill Creek ravine.,
GO-0204,The Western Camp Memory,collective,,,13,relational_ghost,behavioral influence,0.48,0.65,Deep Quarry tunnels,51.2,852,5,51,,short_term,True,influences_new_forms,True,Quarry Guild Records,collective_testimony,False,0.44,Ghost of type relational_ghost observed at Western boundary region.,
GO-0205,The Eastern Ridge Imprint,collective,Crew of Year 824,803,265,collective_remnant,memory fragments in observers,0.58,0.88,Near Third Mill site,100.7,925,16,122,0.072,medium_term,True,influences_new_forms,False,Independent Observer,direct_perception,True,0.92,Ghost of type collective_remnant observed at Capital Archives basement.,
GO-0206,The Boundary Memory,pattern,,841,358,memorial_trace,behavioral influence,0.48,0.55,Central processing area,174.6,850,61,9,,permanent,False,,False,Boundary Commission,scavenger_guidance,True,0.59,Ghost of type memorial_trace observed at Capital Archives basement.,
GO-0207,The Lost Eastern Ridge,collective,Crew of Year 897,,313,behavioral_echo,visible outline,0.63,0.75,Dens boundary zone,41.6,801,10,36,,long_term,True,provides_template,False,M. Tall,collective_testimony,False,0.47,Ghost of type behavioral_echo observed at Old mine entrance.,
