practitioner_id,institution,evaluation_regime,role,years_experience,outcome_accuracy,outcome_throughput,method_documentation_burden,reported_stress,reported_autonomy,innovation_attempts,innovation_successes,retention_risk,institutional_knowledge_score,dens_fieldwork
PRC-0224,Traders Guild,outcome_only,Port Agent,10,0.84,1.26,0.5,4,8,5,2,0.12,0.47,true
PRC-0225,Cartographer's Guild,opacity_convention,Island Mapper,14,0.90,1.02,1.9,3,7,4,2,0.09,0.71,true
PRC-0226,Capital Archive,process_disclosure,Comparative Analyst,4,0.81,1.18,7.4,6,4,2,0,0.23,0.66,false
PRC-0227,Traders Guild,outcome_only,Customs Specialist,13,0.85,1.22,0.6,5,7,4,2,0.14,0.51,false
PRC-0228,Cartographer's Guild,opacity_convention,Survey Assistant,7,0.84,1.14,1.5,4,7,4,2,0.10,0.59,true
PRC-0229,Capital Archive,process_disclosure,Dialect Researcher,17,0.91,0.90,9.5,8,2,0,0,0.46,0.89,false
PRC-0230,Traders Guild,outcome_only,Junior Trader,2,0.73,1.52,0.2,3,9,7,3,0.05,0.27,true
PRC-0231,Cartographer's Guild,opacity_convention,Map Illustrator,14,0.89,1.02,1.9,3,7,4,2,0.09,0.70,false
PRC-0232,Capital Archive,process_disclosure,Oral Historian,4,0.81,1.18,7.4,6,4,2,1,0.22,0.65,true
PRC-0233,Traders Guild,outcome_only,Senior Trader,6,0.80,1.35,0.4,4,8,5,2,0.09,0.40,true
PRC-0234,Cartographer's Guild,opacity_convention,Master Surveyor,16,0.91,0.98,2.1,3,8,5,3,0.07,0.75,true
PRC-0235,Capital Archive,process_disclosure,Document Authenticator,14,0.89,0.96,9.0,8,2,1,0,0.42,0.85,false
PRC-0236,Traders Guild,outcome_only,Route Planner,9,0.82,1.30,0.5,4,8,5,2,0.10,0.44,true
PRC-0237,Cartographer's Guild,opacity_convention,Field Surveyor,9,0.86,1.10,1.7,4,7,4,2,0.10,0.65,true
PRC-0238,Capital Archive,process_disclosure,Senior Archivist,10,0.87,1.02,8.5,7,3,1,0,0.35,0.80,false
PRC-0239,Traders Guild,outcome_only,Market Analyst,2,0.74,1.52,0.2,3,9,7,3,0.05,0.29,true
PRC-0240,Cartographer's Guild,opacity_convention,Terrain Analyst,16,0.91,0.98,2.1,3,8,5,2,0.08,0.74,true
PRC-0241,Capital Archive,process_disclosure,Research Analyst,8,0.85,1.08,8.0,7,3,1,0,0.30,0.75,false
PRC-0242,Traders Guild,outcome_only,Contract Negotiator,14,0.86,1.18,0.7,5,7,4,2,0.15,0.53,false
PRC-0243,Cartographer's Guild,opacity_convention,Expedition Leader,8,0.86,1.12,1.6,4,7,4,2,0.10,0.64,true
PRC-0244,Capital Archive,process_disclosure,Collection Curator,17,0.91,0.90,9.5,8,2,0,0,0.46,0.89,false
PRC-0245,Traders Guild,outcome_only,Inventory Manager,11,0.84,1.25,0.5,4,8,4,2,0.12,0.48,false
PRC-0246,Cartographer's Guild,opacity_convention,Boundary Marker,8,0.85,1.12,1.6,4,7,4,2,0.10,0.63,true
PRC-0247,Capital Archive,process_disclosure,Translation Specialist,9,0.86,1.04,8.3,7,3,1,0,0.33,0.77,false
PRC-0248,Traders Guild,outcome_only,Caravan Coordinator,15,0.87,1.18,0.8,5,7,4,2,0.16,0.54,true
PRC-0249,Cartographer's Guild,opacity_convention,Coastal Surveyor,4,0.82,1.20,1.4,4,7,4,2,0.11,0.56,true
PRC-0250,Capital Archive,process_disclosure,Manuscript Restorer,18,0.92,0.88,9.6,9,1,0,0,0.48,0.90,false
PRC-0251,Traders Guild,outcome_only,Commodity Appraiser,3,0.76,1.48,0.2,3,9,7,3,0.06,0.32,false
PRC-0252,Cartographer's Guild,opacity_convention,Mountain Guide,17,0.92,0.96,2.2,3,8,5,3,0.07,0.76,true
PRC-0253,Capital Archive,process_disclosure,Archive Indexer,15,0.90,0.95,9.2,8,2,0,0,0.44,0.87,false
PRC-0254,Traders Guild,outcome_only,Quality Inspector,13,0.85,1.22,0.6,5,7,4,2,0.14,0.51,false
PRC-0255,Cartographer's Guild,opacity_convention,River Navigator,4,0.82,1.20,1.4,4,7,4,2,0.11,0.57,true
PRC-0256,Capital Archive,process_disclosure,Linguistic Analyst,11,0.87,1.00,8.5,7,3,1,0,0.36,0.81,false
PRC-0257,Traders Guild,outcome_only,Trade Negotiator,13,0.85,1.22,0.6,5,7,4,2,0.14,0.51,true
PRC-0258,Cartographer's Guild,opacity_convention,Desert Surveyor,5,0.83,1.18,1.5,4,7,4,2,0.11,0.59,true
PRC-0259,Capital Archive,process_disclosure,Cartographic Historian,16,0.91,0.92,9.4,8,2,0,0,0.46,0.88,false
PRC-0260,Traders Guild,outcome_only,Warehouse Manager,8,0.81,1.32,0.4,4,8,5,2,0.09,0.42,false
PRC-0261,Cartographer's Guild,opacity_convention,Cave Surveyor,15,0.90,1.00,2.0,3,8,5,2,0.08,0.73,true
PRC-0262,Capital Archive,process_disclosure,Source Verifier,11,0.87,1.02,8.5,7,3,1,0,0.35,0.80,false
PRC-0263,Traders Guild,outcome_only,Port Agent,2,0.74,1.52,0.2,3,9,7,3,0.05,0.29,true
PRC-0264,Cartographer's Guild,opacity_convention,Island Mapper,8,0.85,1.12,1.6,4,7,4,2,0.10,0.63,true
PRC-0265,Capital Archive,process_disclosure,Comparative Analyst,16,0.91,0.92,9.4,8,2,0,0,0.46,0.88,false
PRC-0266,Traders Guild,outcome_only,Customs Specialist,3,0.76,1.45,0.2,3,9,6,3,0.06,0.33,false
PRC-0267,Cartographer's Guild,opacity_convention,Survey Assistant,8,0.85,1.12,1.5,4,7,4,2,0.10,0.60,true
PRC-0268,Capital Archive,process_disclosure,Dialect Researcher,5,0.82,1.15,7.5,6,4,2,0,0.24,0.68,false
PRC-0269,Traders Guild,outcome_only,Junior Trader,4,0.77,1.45,0.3,3,9,6,3,0.06,0.32,true
PRC-0270,Cartographer's Guild,opacity_convention,Map Illustrator,4,0.82,1.20,1.4,4,7,4,2,0.11,0.57,false
PRC-0271,Capital Archive,process_disclosure,Oral Historian,16,0.91,0.92,9.4,8,2,0,0,0.46,0.88,true
PRC-0272,Traders Guild,outcome_only,Senior Trader,4,0.78,1.40,0.3,3,9,6,3,0.07,0.36,true
PRC-0273,Cartographer's Guild,opacity_convention,Master Surveyor,14,0.90,1.02,2.0,3,7,4,2,0.09,0.72,true
PRC-0274,Capital Archive,process_disclosure,Document Authenticator,2,0.78,1.25,7.0,6,4,3,1,0.18,0.60,false
PRC-0275,Traders Guild,outcome_only,Route Planner,14,0.86,1.18,0.7,5,7,4,2,0.15,0.53,true
PRC-0276,Cartographer's Guild,opacity_convention,Field Surveyor,3,0.81,1.22,1.3,4,7,4,2,0.10,0.54,true
PRC-0277,Capital Archive,process_disclosure,Senior Archivist,6,0.83,1.12,7.6,6,4,2,0,0.26,0.70,false
PRC-0278,Traders Guild,outcome_only,Market Analyst,16,0.88,1.15,0.8,5,7,4,2,0.16,0.55,true
PRC-0279,Cartographer's Guild,opacity_convention,Terrain Analyst,2,0.79,1.26,1.2,4,7,5,2,0.09,0.52,true
PRC-0280,Capital Archive,process_disclosure,Research Analyst,16,0.91,0.92,9.4,8,2,0,0,0.46,0.88,false
PRC-0281,Traders Guild,outcome_only,Contract Negotiator,2,0.74,1.48,0.2,3,9,7,3,0.05,0.30,false
PRC-0282,Cartographer's Guild,opacity_convention,Expedition Leader,6,0.84,1.15,1.5,4,7,4,2,0.11,0.60,true
PRC-0283,Capital Archive,process_disclosure,Collection Curator,19,0.92,0.86,9.7,9,1,0,0,0.50,0.91,false
PRC-0284,Traders Guild,outcome_only,Inventory Manager,15,0.87,1.18,0.8,5,7,4,2,0.16,0.54,false
PRC-0285,Cartographer's Guild,opacity_convention,Boundary Marker,16,0.91,0.98,2.1,3,8,5,2,0.08,0.74,true
PRC-0286,Capital Archive,process_disclosure,Translation Specialist,3,0.80,1.20,7.2,6,4,2,1,0.20,0.64,false
PRC-0287,Traders Guild,outcome_only,Caravan Coordinator,3,0.76,1.45,0.2,3,9,6,3,0.06,0.33,true
PRC-0288,Cartographer's Guild,opacity_convention,Coastal Surveyor,18,0.92,0.94,2.2,3,8,5,3,0.07,0.77,true
PRC-0289,Capital Archive,process_disclosure,Manuscript Restorer,4,0.82,1.15,7.5,6,4,2,0,0.24,0.67,false
PRC-0290,Traders Guild,outcome_only,Commodity Appraiser,15,0.87,1.18,0.8,5,7,4,2,0.16,0.54,false
PRC-0291,Cartographer's Guild,opacity_convention,Mountain Guide,5,0.83,1.18,1.5,4,7,4,2,0.11,0.59,true
PRC-0292,Capital Archive,process_disclosure,Archive Indexer,17,0.91,0.90,9.5,8,2,0,0,0.46,0.89,false
PRC-0293,Traders Guild,outcome_only,Quality Inspector,15,0.87,1.18,0.8,5,7,4,2,0.16,0.54,false
PRC-0294,Cartographer's Guild,opacity_convention,River Navigator,16,0.91,0.98,2.1,3,8,5,2,0.08,0.74,true
PRC-0295,Capital Archive,process_disclosure,Linguistic Analyst,19,0.92,0.86,9.7,9,1,0,0,0.50,0.91,false
PRC-0296,Traders Guild,outcome_only,Trade Negotiator,15,0.87,1.18,0.8,5,7,4,2,0.16,0.54,true
PRC-0297,Cartographer's Guild,opacity_convention,Desert Surveyor,19,0.93,0.92,2.3,3,8,5,3,0.06,0.79,true
PRC-0298,Capital Archive,process_disclosure,Cartographic Historian,20,0.93,0.85,9.8,9,1,0,0,0.52,0.92,false
PRC-0299,Traders Guild,outcome_only,Warehouse Manager,2,0.74,1.50,0.2,3,9,7,3,0.05,0.28,false
PRC-0300,Cartographer's Guild,opacity_convention,Cave Surveyor,17,0.92,0.96,2.2,3,8,5,3,0.07,0.76,true
