observation_id,landmark_id,landmark_name,observer_name,date,time_of_day,weather,bearing_expected,bearing_measured,bearing_delta,distance_expected_km,distance_measured_km,distance_delta_km,instruments_used,instrument_count,instruments_failed,observer_state,visible,stable,notes
167,denstone_approach,Denstone Approach,Tenniv,1848-04-25,afternoon,clear,178,176.0,-2.0,142.3,144.27,1.97,notebook compass chain,3,none,calm,True,False,normal observation
168,twisted_grove,Twisted Grove,Korrith,1848-10-20,dusk,overcast,78,79.6,1.6,31.2,31.27,0.07,notebook compass chain,3,none,uneasy,True,True,position matches records
169,twisted_grove,Twisted Grove,Tenniv,1848-10-21,midday,fog,78,77.3,-0.7,31.2,31.42,0.22,notebook compass chain,3,none,calm,True,True,position matches records
170,twisted_grove,Twisted Grove,Prebel,1848-10-22,dawn,overcast,78,78.0,0.0,31.2,31.2,0.0,notebook,1,none,anxious,True,True,position matches records
171,twisted_grove,Twisted Grove,Prebel,1848-09-20,dawn,overcast,78,78.0,0.0,31.2,31.2,0.0,notebook,1,none,uneasy,True,True,position matches records
172,twisted_grove,Twisted Grove,Tenniv,1848-09-21,midday,clear,78,79.4,1.4,31.2,31.74,0.54,notebook compass chain,3,none,curious,True,False,normal observation
173,twisted_grove,Twisted Grove,Grell,1848-09-22,midday,fog,78,,,31.2,,,notebook compass chain,3,none,calm,False,False,NOT FOUND - Twisted Grove not visible
174,dry_wash,Dry Wash,Korrith,1848-01-08,dusk,clear,112,111.7,-0.3,45.6,45.7,0.1,notebook compass chain,3,theodolite,uneasy,True,True,position matches records
175,dry_wash,Dry Wash,Prebel,1848-01-09,dawn,overcast,112,112.0,0.0,45.6,45.6,0.0,notebook,1,none,calm,True,True,position matches records
176,dry_wash,Dry Wash,Tenniv,1848-01-10,dusk,overcast,112,,,45.6,,,notebook compass chain,3,none,curious,False,True,NOT FOUND - Dry Wash not visible
177,split_boulder,Split Boulder,Tenniv,1848-09-07,dusk,clear,156,150.9,-5.1,89.2,87.55,-1.65,notebook compass chain,3,none,frightened,True,False,moderate bearing variance
178,split_boulder,Split Boulder,Korrith,1848-09-08,midday,overcast,156,156.1,0.1,89.2,89.54,0.34,notebook compass chain,3,none,calm,True,True,position matches records
179,gray_spire,Gray Spire,Prebel,1848-08-15,midday,clear,45,45.0,0.0,23.4,23.4,0.0,notebook,1,none,calm,True,True,position matches records
180,gray_spire,Gray Spire,Tenniv,1848-08-16,midday,fog,45,44.2,-0.8,23.4,23.56,0.16,notebook compass chain,3,none,calm,True,True,position matches records
181,gray_spire,Gray Spire,Korrith,1848-08-17,midday,overcast,45,43.4,-1.6,23.4,23.19,-0.21,notebook compass chain,3,none,uneasy,True,True,position matches records
182,gray_spire,Gray Spire,Prebel,1848-10-20,dusk,overcast,45,45.0,0.0,23.4,23.4,0.0,notebook,1,none,calm,True,True,position matches records
183,gray_spire,Gray Spire,Tenniv,1848-10-21,afternoon,overcast,45,44.8,-0.2,23.4,23.19,-0.21,notebook compass chain,3,chain,curious,True,True,position matches records
184,gray_spire,Gray Spire,Korrith,1848-10-22,dusk,fog,45,46.3,1.3,23.4,22.78,-0.62,notebook compass chain,3,none,calm,True,False,normal observation
185,split_boulder,Split Boulder,Tenniv,1848-01-03,afternoon,clear,156,160.0,4.0,89.2,87.81,-1.39,notebook compass chain,3,none,calm,True,False,normal observation
186,split_boulder,Split Boulder,Grell,1848-01-04,afternoon,overcast,156,155.0,-1.0,89.2,88.35,-0.85,notebook compass chain,3,none,calm,True,True,position matches records
187,moat_crossing,Moat Crossing,Grell,1848-02-08,midday,clear,180,175.7,-4.3,187.0,185.26,-1.74,notebook compass chain,3,none,calm,True,False,normal observation
188,moat_crossing,Moat Crossing,Prebel,1848-02-09,dusk,clear,180,180.0,0.0,187.0,187.0,0.0,notebook,1,none,calm,True,True,position matches records
189,moat_crossing,Moat Crossing,Tenniv,1848-02-10,afternoon,clear,180,180.5,0.5,187.0,185.92,-1.08,notebook compass chain,3,none,anxious,True,True,position matches records
190,moat_crossing,Moat Crossing,Korrith,1848-02-11,afternoon,clear,180,181.3,1.3,187.0,182.11,-4.89,notebook compass chain,3,none,calm,True,False,normal observation
191,dry_wash,Dry Wash,Grell,1849-01-09,midday,clear,112,112.7,0.7,45.6,45.86,0.26,notebook compass chain,3,none,calm,True,True,position matches records
192,dry_wash,Dry Wash,Korrith,1849-01-10,dawn,clear,112,116.3,4.3,45.6,46.63,1.03,notebook compass chain,3,none,calm,True,False,normal observation
193,twisted_grove,Twisted Grove,Korrith,1849-05-15,midday,overcast,78,78.3,0.3,31.2,30.78,-0.42,notebook compass chain,3,theodolite,calm,True,False,normal observation
194,twisted_grove,Twisted Grove,Prebel,1849-05-16,afternoon,clear,78,78.0,0.0,31.2,31.2,0.0,notebook,1,none,calm,True,True,position matches records
195,twisted_grove,Twisted Grove,Korrith,1849-11-21,midday,clear,78,,,31.2,,,notebook compass chain,3,none,uneasy,False,True,NOT FOUND - Twisted Grove not visible
196,twisted_grove,Twisted Grove,Grell,1849-11-22,dusk,overcast,78,76.8,-1.2,31.2,31.6,0.4,notebook compass chain,3,none,calm,True,False,normal observation
197,twisted_grove,Twisted Grove,Prebel,1849-11-23,afternoon,clear,78,78.0,0.0,31.2,31.2,0.0,notebook,1,none,frightened,True,True,position matches records
198,moat_crossing,Moat Crossing,Korrith,1849-08-12,dusk,clear,180,179.1,-0.9,187.0,185.42,-1.58,notebook compass chain,3,none,calm,True,True,position matches records
199,moat_crossing,Moat Crossing,Grell,1849-08-13,dusk,clear,180,,,187.0,,,notebook compass chain,3,none,calm,False,False,NOT FOUND - Moat Crossing not visible
200,moat_crossing,Moat Crossing,Korrith,1849-03-15,afternoon,fog,180,177.5,-2.5,187.0,187.31,0.31,notebook compass chain,3,none,calm,True,False,normal observation
201,moat_crossing,Moat Crossing,Prebel,1849-03-16,midday,clear,180,180.0,0.0,187.0,187.0,0.0,notebook,1,none,calm,True,True,position matches records
202,twisted_grove,Twisted Grove,Grell,1849-03-23,afternoon,clear,78,75.7,-2.3,31.2,30.71,-0.49,notebook compass chain,3,none,uneasy,True,False,normal observation
203,twisted_grove,Twisted Grove,Prebel,1849-03-24,dawn,fog,78,78.0,0.0,31.2,31.2,0.0,notebook,1,none,calm,True,True,position matches records
204,twisted_grove,Twisted Grove,Prebel,1849-07-11,midday,clear,78,78.0,0.0,31.2,31.2,0.0,notebook,1,compass,calm,True,True,position matches records
205,twisted_grove,Twisted Grove,Korrith,1849-07-12,afternoon,fog,78,79.1,1.1,31.2,31.64,0.44,notebook compass chain,3,none,calm,True,False,normal observation
206,twisted_grove,Twisted Grove,Grell,1849-07-13,dusk,overcast,78,75.0,-3.0,31.2,30.38,-0.82,notebook compass chain,3,none,uneasy,True,False,normal observation
207,denstone_approach,Denstone Approach,Korrith,1849-11-24,afternoon,fog,178,181.2,3.2,142.3,143.0,0.7,notebook compass chain,3,none,uneasy,True,False,normal observation
208,denstone_approach,Denstone Approach,Prebel,1849-11-25,dawn,overcast,178,178.0,0.0,142.3,142.3,0.0,notebook,1,none,calm,True,True,position matches records
209,twisted_grove,Twisted Grove,Grell,1849-11-08,midday,clear,78,76.3,-1.7,31.2,31.07,-0.13,notebook compass chain,3,none,calm,True,True,position matches records
210,twisted_grove,Twisted Grove,Korrith,1849-11-09,midday,clear,78,76.5,-1.5,31.2,31.49,0.29,notebook compass chain,3,none,curious,True,True,position matches records
211,twisted_grove,Twisted Grove,Prebel,1849-11-10,dusk,dens_mist,78,78.0,0.0,31.2,31.2,0.0,notebook,1,none,curious,True,True,position matches records
212,twisted_grove,Twisted Grove,Prebel,1849-10-09,afternoon,fog,78,78.0,0.0,31.2,31.2,0.0,notebook,1,none,curious,True,True,position matches records
213,twisted_grove,Twisted Grove,Korrith,1849-10-10,midday,overcast,78,75.7,-2.3,31.2,31.28,0.08,notebook compass chain,3,none,calm,True,False,normal observation
214,twisted_grove,Twisted Grove,Grell,1849-10-11,midday,clear,78,75.9,-2.1,31.2,31.33,0.13,notebook compass chain,3,theodolite,uneasy,True,False,normal observation
215,denstone_approach,Denstone Approach,Grell,1850-06-24,midday,overcast,178,,,142.3,,,notebook compass chain,3,none,anxious,False,False,NOT FOUND - Denstone Approach not visible
216,denstone_approach,Denstone Approach,Prebel,1850-06-25,dusk,clear,178,178.0,0.0,142.3,142.3,0.0,notebook,1,none,calm,True,True,position matches records
217,denstone_approach,Denstone Approach,Korrith,1850-06-26,afternoon,fog,178,176.8,-1.2,142.3,142.14,-0.16,notebook compass chain,3,none,calm,True,True,position matches records
218,moat_crossing,Moat Crossing,Grell,1850-01-09,dusk,overcast,180,,,187.0,,,notebook compass chain,3,none,calm,False,False,NOT FOUND - Moat Crossing not visible
219,moat_crossing,Moat Crossing,Korrith,1850-01-10,dusk,overcast,180,177.4,-2.6,187.0,184.87,-2.13,notebook compass chain,3,none,calm,True,False,normal observation
220,moat_crossing,Moat Crossing,Prebel,1850-01-11,afternoon,overcast,180,,,187.0,,,notebook,1,none,uneasy,False,True,NOT FOUND - Moat Crossing not visible
221,denstone_approach,Denstone Approach,Prebel,1850-11-25,dusk,clear,178,178.0,0.0,142.3,142.3,0.0,notebook,1,none,calm,True,True,position matches records
222,denstone_approach,Denstone Approach,Korrith,1850-11-26,midday,dens_mist,178,,,142.3,,,notebook compass chain,3,none,frightened,False,False,NOT FOUND - Denstone Approach not visible
223,denstone_approach,Denstone Approach,Thurmond Gast,1850-11-27,dusk,fog,178,174.0,-4.0,142.3,141.75,-0.55,notebook compass chain,3,none,calm,True,False,normal observation
224,dry_wash,Dry Wash,Korrith,1850-11-12,midday,clear,112,,,45.6,,,notebook compass chain,3,chain,curious,False,False,NOT FOUND - Dry Wash not visible
225,dry_wash,Dry Wash,Grell,1850-11-13,dusk,clear,112,,,45.6,,,notebook compass chain,3,none,calm,False,False,NOT FOUND - Dry Wash not visible
226,twisted_grove,Twisted Grove,Thurmond Gast,1850-12-09,afternoon,overcast,78,80.1,2.1,31.2,32.09,0.89,notebook compass chain,3,none,calm,True,False,normal observation
227,twisted_grove,Twisted Grove,Grell,1850-12-10,dusk,overcast,78,76.8,-1.2,31.2,30.61,-0.59,notebook compass chain,3,none,calm,True,False,normal observation
228,twisted_grove,Twisted Grove,Prebel,1850-12-11,dusk,overcast,78,78.0,0.0,31.2,31.2,0.0,notebook,1,chain,uneasy,True,True,position matches records
229,twisted_grove,Twisted Grove,Korrith,1850-12-12,dawn,clear,78,79.1,1.1,31.2,30.83,-0.37,notebook compass chain,3,none,calm,True,False,normal observation
230,split_boulder,Split Boulder,Korrith,1850-06-22,afternoon,clear,156,153.6,-2.4,89.2,92.06,2.86,notebook compass chain,3,none,calm,True,False,normal observation
231,split_boulder,Split Boulder,Prebel,1850-06-23,afternoon,clear,156,156.0,0.0,89.2,89.2,0.0,notebook,1,none,calm,True,True,position matches records
232,twisted_grove,Twisted Grove,Thurmond Gast,1850-01-04,dusk,clear,78,78.0,-0.0,31.2,30.92,-0.28,notebook compass chain,3,none,calm,True,True,position matches records
233,twisted_grove,Twisted Grove,Prebel,1850-01-05,midday,clear,78,,,31.2,,,notebook,1,none,calm,False,True,NOT FOUND - Twisted Grove not visible
234,split_boulder,Split Boulder,Grell,1850-07-25,afternoon,clear,156,157.1,1.1,89.2,89.45,0.25,notebook compass chain,3,none,frightened,True,True,position matches records
235,split_boulder,Split Boulder,Prebel,1850-07-26,dusk,clear,156,,,89.2,,,notebook,1,none,calm,False,True,NOT FOUND - Split Boulder not visible
236,split_boulder,Split Boulder,Korrith,1850-07-27,midday,overcast,156,153.9,-2.1,89.2,90.39,1.19,notebook compass chain,3,none,calm,True,False,normal observation
237,split_boulder,Split Boulder,Prebel,1850-03-04,midday,overcast,156,156.0,0.0,89.2,89.2,0.0,notebook,1,none,calm,True,True,position matches records
238,split_boulder,Split Boulder,Korrith,1850-03-05,dawn,clear,156,,,89.2,,,notebook compass chain,3,theodolite,calm,False,False,NOT FOUND - Split Boulder not visible
239,split_boulder,Split Boulder,Grell,1850-03-06,dusk,clear,156,159.0,3.0,89.2,89.76,0.56,notebook compass chain,3,none,uneasy,True,False,normal observation
240,split_boulder,Split Boulder,Thurmond Gast,1850-03-07,midday,clear,156,153.7,-2.3,89.2,88.19,-1.01,notebook compass chain,3,none,calm,True,False,normal observation
241,split_boulder,Split Boulder,Prebel,1850-05-18,dawn,overcast,156,,,89.2,,,notebook,1,none,calm,False,True,NOT FOUND - Split Boulder not visible
242,split_boulder,Split Boulder,Grell,1850-05-19,dawn,clear,156,,,89.2,,,notebook compass chain,3,none,uneasy,False,False,NOT FOUND - Split Boulder not visible
243,split_boulder,Split Boulder,Thurmond Gast,1850-05-20,afternoon,clear,156,160.7,4.7,89.2,87.82,-1.38,notebook compass chain,3,none,calm,True,False,normal observation
244,twisted_grove,Twisted Grove,Prebel,1851-12-27,dusk,clear,78,78.0,0.0,31.2,31.2,0.0,notebook,1,none,calm,True,True,position matches records
245,twisted_grove,Twisted Grove,Thurmond Gast,1851-12-28,dawn,overcast,78,80.3,2.3,31.2,31.29,0.09,notebook compass chain,3,chain,uneasy,True,False,normal observation
246,twisted_grove,Twisted Grove,Korrith,1851-12-29,dawn,overcast,78,82.3,4.3,31.2,31.59,0.39,notebook compass chain,3,theodolite,frightened,True,False,normal observation
247,split_boulder,Split Boulder,Prebel,1851-11-10,afternoon,overcast,156,156.0,0.0,89.2,89.2,0.0,notebook,1,none,calm,True,True,position matches records
248,split_boulder,Split Boulder,Thurmond Gast,1851-11-11,dawn,clear,156,154.9,-1.1,89.2,87.11,-2.09,notebook compass chain,3,none,calm,True,False,normal observation
249,split_boulder,Split Boulder,Korrith,1851-11-12,afternoon,clear,156,153.7,-2.3,89.2,87.93,-1.27,notebook compass chain,3,chain,anxious,True,False,normal observation
250,split_boulder,Split Boulder,Grell,1851-11-13,midday,overcast,156,,,89.2,,,notebook compass chain,3,none,calm,False,True,NOT FOUND - Split Boulder not visible
251,gray_spire,Gray Spire,Prebel,1851-11-16,dusk,clear,45,45.0,0.0,23.4,23.4,0.0,notebook,1,none,uneasy,True,True,position matches records
252,gray_spire,Gray Spire,Korrith,1851-11-17,midday,clear,45,46.5,1.5,23.4,23.77,0.37,notebook compass chain,3,none,uneasy,True,False,normal observation
253,dry_wash,Dry Wash,Prebel,1851-11-14,dusk,clear,112,112.0,0.0,45.6,45.6,0.0,notebook,1,none,calm,True,True,position matches records
254,dry_wash,Dry Wash,Grell,1851-11-15,midday,clear,112,105.5,-6.5,45.6,45.31,-0.29,notebook compass chain,3,none,calm,True,False,moderate bearing variance
255,dry_wash,Dry Wash,Grell,1851-08-16,midday,overcast,112,108.8,-3.2,45.6,45.57,-0.03,notebook compass chain,3,none,calm,True,False,normal observation
256,dry_wash,Dry Wash,Prebel,1851-08-17,afternoon,fog,112,112.0,0.0,45.6,45.6,0.0,notebook,1,none,calm,True,True,position matches records
257,dry_wash,Dry Wash,Korrith,1851-08-18,midday,overcast,112,114.7,2.7,45.6,46.04,0.44,notebook compass chain,3,none,curious,True,False,normal observation
258,standing_stones,Standing Stones,Korrith,1851-07-22,afternoon,clear,134,132.6,-1.4,67.8,69.09,1.29,notebook compass chain,3,none,calm,True,False,normal observation
259,standing_stones,Standing Stones,Thurmond Gast,1851-07-23,dusk,overcast,134,132.8,-1.2,67.8,70.17,2.37,notebook compass chain,3,none,calm,True,False,normal observation
260,standing_stones,Standing Stones,Prebel,1851-08-12,dawn,clear,134,134.0,0.0,67.8,67.8,0.0,notebook,1,none,curious,True,True,position matches records
261,standing_stones,Standing Stones,Korrith,1851-08-13,midday,clear,134,137.1,3.1,67.8,66.4,-1.4,notebook compass chain,3,none,calm,True,False,normal observation
262,standing_stones,Standing Stones,Grell,1851-08-14,dusk,clear,134,135.6,1.6,67.8,66.44,-1.36,notebook compass chain,3,none,calm,True,False,normal observation
263,standing_stones,Standing Stones,Thurmond Gast,1851-08-15,midday,overcast,134,133.9,-0.1,67.8,67.6,-0.2,notebook compass chain,3,none,uneasy,True,True,position matches records
264,split_boulder,Split Boulder,Korrith,1851-10-08,dawn,clear,156,153.1,-2.9,89.2,89.13,-0.07,notebook compass chain,3,none,curious,True,False,normal observation
265,split_boulder,Split Boulder,Thurmond Gast,1851-10-09,midday,clear,156,,,89.2,,,notebook compass chain,3,theodolite,calm,False,False,NOT FOUND - Split Boulder not visible
266,twisted_grove,Twisted Grove,Korrith,1851-01-24,dawn,clear,78,76.4,-1.6,31.2,31.75,0.55,notebook compass chain,3,none,calm,True,False,normal observation
267,twisted_grove,Twisted Grove,Thurmond Gast,1851-01-25,afternoon,overcast,78,,,31.2,,,notebook compass chain,3,none,calm,False,False,NOT FOUND - Twisted Grove not visible
268,twisted_grove,Twisted Grove,Grell,1851-01-26,dusk,clear,78,76.2,-1.8,31.2,30.86,-0.34,notebook compass chain,3,none,curious,True,False,normal observation
269,twisted_grove,Twisted Grove,Prebel,1851-01-27,midday,overcast,78,78.0,0.0,31.2,31.2,0.0,notebook,1,none,calm,True,True,position matches records
270,denstone_approach,Denstone Approach,Korrith,1851-10-10,afternoon,fog,178,176.6,-1.4,142.3,140.24,-2.06,notebook compass chain,3,none,calm,True,False,normal observation
271,denstone_approach,Denstone Approach,Grell,1851-10-11,dawn,clear,178,175.6,-2.4,142.3,139.92,-2.38,notebook compass chain,3,none,anxious,True,False,normal observation
272,moat_crossing,Moat Crossing,Grell,1852-02-13,afternoon,overcast,180,178.4,-1.6,187.0,188.81,1.81,notebook compass chain,3,none,calm,True,True,position matches records
273,moat_crossing,Moat Crossing,Korrith,1852-02-14,dusk,fog,180,178.2,-1.8,187.0,184.74,-2.26,notebook compass chain,3,none,anxious,True,False,normal observation
274,split_boulder,Split Boulder,Prebel,1852-07-02,dusk,overcast,156,,,89.2,,,notebook,1,none,curious,False,True,NOT FOUND - Split Boulder not visible
275,split_boulder,Split Boulder,Korrith,1852-07-03,midday,overcast,156,158.9,2.9,89.2,87.7,-1.5,notebook compass chain,3,none,frightened,True,False,normal observation
276,split_boulder,Split Boulder,Grell,1852-07-04,afternoon,clear,156,160.5,4.5,89.2,87.48,-1.72,notebook compass chain,3,none,calm,True,False,normal observation
277,denstone_approach,Denstone Approach,Thurmond Gast,1852-12-19,midday,overcast,178,179.0,1.0,142.3,143.45,1.15,notebook compass chain,3,none,calm,True,True,position matches records
278,denstone_approach,Denstone Approach,Grell,1852-12-20,dusk,clear,178,174.7,-3.3,142.3,139.53,-2.77,notebook compass chain,3,none,frightened,True,False,normal observation
279,twisted_grove,Twisted Grove,Thurmond Gast,1852-07-27,midday,fog,78,78.8,0.8,31.2,31.1,-0.1,notebook compass chain,3,none,uneasy,True,True,position matches records
280,twisted_grove,Twisted Grove,Prebel,1852-07-28,afternoon,overcast,78,78.0,0.0,31.2,31.2,0.0,notebook,1,none,calm,True,True,position matches records
281,twisted_grove,Twisted Grove,Grell,1852-07-29,afternoon,clear,78,76.5,-1.5,31.2,31.16,-0.04,notebook compass chain,3,none,calm,True,True,position matches records
282,twisted_grove,Twisted Grove,Korrith,1852-07-30,afternoon,overcast,78,79.6,1.6,31.2,31.01,-0.19,notebook compass chain,3,theodolite,frightened,True,True,position matches records
283,standing_stones,Standing Stones,Grell,1852-08-07,afternoon,clear,134,136.6,2.6,67.8,67.7,-0.1,notebook compass chain,3,none,curious,True,False,normal observation
284,standing_stones,Standing Stones,Korrith,1852-08-08,dusk,clear,134,137.5,3.5,67.8,65.47,-2.33,notebook compass chain,3,none,curious,True,False,normal observation
285,standing_stones,Standing Stones,Thurmond Gast,1852-08-09,dawn,overcast,134,,,67.8,,,notebook compass chain,3,none,uneasy,False,True,NOT FOUND - Standing Stones not visible
286,standing_stones,Standing Stones,Prebel,1852-08-10,midday,clear,134,134.0,0.0,67.8,67.8,0.0,notebook,1,none,calm,True,True,position matches records
287,denstone_approach,Denstone Approach,Grell,1852-11-15,midday,fog,178,179.6,1.6,142.3,139.88,-2.42,notebook compass chain,3,none,anxious,True,False,normal observation
288,denstone_approach,Denstone Approach,Korrith,1852-11-16,dawn,clear,178,178.9,0.9,142.3,142.39,0.09,notebook compass chain,3,none,calm,True,True,position matches records
289,denstone_approach,Denstone Approach,Thurmond Gast,1852-11-17,midday,clear,178,177.0,-1.0,142.3,142.21,-0.09,notebook compass chain,3,none,calm,True,True,position matches records
290,denstone_approach,Denstone Approach,Prebel,1852-09-24,midday,clear,178,178.0,0.0,142.3,142.3,0.0,notebook,1,none,calm,True,True,position matches records
291,denstone_approach,Denstone Approach,Korrith,1852-09-25,midday,clear,178,175.8,-2.2,142.3,146.73,4.43,notebook compass chain,3,none,uneasy,True,False,normal observation
292,denstone_approach,Denstone Approach,Thurmond Gast,1852-09-26,dusk,clear,178,,,142.3,,,notebook compass chain,3,none,curious,False,False,NOT FOUND - Denstone Approach not visible
293,gray_spire,Gray Spire,Korrith,1852-10-25,dawn,fog,45,46.3,1.3,23.4,24.31,0.91,notebook compass chain,3,none,calm,True,False,normal observation
294,gray_spire,Gray Spire,Prebel,1852-10-26,dawn,fog,45,45.0,0.0,23.4,23.4,0.0,notebook,1,none,calm,True,True,position matches records
295,standing_stones,Standing Stones,Thurmond Gast,1852-11-01,dawn,clear,134,133.8,-0.2,67.8,67.26,-0.54,notebook compass chain,3,none,curious,True,True,position matches records
296,standing_stones,Standing Stones,Grell,1852-11-02,midday,clear,134,134.7,0.7,67.8,68.32,0.52,notebook compass chain,3,none,uneasy,True,True,position matches records
297,dry_wash,Dry Wash,Grell,1852-07-08,dawn,fog,112,112.8,0.8,45.6,45.82,0.22,notebook compass chain,3,none,calm,True,True,position matches records
298,dry_wash,Dry Wash,Prebel,1852-07-09,afternoon,clear,112,112.0,0.0,45.6,45.6,0.0,notebook,1,none,calm,True,True,position matches records
299,dry_wash,Dry Wash,Korrith,1852-07-10,dawn,clear,112,112.3,0.3,45.6,44.5,-1.1,notebook compass chain,3,none,calm,True,False,normal observation
300,dry_wash,Dry Wash,Thurmond Gast,1852-07-11,dawn,clear,112,,,45.6,,,notebook compass chain,3,none,calm,False,False,NOT FOUND - Dry Wash not visible
301,gray_spire,Gray Spire,Prebel,1853-10-17,dusk,fog,45,45.0,0.0,23.4,23.4,0.0,notebook,1,none,calm,True,True,position matches records
302,gray_spire,Gray Spire,Grell,1853-10-18,afternoon,dens_mist,45,45.5,0.5,23.4,24.01,0.61,notebook compass chain,3,none,curious,True,False,normal observation
303,gray_spire,Gray Spire,Thurmond Gast,1853-10-19,dusk,clear,45,43.6,-1.4,23.4,22.54,-0.86,notebook compass chain,3,none,calm,True,False,normal observation
304,gray_spire,Gray Spire,Korrith,1853-10-20,dusk,clear,45,43.7,-1.3,23.4,23.09,-0.31,notebook compass chain,3,none,anxious,True,False,normal observation
305,moat_crossing,Moat Crossing,Grell,1853-01-05,midday,clear,180,177.9,-2.1,187.0,192.05,5.05,notebook compass chain,3,theodolite,uneasy,True,False,distance significantly different (5.1km)
306,moat_crossing,Moat Crossing,Prebel,1853-01-06,dawn,dens_mist,180,180.0,0.0,187.0,187.0,0.0,notebook,1,none,calm,True,True,position matches records
307,moat_crossing,Moat Crossing,Thurmond Gast,1853-01-07,dawn,clear,180,179.2,-0.8,187.0,186.62,-0.38,notebook compass chain,3,none,frightened,True,True,position matches records
308,moat_crossing,Moat Crossing,Korrith,1853-01-08,dawn,clear,180,180.1,0.1,187.0,190.71,3.71,notebook compass chain,3,none,calm,True,False,normal observation
309,moat_crossing,Moat Crossing,Thurmond Gast,1853-01-09,dawn,fog,180,181.4,1.4,187.0,188.49,1.49,notebook compass chain,3,none,calm,True,True,position matches records
310,moat_crossing,Moat Crossing,Korrith,1853-01-10,dusk,overcast,180,177.1,-2.9,187.0,190.79,3.79,notebook compass chain,3,none,calm,True,False,normal observation
311,moat_crossing,Moat Crossing,Grell,1853-01-11,dusk,overcast,180,180.9,0.9,187.0,186.8,-0.2,notebook compass chain,3,none,calm,True,True,position matches records
312,moat_crossing,Moat Crossing,Prebel,1853-01-12,dawn,fog,180,180.0,0.0,187.0,187.0,0.0,notebook,1,none,curious,True,True,position matches records
313,dry_wash,Dry Wash,Prebel,1853-04-18,midday,overcast,112,112.0,0.0,45.6,45.6,0.0,notebook,1,theodolite,anxious,True,True,position matches records
314,dry_wash,Dry Wash,Grell,1853-04-19,dawn,clear,112,112.4,0.4,45.6,45.08,-0.52,notebook compass chain,3,none,calm,True,False,normal observation
315,dry_wash,Dry Wash,Thurmond Gast,1853-04-20,dusk,clear,112,,,45.6,,,notebook compass chain,3,none,calm,False,False,NOT FOUND - Dry Wash not visible
316,gray_spire,Gray Spire,Prebel,1853-08-26,dusk,fog,45,45.0,0.0,23.4,23.4,0.0,notebook,1,compass,curious,True,True,position matches records
317,gray_spire,Gray Spire,Korrith,1853-08-27,midday,clear,45,43.0,-2.0,23.4,22.93,-0.47,notebook compass chain,3,none,calm,True,False,normal observation
318,moat_crossing,Moat Crossing,Korrith,1853-11-15,dusk,overcast,180,184.0,4.0,187.0,186.63,-0.37,notebook compass chain,3,none,calm,True,False,normal observation
319,moat_crossing,Moat Crossing,Prebel,1853-11-16,dawn,overcast,180,,,187.0,,,notebook,1,none,calm,False,True,NOT FOUND - Moat Crossing not visible
320,moat_crossing,Moat Crossing,Grell,1853-11-17,dusk,dens_mist,180,,,187.0,,,notebook compass chain,3,none,calm,False,True,NOT FOUND - Moat Crossing not visible
321,moat_crossing,Moat Crossing,Thurmond Gast,1853-11-18,dawn,clear,180,,,187.0,,,notebook compass chain,3,theodolite,curious,False,True,NOT FOUND - Moat Crossing not visible
322,twisted_grove,Twisted Grove,Grell,1853-04-16,dawn,clear,78,77.4,-0.6,31.2,31.1,-0.1,notebook compass chain,3,none,curious,True,True,position matches records
323,twisted_grove,Twisted Grove,Thurmond Gast,1853-04-17,dusk,fog,78,77.8,-0.2,31.2,31.42,0.22,notebook compass chain,3,none,calm,True,True,position matches records
324,denstone_approach,Denstone Approach,Prebel,1853-12-16,afternoon,dens_mist,178,178.0,0.0,142.3,142.3,0.0,notebook,1,none,calm,True,True,position matches records
325,denstone_approach,Denstone Approach,Grell,1853-12-17,afternoon,fog,178,,,142.3,,,notebook compass chain,3,none,calm,False,True,NOT FOUND - Denstone Approach not visible
326,denstone_approach,Denstone Approach,Thurmond Gast,1853-12-18,midday,overcast,178,178.1,0.1,142.3,143.2,0.9,notebook compass chain,3,none,uneasy,True,True,position matches records
327,standing_stones,Standing Stones,Grell,1853-05-19,dawn,fog,134,138.6,4.6,67.8,69.38,1.58,notebook compass chain,3,none,calm,True,False,normal observation
328,standing_stones,Standing Stones,Thurmond Gast,1853-05-20,dawn,overcast,134,133.3,-0.7,67.8,66.14,-1.66,notebook compass chain,3,none,anxious,True,False,normal observation
329,standing_stones,Standing Stones,Prebel,1853-05-21,dusk,overcast,134,134.0,0.0,67.8,67.8,0.0,notebook,1,none,calm,True,True,position matches records
330,dry_wash,Dry Wash,Grell,1853-03-23,dawn,clear,112,113.0,1.0,45.6,45.78,0.18,notebook compass chain,3,none,frightened,True,True,position matches records
331,dry_wash,Dry Wash,Prebel,1853-03-24,dawn,fog,112,112.0,0.0,45.6,45.6,0.0,notebook,1,none,calm,True,True,position matches records
332,dry_wash,Dry Wash,Korrith,1853-03-25,dawn,dens_mist,112,110.3,-1.7,45.6,43.87,-1.73,notebook compass chain,3,none,curious,True,False,normal observation
333,standing_stones,Standing Stones,Grell,1854-06-08,midday,clear,134,133.0,-1.0,67.8,67.79,-0.01,notebook compass chain,3,none,calm,True,True,position matches records
334,standing_stones,Standing Stones,Prebel,1854-06-09,dusk,fog,134,134.0,0.0,67.8,67.8,0.0,notebook,1,none,calm,True,True,position matches records
