collapse_id,case_name,entity_type,entity_id,entity_scale,pre_temporal_days,pre_spatial_km,pre_social_individuals,pre_abstract_score,pre_profile,post_temporal_days,post_spatial_km,post_social_individuals,post_abstract_score,post_profile,collapse_severity,collapse_speed,collapse_duration_days,primary_dimension_collapsed,collapse_cause,collapse_trigger_event,collapse_year,dens_proximity_km,dens_related,subject_experience,pain_during_collapse,recovery_attempted,recovery_method,recovery_outcome,recovery_duration_days,permanent_deficit,documenter,documentation_source,strand_case_number,confidence,description,implications,notes
HC-0082,Case 82 (Institutional Failure),person,ENT-802,individual,2995.1,465.19,121,0.77,visionary,268.669,83.456,10,0.41,survivor,11.1,gradual,129,temporal,institutional_failure,purpose lost,916,153.8,False,purpose_forgetting,True,True,social_reconnection,full_recovery,35,False,Archive Survey Team,behavioral_observation,SC-280,0.82,Horizon collapse case: institutional failure,,
HC-0083,Case 83 (Trauma Psychological),collective,ENT-461,small_group,2848.9,246.82,173,0.15,visionary,377.213,65.361,22,0,survivor,7.6,rapid,143,temporal,trauma_psychological,betrayal,928,109.2,False,emptiness,False,True,social_reconnection,full_recovery,317,False,Klutch CC Counseling,clinical_record,,0.87,Horizon collapse case: trauma psychological,,
HC-0084,Case 84 (Trauma Physical),creature,ENT-597,organ,3444.5,392.07,309,0.76,visionary,33.948,7.728,3,0.43,survivor,101.5,instantaneous,4,temporal,trauma_physical,cave-in,908,451.0,False,unreal_distance,False,True,social_reconnection,stable_narrowed,955,True,C. Vells,behavioral_observation,,0.57,Horizon collapse case: trauma physical,,
HC-0085,Case 85 (Identity Loss),person,ENT-874,individual,559.2,415.53,69,0.76,standard_student,27.92,41.497,3,0.21,survivor,20.0,rapid,22,temporal,identity_loss,forgot own name,918,414.0,False,no_description,False,False,,not_attempted,,True,Klutch CC Counseling,self_report,,0.76,Horizon collapse case: identity loss,,
HC-0086,Case 86 (Isolation Prolonged),collective,ENT-883,small_group,3535.7,289.08,330,0.75,standard_worker,222.944,36.457,20,0.14,survivor,15.9,rapid,29,temporal,isolation_prolonged,months alone,905,333.3,False,emptiness,False,True,social_reconnection,ongoing,245,False,M. Strand,behavioral_observation,,0.7,Horizon collapse case: isolation prolonged,,
HC-0087,Case 87 (Isolation Prolonged),person,ENT-917,individual,3648.1,321.88,196,0.4,standard_worker,80.415,14.191,4,0.06,survivor,45.4,rapid,164,temporal,isolation_prolonged,exile,905,225.6,False,purpose_forgetting,False,False,,not_attempted,,True,Boundary Commission,clinical_record,SC-451,0.9,Horizon collapse case: isolation prolonged,,
HC-0088,Case 88 (Trauma Physical),creature,ENT-148,organ,3554.5,279.59,20,0.42,standard_student,32.969,5.187,0,0.1,survivor,107.8,rapid,5,temporal,trauma_physical,creature attack,900,51.4,False,unreal_distance,False,False,,not_attempted,,True,Independent Observer,third_party_testimony,,0.54,Horizon collapse case: trauma physical,,
HC-0089,Case 89 (Institutional Failure),person,ENT-802,individual,2385.5,272.64,292,0.52,standard_student,218.831,50.02,26,0,survivor,10.9,rapid,13,temporal,institutional_failure,organization dissolved,917,279.1,False,unreal_distance,False,True,structured_correspondence,no_recovery,,True,T. Vells,clinical_record,SC-266,0.91,Horizon collapse case: institutional failure,,
HC-0090,Case 90 (Trauma Physical),person,ENT-926,individual,245.6,101.15,405,0.68,visionary,1.634,1.346,2,0.01,survivor,150.3,rapid,2,social,trauma_physical,fall,887,42.5,False,glass_barrier,False,True,distance_from_dens,full_recovery,436,False,R. Voss,self_report,,0.55,Horizon collapse case: trauma physical,,
HC-0091,Case 91 (Trauma Physical),person,ENT-934,individual,3106.7,56.65,96,0.32,caretaker,11.739,0.428,0,0,survivor,264.6,instantaneous,0,temporal,trauma_physical,cave-in,906,408.5,False,glass_barrier,False,True,distance_from_dens,ongoing,337,False,Archive Survey Team,behavioral_observation,,0.65,Horizon collapse case: trauma physical,,
HC-0092,Case 92 (Institutional Failure),collective,ENT-731,organ,1233.2,289.0,472,0.67,standard_worker,46.307,21.704,17,0.16,survivor,26.6,rapid,130,temporal,institutional_failure,organization dissolved,929,339.9,False,purpose_forgetting,True,True,gradual_reexposure,no_recovery,,True,M. Strand,behavioral_observation,,0.65,Horizon collapse case: institutional failure,,
HC-0093,Case 93 (Isolation Prolonged),creature,ENT-964,small_group,913.0,141.12,188,0.73,standard_student,30.865,9.542,6,0.39,survivor,29.6,rapid,114,temporal,isolation_prolonged,lost expedition,920,154.2,False,unknown,False,True,social_reconnection,stable_narrowed,517,True,Independent Observer,third_party_testimony,,0.69,Horizon collapse case: isolation prolonged,,
HC-0094,Case 94 (Unknown),creature,ENT-639,organ,1642.8,278.03,432,0.77,standard_worker,37.814,12.799,9,0.41,survivor,43.4,gradual,61,temporal,unknown,unknown trigger,903,288.5,False,unreal_distance,False,False,,not_attempted,,True,K. Strand,behavioral_observation,,0.63,Horizon collapse case: unknown,,
HC-0095,Case 95 (Trauma Psychological),creature,ENT-204,small_group,553.9,399.4,41,0.56,standard_student,27.571,39.757,2,0.16,survivor,20.1,rapid,3,temporal,trauma_psychological,witnessed death,931,485.1,False,no_description,False,True,signal_restoration,ongoing,622,False,K. Strand,clinical_record,,0.75,Horizon collapse case: trauma psychological,,
HC-0096,Case 96 (Trauma Physical),person,ENT-446,individual,1364.9,74.98,312,0.76,standard_student,5.612,0.617,1,0.25,survivor,243.2,instantaneous,6,temporal,trauma_physical,creature attack,888,407.6,False,glass_barrier,True,True,distance_from_dens,partial_recovery,386,True,T. Vells,clinical_record,,0.92,Horizon collapse case: trauma physical,,
HC-0097,Case 97 (Trauma Physical),collective,ENT-690,organ,2634.2,389.7,128,0.55,standard_worker,5.844,1.729,0,0,survivor,450.8,rapid,1,temporal,trauma_physical,fire,896,472.9,False,glass_barrier,True,False,,not_attempted,,True,Boundary Commission,self_report,,0.5,Horizon collapse case: trauma physical,,
HC-0098,Case 98 (Pattern Degradation),person,ENT-748,individual,3350.9,397.72,446,0.55,standard_student,61.459,14.589,8,0,survivor,54.5,slow,279,temporal,pattern_degradation,memory failure,898,398.0,False,purpose_forgetting,False,True,social_reconnection,partial_recovery,442,True,Boundary Commission,clinical_record,,0.92,Horizon collapse case: pattern degradation,,
HC-0099,Case 99 (Unknown),person,ENT-579,individual,1799.5,402.07,46,0.16,standard_student,51.536,23.03,1,0,survivor,34.9,gradual,111,temporal,unknown,unknown trigger,936,398.7,False,emptiness,False,True,gradual_reexposure,stable_narrowed,969,True,Klutch CC Counseling,third_party_testimony,,0.76,Horizon collapse case: unknown,,
HC-0100,Case 100 (Institutional Failure),creature,ENT-765,small_group,1332.9,186.14,429,0.34,standard_worker,91.29,25.497,29,0,survivor,14.6,rapid,82,temporal,institutional_failure,organization dissolved,940,179.5,False,purpose_forgetting,True,False,,not_attempted,,True,Klutch CC Counseling,self_report,,0.68,Horizon collapse case: institutional failure,,
HC-0101,Case 101 (Dens Proximity),person,ENT-941,individual,658.5,287.84,183,0.48,standard_worker,2.053,1.795,0,0,survivor,320.7,rapid,7,temporal,dens_proximity,approached within 27km of Dens,926,27.3,True,purpose_forgetting,False,True,distance_from_dens,full_recovery,791,False,Independent Observer,behavioral_observation,,0.69,Horizon collapse case: dens proximity,,
HC-0102,Case 102 (Institutional Failure),creature,ENT-670,organ,3271.5,254.5,315,0.5,caretaker,122.761,19.099,11,0.17,survivor,26.6,rapid,116,temporal,institutional_failure,purpose lost,920,355.2,False,emptiness,False,True,signal_restoration,stable_narrowed,689,True,K. Strand,third_party_testimony,,0.61,Horizon collapse case: institutional failure,,
HC-0103,Case 103 (Identity Loss),person,ENT-702,individual,2117.0,94.82,270,0.41,caretaker,35.126,3.147,4,0.06,survivor,60.3,rapid,116,temporal,identity_loss,could not recognize self,887,283.5,False,purpose_forgetting,False,False,,not_attempted,,True,P. Anster,clinical_record,,0.56,Horizon collapse case: identity loss,,
HC-0104,Case 104 (Unknown),creature,ENT-966,organ,1588.2,281.78,493,0.67,standard_student,91.885,32.605,28,0,survivor,17.3,rapid,79,temporal,unknown,unknown trigger,911,327.8,False,unknown,False,True,signal_restoration,partial_recovery,856,True,Archive Survey Team,third_party_testimony,,0.8,Horizon collapse case: unknown,,
HC-0105,Case 105 (Dens Proximity),collective,ENT-237,small_group,2273.5,451.23,392,0.19,standard_student,12.377,4.913,2,0,survivor,183.7,rapid,4,temporal,dens_proximity,approached within 19km of Dens,900,19.7,True,purpose_forgetting,False,True,social_reconnection,partial_recovery,161,True,T. Vells,clinical_record,SC-199,0.69,Horizon collapse case: dens proximity,,
HC-0106,Case 106 (Pattern Degradation),person,ENT-917,individual,1224.3,114.1,304,0.68,caretaker,16.706,3.114,4,0.0,survivor,73.3,gradual,322,temporal,pattern_degradation,form instability,931,124.0,False,emptiness,False,True,social_reconnection,stable_narrowed,323,True,K. Strand,self_report,,0.66,Horizon collapse case: pattern degradation,,
HC-0107,Case 107 (Trauma Psychological),creature,ENT-850,small_group,2202.4,413.74,46,0.76,caretaker,330.544,124.189,6,0.37,survivor,6.7,rapid,147,temporal,trauma_psychological,witnessed death,907,216.0,False,emptiness,False,False,,not_attempted,,True,Independent Observer,self_report,,0.51,Horizon collapse case: trauma psychological,,
HC-0108,Case 108 (Dens Proximity),collective,ENT-127,organ,687.2,200.62,66,0.34,standard_worker,1.992,1.163,0,0,survivor,345.0,rapid,7,temporal,dens_proximity,approached within 5km of Dens,880,6.0,True,purpose_forgetting,False,False,,not_attempted,,True,Klutch CC Counseling,self_report,,0.89,Horizon collapse case: dens proximity,,
HC-0109,Case 109 (Collective Dissolution),person,ENT-448,individual,44.8,371.98,180,0.39,caretaker,2.954,49.073,11,0,survivor,15.2,rapid,152,spatial,collective_dissolution,group disbanded,885,41.8,False,no_description,False,True,distance_from_dens,ongoing,258,False,K. Strand,self_report,SC-12,0.56,Horizon collapse case: collective dissolution,,
HC-0110,Case 110 (Trauma Psychological),collective,ENT-661,small_group,2119.5,486.09,305,0.59,caretaker,224.289,102.879,32,0,survivor,9.4,gradual,5,temporal,trauma_psychological,loss of family,927,354.2,False,purpose_forgetting,False,True,distance_from_dens,stable_narrowed,822,True,Boundary Commission,behavioral_observation,SC-269,0.6,Horizon collapse case: trauma psychological,,
HC-0111,Case 111 (Trauma Physical),creature,ENT-386,organ,515.2,377.0,225,0.62,caretaker,6.99,10.23,3,0.12,survivor,73.7,rapid,4,temporal,trauma_physical,creature attack,915,486.9,False,unreal_distance,False,False,,not_attempted,,True,M. Strand,self_report,,0.84,Horizon collapse case: trauma physical,,
HC-0112,Case 112 (Isolation Prolonged),person,ENT-238,individual,3345.7,457.48,127,0.47,standard_student,68.116,18.628,2,0.12,survivor,49.1,gradual,111,temporal,isolation_prolonged,months alone,903,324.0,False,no_description,False,True,structured_correspondence,full_recovery,102,False,T. Vells,third_party_testimony,,0.71,Horizon collapse case: isolation prolonged,,
HC-0113,Case 113 (Trauma Physical),collective,ENT-328,organ,119.4,424.03,227,0.73,standard_worker,0.316,2.243,0,0.41,collapsed,378.0,instantaneous,1,spatial,trauma_physical,fall,932,460.9,False,unreal_distance,False,False,,not_attempted,,True,M. Strand,third_party_testimony,,0.57,Horizon collapse case: trauma physical,,
HC-0114,Case 114 (Dens Proximity),person,ENT-825,individual,2502.1,398.39,2,0.71,caretaker,8.916,2.839,0,0.03,survivor,280.6,instantaneous,2,temporal,dens_proximity,approached within 16km of Dens,910,16.7,True,purpose_forgetting,False,True,distance_from_dens,full_recovery,827,False,Independent Observer,third_party_testimony,,0.72,Horizon collapse case: dens proximity,,
HC-0115,Case 115 (Trauma Psychological),creature,ENT-543,organ,585.6,266.72,385,0.39,standard_worker,27.613,25.153,18,0,survivor,21.2,rapid,121,temporal,trauma_psychological,witnessed death,884,171.1,False,self_only,False,True,distance_from_dens,no_recovery,,True,Archive Survey Team,clinical_record,SC-117,0.61,Horizon collapse case: trauma psychological,,
HC-0116,Case 116 (Identity Loss),person,ENT-761,individual,2988.7,327.72,137,0.64,standard_student,184.805,40.529,8,0.22,survivor,16.2,gradual,159,temporal,identity_loss,forgot own name,906,61.8,False,self_only,True,True,structured_correspondence,full_recovery,215,False,P. Anster,self_report,,0.74,Horizon collapse case: identity loss,,
HC-0117,Case 117 (Trauma Physical),creature,ENT-357,small_group,2791.7,493.86,457,0.8,caretaker,10.958,3.877,1,0.27,survivor,254.8,rapid,5,temporal,trauma_physical,creature attack,900,458.5,False,unreal_distance,False,True,gradual_reexposure,no_recovery,,True,Archive Survey Team,third_party_testimony,SC-455,0.74,Horizon collapse case: trauma physical,,
HC-0118,Case 118 (Dens Proximity),collective,ENT-859,organ,222.3,245.47,214,0.73,caretaker,0.513,1.132,0,0.26,collapsed,433.6,instantaneous,0,spatial,dens_proximity,approached within 10km of Dens,900,10.9,True,purpose_forgetting,False,True,structured_correspondence,full_recovery,853,False,K. Strand,clinical_record,,0.83,Horizon collapse case: dens proximity,,
HC-0119,Case 119 (Identity Loss),collective,ENT-265,small_group,837.9,29.38,234,0.16,standard_student,11.161,0.783,3,0,survivor,75.1,rapid,56,temporal,identity_loss,could not recognize self,919,293.8,False,no_description,False,True,signal_restoration,stable_narrowed,253,True,T. Vells,clinical_record,SC-96,0.67,Horizon collapse case: identity loss,,
HC-0120,Case 120 (Isolation Prolonged),collective,ENT-821,organ,2916.2,329.78,245,0.37,visionary,59.222,13.394,4,0,survivor,49.2,gradual,82,temporal,isolation_prolonged,lost expedition,889,156.4,False,self_only,False,False,,not_attempted,,True,K. Strand,behavioral_observation,,0.91,Horizon collapse case: isolation prolonged,,
HC-0121,Case 121 (Dens Proximity),creature,ENT-669,organ,2861.7,135.66,305,0.22,caretaker,35.118,3.329,3,0,survivor,81.5,instantaneous,1,temporal,dens_proximity,approached within 9km of Dens,889,9.7,True,purpose_forgetting,False,False,,not_attempted,,True,C. Vells,third_party_testimony,,0.82,Horizon collapse case: dens proximity,,
HC-0122,Case 122 (Isolation Prolonged),person,ENT-225,individual,2090.5,60.65,50,0.8,standard_worker,53.672,3.114,1,0.16,survivor,38.9,rapid,123,temporal,isolation_prolonged,lost expedition,880,489.8,False,self_only,True,True,distance_from_dens,ongoing,806,False,T. Vells,third_party_testimony,SC-82,0.84,Horizon collapse case: isolation prolonged,,
HC-0123,Case 123 (Institutional Failure),person,ENT-704,individual,1080.1,131.75,447,0.79,standard_worker,52.173,12.728,21,0.19,survivor,20.7,rapid,180,temporal,institutional_failure,purpose lost,901,236.7,False,emptiness,False,False,,not_attempted,,True,C. Vells,self_report,SC-308,0.83,Horizon collapse case: institutional failure,,
HC-0124,Case 124 (Isolation Prolonged),creature,ENT-416,small_group,962.4,473.82,197,0.34,visionary,55.569,54.718,11,0,survivor,17.3,gradual,9,temporal,isolation_prolonged,months alone,936,468.4,False,purpose_forgetting,False,False,,not_attempted,,True,K. Strand,behavioral_observation,SC-109,0.57,Horizon collapse case: isolation prolonged,,
HC-0125,Case 125 (Trauma Psychological),creature,ENT-907,small_group,2321.2,113.45,471,0.65,visionary,60.091,5.874,12,0.09,survivor,38.6,rapid,98,temporal,trauma_psychological,witnessed death,924,152.8,False,no_description,False,True,signal_restoration,no_recovery,,True,Klutch CC Counseling,self_report,,0.63,Horizon collapse case: trauma psychological,,
HC-0126,Case 126 (Identity Loss),person,ENT-274,individual,2725.9,227.6,439,0.1,caretaker,40.411,6.748,6,0,survivor,67.5,rapid,37,temporal,identity_loss,could not recognize self,885,419.4,False,no_description,False,False,,not_attempted,,True,M. Strand,third_party_testimony,SC-88,0.91,Horizon collapse case: identity loss,,
HC-0127,Case 127 (Isolation Prolonged),creature,ENT-197,organ,434.0,395.04,58,0.37,standard_student,10.09,18.368,1,0,survivor,43.0,rapid,113,temporal,isolation_prolonged,lost expedition,908,207.1,False,purpose_forgetting,False,False,,not_attempted,,True,C. Vells,behavioral_observation,,0.85,Horizon collapse case: isolation prolonged,,
HC-0128,Case 128 (Dens Proximity),person,ENT-323,individual,575.2,94.14,212,0.41,caretaker,3.345,1.095,1,0,survivor,172.0,rapid,7,temporal,dens_proximity,approached within 2km of Dens,894,2.5,True,purpose_forgetting,False,False,,not_attempted,,True,C. Vells,clinical_record,,0.51,Horizon collapse case: dens proximity,,
HC-0129,Case 129 (Unknown),collective,ENT-583,organ,2926.1,354.36,321,0.77,caretaker,64.49,15.62,7,0.18,survivor,45.4,rapid,79,temporal,unknown,unknown trigger,886,372.3,False,purpose_forgetting,False,True,distance_from_dens,ongoing,758,False,Archive Survey Team,clinical_record,,0.66,Horizon collapse case: unknown,,
HC-0130,Case 130 (Pattern Degradation),person,ENT-866,individual,1351.5,293.1,40,0.43,standard_student,65.392,28.362,1,0.11,survivor,20.7,slow,144,temporal,pattern_degradation,form instability,927,178.7,False,no_description,False,True,gradual_reexposure,no_recovery,,True,R. Voss,clinical_record,,0.77,Horizon collapse case: pattern degradation,,
HC-0131,Case 131 (Institutional Failure),person,ENT-378,individual,1659.1,304.8,235,0.35,caretaker,122.674,45.074,17,0,survivor,13.5,gradual,44,temporal,institutional_failure,purpose lost,927,418.2,False,glass_barrier,False,True,gradual_reexposure,no_recovery,,True,Archive Survey Team,behavioral_observation,SC-270,0.84,Horizon collapse case: institutional failure,,
HC-0132,Case 132 (Dens Proximity),creature,ENT-379,organ,159.5,56.39,6,0.27,visionary,0.483,0.342,0,0,collapsed,329.8,instantaneous,5,temporal,dens_proximity,approached within 12km of Dens,939,12.3,True,purpose_forgetting,False,True,social_reconnection,full_recovery,176,False,K. Strand,third_party_testimony,SC-393,0.51,Horizon collapse case: dens proximity,,
HC-0133,Case 133 (Unknown),person,ENT-377,individual,2407.8,293.14,496,0.29,standard_student,64.165,15.624,13,0,survivor,37.5,gradual,164,temporal,unknown,unknown trigger,932,413.8,False,no_description,True,False,,not_attempted,,True,C. Vells,behavioral_observation,,0.57,Horizon collapse case: unknown,,
HC-0134,Case 134 (Trauma Physical),creature,ENT-586,organ,2750.6,331.82,158,0.2,standard_student,8.974,2.165,0,0,survivor,306.5,rapid,5,temporal,trauma_physical,creature attack,924,345.1,False,glass_barrier,False,True,distance_from_dens,full_recovery,36,False,R. Voss,behavioral_observation,,0.7,Horizon collapse case: trauma physical,,
HC-0135,Case 135 (Dens Proximity),collective,ENT-334,organ,3468.9,97.87,319,0.1,visionary,10.73,0.605,0,0,survivor,323.3,rapid,3,temporal,dens_proximity,approached within 18km of Dens,932,18.9,True,purpose_forgetting,False,True,social_reconnection,full_recovery,458,False,Klutch CC Counseling,third_party_testimony,,0.81,Horizon collapse case: dens proximity,,
HC-0136,Case 136 (Trauma Psychological),person,ENT-805,individual,1916.1,326.04,327,0.45,visionary,176.686,60.127,30,0,survivor,10.8,gradual,46,temporal,trauma_psychological,witnessed death,882,100.8,False,glass_barrier,False,False,,not_attempted,,True,Archive Survey Team,self_report,SC-98,0.57,Horizon collapse case: trauma psychological,,
HC-0137,Case 137 (Pattern Degradation),person,ENT-409,individual,1766.9,335.91,216,0.27,standard_worker,23.552,8.955,2,0,survivor,75.0,slow,253,temporal,pattern_degradation,identity confusion,924,384.7,False,unknown,False,False,,not_attempted,,True,Klutch CC Counseling,behavioral_observation,SC-61,0.63,Horizon collapse case: pattern degradation,,
HC-0138,Case 138 (Trauma Physical),collective,ENT-131,organ,2895.3,113.57,458,0.71,standard_worker,13.236,1.038,2,0.06,survivor,218.8,rapid,4,temporal,trauma_physical,fall,933,138.2,False,glass_barrier,False,True,distance_from_dens,no_recovery,,True,Boundary Commission,third_party_testimony,SC-393,0.52,Horizon collapse case: trauma physical,,
HC-0139,Case 139 (Pattern Degradation),creature,ENT-451,organ,2493.2,187.73,70,0.62,visionary,48.352,7.281,1,0.25,survivor,51.6,slow,204,temporal,pattern_degradation,identity confusion,885,126.3,False,unknown,False,True,signal_restoration,no_recovery,,True,Boundary Commission,behavioral_observation,,0.62,Horizon collapse case: pattern degradation,,
HC-0140,Case 140 (Isolation Prolonged),creature,ENT-387,organ,2141.4,153.11,64,0.47,standard_worker,49.621,7.096,1,0,survivor,43.2,gradual,121,temporal,isolation_prolonged,lost expedition,902,229.3,False,unreal_distance,False,False,,not_attempted,,True,Archive Survey Team,clinical_record,,0.53,Horizon collapse case: isolation prolonged,,
HC-0141,Case 141 (Unknown),person,ENT-299,individual,447.3,382.07,359,0.44,standard_student,11.45,19.562,9,0.07,survivor,39.1,gradual,78,temporal,unknown,unknown trigger,904,358.7,False,emptiness,False,False,,not_attempted,,True,Archive Survey Team,clinical_record,,0.88,Horizon collapse case: unknown,,
HC-0142,Case 142 (Trauma Psychological),person,ENT-242,individual,1142.0,232.43,250,0.49,caretaker,83.825,34.121,18,0.08,survivor,13.6,gradual,67,temporal,trauma_psychological,witnessed death,896,127.2,False,purpose_forgetting,True,False,,not_attempted,,True,M. Strand,clinical_record,SC-424,0.71,Horizon collapse case: trauma psychological,,
HC-0143,Case 143 (Pattern Degradation),creature,ENT-867,small_group,3308.9,343.54,443,0.57,standard_student,50.63,10.513,6,0.18,survivor,65.4,gradual,219,temporal,pattern_degradation,memory failure,883,104.0,False,purpose_forgetting,False,False,,not_attempted,,True,C. Vells,clinical_record,SC-387,0.6,Horizon collapse case: pattern degradation,,
HC-0144,Case 144 (Pattern Degradation),creature,ENT-619,small_group,2102.2,203.62,240,0.21,standard_student,25.872,5.012,2,0,survivor,81.3,gradual,33,temporal,pattern_degradation,identity confusion,928,412.5,False,purpose_forgetting,False,True,gradual_reexposure,partial_recovery,454,True,C. Vells,clinical_record,,0.84,Horizon collapse case: pattern degradation,,
HC-0145,Case 145 (Identity Loss),person,ENT-180,individual,266.6,6.16,417,0.6,standard_student,7.301,0.338,11,0.06,survivor,36.5,rapid,139,social,identity_loss,forgot own name,933,327.4,False,purpose_forgetting,False,True,social_reconnection,full_recovery,701,False,C. Vells,self_report,SC-245,0.69,Horizon collapse case: identity loss,,
HC-0146,Case 146 (Trauma Psychological),collective,ENT-696,small_group,1859.7,127.47,166,0.27,visionary,66.574,9.127,5,0,survivor,27.9,gradual,122,temporal,trauma_psychological,witnessed death,938,231.5,False,glass_barrier,False,True,distance_from_dens,ongoing,241,False,P. Anster,self_report,,0.8,Horizon collapse case: trauma psychological,,
HC-0147,Case 147 (Trauma Physical),collective,ENT-643,small_group,2908.2,338.66,118,0.28,visionary,6.256,1.457,0,0,survivor,464.9,instantaneous,6,temporal,trauma_physical,fire,911,249.0,False,glass_barrier,False,False,,not_attempted,,True,Klutch CC Counseling,clinical_record,,0.75,Horizon collapse case: trauma physical,,
HC-0148,Case 148 (Institutional Failure),creature,ENT-399,small_group,1403.8,286.12,338,0.77,standard_worker,60.578,24.693,14,0.33,survivor,23.2,gradual,14,temporal,institutional_failure,organization dissolved,928,212.0,False,purpose_forgetting,False,True,distance_from_dens,no_recovery,,True,Boundary Commission,clinical_record,,0.89,Horizon collapse case: institutional failure,,
HC-0149,Case 149 (Identity Loss),collective,ENT-163,organ,3200.2,200.2,103,0.35,visionary,34.03,4.258,1,0,survivor,94.0,gradual,16,temporal,identity_loss,could not recognize self,924,124.1,False,unknown,True,True,distance_from_dens,full_recovery,680,False,P. Anster,behavioral_observation,SC-473,0.66,Horizon collapse case: identity loss,,
HC-0150,Case 150 (Identity Loss),person,ENT-271,individual,2608.8,181.55,91,0.8,caretaker,43.613,6.07,1,0.28,survivor,59.8,gradual,135,temporal,identity_loss,forgot own name,939,226.8,False,purpose_forgetting,False,False,,not_attempted,,True,C. Vells,self_report,SC-268,0.81,Horizon collapse case: identity loss,,
