measurement_id,boundary_id,entity_a_id,entity_b_id,measurement_year,strength_value,strength_change,permeability_value,tension_value,tension_gradient,measurement_context,external_factors,measurer,method,confidence,notes
BS-0175,EB-0204,MS-0090,MS-0071,1849,0.73,0.07,0.39,0.88,-0.083,stress_test,Survey activity,K. Strand,tension_probe,0.9,
BS-0176,EB-0069,MS-0059,MS-0100,1834,0.37,0.22,0.59,0.68,-0.106,seasonal,Dens proximity event,P. Tross,trajectory_deviation,0.86,
BS-0177,EB-0054,MS-0100,MS-0028,1841,0.19,-0.03,0.87,0.15,0.215,post_violation,None observed,Archive Survey Team,classification_differential,0.83,
BS-0178,EB-0117,MS-0054,MS-0045,928,0.5,-0.13,0.59,0.12,0.044,historical_reconstruction,Seasonal fluctuation,Archive Survey Team,trajectory_deviation,0.71,
BS-0179,EB-0329,MS-0061,MS-0042,929,0.5,-0.08,0.5,0.51,0.038,seasonal,Adjacent boundary dissolution,P. Tross,classification_differential,0.8,
BS-0180,EB-0178,MS-0007,MS-0002,916,0.63,-0.01,0.43,0.75,0.14,seasonal,Seasonal fluctuation,K. Strand,permeability_test,0.62,
BS-0181,EB-0057,MS-0052,MS-0055,1846,0.91,-0.13,0.05,0.23,0.115,stress_test,None observed,Western Archive Team,tension_probe,0.71,
BS-0182,EB-0131,MS-0086,MS-0024,1838,0.35,0.01,0.66,0.84,-0.246,stress_test,None observed,Archive Survey Team,historical_inference,0.72,
BS-0183,EB-0291,MS-0053,MS-0089,925,0.36,-0.07,0.73,0.62,-0.031,seasonal,Creature migration,T. Vells,classification_differential,0.6,
BS-0184,EB-0140,MS-0093,MS-0058,920,0.9,0.17,0.2,0.13,-0.112,post_violation,None observed,Western Archive Team,permeability_test,0.66,
BS-0185,EB-0260,MS-0026,MS-0026,1843,0.63,0.18,0.43,0.32,0.041,post_violation,Seasonal fluctuation,P. Tross,permeability_test,0.87,
BS-0186,EB-0011,MS-0086,MS-0028,917,0.41,0.07,0.59,0.57,0.086,stress_test,None observed,P. Tross,tension_probe,0.91,
BS-0187,EB-0243,MS-0077,MS-0032,930,0.48,0.28,0.54,0.86,-0.048,routine_survey,Adjacent boundary dissolution,Boundary Commission,permeability_test,0.5,
BS-0188,EB-0119,MS-0024,MS-0046,1841,0.47,0.28,0.67,0.8,0.063,boundary_incident,None observed,P. Tross,historical_inference,0.65,
BS-0189,EB-0019,MS-0026,MS-0081,927,0.38,-0.02,0.71,0.85,-0.031,boundary_incident,Adjacent boundary dissolution,Archive Survey Team,classification_differential,0.71,
BS-0190,EB-0221,MS-0030,MS-0038,1841,0.68,0.3,0.1,0.38,-0.195,routine_survey,None observed,Boundary Commission,permeability_test,0.69,
BS-0191,EB-0308,MS-0098,MS-0060,916,0.93,-0.07,0.18,0.13,-0.026,post_violation,Dens proximity event,P. Tross,trajectory_deviation,0.72,
BS-0192,EB-0086,MS-0057,MS-0052,918,0.23,0.07,0.69,0.61,-0.043,seasonal,Classification attempt,Archive Survey Team,classification_differential,0.9,
BS-0193,EB-0205,MS-0038,MS-0036,914,0.18,-0.25,0.78,0.32,0.128,stress_test,None observed,K. Strand,historical_inference,0.82,
BS-0194,EB-0163,MS-0056,MS-0028,1847,0.69,-0.38,0.3,0.2,-0.003,seasonal,Dens proximity event,P. Tross,historical_inference,0.52,
BS-0195,EB-0182,MS-0061,MS-0059,913,0.76,0.09,0.29,0.16,-0.128,stress_test,Seasonal fluctuation,P. Tross,trajectory_deviation,0.79,
BS-0196,EB-0304,MS-0007,MS-0020,1850,0.16,0.14,0.87,0.71,-0.109,post_violation,None observed,P. Tross,tension_probe,0.75,
BS-0197,EB-0322,MS-0095,MS-0047,921,0.46,0.02,0.47,0.44,0.078,boundary_incident,Creature migration,T. Vells,trajectory_deviation,0.92,
BS-0198,EB-0325,MS-0036,MS-0040,914,0.21,-0.24,0.86,0.27,-0.069,routine_survey,None observed,Boundary Commission,tension_probe,0.72,
BS-0199,EB-0254,MS-0076,MS-0021,926,0.88,0.01,0.12,0.21,0.052,routine_survey,Dens proximity event,T. Vells,tension_probe,0.93,
BS-0200,EB-0041,MS-0021,MS-0078,1836,0.23,-0.05,0.72,0.51,-0.057,routine_survey,Creature migration,T. Vells,trajectory_deviation,0.83,
BS-0201,EB-0243,MS-0018,MS-0003,1851,0.59,-0.2,0.48,0.73,-0.116,routine_survey,Adjacent boundary dissolution,P. Tross,trajectory_deviation,0.59,
BS-0202,EB-0333,MS-0032,MS-0045,916,0.39,-0.28,0.56,0.78,0.039,historical_reconstruction,Seasonal fluctuation,T. Vells,trajectory_deviation,0.54,
BS-0203,EB-0201,MS-0089,MS-0048,1833,0.76,0.22,0.24,0.35,-0.012,routine_survey,Seasonal fluctuation,Boundary Commission,permeability_test,0.93,
BS-0204,EB-0144,MS-0051,MS-0081,924,0.66,0.11,0.25,0.79,-0.075,boundary_incident,None observed,K. Strand,permeability_test,0.62,
BS-0205,EB-0333,MS-0080,MS-0061,920,0.54,-0.07,0.49,0.13,0.025,seasonal,Creature migration,Archive Survey Team,historical_inference,0.63,
BS-0206,EB-0109,MS-0089,MS-0032,1837,0.91,0.19,0.09,0.36,-0.0,seasonal,None observed,T. Vells,historical_inference,0.5,
BS-0207,EB-0113,MS-0004,MS-0081,930,0.15,0.01,0.87,0.18,0.157,boundary_incident,None observed,T. Vells,trajectory_deviation,0.67,
BS-0208,EB-0114,MS-0089,MS-0009,916,0.86,-0.13,0.11,0.81,0.048,seasonal,None observed,Western Archive Team,tension_probe,0.93,
BS-0209,EB-0230,MS-0082,MS-0021,912,0.21,-0.08,0.94,0.63,0.078,routine_survey,None observed,P. Tross,historical_inference,0.7,
BS-0210,EB-0233,MS-0025,MS-0037,1851,0.73,-0.19,0.34,0.65,-0.073,routine_survey,None observed,Boundary Commission,permeability_test,0.75,
BS-0211,EB-0170,MS-0002,MS-0029,913,0.74,-0.15,0.27,0.25,0.017,seasonal,Survey activity,K. Strand,trajectory_deviation,0.79,
BS-0212,EB-0252,MS-0054,MS-0060,924,0.18,-0.04,0.81,0.81,0.191,boundary_incident,Classification attempt,K. Strand,permeability_test,0.95,
BS-0213,EB-0020,MS-0077,MS-0093,918,0.4,-0.03,0.65,0.67,-0.062,routine_survey,Dens proximity event,T. Vells,permeability_test,0.74,
BS-0214,EB-0220,MS-0022,MS-0019,1831,0.91,0.1,0.14,0.28,0.102,routine_survey,Adjacent boundary dissolution,P. Tross,permeability_test,0.93,
BS-0215,EB-0196,MS-0055,MS-0066,1851,0.64,-0.21,0.44,0.41,0.064,routine_survey,Creature migration,K. Strand,historical_inference,0.51,
BS-0216,EB-0141,MS-0053,MS-0069,922,0.68,0.03,0.31,0.78,0.007,stress_test,None observed,Boundary Commission,historical_inference,0.56,
BS-0217,EB-0158,MS-0083,MS-0025,916,0.36,0.02,0.68,0.43,-0.02,routine_survey,Dens proximity event,Boundary Commission,trajectory_deviation,0.72,
BS-0218,EB-0183,MS-0084,MS-0030,913,0.89,-0.1,0.05,0.57,0.113,routine_survey,None observed,Western Archive Team,trajectory_deviation,0.79,
BS-0219,EB-0252,MS-0029,MS-0086,916,0.83,0.07,0.1,0.71,0.015,boundary_incident,Creature migration,P. Tross,classification_differential,0.9,
BS-0220,EB-0142,MS-0061,MS-0057,918,0.57,0.27,0.54,0.41,0.099,post_violation,None observed,P. Tross,tension_probe,0.87,
BS-0221,EB-0259,MS-0050,MS-0037,916,0.88,0.03,0.15,0.87,-0.102,routine_survey,Dens proximity event,Western Archive Team,historical_inference,0.51,
BS-0222,EB-0229,MS-0027,MS-0022,924,0.95,-0.07,0.05,0.57,0.071,routine_survey,None observed,P. Tross,trajectory_deviation,0.75,
BS-0223,EB-0263,MS-0090,MS-0068,1846,0.21,0.09,0.72,0.62,0.043,stress_test,Adjacent boundary dissolution,P. Tross,tension_probe,0.92,
BS-0224,EB-0268,MS-0067,MS-0099,930,0.73,0.1,0.25,0.12,-0.073,routine_survey,Classification attempt,Boundary Commission,permeability_test,0.87,
BS-0225,EB-0232,MS-0006,MS-0067,912,0.16,0.16,0.86,0.79,0.054,seasonal,Classification attempt,K. Strand,permeability_test,0.65,
BS-0226,EB-0001,MS-0036,MS-0058,1844,0.27,0.05,0.75,0.7,0.124,boundary_incident,Adjacent boundary dissolution,Boundary Commission,classification_differential,0.75,
BS-0227,EB-0216,MS-0026,MS-0033,1837,0.5,0.03,0.62,0.39,-0.04,boundary_incident,Dens proximity event,P. Tross,historical_inference,0.64,
BS-0228,EB-0256,MS-0085,MS-0016,1832,0.21,-0.21,0.7,0.17,-0.026,routine_survey,Classification attempt,K. Strand,tension_probe,0.8,
BS-0229,EB-0087,MS-0021,MS-0009,913,0.9,-0.17,0.11,0.71,-0.002,routine_survey,Dens proximity event,P. Tross,historical_inference,0.85,
BS-0230,EB-0256,MS-0075,MS-0028,1837,0.82,-0.09,0.12,0.79,0.133,routine_survey,None observed,P. Tross,permeability_test,0.67,
BS-0231,EB-0051,MS-0009,MS-0021,923,0.61,-0.08,0.39,0.42,0.002,boundary_incident,Dens proximity event,T. Vells,historical_inference,0.62,
BS-0232,EB-0104,MS-0091,MS-0086,929,0.16,-0.2,0.79,0.27,0.071,boundary_incident,None observed,P. Tross,classification_differential,0.71,
BS-0233,EB-0165,MS-0055,MS-0083,1848,0.63,0.03,0.47,0.36,-0.016,boundary_incident,Adjacent boundary dissolution,P. Tross,tension_probe,0.94,
BS-0234,EB-0315,MS-0095,MS-0076,926,0.93,0.14,0.05,0.61,-0.066,routine_survey,None observed,T. Vells,tension_probe,0.9,
BS-0235,EB-0020,MS-0093,MS-0080,930,0.43,0.22,0.51,0.81,0.15,stress_test,None observed,P. Tross,tension_probe,0.93,
BS-0236,EB-0073,MS-0097,MS-0034,929,0.27,0.09,0.68,0.77,-0.018,stress_test,Creature migration,P. Tross,historical_inference,0.57,
BS-0237,EB-0342,MS-0090,MS-0099,924,0.47,-0.08,0.52,0.17,0.093,post_violation,None observed,T. Vells,permeability_test,0.73,
BS-0238,EB-0264,MS-0087,MS-0044,1836,0.28,0.11,0.76,0.24,0.082,seasonal,Classification attempt,Archive Survey Team,classification_differential,0.76,
BS-0239,EB-0282,MS-0073,MS-0086,1848,0.54,-0.19,0.5,0.8,0.001,seasonal,Creature migration,T. Vells,trajectory_deviation,0.7,
BS-0240,EB-0238,MS-0072,MS-0015,924,0.31,0.08,0.8,0.42,0.057,post_violation,None observed,Archive Survey Team,permeability_test,0.81,
BS-0241,EB-0292,MS-0005,MS-0091,917,0.39,-0.17,0.57,0.27,-0.099,routine_survey,Dens proximity event,P. Tross,tension_probe,0.51,
BS-0242,EB-0153,MS-0092,MS-0005,920,0.28,0.11,0.65,0.35,0.041,historical_reconstruction,Seasonal fluctuation,T. Vells,trajectory_deviation,0.79,
BS-0243,EB-0340,MS-0073,MS-0042,919,0.43,0.09,0.52,0.72,0.004,routine_survey,Seasonal fluctuation,Boundary Commission,permeability_test,0.68,
BS-0244,EB-0193,MS-0014,MS-0036,930,0.53,0.1,0.45,0.79,-0.007,routine_survey,None observed,P. Tross,classification_differential,0.53,
BS-0245,EB-0087,MS-0002,MS-0009,925,0.82,-0.09,0.33,0.65,0.017,stress_test,None observed,P. Tross,tension_probe,0.65,
BS-0246,EB-0125,MS-0099,MS-0001,929,0.6,0.3,0.38,0.16,0.068,historical_reconstruction,None observed,T. Vells,tension_probe,0.87,
BS-0247,EB-0184,MS-0022,MS-0013,915,0.42,-0.3,0.64,0.75,0.042,seasonal,Seasonal fluctuation,Boundary Commission,trajectory_deviation,0.82,
BS-0248,EB-0076,MS-0080,MS-0020,916,0.29,0.07,0.71,0.73,-0.09,historical_reconstruction,Dens proximity event,K. Strand,tension_probe,0.57,
BS-0249,EB-0190,MS-0044,MS-0038,912,0.18,0.08,0.83,0.16,0.116,routine_survey,None observed,P. Tross,permeability_test,0.72,
BS-0250,EB-0022,MS-0054,MS-0082,1833,0.66,-0.01,0.37,0.68,-0.097,routine_survey,Creature migration,P. Tross,tension_probe,0.89,
