measurement_id,entity_id,entity_type,entity_name,entity_scale,spatial_extent_km,temporal_extent_days,social_extent_individuals,abstract_extent_score,horizon_volume,horizon_shape,strand_profile,measurement_year,measurement_context,dens_proximity_km,stress_level,horizon_stability,recent_change,change_trigger,measurer,method_reference,confidence,notes
HM-0132,ENT-0132,collective,Collective C-132,large_collective,2184.86,15392.7,16342,0.46,1941.6229,social_dominant,caretaker,925,clinical_assessment,66.9,minimal,0.9,contracting,loss,Archive Survey Team,strand_protocol_v2,0.66,
HM-0133,ENT-0133,collective,Collective C-133,large_collective,508.52,8498.3,9298,0.67,735.1841,temporal_dominant,caretaker,915,historical_reconstruction,95.3,moderate,0.67,stable,,P. Anster,strand_protocol_v2,0.89,
HM-0134,ENT-0134,collective,Collective C-134,large_collective,3695.31,8336.2,11141,0.66,1520.5736,social_dominant,caretaker,940,clinical_assessment,182.1,low,0.69,stable,,P. Anster,behavioral_inference,0.78,
HM-0135,ENT-0135,creature,cave bat swarm,small_group,999.53,923.4,114,0.07,1.0,balanced,standard_worker,919,field_observation,117.4,low,0.91,stable,,Independent Observer,anster_modified,0.77,
HM-0136,ENT-0136,creature,tunnel cat,individual,356.45,1687.8,27,0.12,1.0,asymmetric,standard_worker,928,self_report,205.9,moderate,0.75,stable,,K. Strand,anster_modified,0.68,
HM-0137,ENT-0137,person,Subject P-137,individual,353.04,5537.4,56,0.78,2.7669,temporal_dominant,standard_worker,940,field_observation,365.3,moderate,0.78,stable,,K. Strand,strand_protocol_v2,0.93,
HM-0138,ENT-0138,creature,cave bat swarm,organ,0.5,0.3,1,0.0,1.0,social_dominant,survivor,936,historical_reconstruction,319.3,moderate,0.73,stable,,C. Vells,strand_protocol_v2,0.65,
HM-0139,ENT-0139,collective,Collective C-139,large_collective,3698.03,10019.2,849,0.68,161.3451,asymmetric,visionary,938,historical_reconstruction,40.7,high,0.38,stable,,K. Strand,anster_modified,0.52,
HM-0140,ENT-0140,collective,Collective C-140,large_collective,1928.02,8026.7,8828,0.77,1489.9833,social_dominant,caretaker,914,field_observation,316.0,low,0.75,stable,,R. Voss,field_estimation,0.6,
HM-0141,ENT-0141,collective,Collective C-141,small_group,174.72,6895.8,12,0.78,1.0,temporal_dominant,jackson_type,940,field_observation,278.6,moderate,0.6,stable,,Archive Survey Team,strand_protocol_v1,0.81,
HM-0142,ENT-0142,person,Subject P-142,individual,468.71,2403.6,257,0.57,4.7153,asymmetric,standard_worker,921,behavioral_inference,244.2,minimal,0.6,stable,,M. Strand,strand_protocol_v2,0.86,
HM-0143,ENT-0143,institution,Institution I-143,institution,1061.42,20526.1,43872,0.72,4058.1137,temporal_dominant,caretaker,915,historical_reconstruction,20.5,high,0.46,stable,,T. Vells,anster_modified,0.86,
HM-0144,ENT-0144,institution,Institution I-144,large_collective,3869.24,8888.6,2372,0.33,194.6736,balanced,institutional,927,self_report,172.3,moderate,0.51,stable,,T. Vells,behavioral_inference,0.77,
HM-0145,ENT-0145,collective,Collective C-145,small_group,434.59,211.6,38,0.46,1.0,balanced,standard_worker,923,behavioral_inference,127.1,minimal,0.89,stable,,K. Strand,strand_protocol_v2,0.53,
HM-0146,ENT-0146,person,Subject P-146,individual,379.34,2482.1,85,0.76,1.8542,abstract_dominant,standard_student,937,field_observation,420.3,low,0.63,stable,,M. Strand,behavioral_inference,0.54,
HM-0147,ENT-0147,person,Subject P-147,individual,349.64,2692.9,316,0.37,3.161,asymmetric,standard_student,934,self_report,315.8,low,0.58,stable,,Archive Survey Team,behavioral_inference,0.63,
HM-0148,ENT-0148,institution,Institution I-148,institution,158.26,18431.9,94303,0.3,244.4033,temporal_dominant,caretaker,935,clinical_assessment,233.8,low,0.85,stable,,T. Vells,strand_protocol_v2,0.91,
HM-0149,ENT-0149,person,Subject P-149,individual,152.0,5115.6,56,0.5,1.0,temporal_dominant,standard_worker,919,behavioral_inference,434.5,moderate,0.53,stable,,Archive Survey Team,behavioral_inference,0.54,
HM-0150,ENT-0150,collective,Collective C-150,small_group,524.59,6219.7,1,0.42,1.0,temporal_dominant,standard_student,939,clinical_assessment,363.1,minimal,0.8,stable,,Archive Survey Team,behavioral_inference,0.92,
HM-0151,ENT-0151,collective,Collective C-151,small_group,457.35,1321.9,28,0.71,1.0,abstract_dominant,standard_student,924,clinical_assessment,174.0,minimal,0.7,stable,,Boundary Commission,field_estimation,0.56,
HM-0152,ENT-0152,institution,Institution I-152,institution,1039.15,13062.5,131796,0.66,2362.8599,temporal_dominant,caretaker,937,historical_reconstruction,394.6,low,0.84,stable,,Boundary Commission,strand_protocol_v1,0.62,
HM-0153,ENT-0153,collective,Collective C-153,small_group,266.49,6003.2,9,0.5,1.0,temporal_dominant,standard_student,936,behavioral_inference,370.6,minimal,0.89,stable,,Archive Survey Team,anster_modified,0.63,
HM-0154,ENT-0154,institution,Institution I-154,large_collective,2557.32,8320.9,20529,0.63,1450.4901,social_dominant,caretaker,928,self_report,359.8,minimal,0.61,stable,,M. Strand,strand_protocol_v2,0.72,
HM-0155,ENT-0155,collective,Collective C-155,small_group,895.74,8136.3,33,0.76,6.5033,abstract_dominant,jackson_type,912,historical_reconstruction,498.2,low,0.87,stable,,Archive Survey Team,anster_modified,0.65,
HM-0156,ENT-0156,person,Subject P-156,individual,231.45,3013.9,25,0.6,1.0,temporal_dominant,standard_worker,931,clinical_assessment,70.2,minimal,0.72,stable,,Independent Observer,field_estimation,0.77,
HM-0157,ENT-0157,creature,digger collective,individual,322.75,2274.6,231,0.01,1.0,balanced,standard_student,929,historical_reconstruction,139.6,minimal,0.56,stable,,Independent Observer,behavioral_inference,0.68,
HM-0158,ENT-0158,creature,stakdur colony,organ,0.69,0.7,5,0.03,1.0,social_dominant,survivor,912,historical_reconstruction,334.0,minimal,0.74,stable,,R. Voss,anster_modified,0.79,
HM-0159,ENT-0159,creature,cave bat swarm,small_group,300.19,64.5,19,0.01,1.0,balanced,standard_worker,936,self_report,389.4,minimal,0.75,oscillating,dens_exposure,K. Strand,field_estimation,0.75,
HM-0160,ENT-0160,institution,Institution I-160,institution,1825.94,63360.1,138409,0.67,6682.2259,temporal_dominant,caretaker,933,clinical_assessment,38.6,high,0.34,stable,,Boundary Commission,anster_modified,0.82,
HM-0161,ENT-0161,collective,Collective C-161,small_group,588.72,2282.4,60,0.47,1.2055,balanced,standard_student,916,behavioral_inference,226.4,minimal,0.74,contracting,trauma,T. Vells,anster_modified,0.75,
HM-0162,ENT-0162,collective,Collective C-162,large_collective,560.83,20188.2,10435,0.61,1888.31,temporal_dominant,caretaker,940,historical_reconstruction,418.7,moderate,0.77,stable,,Boundary Commission,field_estimation,0.54,
HM-0163,ENT-0163,creature,tunnel cat,small_group,535.84,1379.2,72,0.12,1.0,balanced,standard_worker,933,historical_reconstruction,79.1,moderate,0.58,contracting,,P. Anster,field_estimation,0.63,
HM-0164,ENT-0164,person,Subject P-164,individual,457.24,4238.8,127,0.56,4.0804,balanced,standard_worker,920,field_observation,339.1,moderate,0.94,stable,,P. Anster,anster_modified,0.91,
HM-0165,ENT-0165,institution,Institution I-165,institution,3840.72,22703.8,129200,0.58,3637.2795,social_dominant,caretaker,936,behavioral_inference,474.2,low,0.62,stable,,C. Vells,field_estimation,0.51,
HM-0166,ENT-0166,collective,Collective C-166,small_group,237.28,1515.1,34,0.58,1.0,balanced,standard_worker,913,field_observation,454.7,minimal,0.64,stable,,Klutch CC Counseling,anster_modified,0.72,
HM-0167,ENT-0167,institution,Institution I-167,large_collective,1846.37,20858.0,9193,0.36,1900.1785,temporal_dominant,caretaker,939,behavioral_inference,43.9,high,0.24,stable,,P. Anster,behavioral_inference,0.67,
HM-0168,ENT-0168,institution,Institution I-168,large_collective,1577.0,6007.4,14963,0.52,853.0225,social_dominant,caretaker,914,self_report,103.9,low,0.63,contracting,,Independent Observer,strand_protocol_v1,0.63,
HM-0169,ENT-0169,creature,cave bat swarm,organ,0.15,1.2,4,0.13,1.0,social_dominant,survivor,916,self_report,456.8,minimal,0.86,stable,,K. Strand,strand_protocol_v1,0.56,
HM-0170,ENT-0170,person,Subject P-170,individual,458.18,255.0,98,0.3,1.0,balanced,standard_student,924,clinical_assessment,408.2,moderate,0.59,stable,,Independent Observer,field_estimation,0.79,
HM-0171,ENT-0171,creature,cave bat swarm,small_group,983.78,10024.0,29,0.14,1.4646,temporal_dominant,standard_student,939,behavioral_inference,407.2,low,0.51,oscillating,,P. Anster,strand_protocol_v2,0.6,
HM-0172,ENT-0172,person,Subject P-172,individual,2.75,685.7,98,0.32,1.0,temporal_dominant,standard_student,923,historical_reconstruction,227.2,moderate,0.62,stable,,P. Anster,behavioral_inference,0.74,
HM-0173,ENT-0173,collective,Collective C-173,small_group,956.28,7047.0,45,0.44,4.4346,asymmetric,standard_student,922,historical_reconstruction,279.5,low,0.7,stable,,K. Strand,behavioral_inference,0.77,
HM-0174,ENT-0174,collective,Collective C-174,small_group,327.08,313.5,48,0.67,1.0,balanced,standard_worker,927,self_report,126.0,minimal,0.64,stable,,Klutch CC Counseling,anster_modified,0.58,
HM-0175,ENT-0175,institution,Institution I-175,institution,920.25,29314.2,103579,0.47,3507.5867,temporal_dominant,caretaker,916,behavioral_inference,58.0,minimal,0.64,oscillating,loss,Klutch CC Counseling,anster_modified,0.86,
HM-0176,ENT-0176,collective,Collective C-176,small_group,348.95,2951.9,25,0.54,1.0,asymmetric,standard_worker,912,behavioral_inference,152.3,minimal,0.81,stable,,R. Voss,strand_protocol_v2,0.63,
HM-0177,ENT-0177,institution,Institution I-177,institution,3501.97,9209.8,145859,0.66,1681.8222,social_dominant,caretaker,940,historical_reconstruction,397.0,low,0.91,expanding,,C. Vells,field_estimation,0.66,
HM-0178,ENT-0178,creature,stakdur colony,small_group,108.85,4698.2,9,0.09,1.0,temporal_dominant,standard_student,914,behavioral_inference,309.1,minimal,0.82,stable,,R. Voss,field_estimation,0.74,
HM-0179,ENT-0179,person,Subject P-179,individual,454.04,1951.2,101,0.15,1.0,balanced,standard_worker,928,clinical_assessment,159.1,low,0.77,expanding,dens_exposure,C. Vells,anster_modified,0.77,
HM-0180,ENT-0180,creature,cave bat swarm,small_group,747.05,220.8,132,0.03,1.0,asymmetric,standard_worker,915,field_observation,335.0,low,0.8,stable,,C. Vells,field_estimation,0.88,
HM-0181,ENT-0181,creature,cave bat swarm,individual,292.93,2078.2,45,0.17,1.0,asymmetric,standard_student,929,field_observation,168.4,moderate,0.75,stable,,T. Vells,strand_protocol_v1,0.54,
HM-0182,ENT-0182,collective,Collective C-182,large_collective,1971.75,27872.0,6221,0.37,1752.377,temporal_dominant,institutional,914,clinical_assessment,279.7,moderate,0.66,stable,,Klutch CC Counseling,behavioral_inference,0.74,
HM-0183,ENT-0183,institution,Institution I-183,institution,3586.59,59869.1,267940,0.39,3888.9464,temporal_dominant,caretaker,921,clinical_assessment,315.2,low,0.59,stable,,Klutch CC Counseling,strand_protocol_v2,0.95,
HM-0184,ENT-0184,institution,Institution I-184,institution,4219.2,20375.4,61916,0.57,3164.8019,social_dominant,caretaker,915,clinical_assessment,434.2,moderate,0.87,oscillating,trauma,R. Voss,anster_modified,0.68,
HM-0185,ENT-0185,institution,Institution I-185,large_collective,4237.01,5226.4,13272,0.47,668.354,social_dominant,caretaker,939,field_observation,259.6,minimal,0.69,stable,,R. Voss,behavioral_inference,0.91,
HM-0186,ENT-0186,person,Subject P-186,individual,238.54,563.0,164,0.75,1.0,abstract_dominant,standard_worker,930,field_observation,123.9,minimal,0.62,stable,,P. Anster,behavioral_inference,0.85,
HM-0187,ENT-0187,institution,Institution I-187,large_collective,4165.55,3307.5,3980,0.67,244.1098,social_dominant,caretaker,938,clinical_assessment,486.8,low,0.51,contracting,loss,K. Strand,anster_modified,0.9,
HM-0188,ENT-0188,institution,Institution I-188,institution,4605.1,22189.3,16057,0.71,4346.6652,abstract_dominant,caretaker,937,field_observation,124.4,low,0.74,stable,,T. Vells,strand_protocol_v1,0.53,
HM-0189,ENT-0189,institution,Institution I-189,institution,3179.93,45845.0,26131,0.68,6790.3276,temporal_dominant,caretaker,915,behavioral_inference,465.8,moderate,0.73,stable,,K. Strand,strand_protocol_v2,0.8,
HM-0190,ENT-0190,institution,Institution I-190,large_collective,4499.95,4617.5,8806,0.56,627.4415,social_dominant,caretaker,932,clinical_assessment,438.6,low,0.52,stable,,P. Anster,anster_modified,0.73,
HM-0191,ENT-0191,person,Subject P-191,individual,223.24,1422.3,63,0.44,1.0,asymmetric,standard_student,935,behavioral_inference,473.7,moderate,0.85,stable,,Boundary Commission,behavioral_inference,0.51,
HM-0192,ENT-0192,person,Subject P-192,individual,102.08,118.3,179,0.45,1.0,social_dominant,caretaker,917,behavioral_inference,264.4,moderate,0.9,contracting,,Boundary Commission,behavioral_inference,0.78,
HM-0193,ENT-0193,creature,cave bat swarm,individual,355.83,3541.5,41,0.02,1.0,asymmetric,standard_student,916,historical_reconstruction,378.6,moderate,0.68,stable,,Boundary Commission,anster_modified,0.52,
HM-0194,ENT-0194,institution,Institution I-194,large_collective,3602.19,2331.3,8818,0.68,382.9472,social_dominant,caretaker,921,self_report,200.6,minimal,0.51,expanding,,Independent Observer,strand_protocol_v2,0.64,
HM-0195,ENT-0195,institution,Institution I-195,institution,177.88,41137.9,160816,0.36,640.9746,temporal_dominant,caretaker,915,behavioral_inference,168.4,minimal,0.63,contracting,new_purpose,C. Vells,strand_protocol_v1,0.62,
HM-0196,ENT-0196,institution,Institution I-196,large_collective,3468.99,7592.6,5792,0.5,608.5907,balanced,caretaker,928,clinical_assessment,411.9,low,0.51,stable,,M. Strand,behavioral_inference,0.63,
HM-0197,ENT-0197,creature,cave bat swarm,small_group,607.11,3678.1,20,0.19,1.0,asymmetric,standard_worker,936,historical_reconstruction,266.6,minimal,0.54,stable,,P. Anster,behavioral_inference,0.77,
HM-0198,ENT-0198,person,Subject P-198,individual,128.29,5592.4,332,0.54,3.6065,temporal_dominant,standard_worker,930,field_observation,354.5,moderate,0.87,stable,,K. Strand,strand_protocol_v1,0.79,
HM-0199,ENT-0199,collective,Collective C-199,small_group,288.4,2189.0,47,0.39,1.0,balanced,standard_worker,918,historical_reconstruction,368.4,moderate,0.55,stable,,P. Anster,behavioral_inference,0.8,
HM-0200,ENT-0200,institution,Institution I-200,large_collective,3206.34,21585.2,26572,0.77,4550.2578,social_dominant,caretaker,928,historical_reconstruction,410.8,moderate,0.51,stable,,C. Vells,anster_modified,0.56,
HM-0201,ENT-0201,person,Subject P-201,individual,259.25,2302.9,158,0.28,1.0,balanced,standard_student,931,clinical_assessment,363.1,moderate,0.88,stable,,T. Vells,strand_protocol_v2,0.91,
HM-0202,ENT-0202,collective,Collective C-202,large_collective,352.32,9429.0,22960,0.33,298.6464,temporal_dominant,caretaker,915,self_report,63.6,moderate,0.88,contracting,dens_exposure,P. Anster,anster_modified,0.57,
HM-0203,ENT-0203,collective,Collective C-203,small_group,537.36,12545.4,56,0.32,3.9603,temporal_dominant,standard_worker,924,self_report,491.5,moderate,0.84,stable,,Archive Survey Team,field_estimation,0.76,
HM-0204,ENT-0204,collective,Collective C-204,large_collective,2341.82,6346.2,5595,0.42,411.1837,asymmetric,caretaker,915,clinical_assessment,337.9,low,0.82,stable,,M. Strand,field_estimation,0.85,
HM-0205,ENT-0205,institution,Institution I-205,large_collective,914.28,8864.5,7991,0.63,1113.4094,asymmetric,caretaker,921,clinical_assessment,272.0,moderate,0.57,contracting,trauma,Independent Observer,anster_modified,0.66,
HM-0206,ENT-0206,institution,Institution I-206,institution,4506.54,48665.3,47554,0.48,4858.381,temporal_dominant,caretaker,935,behavioral_inference,85.1,minimal,0.69,stable,,P. Anster,strand_protocol_v2,0.66,
HM-0207,ENT-0207,institution,Institution I-207,institution,4731.42,9623.0,199057,0.57,1508.6875,social_dominant,caretaker,939,historical_reconstruction,424.4,moderate,0.66,stable,,R. Voss,behavioral_inference,0.86,
HM-0208,ENT-0208,creature,cave bat swarm,organ,0.61,0.9,5,0.06,1.0,social_dominant,survivor,934,self_report,427.3,moderate,0.54,stable,,Archive Survey Team,behavioral_inference,0.61,
HM-0209,ENT-0209,person,Subject P-209,individual,164.47,491.3,121,0.76,1.0,abstract_dominant,standard_student,938,field_observation,429.6,moderate,0.94,stable,,Independent Observer,behavioral_inference,0.94,
HM-0210,ENT-0210,person,Subject P-210,individual,73.74,3105.9,382,0.64,1.5841,temporal_dominant,standard_worker,935,historical_reconstruction,427.0,minimal,0.55,stable,,C. Vells,strand_protocol_v2,0.68,
HM-0211,ENT-0211,creature,digger collective,individual,368.72,230.7,110,0.17,1.0,asymmetric,standard_worker,930,behavioral_inference,283.5,low,0.79,stable,,C. Vells,anster_modified,0.77,
HM-0212,ENT-0212,creature,cave bat swarm,organ,0.53,0.6,3,0.1,1.0,social_dominant,survivor,939,self_report,333.2,moderate,0.82,stable,,Archive Survey Team,strand_protocol_v2,0.85,
HM-0213,ENT-0213,creature,digger collective,organ,0.85,0.7,0,0.16,1.0,asymmetric,survivor,936,self_report,251.1,low,0.72,stable,,C. Vells,strand_protocol_v2,0.61,
HM-0214,ENT-0214,institution,Institution I-214,large_collective,2849.92,6558.0,1431,0.65,169.4631,asymmetric,institutional,921,clinical_assessment,386.6,minimal,0.79,expanding,dens_exposure,Boundary Commission,anster_modified,0.7,
HM-0215,ENT-0215,collective,Collective C-215,large_collective,3681.59,18131.6,12878,0.55,2726.6584,asymmetric,caretaker,917,historical_reconstruction,441.5,minimal,0.86,stable,,R. Voss,strand_protocol_v1,0.73,
HM-0216,ENT-0216,creature,tunnel cat,individual,249.71,489.5,85,0.13,1.0,balanced,standard_worker,926,clinical_assessment,330.3,minimal,0.54,stable,,Archive Survey Team,strand_protocol_v2,0.76,
HM-0217,ENT-0217,collective,Collective C-217,large_collective,1895.84,25642.6,3784,0.47,1262.5826,temporal_dominant,institutional,932,behavioral_inference,474.9,minimal,0.77,stable,,R. Voss,strand_protocol_v2,0.74,
HM-0218,ENT-0218,institution,Institution I-218,large_collective,2250.87,15819.5,4125,0.32,568.3478,asymmetric,institutional,926,clinical_assessment,16.1,high,0.55,contracting,loss,P. Anster,field_estimation,0.6,
HM-0219,ENT-0219,person,Subject P-219,individual,191.19,652.6,239,0.71,1.0,abstract_dominant,standard_student,939,self_report,475.2,minimal,0.94,stable,,T. Vells,field_estimation,0.94,
HM-0220,ENT-0220,creature,cave bat swarm,small_group,294.03,4391.7,58,0.07,1.0,temporal_dominant,standard_worker,913,self_report,459.3,low,0.59,stable,,M. Strand,field_estimation,0.81,
HM-0221,ENT-0221,institution,Institution I-221,large_collective,4951.11,7470.0,763,0.58,92.5952,asymmetric,visionary,928,field_observation,428.5,moderate,0.87,stable,,Independent Observer,strand_protocol_v1,0.71,
HM-0222,ENT-0222,collective,Collective C-222,small_group,359.65,3604.4,51,0.75,1.6377,temporal_dominant,standard_student,940,behavioral_inference,378.5,moderate,0.9,stable,,K. Strand,field_estimation,0.62,
HM-0223,ENT-0223,creature,stakdur colony,individual,35.13,1782.6,186,0.01,1.0,temporal_dominant,standard_worker,935,historical_reconstruction,341.3,moderate,0.7,contracting,new_purpose,R. Voss,strand_protocol_v1,0.74,
HM-0224,ENT-0224,creature,leatherback,small_group,66.76,6840.9,103,0.18,1.0,temporal_dominant,standard_worker,933,self_report,367.2,minimal,0.81,stable,,P. Anster,strand_protocol_v1,0.6,
HM-0225,ENT-0225,collective,Collective C-225,small_group,340.24,4200.9,30,0.5,1.0,temporal_dominant,standard_worker,923,behavioral_inference,294.1,moderate,0.64,oscillating,new_purpose,Klutch CC Counseling,behavioral_inference,0.69,
HM-0226,ENT-0226,collective,Collective C-226,large_collective,4998.62,3704.3,3795,0.77,298.8892,social_dominant,caretaker,920,clinical_assessment,156.6,minimal,0.72,contracting,new_purpose,Independent Observer,behavioral_inference,0.81,
HM-0227,ENT-0227,institution,Institution I-227,institution,4284.53,4744.1,199985,0.66,865.93,social_dominant,caretaker,912,historical_reconstruction,165.0,minimal,0.91,stable,,C. Vells,behavioral_inference,0.56,
HM-0228,ENT-0228,collective,Collective C-228,small_group,646.41,5934.4,25,0.42,1.5482,asymmetric,standard_worker,936,field_observation,246.7,low,0.76,stable,,Independent Observer,anster_modified,0.67,
HM-0229,ENT-0229,person,Subject P-229,individual,28.78,5160.9,142,0.38,1.0,temporal_dominant,standard_student,928,behavioral_inference,23.3,extreme,0.41,stable,,M. Strand,behavioral_inference,0.68,
HM-0230,ENT-0230,collective,Collective C-230,small_group,310.65,6103.7,38,0.72,1.8101,temporal_dominant,jackson_type,933,clinical_assessment,106.1,low,0.71,contracting,loss,Boundary Commission,behavioral_inference,0.58,
HM-0231,ENT-0231,person,Subject P-231,individual,386.94,3274.9,73,0.84,2.4161,abstract_dominant,standard_worker,919,behavioral_inference,34.2,extreme,0.23,stable,,Independent Observer,strand_protocol_v2,0.76,
HM-0232,ENT-0232,collective,Collective C-232,small_group,523.96,1833.7,51,0.51,1.0,asymmetric,standard_student,925,clinical_assessment,165.4,minimal,0.73,contracting,maturation,Klutch CC Counseling,anster_modified,0.52,
HM-0233,ENT-0233,institution,Institution I-233,institution,2904.02,11646.6,56868,0.37,1185.2331,social_dominant,caretaker,914,self_report,239.2,minimal,0.86,stable,,C. Vells,strand_protocol_v2,0.78,
HM-0234,ENT-0234,person,Subject P-234,individual,342.08,963.3,65,0.84,1.0,abstract_dominant,standard_student,940,self_report,156.9,minimal,0.86,stable,,K. Strand,anster_modified,0.56,
HM-0235,ENT-0235,creature,ridge runner pack,small_group,262.57,3339.5,68,0.07,1.0,temporal_dominant,standard_worker,934,self_report,9.1,high,0.51,contracting,loss,M. Strand,behavioral_inference,0.51,
HM-0236,ENT-0236,person,Subject P-236,individual,67.6,1117.6,293,0.75,1.0,temporal_dominant,standard_worker,919,historical_reconstruction,481.9,moderate,0.59,stable,,T. Vells,anster_modified,0.79,
HM-0237,ENT-0237,collective,Collective C-237,large_collective,1317.71,28311.8,2680,0.52,1079.3769,temporal_dominant,visionary,919,historical_reconstruction,435.6,moderate,0.66,expanding,new_purpose,Archive Survey Team,behavioral_inference,0.62,
HM-0238,ENT-0238,collective,Collective C-238,large_collective,1280.94,3963.3,1392,0.32,49.3165,asymmetric,caretaker,919,clinical_assessment,371.8,moderate,0.82,stable,,Boundary Commission,strand_protocol_v1,0.7,
HM-0239,ENT-0239,institution,Institution I-239,institution,990.98,12434.7,206050,0.46,1546.6658,temporal_dominant,caretaker,937,field_observation,204.9,low,0.66,oscillating,loss,T. Vells,field_estimation,0.77,
HM-0240,ENT-0240,institution,Institution I-240,institution,3581.29,54612.2,32774,0.44,4391.1901,temporal_dominant,caretaker,913,self_report,408.1,moderate,0.62,stable,,Archive Survey Team,strand_protocol_v1,0.62,
HM-0241,ENT-0241,institution,Institution I-241,large_collective,366.11,32284.3,11583,0.49,1601.9109,temporal_dominant,caretaker,938,self_report,272.3,moderate,0.93,stable,,R. Voss,behavioral_inference,0.71,
HM-0242,ENT-0242,person,Subject P-242,individual,25.38,2396.6,15,0.83,1.0,temporal_dominant,standard_student,933,self_report,396.3,minimal,0.56,stable,,Archive Survey Team,anster_modified,0.63,
HM-0243,ENT-0243,collective,Collective C-243,large_collective,1896.54,3068.2,1116,0.75,70.6753,abstract_dominant,caretaker,914,behavioral_inference,7.7,extreme,0.5,stable,,Boundary Commission,field_estimation,0.74,
HM-0244,ENT-0244,institution,Institution I-244,large_collective,4666.33,8090.9,8833,0.38,741.9296,social_dominant,caretaker,933,historical_reconstruction,471.1,minimal,0.55,expanding,dens_exposure,P. Anster,strand_protocol_v2,0.81,
HM-0245,ENT-0245,person,Subject P-245,individual,122.56,4978.1,45,0.62,1.0,temporal_dominant,standard_worker,924,behavioral_inference,231.3,low,0.9,stable,,Archive Survey Team,strand_protocol_v1,0.67,
HM-0246,ENT-0246,creature,leatherback,individual,36.54,3243.9,25,0.1,1.0,temporal_dominant,standard_worker,917,behavioral_inference,454.5,low,0.71,contracting,,P. Anster,anster_modified,0.82,
HM-0247,ENT-0247,collective,Collective C-247,small_group,792.0,1519.5,53,0.43,1.0,balanced,standard_worker,939,historical_reconstruction,231.6,low,0.93,stable,,T. Vells,strand_protocol_v1,0.89,
HM-0248,ENT-0248,person,Subject P-248,individual,499.24,2127.0,209,0.2,1.3011,balanced,standard_student,927,clinical_assessment,323.5,moderate,0.86,stable,,R. Voss,anster_modified,0.86,
HM-0249,ENT-0249,person,Subject P-249,individual,128.82,1927.4,199,0.84,1.1916,temporal_dominant,standard_student,932,clinical_assessment,341.8,minimal,0.85,stable,,K. Strand,field_estimation,0.73,
HM-0250,ENT-0250,person,Subject P-250,individual,199.12,2166.6,84,0.88,1.0,temporal_dominant,standard_worker,926,clinical_assessment,208.4,minimal,0.69,stable,,C. Vells,anster_modified,0.74,
HM-0251,ENT-0251,institution,Institution I-251,large_collective,2488.78,27695.7,13148,0.66,5042.5719,temporal_dominant,caretaker,915,field_observation,258.7,moderate,0.53,stable,,Klutch CC Counseling,anster_modified,0.79,
HM-0252,ENT-0252,collective,Collective C-252,large_collective,3360.46,1941.0,742,0.51,20.4951,balanced,caretaker,917,historical_reconstruction,407.2,minimal,0.89,contracting,,R. Voss,anster_modified,0.74,
HM-0253,ENT-0253,institution,Institution I-253,large_collective,275.51,2393.4,8327,0.39,59.3593,social_dominant,caretaker,929,clinical_assessment,97.7,minimal,0.85,stable,,Boundary Commission,anster_modified,0.79,
HM-0254,ENT-0254,person,Subject P-254,individual,266.47,1394.8,51,0.25,1.0,balanced,standard_worker,923,historical_reconstruction,279.0,minimal,0.83,stable,,M. Strand,behavioral_inference,0.87,
HM-0255,ENT-0255,creature,digger collective,organ,0.77,0.5,2,0.17,1.0,social_dominant,survivor,938,self_report,497.3,minimal,0.56,stable,,R. Voss,strand_protocol_v2,0.65,
HM-0256,ENT-0256,creature,tunnel cat,individual,395.38,34.3,198,0.07,1.0,social_dominant,caretaker,923,clinical_assessment,445.7,moderate,0.88,stable,,C. Vells,strand_protocol_v1,0.95,
HM-0257,ENT-0257,creature,cave bat swarm,small_group,407.8,294.6,21,0.01,1.0,balanced,standard_student,930,clinical_assessment,38.1,extreme,0.27,stable,,C. Vells,strand_protocol_v1,0.77,
HM-0258,ENT-0258,collective,Collective C-258,small_group,614.17,5942.0,5,0.71,1.0629,abstract_dominant,jackson_type,934,field_observation,423.0,minimal,0.77,oscillating,dens_exposure,M. Strand,field_estimation,0.71,
HM-0259,ENT-0259,collective,Collective C-259,small_group,723.69,10331.6,64,0.74,11.2665,temporal_dominant,visionary,924,clinical_assessment,405.6,moderate,0.54,stable,,T. Vells,behavioral_inference,0.61,
HM-0260,ENT-0260,institution,Institution I-260,institution,343.55,9666.1,12885,0.34,307.4122,temporal_dominant,caretaker,916,historical_reconstruction,10.3,extreme,0.21,stable,,K. Strand,field_estimation,0.6,
HM-0261,ENT-0261,person,Subject P-261,individual,13.61,2584.6,158,0.89,1.0,temporal_dominant,standard_worker,938,self_report,34.3,extreme,0.28,contracting,new_purpose,Klutch CC Counseling,strand_protocol_v2,0.65,
HM-0262,ENT-0262,institution,Institution I-262,institution,2910.56,5614.5,70787,0.53,819.0541,social_dominant,caretaker,921,historical_reconstruction,494.0,low,0.95,stable,,Archive Survey Team,behavioral_inference,0.77,
HM-0263,ENT-0263,person,Subject P-263,individual,449.34,2030.0,48,0.89,1.2987,abstract_dominant,standard_worker,922,clinical_assessment,237.7,low,0.51,stable,,Boundary Commission,strand_protocol_v2,0.82,
HM-0264,ENT-0264,creature,leatherback,individual,263.79,457.3,44,0.17,1.0,asymmetric,standard_worker,939,historical_reconstruction,256.5,minimal,0.69,stable,,C. Vells,strand_protocol_v1,0.83,
