trajectory_id,trajectory_name,origin_form_id,origin_form_name,destination_form_id,destination_form_name,origin_basin_id,destination_basin_id,trajectory_type,total_distance,geodesic_distance,efficiency,duration_days,waypoint_count,waypoint_ids,basin_crossings,ridge_crossings,directness,confidence_at_origin,arrival_accuracy,outcome,entity_type,entity_id,first_documented,documenter,documentation_method,confidence,notes
NT-0092,Winding Descent to BA-003,MS-0032,Form 0032,MS-0045,Form 0045,BA-038,BA-003,developmental,0.4235,0.3943,0.931,58,6,"MS-0049,MS-0027,MS-0072,MS-0075,MS-0037,MS-0077",2,2,0.901,0.8,0.0,successful_arrival,phenomenon,,930,Boundary Commission,direct_observation,0.96,Observed by Boundary Commission in Year 930.
NT-0093,Form 0033 Trajectory 21,MS-0074,Form 0074,MS-0033,Form 0033,BA-004,BA-035,regenerative,3.0,1.6089,0.486,332,1,MS-0063,1,2,0.389,0.245,0.2537,partial_arrival,behavior_pattern,,927,C. Vells,experimental_induction,0.609,1 basin boundaries crossed during navigation.
NT-0094,Winding Descent to BA-026,MS-0089,Form 0089,MS-0076,Form 0076,BA-002,BA-026,learned,1.0842,0.9305,0.858,151,5,"MS-0100,MS-0046,MS-0026,MS-0032,MS-0028",2,3,0.991,0.527,0.0,successful_arrival,creature,,921,T. Vells,experimental_induction,0.807,System showed learned navigation pattern.
NT-0095,Eastern Descent to BA-050,MS-0077,Form 0077,MS-0095,Form 0095,BA-009,BA-050,developmental,1.9437,1.4581,0.75,207,3,"MS-0063,MS-0081,MS-0033",4,3,0.88,0.8,0.0,successful_arrival,behavior_pattern,EN-430,918,C. Vells,retrospective_inference,0.64,System showed developmental navigation pattern.
NT-0096,First Descent to BA-039,MS-0020,Form 0020,MS-0025,Form 0025,BA-038,BA-039,instinctive,1.6234,1.2545,0.773,185,4,"MS-0003,MS-0094,MS-0003,MS-0056",4,1,0.668,0.8,0.0,successful_arrival,creature,EN-385,923,Archive Survey Team,direct_observation,0.89,Trajectory documented over 185 days.
NT-0097,Journey 390,MS-0059,Form 0059,MS-0003,The Breathing Mode,BA-038,BA-015,exploratory,2.6537,0.7263,0.274,293,0,,3,0,0.228,0.244,0.1075,dissolved,structure,,919,C. Vells,experimental_induction,0.999,
NT-0098,Form 0029 Trajectory 83,,,MS-0029,Form 0029,,BA-008,developmental,0.7896,0.685,0.868,86,1,MS-0065,1,1,0.855,0.8,0.0,successful_arrival,behavior_pattern,,924,Boundary Commission,form_tracking,0.571,
NT-0099,Form 0018 Trajectory 18,,,MS-0018,Form 0018,,BA-025,developmental,2.0167,1.262,0.626,235,3,"MS-0069,MS-0080,MS-0053",3,1,0.596,0.8,0.1905,adjacent_arrival,creature,,929,C. Vells,experimental_induction,0.823,3 basin boundaries crossed during navigation.
NT-0100,Journey 226,MS-0067,Form 0067,MS-0002,The Binary Division,BA-046,BA-002,developmental,1.1056,1.0819,0.979,113,4,"MS-0009,MS-0020,MS-0064,MS-0016",2,0,0.793,0.8,0.0,successful_arrival,creature,EN-307,925,T. Vells,experimental_induction,0.698,System showed developmental navigation pattern.
NT-0101,Smooth Form 0037 Approach,MS-0048,Form 0048,MS-0037,Form 0037,BA-023,BA-005,regenerative,1.5059,1.0866,0.722,169,3,"MS-0072,MS-0067,MS-0016",1,0,0.71,0.522,0.0,successful_arrival,structure,,921,Boundary Commission,direct_observation,0.843,Passed through 3 intermediate forms.
NT-0102,Direct Form 0084 Approach,MS-0024,Form 0024,MS-0084,Form 0084,BA-001,BA-040,forced,0.9932,0.7822,0.788,145,3,"MS-0061,MS-0055,MS-0028",2,2,0.694,0.624,0.0,successful_arrival,creature,,926,Western Archive Team,direct_observation,0.803,System showed forced navigation pattern.
NT-0103,Form 0056 Trajectory 36,MS-0092,Form 0092,MS-0056,Form 0056,BA-002,BA-038,regenerative,1.6571,1.186,0.716,195,2,"MS-0084,MS-0036",3,4,0.691,0.627,0.0,successful_arrival,behavior_pattern,,930,K. Strand,direct_observation,0.989,Trajectory documented over 195 days.
NT-0104,Winding Descent to BA-048,MS-0062,Form 0062,MS-0083,Form 0083,BA-022,BA-048,exploratory,3.0,0.6797,0.187,298,2,"MS-0043,MS-0097",2,0,0.169,0.344,0.1565,lost,phenomenon,,928,K. Strand,direct_observation,0.518,
NT-0105,Journey 710,MS-0015,Form 0015,MS-0032,Form 0032,BA-011,BA-038,developmental,1.6594,1.3202,0.796,149,0,,4,2,0.729,0.8,0.0,successful_arrival,collective,,922,Boundary Commission,form_tracking,0.596,4 basin boundaries crossed during navigation.
NT-0106,Western Form 0026 Approach,MS-0044,Form 0044,MS-0026,Form 0026,BA-006,BA-043,regenerative,1.0387,0.8481,0.816,110,5,"MS-0096,MS-0060,MS-0074,MS-0055,MS-0022",2,3,0.967,0.633,0.0,successful_arrival,creature,,929,K. Strand,direct_observation,0.726,Efficiency: 0.82 of geodesic optimum.
NT-0107,Journey 117,MS-0097,Form 0097,MS-0046,Form 0046,BA-025,BA-039,chaotic,0.5928,0.5642,0.952,44,0,,4,3,0.798,0.304,0.0,successful_arrival,creature,,930,R. Voss,direct_observation,0.773,Trajectory documented over 44 days.
NT-0108,Southern Descent to BA-034,MS-0078,Form 0078,MS-0065,Form 0065,BA-022,BA-034,learned,2.7337,1.182,0.432,282,2,"MS-0021,MS-0057",1,0,0.513,0.433,0.3217,partial_arrival,creature,,921,C. Vells,form_tracking,0.625,System showed learned navigation pattern.
NT-0109,Path to Form 0074,MS-0071,Form 0071,MS-0074,Form 0074,BA-044,BA-004,regenerative,1.8759,1.3909,0.741,187,3,"MS-0045,MS-0074,MS-0041",3,0,0.704,0.596,0.0,successful_arrival,behavior_pattern,EN-145,930,T. Vells,direct_observation,0.683,Efficiency: 0.74 of geodesic optimum.
NT-0110,First Descent to BA-044,,,MS-0071,Form 0071,,BA-044,developmental,0.203,0.1613,0.795,41,1,MS-0080,3,2,0.654,0.8,0.0938,adjacent_arrival,structure,EN-453,932,Boundary Commission,form_tracking,0.906,Trajectory documented over 41 days.
NT-0111,Turbulent Form 0055 Approach,MS-0073,Form 0073,MS-0055,Form 0055,BA-011,BA-026,instinctive,2.1774,1.707,0.784,217,0,,2,3,0.909,0.8,0.4245,adjacent_arrival,phenomenon,EN-405,923,Western Archive Team,retrospective_inference,0.835,System showed instinctive navigation pattern.
NT-0112,Eastern Form 0080 Approach,MS-0079,Form 0079,MS-0080,Form 0080,BA-042,BA-040,developmental,0.6612,0.5803,0.878,90,2,"MS-0042,MS-0023",1,2,0.775,0.8,0.0,successful_arrival,creature,EN-016,931,Western Archive Team,form_tracking,0.717,
NT-0113,Primary Form 0078 Approach,MS-0060,Form 0060,MS-0078,Form 0078,BA-023,BA-022,regenerative,1.0646,0.8886,0.835,135,0,,3,4,0.678,0.362,0.0,successful_arrival,structure,EN-215,929,Archive Survey Team,direct_observation,0.703,System showed regenerative navigation pattern.
NT-0114,Primary Descent to BA-048,MS-0096,Form 0096,MS-0083,Form 0083,BA-038,BA-048,developmental,1.0558,0.7515,0.712,91,6,"MS-0061,MS-0074,MS-0019,MS-0096,MS-0058,MS-0022",3,2,0.686,0.8,0.0,successful_arrival,creature,EN-069,932,T. Vells,direct_observation,0.833,Observed by T. Vells in Year 932.
NT-0115,Rapid Form 0014 Approach,MS-0057,Form 0057,MS-0014,Form 0014,BA-017,BA-014,regenerative,1.7437,1.7125,0.982,171,1,MS-0100,3,3,0.924,0.55,0.0,successful_arrival,creature,,925,Boundary Commission,direct_observation,0.83,Passed through 1 intermediate forms.
NT-0116,Gradual Descent to BA-036,,,MS-0008,Form 0008,,BA-036,developmental,1.7773,1.2625,0.71,170,3,"MS-0100,MS-0065,MS-0039",4,0,0.75,0.8,0.0,successful_arrival,phenomenon,,925,R. Voss,form_tracking,0.63,System showed developmental navigation pattern.
NT-0117,Journey 266,MS-0075,Form 0075,MS-0025,Form 0025,BA-009,BA-039,developmental,1.7385,1.4292,0.822,178,0,,1,0,0.921,0.8,0.0,successful_arrival,collective,EN-231,918,Western Archive Team,retrospective_inference,0.648,Passed through 0 intermediate forms.
NT-0118,Journey 205,MS-0034,Form 0034,MS-0004,The Tension,BA-015,BA-003,learned,0.9443,0.941,0.996,132,1,MS-0053,3,4,0.987,0.58,0.0,successful_arrival,creature,,930,Western Archive Team,form_tracking,0.745,Passed through 1 intermediate forms.
NT-0119,Form 0058 Trajectory 71,MS-0070,Form 0070,MS-0058,Form 0058,BA-033,BA-010,learned,2.4837,1.7438,0.702,241,2,"MS-0067,MS-0096",3,0,0.779,0.231,0.355,adjacent_arrival,behavior_pattern,,919,Boundary Commission,retrospective_inference,0.611,Efficiency: 0.70 of geodesic optimum.
NT-0120,Rapid Descent to BA-008,,,MS-0029,Form 0029,,BA-008,developmental,0.3579,0.215,0.601,83,4,"MS-0060,MS-0032,MS-0089,MS-0073",4,0,0.612,0.8,0.2451,partial_arrival,phenomenon,EN-138,931,R. Voss,direct_observation,0.875,Trajectory documented over 83 days.
NT-0121,Form 0043 Trajectory 69,MS-0088,Form 0088,MS-0043,Form 0043,BA-040,BA-010,developmental,1.3489,1.0301,0.764,172,1,MS-0027,3,3,0.781,0.8,0.0,successful_arrival,creature,,931,Boundary Commission,retrospective_inference,0.996,Observed by Boundary Commission in Year 931.
NT-0122,Journey 365,,,MS-0055,Form 0055,,BA-026,developmental,1.4204,1.1009,0.775,137,2,"MS-0008,MS-0020",3,4,0.743,0.8,0.0,successful_arrival,creature,,920,C. Vells,direct_observation,0.787,System showed developmental navigation pattern.
NT-0123,Efficient Form 0091 Approach,MS-0024,Form 0024,MS-0091,Form 0091,BA-001,BA-026,developmental,2.5495,1.848,0.725,296,0,,4,1,0.685,0.8,0.0,successful_arrival,creature,,918,Western Archive Team,form_tracking,0.533,4 basin boundaries crossed during navigation.
NT-0124,Journey 303,,,MS-0066,Form 0066,,BA-018,developmental,1.404,1.1591,0.826,171,3,"MS-0080,MS-0089,MS-0008",3,0,0.816,0.8,0.0,successful_arrival,creature,,928,Boundary Commission,retrospective_inference,0.993,Passed through 3 intermediate forms.
NT-0125,Journey 266,MS-0040,Form 0040,MS-0024,Form 0024,BA-027,BA-001,developmental,1.3662,1.3608,0.996,178,2,"MS-0043,MS-0086",3,3,0.822,0.8,0.0,successful_arrival,creature,,931,C. Vells,experimental_induction,0.74,Passed through 2 intermediate forms.
NT-0126,Gradual Descent to BA-040,MS-0027,The Five-Body Form,MS-0088,Form 0088,BA-005,BA-040,developmental,1.2485,1.2194,0.977,169,3,"MS-0087,MS-0080,MS-0100",3,0,0.873,0.8,0.0,successful_arrival,structure,,932,K. Strand,direct_observation,0.518,3 basin boundaries crossed during navigation.
NT-0127,Path to Form 0042,MS-0067,Form 0067,MS-0042,Form 0042,BA-046,BA-032,instinctive,0.6165,0.4521,0.733,104,1,MS-0010,4,1,0.607,0.8,0.1595,adjacent_arrival,collective,EN-035,930,T. Vells,experimental_induction,0.713,Observed by T. Vells in Year 930.
NT-0128,Second The Binary Division Approach,MS-0066,Form 0066,MS-0002,The Binary Division,BA-018,BA-002,learned,1.4667,1.0526,0.718,169,1,MS-0028,1,0,0.62,0.652,0.0,successful_arrival,phenomenon,,930,R. Voss,form_tracking,0.854,System showed learned navigation pattern.
NT-0129,Form 0026 Trajectory 79,MS-0078,Form 0078,MS-0026,Form 0026,BA-022,BA-043,regenerative,1.9657,0.6411,0.326,234,1,MS-0027,1,2,0.39,0.551,0.3798,trapped,phenomenon,,932,R. Voss,form_tracking,0.613,1 basin boundaries crossed during navigation.
NT-0130,Path to Form 0094,MS-0048,Form 0048,MS-0094,Form 0094,BA-023,BA-002,regenerative,2.3404,1.352,0.578,228,0,,4,1,0.599,0.607,0.2904,adjacent_arrival,creature,,926,Boundary Commission,retrospective_inference,0.736,Observed by Boundary Commission in Year 926.
NT-0131,Journey 299,MS-0048,Form 0048,MS-0017,Form 0017,BA-023,BA-023,exploratory,0.0112,0.01,0.889,5,6,"MS-0012,MS-0001,MS-0078,MS-0059,MS-0095,MS-0084",0,0,0.805,0.377,0.0,successful_arrival,structure,,926,K. Strand,experimental_induction,0.831,
NT-0132,First Descent to BA-050,MS-0043,Form 0043,MS-0009,Form 0009,BA-010,BA-050,instinctive,3.0,1.8535,0.566,342,3,"MS-0014,MS-0065,MS-0088",3,4,0.55,0.8,0.4981,adjacent_arrival,phenomenon,,921,Archive Survey Team,direct_observation,0.665,3 basin boundaries crossed during navigation.
NT-0133,Form 0060 Trajectory 2,,,MS-0060,Form 0060,,BA-023,developmental,0.9602,0.8969,0.934,140,3,"MS-0078,MS-0024,MS-0081",2,2,0.783,0.8,0.0,successful_arrival,phenomenon,,926,K. Strand,direct_observation,0.687,
NT-0134,Journey 665,,,MS-0001,The Quintic Cycle,,BA-001,developmental,1.987,1.1748,0.591,200,1,MS-0066,4,1,0.54,0.8,0.1108,adjacent_arrival,behavior_pattern,,926,Boundary Commission,direct_observation,0.594,Observed by Boundary Commission in Year 926.
NT-0135,Secondary Descent to BA-006,MS-0041,Form 0041,MS-0006,The Septenary Rhythm,BA-026,BA-006,regenerative,3.0,1.4794,0.441,291,2,"MS-0074,MS-0056",2,0,0.358,0.5,0.1439,trapped,structure,,925,T. Vells,experimental_induction,0.709,Observed by T. Vells in Year 925.
NT-0136,Turbulent Form 0099 Approach,MS-0018,Form 0018,MS-0099,Form 0099,BA-025,BA-010,developmental,1.4541,1.0298,0.708,170,1,MS-0026,2,1,0.838,0.8,0.0,successful_arrival,behavior_pattern,,924,Archive Survey Team,direct_observation,0.537,
NT-0137,Form 0065 Trajectory 93,MS-0044,Form 0044,MS-0065,Form 0065,BA-006,BA-034,developmental,1.7867,1.3044,0.73,176,1,MS-0069,2,1,0.829,0.8,0.0,successful_arrival,creature,EN-473,932,Archive Survey Team,retrospective_inference,0.978,
NT-0138,Form 0091 Trajectory 37,MS-0032,Form 0032,MS-0091,Form 0091,BA-038,BA-026,developmental,1.9589,1.8815,0.961,208,1,MS-0028,2,1,0.774,0.8,0.0,successful_arrival,creature,,920,R. Voss,retrospective_inference,0.533,Efficiency: 0.96 of geodesic optimum.
NT-0139,Winding Form 0010 Approach,,,MS-0010,Form 0010,,BA-001,developmental,0.4204,0.3849,0.916,25,1,MS-0037,4,4,0.873,0.8,0.0,successful_arrival,structure,,929,K. Strand,direct_observation,0.512,Efficiency: 0.92 of geodesic optimum.
NT-0140,Circuitous Descent to BA-039,MS-0094,Form 0094,MS-0046,Form 0046,BA-002,BA-039,developmental,0.6414,0.5494,0.856,75,4,"MS-0078,MS-0018,MS-0012,MS-0026",3,2,0.856,0.8,0.0,successful_arrival,collective,,921,C. Vells,direct_observation,0.989,
NT-0141,First Descent to BA-022,MS-0097,Form 0097,MS-0062,Form 0062,BA-025,BA-022,developmental,0.8421,0.3376,0.401,118,2,"MS-0010,MS-0087",4,4,0.368,0.8,0.2556,trapped,creature,EN-136,927,Western Archive Team,retrospective_inference,0.843,Passed through 2 intermediate forms.
NT-0142,Circuitous Descent to BA-009,MS-0079,Form 0079,MS-0077,Form 0077,BA-042,BA-009,instinctive,1.7283,1.5654,0.906,206,1,MS-0099,2,3,1.0,0.8,0.0,successful_arrival,creature,,918,Boundary Commission,direct_observation,0.815,Observed by Boundary Commission in Year 918.
NT-0143,Journey 658,MS-0019,Form 0019,MS-0035,Form 0035,BA-012,BA-042,exploratory,1.2077,1.1927,0.988,149,2,"MS-0048,MS-0038",3,2,0.991,0.584,0.0,successful_arrival,structure,,919,C. Vells,direct_observation,0.794,3 basin boundaries crossed during navigation.
NT-0144,Journey 691,MS-0062,Form 0062,MS-0049,Form 0049,BA-022,BA-045,developmental,2.2675,1.1841,0.522,273,1,MS-0093,2,1,0.428,0.8,0.396,partial_arrival,behavior_pattern,,929,Western Archive Team,experimental_induction,0.865,System showed developmental navigation pattern.
NT-0145,Smooth Form 0022 Approach,MS-0056,Form 0056,MS-0022,Form 0022,BA-038,BA-005,learned,0.9788,0.7956,0.813,79,2,"MS-0081,MS-0011",4,1,0.884,0.237,0.0,successful_arrival,collective,,925,Boundary Commission,direct_observation,0.838,Efficiency: 0.81 of geodesic optimum.
NT-0146,Journey 458,MS-0052,Form 0052,MS-0004,The Tension,BA-019,BA-003,learned,1.08,0.955,0.884,104,3,"MS-0045,MS-0030,MS-0010",3,4,0.72,0.461,0.0,successful_arrival,structure,,918,Boundary Commission,form_tracking,0.521,
NT-0147,Western Form 0056 Approach,MS-0024,Form 0024,MS-0056,Form 0056,BA-001,BA-038,chaotic,1.0083,0.3827,0.38,104,2,"MS-0057,MS-0072",4,0,0.429,0.609,0.2466,trapped,phenomenon,,919,C. Vells,direct_observation,0.818,Efficiency: 0.38 of geodesic optimum.
NT-0148,Journey 460,MS-0012,Form 0012,MS-0096,Form 0096,BA-042,BA-038,developmental,1.5681,1.1036,0.704,181,1,MS-0029,3,4,0.778,0.8,0.0,successful_arrival,creature,,927,Western Archive Team,direct_observation,0.85,
NT-0149,Form 0045 Trajectory 28,MS-0008,Form 0008,MS-0045,Form 0045,BA-036,BA-003,exploratory,3.0,1.3624,0.31,342,0,,3,3,0.301,0.356,0.2345,ongoing,creature,,919,Boundary Commission,direct_observation,0.97,
NT-0150,Journey 659,MS-0030,Form 0030,MS-0037,Form 0037,BA-032,BA-005,instinctive,3.0,1.6056,0.423,289,5,"MS-0002,MS-0047,MS-0053,MS-0074,MS-0036",3,1,0.449,0.8,0.4865,trapped,creature,,929,K. Strand,retrospective_inference,0.889,Observed by K. Strand in Year 929.
NT-0151,Form 0086 Trajectory 52,,,MS-0086,Form 0086,,BA-011,developmental,2.1348,0.9345,0.438,255,3,"MS-0025,MS-0011,MS-0005",3,0,0.504,0.8,0.3097,trapped,structure,EN-095,932,T. Vells,direct_observation,0.502,Observed by T. Vells in Year 932.
NT-0152,Path to Form 0026,MS-0028,Form 0028,MS-0026,Form 0026,BA-038,BA-043,instinctive,1.0798,0.8485,0.786,108,4,"MS-0028,MS-0012,MS-0056,MS-0036",2,0,0.751,0.8,0.0,successful_arrival,structure,,928,R. Voss,direct_observation,0.544,Observed by R. Voss in Year 928.
NT-0153,Journey 206,MS-0067,Form 0067,MS-0092,Form 0092,BA-046,BA-002,exploratory,3.0,1.0819,0.242,350,2,"MS-0080,MS-0077",3,4,0.25,0.424,0.4529,lost,behavior_pattern,,931,Western Archive Team,experimental_induction,0.565,Efficiency: 0.24 of geodesic optimum.
NT-0154,Journey 903,MS-0075,Form 0075,MS-0032,Form 0032,BA-009,BA-038,exploratory,3.0,0.9368,0.28,348,4,"MS-0030,MS-0024,MS-0086,MS-0072",3,0,0.254,0.273,0.2116,dissolved,behavior_pattern,,932,K. Strand,direct_observation,0.584,System showed exploratory navigation pattern.
NT-0155,Western Descent to BA-027,MS-0012,Form 0012,MS-0047,Form 0047,BA-042,BA-027,chaotic,3.0,1.156,0.231,319,0,,3,3,0.247,0.361,0.4821,lost,phenomenon,,920,Archive Survey Team,direct_observation,0.802,Trajectory documented over 319 days.
NT-0156,Northern Descent to BA-007,MS-0025,Form 0025,MS-0063,Form 0063,BA-039,BA-007,developmental,1.0081,0.722,0.716,129,2,"MS-0065,MS-0048",4,2,0.854,0.8,0.0,successful_arrival,behavior_pattern,EN-248,921,C. Vells,experimental_induction,0.66,Efficiency: 0.72 of geodesic optimum.
NT-0157,Form 0038 Trajectory 52,MS-0087,Form 0087,MS-0038,Form 0038,BA-004,BA-046,developmental,0.6417,0.5722,0.892,87,0,,4,1,0.821,0.8,0.0,successful_arrival,behavior_pattern,,918,Western Archive Team,direct_observation,0.996,Trajectory documented over 87 days.
NT-0158,Path to The Triad Form,MS-0078,Form 0078,MS-0005,The Triad Form,BA-022,BA-004,regenerative,1.7646,1.3061,0.74,161,2,"MS-0004,MS-0055",2,3,0.751,0.47,0.0,successful_arrival,collective,EN-164,925,R. Voss,experimental_induction,0.73,System showed regenerative navigation pattern.
NT-0159,Path to Form 0045,MS-0021,Form 0021,MS-0045,Form 0045,BA-013,BA-003,developmental,1.4206,1.375,0.968,139,1,MS-0039,2,0,0.833,0.8,0.0,successful_arrival,creature,EN-439,923,Western Archive Team,direct_observation,0.852,System showed developmental navigation pattern.
NT-0160,Turbulent Descent to BA-010,MS-0096,Form 0096,MS-0043,Form 0043,BA-038,BA-010,learned,0.8209,0.676,0.823,121,4,"MS-0025,MS-0008,MS-0087,MS-0013",4,2,0.673,0.527,0.0,successful_arrival,creature,,927,Archive Survey Team,direct_observation,0.778,System showed learned navigation pattern.
NT-0161,Rapid Form 0053 Approach,MS-0036,Form 0036,MS-0053,Form 0053,BA-044,BA-024,developmental,1.1788,1.0929,0.927,103,1,MS-0084,3,4,0.882,0.8,0.0,successful_arrival,creature,,921,T. Vells,direct_observation,0.947,System showed developmental navigation pattern.
NT-0162,Turbulent Form 0080 Approach,MS-0056,Form 0056,MS-0080,Form 0080,BA-038,BA-040,regenerative,2.0173,1.1296,0.56,205,1,MS-0064,1,2,0.494,0.556,0.2944,adjacent_arrival,structure,,930,C. Vells,direct_observation,0.531,System showed regenerative navigation pattern.
NT-0163,Southern Descent to BA-023,MS-0052,Form 0052,MS-0060,Form 0060,BA-019,BA-023,developmental,1.4099,1.4007,0.993,139,0,,1,1,0.915,0.8,0.0,successful_arrival,behavior_pattern,EN-083,927,T. Vells,direct_observation,0.993,System showed developmental navigation pattern.
NT-0164,Path to Form 0099,MS-0015,Form 0015,MS-0099,Form 0099,BA-011,BA-010,developmental,1.6764,1.4034,0.837,217,2,"MS-0014,MS-0052",1,0,0.691,0.8,0.0,successful_arrival,collective,,923,Archive Survey Team,direct_observation,0.945,Trajectory documented over 217 days.
NT-0165,Form 0038 Trajectory 9,MS-0028,Form 0028,MS-0038,Form 0038,BA-038,BA-046,chaotic,1.9148,0.8891,0.464,176,2,"MS-0025,MS-0013",4,3,0.511,0.358,0.2212,trapped,structure,EN-060,931,Archive Survey Team,direct_observation,0.998,Trajectory documented over 176 days.
NT-0166,Journey 157,MS-0079,Form 0079,MS-0016,Form 0016,BA-042,BA-034,developmental,1.5679,1.3428,0.856,185,1,MS-0003,1,1,0.978,0.8,0.0,successful_arrival,collective,EN-370,921,Archive Survey Team,direct_observation,0.881,Trajectory documented over 185 days.
NT-0167,Smooth Descent to BA-039,MS-0100,Form 0100,MS-0069,Form 0069,BA-017,BA-039,regenerative,2.7794,1.5688,0.564,320,2,"MS-0035,MS-0005",4,0,0.478,0.651,0.2538,partial_arrival,creature,,925,Boundary Commission,retrospective_inference,0.734,Trajectory documented over 320 days.
NT-0168,Circuitous Descent to BA-010,MS-0054,Form 0054,MS-0099,Form 0099,BA-025,BA-010,chaotic,3.0,1.0298,0.178,286,1,MS-0010,2,2,0.2,0.581,0.1202,lost,phenomenon,,918,C. Vells,direct_observation,0.581,Observed by C. Vells in Year 918.
NT-0169,Path to Form 0065,MS-0037,Form 0037,MS-0065,Form 0065,BA-005,BA-034,exploratory,3.0,2.0,0.305,343,1,MS-0065,2,0,0.306,0.694,0.1997,ongoing,structure,,926,Western Archive Team,retrospective_inference,0.545,2 basin boundaries crossed during navigation.
NT-0170,Journey 626,MS-0074,Form 0074,MS-0092,Form 0092,BA-004,BA-002,exploratory,1.887,1.1273,0.597,191,2,"MS-0070,MS-0022",3,0,0.584,0.282,0.181,trapped,structure,EN-235,924,C. Vells,form_tracking,0.577,3 basin boundaries crossed during navigation.
NT-0171,Western Form 0051 Approach,MS-0061,Form 0061,MS-0051,Form 0051,BA-007,BA-030,developmental,1.7983,1.5374,0.855,180,1,MS-0098,4,2,1.0,0.8,0.0,successful_arrival,creature,EN-310,922,K. Strand,form_tracking,0.75,System showed developmental navigation pattern.
NT-0172,Form 0024 Trajectory 80,MS-0071,Form 0071,MS-0024,Form 0024,BA-044,BA-001,regenerative,1.3631,0.9917,0.728,169,2,"MS-0015,MS-0014",2,1,0.618,0.283,0.0,successful_arrival,creature,EN-463,925,Boundary Commission,experimental_induction,0.933,2 basin boundaries crossed during navigation.
NT-0173,Eastern Descent to BA-022,MS-0003,The Breathing Mode,MS-0062,Form 0062,BA-015,BA-022,developmental,1.4479,1.2233,0.845,182,0,,3,0,0.942,0.8,0.0,successful_arrival,collective,EN-346,924,C. Vells,direct_observation,0.869,Observed by C. Vells in Year 924.
NT-0174,Journey 297,MS-0015,Form 0015,MS-0004,The Tension,BA-011,BA-003,instinctive,1.5898,1.2293,0.773,183,2,"MS-0073,MS-0067",1,0,0.696,0.8,0.0,successful_arrival,creature,,930,C. Vells,direct_observation,0.799,System showed instinctive navigation pattern.
NT-0175,Form 0061 Trajectory 87,MS-0085,Form 0085,MS-0061,Form 0061,BA-014,BA-007,instinctive,1.742,1.5373,0.882,171,5,"MS-0069,MS-0043,MS-0086,MS-0021,MS-0080",2,0,0.927,0.8,0.0,successful_arrival,creature,,919,Archive Survey Team,experimental_induction,0.875,2 basin boundaries crossed during navigation.
NT-0176,Rapid Descent to BA-026,MS-0019,Form 0019,MS-0055,Form 0055,BA-012,BA-026,regenerative,0.9913,0.8893,0.897,83,3,"MS-0097,MS-0039,MS-0034",4,1,1.0,0.616,0.0,successful_arrival,phenomenon,EN-026,930,Boundary Commission,form_tracking,0.883,System showed regenerative navigation pattern.
NT-0177,Path to The Breathing Mode,MS-0084,Form 0084,MS-0003,The Breathing Mode,BA-040,BA-015,developmental,1.5686,1.4503,0.925,147,4,"MS-0011,MS-0002,MS-0064,MS-0011",1,0,0.934,0.8,0.0,successful_arrival,structure,EN-031,924,K. Strand,direct_observation,0.561,System showed developmental navigation pattern.
NT-0178,Path to Form 0058,MS-0029,Form 0029,MS-0058,Form 0058,BA-008,BA-010,regenerative,1.0046,0.9104,0.906,116,4,"MS-0093,MS-0057,MS-0024,MS-0056",2,3,0.847,0.626,0.0,successful_arrival,creature,EN-073,932,K. Strand,experimental_induction,0.904,Observed by K. Strand in Year 932.
NT-0179,Journey 191,MS-0014,Form 0014,MS-0060,Form 0060,BA-014,BA-023,developmental,3.0,1.8047,0.518,309,2,"MS-0003,MS-0055",2,2,0.424,0.8,0.1438,adjacent_arrival,phenomenon,EN-357,929,Western Archive Team,form_tracking,0.835,Efficiency: 0.52 of geodesic optimum.
NT-0180,Eastern Form 0057 Approach,MS-0090,Form 0090,MS-0057,Form 0057,BA-026,BA-017,exploratory,3.0,1.7711,0.223,314,4,"MS-0012,MS-0063,MS-0058,MS-0054",3,1,0.21,0.352,0.4926,lost,collective,,918,Western Archive Team,direct_observation,0.745,Efficiency: 0.22 of geodesic optimum.
NT-0181,Journey 518,MS-0091,Form 0091,MS-0003,The Breathing Mode,BA-026,BA-015,exploratory,1.45,1.3689,0.944,173,5,"MS-0049,MS-0038,MS-0097,MS-0014,MS-0092",4,1,0.775,0.57,0.0,successful_arrival,creature,,929,R. Voss,experimental_induction,0.612,
NT-0182,Eastern Descent to BA-040,MS-0097,Form 0097,MS-0080,Form 0080,BA-025,BA-040,developmental,0.7044,0.5285,0.75,51,1,MS-0006,3,0,0.784,0.8,0.059,adjacent_arrival,structure,,920,Boundary Commission,direct_observation,0.905,3 basin boundaries crossed during navigation.
NT-0183,Journey 777,MS-0071,Form 0071,MS-0023,Form 0023,BA-044,BA-041,chaotic,1.7347,1.1591,0.668,199,1,MS-0019,2,0,0.616,0.228,0.2237,adjacent_arrival,creature,EN-138,927,R. Voss,experimental_induction,0.689,System showed chaotic navigation pattern.
NT-0184,Form 0078 Trajectory 59,MS-0008,Form 0008,MS-0078,Form 0078,BA-036,BA-022,instinctive,2.6597,1.2099,0.455,294,4,"MS-0010,MS-0001,MS-0091,MS-0055",1,2,0.501,0.8,0.1149,trapped,creature,,923,Boundary Commission,direct_observation,0.58,1 basin boundaries crossed during navigation.
