case_id,case_name,entity_type,entity_id,entity_name,baseline_spatial_km,baseline_temporal_days,baseline_social,baseline_abstract,shrinkage_type,severity,shrinkage_percentage,final_spatial_km,final_temporal_days,final_social,final_abstract,primary_cause,trauma_type,dens_exposure_duration_days,onset,progression_rate,stabilization,duration_to_minimum_days,behavioral_changes,function_impact,recovery_attempted,recovery_method,recovery_outcome,recovery_duration_days,location,region,observation_year,observer,strand_classification,confidence,cross_reference,notes
HS-0085,Student 72 Academic Withdrawal,creature,ENT-7834,,17.3,135,42,1.5,selective_social,moderate,44.0,11.62,83,9,1.0,isolation,none,,sudden,slow,recovered,28,concrete_thinking,moderate,True,relocation,full_recovery,1547,Recovery settlement,Northo,909,Strand Research Group,Type_IV_isolation,1.0,,
HS-0086,Surveyor 37 Field Collapse,individual,,,15.3,851,88,3.1,selective_abstract,moderate,36.4,11.68,649,61,0.6,dens_exposure,none,1362,gradual,variable,stabilized_late,2535,concrete_thinking,moderate,True,medication,stabilization_only,779,Educational district,Densmok,910,Strand Research Group,Type_II_dens,0.71,,
HS-0087,Isolation Case 77,colony,,Isolation,88.0,5803,923,6.4,selective_social,severe,58.8,43.54,2632,152,3.2,isolation,none,,gradual,moderate,recovered,47,social_isolation,severe,False,none,not_attempted,,Sector NE-4,Dens boundary,900,Strand Research Group,Type_IV_isolation,0.82,,
HS-0088,Archivist 53 Decline,institution,ENT-5506,,424.3,20778,1335,8.4,uniform,moderate,47.5,222.87,10914,701,4.4,trauma,institutional_betrayal,,gradual,variable,oscillating,1812,loss_of_planning,minimal,True,social_reconnection,no_improvement,2825,Scholar's Quarter,Capital,898,Strand Research Group,Type_I_trauma,0.86,,
HS-0089,Post-Siege Veteran 86,creature,ENT-2253,Post-Siege,39.1,21,15,3.0,selective_social,mild,14.3,40.21,19,5,3.1,isolation,none,,gradual,moderate,stabilized_early,2472,social_isolation,minimal,True,temporal_bridging,partial_recovery,1031,Sector SW-6,Dens boundary,896,P. Anster,Type_IV_isolation,0.82,BD-0185,
HS-0090,Garrett Rehabilitation Case,individual,ENT-1052,,14.8,1719,195,5.8,asymmetric,mild,24.0,8.28,852,134,5.0,aging,none,,stepwise,moderate,stabilized_early,1062,spatial_withdrawal,moderate,True,relocation,partial_recovery,2414,Siege fields,Tower of Mirado,915,Field Observer,Type_III_degradation,0.52,,
HS-0091,Colony 49 Collective Shrinkage,institution,,,345.7,4791,3561,8.4,uniform,terminal,99.5,1.88,26,19,0.0,aging,none,,sudden,intermittent,stabilized_late,1,concrete_thinking,severe,True,medication,partial_recovery,2136,Suburban zone,Densmok,916,Kira Strand,Type_III_degradation,0.56,BD-0102,
HS-0092,Archivist 69 Decline,individual,,,68.9,2693,63,4.6,selective_spatial,moderate,47.9,17.96,1825,36,2.6,trauma,institutional_betrayal,,sudden,intermittent,continued_declining,14,concrete_thinking,moderate,True,social_reconnection,no_improvement,815,Tower base,Tower of Mirado,931,Field Observer,Type_I_trauma,0.92,,
HS-0093,Healer 52 Compassion Fatigue,creature,ENT-4263,,4.0,71,31,1.8,uniform,severe,52.3,1.91,33,14,0.9,pattern_degradation,none,,stepwise,intermittent,continued_declining,807,temporal_myopia,moderate,True,relocation,worsened,2339,Ascetic village,Northo,906,K. Vorn,Type_III_degradation,0.72,BD-0006,
HS-0094,Student 45 Academic Withdrawal,creature,ENT-8071,,5.0,135,38,1.9,uniform,moderate,47.8,2.61,70,19,1.0,pattern_degradation,none,,gradual,slow,recovered,743,loss_of_planning,minimal,True,temporal_bridging,full_recovery,2899,Scholar's Quarter,Capital,929,P. Anster,Type_III_degradation,0.79,,
HS-0095,Tessa Dens Exposure,individual,,,18.2,1660,158,6.3,selective_temporal,moderate,45.7,11.87,360,94,4.1,aging,none,,sudden,rapid,stabilized_late,19,spatial_withdrawal,moderate,True,medication,stabilization_only,695,Archive vicinity,Capital,897,M. Strand,Type_III_degradation,0.95,,
HS-0096,Garrett Rehabilitation Case,creature,,,20.9,172,37,0.5,selective_temporal,severe,65.5,8.66,23,14,0.2,aging,none,,gradual,variable,stabilized_late,2659,temporal_myopia,moderate,False,none,not_attempted,,Dens deep,Dens,938,M. Strand,Type_III_degradation,0.83,,
HS-0097,Isolation Case 89,individual,,Isolation,87.8,713,117,5.7,selective_spatial,mild,12.4,38.44,811,112,5.5,dens_exposure,none,1133,oscillating,slow,stabilized_early,2438,present_fixation,minimal,True,horizon_expansion_exercises,stabilization_only,2639,Northern monastery,Northo,911,Strand Research Group,Type_II_dens,0.97,,
HS-0098,Scholar 39 Retirement Decline,federation,ENT-2166,,183.4,3198,871,6.7,selective_spatial,catastrophic,82.0,16.5,747,172,1.3,trauma,siege_exposure,,stepwise,rapid,stabilized_late,1099,temporal_myopia,incapacitating,True,medication,stabilization_only,2067,Southern perimeter,Dens boundary,893,Strand Research Group,Type_I_trauma,0.89,,
HS-0099,Surveyor 20 Field Collapse,individual,,,87.9,3531,67,6.4,selective_temporal,mild,26.0,78.05,1045,54,5.7,boundary_dissolution,none,,stepwise,slow,recovered,297,present_fixation,minimal,False,none,not_attempted,,Dissolution zone,Dens,901,P. Anster,unclassified,0.84,BD-0122,
HS-0100,Garrett Rehabilitation Case,creature,ENT-7927,,31.4,295,10,3.1,asymmetric,moderate,34.4,9.43,82,5,1.1,isolation,none,,sudden,variable,continued_declining,18,concrete_thinking,moderate,True,temporal_bridging,no_improvement,347,Dens interior,Dens,892,Capital Healing Institute,Type_IV_isolation,0.87,,
HS-0101,Scholar 39 Retirement Decline,individual,,,25.5,1047,37,7.6,selective_abstract,moderate,45.6,16.63,682,22,1.2,boundary_dissolution,none,,oscillating,variable,continued_declining,2356,social_isolation,moderate,True,horizon_expansion_exercises,no_improvement,2837,Quarry Sector 7,Yeller Quarry,905,M. Strand,unclassified,0.59,,
HS-0102,Archivist 89 Decline,colony,,,181.1,1993,331,7.0,selective_spatial,moderate,46.0,48.87,1398,196,4.2,boundary_dissolution,none,,gradual,variable,recovered,576,loss_of_planning,moderate,True,social_reconnection,full_recovery,2788,Ascetic village,Northo,934,Field Observer,unclassified,0.53,,
HS-0103,Trapper 3 Trauma Collapse,institution,,Trapper,386.0,35294,1928,8.0,selective_temporal,catastrophic,72.8,125.77,3833,575,2.6,dens_exposure,none,1860,gradual,intermittent,recovered,1027,social_isolation,severe,True,horizon_expansion_exercises,full_recovery,2258,Capital outskirts,Capital,928,P. Anster,Type_II_dens,0.67,,
HS-0104,Student 69 Academic Withdrawal,creature,ENT-7488,Student,2.0,279,24,0.5,selective_abstract,moderate,37.5,1.5,209,16,0.1,trauma,siege_exposure,,gradual,moderate,continued_declining,1310,social_isolation,minimal,True,social_reconnection,worsened,1453,Isolation community,Northo,891,P. Anster,Type_I_trauma,0.69,,
HS-0105,Student 79 Academic Withdrawal,individual,ENT-5619,Student,55.5,2443,174,7.5,selective_temporal,catastrophic,75.3,16.42,240,47,2.2,trauma,creature_attack,,oscillating,moderate,stabilized_early,2920,social_isolation,incapacitating,True,horizon_expansion_exercises,stabilization_only,399,Siege fields,Tower of Mirado,931,K. Vorn,Type_I_trauma,0.91,BD-0131,
HS-0106,Surveyor 45 Field Collapse,colony,,,64.5,7307,635,6.3,selective_spatial,terminal,98.0,0.64,188,13,0.1,aging,none,,gradual,rapid,recovered,103,temporal_myopia,incapacitating,True,horizon_expansion_exercises,full_recovery,550,Capital outskirts,Capital,910,Strand Research Group,Type_III_degradation,0.68,,
HS-0107,Surveyor 60 Field Collapse,individual,,,32.5,1038,27,7.1,selective_social,mild,18.4,31.84,932,8,7.0,dens_exposure,none,3142,sudden,intermittent,stabilized_early,18,present_fixation,moderate,False,none,not_attempted,,Eastern fluctuation zone,Dens boundary,901,Strand Research Group,Type_II_dens,0.6,,
HS-0108,Tessa Dens Exposure,institution,,,120.6,6609,365,6.9,selective_spatial,mild,25.6,44.84,6388,298,5.6,aging,none,,sudden,moderate,stabilized_late,30,concrete_thinking,minimal,True,relocation,no_improvement,1886,Coder quarter,Densmok,892,M. Strand,Type_III_degradation,0.81,,
HS-0109,Isolation Case 44,individual,ENT-6345,Isolation,78.3,3529,153,8.0,uniform,severe,59.2,31.97,1441,62,3.3,trauma,other,,gradual,rapid,continued_declining,635,spatial_withdrawal,moderate,False,none,not_attempted,,Quarry interior,Yeller Quarry,915,K. Vorn,Type_I_trauma,0.62,BD-0138,
HS-0110,Archivist 20 Decline,individual,ENT-9116,,21.8,3036,55,5.5,selective_spatial,severe,61.9,4.15,1504,23,2.3,trauma,creature_attack,,gradual,variable,oscillating,1099,social_isolation,severe,False,none,not_attempted,,Mill vicinity,Yeller Quarry,892,M. Strand,Type_I_trauma,0.91,,
HS-0111,Post-Siege Veteran 51,institution,,,481.8,26668,2139,5.4,selective_social,moderate,40.5,344.08,17457,509,3.9,aging,none,,gradual,rapid,continued_declining,318,present_fixation,moderate,False,none,not_attempted,,Eastern fluctuation zone,Dens boundary,892,Strand Research Group,Type_III_degradation,0.65,,
HS-0112,Student 54 Academic Withdrawal,individual,ENT-3942,,42.2,1321,9,3.1,asymmetric,terminal,93.0,2.86,97,0,0.1,trauma,navigation_failure,,gradual,slow,oscillating,235,temporal_myopia,incapacitating,False,none,not_attempted,,Healing Institute,Capital,915,Capital Healing Institute,Type_I_trauma,0.99,,
HS-0113,Post-Siege Veteran 86,creature,ENT-7343,,29.7,200,43,3.2,selective_social,catastrophic,81.4,6.62,40,3,0.7,trauma,other,,sudden,slow,stabilized_early,24,social_isolation,incapacitating,True,medication,partial_recovery,342,Scholar's Quarter,Capital,891,Kira Strand,Type_I_trauma,0.55,,
HS-0114,Garrett Rehabilitation Case,individual,ENT-6661,Garrett,61.1,3181,75,6.4,selective_spatial,catastrophic,82.4,5.36,726,14,1.2,dens_exposure,none,655,stepwise,moderate,recovered,1948,spatial_withdrawal,incapacitating,False,none,not_attempted,,Eastern fluctuation zone,Dens boundary,894,Capital Healing Institute,Type_II_dens,0.66,,
HS-0115,Post-Siege Veteran 32,individual,,,84.4,1158,183,5.6,selective_spatial,mild,15.2,35.81,1277,170,5.2,isolation,none,,gradual,rapid,stabilized_late,2153,concrete_thinking,moderate,True,horizon_expansion_exercises,no_improvement,79,Klutch CC,Densmok,899,Capital Healing Institute,Type_IV_isolation,0.55,,
HS-0116,Scholar 5 Retirement Decline,individual,ENT-9185,,57.2,2885,195,6.9,selective_temporal,catastrophic,85.8,9.72,163,30,1.2,trauma,creature_attack,,gradual,moderate,recovered,912,concrete_thinking,severe,True,temporal_bridging,full_recovery,1336,Archive vicinity,Capital,917,Capital Healing Institute,Type_I_trauma,0.71,,
HS-0117,Surveyor 64 Field Collapse,individual,ENT-1302,Surveyor,15.4,1491,156,7.3,uniform,moderate,42.0,8.93,864,90,4.2,bridge_failure,none,,gradual,intermittent,continued_declining,575,present_fixation,moderate,True,pattern_restoration,worsened,1038,Quarry Sector 7,Yeller Quarry,893,Strand Research Group,unclassified,0.88,,
HS-0118,Healer 42 Compassion Fatigue,colony,,,59.9,9831,606,5.9,uniform,catastrophic,77.2,13.65,2240,138,1.3,trauma,siege_exposure,,oscillating,intermittent,recovered,421,concrete_thinking,severe,False,none,not_attempted,,Klutch CC,Densmok,909,Capital Healing Institute,Type_I_trauma,0.9,,
HS-0119,Trapper 30 Trauma Collapse,creature,,Trapper,9.1,53,14,1.8,uniform,catastrophic,70.5,2.68,15,4,0.5,bridge_failure,none,,gradual,moderate,continued_declining,2385,social_isolation,severe,True,horizon_expansion_exercises,worsened,2101,Recovery settlement,Northo,911,K. Vorn,unclassified,0.62,BD-0022,
HS-0120,Colony 53 Collective Shrinkage,individual,,,5.5,553,75,3.0,selective_spatial,moderate,32.2,1.86,487,55,2.2,boundary_dissolution,none,,gradual,variable,stabilized_late,1068,social_isolation,moderate,True,relocation,partial_recovery,2723,Healing Institute,Capital,936,Capital Healing Institute,unclassified,0.86,,
HS-0121,Trapper 85 Trauma Collapse,institution,,,305.1,24110,3371,6.9,selective_temporal,severe,55.7,162.2,4272,1642,3.7,trauma,dens_event,,gradual,slow,recovered,1977,social_isolation,severe,False,none,not_attempted,,Sector SW-6,Dens boundary,913,Strand Research Group,Type_I_trauma,0.83,BD-0111,
HS-0122,Scholar 90 Retirement Decline,creature,ENT-4425,Scholar,5.2,25,40,0.8,selective_spatial,catastrophic,71.5,0.74,9,12,0.3,bridge_failure,none,,gradual,intermittent,stabilized_late,905,social_isolation,incapacitating,True,pattern_restoration,stabilization_only,83,Dens interior,Dens,923,K. Vorn,unclassified,0.63,,
HS-0123,Scholar 38 Retirement Decline,individual,,,55.5,1717,178,4.4,selective_social,severe,63.4,24.38,691,26,1.9,trauma,dens_event,,gradual,variable,continued_declining,2525,temporal_myopia,moderate,True,relocation,no_improvement,2385,Northern approach,Tower of Mirado,926,Kira Strand,Type_I_trauma,0.99,,
HS-0124,Trapper 51 Trauma Collapse,creature,,,42.8,233,3,3.8,selective_spatial,terminal,97.7,0.48,6,0,0.1,boundary_dissolution,none,,stepwise,moderate,stabilized_late,2445,present_fixation,incapacitating,True,medication,stabilization_only,1958,Western districts,Capital,930,Strand Research Group,unclassified,0.55,,
HS-0125,Healer 12 Compassion Fatigue,institution,,,286.2,11631,1981,5.6,selective_temporal,severe,69.8,103.64,1403,657,2.0,isolation,none,,oscillating,moderate,stabilized_early,1827,temporal_myopia,moderate,False,none,not_attempted,,Northern workings,Yeller Quarry,919,K. Vorn,Type_IV_isolation,0.83,,
HS-0126,Trapper 72 Trauma Collapse,institution,ENT-2975,,93.3,6916,3729,5.7,selective_spatial,severe,66.9,15.42,2972,1356,2.1,bridge_failure,none,,gradual,slow,stabilized_late,2553,temporal_myopia,severe,True,temporal_bridging,no_improvement,1967,Klutch CC,Densmok,917,Field Observer,unclassified,0.64,,
HS-0127,Post-Siege Veteran 1,federation,,Post-Siege,125.8,3804,865,6.6,selective_temporal,catastrophic,72.5,41.51,418,261,2.2,trauma,institutional_betrayal,,oscillating,variable,continued_declining,1246,social_isolation,incapacitating,True,temporal_bridging,no_improvement,788,Siege fields,Tower of Mirado,902,Field Observer,Type_I_trauma,0.59,,
HS-0128,Post-Siege Veteran 9,individual,ENT-4509,,87.2,1454,157,5.9,uniform,severe,69.0,27.01,450,48,1.8,aging,none,,gradual,variable,stabilized_late,1420,concrete_thinking,moderate,False,none,not_attempted,,Western approach,Dens boundary,894,K. Vorn,Type_III_degradation,0.74,,
HS-0129,Archivist 65 Decline,individual,ENT-8616,,20.4,176,129,4.1,uniform,moderate,35.4,13.18,113,83,2.6,dens_exposure,none,2990,gradual,rapid,stabilized_early,2681,social_isolation,minimal,True,horizon_expansion_exercises,stabilization_only,574,Sector SW-6,Dens boundary,890,P. Anster,Type_II_dens,0.88,,
HS-0130,Student 45 Academic Withdrawal,individual,,,72.3,2598,187,2.3,selective_temporal,moderate,47.7,45.37,543,107,1.4,isolation,none,,gradual,slow,stabilized_early,338,loss_of_planning,minimal,True,horizon_expansion_exercises,stabilization_only,1022,Trapper territory,Yeller Quarry,927,M. Strand,Type_IV_isolation,0.59,,
HS-0131,Scholar 87 Retirement Decline,creature,ENT-5511,Scholar,3.7,122,7,0.5,selective_abstract,severe,56.1,1.95,64,3,0.1,trauma,other,,gradual,variable,continued_declining,992,present_fixation,severe,True,medication,no_improvement,1268,Dens interior,Dens,921,P. Anster,Type_I_trauma,0.52,,
HS-0132,Colony 65 Collective Shrinkage,individual,ENT-2061,,42.2,971,157,4.3,selective_temporal,mild,21.4,39.8,305,135,4.1,trauma,other,,gradual,intermittent,continued_declining,255,present_fixation,moderate,True,horizon_expansion_exercises,worsened,1124,Trapper territory,Yeller Quarry,909,P. Anster,Type_I_trauma,0.86,,
HS-0133,Post-Siege Veteran 3,creature,ENT-6594,Post-Siege,26.9,95,37,3.6,selective_temporal,terminal,99.0,0.32,0,0,0.0,federation_collapse,none,,gradual,rapid,continued_declining,2392,present_fixation,severe,True,temporal_bridging,no_improvement,680,Dens deep,Dens,911,Strand Research Group,unclassified,0.78,BD-0083,
HS-0134,Post-Siege Veteran 45,individual,ENT-8299,,90.9,3335,75,4.3,selective_spatial,severe,69.9,13.67,1303,24,1.4,isolation,none,,gradual,intermittent,continued_declining,1751,present_fixation,moderate,True,medication,no_improvement,1383,Klutch CC,Densmok,925,M. Strand,Type_IV_isolation,0.85,BD-0194,
HS-0135,Tessa Dens Exposure,individual,,,16.7,1366,182,2.9,selective_temporal,moderate,30.2,13.98,381,139,2.4,trauma,loss_of_person,,sudden,moderate,oscillating,23,spatial_withdrawal,moderate,False,none,not_attempted,,Ascetic village,Northo,934,Capital Healing Institute,Type_I_trauma,0.93,,
HS-0136,Colony 71 Collective Shrinkage,individual,,Colony,13.9,2771,14,2.2,selective_spatial,moderate,36.7,4.4,2282,9,1.5,trauma,navigation_failure,,sudden,slow,continued_declining,29,social_isolation,minimal,True,relocation,worsened,2108,Northern approach,Tower of Mirado,937,Strand Research Group,Type_I_trauma,0.78,,
HS-0137,Healer 57 Compassion Fatigue,individual,ENT-5324,,45.4,1699,52,3.3,selective_spatial,moderate,32.3,15.36,1494,38,2.5,boundary_dissolution,none,,gradual,intermittent,continued_declining,2072,temporal_myopia,moderate,True,medication,no_improvement,1068,Capital outskirts,Capital,905,K. Vorn,unclassified,0.84,BD-0059,
HS-0138,Tessa Dens Exposure,individual,ENT-8789,,38.5,3159,84,3.7,selective_spatial,moderate,45.6,10.48,2235,50,2.2,dens_exposure,none,1084,gradual,slow,continued_declining,1219,temporal_myopia,moderate,True,medication,worsened,2746,Trapper territory,Yeller Quarry,890,Field Observer,Type_II_dens,0.86,,
HS-0139,Surveyor 91 Field Collapse,individual,ENT-9293,Surveyor,12.1,2011,87,7.7,selective_temporal,moderate,48.4,7.49,415,49,4.8,dens_exposure,none,3207,gradual,variable,stabilized_late,299,spatial_withdrawal,minimal,True,social_reconnection,stabilization_only,2753,Suburban zone,Densmok,919,Strand Research Group,Type_II_dens,0.85,BD-0152,
HS-0140,Surveyor 78 Field Collapse,individual,ENT-1154,Surveyor,85.7,3612,113,7.5,uniform,catastrophic,89.3,9.13,384,12,0.8,trauma,navigation_failure,,gradual,slow,oscillating,2899,temporal_myopia,severe,True,medication,no_improvement,2738,Sector SW-6,Dens boundary,925,Strand Research Group,Type_I_trauma,0.87,BD-0153,
HS-0141,Scholar 6 Retirement Decline,individual,ENT-2148,Scholar,71.6,1176,74,5.6,uniform,catastrophic,88.0,8.62,141,8,0.7,trauma,navigation_failure,,gradual,moderate,stabilized_late,1024,concrete_thinking,incapacitating,False,none,not_attempted,,Sector NE-4,Dens boundary,939,Kira Strand,Type_I_trauma,0.96,,
HS-0142,Tessa Dens Exposure,creature,,,25.7,113,19,2.5,selective_temporal,catastrophic,70.4,9.12,13,6,0.9,trauma,institutional_betrayal,,gradual,rapid,continued_declining,431,present_fixation,incapacitating,False,none,not_attempted,,Mill vicinity,Yeller Quarry,916,M. Strand,Type_I_trauma,0.54,,
HS-0143,Colony 83 Collective Shrinkage,colony,ENT-7616,,52.1,2343,388,5.1,uniform,catastrophic,73.6,13.74,618,102,1.3,trauma,dens_event,,stepwise,rapid,continued_declining,1957,social_isolation,severe,True,pattern_restoration,worsened,2508,Dissolution zone,Dens,908,M. Strand,Type_I_trauma,0.56,BD-0063,
HS-0144,Post-Siege Veteran 31,creature,,,4.4,293,31,3.4,selective_spatial,moderate,43.4,1.25,215,19,2.1,isolation,none,,gradual,moderate,stabilized_late,526,concrete_thinking,moderate,True,medication,no_improvement,1668,Trapper territory,Yeller Quarry,906,Strand Research Group,Type_IV_isolation,0.9,,
HS-0145,Garrett Rehabilitation Case,creature,ENT-2681,,38.1,174,31,0.9,selective_abstract,moderate,31.6,31.28,142,23,0.2,trauma,navigation_failure,,oscillating,moderate,oscillating,1461,concrete_thinking,minimal,True,relocation,partial_recovery,2099,Recovery settlement,Northo,915,P. Anster,Type_I_trauma,0.89,,
HS-0146,Tessa Dens Exposure,creature,,,37.3,341,24,3.6,selective_temporal,severe,69.0,13.9,42,8,1.3,isolation,none,,gradual,slow,continued_declining,157,social_isolation,severe,True,horizon_expansion_exercises,no_improvement,525,Quarry interior,Yeller Quarry,922,Capital Healing Institute,Type_IV_isolation,0.9,BD-0032,
HS-0147,Tessa Dens Exposure,individual,,,56.7,3554,98,3.3,selective_temporal,severe,59.7,27.45,573,43,1.6,trauma,navigation_failure,,sudden,slow,oscillating,11,social_isolation,severe,False,none,not_attempted,,Quarry interior,Yeller Quarry,895,K. Vorn,Type_I_trauma,0.63,,
HS-0148,Surveyor 82 Field Collapse,creature,,,39.0,193,16,1.7,selective_spatial,mild,16.0,16.37,210,14,1.6,dens_exposure,none,2571,stepwise,intermittent,recovered,2582,concrete_thinking,moderate,True,horizon_expansion_exercises,full_recovery,899,Southern perimeter,Dens boundary,918,K. Vorn,Type_II_dens,0.88,,
HS-0149,Surveyor 10 Field Collapse,individual,ENT-1233,,19.3,685,138,2.9,selective_spatial,moderate,37.8,6.0,553,94,2.0,isolation,none,,gradual,intermittent,continued_declining,1177,present_fixation,moderate,False,none,not_attempted,,Western districts,Capital,940,K. Vorn,Type_IV_isolation,0.68,BD-0096,
HS-0150,Healer 84 Compassion Fatigue,creature,,,20.8,233,42,2.8,selective_spatial,catastrophic,76.7,2.43,70,10,0.7,aging,none,,gradual,rapid,oscillating,1482,loss_of_planning,incapacitating,True,medication,stabilization_only,1670,Coder quarter,Densmok,926,K. Vorn,Type_III_degradation,0.91,,
HS-0151,Colony 50 Collective Shrinkage,individual,ENT-2571,,39.5,333,53,6.7,selective_temporal,severe,66.5,15.89,44,19,2.7,aging,none,,gradual,rapid,stabilized_late,1071,temporal_myopia,moderate,False,none,not_attempted,,Dens interior,Dens,895,Capital Healing Institute,Type_III_degradation,0.6,BD-0086,
HS-0152,Garrett Rehabilitation Case,individual,ENT-3136,Garrett,45.8,3145,93,6.4,selective_temporal,catastrophic,85.5,7.96,182,14,1.1,trauma,navigation_failure,,sudden,intermittent,recovered,5,concrete_thinking,severe,True,horizon_expansion_exercises,full_recovery,2428,Capital proper,Capital,903,Kira Strand,Type_I_trauma,0.91,BD-0148,
HS-0153,Garrett Rehabilitation Case,colony,,,195.4,6034,912,3.1,selective_temporal,mild,29.9,164.37,1691,703,2.6,dens_exposure,none,1998,gradual,intermittent,oscillating,2447,present_fixation,moderate,True,pattern_restoration,stabilization_only,2089,Sector SW-6,Dens boundary,931,Capital Healing Institute,Type_II_dens,0.58,,
HS-0154,Trapper 33 Trauma Collapse,creature,ENT-8987,,4.5,202,44,1.3,selective_temporal,moderate,39.5,3.26,48,29,0.9,isolation,none,,gradual,rapid,stabilized_early,1360,present_fixation,minimal,True,temporal_bridging,stabilization_only,1079,Ascetic village,Northo,927,Kira Strand,Type_IV_isolation,0.72,,
HS-0155,Post-Siege Veteran 60,individual,,,88.8,518,133,7.4,selective_temporal,terminal,93.7,6.67,12,9,0.6,resource_depletion,none,,sudden,rapid,continued_declining,20,present_fixation,severe,False,none,not_attempted,,Northern monastery,Northo,915,Capital Healing Institute,unclassified,0.95,,
HS-0156,Healer 27 Compassion Fatigue,individual,,,25.8,3037,77,6.6,selective_temporal,moderate,47.2,16.36,641,44,4.2,isolation,none,,sudden,slow,recovered,0,concrete_thinking,moderate,True,relocation,full_recovery,1355,Northern approach,Tower of Mirado,933,Kira Strand,Type_IV_isolation,0.77,,
HS-0157,Trapper 6 Trauma Collapse,creature,ENT-6062,,2.1,188,30,1.8,uniform,terminal,98.9,0.02,2,0,0.0,trauma,institutional_betrayal,,oscillating,intermittent,stabilized_early,1440,concrete_thinking,incapacitating,True,pattern_restoration,stabilization_only,1461,Quarry interior,Yeller Quarry,924,Capital Healing Institute,Type_I_trauma,0.64,,
HS-0158,Healer 40 Compassion Fatigue,federation,,,141.9,9349,180,5.3,selective_temporal,moderate,44.1,95.17,2090,110,3.6,dens_exposure,none,1554,gradual,intermittent,continued_declining,1078,temporal_myopia,minimal,True,pattern_restoration,no_improvement,1363,Quarry interior,Yeller Quarry,895,P. Anster,Type_II_dens,0.85,,
HS-0159,Archivist 37 Decline,colony,,,90.2,4063,658,4.2,uniform,severe,60.8,35.38,1593,258,1.6,boundary_dissolution,none,,gradual,slow,continued_declining,2671,present_fixation,severe,True,temporal_bridging,no_improvement,1571,Isolation community,Northo,929,Field Observer,unclassified,0.61,BD-0041,
HS-0160,Surveyor 38 Field Collapse,individual,,,60.4,3263,18,7.4,selective_social,moderate,39.6,43.78,2168,4,5.4,dens_exposure,none,1974,stepwise,rapid,continued_declining,2571,social_isolation,minimal,True,social_reconnection,no_improvement,2521,Dens deep,Dens,900,Kira Strand,Type_II_dens,0.83,,
HS-0161,Post-Siege Veteran 65,colony,,,76.8,2827,715,5.1,selective_spatial,mild,13.9,33.05,3163,676,4.8,resource_depletion,none,,gradual,variable,continued_declining,1128,loss_of_planning,moderate,True,temporal_bridging,worsened,2712,Quarry Sector 7,Yeller Quarry,922,K. Vorn,unclassified,0.59,,
HS-0162,Colony 89 Collective Shrinkage,creature,,,8.7,149,15,2.9,selective_abstract,moderate,38.9,6.38,109,10,0.5,trauma,dens_event,,gradual,variable,recovered,282,social_isolation,moderate,False,none,not_attempted,,Veteran settlement,Tower of Mirado,916,Capital Healing Institute,Type_I_trauma,0.99,,
HS-0163,Surveyor 43 Field Collapse,individual,ENT-4083,Surveyor,34.0,1622,164,2.5,selective_social,moderate,40.3,24.37,1065,39,1.8,trauma,other,,sudden,slow,stabilized_late,22,temporal_myopia,minimal,True,social_reconnection,no_improvement,695,Coder quarter,Densmok,916,M. Strand,Type_I_trauma,0.67,,
HS-0164,Surveyor 20 Field Collapse,individual,,,27.0,140,111,6.7,selective_social,severe,62.8,12.06,57,16,3.0,dens_exposure,none,2619,gradual,moderate,continued_declining,2787,social_isolation,severe,False,none,not_attempted,,Scholar's Quarter,Capital,909,Capital Healing Institute,Type_II_dens,0.51,,
HS-0165,Trapper 17 Trauma Collapse,individual,,,94.0,2399,170,3.1,selective_temporal,severe,56.7,48.84,415,80,1.6,isolation,none,,sudden,variable,continued_declining,6,temporal_myopia,moderate,True,horizon_expansion_exercises,worsened,1987,Western districts,Capital,897,Capital Healing Institute,Type_IV_isolation,0.97,BD-0151,
HS-0166,Garrett Rehabilitation Case,institution,ENT-2942,,155.4,27172,81,6.7,selective_social,severe,64.8,65.62,10517,11,2.8,pattern_degradation,none,,oscillating,rapid,continued_declining,1104,social_isolation,severe,True,temporal_bridging,worsened,1941,Dissolution zone,Dens,921,Capital Healing Institute,Type_III_degradation,0.97,,
HS-0167,Surveyor 8 Field Collapse,individual,,Surveyor,67.9,1243,196,7.4,selective_temporal,moderate,32.6,54.92,335,145,6.0,isolation,none,,gradual,slow,continued_declining,2224,temporal_myopia,moderate,True,medication,worsened,1693,Sector SW-6,Dens boundary,907,P. Anster,Type_IV_isolation,0.57,BD-0185,
HS-0168,Garrett Rehabilitation Case,creature,ENT-5796,,10.2,104,38,1.1,asymmetric,catastrophic,88.9,1.11,11,3,0.1,trauma,institutional_betrayal,,sudden,slow,stabilized_late,16,temporal_myopia,severe,True,medication,partial_recovery,469,Northern workings,Yeller Quarry,911,P. Anster,Type_I_trauma,0.83,,
HS-0169,Post-Siege Veteran 59,colony,ENT-5593,,184.4,4375,884,3.1,selective_temporal,severe,63.7,80.35,635,353,1.4,bridge_failure,none,,gradual,moderate,stabilized_early,1742,concrete_thinking,severe,True,relocation,partial_recovery,70,Capital outskirts,Capital,894,Strand Research Group,unclassified,0.94,,
