survey_id,survey_name,survey_type,region_covered,basin_ids_covered,start_year,end_year,forms_cataloged,basins_mapped,ridges_traced,geodesics_calculated,curvature_points,anomalies_found,lead_surveyor,team_size,sponsoring_institution,primary_method,innovations,success_rating,key_findings,controversies,follow_up_surveys,notes
LS-0083,Year 928 Targeted Basin Survey,targeted_basin,Basin BA-009 and immediate neighbors,BA-009,928,928,11,1,2,4,8,0,Morren Kast,2,Western Archive,form_triangulation,Developed improved triangulation method.,0.64,Curvature measurements consistent with hyperbolic geometry.,Curvature measurements inconsistent with theoretical predictions.,,Training survey for new team members.
LS-0084,Survey LS-0084,curvature_grid,Curvature grid covering Ridge Network,"BA-020,BA-033,BA-013,BA-012",918,918,0,0,0,0,95,0,Esseny Moll,5,Densmok Evaluation Group,boundary_mapping,,0.83,"Identified new basin boundary at coordinates (-0.19, 0.07).",Curvature measurements inconsistent with theoretical predictions.,,
LS-0085,Survey LS-0085,curvature_grid,Curvature grid covering Central Grid,BA-039,927,927,0,0,0,0,39,0,K. Strand,3,Boundary Commission,historical_reconstruction,Pioneered rapid-survey methodology.,0.61,Saddle point SP-057 position confirmed.,Team disagreement over form classifications.,,
LS-0086,Breathing Hollow Deep Mapping,form_catalog,Form census in Central Grid,"BA-039,BA-035",924,924,52,5,0,0,0,0,Boundary Commission Lead,5,Independent Scholar,form_triangulation,Combined multiple measurement methods.,0.96,Saddle point SP-035 position confirmed.,,,Standard survey protocol followed.
LS-0087,Survey LS-0087,geodesic_trace,Geodesic paths through Central Grid,"BA-038,BA-019,BA-028,BA-013",928,928,0,0,0,7,5,0,Esseny Moll,2,Capital Philosophical Society,boundary_mapping,Pioneered rapid-survey methodology.,0.57,New geodesic path documented connecting Triad Basin to Binary Basin.,,,Part of multi-year mapping initiative.
LS-0088,Quintic Region Mapping Project,form_catalog,Form census in Western Boundary,"BA-001,BA-033,BA-040",932,932,50,1,0,0,0,1,Esseny Moll,5,Independent Scholar,boundary_mapping,New saddle point detection technique.,0.72,New geodesic path documented connecting Septenary Basin to Triad Basin.,,,Training survey for new team members.
LS-0089,Northern Ridge Survey,ridge_survey,Ridge system in Dens Adjacent Zone,"BA-025,BA-008",929,929,0,0,4,0,9,0,C. Vells,1,Western Archive,boundary_mapping,,0.52,"Identified new basin boundary at coordinates (-0.19, -0.37).",Results conflict with Year 930 survey.,,Survey conducted during favorable conditions.
LS-0090,Survey LS-0090,geodesic_trace,Geodesic paths through Outer Reaches,BA-047,925,925,2,0,3,21,6,1,Lorn Creeth,5,Capital Philosophical Society,parallel_transport,,0.74,Anomalous readings near Dens-correlated zone.,Curvature measurements inconsistent with theoretical predictions.,,Training survey for new team members.
LS-0091,Survey LS-0091,form_catalog,Form census in Shallow Basin Region,"BA-036,BA-043,BA-041,BA-022,BA-017",927,927,24,1,0,0,0,0,Morren Kast,2,Capital Philosophical Society,trajectory_analysis,,0.71,"Identified new basin boundary at coordinates (-0.26, 0.27).",Methodology questioned by Densmok Evaluation Group.,,Survey conducted during favorable conditions.
LS-0092,Survey LS-0092,comprehensive,"Full morphospace grid, focus on Outer Reaches","BA-032,BA-016,BA-039,BA-014,BA-035,BA-019",921,921,4,0,1,1,4,0,Esseny Moll,1,Independent Scholar,parallel_transport,New saddle point detection technique.,0.48,"Identified new basin boundary at coordinates (-0.23, 0.07).",Survey terminated early due to funding constraints.,"LS-0010,LS-0037,LS-0036",Part of multi-year mapping initiative.
LS-0093,Eastern Morphospace Survey,anomaly_investigation,Anomaly investigation near Dens Adjacent Zone,"BA-014,BA-029,BA-019,BA-007",926,926,0,1,0,0,11,0,Lorn Creeth,5,Senate Survey,trajectory_analysis,First use of parallel transport verification.,0.51,Discovered 1 previously undocumented forms.,Methodology questioned by Senate Survey.,,Used improved instrumentation from Year 928.
LS-0094,Survey LS-0094,ridge_survey,Ridge system in Western Boundary,"BA-047,BA-013,BA-037,BA-003,BA-004",921,921,0,0,8,0,21,1,Senate Survey Director,4,Senate Survey,parallel_transport,,0.88,Confirmed 8 forms within Five-Body Basin.,Curvature measurements inconsistent with theoretical predictions.,,Training survey for new team members.
LS-0095,Survey LS-0095,targeted_basin,Basin BA-034 and immediate neighbors,BA-034,922,922,33,1,1,0,16,1,C. Vells,5,Boundary Commission,historical_reconstruction,First use of parallel transport verification.,0.86,Saddle point SP-066 position confirmed.,,,Independent verification of Archive results.
LS-0096,Survey LS-0096,ridge_survey,Ridge system in Tension Territory,"BA-048,BA-049",925,925,0,0,9,0,18,0,Archive Survey Team,2,Western Archive,boundary_mapping,Systematic grid approach adopted.,0.77,Form stability higher than predicted in this region.,,,
LS-0097,Survey LS-0097,anomaly_investigation,Anomaly investigation near Tension Territory,"BA-028,BA-002,BA-027,BA-045,BA-001",928,928,3,0,1,2,14,0,C. Vells,3,Densmok Evaluation Group,boundary_mapping,,0.61,Form stability higher than predicted in this region.,Survey terminated early due to funding constraints.,,Independent verification of Archive results.
LS-0098,Survey LS-0098,ridge_survey,Ridge system in Tension Territory,"BA-026,BA-025,BA-049,BA-007",931,931,0,0,10,0,24,0,Morren Kast,3,Senate Survey,form_triangulation,Pioneered rapid-survey methodology.,0.84,New geodesic path documented connecting Tension Basin to Quintic Basin.,Methodology questioned by Western Archive.,,
LS-0099,Survey LS-0099,form_catalog,Form census in Shallow Basin Region,"BA-045,BA-027,BA-040,BA-010,BA-006",932,932,51,3,0,0,0,2,Archive Survey Team,5,Independent Scholar,trajectory_analysis,Introduced confidence scoring system.,0.98,No significant findings; survey confirmed previous work.,Curvature measurements inconsistent with theoretical predictions.,"LS-0045,LS-0044,LS-0033",Funded by Senate special appropriation.
LS-0100,Preliminary Ridge Survey,ridge_survey,Ridge system in Binary Region,BA-047,931,931,0,0,15,0,24,0,Vanis Trem,4,Senate Survey,boundary_mapping,Combined multiple measurement methods.,0.75,Form stability higher than predicted in this region.,,,
LS-0101,Survey 0101,ridge_survey,Ridge system in Binary Region,"BA-020,BA-048,BA-018,BA-037,BA-024",921,922,0,0,30,0,70,2,Independent Scholar,5,Boundary Commission,historical_reconstruction,,0.93,Anomalous readings near Dens-correlated zone.,,"LS-0011,LS-0031,LS-0015",Survey conducted during favorable conditions.
LS-0102,Survey LS-0102,form_catalog,Form census in Quintic Region,"BA-004,BA-022,BA-024,BA-050,BA-025",930,930,6,2,0,0,0,1,Senate Survey Director,1,Independent Scholar,historical_reconstruction,Systematic grid approach adopted.,0.57,No significant findings; survey confirmed previous work.,Results conflict with Year 924 survey.,"LS-0007,LS-0027,LS-0018",
LS-0103,Survey LS-0103,targeted_basin,Septenary Basin and immediate neighbors,BA-006,929,929,13,1,2,2,4,1,Independent Scholar,2,Western Archive,parallel_transport,,0.66,Form stability higher than predicted in this region.,Team disagreement over form classifications.,,Survey conducted during favorable conditions.
LS-0104,Survey LS-0104,geodesic_trace,Geodesic paths through Outer Reaches,BA-019,925,926,4,0,2,18,6,2,Esseny Moll,3,Capital Philosophical Society,historical_reconstruction,Pioneered rapid-survey methodology.,0.93,Basin depth measurement revised upward.,Basin boundary disputed by independent researchers.,,Used improved instrumentation from Year 928.
LS-0105,Survey LS-0105,comprehensive,"Full morphospace grid, focus on Central Grid","BA-018,BA-034,BA-011,BA-014,BA-045,BA-012,BA-006,BA-032,BA-050,BA-020,BA-021,BA-049,BA-036,BA-046,BA-003",923,923,14,2,5,3,11,1,Lorn Creeth,3,Densmok Evaluation Group,similarity_inference,Systematic grid approach adopted.,0.87,Confirmed 14 forms within Tension Basin.,Survey terminated early due to funding constraints.,,Independent verification of Archive results.
LS-0106,Survey LS-0106,targeted_basin,Triad Basin and immediate neighbors,BA-004,931,932,41,1,3,1,25,0,K. Strand,3,Densmok Evaluation Group,historical_reconstruction,,0.94,No significant findings; survey confirmed previous work.,Curvature measurements inconsistent with theoretical predictions.,,Limited access to Triad Basin and immediate neighbors due to restrictions.
LS-0107,Septenary Basin Deep Mapping,form_catalog,Form census in Quintic Region,"BA-047,BA-043,BA-012,BA-018,BA-048",930,930,58,5,0,0,0,0,Independent Scholar,4,Western Archive,historical_reconstruction,First use of parallel transport verification.,0.92,Ridge position differs from Year 922 survey by 0.02 units.,Survey terminated early due to funding constraints.,,Follow-up to earlier inconclusive results.
LS-0108,Year 930 Geodesic Survey,geodesic_trace,Geodesic paths through Outer Reaches,"BA-041,BA-022,BA-020,BA-018,BA-050",930,930,5,0,3,16,4,0,Lorn Creeth,4,Western Archive,trajectory_analysis,New saddle point detection technique.,0.7,Form stability higher than predicted in this region.,,"LS-0023,LS-0002",Part of multi-year mapping initiative.
LS-0109,Outer Reaches Survey Year 925,ridge_survey,Ridge system in Quintic Region,"BA-008,BA-018,BA-022,BA-007,BA-049",925,925,0,0,4,0,4,0,T. Vells,1,Senate Survey,boundary_mapping,,0.49,"Identified new basin boundary at coordinates (-0.02, -0.45).",Basin boundary disputed by independent researchers.,LS-0003,Standard survey protocol followed.
LS-0110,Survey LS-0110,comprehensive,"Full morphospace grid, focus on Western Boundary","BA-003,BA-021,BA-032,BA-018,BA-041,BA-028,BA-014,BA-007",920,920,4,1,5,1,9,2,Morren Kast,2,Boundary Commission,boundary_mapping,New saddle point detection technique.,0.83,Ridge position differs from Year 920 survey by 0.07 units.,,,Used improved instrumentation from Year 927.
LS-0111,Survey 0111,comprehensive,"Full morphospace grid, focus on Northern Morphospace","BA-027,BA-013,BA-036,BA-002,BA-016,BA-010,BA-044",925,925,25,6,11,11,38,0,C. Vells,6,Boundary Commission,historical_reconstruction,First use of parallel transport verification.,0.83,Anomalous readings near Dens-correlated zone.,Curvature measurements inconsistent with theoretical predictions.,,Follow-up to earlier inconclusive results.
LS-0112,Survey LS-0112,comprehensive,"Full morphospace grid, focus on Binary Region","BA-049,BA-021,BA-025,BA-043,BA-048,BA-030,BA-044,BA-020,BA-033",927,927,12,7,17,8,29,0,Independent Scholar,6,Western Archive,similarity_inference,Systematic grid approach adopted.,0.99,"Identified new basin boundary at coordinates (0.14, -0.07).",,,Standard survey protocol followed.
LS-0113,Survey LS-0113,form_catalog,Form census in Tension Territory,"BA-004,BA-032,BA-031",924,924,24,5,0,0,0,0,Archive Survey Team,2,Boundary Commission,parallel_transport,First use of parallel transport verification.,0.75,Basin depth measurement revised upward.,Results conflict with Year 918 survey.,,
LS-0114,Central Grid Survey Year 922,targeted_basin,Basin BA-021 and immediate neighbors,BA-021,922,922,3,1,3,4,3,0,C. Vells,1,Independent Scholar,form_triangulation,First use of parallel transport verification.,0.62,Basin depth measurement revised upward.,Results conflict with Year 922 survey.,LS-0045,Funded by Senate special appropriation.
LS-0115,Survey LS-0115,comprehensive,"Full morphospace grid, focus on Quintic Region","BA-025,BA-023,BA-048,BA-021,BA-037,BA-008,BA-043",932,932,17,6,5,3,17,1,T. Vells,5,Independent Scholar,form_triangulation,,0.85,Saddle point SP-080 position confirmed.,Results conflict with Year 926 survey.,,
LS-0116,Survey LS-0116,anomaly_investigation,Anomaly investigation near Binary Region,"BA-010,BA-026,BA-004,BA-049,BA-036",927,927,2,1,2,1,17,0,Hern Tollis,3,Densmok Evaluation Group,parallel_transport,,0.73,Basin depth measurement revised upward.,Survey terminated early due to funding constraints.,,Used improved instrumentation from Year 927.
LS-0117,Survey LS-0117,curvature_grid,Curvature grid covering Northern Morphospace,"BA-012,BA-002,BA-047,BA-049,BA-034",929,929,0,0,0,0,76,1,Archive Survey Team,6,Boundary Commission,boundary_mapping,New saddle point detection technique.,1.0,Ridge position differs from Year 919 survey by 0.09 units.,Curvature measurements inconsistent with theoretical predictions.,,Funded by Senate special appropriation.
LS-0118,Confirmatory Ridge Survey,geodesic_trace,Geodesic paths through Northern Morphospace,"BA-002,BA-006,BA-028,BA-043,BA-007",918,918,5,0,0,11,7,0,T. Vells,2,Independent Scholar,trajectory_analysis,Developed improved triangulation method.,0.77,Form stability higher than predicted in this region.,,,Follow-up to earlier inconclusive results.
LS-0119,Geodesic Trace Project 920,anomaly_investigation,Anomaly investigation near Central Grid,BA-004,920,920,1,1,2,2,10,0,Senate Survey Director,1,Densmok Evaluation Group,boundary_mapping,Systematic grid approach adopted.,0.72,Ridge position differs from Year 929 survey by 0.03 units.,Methodology questioned by Independent Scholar.,,
LS-0120,Survey LS-0120,ridge_survey,Ridge system in Binary Region,"BA-015,BA-048,BA-030,BA-034,BA-001",921,921,0,0,5,0,10,0,Independent Scholar,2,Independent Scholar,parallel_transport,Combined multiple measurement methods.,0.68,Confirmed 5 forms within Quintic Basin.,Basin boundary disputed by independent researchers.,,Used improved instrumentation from Year 928.
LS-0121,Year 924 Anomaly Survey,anomaly_investigation,Anomaly investigation near Quintic Region,"BA-035,BA-041,BA-020,BA-028,BA-024",924,924,1,1,2,0,13,1,Esseny Moll,5,Boundary Commission,similarity_inference,Systematic grid approach adopted.,0.6,Confirmed 1 forms within Septenary Basin.,,,Funded by Senate special appropriation.
LS-0122,Year 920 Targeted Basin Survey,targeted_basin,Basin BA-024 and immediate neighbors,BA-024,920,920,8,1,4,5,4,0,Archive Survey Team,2,Boundary Commission,form_triangulation,New saddle point detection technique.,0.6,Anomalous readings near Dens-correlated zone.,Results conflict with Year 929 survey.,,Standard survey protocol followed.
LS-0123,Year 919 Ridge Survey,ridge_survey,Ridge system in Shallow Basin Region,"BA-037,BA-008,BA-034",919,919,0,0,14,0,24,0,Vanis Trem,3,Senate Survey,historical_reconstruction,Pioneered rapid-survey methodology.,0.92,No significant findings; survey confirmed previous work.,Results conflict with Year 928 survey.,,Survey conducted during favorable conditions.
LS-0124,Survey LS-0124,curvature_grid,Curvature grid covering Deep Attractor Zone,"BA-047,BA-024,BA-035,BA-011",929,929,0,0,0,0,118,0,Boundary Commission Lead,6,Western Archive,parallel_transport,Systematic grid approach adopted.,0.95,Confirmed 1 forms within Binary Basin.,,,Standard survey protocol followed.
LS-0125,Survey LS-0125,curvature_grid,Curvature grid covering Western Boundary,"BA-037,BA-020,BA-026,BA-019,BA-030",921,921,0,0,0,0,9,0,T. Vells,1,Independent Scholar,trajectory_analysis,Combined multiple measurement methods.,0.59,Basin depth measurement revised upward.,Curvature measurements inconsistent with theoretical predictions.,,Survey conducted during favorable conditions.
LS-0126,Shallow Basin Region Survey Year 922,ridge_survey,Ridge system in Outer Reaches,"BA-016,BA-041,BA-007,BA-039,BA-026",922,922,0,0,7,0,15,1,Esseny Moll,2,Boundary Commission,boundary_mapping,,0.65,New geodesic path documented connecting Binary Basin to Triad Basin.,Methodology questioned by Boundary Commission.,,Follow-up to earlier inconclusive results.
LS-0127,Survey LS-0127,curvature_grid,Curvature grid covering Western Boundary,"BA-015,BA-047,BA-050,BA-006",930,930,0,0,0,0,22,0,Esseny Moll,2,Western Archive,form_triangulation,Combined multiple measurement methods.,0.7,No significant findings; survey confirmed previous work.,Results conflict with Year 921 survey.,,Independent verification of Archive results.
LS-0128,Survey LS-0128,form_catalog,Form census in Central Grid,"BA-012,BA-032,BA-038,BA-029",921,921,16,1,0,0,0,0,Boundary Commission Lead,2,Capital Philosophical Society,boundary_mapping,New saddle point detection technique.,0.62,New geodesic path documented connecting Binary Basin to Quintic Basin.,,,Part of multi-year mapping initiative.
LS-0129,Central Grid Survey Year 920,geodesic_trace,Geodesic paths through Shallow Basin Region,BA-040,920,920,4,0,1,3,5,1,Hern Tollis,1,Boundary Commission,form_triangulation,Pioneered rapid-survey methodology.,0.42,Basin depth measurement revised upward.,,,Funded by Senate special appropriation.
LS-0130,Survey 0130,ridge_survey,Ridge system in Quintic Region,BA-004,921,921,0,0,4,0,9,0,C. Vells,1,Independent Scholar,boundary_mapping,,0.66,"Identified new basin boundary at coordinates (-0.35, 0.43).",Curvature measurements inconsistent with theoretical predictions.,,Funded by Senate special appropriation.
LS-0131,Western Boundary Survey Year 927,anomaly_investigation,Anomaly investigation near Northern Morphospace,"BA-050,BA-048,BA-015",927,927,1,1,1,1,17,0,Senate Survey Director,10,Densmok Evaluation Group,historical_reconstruction,New saddle point detection technique.,0.55,"Identified new basin boundary at coordinates (0.21, 0.01).",,,Part of multi-year mapping initiative.
LS-0132,Survey LS-0132,comprehensive,"Full morphospace grid, focus on Tension Territory","BA-021,BA-048,BA-043,BA-006,BA-003,BA-008",926,926,3,1,1,1,7,0,Boundary Commission Lead,1,Independent Scholar,historical_reconstruction,Developed improved triangulation method.,0.61,Form stability higher than predicted in this region.,,,Funded by Senate special appropriation.
LS-0133,Survey LS-0133,geodesic_trace,Geodesic paths through Quintic Region,BA-047,921,921,4,0,1,11,2,0,Esseny Moll,2,Senate Survey,historical_reconstruction,Introduced confidence scoring system.,0.71,Discovered 4 previously undocumented forms.,Results conflict with Year 919 survey.,,Follow-up to earlier inconclusive results.
LS-0134,Year 923 Geodesic Survey,geodesic_trace,Geodesic paths through Shallow Basin Region,"BA-031,BA-019,BA-043,BA-037,BA-012",923,923,5,0,3,8,8,1,Senate Survey Director,3,Western Archive,boundary_mapping,Pioneered rapid-survey methodology.,0.55,Ridge drift measured at 0.003 units per decade.,Team disagreement over form classifications.,"LS-0032,LS-0044,LS-0004",Funded by Senate special appropriation.
LS-0135,Survey LS-0135,targeted_basin,Quintic Basin and immediate neighbors,BA-001,922,922,27,1,2,5,14,2,Boundary Commission Lead,4,Densmok Evaluation Group,trajectory_analysis,First use of parallel transport verification.,0.92,New geodesic path documented connecting Septenary Basin to Triad Basin.,Basin boundary disputed by independent researchers.,,Training survey for new team members.
LS-0136,Outer Reaches Mapping Project,anomaly_investigation,Anomaly investigation near Dens Adjacent Zone,BA-003,927,927,1,1,1,2,19,1,Archive Survey Team,4,Western Archive,historical_reconstruction,New saddle point detection technique.,0.73,Saddle point SP-082 position confirmed.,Methodology questioned by Independent Scholar.,,Limited access to Anomaly investigation near Dens Adjacent Zone due to restrictions.
LS-0137,Survey 0137,form_catalog,Form census in Shallow Basin Region,"BA-020,BA-026,BA-047,BA-039",922,922,81,4,0,0,0,0,Esseny Moll,6,Boundary Commission,similarity_inference,Developed improved triangulation method.,0.88,Basin depth measurement revised upward.,Curvature measurements inconsistent with theoretical predictions.,,Independent verification of Archive results.
LS-0138,Survey LS-0138,form_catalog,Form census in Deep Attractor Zone,"BA-040,BA-007,BA-017",924,924,27,4,0,0,0,1,Morren Kast,5,Senate Survey,form_triangulation,Pioneered rapid-survey methodology.,0.77,Anomalous readings near Dens-correlated zone.,Methodology questioned by Western Archive.,"LS-0023,LS-0047",Used improved instrumentation from Year 922.
LS-0139,Survey LS-0139,comprehensive,"Full morphospace grid, focus on Binary Region","BA-034,BA-010,BA-021,BA-029,BA-028,BA-005,BA-037,BA-006,BA-048,BA-050,BA-031",929,929,2,1,1,1,7,0,Esseny Moll,1,Western Archive,trajectory_analysis,Developed improved triangulation method.,0.54,New geodesic path documented connecting Five-Body Basin to Tension Basin.,,,Used improved instrumentation from Year 925.
LS-0140,Survey LS-0140,comprehensive,"Full morphospace grid, focus on Shallow Basin Region","BA-026,BA-031,BA-020,BA-049,BA-006",922,922,15,3,5,3,29,1,Morren Kast,5,Independent Scholar,parallel_transport,New saddle point detection technique.,1.0,"Identified new basin boundary at coordinates (-0.42, 0.06).",Curvature measurements inconsistent with theoretical predictions.,,Funded by Senate special appropriation.
LS-0141,Survey LS-0141,geodesic_trace,Geodesic paths through Northern Morphospace,"BA-018,BA-028,BA-038,BA-034,BA-047",921,921,1,0,3,6,2,0,Independent Scholar,3,Capital Philosophical Society,similarity_inference,Systematic grid approach adopted.,0.59,Ridge position differs from Year 930 survey by 0.08 units.,Survey terminated early due to funding constraints.,,Independent verification of Archive results.
LS-0142,Year 920 Geodesic Survey,geodesic_trace,Geodesic paths through Deep Attractor Zone,"BA-011,BA-050",920,920,1,0,2,30,2,0,Morren Kast,6,Capital Philosophical Society,form_triangulation,Pioneered rapid-survey methodology.,0.82,"Identified new basin boundary at coordinates (0.39, -0.4).",Methodology questioned by Western Archive.,,Used improved instrumentation from Year 928.
LS-0143,Survey LS-0143,geodesic_trace,Geodesic paths through Outer Reaches,"BA-032,BA-044",930,930,3,0,3,16,7,0,Morren Kast,3,Boundary Commission,form_triangulation,Pioneered rapid-survey methodology.,0.78,Saddle point SP-032 position confirmed.,Results conflict with Year 923 survey.,,Used improved instrumentation from Year 921.
LS-0144,Survey 0144,comprehensive,"Full morphospace grid, focus on Tension Territory","BA-025,BA-010,BA-027,BA-026,BA-050,BA-045,BA-032,BA-014,BA-012,BA-041",927,927,17,5,7,9,33,0,K. Strand,5,Densmok Evaluation Group,boundary_mapping,Developed improved triangulation method.,0.96,No significant findings; survey confirmed previous work.,,LS-0016,Used improved instrumentation from Year 920.
LS-0145,Survey 0145,targeted_basin,Quintic Basin and immediate neighbors,BA-001,930,930,14,1,1,4,6,0,Boundary Commission Lead,3,Densmok Evaluation Group,form_triangulation,Combined multiple measurement methods.,0.62,Form stability higher than predicted in this region.,,,
LS-0146,Survey LS-0146,form_catalog,Form census in Northern Morphospace,"BA-005,BA-011,BA-002,BA-019",919,919,36,5,0,0,0,0,Archive Survey Team,3,Densmok Evaluation Group,trajectory_analysis,,0.82,Discovered 36 previously undocumented forms.,Team disagreement over form classifications.,,Funded by Senate special appropriation.
LS-0147,Survey LS-0147,geodesic_trace,Geodesic paths through Dens Adjacent Zone,"BA-035,BA-022,BA-019,BA-010",918,918,2,0,0,14,9,3,Vanis Trem,3,Independent Scholar,historical_reconstruction,Introduced confidence scoring system.,0.74,Curvature measurements consistent with hyperbolic geometry.,,,Independent verification of Archive results.
LS-0148,Geodesic Trace Project 928,targeted_basin,Basin BA-036 and immediate neighbors,BA-036,928,928,17,1,3,4,24,1,Morren Kast,5,Independent Scholar,form_triangulation,,0.74,"Identified new basin boundary at coordinates (-0.11, 0.01).",,,Limited access to Basin BA-036 and immediate neighbors due to restrictions.
LS-0149,Survey LS-0149,form_catalog,Form census in Dens Adjacent Zone,"BA-012,BA-026,BA-020,BA-008",929,929,23,5,0,0,0,1,Independent Scholar,2,Independent Scholar,historical_reconstruction,Pioneered rapid-survey methodology.,0.71,Curvature measurements consistent with hyperbolic geometry.,,LS-0008,Follow-up to earlier inconclusive results.
LS-0150,Year 926 Form Catalog Survey,form_catalog,Form census in Dens Adjacent Zone,BA-009,926,926,20,4,0,0,0,0,Hern Tollis,2,Senate Survey,boundary_mapping,,0.68,Saddle point SP-052 position confirmed.,Results conflict with Year 922 survey.,,Training survey for new team members.
LS-0151,Survey LS-0151,anomaly_investigation,Anomaly investigation near Central Grid,BA-042,918,918,3,0,2,0,20,0,Morren Kast,1,Capital Philosophical Society,historical_reconstruction,,0.59,Saddle point SP-085 position confirmed.,Survey terminated early due to funding constraints.,LS-0021,Standard survey protocol followed.
LS-0152,Year 921 Geodesic Survey,geodesic_trace,Geodesic paths through Dens Adjacent Zone,"BA-035,BA-033,BA-025",921,921,1,0,3,17,4,0,Archive Survey Team,5,Independent Scholar,parallel_transport,First use of parallel transport verification.,0.72,Discovered 1 previously undocumented forms.,Curvature measurements inconsistent with theoretical predictions.,,Follow-up to earlier inconclusive results.
LS-0153,Survey LS-0153,targeted_basin,Septenary Basin and immediate neighbors,BA-006,923,923,10,1,3,4,4,0,Independent Scholar,2,Densmok Evaluation Group,boundary_mapping,,0.64,Ridge position differs from Year 923 survey by 0.08 units.,Team disagreement over form classifications.,"LS-0037,LS-0008",Funded by Senate special appropriation.
LS-0154,Deep Attractor Zone Survey Year 931,curvature_grid,Curvature grid covering Outer Reaches,BA-012,931,932,0,0,0,0,200,0,Lorn Creeth,6,Independent Scholar,trajectory_analysis,Systematic grid approach adopted.,0.82,Saddle point SP-095 position confirmed.,Results conflict with Year 922 survey.,,Part of multi-year mapping initiative.
LS-0155,Survey 0155,geodesic_trace,Geodesic paths through Dens Adjacent Zone,"BA-042,BA-001",930,930,3,0,1,22,9,0,Morren Kast,5,Western Archive,boundary_mapping,First use of parallel transport verification.,0.84,Discovered 3 previously undocumented forms.,Survey terminated early due to funding constraints.,,Survey conducted during favorable conditions.
LS-0156,Northern Morphospace Mapping Project,ridge_survey,Ridge system in Dens Adjacent Zone,"BA-001,BA-041,BA-017,BA-033",922,923,0,0,19,0,19,0,T. Vells,2,Independent Scholar,parallel_transport,,0.93,Discovered 19 previously undocumented forms.,Team disagreement over form classifications.,,Survey conducted during favorable conditions.
LS-0157,Survey 0157,comprehensive,"Full morphospace grid, focus on Shallow Basin Region","BA-037,BA-016,BA-050,BA-049,BA-031,BA-041,BA-011,BA-010,BA-005,BA-046,BA-038,BA-007",929,929,19,4,6,4,17,1,C. Vells,4,Western Archive,historical_reconstruction,Developed improved triangulation method.,0.9,Ridge drift measured at 0.001 units per decade.,Team disagreement over form classifications.,,Used improved instrumentation from Year 925.
LS-0158,Survey LS-0158,targeted_basin,Basin BA-045 and immediate neighbors,BA-045,925,925,20,1,2,1,9,1,C. Vells,3,Western Archive,historical_reconstruction,Systematic grid approach adopted.,0.68,Curvature measurements consistent with hyperbolic geometry.,Survey terminated early due to funding constraints.,"LS-0044,LS-0004",Training survey for new team members.
LS-0159,Survey 0159,targeted_basin,Basin BA-010 and immediate neighbors,BA-010,924,924,21,1,1,5,12,2,T. Vells,3,Senate Survey,historical_reconstruction,First use of parallel transport verification.,0.77,Basin depth measurement revised upward.,,,Part of multi-year mapping initiative.
LS-0160,Survey LS-0160,targeted_basin,Basin BA-044 and immediate neighbors,BA-044,918,918,15,1,4,4,17,0,T. Vells,4,Western Archive,form_triangulation,Introduced confidence scoring system.,0.73,No significant findings; survey confirmed previous work.,,"LS-0046,LS-0044",Training survey for new team members.
LS-0161,Survey 0161,comprehensive,"Full morphospace grid, focus on Northern Morphospace","BA-034,BA-023,BA-011,BA-031,BA-002,BA-043,BA-018,BA-041,BA-021,BA-039,BA-001,BA-017,BA-010,BA-025,BA-032",928,928,4,1,4,3,8,0,Archive Survey Team,2,Independent Scholar,historical_reconstruction,First use of parallel transport verification.,0.76,Ridge drift measured at 0.003 units per decade.,Results conflict with Year 923 survey.,,Survey conducted during favorable conditions.
LS-0162,Survey 0162,comprehensive,"Full morphospace grid, focus on Quintic Region","BA-038,BA-034,BA-020,BA-040,BA-028,BA-003,BA-044,BA-007,BA-047",923,923,6,2,2,1,8,0,C. Vells,2,Capital Philosophical Society,trajectory_analysis,,0.56,Form stability higher than predicted in this region.,,,Follow-up to earlier inconclusive results.
LS-0163,Survey LS-0163,targeted_basin,Basin BA-025 and immediate neighbors,BA-025,924,924,19,1,3,3,14,0,Hern Tollis,4,Boundary Commission,boundary_mapping,New saddle point detection technique.,0.83,Curvature measurements consistent with hyperbolic geometry.,Methodology questioned by Boundary Commission.,LS-0024,Survey conducted during favorable conditions.
LS-0164,Geodesic Trace Project 923,comprehensive,"Full morphospace grid, focus on Deep Attractor Zone","BA-002,BA-038,BA-023,BA-029,BA-019,BA-031,BA-020,BA-034,BA-018,BA-025",923,923,8,1,7,4,14,0,Esseny Moll,3,Independent Scholar,historical_reconstruction,Combined multiple measurement methods.,0.74,Discovered 8 previously undocumented forms.,Curvature measurements inconsistent with theoretical predictions.,"LS-0013,LS-0012",Used improved instrumentation from Year 930.
LS-0165,Survey LS-0165,targeted_basin,Basin BA-046 and immediate neighbors,BA-046,927,927,75,1,2,1,34,0,Esseny Moll,12,Boundary Commission,boundary_mapping,First use of parallel transport verification.,0.89,Discovered 75 previously undocumented forms.,Results conflict with Year 920 survey.,,Follow-up to earlier inconclusive results.
LS-0166,Survey LS-0166,targeted_basin,Breathing Hollow and immediate neighbors,BA-015,921,921,20,1,2,3,11,1,K. Strand,5,Boundary Commission,trajectory_analysis,Developed improved triangulation method.,0.69,Discovered 20 previously undocumented forms.,,,Limited access to Breathing Hollow and immediate neighbors due to restrictions.
