case_id,case_name,entity_type,intended_destination,navigation_mode,pathology_type,severity,trajectory_length,trajectory_duration_days,efficiency_ratio,deviation_from_path,primary_cause,secondary_cause,dens_proximity_km,boundary_instability,earliest_symptom,symptom_progression,awareness_of_problem,outcome,days_to_resolution,casualties,intervention_attempted,intervention_type,intervention_success,location,region,observation_year,observer,voss_classification,confidence,lessons_learned,cross_reference,notes
NP-0081,Signal Blindness 429,colony,Attractor Basin 99,gradient_following,false_arrival,moderate,125.3,529,26.79,50.3,signal_noise,,65.8,4.2,confusion,recovery,uncertain,rescued,27,1,True,rescue,partial,Camp settlements,Yeller Quarry,913,K. Vorn,Class_C_attractor,0.75,Ghost patterns can create false landmarks,,
NP-0082,Trajectory Dissolution 692,creature,Archive,gradient_following,resonance_lock,catastrophic,484.6,398,3.8,177.3,horizon_shrinkage,substrate_damage,61.5,1.1,paralysis,recovery,partially_aware,eventual_arrival,48,0,False,none,not_attempted,Quarry interior,Yeller Quarry,937,Survey Commission,Class_D_resonance,0.83,Multiple attractors require explicit choice,HS-0072,
NP-0083,Wrong Destination 577,creature,Archive,resonance_seeking,navigation_paralysis,moderate,1.4,184,3.81,0.7,horizon_shrinkage,observer_effect,70.8,3.5,backtracking,stable,partially_aware,eventual_arrival,256,3,False,none,not_attempted,Camp settlements,Yeller Quarry,922,R. Voss,unclassified,0.58,Dens proximity increases signal noise,HS-0023,
NP-0084,Resonance Lock Case 611,individual,Settlement 66,gradient_following,endless_wandering,severe,763.2,2172,318.37,549.5,boundary_interference,,28.4,5.0,confusion,sudden_onset,fully_aware,wrong_arrival,116,2,True,rescue,harmful,Eastern fluctuation zone,Dens boundary,891,Survey Commission,Class_B_trajectory,0.93,Dens proximity increases signal noise,,
NP-0085,Basin Trap 963,creature,Settlement 68,resonance_seeking,gradient_blindness,severe,355.0,159,40.67,108.5,boundary_interference,,18.1,6.4,disorientation,sudden_onset,fully_aware,spontaneous_recovery,137,3,True,barrier_stabilization,successful,Sector SW-6,Dens boundary,921,Survey Commission,Class_A_signal,0.94,Ghost patterns can create false landmarks,,
NP-0086,Signal Blindness 290,individual,,attractor_tracking,endless_wandering,moderate,755.8,2711,290.67,420.9,signal_noise,,77.3,4.3,oscillation,recovery,partially_aware,returned_origin,778,1,True,barrier_stabilization,failed,Trapper territory,Yeller Quarry,899,K. Vorn,Class_B_trajectory,0.79,Boundary instability correlates with navigation difficulty,,
NP-0087,Expedition 91 Lost,individual,,path_following,resonance_lock,moderate,87.2,826,11.82,34.3,horizon_shrinkage,,19.5,7.4,disorientation,oscillating,partially_aware,lost_indefinitely,4885,3,True,signal_amplification,harmful,Sector SW-6,Dens boundary,939,R. Voss,Class_D_resonance,0.68,Early intervention improves outcomes,HS-0029,
NP-0088,Trajectory Dissolution 148,colony,Yeller Quarry,random_walk,attractor_switching,severe,317.1,704,27.88,42.6,boundary_interference,,148.6,2.7,backtracking,gradual_worsening,fully_aware,wrong_arrival,301,2,True,guidance,failed,Quarry Sector 7,Yeller Quarry,931,Survey Commission,unclassified,0.65,Navigation mode should match conditions,,
NP-0089,Navigation Paralysis 372,individual,Yeller Quarry,random_walk,landmark_confusion,moderate,234.3,889,20.46,103.1,signal_noise,substrate_damage,4.0,9.9,paralysis,gradual_worsening,unaware,wrong_arrival,49,3,False,none,not_attempted,Dens interior,Dens,922,K. Vorn,unclassified,0.77,Horizon shrinkage prevents distant attractor perception,,
NP-0090,Signal Blindness 816,expedition,Attractor Basin 21,gradient_following,resonance_lock,severe,332.8,249,32.35,242.1,boundary_interference,substrate_damage,160.7,4.9,confusion,stable,uncertain,returned_origin,123,2,True,signal_amplification,partial,Archive vicinity,Capital,912,Trapper Guild Records,Class_D_resonance,0.68,Multiple attractors require explicit choice,,
NP-0091,False Basin Arrival 47,institution,,gradient_following,trajectory_loop,catastrophic,459.9,280,49.47,68.9,horizon_shrinkage,,28.8,9.7,confusion,oscillating,partially_aware,lost_indefinitely,5693,2,True,resonance_recalibration,harmful,Sector SW-6,Dens boundary,913,Trapper Guild Records,Class_B_trajectory,0.7,Navigation mode should match conditions,HS-0142,
NP-0092,False Basin Arrival 922,colony,Mill site,landmark_navigation,endless_wandering,severe,877.4,2164,635.36,662.4,horizon_shrinkage,signal_noise,235.8,0.9,course_deviation,sudden_onset,partially_aware,dissolution,662,4,True,signal_amplification,failed,Capital outskirts,Capital,918,C. Vells,Class_B_trajectory,0.84,Early intervention improves outcomes,HS-0025,
NP-0093,Wrong Destination 984,individual,,gradient_following,resonance_lock,catastrophic,470.7,908,46.13,335.5,signal_noise,ghost_interference,1.9,6.3,course_deviation,recovery,fully_aware,rescued,36,1,True,barrier_stabilization,partial,Dens interior,Dens,891,K. Vorn,Class_D_resonance,0.62,Dens proximity increases signal noise,,
NP-0094,False Basin Arrival 37,creature,Mill site,resonance_seeking,endless_wandering,moderate,791.3,1706,3.82,220.7,boundary_interference,,157.0,4.7,signal_loss,stable,partially_aware,eventual_arrival,26,2,True,barrier_stabilization,successful,Western districts,Capital,927,C. Vells,Class_B_trajectory,0.96,Boundary instability correlates with navigation difficulty,,
NP-0095,Wanderer's Circuit 121,creature,,landmark_navigation,false_arrival,severe,432.2,117,38.61,261.0,boundary_interference,,8.9,7.0,backtracking,gradual_worsening,unaware,dissolution,648,1,False,none,not_attempted,Sector NE-4,Dens boundary,928,Survey Commission,Class_C_attractor,0.92,Early intervention improves outcomes,,
NP-0096,Wrong Destination 620,pattern,Yeller Quarry,random_walk,resonance_lock,catastrophic,373.7,848,30.85,142.7,boundary_interference,,2.8,7.0,confusion,oscillating,fully_aware,lost_indefinitely,3447,0,True,resonance_recalibration,failed,Dissolution zone,Dens,908,Navigation Study Group,Class_D_resonance,0.81,Horizon shrinkage prevents distant attractor perception,,
NP-0097,Wrong Destination 309,individual,Yeller Quarry,unknown,landmark_confusion,minor,74.0,276,38.78,14.1,boundary_interference,substrate_damage,26.9,7.5,signal_loss,stable,partially_aware,wrong_arrival,242,1,True,resonance_recalibration,failed,Sector SW-6,Dens boundary,931,Expedition Records,unclassified,0.95,Navigation mode should match conditions,,
NP-0098,Expedition 59 Lost,individual,Mill site,unknown,basin_escape_failure,severe,142.2,554,14.73,64.7,resonance_mismatch,competing_attractors,2.5,6.5,backtracking,recovery,fully_aware,wrong_arrival,333,0,True,rescue,partial,Dens deep,Dens,936,R. Voss,Class_C_attractor,0.52,Multiple attractors require explicit choice,,
NP-0099,Trajectory Dissolution 56,colony,Tower of Mirado,gradient_following,gradient_blindness,catastrophic,144.3,956,43.9,50.8,boundary_interference,,24.8,6.8,confusion,stable,unaware,returned_origin,526,2,False,none,not_attempted,Eastern fluctuation zone,Dens boundary,935,Survey Commission,Class_A_signal,0.72,Navigation mode should match conditions,,
NP-0100,Endless Loop 233,creature,Mill site,resonance_seeking,resonance_lock,moderate,121.7,828,7.2,44.7,resonance_mismatch,ghost_interference,16.3,7.0,confusion,recovery,partially_aware,spontaneous_recovery,199,0,True,barrier_stabilization,successful,Eastern fluctuation zone,Dens boundary,904,Trapper Guild Records,Class_D_resonance,0.68,Multiple attractors require explicit choice,,
NP-0101,Resonance Lock Case 293,creature,Mill site,path_following,endless_wandering,moderate,672.7,2183,967.03,270.8,competing_attractors,boundary_interference,86.0,0.5,disorientation,sudden_onset,unaware,rescued,235,3,True,guidance,partial,Quarry Sector 7,Yeller Quarry,928,K. Vorn,Class_B_trajectory,0.76,Navigation mode should match conditions,,
NP-0102,Endless Loop 482,pattern,Northo monastery,unknown,attractor_switching,moderate,495.7,186,41.69,59.5,ghost_interference,boundary_interference,73.0,0.6,backtracking,oscillating,fully_aware,dissolution,960,2,False,none,not_attempted,Mill vicinity,Yeller Quarry,928,K. Vorn,unclassified,0.97,Dens proximity increases signal noise,,
NP-0103,Landmark Confusion 946,individual,Form 71,attractor_tracking,navigation_paralysis,severe,3.3,321,40.4,2.2,boundary_interference,,22.1,5.7,disorientation,stable,fully_aware,lost_indefinitely,5715,2,True,resonance_recalibration,partial,Western approach,Dens boundary,928,Survey Commission,unclassified,0.53,Multiple attractors require explicit choice,,
NP-0104,Resonance Lock Case 794,individual,Capital,landmark_navigation,trajectory_loop,moderate,130.4,364,1.78,65.3,ghost_interference,competing_attractors,17.5,8.3,disorientation,stable,fully_aware,eventual_arrival,347,3,True,rescue,successful,Southern perimeter,Dens boundary,908,C. Vells,Class_B_trajectory,0.54,Boundary instability correlates with navigation difficulty,,
NP-0105,False Basin Arrival 630,individual,Form 90,gradient_following,navigation_paralysis,moderate,4.3,234,24.67,2.8,competing_attractors,resonance_mismatch,6.5,8.6,oscillation,stable,unaware,returned_origin,428,2,True,rescue,failed,Sector NE-4,Dens boundary,902,C. Vells,unclassified,0.87,Dens proximity increases signal noise,,
NP-0106,Basin Trap 116,creature,Form 94,path_following,attractor_switching,catastrophic,432.0,157,34.01,225.2,competing_attractors,substrate_damage,57.0,2.1,confusion,sudden_onset,fully_aware,wrong_arrival,382,3,False,none,not_attempted,Quarry Sector 7,Yeller Quarry,916,R. Voss,unclassified,0.81,Early intervention improves outcomes,,
NP-0107,Wrong Destination 580,pattern,Northo monastery,random_walk,navigation_paralysis,catastrophic,4.7,191,1.32,1.7,signal_noise,,134.0,3.4,confusion,gradual_worsening,uncertain,eventual_arrival,64,3,True,rescue,successful,Coder quarter,Densmok,917,C. Vells,unclassified,0.95,Boundary instability correlates with navigation difficulty,,
NP-0108,Wanderer's Circuit 929,creature,Yeller Quarry,gradient_following,gradient_blindness,moderate,18.7,722,4.36,8.6,competing_attractors,,14.2,5.8,signal_loss,recovery,partially_aware,trapped_basin,831,2,True,rescue,failed,Eastern fluctuation zone,Dens boundary,925,R. Voss,Class_A_signal,0.89,Dens proximity increases signal noise,,
NP-0109,Expedition 544 Lost,individual,Dens boundary observation post,landmark_navigation,attractor_switching,severe,473.4,314,33.51,134.1,resonance_mismatch,,22.4,5.8,paralysis,recovery,unaware,lost_indefinitely,3685,1,True,signal_amplification,harmful,Eastern fluctuation zone,Dens boundary,910,Expedition Records,unclassified,0.7,Multiple attractors require explicit choice,,
NP-0110,False Basin Arrival 135,expedition,Yeller Quarry,gradient_following,endless_wandering,moderate,294.9,569,752.07,226.0,ghost_interference,substrate_damage,325.5,1.3,disorientation,gradual_worsening,fully_aware,lost_indefinitely,5939,1,False,none,not_attempted,Northern monastery,Northo,922,Navigation Study Group,Class_B_trajectory,0.57,Early intervention improves outcomes,,
NP-0111,Basin Trap 931,creature,Settlement 31,resonance_seeking,trajectory_loop,moderate,74.6,648,2.56,46.7,boundary_interference,landscape_distortion,179.0,2.5,backtracking,gradual_worsening,fully_aware,eventual_arrival,113,3,True,resonance_recalibration,partial,Tower base,Tower of Mirado,915,C. Vells,Class_B_trajectory,0.89,Ghost patterns can create false landmarks,,
NP-0112,Endless Loop 61,expedition,Mill site,random_walk,resonance_lock,moderate,475.3,283,3.24,270.0,unknown,substrate_damage,4.3,8.8,paralysis,recovery,partially_aware,eventual_arrival,212,1,True,guidance,successful,Dens deep,Dens,939,Survey Commission,Class_D_resonance,0.82,Early intervention improves outcomes,,
NP-0113,Resonance Lock Case 774,creature,Settlement 77,resonance_seeking,navigation_paralysis,catastrophic,1.0,264,46.83,0.5,boundary_interference,,29.3,7.2,confusion,gradual_worsening,fully_aware,lost_indefinitely,7772,3,True,rescue,failed,Western approach,Dens boundary,916,K. Vorn,unclassified,0.83,Multiple attractors require explicit choice,,
NP-0114,Basin Trap 657,individual,Capital,unknown,navigation_paralysis,severe,1.6,312,35.36,1.0,competing_attractors,horizon_shrinkage,228.5,4.6,disorientation,oscillating,partially_aware,wrong_arrival,32,3,True,resonance_recalibration,failed,Isolation community,Northo,890,Survey Commission,unclassified,0.71,Horizon shrinkage prevents distant attractor perception,,
NP-0115,Expedition 428 Lost,individual,Mill site,path_following,endless_wandering,minor,711.0,920,539.63,408.6,competing_attractors,horizon_shrinkage,15.8,5.5,disorientation,gradual_worsening,unaware,returned_origin,432,3,True,resonance_recalibration,partial,Sector SW-6,Dens boundary,905,Navigation Study Group,Class_B_trajectory,0.87,Boundary instability correlates with navigation difficulty,,
NP-0116,False Basin Arrival 711,individual,Tower of Mirado,gradient_following,navigation_paralysis,moderate,0.9,113,44.66,0.2,landscape_distortion,substrate_damage,27.7,9.6,paralysis,oscillating,unaware,death,266,10,False,none,not_attempted,Western approach,Dens boundary,938,C. Vells,unclassified,0.89,Dens proximity increases signal noise,,
NP-0117,Wanderer's Circuit 533,colony,Tower of Mirado,random_walk,resonance_lock,moderate,325.8,576,3.18,240.3,ghost_interference,competing_attractors,198.4,4.9,backtracking,gradual_worsening,fully_aware,eventual_arrival,78,1,False,none,not_attempted,Siege fields,Tower of Mirado,925,C. Vells,Class_D_resonance,0.83,Ghost patterns can create false landmarks,,
NP-0118,False Basin Arrival 250,expedition,Northo monastery,path_following,landmark_confusion,severe,115.6,942,26.49,45.4,ghost_interference,substrate_damage,335.4,1.6,confusion,oscillating,fully_aware,dissolution,834,6,True,barrier_stabilization,failed,Northern monastery,Northo,931,Survey Commission,unclassified,0.98,Horizon shrinkage prevents distant attractor perception,,
NP-0119,Trajectory Dissolution 924,expedition,Northo monastery,unknown,trajectory_loop,minor,415.1,848,3.9,182.2,ghost_interference,horizon_shrinkage,12.6,8.2,backtracking,stable,partially_aware,eventual_arrival,86,0,False,none,not_attempted,Sector NE-4,Dens boundary,909,K. Vorn,Class_B_trajectory,0.95,Ghost patterns can create false landmarks,,
NP-0120,Wrong Destination 377,individual,Form 10,attractor_tracking,attractor_switching,catastrophic,314.8,630,46.19,246.1,ghost_interference,,240.0,0.7,oscillation,sudden_onset,partially_aware,returned_origin,625,0,False,none,not_attempted,Scholar's Quarter,Capital,928,C. Vells,unclassified,0.54,Navigation mode should match conditions,,
NP-0121,Resonance Lock Case 955,colony,Archive,path_following,resonance_lock,minor,17.8,878,33.39,3.2,signal_noise,,136.2,3.4,backtracking,stable,partially_aware,rescued,9,0,True,signal_amplification,partial,Educational district,Densmok,902,Expedition Records,Class_D_resonance,0.88,Early intervention improves outcomes,,
NP-0122,Expedition 131 Lost,pattern,Archive,random_walk,landmark_confusion,severe,195.6,229,43.18,124.5,competing_attractors,ghost_interference,14.0,9.0,confusion,sudden_onset,partially_aware,trapped_basin,671,3,True,resonance_recalibration,harmful,Sector NE-4,Dens boundary,908,Expedition Records,unclassified,0.73,Ghost patterns can create false landmarks,,
NP-0123,Signal Blindness 434,colony,Yeller Quarry,resonance_seeking,resonance_lock,moderate,324.0,217,32.66,167.3,observer_effect,substrate_damage,79.0,2.4,oscillation,oscillating,uncertain,wrong_arrival,519,1,False,none,not_attempted,Quarry interior,Yeller Quarry,913,Trapper Guild Records,Class_D_resonance,0.93,Boundary instability correlates with navigation difficulty,,
NP-0124,Wrong Destination 409,individual,Attractor Basin 89,landmark_navigation,false_arrival,severe,461.9,466,3.99,49.0,competing_attractors,substrate_damage,398.1,0.6,disorientation,gradual_worsening,unaware,eventual_arrival,28,0,True,guidance,successful,Ascetic village,Northo,903,Navigation Study Group,Class_C_attractor,0.57,Boundary instability correlates with navigation difficulty,,
NP-0125,Signal Blindness 230,expedition,Capital,attractor_tracking,basin_escape_failure,catastrophic,460.8,95,39.92,185.3,observer_effect,,18.7,5.3,signal_loss,gradual_worsening,uncertain,returned_origin,908,3,True,resonance_recalibration,failed,Sector NE-4,Dens boundary,940,Expedition Records,Class_C_attractor,0.75,Dens proximity increases signal noise,,
NP-0126,Basin Trap 326,pattern,Archive,resonance_seeking,gradient_blindness,severe,192.8,772,18.0,140.2,landscape_distortion,,86.1,2.0,paralysis,recovery,unaware,wrong_arrival,53,2,True,resonance_recalibration,partial,Educational district,Densmok,913,Expedition Records,Class_A_signal,0.83,Horizon shrinkage prevents distant attractor perception,,
NP-0127,Trajectory Dissolution 807,individual,Dens boundary observation post,gradient_following,basin_escape_failure,severe,259.5,611,2.42,80.1,boundary_interference,observer_effect,56.1,2.6,oscillation,oscillating,partially_aware,eventual_arrival,125,0,True,guidance,partial,Trapper territory,Yeller Quarry,895,Navigation Study Group,Class_C_attractor,0.56,Early intervention improves outcomes,,
NP-0128,Resonance Lock Case 315,individual,Yeller Quarry,gradient_following,resonance_lock,catastrophic,234.2,390,35.16,59.6,competing_attractors,resonance_mismatch,271.1,4.6,confusion,gradual_worsening,partially_aware,death,687,7,True,barrier_stabilization,partial,Northern monastery,Northo,903,C. Vells,Class_D_resonance,0.7,Horizon shrinkage prevents distant attractor perception,,
NP-0129,Signal Blindness 584,colony,Yeller Quarry,gradient_following,attractor_switching,moderate,361.3,89,45.33,105.6,substrate_damage,competing_attractors,2.2,6.9,confusion,oscillating,partially_aware,lost_indefinitely,3058,3,False,none,not_attempted,Dissolution zone,Dens,921,Trapper Guild Records,unclassified,0.99,Early intervention improves outcomes,,
NP-0130,Expedition 410 Lost,expedition,Northo monastery,unknown,resonance_lock,severe,102.8,940,23.64,32.5,horizon_shrinkage,competing_attractors,55.9,4.6,oscillation,recovery,partially_aware,wrong_arrival,736,3,False,none,not_attempted,Camp settlements,Yeller Quarry,899,Expedition Records,Class_D_resonance,0.85,Ghost patterns can create false landmarks,HS-0070,
NP-0131,Basin Trap 443,individual,Tower of Mirado,random_walk,attractor_switching,catastrophic,384.5,300,30.46,190.1,substrate_damage,signal_noise,275.4,1.5,signal_loss,stable,unaware,returned_origin,214,1,True,barrier_stabilization,harmful,Ascetic village,Northo,910,Navigation Study Group,unclassified,0.84,Multiple attractors require explicit choice,,
NP-0132,False Basin Arrival 123,pattern,Northo monastery,attractor_tracking,trajectory_loop,severe,278.8,767,39.03,204.0,boundary_interference,,85.7,0.8,paralysis,gradual_worsening,unaware,returned_origin,46,3,False,none,not_attempted,Northern workings,Yeller Quarry,927,Navigation Study Group,Class_B_trajectory,0.86,Boundary instability correlates with navigation difficulty,,
NP-0133,Navigation Paralysis 860,creature,Form 53,gradient_following,endless_wandering,moderate,805.7,71,576.32,179.6,boundary_interference,substrate_damage,24.5,6.2,disorientation,recovery,unaware,rescued,43,0,True,guidance,partial,Western approach,Dens boundary,911,R. Voss,Class_B_trajectory,0.55,Horizon shrinkage prevents distant attractor perception,,
NP-0134,Expedition 6 Lost,creature,Yeller Quarry,landmark_navigation,resonance_lock,catastrophic,286.9,217,39.14,199.4,ghost_interference,,114.4,3.1,disorientation,oscillating,partially_aware,spontaneous_recovery,188,1,True,barrier_stabilization,successful,Trapper territory,Yeller Quarry,925,R. Voss,Class_D_resonance,0.74,Early intervention improves outcomes,,
NP-0135,Wrong Destination 305,creature,Dens boundary observation post,random_walk,trajectory_loop,moderate,395.1,963,9.61,160.3,boundary_interference,ghost_interference,7.2,6.0,backtracking,sudden_onset,fully_aware,lost_indefinitely,5191,2,False,none,not_attempted,Southern perimeter,Dens boundary,936,Navigation Study Group,Class_B_trajectory,0.61,Dens proximity increases signal noise,,
NP-0136,Landmark Confusion 693,individual,Attractor Basin 24,resonance_seeking,wrong_direction,severe,182.6,447,2.86,25.8,resonance_mismatch,,27.5,7.0,disorientation,oscillating,unaware,eventual_arrival,128,3,False,none,not_attempted,Eastern fluctuation zone,Dens boundary,921,R. Voss,Class_B_trajectory,0.71,Early intervention improves outcomes,,
NP-0137,Wanderer's Circuit 539,individual,Yeller Quarry,attractor_tracking,gradient_blindness,minor,216.5,279,34.43,59.5,boundary_interference,,117.8,1.0,backtracking,oscillating,unaware,wrong_arrival,46,0,True,rescue,failed,Tower base,Tower of Mirado,933,Trapper Guild Records,Class_A_signal,0.51,Multiple attractors require explicit choice,,
NP-0138,Trajectory Dissolution 6,individual,Form 85,landmark_navigation,gradient_blindness,severe,87.8,495,36.08,23.1,horizon_shrinkage,observer_effect,23.3,8.2,backtracking,stable,fully_aware,returned_origin,736,0,False,none,not_attempted,Southern perimeter,Dens boundary,939,Trapper Guild Records,Class_A_signal,0.58,Multiple attractors require explicit choice,HS-0137,
NP-0139,Basin Trap 564,individual,Archive,random_walk,false_arrival,moderate,70.8,361,13.02,38.4,signal_noise,ghost_interference,176.2,2.5,oscillation,recovery,fully_aware,wrong_arrival,568,2,True,resonance_recalibration,harmful,Archive vicinity,Capital,892,Trapper Guild Records,Class_C_attractor,0.78,Navigation mode should match conditions,,
NP-0140,Endless Loop 217,individual,,random_walk,trajectory_loop,severe,116.6,193,43.42,47.5,landscape_distortion,resonance_mismatch,143.6,2.2,backtracking,oscillating,partially_aware,rescued,56,1,True,rescue,successful,Educational district,Densmok,917,Trapper Guild Records,Class_B_trajectory,0.93,Boundary instability correlates with navigation difficulty,,
NP-0141,Endless Loop 288,creature,Tower of Mirado,attractor_tracking,attractor_switching,moderate,201.1,82,5.68,89.9,ghost_interference,,114.5,4.5,confusion,recovery,unaware,returned_origin,751,3,False,none,not_attempted,Suburban zone,Densmok,928,Navigation Study Group,unclassified,0.83,Early intervention improves outcomes,,
NP-0142,Endless Loop 11,creature,Tower of Mirado,gradient_following,false_arrival,catastrophic,235.9,476,30.3,58.7,competing_attractors,landscape_distortion,3.5,6.3,disorientation,sudden_onset,unaware,lost_indefinitely,992,0,False,none,not_attempted,Dissolution zone,Dens,927,K. Vorn,Class_C_attractor,0.69,Boundary instability correlates with navigation difficulty,,
NP-0143,Trajectory Dissolution 169,institution,Form 4,unknown,gradient_blindness,severe,118.0,612,15.59,75.9,resonance_mismatch,,200.2,3.7,paralysis,recovery,fully_aware,death,482,6,True,resonance_recalibration,partial,Western districts,Capital,909,K. Vorn,Class_A_signal,0.76,Multiple attractors require explicit choice,,
NP-0144,Landmark Confusion 874,individual,Archive,gradient_following,landmark_confusion,minor,251.5,942,3.17,77.2,unknown,signal_noise,23.9,9.5,signal_loss,recovery,partially_aware,wrong_arrival,505,2,False,none,not_attempted,Western approach,Dens boundary,937,Trapper Guild Records,unclassified,0.76,Navigation mode should match conditions,,
NP-0145,Trajectory Dissolution 103,expedition,Yeller Quarry,path_following,trajectory_loop,severe,355.2,568,15.43,220.8,substrate_damage,competing_attractors,3.5,7.0,oscillation,stable,partially_aware,returned_origin,722,1,False,none,not_attempted,Dissolution zone,Dens,896,Survey Commission,Class_B_trajectory,1.0,Dens proximity increases signal noise,,
NP-0146,Resonance Lock Case 725,expedition,Settlement 25,random_walk,endless_wandering,minor,132.8,1117,721.68,92.2,signal_noise,competing_attractors,84.5,3.3,disorientation,recovery,unaware,dissolution,558,2,True,guidance,failed,Camp settlements,Yeller Quarry,898,R. Voss,Class_B_trajectory,0.98,Multiple attractors require explicit choice,,
NP-0147,Wanderer's Circuit 557,institution,Attractor Basin 38,attractor_tracking,gradient_blindness,moderate,251.1,961,47.85,74.1,boundary_interference,,164.8,1.5,course_deviation,oscillating,fully_aware,dissolution,715,8,True,barrier_stabilization,failed,Capital proper,Capital,939,Navigation Study Group,Class_A_signal,0.78,Early intervention improves outcomes,,
NP-0148,Navigation Paralysis 757,pattern,Dens boundary observation post,gradient_following,attractor_switching,minor,106.6,559,4.77,36.3,horizon_shrinkage,observer_effect,11.3,6.4,course_deviation,stable,uncertain,eventual_arrival,356,2,False,none,not_attempted,Eastern fluctuation zone,Dens boundary,925,Expedition Records,unclassified,0.76,Multiple attractors require explicit choice,HS-0071,
NP-0149,Endless Loop 553,institution,,path_following,endless_wandering,severe,859.4,2317,313.34,604.2,boundary_interference,,249.3,1.0,course_deviation,stable,fully_aware,wrong_arrival,168,2,True,resonance_recalibration,harmful,Healing Institute,Capital,907,C. Vells,Class_B_trajectory,0.95,Navigation mode should match conditions,,
NP-0150,False Basin Arrival 803,creature,Tower of Mirado,attractor_tracking,landmark_confusion,severe,179.9,396,32.32,100.9,landscape_distortion,observer_effect,177.2,4.1,disorientation,sudden_onset,unaware,wrong_arrival,87,0,True,barrier_stabilization,harmful,Veteran settlement,Tower of Mirado,894,R. Voss,unclassified,0.84,Boundary instability correlates with navigation difficulty,,
NP-0151,Resonance Lock Case 944,colony,Mill site,path_following,resonance_lock,minor,80.4,900,33.53,53.1,landscape_distortion,,27.8,6.1,course_deviation,recovery,unaware,wrong_arrival,436,2,False,none,not_attempted,Eastern fluctuation zone,Dens boundary,917,Navigation Study Group,Class_D_resonance,0.89,Dens proximity increases signal noise,,
NP-0152,Wrong Destination 785,creature,Settlement 12,path_following,basin_escape_failure,minor,404.3,166,29.34,296.4,observer_effect,resonance_mismatch,101.4,4.7,signal_loss,gradual_worsening,fully_aware,returned_origin,765,2,True,guidance,partial,Northern approach,Tower of Mirado,898,C. Vells,Class_C_attractor,0.95,Ghost patterns can create false landmarks,,
NP-0153,Resonance Lock Case 744,expedition,Attractor Basin 26,gradient_following,gradient_blindness,moderate,442.1,813,2.26,148.0,boundary_interference,signal_noise,20.0,7.5,disorientation,recovery,fully_aware,eventual_arrival,143,1,True,rescue,successful,Western approach,Dens boundary,901,Navigation Study Group,Class_A_signal,0.95,Dens proximity increases signal noise,,
NP-0154,Endless Loop 159,individual,Capital,attractor_tracking,navigation_paralysis,moderate,2.7,320,3.19,2.0,horizon_shrinkage,,323.3,2.3,confusion,stable,fully_aware,rescued,139,0,True,rescue,successful,Northern monastery,Northo,920,R. Voss,unclassified,0.96,Boundary instability correlates with navigation difficulty,HS-0063,
NP-0155,Trajectory Dissolution 519,creature,,gradient_following,endless_wandering,severe,690.6,3193,739.2,459.1,observer_effect,,87.7,1.7,oscillation,gradual_worsening,unaware,death,113,5,False,none,not_attempted,Northern workings,Yeller Quarry,930,Survey Commission,Class_B_trajectory,0.79,Early intervention improves outcomes,,
NP-0156,Basin Trap 720,colony,Archive,attractor_tracking,endless_wandering,moderate,258.8,279,1.46,162.0,observer_effect,,346.6,2.8,backtracking,oscillating,fully_aware,eventual_arrival,136,3,False,none,not_attempted,Ascetic village,Northo,929,Trapper Guild Records,Class_B_trajectory,0.61,Dens proximity increases signal noise,,
NP-0157,Endless Loop 553,expedition,Yeller Quarry,random_walk,attractor_switching,catastrophic,200.5,481,30.48,62.6,horizon_shrinkage,,11.8,6.7,confusion,sudden_onset,partially_aware,returned_origin,627,0,False,none,not_attempted,Southern perimeter,Dens boundary,931,C. Vells,unclassified,0.89,Dens proximity increases signal noise,HS-0042,
NP-0158,Resonance Lock Case 415,institution,Yeller Quarry,landmark_navigation,false_arrival,moderate,337.5,52,31.73,49.7,ghost_interference,,28.3,5.3,signal_loss,oscillating,fully_aware,lost_indefinitely,7795,0,False,none,not_attempted,Eastern fluctuation zone,Dens boundary,930,Survey Commission,Class_C_attractor,0.63,Ghost patterns can create false landmarks,,
NP-0159,Wanderer's Circuit 615,individual,Dens boundary observation post,landmark_navigation,endless_wandering,moderate,624.9,3048,294.35,104.3,signal_noise,,20.0,8.6,paralysis,sudden_onset,partially_aware,returned_origin,728,0,True,rescue,failed,Eastern fluctuation zone,Dens boundary,898,Expedition Records,Class_B_trajectory,0.96,Dens proximity increases signal noise,,
NP-0160,Resonance Lock Case 237,creature,Settlement 81,resonance_seeking,trajectory_loop,moderate,451.4,579,1.69,331.1,competing_attractors,,10.8,6.6,confusion,oscillating,partially_aware,eventual_arrival,216,3,False,none,not_attempted,Southern perimeter,Dens boundary,898,C. Vells,Class_B_trajectory,0.78,Boundary instability correlates with navigation difficulty,,
NP-0161,Trajectory Dissolution 648,institution,Archive,attractor_tracking,landmark_confusion,severe,62.8,570,28.07,20.9,competing_attractors,,3.9,5.8,signal_loss,oscillating,fully_aware,wrong_arrival,343,3,False,none,not_attempted,Dens interior,Dens,894,Navigation Study Group,unclassified,0.63,Ghost patterns can create false landmarks,,
