measurement_id,memory_type,entity_reference,ghost_id,initial_strength,final_strength,measurement_duration_days,decay_rate_per_year,half_life_years,dens_proximity_km,population_density,reinforcement_present,environmental_stability,decay_accelerators,decay_inhibitors,prime_day_correlation,memory_age_years,age_decay_correlation,measurement_year,measurer,measurement_method,confidence,notes
MD-0128,collective_memory,,,0.847,0.593,963,0.1264,5.5,159.0,sparse,False,0.97,"isolation,no_reinforcement","strong_initial_pattern,stable_environment",False,58,older_slower,927,R. Voss,periodic_observation,0.64,
MD-0129,ghost_pattern,Entity 896,GO-0198,0.644,0.198,775,0.4263,1.6,77.4,sparse,False,0.27,"isolation,environmental_disruption,no_reinforcement",,False,68,older_faster,920,Independent Observer,periodic_observation,0.71,
MD-0130,form_access,,,0.693,0.555,526,0.1433,4.8,127.0,moderate,True,0.7,,population_reinforcement,False,80,older_slower,932,C. Vells,strength_estimation,0.55,
MD-0131,substrate_trace,Entity 247,,0.474,0.115,903,0.4349,1.6,13.1,sparse,False,0.6,"dens_proximity,isolation,no_reinforcement",,False,2,no_correlation,918,Quarry Guild Records,periodic_observation,0.67,
MD-0132,form_access,Entity 721,,0.831,0.794,310,0.0522,13.3,89.9,dense,False,0.68,no_reinforcement,"strong_initial_pattern,pattern_antiquity",False,116,no_correlation,920,C. Vells,continuous_tracking,0.65,
MD-0133,ghost_pattern,Entity 282,,0.521,0.041,673,0.7491,0.9,25.7,moderate,False,0.5,"dens_proximity,environmental_disruption,no_reinforcement",pattern_antiquity,False,111,complex,918,Boundary Commission,form_comparison,0.75,
MD-0134,collective_memory,Entity 468,,0.392,0.363,992,0.0279,24.8,8.8,very_dense,True,0.77,dens_proximity,"population_reinforcement,stable_environment,pattern_antiquity",False,182,older_slower,923,M. Tall,behavioral_analysis,0.65,
MD-0135,ghost_pattern,Entity 989,GO-0062,0.853,0.826,242,0.0475,14.6,99.0,very_dense,True,0.53,,"strong_initial_pattern,population_reinforcement,pattern_antiquity",True,114,older_slower,928,K. Strand,periodic_observation,0.52,
MD-0136,substrate_trace,Entity 883,,0.965,0.626,679,0.2079,3.3,45.9,isolated,True,0.81,"dens_proximity,isolation","strong_initial_pattern,population_reinforcement,stable_environment,pattern_antiquity",False,171,no_correlation,918,Quarry Guild Records,strength_estimation,0.53,
MD-0137,form_access,Entity 649,,0.545,0.519,551,0.0317,21.9,118.3,sparse,True,0.59,isolation,population_reinforcement,True,42,complex,928,C. Vells,form_comparison,0.62,
MD-0138,behavioral_echo,Entity 392,,0.479,0.401,949,0.0661,10.5,102.7,sparse,False,0.8,"isolation,no_reinforcement",stable_environment,False,66,complex,925,C. Vells,strength_estimation,0.85,
MD-0139,form_access,,,0.953,0.712,736,0.1345,5.2,37.8,isolated,True,0.29,"dens_proximity,isolation,environmental_disruption","strong_initial_pattern,population_reinforcement,pattern_antiquity",False,172,older_slower,923,R. Voss,periodic_observation,0.79,
MD-0140,form_access,Entity 435,,0.309,0.268,241,0.1942,3.6,113.8,moderate,True,0.22,environmental_disruption,"population_reinforcement,pattern_antiquity",False,127,complex,924,C. Vells,continuous_tracking,0.91,
MD-0141,spatial_imprint,,,0.956,0.941,139,0.043,16.1,112.6,moderate,False,0.73,no_reinforcement,"strong_initial_pattern,stable_environment",False,0,older_faster,922,S. Moll,form_comparison,0.7,
MD-0142,substrate_trace,Entity 122,,0.752,0.606,411,0.175,4.0,114.1,sparse,True,0.49,"isolation,environmental_disruption","strong_initial_pattern,population_reinforcement",False,19,no_correlation,918,M. Tall,form_comparison,0.56,
MD-0143,spatial_imprint,Entity 188,,0.967,0.65,984,0.1369,5.1,186.1,sparse,True,0.71,isolation,"strong_initial_pattern,population_reinforcement,stable_environment,pattern_antiquity",False,121,older_slower,925,C. Vells,strength_estimation,0.62,
MD-0144,ghost_pattern,,,0.451,0.446,68,0.0515,13.5,140.9,dense,True,0.75,,"population_reinforcement,stable_environment,pattern_antiquity",False,127,no_correlation,927,S. Moll,periodic_observation,0.93,
MD-0145,behavioral_echo,,,0.77,0.602,736,0.1151,6.0,142.3,dense,True,0.41,environmental_disruption,"strong_initial_pattern,population_reinforcement,pattern_antiquity",True,114,older_slower,927,Quarry Guild Records,strength_estimation,0.93,
MD-0146,spatial_imprint,Entity 754,,0.557,0.292,953,0.2191,3.2,158.6,isolated,True,0.27,"isolation,environmental_disruption",population_reinforcement,False,95,older_slower,920,C. Vells,behavioral_analysis,0.67,
MD-0147,behavioral_echo,,,0.646,0.547,398,0.141,4.9,153.7,sparse,False,0.8,"isolation,no_reinforcement","stable_environment,pattern_antiquity",False,110,older_slower,923,Independent Observer,behavioral_analysis,0.7,
MD-0148,collective_memory,,,0.943,0.792,178,0.3003,2.3,172.5,sparse,False,0.47,"isolation,environmental_disruption,no_reinforcement","strong_initial_pattern,pattern_antiquity",False,153,no_correlation,920,C. Vells,continuous_tracking,0.94,
MD-0149,form_access,Entity 663,,0.378,0.371,136,0.0512,13.5,165.1,dense,True,0.54,,"population_reinforcement,pattern_antiquity",False,147,older_slower,920,Archive Survey Team,form_comparison,0.72,
MD-0150,behavioral_echo,,,0.76,0.594,620,0.1346,5.1,146.6,moderate,False,0.52,no_reinforcement,strong_initial_pattern,False,89,complex,921,R. Voss,continuous_tracking,0.88,
MD-0151,form_access,,,0.941,0.709,803,0.1206,5.7,143.5,very_dense,False,0.6,no_reinforcement,"strong_initial_pattern,pattern_antiquity",False,103,no_correlation,919,Archive Survey Team,periodic_observation,0.51,
MD-0152,behavioral_echo,Entity 711,,0.347,0.111,997,0.3412,2.0,25.1,sparse,False,0.74,"dens_proximity,isolation,no_reinforcement",stable_environment,False,91,complex,924,Independent Observer,continuous_tracking,0.64,
MD-0153,collective_memory,Entity 817,,0.775,0.497,541,0.2596,2.7,118.3,dense,False,0.67,no_reinforcement,strong_initial_pattern,False,81,no_correlation,930,Quarry Guild Records,strength_estimation,0.85,
MD-0154,spatial_imprint,Entity 656,,0.779,0.64,529,0.1272,5.4,138.0,very_dense,False,0.96,no_reinforcement,"strong_initial_pattern,stable_environment,pattern_antiquity",True,194,older_slower,921,M. Tall,behavioral_analysis,0.67,
MD-0155,behavioral_echo,,,0.844,0.827,40,0.172,4.0,49.0,dense,True,0.45,"dens_proximity,environmental_disruption","strong_initial_pattern,population_reinforcement,pattern_antiquity",False,175,older_slower,918,K. Strand,behavioral_analysis,0.53,
MD-0156,form_access,Entity 266,,0.758,0.744,532,0.0119,58.1,93.2,very_dense,True,0.94,,"strong_initial_pattern,population_reinforcement,stable_environment",True,44,complex,927,Independent Observer,behavioral_analysis,0.55,
MD-0157,form_access,Entity 328,,0.304,0.146,821,0.2781,2.5,193.7,isolated,True,0.59,isolation,population_reinforcement,False,96,older_faster,928,C. Vells,behavioral_analysis,0.6,
MD-0158,spatial_imprint,Entity 637,,0.818,0.587,405,0.2588,2.7,161.9,isolated,True,0.31,"isolation,environmental_disruption","strong_initial_pattern,population_reinforcement,pattern_antiquity",False,178,no_correlation,923,K. Strand,periodic_observation,0.69,
MD-0159,ghost_pattern,Entity 265,GO-0048,0.361,0.191,549,0.3458,2.0,56.5,very_dense,False,0.25,"environmental_disruption,no_reinforcement",,False,62,older_slower,925,K. Strand,form_comparison,0.75,
MD-0160,spatial_imprint,Entity 161,,0.328,0.158,794,0.2843,2.4,14.3,sparse,False,0.29,"dens_proximity,isolation,environmental_disruption,no_reinforcement",pattern_antiquity,False,179,no_correlation,918,M. Tall,strength_estimation,0.8,
MD-0161,collective_memory,,,0.945,0.418,850,0.2957,2.3,106.6,moderate,False,0.31,"environmental_disruption,no_reinforcement",strong_initial_pattern,False,54,older_slower,921,M. Tall,continuous_tracking,0.67,
MD-0162,substrate_trace,Entity 871,,0.657,0.616,104,0.2024,3.4,125.8,isolated,True,0.3,"isolation,environmental_disruption","population_reinforcement,pattern_antiquity",False,144,older_slower,928,Independent Observer,continuous_tracking,0.87,
MD-0163,spatial_imprint,,,0.576,0.473,490,0.1362,5.1,12.9,dense,True,0.46,"dens_proximity,environmental_disruption","population_reinforcement,pattern_antiquity",True,155,older_slower,927,K. Strand,behavioral_analysis,0.79,
MD-0164,substrate_trace,,,0.353,0.232,751,0.184,3.8,32.3,very_dense,False,0.6,"dens_proximity,no_reinforcement",pattern_antiquity,True,198,older_slower,922,Quarry Guild Records,form_comparison,0.71,
MD-0165,behavioral_echo,,,0.899,0.642,889,0.1288,5.4,61.4,very_dense,False,0.94,no_reinforcement,"strong_initial_pattern,stable_environment,pattern_antiquity",False,176,complex,927,C. Vells,strength_estimation,0.56,
MD-0166,behavioral_echo,,,0.731,0.474,986,0.1482,4.7,19.1,dense,False,0.63,"dens_proximity,no_reinforcement",strong_initial_pattern,False,69,no_correlation,932,Independent Observer,continuous_tracking,0.75,
MD-0167,behavioral_echo,Entity 727,,0.588,0.519,464,0.0936,7.4,194.5,sparse,False,0.61,"isolation,no_reinforcement",pattern_antiquity,False,171,complex,920,Boundary Commission,continuous_tracking,0.81,
MD-0168,behavioral_echo,,,0.707,0.671,683,0.0278,25.0,142.8,very_dense,True,0.84,,"strong_initial_pattern,population_reinforcement,stable_environment",False,63,older_slower,923,T. Vells,behavioral_analysis,0.67,
MD-0169,spatial_imprint,,,0.539,0.524,103,0.0943,7.3,97.4,moderate,False,0.57,no_reinforcement,,False,64,older_faster,924,S. Moll,periodic_observation,0.59,
MD-0170,behavioral_echo,Entity 537,,0.875,0.71,460,0.1523,4.6,185.6,dense,False,0.64,no_reinforcement,strong_initial_pattern,False,50,no_correlation,925,C. Vells,periodic_observation,0.71,
MD-0171,spatial_imprint,Entity 198,,0.861,0.813,591,0.0348,19.9,63.3,sparse,True,0.49,"isolation,environmental_disruption","strong_initial_pattern,population_reinforcement,pattern_antiquity",False,137,no_correlation,928,Quarry Guild Records,continuous_tracking,0.52,
MD-0172,substrate_trace,,,0.804,0.746,648,0.0413,16.8,113.7,isolated,True,0.98,isolation,"strong_initial_pattern,population_reinforcement,stable_environment,pattern_antiquity",False,146,no_correlation,921,T. Vells,periodic_observation,0.75,
MD-0173,behavioral_echo,,,0.442,0.406,194,0.1493,4.6,152.7,sparse,False,0.86,"isolation,no_reinforcement",stable_environment,True,23,no_correlation,921,Quarry Guild Records,continuous_tracking,0.61,
MD-0174,collective_memory,Entity 337,,0.302,0.106,911,0.3437,2.0,34.0,sparse,False,0.42,"dens_proximity,isolation,environmental_disruption,no_reinforcement",pattern_antiquity,True,153,no_correlation,919,Quarry Guild Records,behavioral_analysis,0.7,
MD-0175,substrate_trace,Entity 611,,0.836,0.759,477,0.0712,9.7,177.7,very_dense,False,0.22,"environmental_disruption,no_reinforcement","strong_initial_pattern,pattern_antiquity",False,134,no_correlation,924,R. Voss,strength_estimation,0.59,
MD-0176,form_access,Entity 397,,0.418,0.389,391,0.0657,10.5,141.0,very_dense,False,0.75,no_reinforcement,"stable_environment,pattern_antiquity",False,103,no_correlation,924,C. Vells,behavioral_analysis,0.93,
MD-0177,substrate_trace,Entity 602,,0.799,0.744,615,0.0418,16.6,187.1,sparse,False,0.25,"isolation,environmental_disruption,no_reinforcement",strong_initial_pattern,False,88,no_correlation,925,Quarry Guild Records,periodic_observation,0.7,
MD-0178,behavioral_echo,,,0.411,0.316,559,0.1579,4.4,46.5,moderate,False,0.41,"dens_proximity,environmental_disruption,no_reinforcement",pattern_antiquity,False,153,complex,924,Independent Observer,periodic_observation,0.84,
MD-0179,ghost_pattern,Entity 546,GO-0235,0.335,0.322,493,0.0287,24.2,141.7,sparse,True,0.76,isolation,"population_reinforcement,stable_environment",True,38,no_correlation,924,Boundary Commission,continuous_tracking,0.73,
MD-0180,form_access,,,0.849,0.754,591,0.0709,9.8,174.5,very_dense,True,0.72,,"strong_initial_pattern,population_reinforcement,stable_environment,pattern_antiquity",False,120,no_correlation,930,Archive Survey Team,strength_estimation,0.82,
MD-0181,ghost_pattern,Entity 291,GO-0003,0.387,0.255,809,0.1711,4.1,154.8,moderate,False,0.34,"environmental_disruption,no_reinforcement",,False,94,older_slower,920,Boundary Commission,strength_estimation,0.87,
MD-0182,collective_memory,Entity 565,,0.628,0.47,406,0.2294,3.0,101.4,isolated,True,0.33,"isolation,environmental_disruption","population_reinforcement,pattern_antiquity",True,146,no_correlation,919,Archive Survey Team,continuous_tracking,0.79,
MD-0183,ghost_pattern,Entity 762,,0.67,0.295,773,0.3209,2.2,14.3,dense,True,0.43,"dens_proximity,environmental_disruption","population_reinforcement,pattern_antiquity",False,103,complex,927,C. Vells,behavioral_analysis,0.84,
MD-0184,collective_memory,Entity 522,,0.863,0.745,644,0.0801,8.6,187.4,sparse,False,0.6,"isolation,no_reinforcement",strong_initial_pattern,False,94,no_correlation,922,Independent Observer,periodic_observation,0.64,
MD-0185,form_access,Entity 912,,0.403,0.223,839,0.2266,3.1,150.3,sparse,False,0.71,"isolation,no_reinforcement","stable_environment,pattern_antiquity",False,194,complex,921,T. Vells,periodic_observation,0.91,
MD-0186,spatial_imprint,,,0.918,0.866,82,0.2263,3.1,51.3,dense,False,0.57,no_reinforcement,strong_initial_pattern,False,62,older_slower,922,Independent Observer,periodic_observation,0.66,
MD-0187,spatial_imprint,Entity 298,,0.875,0.751,919,0.059,11.7,177.5,dense,True,0.44,environmental_disruption,"strong_initial_pattern,population_reinforcement,pattern_antiquity",False,122,older_slower,926,T. Vells,periodic_observation,0.95,
MD-0188,form_access,Entity 434,,0.453,0.405,847,0.0474,14.6,149.1,very_dense,True,0.22,environmental_disruption,"population_reinforcement,pattern_antiquity",False,156,no_correlation,918,K. Strand,strength_estimation,0.56,
MD-0189,spatial_imprint,,,0.846,0.503,609,0.2677,2.6,151.9,dense,False,0.23,"environmental_disruption,no_reinforcement","strong_initial_pattern,pattern_antiquity",True,129,older_slower,931,Quarry Guild Records,form_comparison,0.8,
MD-0190,spatial_imprint,Entity 236,,0.437,0.418,255,0.064,10.8,146.6,moderate,True,0.81,,"population_reinforcement,stable_environment",True,10,older_faster,927,Archive Survey Team,behavioral_analysis,0.86,
MD-0191,form_access,Entity 269,,0.3,0.296,524,0.0105,66.1,86.0,very_dense,True,0.93,,"population_reinforcement,stable_environment",False,16,older_slower,925,M. Tall,periodic_observation,0.8,
MD-0192,behavioral_echo,,,0.481,0.341,940,0.1248,5.6,123.7,moderate,False,0.96,no_reinforcement,"stable_environment,pattern_antiquity",False,189,no_correlation,920,C. Vells,strength_estimation,0.81,
MD-0193,collective_memory,Entity 705,,0.638,0.573,540,0.071,9.8,155.9,sparse,True,0.22,"isolation,environmental_disruption","population_reinforcement,pattern_antiquity",False,185,no_correlation,931,Boundary Commission,periodic_observation,0.87,
MD-0194,collective_memory,,,0.934,0.306,547,0.5254,1.3,45.5,sparse,False,0.4,"dens_proximity,isolation,environmental_disruption,no_reinforcement",strong_initial_pattern,False,92,complex,923,Boundary Commission,periodic_observation,0.61,
MD-0195,collective_memory,Entity 479,,0.34,0.274,454,0.158,4.4,96.8,isolated,False,0.94,"isolation,no_reinforcement","stable_environment,pattern_antiquity",True,121,older_slower,921,R. Voss,behavioral_analysis,0.92,
MD-0196,spatial_imprint,,,0.47,0.343,374,0.2657,2.6,118.1,dense,False,0.39,"environmental_disruption,no_reinforcement",,False,40,no_correlation,919,M. Tall,periodic_observation,0.86,
MD-0197,ghost_pattern,Entity 236,GO-0216,0.979,0.841,82,0.4908,1.4,30.9,dense,False,0.27,"dens_proximity,environmental_disruption,no_reinforcement",strong_initial_pattern,False,0,complex,928,Independent Observer,strength_estimation,0.54,
MD-0198,form_access,,,0.358,0.35,974,0.0082,176.9,178.7,moderate,True,1.0,,"population_reinforcement,stable_environment",False,43,complex,922,C. Vells,form_comparison,0.78,
MD-0199,collective_memory,Entity 972,,0.724,0.604,651,0.0972,7.1,15.3,very_dense,True,0.25,"dens_proximity,environmental_disruption","strong_initial_pattern,population_reinforcement",False,57,no_correlation,920,R. Voss,behavioral_analysis,0.66,
MD-0200,collective_memory,Entity 258,,0.856,0.664,245,0.3155,2.2,62.0,dense,False,0.94,no_reinforcement,"strong_initial_pattern,stable_environment",True,61,complex,918,C. Vells,periodic_observation,0.57,
